Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1988-12,1987-12,1986-12,1985-12,1984-12
Other Long Term Assets,8.688B,8.179B,7.788B,7.818B,6.869B,5.35B,5.054B,4.753B,3.372B,2.194B,1.954B,1.687B,1.603B,1.897B,2.153B,2.051B,1.776B,1.726B,1.658B,1.672B,1.558B,2.315B,2.304B,2.223B,2.077B,1.235B,1.172B,1.167B,1.205B,1.935B,1.903B,2.079B,1.20B,2.134B,2.076B,2.07B,1.978B,1.966B,1.94B,1.961B,1.957B,2.105B,1.96B,1.971B,2.036B,3.971B,3.827B,3.77B,3.825B,3.359B,3.375B,3.182B,3.115B,5.186B,5.185B,5.225B,5.45B,5.556B,5.714B,5.933B,6.044B,5.932B,5.955B,5.982B,6.166B,5.86B,6.088B,5.718B,6.005B,3.482B,3.375B,3.282B,3.043B,3.875B,3.634B,3.448B,3.386B,3.417B,3.351B,3.246B,2.815B,1.64B,1.581B,2.595B,3.419B,1.441B,1.507B,1.451B,1.457B,1.506B,1.417B,1.36B,1.353B,1.304B,1.251B,1.256B,1.261B,1.226B,1.191B,1.175B,1.127B,1.054B,1.082B,1.085B,1.081B,960.00M,930.00M,918.00M,892.00M,749.00M,1.425B,1.464B,1.516B,1.486B,1.526B,1.492B,1.449B,1.546B,1.482B,1.334B,1.352B,1.344B,1.296B,1.265B,1.158B,3.742B,1.507B
Total Long Term Assets,34.38B,33.92B,33.98B,34.23B,33.41B,35.30B,35.08B,35.36B,33.47B,32.12B,31.60B,31.20B,31.09B,31.72B,30.80B,30.83B,29.26B,23.15B,23.23B,23.08B,23.26B,23.82B,24.14B,24.25B,24.27B,25.10B,24.32B,24.12B,24.26B,23.33B,23.53B,23.82B,23.67B,22.40B,22.26B,22.87B,22.82B,22.96B,21.17B,21.69B,22.06B,21.89B,21.42B,21.58B,22.23B,22.09B,21.32B,20.20B,20.12B,19.25B,18.66B,18.52B,18.64B,20.17B,20.29B,20.03B,19.67B,19.64B,19.70B,19.75B,18.24B,17.63B,17.53B,17.62B,17.69B,17.16B,17.42B,17.14B,17.36B,14.57B,14.54B,14.46B,14.33B,14.86B,14.62B,14.50B,14.51B,14.73B,15.08B,15.09B,13.10B,9.086B,8.706B,9.863B,13.38B,8.716B,8.585B,8.239B,8.134B,7.846B,7.274B,6.923B,6.99B,6.784B,6.692B,7.501B,7.575B,7.076B,7.023B,6.814B,6.736B,6.272B,6.259B,6.256B,6.262B,5.904B,5.873B,5.835B,5.837B,5.565B,6.14B,6.167B,6.253B,6.113B,6.21B,6.222B,6.14B,6.257B,6.197B,6.034B,5.991B,5.904B,5.888B,6.142B,6.662B,8.311B,5.39B
Total Assets,58.68B,60.10B,57.75B,58.56B,57.77B,61.93B,59.86B,60.95B,59.47B,56.77B,55.67B,54.78B,54.15B,53.56B,51.18B,50.36B,49.32B,46.62B,46.41B,45.36B,45.45B,46.18B,46.60B,45.78B,45.44B,44.41B,42.17B,41.80B,41.85B,41.07B,40.17B,40.37B,39.81B,39.44B,39.65B,38.90B,37.83B,38.12B,36.09B,36.03B,35.99B,35.77B,35.14B,34.36B,35.49B,37.08B,36.78B,34.94B,33.80B,32.90B,31.77B,31.21B,30.94B,32.70B,32.50B,32.21B,31.63B,32.21B,32.57B,34.66B,31.06B,29.99B,29.55B,29.67B,29.31B,28.38B,28.53B,27.96B,27.56B,24.55B,24.78B,24.19B,24.23B,25.33B,24.94B,24.79B,25.18B,25.92B,24.94B,24.84B,23.53B,14.95B,14.09B,15.38B,22.74B,14.02B,13.90B,13.61B,13.71B,13.07B,12.91B,12.72B,12.83B,12.93B,12.96B,12.62B,12.46B,12.06B,12.04B,11.72B,11.32B,10.90B,10.79B,10.85B,10.83B,10.48B,10.70B,10.62B,10.76B,10.39B,10.51B,10.45B,10.38B,10.32B,10.46B,10.52B,10.46B,10.44B,10.41B,10.21B,10.13B,10.03B,10.00B,10.23B,11.27B,13.27B,7.945B
Accounts Payable,5.73B,5.522B,5.602B,5.582B,5.607B,7.05B,6.808B,6.641B,6.584B,6.061B,5.971B,5.805B,5.69B,5.418B,5.598B,5.511B,5.58B,5.363B,5.352B,5.263B,5.365B,5.212B,5.276B,5.133B,5.174B,4.791B,4.718B,4.444B,4.736B,4.518B,4.547B,4.535B,4.738B,4.57B,4.442B,4.308B,4.344B,4.059B,3.751B,3.553B,3.633B,3.201B,3.132B,3.144B,3.773B,4.149B,4.211B,4.097B,3.962B,3.812B,3.661B,3.582B,3.518B,3.222B,3.086B,3.056B,2.886B,2.627B,2.657B,2.644B,2.564B,2.346B,2.273B,2.314B,2.24B,2.032B,2.093B,2.023B,1.912B,1.786B,1.818B,1.801B,1.862B,2.106B,2.13B,2.189B,2.364B,2.243B,2.256B,2.173B,2.129B,1.273B,1.346B,1.328B,2.018B,1.268B,1.386B,1.343B,1.345B,1.197B,1.18B,1.135B,1.187B,1.103B,1.111B,1.40B,1.385B,1.193B,1.255B,1.291B,1.296B,1.273B,1.233B,1.20B,1.207B,1.037B,1.117B,1.09B,1.221B,1.111B,1.077B,1.042B,1.073B,1.002B,1.033B,1.062B,1.256B,1.031B,1.064B,1.055B,1.132B,950.00M,,,,,
Current Tax Payable,492.00M,,,,400.00M,,,,411.00M,,,,720.00M,,,,467.00M,,,,504.00M,,,,489.00M,,,,780.00M,,,,551.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Payables,6.222B,5.522B,5.602B,5.582B,6.007B,7.05B,6.808B,6.641B,6.995B,6.061B,5.971B,5.805B,6.41B,5.418B,5.598B,5.511B,6.047B,5.363B,5.352B,5.263B,5.869B,5.212B,5.276B,5.133B,5.663B,4.791B,4.718B,4.444B,5.516B,4.518B,4.547B,4.535B,5.289B,4.57B,4.442B,4.308B,4.344B,4.059B,3.751B,3.553B,3.633B,3.201B,3.132B,3.144B,3.773B,4.149B,4.211B,4.097B,3.962B,3.812B,3.661B,3.582B,3.518B,3.222B,3.086B,3.056B,2.886B,2.627B,2.657B,2.644B,2.564B,2.346B,2.273B,2.314B,2.24B,2.032B,2.093B,2.023B,1.912B,1.786B,1.818B,1.801B,1.862B,2.106B,2.13B,2.189B,2.364B,2.243B,2.256B,2.173B,2.129B,1.273B,1.346B,1.328B,2.018B,1.268B,1.386B,1.343B,1.345B,1.197B,1.18B,1.135B,1.187B,1.103B,1.111B,1.40B,1.385B,1.193B,1.255B,1.291B,1.296B,1.273B,1.233B,1.20B,1.207B,1.037B,1.117B,1.09B,1.221B,1.111B,1.077B,1.042B,1.073B,1.002B,1.033B,1.062B,1.256B,1.031B,1.064B,1.055B,1.132B,950.00M,,,,,
Accrued Expenses,1.976B,6.883B,6.717B,6.497B,1.924B,6.658B,6.63B,6.565B,2.056B,6.834B,6.829B,6.79B,1.539B,6.545B,5.907B,5.891B,1.587B,6.036B,6.065B,6.123B,1.735B,6.606B,6.643B,6.668B,1.724B,7.053B,6.839B,6.755B,1.695B,6.597B,6.632B,6.499B,1.936B,7.014B,6.555B,6.587B,6.484B,6.502B,5.708B,6.233B,6.153B,5.865B,5.468B,5.602B,6.006B,6.231B,5.995B,5.759B,5.741B,5.818B,5.638B,5.493B,5.463B,5.357B,5.307B,5.039B,5.359B,5.405B,5.171B,4.838B,4.971B,4.686B,4.495B,4.344B,4.314B,4.361B,4.168B,4.383B,4.403B,3.40B,3.768B,3.609B,3.819B,4.174B,3.579B,3.148B,3.168B,3.187B,3.139B,3.293B,3.534B,1.745B,1.647B,1.636B,3.437B,1.736B,1.668B,1.935B,1.999B,1.608B,1.583B,1.749B,1.895B,1.905B,2.141B,1.781B,1.775B,1.674B,1.87B,1.953B,1.832B,1.722B,1.789B,1.84B,1.924B,,,,,,,,,,,,,,,,,,,,,,
Payables and Accrued Expenses,8.198B,12.40B,12.32B,12.08B,7.931B,13.71B,13.44B,13.21B,9.051B,12.90B,12.80B,12.60B,7.949B,11.96B,11.50B,11.40B,7.634B,11.40B,11.42B,11.39B,7.604B,11.82B,11.92B,11.80B,7.387B,11.84B,11.56B,11.20B,7.211B,11.12B,11.18B,11.03B,7.225B,11.58B,11.00B,10.90B,10.83B,10.56B,9.459B,9.786B,9.786B,9.066B,8.60B,8.746B,9.779B,10.38B,10.21B,9.856B,9.703B,9.63B,9.299B,9.075B,8.981B,8.579B,8.393B,8.095B,8.245B,8.032B,7.828B,7.482B,7.535B,7.032B,6.768B,6.658B,6.554B,6.393B,6.261B,6.406B,6.315B,5.186B,5.586B,5.41B,5.681B,6.28B,5.709B,5.337B,5.532B,5.43B,5.395B,5.466B,5.663B,3.018B,2.993B,2.964B,5.455B,3.004B,3.054B,3.278B,3.344B,2.805B,2.763B,2.884B,3.082B,3.008B,3.252B,3.181B,3.16B,2.867B,3.125B,3.244B,3.128B,2.995B,3.022B,3.04B,3.131B,1.037B,1.117B,1.09B,1.221B,1.111B,1.077B,1.042B,1.073B,1.002B,1.033B,1.062B,1.256B,1.031B,1.064B,1.055B,1.132B,950.00M,,,,,
Current Provisions - Legal & Other,435.00M,,,,418.00M,,,,533.00M,,,,603.00M,,,,608.00M,,,,610.00M,,,,627.00M,,,,679.00M,,,,670.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial Paper Liability,,,,,,,,,,,,,,,,,,3.696B,2.795B,2.695B,,1.849B,2.249B,2.399B,1.299B,2.099B,1.20B,1.20B,400.00M,899.00M,948.00M,948.00M,599.00M,700.00M,350.00M,300.00M,299.00M,897.00M,1.148B,1.248B,298.00M,696.00M,398.00M,500.00M,1.431B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Borrowings,4.892B,,,,6.458B,,,,,,,,,,,,,1.272B,1.362B,1.351B,,280.00M,156.00M,153.00M,729.00M,720.00M,723.00M,712.00M,701.00M,699.00M,685.00M,684.00M,75.00M,575.00M,582.00M,575.00M,590.00M,88.00M,80.00M,67.00M,1.063B,1.272B,1.997B,1.692B,1.079B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,4.892B,7.51B,7.575B,7.514B,6.458B,4.192B,4.58B,5.549B,5.309B,5.33B,5.181B,4.686B,3.593B,6.25B,4.406B,4.257B,6.514B,4.968B,4.157B,4.046B,2.637B,2.129B,2.405B,2.552B,2.028B,2.819B,1.923B,1.912B,1.101B,1.598B,1.633B,1.632B,674.00M,1.275B,932.00M,875.00M,889.00M,985.00M,1.228B,1.315B,1.361B,1.968B,2.395B,2.192B,2.51B,3.23B,1.934B,1.476B,2.238B,2.462B,3.066B,1.289B,1.154B,1.501B,1.81B,1.34B,2.024B,1.438B,1.624B,2.027B,1.204B,198.00M,285.00M,563.00M,199.00M,201.00M,388.00M,483.00M,370.00M,180.00M,397.00M,593.00M,539.00M,1.964B,1.937B,1.741B,1.682B,2.839B,2.60B,2.848B,2.609B,1.766B,1.099B,2.12B,2.19B,1.00B,864.00M,457.00M,1.092B,1.053B,831.00M,672.00M,614.00M,904.00M,908.00M,798.00M,644.00M,763.00M,705.00M,411.00M,263.00M,233.00M,226.00M,393.00M,358.00M,465.00M,582.00M,440.00M,336.00M,591.00M,858.00M,1.022B,881.00M,814.00M,880.00M,1.066B,697.00M,1.02B,1.00B,632.00M,479.00M,166.00M,260.00M,497.00M,853.00M,487.00M,325.00M
Current Capital Lease Obligation,171.00M,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Debt & Capital Lease Obligation,5.063B,7.51B,7.575B,7.514B,6.458B,4.192B,4.58B,5.549B,5.309B,5.33B,5.181B,4.686B,3.593B,6.25B,4.406B,4.257B,6.514B,4.968B,4.157B,4.046B,2.637B,2.129B,2.405B,2.552B,2.028B,2.819B,1.923B,1.912B,1.101B,1.598B,1.633B,1.632B,674.00M,1.275B,932.00M,875.00M,889.00M,985.00M,1.228B,1.315B,1.361B,1.968B,2.395B,2.192B,2.51B,3.23B,1.934B,1.476B,2.238B,2.462B,3.066B,1.289B,1.154B,1.501B,1.81B,1.34B,2.024B,1.438B,1.624B,2.027B,1.204B,198.00M,285.00M,563.00M,199.00M,201.00M,388.00M,483.00M,370.00M,180.00M,397.00M,593.00M,539.00M,1.964B,1.937B,1.741B,1.682B,2.839B,2.60B,2.848B,2.609B,1.766B,1.099B,2.12B,2.19B,1.00B,864.00M,457.00M,1.092B,1.053B,831.00M,672.00M,614.00M,904.00M,908.00M,798.00M,644.00M,763.00M,705.00M,411.00M,263.00M,233.00M,226.00M,393.00M,358.00M,465.00M,582.00M,440.00M,336.00M,591.00M,858.00M,1.022B,881.00M,814.00M,880.00M,1.066B,697.00M,1.02B,1.00B,632.00M,479.00M,166.00M,260.00M,497.00M,853.00M,487.00M,325.00M
Current Deferred Revenue,2.49B,,,,2.403B,,,,2.198B,,,,2.151B,,,,1.863B,,,,2.094B,,,,2.172B,,,,2.127B,,,,1.914B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Liabilities,2.49B,,,,2.403B,,,,2.198B,,,,2.151B,,,,1.863B,,,,2.094B,,,,2.172B,,,,2.127B,,,,1.914B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Liability,361.00M,,,,245.00M,,,,350.00M,,,,546.00M,,,,292.00M,,,,352.00M,,,,461.00M,,,,480.00M,,,,237.00M,,182.00M,,,,,,,,,,,,87.00M,,,,4.00M,10.00M,,6.00M,6.00M,470.00M,161.00M,236.00M,220.00M,2.042B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69B,1.773B,1.949B,1.948B,1.699B,1.751B,1.696B,1.649B,1.78B,1.495B,1.361B,1.471B,1.591B,1.658B,1.675B,1.616B,1.691B,2.942B,2.965B,2.802B,2.531B,1.949B
Total Current Liabilities,18.10B,19.92B,19.89B,19.59B,18.92B,17.90B,18.02B,18.76B,18.86B,18.22B,17.98B,17.28B,16.33B,18.21B,15.91B,15.66B,18.37B,16.37B,15.57B,15.43B,14.77B,13.95B,14.32B,14.35B,14.18B,14.66B,13.48B,13.11B,13.04B,12.71B,12.81B,12.67B,12.28B,12.86B,12.11B,11.77B,11.72B,11.55B,10.69B,11.10B,11.15B,11.03B,11.00B,10.94B,12.29B,13.61B,12.23B,11.33B,11.94B,12.09B,12.37B,10.37B,10.14B,10.09B,10.21B,9.905B,10.43B,9.706B,9.672B,11.55B,8.739B,7.23B,7.053B,7.221B,6.753B,6.594B,6.649B,6.889B,6.685B,5.366B,5.983B,6.003B,6.22B,8.244B,7.646B,7.078B,7.214B,8.269B,7.995B,8.314B,8.272B,4.784B,4.092B,5.084B,7.645B,4.004B,3.918B,3.735B,4.436B,3.858B,3.594B,3.556B,3.696B,3.912B,4.16B,3.979B,3.804B,3.63B,3.83B,3.655B,3.391B,3.228B,3.248B,3.433B,3.489B,3.192B,3.472B,3.479B,3.505B,3.401B,3.686B,3.76B,3.603B,3.596B,3.408B,3.489B,3.424B,3.642B,3.722B,3.362B,3.227B,2.807B,3.202B,3.462B,3.655B,3.018B,2.274B
Long Term Provisions - Legal & Other,604.00M,,,,721.00M,,,,552.00M,,,,458.00M,,,,330.00M,,,,380.00M,,,,407.00M,,,,421.00M,,,,494.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of Long Term Debt,11.11B,11.10B,8.608B,8.598B,9.756B,14.06B,12.50B,12.74B,12.57B,11.45B,11.33B,11.18B,12.18B,9.608B,9.607B,9.70B,5.554B,5.599B,5.562B,5.661B,6.046B,6.76B,6.839B,6.804B,6.801B,5.789B,5.779B,5.787B,6.395B,6.391B,6.342B,6.269B,6.881B,6.88B,6.79B,6.763B,5.755B,6.265B,6.254B,6.246B,6.246B,6.256B,6.251B,6.266B,5.865B,5.963B,6.575B,6.576B,5.419B,5.391B,4.485B,4.704B,3.909B,3.909B,3.911B,3.964B,3.082B,3.972B,4.091B,4.042B,4.069B,4.839B,4.825B,4.954B,4.961B,5.006B,5.042B,4.721B,4.719B,4.708B,4.707B,4.653B,4.731B,3.519B,3.503B,3.906B,3.941B,4.155B,3.444B,3.477B,2.457B,1.287B,1.453B,1.457B,2.776B,1.459B,1.638B,1.592B,1.215B,1.313B,1.263B,1.256B,1.317B,1.317B,1.33B,1.344B,1.366B,1.377B,1.304B,1.317B,1.424B,1.446B,1.531B,1.552B,1.602B,1.573B,1.571B,1.577B,1.777B,1.811B,1.755B,1.716B,1.914B,2.108B,2.068B,2.046B,2.051B,1.809B,1.747B,1.888B,1.903B,2.095B,2.044B,2.017B,2.127B,2.086B,1.53B
Long Term Cap Lease Obligation,534.00M,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of LTD and Capital Lease Obligation,11.64B,11.10B,8.608B,8.598B,9.756B,14.06B,12.50B,12.74B,12.57B,11.45B,11.33B,11.18B,12.18B,9.608B,9.607B,9.70B,5.554B,5.599B,5.562B,5.661B,6.046B,6.76B,6.839B,6.804B,6.801B,5.789B,5.779B,5.787B,6.395B,6.391B,6.342B,6.269B,6.881B,6.88B,6.79B,6.763B,5.755B,6.265B,6.254B,6.246B,6.246B,6.256B,6.251B,6.266B,5.865B,5.963B,6.575B,6.576B,5.419B,5.391B,4.485B,4.704B,3.909B,3.909B,3.911B,3.964B,3.082B,3.972B,4.091B,4.042B,4.069B,4.839B,4.825B,4.954B,4.961B,5.006B,5.042B,4.721B,4.719B,4.708B,4.707B,4.653B,4.731B,3.519B,3.503B,3.906B,3.941B,4.155B,3.444B,3.477B,2.457B,1.287B,1.453B,1.457B,2.776B,1.459B,1.638B,1.592B,1.215B,1.313B,1.263B,1.256B,1.317B,1.317B,1.33B,1.344B,1.366B,1.377B,1.304B,1.317B,1.424B,1.446B,1.531B,1.552B,1.602B,1.573B,1.571B,1.577B,1.777B,1.811B,1.755B,1.716B,1.914B,2.108B,2.068B,2.046B,2.051B,1.809B,1.747B,1.888B,1.903B,2.095B,2.044B,2.017B,2.127B,2.086B,1.53B
Long Term Deferred Tax Liabilities,1.67B,1.366B,1.722B,1.85B,1.713B,1.905B,2.751B,2.782B,2.664B,300.00M,329.00M,414.00M,486.00M,701.00M,767.00M,626.00M,558.00M,499.00M,300.00M,210.00M,236.00M,891.00M,795.00M,757.00M,804.00M,719.00M,643.00M,683.00M,628.00M,679.00M,681.00M,707.00M,676.00M,505.00M,661.00M,671.00M,636.00M,745.00M,576.00M,570.00M,542.00M,730.00M,691.00M,715.00M,698.00M,1.253B,1.23B,952.00M,734.00M,484.00M,455.00M,367.00M,352.00M,551.00M,455.00M,376.00M,334.00M,530.00M,513.00M,447.00M,397.00M,358.00M,313.00M,294.00M,316.00M,510.00M,512.00M,416.00M,186.00M,914.00M,879.00M,947.00M,875.00M,1.009B,1.065B,1.182B,1.173B,998.00M,878.00M,877.00M,864.00M,802.00M,784.00M,806.00M,861.00M,655.00M,601.00M,628.00M,694.00M,538.00M,638.00M,590.00M,610.00M,595.00M,504.00M,520.00M,551.00M,541.00M,462.00M,428.00M,406.00M,441.00M,386.00M,359.00M,339.00M,455.00M,463.00M,427.00M,412.00M,599.00M,593.00M,606.00M,593.00M,404.00M,643.00M,637.00M,673.00M,739.00M,747.00M,739.00M,722.00M,745.00M,717.00M,706.00M,569.00M,377.00M,126.00M
Non-Current Deferred Revenue,1.31B,,,,1.264B,,,,76.00M,,,,81.00M,,,,99.00M,,,,93.00M,,,,44.00M,,,,47.00M,,,,77.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Deferred Liabilities,2.98B,1.366B,1.722B,1.85B,2.977B,1.905B,2.751B,2.782B,2.74B,300.00M,329.00M,414.00M,567.00M,701.00M,767.00M,626.00M,657.00M,499.00M,300.00M,210.00M,329.00M,891.00M,795.00M,757.00M,848.00M,719.00M,643.00M,683.00M,675.00M,679.00M,681.00M,707.00M,753.00M,505.00M,661.00M,671.00M,636.00M,745.00M,576.00M,570.00M,542.00M,730.00M,691.00M,715.00M,698.00M,1.253B,1.23B,952.00M,734.00M,484.00M,455.00M,367.00M,352.00M,551.00M,455.00M,376.00M,334.00M,530.00M,513.00M,447.00M,397.00M,358.00M,313.00M,294.00M,316.00M,510.00M,512.00M,416.00M,186.00M,914.00M,879.00M,947.00M,875.00M,1.009B,1.065B,1.182B,1.173B,998.00M,878.00M,877.00M,864.00M,802.00M,784.00M,806.00M,861.00M,655.00M,601.00M,628.00M,694.00M,538.00M,638.00M,590.00M,610.00M,595.00M,504.00M,520.00M,551.00M,541.00M,462.00M,428.00M,406.00M,441.00M,386.00M,359.00M,339.00M,455.00M,463.00M,427.00M,412.00M,599.00M,593.00M,606.00M,593.00M,404.00M,643.00M,637.00M,673.00M,739.00M,747.00M,739.00M,722.00M,745.00M,717.00M,706.00M,569.00M,377.00M,126.00M
Pension Liability,2.199B,329.00M,326.00M,333.00M,2.139B,440.00M,497.00M,495.00M,2.498B,530.00M,537.00M,546.00M,2.557B,477.00M,489.00M,506.00M,2.987B,892.00M,921.00M,911.00M,3.408B,955.00M,978.00M,998.00M,2.775B,995.00M,1.317B,1.338B,5.805B,1.346B,1.365B,1.40B,5.725B,1.386B,1.411B,1.461B,1.477B,1.494B,1.551B,1.547B,1.594B,1.554B,1.571B,1.782B,1.799B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minority Interest Ownership,212.00M,197.00M,190.00M,189.00M,178.00M,177.00M,173.00M,179.00M,163.00M,154.00M,125.00M,152.00M,178.00M,180.00M,171.00M,175.00M,135.00M,136.00M,140.00M,135.00M,127.00M,126.00M,121.00M,116.00M,112.00M,114.00M,81.00M,91.00M,90.00M,87.00M,90.00M,99.00M,96.00M,105.00M,112.00M,120.00M,121.00M,136.00M,120.00M,117.00M,110.00M,103.00M,94.00M,86.00M,82.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred Securities out of Shareholders Equity,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,5.00M,5.00M,5.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,290.00M,271.00M,259.00M,242.00M,219.00M,204.00M,189.00M,176.00M,167.00M,161.00M,154.00M,152.00M,150.00M,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Liabilities,2.326B,9.08B,9.133B,9.223B,2.655B,9.20B,8.312B,8.399B,2.678B,5.029B,4.939B,4.879B,1.46B,5.183B,5.462B,5.499B,1.70B,5.101B,5.199B,5.224B,1.748B,4.361B,4.654B,4.646B,1.725B,7.006B,6.935B,7.196B,1.747B,6.726B,6.891B,7.486B,1.922B,6.048B,6.493B,6.427B,7.462B,7.603B,7.895B,7.458B,7.493B,6.604B,7.068B,7.155B,7.57B,6.718B,6.486B,6.448B,6.489B,6.68B,6.662B,6.605B,6.825B,6.837B,6.951B,7.048B,7.025B,6.623B,6.774B,7.189B,6.605B,6.356B,6.474B,6.44B,6.555B,6.391B,6.591B,6.711B,7.05B,3.187B,3.145B,3.107B,3.23B,3.308B,3.201B,3.03B,3.14B,3.159B,3.167B,3.224B,3.335B,2.657B,2.734B,2.736B,3.373B,2.874B,2.917B,2.882B,2.976B,2.946B,3.065B,3.126B,3.026B,3.081B,3.114B,3.088B,3.152B,3.076B,3.104B,3.114B,3.118B,2.991B,2.996B,2.977B,3.009B,2.755B,2.811B,2.835B,2.811B,1.094B,1.167B,1.217B,1.289B,1.379B,930.00M,918.00M,928.00M,934.00M,870.00M,881.00M,868.00M,843.00M,774.00M,912.00M,1.247B,1.957B,1.268B
Total Long Term Liabilities,21.88B,21.88B,19.80B,20.01B,20.49B,25.61B,24.07B,24.42B,23.94B,17.32B,17.14B,17.02B,18.27B,15.97B,16.33B,16.33B,12.53B,12.36B,12.24B,12.25B,12.89B,13.17B,13.46B,13.38B,13.68B,14.67B,14.83B,15.16B,15.74B,15.14B,15.28B,15.86B,16.63B,14.82B,15.36B,15.32B,15.33B,16.11B,16.28B,15.82B,15.88B,15.14B,15.58B,15.92B,15.93B,13.93B,14.29B,13.98B,12.64B,12.56B,11.60B,11.68B,11.09B,11.30B,11.32B,11.39B,10.44B,11.12B,11.38B,11.68B,11.07B,11.55B,11.61B,11.69B,11.83B,11.91B,12.14B,11.85B,11.96B,8.809B,8.731B,8.707B,8.836B,7.836B,7.769B,8.118B,8.254B,8.312B,7.489B,7.578B,6.656B,4.746B,4.971B,4.999B,7.01B,4.988B,5.156B,5.102B,4.885B,4.797B,4.966B,4.972B,4.953B,4.993B,4.948B,4.952B,5.069B,4.994B,4.87B,4.859B,4.948B,4.878B,4.913B,4.888B,4.95B,4.783B,4.845B,4.839B,5.00B,3.504B,3.515B,3.539B,3.796B,3.891B,3.641B,3.601B,3.652B,3.482B,3.364B,3.508B,3.493B,3.683B,3.535B,3.635B,3.943B,4.42B,2.924B
