Change in Cash,-1.40B,-489.00M,494.00M,1.297B,1.238B,-87.00M,373.00M,-305.00M,258.00M,13.00M,14.00M,-13.00M,-121.00M,-118.00M,47.00M,19.00M,-31.00M,-95.00M,104.00M,-6.00M,12.00M,7.00M,24.00M,-188.00M,15.00M,0.00,3.00M,-123.00M,105.00M,4.00M,35.00M,-256.00M,236.00M,-73.00M,110.00M,-51.00M,-56.00M,82.00M,7.00M,-269.00M,-173.00M,362.00M,67.00M,52.00M,-32.00M,-46.00M,44.00M,-92.00M,-439.00M,418.00M,-104.00M,14.00M,34.00M,1.00M,-433.00M,141.00M,-520.00M,-261.00M,113.00M,409.00M,-884.00M,436.00M,-2.04B,-198.00M,-1.017B,174.00M,446.00M,523.00M,-582.00M,-279.00M,-628.00M,325.00M,-98.00M,3.286B,-1.25B,1.034B,2.067B,-3.00M,47.00M,-21.00M,12.00M,-15.00M,39.00M,-41.00M,30.00M,-39.00M,87.00M,-1.134B,829.00M,360.00M,87.00M,-23.00M,255.80M
Ending Cash,1.57B,2.97B,3.459B,2.964B,1.668B,430.00M,517.00M,144.00M,449.00M,191.00M,178.00M,164.00M,177.00M,71.00M,189.00M,142.00M,123.00M,154.00M,249.00M,145.00M,151.00M,139.00M,132.00M,108.00M,296.00M,281.00M,281.00M,278.00M,401.00M,296.00M,292.00M,257.00M,513.00M,277.00M,350.00M,240.00M,291.00M,347.00M,265.00M,258.00M,527.00M,700.00M,338.00M,271.00M,219.00M,251.00M,297.00M,253.00M,345.00M,784.00M,366.00M,470.00M,456.00M,422.00M,421.00M,604.00M,713.00M,1.233B,1.494B,1.381B,972.00M,1.856B,1.42B,3.46B,3.658B,4.675B,4.864B,4.055B,3.532B,4.114B,5.052B,5.68B,5.355B,5.50B,683.00M,3.464B,2.43B,304.00M,307.00M,260.00M,281.00M,269.00M,284.00M,245.00M,341.00M,311.00M,350.00M,263.00M,1.397B,567.00M,207.20M,120.30M,392.70M
Issuance of Capital Stock,0.00,0.00,0.00,85.00M,63.00M,55.00M,47.00M,35.00M,50.00M,98.00M,101.00M,146.00M,95.00M,438.00M,143.00M,146.00M,91.00M,437.00M,101.00M,151.00M,59.00M,154.00M,287.00M,302.00M,321.00M,162.00M,136.00M,426.00M,49.00M,141.00M,174.00M,387.00M,271.00M,134.00M,175.00M,82.00M,162.00M,52.00M,79.00M,10.00M,8.00M,29.00M,86.00M,96.00M,75.00M,68.00M,43.00M,39.00M,55.00M,31.00M,63.00M,26.00M,23.00M,31.00M,77.00M,,12.00M,41.00M,70.00M,120.00M,41.00M,24.00M,39.00M,58.00M,46.00M,66.00M,33.00M,21.00M,27.00M,129.00M,40.00M,21.00M,,,,,13.00M,30.00M,12.00M,10.00M,10.00M,12.00M,12.00M,20.00M,15.00M,15.00M,16.00M,17.00M,14.00M,13.00M,13.50M,13.50M,66.90M
Issuance of Debt,0.00,0.00,1.50B,350.00M,3.185B,868.00M,1.014B,286.00M,2.479B,0.00,144.00M,840.00M,639.00M,-257.00M,257.00M,844.00M,775.00M,-136.00M,944.00M,223.00M,489.00M,346.00M,521.00M,1.252B,1.011B,0.00,1.203B,0.00,117.00M,746.00M,394.00M,,1.28B,189.00M,713.00M,,1.005B,310.00M,600.00M,418.00M,580.00M,1.155B,-443.00M,1.28B,2.724B,-598.00M,0.00,598.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debt Repayment,1.00M,-3.00M,-350.00M,-111.00M,-545.00M,-775.00M,-532.00M,-650.00M,-1.538B,-313.00M,71.00M,-1.005B,-41.00M,-128.00M,577.00M,-577.00M,0.00,0.00,-300.00M,0.00,206.00M,-789.00M,0.00,-1.149B,-400.00M,0.00,-459.00M,-2.00M,-134.00M,-794.00M,-469.00M,-347.00M,-430.00M,-516.00M,-169.00M,-597.00M,-591.00M,-198.00M,-589.00M,-93.00M,193.00M,-698.00M,-85.00M,-989.00M,-1.591B,983.00M,-152.00M,-831.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Repurchase of Capital Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,-114.00M,,-1.102B,-58.00M,-1.185B,-2.00M,-378.00M,-4.00M,-11.00M,,,,,,,,,,,,,,,,,,-159.00M,-31.00M,0.00,-503.00M,-2.00M,-78.00M,-57.00M,-1.129B,-93.00M,-131.00M,-259.80M,-320.20M,-110.30M
Income Tax Paid Supplemental Data,,,,,0.00,49.00M,,,,,,,,,,,,,,,,-1.00M,1.00M,,-24.00M,0.00,65.00M,,,,,,42.00M,-8.00M,8.00M,,83.00M,16.00M,36.00M,,-78.00M,236.00M,-93.00M,294.00M,-34.00M,146.00M,,0.00,230.00M,25.00M,225.00M,57.00M,308.00M,181.00M,205.00M,42.00M,341.00M,810.00M,227.00M,14.00M,32.00M,48.00M,48.00M,,-440.00M,0.00,530.00M,1.00M,430.00M,247.00M,286.00M,8.00M,-549.00M,0.00,0.00,1.241B,-3.00M,0.00,20.00M,3.00M,134.00M,502.00M,85.00M,2.00M,-187.00M,55.00M,208.00M,1.00M,449.00M,114.80M,211.20M,26.00M,44.00M
Interest Paid Supplemental Data,-28.00M,17.00M,11.00M,10.00M,136.00M,256.00M,126.00M,268.00M,146.00M,249.00M,149.00M,246.00M,115.00M,254.00M,115.00M,242.00M,115.00M,235.00M,118.00M,216.00M,117.00M,198.00M,119.00M,199.00M,124.00M,187.00M,115.00M,197.00M,108.00M,167.00M,115.00M,204.00M,647.00M,-330.00M,330.00M,,101.00M,217.00M,116.00M,193.00M,119.00M,195.00M,108.00M,190.00M,74.00M,449.00M,-189.00M,189.00M,71.00M,204.00M,111.00M,128.00M,53.00M,180.00M,116.00M,154.00M,30.00M,156.00M,-50.00M,267.00M,124.00M,171.00M,154.00M,197.00M,311.00M,123.00M,283.00M,149.00M,558.00M,-18.00M,766.00M,108.00M,158.00M,153.00M,33.00M,235.00M,277.00M,127.00M,227.00M,117.00M,209.00M,133.00M,237.00M,148.00M,247.00M,133.00M,253.00M,141.00M,252.00M,57.50M,247.10M,67.40M,89.70M
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,Restated,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
