Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Reconciled Depreciation,801.00M,840.00M,796.00M,797.00M,779.00M,759.00M,746.00M,752.00M,720.00M,710.00M,712.00M,712.00M,665.00M,694.00M,699.00M,697.00M,677.00M,653.00M,651.00M,631.00M,667.00M,671.00M,557.00M,538.00M,535.00M,523.00M,516.00M,503.00M,465.00M,617.00M,606.00M,584.00M,567.00M,566.00M,591.00M,491.00M,485.00M,382.00M,532.00M,506.00M,492.00M,511.00M,481.00M,463.00M,526.00M,435.00M,465.00M,437.00M,476.00M,505.00M,460.00M,454.00M,413.00M,475.00M,467.00M,401.00M,403.00M,456.00M,454.00M,385.00M,441.00M,405.00M,339.00M,312.00M,312.00M,214.00M,386.00M,310.00M,315.00M,213.00M,348.00M,320.00M,218.00M,270.00M,259.00M,255.00M,1.391B,1.852B,69.00M,347.00M,96.00M,686.00M,560.00M,438.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,-4.362B,-2.293B,-3.608B,155.00M,-9.383B,814.00M,-1.347B,716.00M,451.00M,933.00M,769.00M,906.00M,1.064B,672.00M,429.00M,126.00M,225.00M,571.00M,708.00M,130.00M,357.00M,1.103B,563.00M,506.00M,298.00M,319.00M,662.00M,532.00M,112.00M,642.00M,502.00M,514.00M,351.00M,428.00M,716.00M,503.00M,496.00M,535.00M,699.00M,614.00M,533.00M,631.00M,695.00M,540.00M,635.00M,639.00M,622.00M,524.00M,449.00M,582.00M,555.00M,529.00M,439.00M,735.00M,465.00M,469.00M,416.00M,515.00M,538.00M,501.00M,4.53B,509.00M,672.00M,5.354B,312.00M,1.17B,720.00M,62.00M,484.00M,1.086B,802.00M,1.301B,890.00M,1.584B,1.447B,-1.34B,-6.856B,629.00M,622.00M,676.00M,-579.00M,516.00M,480.00M,461.00M,531.00M,542.00M,4.787B,4.353B,299.00M,620.10M,362.70M,464.00M,-5.032B,2.522B,2.139B,2.249B,-4.637B,2.645B,2.448B,730.30M,2.638B,2.855B,2.440B,2.514B,2.707B,2.947B,2.464B,2.464B,2.558B,2.799B,2.520B,2.420B,2.635B,2.520B,2.352B,2.271B,2.452B,2.598B,2.173B,2.248B,2.147B,2.246B,2.086B,2.109B,2.044B,1.966B,1.767B,1.870B,1.831B,1.828B,1.775B,1.752B,1.928B,2.001B,1.877B,2.012B,2.067B,2.167B,2.024B,2.172B,2.105B,2.027B,1.813B,1.885B
EPS Basic from Continuing Operations,-6.85,-3.06,-4.83,0.25,-13.29,1.09,-1.91,0.86,0.21,1.07,0.79,1.13,1.38,0.77,0.41,0.22,0.27,0.63,0.84,0.06,0.27,1.72,0.57,0.49,0.18,0.36,0.74,0.55,-0.04,0.84,0.56,0.56,0.19,0.50,0.91,0.50,0.64,0.66,0.88,0.69,0.72,0.84,1.03,0.65,0.98,0.83,0.80,0.62,0.56,0.77,0.75,0.71,0.42,1.09,0.65,0.61,0.49,0.63,0.70,0.55,2.211,0.55,0.89,-5.67,0.09,1.25,0.81,-0.22,0.37,1.28,0.76,1.71,1.24,2.12,2.07,-2.62,-11.63,0.67,0.69,0.78,0.42,0.53,0.53,0.45,0.62,0.55,0.46,0.36,0.29,0.62,0.49,0.42,0.34,0.55,0.25,0.61,0.49,0.85,0.92,0.73,0.21,0.96,0.53,0.52,0.45,0.79,0.53,0.56,0.44,0.78,0.75,0.61,0.54,0.75,0.67,0.28,0.46,0.88,0.33,0.43,0.18,0.69,0.50,0.53,,0.53,0.30,0.28,,0.47,0.33,0.17,,0.73,0.63,0.70,,0.72,0.70,0.66,,0.61,0.68,0.70
EPS Basic from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,,0.00,0.00,0.00,0.0437,0.01,-0.25,-0.71,-5.834,-0.03,-0.16,0.02,0.1764,0.00,0.00,0.00,0.2164,-0.05,0.00,0.00,-0.1649,-0.03,-0.03,-0.02,-0.1439,0.00,0.00,0.00,-0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00
EPS Basic from Extraordinaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,0.00,0.00,,0.00,,,,,,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalized Basic EPS,-0.0126,0.3544,0.3669,0.4263,-0.0406,1.071,0.6557,0.8478,0.21,1.150,0.7226,1.13,1.38,0.77,0.41,0.22,0.27,0.63,0.84,0.06,0.27,1.72,0.57,0.49,0.18,0.36,0.74,0.55,-0.04,0.84,0.56,0.56,0.19,0.4640,0.8745,0.4734,0.64,0.6073,0.8766,0.7005,0.7117,0.7963,0.9847,0.6164,0.9531,0.8610,0.7905,0.6105,0.5468,0.7571,0.7316,0.7026,0.4551,1.131,0.5993,0.61,0.4952,0.6538,0.70,0.5516,2.211,0.5438,0.9159,-5.629,0.1605,1.239,0.81,-0.2326,0.3856,1.181,0.7896,1.676,1.24,2.184,2.063,-2.605,-11.66,0.6932,0.7133,0.7551,0.5145,0.4973,0.4646,0.4162,0.5342,0.5374,0.46,0.36,0.1490,0.6064,0.3655,0.3909,0.34,0.55,0.25,0.61,0.49,0.85,0.92,0.7064,0.21,0.96,0.53,0.52,0.45,0.79,0.53,0.56,0.44,0.78,0.75,0.61,0.54,0.75,0.67,0.28,0.46,0.88,0.33,0.43,0.18,0.69,0.50,0.53,,0.53,0.30,0.28,,0.47,0.33,0.17,,0.73,0.63,0.70,,0.72,0.70,0.66,,0.61,0.68,0.70
EPS Basic,-6.85,-3.06,-4.83,0.25,-13.29,1.09,-1.91,0.86,0.21,1.07,0.79,1.13,1.38,0.77,0.41,0.22,0.27,0.63,0.84,0.06,0.27,1.72,0.57,0.49,0.18,0.36,0.74,0.55,-0.04,0.84,0.56,0.56,0.19,0.50,0.91,0.50,0.64,0.66,0.88,0.69,0.72,0.84,1.03,0.65,1.39,0.83,0.80,0.62,0.56,0.77,0.75,0.71,0.42,1.09,0.65,0.61,0.49,0.66,0.70,0.55,2.211,0.55,0.89,-5.67,1.01,1.26,0.56,-0.93,0.96,1.25,0.60,1.73,1.24,2.12,2.07,-2.62,-11.58,0.62,0.69,0.78,0.48,0.50,0.50,0.46,0.62,0.55,0.46,0.36,0.22,0.62,0.49,0.42,0.34,0.55,0.25,0.61,0.49,0.85,0.92,0.73,0.21,0.96,0.53,0.52,0.45,0.79,0.53,0.56,0.44,0.78,0.75,0.61,0.54,0.75,0.67,0.28,0.46,0.88,0.33,0.43,0.18,0.69,0.50,0.53,,0.53,0.30,0.28,,0.47,0.33,0.17,,0.73,0.63,0.70,,0.72,0.70,0.66,,0.61,0.68,0.70
EPS Diluted from Continuing Operations,-6.85,-3.06,-4.83,0.25,-13.29,1.09,-1.91,0.86,0.21,1.07,0.79,1.13,1.38,0.77,0.41,0.22,0.26,0.63,0.83,0.06,0.27,1.71,0.57,0.49,0.18,0.36,0.74,0.55,-0.04,0.84,0.55,0.56,0.19,0.50,0.91,0.50,0.63,0.66,0.86,0.67,0.71,0.83,1.02,0.65,0.98,0.83,0.80,0.62,0.56,0.77,0.74,0.71,0.42,1.09,0.65,0.60,0.48,0.62,0.70,0.54,0.42,0.53,0.88,-5.67,0.08,1.22,0.80,-0.22,0.37,1.22,0.75,1.69,1.23,2.12,2.07,-2.62,-11.63,0.67,0.68,0.77,0.42,0.53,0.50,0.39,0.62,0.55,0.46,0.36,0.29,0.62,0.49,0.42,0.34,0.55,0.25,0.61,0.49,0.85,0.92,0.73,0.21,0.96,0.53,0.52,0.45,0.79,0.53,0.56,0.44,0.78,0.75,0.61,0.54,0.75,0.67,0.28,0.46,0.88,0.33,0.43,0.18,0.69,0.50,0.53,,0.53,0.30,0.28,,0.47,0.33,0.17,,0.73,0.63,0.70,,0.72,0.70,0.66,,0.61,0.68,0.70
EPS Diluted from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,1.362,0.00,0.00,0.00,0.0437,0.01,-0.25,-0.71,-5.834,-0.03,-0.16,0.02,0.1758,0.00,0.00,0.00,0.2164,-0.05,0.00,0.00,-0.1649,-0.03,-0.03,-0.02,-0.1439,0.00,0.00,0.00,-0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00
EPS Diluted from Extraordinaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012,,,-0.0157,0.0153,,-0.1667,,,,,,,,,,-0.0013,,,0.0322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalized Diluted EPS,-0.0126,0.3544,0.3669,0.4259,-0.0406,1.071,0.6557,0.8478,0.21,1.150,0.7228,1.13,1.38,0.77,0.41,0.22,0.26,0.63,0.83,0.06,0.27,1.71,0.57,0.49,0.18,0.36,0.74,0.55,-0.04,0.84,0.55,0.56,0.19,0.4641,0.8745,0.4735,0.63,0.6075,0.8567,0.6800,0.7020,0.7884,0.9748,0.6166,0.9532,0.8609,0.7905,0.6105,0.5468,0.7571,0.7223,0.7026,0.4544,1.131,0.5993,0.60,0.4850,0.6428,0.70,0.5415,0.42,0.5243,0.9043,-5.629,0.1505,1.210,0.80,-0.2326,0.3854,1.126,0.7791,1.657,1.23,2.184,2.063,-2.605,-11.66,0.6930,0.7032,0.7452,0.5138,0.4973,0.4346,0.3562,0.5342,0.5374,0.46,0.36,0.1490,0.6064,0.3655,0.3909,0.34,0.55,0.25,0.61,0.49,0.85,0.92,0.7064,0.21,0.96,0.53,0.52,0.45,0.79,0.53,0.56,0.44,0.78,0.75,0.61,0.54,0.75,0.67,0.28,0.46,0.88,0.33,0.43,0.18,0.69,0.50,0.53,,0.53,0.30,0.28,,0.47,0.33,0.17,,0.73,0.63,0.70,,0.72,0.70,0.66,,0.61,0.68,0.70
EPS Diluted,-6.85,-3.06,-4.83,0.25,-13.29,1.09,-1.91,0.86,0.21,1.07,0.79,1.13,1.38,0.77,0.41,0.22,0.26,0.63,0.83,0.06,0.27,1.71,0.57,0.49,0.18,0.36,0.74,0.55,-0.04,0.84,0.55,0.56,0.19,0.50,0.91,0.50,0.63,0.66,0.86,0.67,0.71,0.83,1.02,0.65,1.39,0.83,0.80,0.62,0.56,0.77,0.74,0.71,0.42,1.09,0.65,0.60,0.48,0.65,0.70,0.54,0.42,0.53,0.88,-5.67,0.99,1.23,0.55,-0.93,0.96,1.19,0.59,1.71,1.23,2.12,2.07,-2.62,-11.58,0.62,0.68,0.77,0.48,0.50,0.47,0.40,0.62,0.55,0.46,0.36,0.22,0.62,0.49,0.42,0.34,0.55,0.25,0.61,0.49,0.85,0.92,0.73,0.21,0.96,0.53,0.52,0.45,0.79,0.53,0.56,0.44,0.78,0.75,0.61,0.54,0.75,0.67,0.28,0.46,0.88,0.33,0.43,0.18,0.69,0.50,0.53,,0.53,0.30,0.28,,0.47,0.33,0.17,,0.73,0.63,0.70,,0.72,0.70,0.66,,0.61,0.68,0.70
Average Basic Shares Outstanding,528.00M,529.00M,529.00M,526.00M,520.00M,517.00M,516.00M,515.00M,515.00M,513.00M,511.00M,508.00M,505.00M,501.00M,497.00M,493.00M,493.00M,486.00M,480.00M,477.00M,474.00M,472.00M,467.00M,459.00M,453.00M,446.00M,442.00M,434.00M,430.00M,428.00M,423.00M,414.00M,407.00M,403.00M,399.00M,396.00M,394.00M,390.00M,373.00M,371.00M,371.00M,370.00M,368.00M,364.00M,360.00M,357.00M,356.00M,355.00M,354.00M,352.00M,350.00M,349.00M,349.00M,347.00M,346.00M,344.00M,360.00M,372.00M,370.00M,388.00M,393.95M,399.00M,397.00M,393.00M,384.00M,387.00M,384.00M,382.00M,368.00M,373.00M,366.00M,364.00M,475.41M,363.00M,363.00M,363.00M,334.91M,362.00M,361.00M,361.00M,366.86M,367.00M,367.00M,373.00M,299.97M,381.82M,378.26M,386.11M,416.96M,413.87M,393.67M,411.90M,466.47M,394.73M,414.00M,413.77M,416.84M,425.53M,425.00M,430.41M,428.23M,428.23M,428.30M,427.88M,429.98M,431.14M,431.70M,426.61M,425.97M,425.51M,420.93M,419.18M,418.68M,417.07M,420.90M,413.93M,419.26M,420.11M,428.48M,431.63M,424.90M,422.75M,421.60M,411.44M,411.44M,403.72M,388.31M,388.31M,368.13M,368.13M,368.13M,368.13M,368.13M,360.55M,337.35M,337.35M,337.35M,329.03M,323.46M,312.59M,316.91M,308.47M,304.27M,304.27M
Average Diluted Shares Outstanding,528.00M,529.00M,529.00M,527.00M,520.00M,517.00M,516.00M,516.00M,515.00M,516.00M,513.00M,511.00M,505.00M,503.00M,498.00M,495.00M,496.00M,489.00M,483.00M,481.00M,476.00M,474.00M,469.00M,460.00M,454.00M,447.00M,443.00M,435.00M,431.00M,429.00M,425.00M,416.00M,408.00M,404.00M,400.00M,397.00M,395.00M,392.00M,390.00M,389.00M,386.00M,388.00M,369.00M,366.00M,361.00M,358.00M,357.00M,356.00M,354.00M,352.00M,363.51M,351.00M,355.97M,347.00M,346.00M,356.67M,377.84M,387.69M,370.00M,403.70M,733.74M,430.19M,422.73M,393.00M,384.00M,414.63M,412.73M,382.00M,373.16M,395.00M,372.00M,368.00M,481.00M,364.00M,363.00M,363.00M,334.91M,365.00M,362.00M,363.64M,369.75M,367.00M,367.00M,373.00M,299.97M,381.82M,378.26M,386.11M,416.96M,413.87M,393.67M,411.90M,466.47M,394.73M,414.00M,413.77M,416.84M,425.53M,425.00M,430.41M,428.23M,428.23M,428.30M,427.88M,429.98M,431.14M,431.70M,426.61M,425.97M,425.51M,420.93M,419.18M,418.68M,417.07M,420.90M,413.93M,419.26M,420.11M,428.48M,431.63M,424.90M,422.75M,421.60M,411.44M,411.44M,403.72M,388.31M,388.31M,368.13M,368.13M,368.13M,368.13M,368.13M,360.55M,337.35M,337.35M,337.35M,329.03M,323.46M,312.59M,316.91M,308.47M,304.27M,304.27M
Dividend Per Share,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.53,0.49,0.49,0.49,0.49,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.42,0.42,0.42,0.42,0.39,0.39,0.39,0.39,0.36,0.36,0.36,0.36,0.33,0.33,0.33,0.33,0.33,0.30,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.47,0.47,0.47,0.47,0.44,0.44,0.44,0.44,0.41,0.41,0.41,0.41,0.38,0.38,0.38,0.38,0.35,0.35,0.35,0.35,0.35,0.35,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.46,0.46,0.46,0.46,0.00,0.00,0.43,0.43,0.40
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,Restated,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
