Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1995-12,1995-03
Current Deferred Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,106.00M,44.00M,,0.00,166.00M,160.00M,196.00M,0.00,134.00M,79.00M,113.00M,150.00M,403.00M,506.00M,332.00M,172.00M,424.00M,389.00M,251.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Tax Liability,,,,,,,,,,,,,,,,,,,,,,,,,,,106.00M,44.00M,,0.00,166.00M,160.00M,196.00M,0.00,134.00M,79.00M,113.00M,150.00M,403.00M,506.00M,332.00M,172.00M,424.00M,389.00M,251.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Liability,1.254B,1.857B,1.518B,1.603B,15.96B,4.693B,4.398B,1.964B,2.01B,2.271B,1.927B,2.014B,2.323B,1.958B,1.793B,2.155B,1.997B,2.111B,2.123B,2.11B,1.846B,1.874B,1.544B,1.526B,1.612B,1.663B,1.373B,1.486B,2.018B,1.993B,1.732B,1.769B,1.836B,1.689B,1.507B,1.446B,1.558B,1.588B,1.237B,1.281B,1.501B,1.491B,1.40B,1.364B,1.567B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10M,,0.20M,-0.10M,,
Total Current Liabilities,7.631B,6.472B,5.711B,4.808B,41.70B,9.489B,9.786B,6.92B,7.129B,7.473B,6.948B,6.538B,7.564B,6.27B,6.651B,5.974B,6.363B,6.108B,6.302B,6.153B,5.92B,5.726B,6.649B,6.147B,7.493B,7.644B,7.382B,7.048B,6.256B,5.436B,6.357B,7.275B,7.749B,6.818B,7.022B,7.772B,7.185B,7.184B,7.619B,7.78B,6.813B,6.949B,7.432B,6.95B,7.626B,8.497B,8.061B,7.664B,6.707B,7.491B,6.95B,6.956B,8.25B,7.554B,7.075B,7.073B,6.932B,6.415B,6.571B,6.732B,6.918B,6.109B,6.116B,3.296B,3.138B,3.079B,9.19B,9.523B,9.273B,7.378B,6.503B,5.711B,4.965B,4.252B,6.191B,18.84B,17.33B,8.678B,7.434B,6.049B,6.07B,6.85B,6.505B,8.287B,6.755B,6.106B,4.275B,3.984B,4.661B,5.173B,4.053B,3.677B,3.280B,3.218B,3.145B
Long Term Provisions - Legal & Other,5.854B,6.259B,6.111B,6.055B,5.994B,4.999B,4.964B,4.946B,4.899B,4.758B,4.675B,4.716B,4.684B,4.672B,4.612B,4.48B,3.643B,3.62B,3.609B,3.595B,3.575B,3.57B,3.561B,3.54B,3.539B,2.946B,2.932B,2.924B,2.919B,1.661B,1.641B,1.62B,1.609B,1.591B,1.582B,1.583B,1.586B,1.61B,,,1.593B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of Long Term Debt,,1.50B,1.50B,350.00M,,18.41B,17.61B,17.41B,17.75B,16.62B,16.62B,16.81B,16.22B,16.53B,16.52B,16.52B,15.92B,15.54B,15.54B,15.05B,15.05B,14.56B,13.97B,13.96B,12.72B,11.92B,11.92B,11.52B,12.52B,12.92B,12.17B,11.77B,11.77B,11.63B,11.69B,10.62B,11.33B,11.26B,10.82B,10.61B,11.21B,10.77B,10.96B,11.30B,10.53B,7.816B,7.721B,7.721B,8.171B,9.349B,9.444B,9.245B,8.633B,8.797B,8.961B,9.385B,9.542B,6.976B,9.058B,6.722B,7.903B,9.383B,8.728B,19.04B,13.50B,4.26B,10.66B,4.279B,4.875B,6.736B,17.19B,14.63B,7.297B,13.94B,13.79B,7.258B,7.29B,8.329B,8.425B,8.423B,8.713B,6.845B,6.895B,7.232B,7.422B,7.06B,7.503B,7.531B,7.659B,8.182B,7.662B,7.716B,7.770B,8.048B,8.512B
Long Term Cap Lease Obligation,1.73B,1.882B,2.116B,2.199B,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of LTD and Capital Lease Obligation,1.73B,3.382B,3.616B,2.549B,0.00,18.41B,17.61B,17.41B,17.75B,16.62B,16.62B,16.81B,16.22B,16.53B,16.52B,16.52B,15.92B,15.54B,15.54B,15.05B,15.05B,14.56B,13.97B,13.96B,12.72B,11.92B,11.92B,11.52B,12.52B,12.92B,12.17B,11.77B,11.77B,11.63B,11.69B,10.62B,11.33B,11.26B,10.82B,10.61B,11.21B,10.77B,10.96B,11.30B,10.53B,7.816B,7.721B,7.721B,8.171B,9.349B,9.444B,9.245B,8.633B,8.797B,8.961B,9.385B,9.542B,6.976B,9.058B,6.722B,7.903B,9.383B,8.728B,19.04B,13.50B,4.26B,10.66B,4.279B,4.875B,6.736B,17.19B,14.63B,7.297B,13.94B,13.79B,7.258B,7.29B,8.329B,8.425B,8.423B,8.713B,6.845B,6.895B,7.232B,7.422B,7.06B,7.503B,7.531B,7.659B,8.182B,7.662B,7.716B,7.770B,8.048B,8.512B
Long Term Deferred Tax Liabilities,320.00M,1.721B,2.354B,3.273B,3.281B,5.822B,5.667B,5.99B,5.822B,11.08B,10.75B,10.49B,10.21B,9.85B,9.556B,9.323B,9.206B,8.773B,8.732B,8.626B,8.513B,8.032B,7.874B,7.838B,7.823B,7.275B,6.988B,6.87B,6.748B,6.724B,6.272B,6.19B,6.008B,6.212B,5.945B,5.721B,5.547B,5.267B,4.637B,4.656B,4.732B,4.411B,3.916B,3.624B,3.526B,3.383B,3.178B,3.053B,3.053B,2.975B,2.992B,3.049B,2.946B,2.98B,3.033B,3.046B,3.204B,3.281B,3.574B,3.609B,3.652B,3.171B,3.015B,2.929B,983.00M,1.072B,1.656B,1.744B,926.00M,1.817B,1.64B,1.779B,1.819B,2.028B,1.968B,1.133B,1.848B,3.79B,3.489B,3.233B,3.378B,3.464B,3.514B,3.966B,4.144B,4.011B,4.345B,4.395B,4.368B,4.246B,509.80M,4.266B,4.321B,4.327B,4.342B
Non-Current Deferred Liabilities,320.00M,1.721B,2.354B,3.273B,3.281B,5.822B,5.667B,5.99B,5.822B,11.08B,10.75B,10.49B,10.21B,9.85B,9.556B,9.323B,9.206B,8.773B,8.732B,8.626B,8.513B,8.032B,7.874B,7.838B,7.823B,7.275B,6.988B,6.87B,6.748B,6.724B,6.272B,6.19B,6.008B,6.212B,5.945B,5.721B,5.547B,5.267B,4.637B,4.656B,4.732B,4.411B,3.916B,3.624B,3.526B,3.383B,3.178B,3.053B,3.053B,101.00M,103.00M,104.00M,2.946B,2.98B,3.033B,3.046B,3.204B,116.00M,117.00M,119.00M,121.00M,122.00M,123.00M,125.00M,127.00M,131.00M,135.00M,139.00M,144.00M,146.00M,149.00M,151.00M,153.00M,163.00M,173.00M,182.00M,192.00M,162.00M,212.00M,222.00M,231.00M,241.00M,251.00M,272.00M,283.00M,294.00M,317.00M,328.00M,339.00M,350.40M,149.50M,369.90M,379.60M,393.30M,386.90M
Pension Liability,1.884B,1.986B,1.996B,2.006B,2.119B,2.014B,2.054B,2.094B,2.128B,2.707B,2.687B,2.666B,2.641B,2.632B,2.631B,2.629B,2.622B,2.523B,2.536B,2.551B,2.561B,1.559B,1.578B,1.592B,1.601B,3.711B,3.665B,3.626B,3.575B,3.57B,3.517B,3.464B,3.396B,2.343B,2.317B,2.288B,2.234B,2.064B,2.018B,1.968B,1.773B,2.221B,2.177B,2.133B,2.088B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minority Interest Ownership,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,,,,,,,,,,,,,,,,,,,,,,,,,,480.00M,,300.00M,300.00M,,,300.00M,300.00M,,,,,,,,,,,,,,,,,,
Preferred Securities out of Shareholders Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,252.00M,,252.00M,286.00M,406.00M,408.00M,408.00M,412.00M,423.00M,137.00M,422.00M,480.00M,480.00M,480.00M,,480.00M,480.00M,480.00M,480.00M,480.00M,480.00M,480.00M,,,,,,,,,,,,,,,,,,
Other Long Term Liabilities,53.12B,47.57B,44.97B,41.60B,2.464B,2.351B,2.247B,2.228B,2.13B,2.333B,2.36B,2.347B,2.279B,2.394B,2.407B,2.372B,2.326B,2.306B,2.307B,2.309B,2.218B,2.278B,2.151B,2.169B,2.178B,2.117B,2.092B,2.065B,2.02B,2.07B,2.10B,2.133B,2.136B,2.12B,2.068B,2.03B,2.085B,2.152B,3.731B,3.713B,2.116B,3.637B,3.672B,3.691B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Long Term Liabilities,72.18B,70.25B,68.08B,64.35B,22.40B,42.20B,41.04B,41.25B,41.41B,44.77B,44.22B,44.02B,42.84B,42.69B,42.28B,41.81B,40.04B,39.06B,39.06B,38.44B,38.21B,36.13B,35.10B,34.91B,33.52B,33.31B,32.82B,32.19B,32.87B,32.05B,30.70B,30.10B,29.65B,28.49B,28.26B,26.82B,27.31B,26.79B,25.48B,25.14B,25.55B,25.19B,24.57B,24.52B,16.40B,11.45B,11.15B,11.03B,11.48B,9.702B,9.799B,9.601B,11.83B,12.03B,12.25B,12.68B,12.75B,7.344B,9.461B,7.247B,8.432B,9.913B,9.263B,19.59B,13.77B,4.813B,11.27B,4.898B,5.499B,6.882B,17.82B,15.26B,7.93B,14.59B,14.44B,7.92B,7.962B,8.491B,8.637B,8.645B,8.944B,7.086B,7.146B,7.504B,7.705B,7.354B,7.82B,7.859B,7.998B,8.532B,7.811B,8.086B,8.150B,8.442B,8.899B
Total Liabilities,79.81B,76.72B,73.79B,69.16B,64.09B,51.69B,50.83B,48.17B,48.54B,52.24B,51.16B,50.56B,50.41B,48.96B,48.93B,47.79B,46.41B,45.17B,45.36B,44.59B,44.13B,41.85B,41.74B,41.06B,41.01B,40.95B,40.20B,39.24B,39.12B,37.48B,37.06B,37.38B,37.40B,35.31B,35.28B,34.59B,34.49B,33.98B,33.10B,32.92B,32.36B,32.14B,32.00B,31.47B,31.48B,29.74B,29.72B,28.75B,28.08B,27.68B,27.24B,26.81B,26.99B,27.07B,26.52B,26.46B,26.86B,25.92B,26.35B,26.62B,25.91B,27.38B,27.36B,34.83B,25.67B,23.69B,31.01B,32.00B,29.45B,30.51B,31.58B,31.09B,31.34B,29.98B,32.53B,32.78B,32.68B,25.72B,23.21B,21.33B,21.80B,22.94B,22.93B,25.70B,24.39B,22.90B,20.59B,20.70B,21.32B,19.57B,17.60B,17.39B,17.03B,17.41B,17.92B
Total Capital Stock,13.04B,13.03B,13.01B,13.00B,12.91B,12.83B,12.76B,12.70B,12.63B,12.56B,12.44B,12.29B,12.20B,12.08B,11.62B,11.44B,11.28B,11.18B,10.72B,10.58B,10.42B,10.35B,10.18B,9.869B,9.55B,9.212B,9.032B,8.879B,8.428B,0.00,0.00,8.011B,7.602B,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.853B,5.834B,6.096B,0.00,6.312B,6.282B,6.196B,6.518B,6.609B,6.579B,6.54B,6.754B,6.411B,6.354B,6.318B,6.274B,6.222B,6.093B,6.007B,5.986B,5.971B,5.971B,5.971B,5.971B,6.738B,6.708B,6.696B,6.686B,6.153B,6.171B,6.159B,6.642B,6.628B,6.656B,6.641B,7.261B,828.10M,828.10M,828.10M,2.857B,2.910B,3.013B
Retained Earnings,-7.892B,-4.279B,-2.663B,-114.00M,-250.00M,6.623B,6.057B,7.043B,6.596B,6.482B,6.205B,6.07B,5.751B,5.278B,5.137B,5.179B,5.301B,5.391B,5.308B,5.126B,5.316B,5.403B,4.808B,4.756B,4.742B,4.866B,4.909B,4.784B,4.747B,4.957B,4.793B,4.752B,4.712B,4.817B,4.802B,4.624B,4.606B,4.535B,4.457B,4.302B,4.213B,4.097B,3.934B,3.701B,3.614B,3.238B,3.389B,3.237B,3.151B,3.076B,2.925B,2.783B,2.671B,2.633B,2.356B,2.239B,2.139B,2.672B,2.533B,2.379B,2.863B,2.175B,1.947B,1.575B,-1.458B,-1.495B,-2.005B,-2.233B,-1.878B,311.00M,-155.00M,-373.00M,-1.004B,-1.533B,-2.305B,-3.056B,-2.105B,2.126B,2.00B,1.861B,1.674B,2.397B,2.324B,2.248B,2.204B,2.111B,2.041B,1.992B,2.531B,,,,2.636B,2.813B,2.716B
Additional Paid In Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.362B,8.204B,,,7.318B,7.171B,6.983B,6.878B,6.712B,6.646B,6.307B,6.28B,6.265B,6.219B,6.123B,5.984B,5.883B,6.211B,6.162B,6.11B,6.044B,5.999B,5.926B,5.877B,,,,5.827B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.710B,3.716B,3.821B
Treasury Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,703.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.00M,,,,,,,,,286.00M,,,,,,,,,,,,,780.00M,780.00M,780.00M,780.00M,780.00M,780.00M,780.00M,780.00M,780.00M,822.00M,822.00M,895.00M,828.10M,828.10M,828.10M,839.60M,839.60M,870.50M
Accrued Comprehensive Inc,-10.00M,-9.00M,-9.00M,-9.00M,-9.00M,-12.00M,-13.00M,-13.00M,-8.00M,-8.00M,-8.00M,-9.00M,-9.00M,-7.00M,-7.00M,-7.00M,-7.00M,-6.00M,-6.00M,-6.00M,11.00M,26.00M,44.00M,55.00M,50.00M,-70.00M,-71.00M,-91.00M,-101.00M,-186.00M,-195.00M,-203.00M,-213.00M,-176.00M,-184.00M,-193.00M,-202.00M,-224.00M,-232.00M,-240.00M,-160.00M,-200.00M,-207.00M,-214.00M,-221.00M,18.00M,,-706.00M,-708.00M,-722.00M,-728.00M,-732.00M,-737.00M,-726.00M,-726.00M,-726.00M,-748.00M,-749.00M,-751.00M,-753.00M,-748.00M,-796.00M,-798.00M,-802.00M,-795.00M,-849.00M,-852.00M,-797.00M,-783.00M,-891.00M,-735.00M,-729.00M,-660.00M,-737.00M,-799.00M,-1.009B,-694.00M,-690.00M,-690.00M,-690.00M,-694.00M,,,,,,,,,,,,,,
Shareholders Equity,5.136B,8.739B,10.34B,12.88B,12.65B,19.44B,18.81B,19.73B,19.22B,19.03B,18.64B,18.35B,17.94B,17.35B,16.75B,16.61B,16.58B,16.57B,16.02B,15.70B,15.75B,15.78B,15.03B,14.68B,14.34B,14.01B,13.87B,13.57B,13.07B,13.13B,12.80B,12.56B,12.10B,11.96B,11.79B,11.41B,11.28B,11.02B,10.87B,10.37B,10.33B,10.16B,9.946B,9.61B,9.377B,9.139B,8.897B,8.693B,8.553B,8.398B,8.196B,7.977B,7.811B,7.76B,7.464B,7.609B,7.218B,8.235B,8.064B,7.821B,8.633B,7.988B,7.728B,7.313B,4.501B,4.067B,3.497B,3.288B,3.613B,5.642B,5.203B,4.905B,4.322B,3.701B,2.867B,1.906B,3.172B,8.174B,8.018B,7.867B,7.666B,8.55B,8.495B,8.407B,8.846B,8.739B,8.697B,8.633B,9.792B,9.849B,9.077B,9.249B,9.203B,9.439B,9.550B
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,Restated,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
