Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1988-12,1987-12,1986-12,1985-12,1984-12
Total Payables,7.017B,7.825B,5.445B,5.261B,4.885B,5.443B,5.412B,5.059B,4.408B,3.734B,3.825B,4.071B,3.926B,3.392B,3.126B,2.801B,3.069B,3.752B,4.145B,4.063B,5.643B,5.585B,6.537B,5.749B,5.878B,5.754B,5.303B,4.983B,4.724B,5.552B,5.453B,5.77B,5.414B,4.735B,5.267B,5.437B,4.816B,4.035B,4.024B,4.294B,3.306B,3.078B,2.684B,2.689B,3.464B,4.907B,5.226B,4.516B,4.49B,3.068B,2.837B,2.74B,2.263B,2.281B,2.498B,2.335B,2.046B,2.122B,1.912B,1.545B,1.557B,1.417B,1.279B,1.199B,909.00M,884.00M,784.00M,896.00M,785.00M,808.00M,807.00M,736.00M,715.00M,814.00M,842.00M,931.00M,1.091B,1.20B,944.00M,706.00M,812.00M,619.00M,702.00M,417.00M,613.00M,512.00M,495.00M,545.00M,717.00M,902.00M,960.00M,857.00M,617.00M,888.00M,849.00M,869.00M,859.00M,841.00M,844.00M,860.00M,847.00M,817.00M,786.00M,752.00M,870.00M,832.00M,821.00M,902.00M,976.00M,998.00M,921.00M,854.00M,1.33B,946.00M,1.292B,1.423B,1.777B,1.395B,1.285B,1.292B,1.477B,1.142B,,,,,
Accrued Expenses,5.302B,5.175B,2.067B,1.92B,2.411B,2.813B,2.521B,2.011B,2.492B,2.128B,2.05B,2.155B,2.436B,2.296B,2.141B,2.025B,2.213B,2.202B,2.23B,2.152B,2.601B,2.337B,2.332B,2.346B,2.556B,2.488B,2.331B,2.203B,1.966B,2.282B,2.434B,2.328B,2.533B,2.174B,2.23B,2.856B,2.397B,2.162B,1.923B,1.958B,2.291B,1.682B,1.70B,1.647B,1.861B,2.005B,2.307B,1.584B,1.611B,1.465B,1.496B,1.45B,1.72B,1.712B,1.831B,1.829B,1.718B,1.941B,1.282B,1.253B,1.144B,1.043B,965.00M,841.00M,978.00M,887.00M,931.00M,903.00M,914.00M,1.293B,1.37B,1.046B,1.08B,1.256B,1.153B,1.39B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payables and Accrued Expenses,12.32B,13.00B,7.512B,7.181B,7.296B,8.256B,7.933B,7.07B,6.90B,5.862B,5.875B,6.226B,6.362B,5.688B,5.267B,4.826B,5.282B,5.954B,6.375B,6.215B,8.244B,7.922B,8.869B,8.095B,8.434B,8.242B,7.634B,7.186B,6.69B,7.834B,7.887B,8.098B,7.947B,6.909B,7.497B,8.293B,7.213B,6.197B,5.947B,6.252B,5.597B,4.76B,4.384B,4.336B,5.325B,6.912B,7.533B,6.10B,6.101B,4.533B,4.333B,4.19B,3.983B,3.993B,4.329B,4.164B,3.764B,4.063B,3.194B,2.798B,2.701B,2.46B,2.244B,2.04B,1.887B,1.771B,1.715B,1.799B,1.699B,2.101B,2.177B,1.782B,1.795B,2.07B,1.995B,2.321B,1.091B,1.20B,944.00M,706.00M,812.00M,619.00M,702.00M,417.00M,613.00M,512.00M,495.00M,545.00M,717.00M,902.00M,960.00M,857.00M,617.00M,888.00M,849.00M,869.00M,859.00M,841.00M,844.00M,860.00M,847.00M,817.00M,786.00M,752.00M,870.00M,832.00M,821.00M,902.00M,976.00M,998.00M,921.00M,854.00M,1.33B,946.00M,1.292B,1.423B,1.777B,1.395B,1.285B,1.292B,1.477B,1.142B,,,,,
Notes Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.00M,2.00M,243.00M,260.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Borrowings,51.00M,31.00M,116.00M,116.00M,116.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,51.00M,31.00M,116.00M,116.00M,116.00M,116.00M,,,500.00M,500.00M,500.00M,500.00M,,,,2.00B,1.45B,1.45B,1.45B,700.00M,,1.599B,,,,600.00M,600.00M,600.00M,600.00M,,,,,,500.00M,1.00B,,,12.00M,83.00M,239.00M,239.00M,918.00M,918.00M,698.00M,714.00M,,30.00M,47.00M,156.00M,163.00M,449.00M,171.00M,46.00M,71.00M,255.00M,46.00M,21.00M,333.00M,,459.00M,23.00M,182.00M,23.00M,23.00M,28.00M,28.00M,24.00M,206.00M,,,,54.00M,254.00M,243.00M,260.00M,260.00M,223.00M,89.00M,54.00M,34.00M,32.00M,30.00M,30.00M,1.43B,1.43B,1.432B,1.428B,41.00M,26.00M,82.00M,55.00M,47.00M,95.00M,142.00M,68.00M,538.00M,49.00M,146.00M,93.00M,89.00M,58.00M,90.00M,70.00M,74.00M,70.00M,102.00M,39.00M,99.00M,659.00M,346.00M,117.00M,78.00M,606.00M,531.00M,401.00M,301.00M,225.00M,326.00M,238.00M,279.00M,236.00M,261.00M,190.00M,829.10M,340.80M,273.30M
Current Capital Lease Obligation,569.00M,463.00M,252.00M,240.00M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Debt & Capital Lease Obligation,620.00M,494.00M,368.00M,356.00M,116.00M,116.00M,,,500.00M,500.00M,500.00M,500.00M,,,,2.00B,1.45B,1.45B,1.45B,700.00M,,1.599B,,,,600.00M,600.00M,600.00M,600.00M,,,,,,500.00M,1.00B,,,12.00M,83.00M,239.00M,239.00M,918.00M,918.00M,698.00M,714.00M,,30.00M,47.00M,156.00M,163.00M,449.00M,171.00M,46.00M,71.00M,255.00M,46.00M,21.00M,333.00M,,459.00M,23.00M,182.00M,23.00M,23.00M,28.00M,28.00M,24.00M,206.00M,,,,54.00M,254.00M,243.00M,260.00M,260.00M,223.00M,89.00M,54.00M,34.00M,32.00M,30.00M,30.00M,1.43B,1.43B,1.432B,1.428B,41.00M,26.00M,82.00M,55.00M,47.00M,95.00M,142.00M,68.00M,538.00M,49.00M,146.00M,93.00M,89.00M,58.00M,90.00M,70.00M,74.00M,70.00M,102.00M,39.00M,99.00M,659.00M,346.00M,117.00M,78.00M,606.00M,531.00M,401.00M,301.00M,225.00M,326.00M,238.00M,279.00M,236.00M,261.00M,190.00M,829.10M,340.80M,273.30M
Current Deferred Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.00M,,,,,,,,,,,,,103.00M,212.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Tax Liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.00M,,,,,,,,,,,,,103.00M,212.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Liability,2.01B,2.203B,,,,,145.00M,,,,16.00M,126.00M,,,,,110.00M,29.00M,,,,,,95.00M,,,,,,,,,,95.00M,96.00M,98.00M,612.00M,101.00M,103.00M,105.00M,655.00M,107.00M,109.00M,111.00M,111.00M,438.00M,711.00M,901.00M,118.00M,274.00M,653.00M,616.00M,541.00M,455.00M,426.00M,1.236B,462.00M,485.00M,290.00M,542.00M,263.00M,,298.00M,454.00M,616.00M,162.00M,208.00M,315.00M,330.00M,199.00M,80.00M,55.00M,45.00M,194.00M,,,1.389B,1.233B,1.244B,1.086B,1.121B,926.00M,929.00M,870.00M,888.00M,927.00M,1.022B,1.188B,1.121B,1.218B,1.252B,1.347B,1.173B,1.178B,1.176B,1.199B,1.26B,1.143B,1.241B,1.177B,1.265B,1.141B,1.114B,1.077B,1.104B,1.137B,1.095B,1.265B,1.215B,1.251B,1.353B,1.43B,1.37B,1.658B,1.733B,1.95B,2.236B,1.603B,1.602B,1.707B,1.849B,1.762B,3.307B,2.757B,2.484B,2.129B,2.094B
Total Current Liabilities,14.95B,15.70B,7.88B,7.537B,7.412B,8.372B,8.078B,7.07B,7.40B,6.362B,6.391B,6.852B,6.362B,5.688B,5.267B,6.826B,6.842B,7.433B,7.825B,6.915B,8.244B,9.521B,8.869B,8.19B,8.434B,8.842B,8.234B,7.786B,7.29B,7.834B,7.887B,8.098B,7.947B,7.004B,8.093B,9.391B,7.825B,6.298B,6.062B,6.44B,6.491B,5.106B,5.411B,5.365B,6.134B,8.064B,8.244B,7.031B,6.266B,4.963B,5.149B,5.255B,4.695B,4.494B,4.826B,5.655B,4.272B,4.569B,3.817B,3.34B,3.423B,2.866B,2.724B,2.517B,2.526B,1.961B,1.951B,2.138B,2.235B,2.30B,2.257B,1.837B,1.894B,2.518B,2.341B,2.793B,2.74B,2.656B,2.277B,1.846B,1.967B,1.577B,1.661B,1.317B,2.931B,2.869B,2.949B,3.161B,1.879B,2.146B,2.294B,2.259B,1.837B,2.161B,2.167B,2.136B,2.657B,2.033B,2.231B,2.13B,2.201B,2.016B,1.99B,1.899B,2.048B,2.039B,2.018B,2.206B,2.29B,2.908B,2.62B,2.401B,2.778B,3.21B,3.556B,3.774B,4.314B,3.223B,3.213B,3.237B,3.605B,3.14B,3.568B,2.947B,3.313B,2.470B,2.367B
Long Term Provisions - Legal & Other,5.42B,5.069B,2.197B,2.185B,2.186B,1.989B,1.975B,1.977B,1.969B,,,,1.984B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of Long Term Debt,38.19B,47.58B,10.16B,10.20B,10.20B,10.20B,10.31B,10.31B,9.328B,9.326B,9.324B,9.322B,9.819B,8.333B,8.331B,5.608B,6.855B,6.882B,6.88B,6.139B,6.838B,6.837B,6.835B,6.877B,6.939B,6.961B,7.026B,7.024B,7.023B,7.622B,7.62B,5.873B,5.871B,5.87B,3.749B,3.748B,5.111B,2.512B,2.511B,2.511B,2.557B,2.556B,2.567B,1.822B,2.049B,1.057B,1.775B,1.775B,1.741B,1.748B,1.717B,1.691B,2.619B,2.847B,2.816B,3.273B,2.873B,2.896B,3.027B,3.365B,3.345B,3.809B,3.788B,4.018B,3.993B,4.051B,4.065B,3.998B,3.997B,4.141B,4.09B,4.051B,4.065B,3.955B,4.794B,4.986B,5.185B,5.894B,6.661B,4.513B,4.368B,5.144B,5.312B,5.454B,5.367B,5.83B,5.608B,5.931B,4.925B,4.785B,4.743B,4.639B,4.511B,4.57B,4.806B,4.964B,4.819B,5.271B,5.191B,5.711B,5.823B,5.682B,5.606B,5.538B,5.728B,5.596B,5.283B,5.018B,5.452B,5.572B,5.556B,5.577B,5.546B,5.881B,8.079B,8.132B,7.925B,8.565B,8.07B,7.947B,8.153B,8.161B,7.617B,6.422B,7.544B,3.845B,3.882B
Long Term Cap Lease Obligation,1.201B,676.00M,445.00M,465.00M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of LTD and Capital Lease Obligation,39.39B,48.26B,10.60B,10.67B,10.20B,10.20B,10.31B,10.31B,9.328B,9.326B,9.324B,9.322B,9.819B,8.333B,8.331B,5.608B,6.855B,6.882B,6.88B,6.139B,6.838B,6.837B,6.835B,6.877B,6.939B,6.961B,7.026B,7.024B,7.023B,7.622B,7.62B,5.873B,5.871B,5.87B,3.749B,3.748B,5.111B,2.512B,2.511B,2.511B,2.557B,2.556B,2.567B,1.822B,2.049B,1.057B,1.775B,1.775B,1.741B,1.748B,1.717B,1.691B,2.619B,2.847B,2.816B,3.273B,2.873B,2.896B,3.027B,3.365B,3.345B,3.809B,3.788B,4.018B,3.993B,4.051B,4.065B,3.998B,3.997B,4.141B,4.09B,4.051B,4.065B,3.955B,4.794B,4.986B,5.185B,5.894B,6.661B,4.513B,4.368B,5.144B,5.312B,5.454B,5.367B,5.83B,5.608B,5.931B,4.925B,4.785B,4.743B,4.639B,4.511B,4.57B,4.806B,4.964B,4.819B,5.271B,5.191B,5.711B,5.823B,5.682B,5.606B,5.538B,5.728B,5.596B,5.283B,5.018B,5.452B,5.572B,5.556B,5.577B,5.546B,5.881B,8.079B,8.132B,7.925B,8.565B,8.07B,7.947B,8.153B,8.161B,7.617B,6.422B,7.544B,3.845B,3.882B
Long Term Deferred Tax Liabilities,9.717B,9.92B,950.00M,918.00M,907.00M,1.162B,738.00M,659.00M,581.00M,978.00M,1.059B,1.031B,1.132B,1.411B,1.646B,1.642B,1.323B,2.579B,3.153B,2.947B,3.015B,7.634B,7.313B,7.398B,7.197B,7.048B,6.658B,6.31B,6.039B,6.111B,5.644B,5.203B,4.846B,4.494B,4.002B,3.724B,3.445B,3.45B,3.321B,3.236B,2.80B,2.813B,2.714B,2.675B,2.66B,2.874B,2.223B,2.365B,2.324B,2.308B,2.253B,2.343B,2.366B,2.209B,2.044B,2.055B,970.00M,843.00M,1.146B,1.203B,1.248B,1.114B,1.111B,1.036B,1.001B,1.071B,996.00M,985.00M,982.00M,968.00M,1.252B,1.125B,1.103B,1.22B,1.384B,1.356B,1.28B,1.342B,1.225B,1.053B,995.00M,967.00M,891.00M,844.00M,825.00M,925.00M,941.00M,871.00M,1.028B,2.546B,2.551B,2.551B,839.00M,2.53B,2.655B,2.619B,2.62B,2.549B,2.571B,2.539B,2.565B,2.367B,2.349B,2.347B,2.388B,2.268B,,,,,,,199.00M,,,,672.00M,,,,833.00M,,632.00M,589.00M,566.10M,547.70M,652.90M
Non-Current Deferred Liabilities,9.717B,9.92B,950.00M,918.00M,907.00M,1.162B,738.00M,659.00M,581.00M,978.00M,1.059B,1.031B,1.132B,1.411B,1.646B,1.642B,1.323B,2.579B,3.153B,2.947B,3.015B,7.634B,7.313B,7.398B,7.197B,7.048B,6.658B,6.31B,6.039B,6.111B,5.644B,5.203B,4.846B,4.494B,4.002B,3.724B,3.445B,6.849B,6.774B,3.236B,2.80B,6.032B,5.97B,2.675B,6.029B,2.874B,2.223B,2.365B,5.654B,2.308B,2.253B,2.343B,2.366B,2.209B,2.044B,2.055B,970.00M,843.00M,1.146B,1.203B,1.248B,1.114B,1.111B,1.036B,1.001B,1.071B,996.00M,985.00M,982.00M,968.00M,1.252B,1.125B,1.103B,1.22B,1.384B,1.356B,1.28B,1.342B,1.225B,1.053B,995.00M,967.00M,891.00M,844.00M,825.00M,925.00M,941.00M,871.00M,1.028B,2.546B,2.551B,2.551B,839.00M,2.53B,2.655B,2.619B,2.62B,2.549B,2.571B,2.539B,2.565B,2.367B,2.349B,2.347B,2.388B,2.268B,,,,,,,199.00M,,,,672.00M,,,,833.00M,,632.00M,589.00M,566.10M,547.70M,652.90M
Pension Liability,1.807B,1.927B,819.00M,816.00M,809.00M,828.00M,1.01B,1.008B,1.005B,,,,963.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minority Interest Ownership,,4.925B,,,,4.00M,,,,,,,,,,,,,,,,606.00M,523.00M,371.00M,246.00M,178.00M,97.00M,58.00M,32.00M,,,,0.00,,,,0.00,136.00M,114.00M,102.00M,78.00M,62.00M,61.00M,34.00M,25.00M,31.00M,42.00M,31.00M,,105.00M,378.00M,361.00M,352.00M,356.00M,358.00M,356.00M,340.00M,330.00M,366.00M,347.00M,327.00M,343.00M,341.00M,325.00M,312.00M,323.00M,326.00M,331.00M,333.00M,260.00M,259.00M,2.224B,2.224B,2.228B,2.222B,2.254B,2.738B,2.745B,2.27B,743.00M,738.00M,754.00M,763.00M,525.00M,5.00M,,,,,,,,,,,,,,,,6.00M,5.00M,5.00M,12.00M,13.00M,13.00M,12.00M,12.00M,3.00M,53.00M,53.00M,53.00M,63.00M,64.00M,178.00M,187.00M,233.00M,237.00M,239.00M,234.00M,243.00M,256.00M,,,,,
Preferred Securities out of Shareholders Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.00M,454.00M,454.00M,455.00M,456.00M,459.00M,461.00M,463.00M,467.00M,468.00M,471.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Liabilities,3.814B,3.566B,977.00M,1.02B,1.009B,915.00M,1.023B,1.063B,1.171B,4.108B,4.171B,4.181B,1.352B,3.902B,4.05B,4.153B,4.039B,3.313B,3.209B,3.224B,3.203B,3.433B,3.464B,3.441B,3.501B,3.618B,3.654B,3.764B,3.81B,3.584B,3.582B,3.701B,3.76B,3.295B,3.484B,3.432B,3.567B,,,3.307B,3.222B,,,3.289B,,3.626B,4.017B,3.341B,35.00M,2.997B,3.064B,3.016B,3.147B,2.937B,3.157B,2.914B,2.621B,2.55B,2.898B,2.781B,2.498B,2.466B,2.375B,2.306B,2.407B,2.351B,2.333B,2.359B,2.228B,2.193B,2.332B,2.437B,2.467B,2.512B,2.682B,2.881B,2.697B,2.615B,2.921B,2.466B,2.534B,2.477B,2.556B,2.648B,2.761B,2.234B,2.306B,2.614B,3.173B,2.736B,2.802B,2.868B,2.654B,3.004B,3.025B,3.081B,3.089B,2.894B,2.987B,2.975B,2.937B,2.918B,2.902B,2.96B,2.988B,3.178B,6.35B,6.47B,6.692B,3.074B,3.182B,3.30B,3.189B,3.049B,3.049B,3.148B,2.474B,2.758B,2.734B,2.84B,1.995B,3.118B,2.746B,1.657B,1.736B,1.443B,2.803B
Total Long Term Liabilities,60.15B,68.74B,15.54B,15.61B,15.11B,15.09B,15.06B,15.02B,14.05B,14.41B,14.55B,14.53B,15.25B,13.65B,14.03B,11.40B,12.22B,12.77B,13.24B,12.31B,13.06B,17.90B,17.61B,17.72B,17.64B,17.63B,17.34B,17.10B,16.87B,17.32B,16.85B,14.78B,14.48B,13.76B,11.34B,11.02B,12.12B,9.361B,9.285B,9.054B,8.579B,8.588B,8.537B,7.786B,8.078B,7.557B,8.015B,7.481B,7.43B,7.053B,7.034B,7.05B,8.132B,7.993B,8.017B,8.242B,6.464B,6.289B,7.071B,7.349B,7.091B,7.389B,7.274B,7.36B,7.401B,7.927B,7.848B,7.796B,7.662B,7.758B,8.133B,8.074B,8.098B,8.154B,9.328B,9.694B,9.162B,9.851B,10.81B,8.032B,7.897B,8.588B,8.759B,8.946B,8.953B,8.989B,8.855B,9.416B,9.126B,10.07B,10.10B,10.06B,8.004B,10.10B,10.49B,10.66B,10.53B,10.71B,10.75B,11.22B,11.32B,10.97B,10.86B,10.84B,11.10B,11.04B,11.63B,11.49B,12.14B,8.646B,8.738B,8.877B,8.934B,8.93B,11.13B,11.28B,11.07B,11.32B,10.80B,10.79B,10.98B,11.28B,11.00B,8.668B,9.845B,5.835B,7.337B
Total Liabilities,75.10B,84.44B,23.42B,23.14B,22.52B,23.46B,23.14B,22.09B,21.45B,20.77B,20.94B,21.39B,21.61B,19.33B,19.29B,18.23B,19.06B,20.21B,21.07B,19.22B,21.30B,27.42B,26.48B,25.91B,26.07B,26.47B,25.57B,24.88B,24.16B,25.15B,24.73B,22.88B,22.42B,20.76B,19.44B,20.41B,19.95B,15.66B,15.35B,15.49B,15.07B,13.69B,13.95B,13.15B,14.21B,15.62B,16.26B,14.51B,13.70B,12.02B,12.18B,12.30B,12.83B,12.49B,12.84B,13.90B,10.74B,10.86B,10.89B,10.69B,10.51B,10.26B,9.998B,9.877B,9.927B,9.888B,9.799B,9.934B,9.897B,10.06B,10.39B,9.911B,9.992B,10.67B,11.67B,12.49B,11.90B,12.51B,13.08B,9.878B,9.864B,10.16B,10.42B,10.26B,11.88B,11.86B,11.80B,12.58B,11.00B,12.21B,12.39B,12.32B,9.841B,12.26B,12.65B,12.80B,13.18B,12.75B,12.98B,13.36B,13.53B,12.98B,12.85B,12.74B,13.15B,13.08B,13.65B,13.69B,14.43B,11.55B,11.36B,11.28B,11.71B,12.14B,14.68B,15.05B,15.38B,14.55B,14.02B,14.02B,14.59B,14.42B,14.56B,11.62B,13.16B,8.305B,9.704B
Total Capital Stock,9.971B,9.971B,179.00M,179.00M,179.00M,179.00M,179.00M,179.00M,179.00M,179.00M,179.00M,179.00M,178.00M,178.00M,178.00M,178.00M,178.00M,178.00M,178.00M,178.00M,178.00M,178.00M,178.00M,178.00M,178.00M,178.00M,178.00M,178.00M,178.00M,178.00M,177.00M,177.00M,177.00M,177.00M,177.00M,177.00M,177.00M,177.00M,177.00M,177.00M,177.00M,177.00M,176.00M,176.00M,176.00M,176.00M,176.00M,176.00M,175.00M,175.00M,175.00M,174.00M,174.00M,174.00M,87.00M,86.00M,161.00M,81.00M,80.00M,79.00M,79.00M,79.00M,78.00M,78.00M,77.00M,77.00M,77.00M,76.00M,75.00M,75.00M,75.00M,75.00M,75.00M,75.00M,75.00M,74.00M,74.00M,74.00M,74.00M,74.00M,73.00M,73.00M,238.00M,243.00M,312.00M,269.00M,294.00M,295.00M,1.177B,1.252B,1.337B,1.331B,2.725B,1.325B,1.325B,1.325B,1.325B,1.325B,1.325B,1.325B,1.325B,1.144B,1.145B,1.145B,575.00M,575.00M,575.00M,575.00M,,,40.00M,40.00M,40.00M,13.00M,53.00M,53.00M,53.00M,53.00M,53.00M,53.00M,53.00M,53.00M,,,,,
Retained Earnings,20.18B,22.23B,23.85B,23.80B,23.75B,23.64B,22.36B,22.11B,21.94B,22.03B,22.44B,22.51B,22.98B,23.84B,24.66B,25.38B,25.96B,31.71B,34.90B,35.29B,36.07B,44.17B,43.52B,42.65B,41.83B,40.70B,39.63B,38.83B,37.99B,38.09B,37.15B,36.26B,35.14B,33.88B,32.48B,31.04B,29.87B,28.96B,28.08B,27.33B,26.53B,25.86B,25.21B,24.79B,24.68B,24.50B,22.49B,20.46B,18.82B,17.57B,16.46B,15.23B,13.99B,13.18B,12.20B,11.50B,10.42B,9.419B,7.799B,6.387B,5.664B,5.032B,4.382B,3.909B,3.53B,3.248B,2.902B,2.628B,2.303B,2.079B,1.866B,1.719B,1.788B,2.035B,1.778B,1.398B,1.007B,766.00M,456.00M,-15.00M,-286.00M,-669.00M,-795.00M,-804.00M,-734.00M,-696.00M,-735.00M,-921.00M,-1.097B,-231.00M,-388.00M,-546.00M,-726.00M,-893.00M,-1.087B,-1.269B,-1.402B,-1.425B,-1.564B,-1.751B,-1.929B,-1.919B,-1.943B,-1.924B,-1.883B,-1.928B,-1.999B,-2.074B,-2.152B,-1.318B,-1.377B,-1.452B,-1.551B,-1.553B,-1.724B,-1.872B,-2.008B,1.00M,1.00M,1.00M,1.00M,141.00M,387.00M,736.00M,1.047B,1.343B,1.365B
Additional Paid In Capital,14.96B,14.87B,8.157B,8.083B,8.046B,7.991B,7.967B,7.916B,7.884B,7.85B,7.824B,7.783B,7.747B,7.719B,7.697B,7.668B,7.64B,7.664B,7.651B,7.632B,7.599B,7.57B,7.564B,7.543B,7.515B,7.508B,7.51B,7.468B,7.441B,7.398B,7.371B,7.313B,7.286B,7.273B,7.221B,7.201B,7.191B,7.182B,7.193B,7.138B,7.127B,7.132B,7.164B,7.141B,7.113B,7.083B,7.085B,7.08B,7.071B,7.043B,7.002B,6.948B,6.905B,6.946B,6.998B,7.01B,4.827B,4.883B,4.762B,4.713B,4.652B,4.559B,4.437B,4.407B,4.272B,4.16B,4.088B,3.982B,3.967B,3.939B,3.916B,3.873B,3.857B,3.843B,3.82B,3.753B,3.743B,3.727B,3.714B,3.71B,3.787B,3.869B,,,3.814B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treasury Stock,10.65B,10.65B,10.65B,10.65B,10.47B,10.16B,9.268B,9.168B,9.168B,9.154B,9.149B,9.143B,9.143B,9.143B,9.136B,9.128B,9.121B,9.113B,9.107B,8.734B,8.528B,8.146B,7.681B,7.079B,6.095B,5.148B,5.113B,5.091B,5.091B,4.71B,4.66B,4.517B,4.502B,4.434B,4.271B,4.241B,4.228B,4.172B,4.172B,4.161B,4.161B,4.15B,4.13B,4.13B,4.121B,4.121B,3.50B,3.046B,2.61B,2.391B,2.038B,1.802B,1.481B,1.296B,978.00M,229.00M,8.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred Stock,9.762B,9.762B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.00M,243.00M,243.00M,269.00M,294.00M,295.00M,1.177B,1.252B,1.337B,1.331B,2.725B,1.325B,1.325B,1.325B,1.325B,1.325B,1.325B,1.325B,1.325B,1.144B,1.145B,1.145B,575.00M,575.00M,575.00M,575.00M,,,40.00M,40.00M,40.00M,13.00M,53.00M,53.00M,53.00M,53.00M,53.00M,53.00M,53.00M,53.00M,,,,,
Adjustments for Foreign Currency Translation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Equity Adjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-309.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
