Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Payables and Accrued Expenses,186.01M,178.83M,154.75M,231.62M,182.93M,169.60M,148.71M,158.30M,177.77M,136.37M,118.46M,143.90M,164.79M,81.90M,63.06M,59.14M,160.70M,63.17M,70.09M,83.19M,112.97M,89.95M,171.66M,163.66M,182.09M,158.36M,153.42M,161.50M,198.91M,140.54M,148.73M,134.26M,166.95M,154.25M,128.85M,150.65M,171.71M,148.91M,123.45M,146.87M,160.86M,150.36M,115.67M,155.59M,419.14M,399.71M,457.14M,431.60M,336.30M,323.44M,460.63M,1.093B,914.60M,860.50M,882.82M,1.089B,1.627B,2.164B,772.39M,894.60M,727.89M,622.18M,753.32M,691.44M,726.37M,675.93M,775.38M,902.05M,840.62M,714.52M,793.93M,694.10M,851.55M,1.201B,2.030B,8.549B,8.886B,3.234B,4.886B,1.254B,1.187B,1.218B,1.217B,1.085B,864.30M,771.40M,616.00M,475.30M,339.70M,182.10M,184.40M,184.60M,203.50M,171.20M,186.20M,198.20M,168.90M,137.60M,128.20M,147.40M,132.60M,124.80M,114.90M,136.00M
Liability on Credit Line,,119.30M,169.00M,119.00M,190.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Borrowings,237.80M,15.00M,104.99M,104.99M,107.64M,37.63M,2.598M,325.07M,382.84M,383.92M,414.21M,108.32M,123.29M,87.26M,253.23M,183.20M,198.17M,223.10M,93.16M,68.13M,112.86M,47.14M,165.66M,125.24M,187.76M,132.35M,161.48M,118.16M,117.34M,97.02M,105.73M,68.39M,117.14M,117.23M,95.42M,78.11M,122.82M,,,,127.89M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,237.80M,134.30M,273.99M,223.99M,297.64M,37.63M,2.598M,325.07M,382.84M,383.92M,414.21M,108.32M,123.29M,87.26M,253.23M,183.20M,198.17M,223.10M,93.16M,68.13M,112.86M,47.14M,165.66M,125.24M,187.76M,132.35M,161.48M,118.16M,117.34M,97.02M,105.73M,68.39M,117.14M,117.23M,95.42M,78.11M,122.82M,112.53M,135.15M,122.25M,127.89M,60.61M,280.54M,243.23M,269.41M,195.42M,158.88M,208.70M,427.34M,307.61M,323.72M,14.61M,30.60M,232.76M,208.44M,224.97M,103.02M,209.01M,186.05M,160.01M,153.95M,183.08M,130.34M,85.42M,111.99M,101.81M,97.87M,71.87M,101.90M,166.19M,87.60M,49.20M,76.93M,240.51M,95.27M,278.38M,252.61M,118.10M,133.83M,,,,,,,,,,,,,,,,,,,,,,,,,
Current Capital Lease Obligation,,,,6.815M,,,,,,,,,,,,,,,,,,,,,,,,,,113.61M,128.60M,164.00M,,104.52M,67.10M,52.91M,100.54M,,,,51.65M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Debt & Capital Lease Obligation,237.80M,134.30M,273.99M,230.80M,297.64M,37.63M,2.598M,325.07M,382.84M,383.92M,414.21M,108.32M,123.29M,87.26M,253.23M,183.20M,198.17M,223.10M,93.16M,68.13M,112.86M,47.14M,165.66M,125.24M,187.76M,132.35M,161.48M,118.16M,117.34M,210.64M,234.33M,232.40M,117.14M,221.75M,162.52M,131.02M,223.36M,112.53M,135.15M,122.25M,179.54M,60.61M,280.54M,243.23M,269.41M,195.42M,158.88M,208.70M,427.34M,307.61M,323.72M,14.61M,30.60M,232.76M,208.44M,224.97M,103.02M,209.01M,186.05M,160.01M,153.95M,183.08M,130.34M,85.42M,111.99M,101.81M,97.87M,71.87M,101.90M,166.19M,87.60M,49.20M,76.93M,240.51M,95.27M,278.38M,252.61M,118.10M,133.83M,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Liabilities,,,,,,,,31.15M,,34.40M,28.97M,30.99M,30.82M,,,,17.88M,,,,,,,,,,,,,,,,,,,,22.07M,25.70M,25.60M,30.13M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Liability,98.07M,77.24M,76.82M,94.71M,149.86M,129.64M,127.39M,144.27M,125.35M,107.01M,109.23M,72.72M,77.64M,172.73M,185.43M,189.50M,87.70M,161.46M,143.70M,174.31M,159.44M,133.74M,127.01M,281.32M,255.49M,259.52M,267.55M,300.12M,259.90M,196.68M,201.59M,238.37M,343.08M,200.56M,163.58M,172.44M,162.03M,244.49M,192.35M,206.38M,163.02M,236.32M,225.63M,224.76M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10M,-0.10M,,-0.10M,-0.10M,,0.10M,,,,,,,,,0.10M,0.10M,-0.10M,-0.10M,-0.10M,,0.10M,0.10M
Total Current Liabilities,530.71M,399.18M,516.74M,566.64M,639.58M,346.90M,289.07M,669.70M,697.50M,673.25M,682.11M,366.82M,407.53M,341.88M,501.71M,431.84M,474.68M,447.74M,306.95M,325.63M,385.27M,270.82M,464.33M,570.22M,625.34M,550.24M,582.46M,579.78M,576.15M,547.85M,584.65M,605.03M,627.17M,576.55M,454.95M,454.12M,579.18M,531.62M,476.56M,505.62M,503.42M,447.28M,621.84M,623.59M,688.54M,595.13M,616.03M,640.30M,763.65M,631.05M,784.35M,1.108B,945.21M,1.093B,1.091B,1.314B,1.730B,2.373B,958.44M,1.055B,881.84M,805.27M,883.67M,776.86M,838.35M,777.74M,873.25M,973.92M,942.52M,880.71M,881.53M,743.31M,928.47M,1.442B,2.125B,8.828B,9.139B,3.353B,5.020B,1.254B,1.187B,1.218B,1.217B,1.085B,864.20M,771.30M,616.00M,475.40M,339.70M,182.10M,184.40M,184.60M,203.50M,171.20M,186.20M,198.20M,169.00M,137.70M,128.10M,147.30M,132.50M,124.80M,115.00M,136.10M
Long Term Provisions - Legal & Other,20.34M,18.07M,18.60M,18.46M,18.27M,,,,17.48M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of Long Term Debt,1.895B,1.931B,1.753B,1.753B,1.807B,1.912B,1.913B,1.543B,1.543B,1.543B,1.455B,1.730B,1.730B,1.730B,1.531B,1.531B,1.532B,1.443B,1.546B,1.547B,1.532B,1.464B,1.320B,1.366B,1.371B,1.379B,1.295B,1.298B,1.302B,1.279B,1.285B,1.301B,1.254B,1.173B,1.186B,1.197B,1.200B,1.140B,1.143B,1.146B,1.088B,1.112B,861.65M,923.09M,922.66M,892.32M,891.73M,865.94M,634.89M,768.61M,768.78M,1.063B,1.063B,932.44M,933.80M,941.00M,1.103B,957.69M,988.11M,988.53M,1.015B,1.000B,1.022B,1.044B,1.038B,899.05M,879.85M,887.65M,902.64M,920.23M,984.63M,1.130B,1.176B,1.026B,1.047B,679.48M,679.81M,743.15M,593.29M,668.78M,718.20M,786.80M,680.90M,715.90M,730.00M,752.70M,788.50M,730.80M,762.20M,730.40M,653.50M,700.30M,764.50M,727.10M,737.80M,707.80M,738.30M,688.50M,701.40M,691.70M,721.10M,664.40M,652.50M,624.80M
Long Term Cap Lease Obligation,117.32M,121.38M,121.38M,121.48M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of LTD and Capital Lease Obligation,2.013B,2.052B,1.874B,1.874B,1.807B,1.912B,1.913B,1.543B,1.543B,1.543B,1.455B,1.730B,1.730B,1.730B,1.531B,1.531B,1.532B,1.443B,1.546B,1.547B,1.532B,1.464B,1.320B,1.366B,1.371B,1.379B,1.295B,1.298B,1.302B,1.279B,1.285B,1.301B,1.254B,1.173B,1.186B,1.197B,1.200B,1.140B,1.143B,1.146B,1.088B,1.112B,861.65M,923.09M,922.66M,892.32M,891.73M,865.94M,634.89M,768.61M,768.78M,1.063B,1.063B,932.44M,933.80M,941.00M,1.103B,957.69M,988.11M,988.53M,1.015B,1.000B,1.022B,1.044B,1.038B,899.05M,879.85M,887.65M,902.64M,920.23M,984.63M,1.130B,1.176B,1.026B,1.047B,679.48M,679.81M,743.15M,593.29M,668.78M,718.20M,786.80M,680.90M,715.90M,730.00M,752.70M,788.50M,730.80M,762.20M,730.40M,653.50M,700.30M,764.50M,727.10M,737.80M,707.80M,738.30M,688.50M,701.40M,691.70M,721.10M,664.40M,652.50M,624.80M
Long Term Deferred Tax Liabilities,558.96M,545.99M,539.31M,533.31M,517.33M,488.77M,472.55M,464.60M,496.90M,903.94M,886.73M,866.86M,840.93M,816.33M,783.96M,762.52M,747.48M,724.47M,718.26M,714.44M,710.34M,640.26M,542.09M,534.54M,535.34M,528.98M,517.83M,522.92M,524.88M,527.40M,517.57M,508.75M,505.95M,516.30M,493.62M,492.30M,495.47M,475.57M,492.46M,491.58M,494.67M,443.44M,463.96M,470.91M,488.94M,464.89M,444.56M,440.60M,440.92M,440.01M,425.20M,430.39M,461.01M,465.03M,470.89M,481.53M,488.93M,498.61M,486.09M,479.45M,488.47M,491.63M,488.21M,492.09M,492.80M,438.11M,435.29M,449.37M,452.46M,469.49M,484.54M,493.29M,517.43M,534.88M,499.60M,467.62M,446.31M,400.48M,364.05M,375.41M,377.00M,371.60M,369.60M,367.50M,357.70M,355.40M,358.80M,360.60M,352.70M,347.00M,348.00M,322.60M,312.50M,306.60M,307.60M,313.10M,307.50M,317.30M,317.50M,313.30M,312.60M,295.10M,296.10M,293.70M
Non-Current Deferred Liabilities,558.96M,545.99M,539.31M,533.31M,517.33M,488.77M,472.55M,464.60M,496.90M,903.94M,886.73M,866.86M,840.93M,816.33M,783.96M,762.52M,747.48M,724.47M,718.26M,714.44M,710.34M,640.26M,542.09M,534.54M,535.34M,528.98M,517.83M,522.92M,524.88M,632.88M,621.95M,618.75M,505.95M,608.30M,586.52M,588.42M,605.18M,475.57M,492.46M,491.58M,547.33M,443.44M,463.96M,470.91M,488.94M,464.89M,444.56M,440.60M,440.92M,440.01M,425.20M,430.39M,461.01M,465.03M,470.89M,481.53M,488.93M,498.61M,486.09M,479.45M,488.47M,491.63M,488.21M,492.09M,492.80M,438.11M,435.29M,449.37M,452.46M,469.49M,484.54M,493.29M,517.43M,534.88M,499.60M,467.62M,446.31M,400.48M,364.05M,375.41M,377.00M,371.60M,369.60M,367.50M,357.70M,355.40M,358.80M,360.60M,352.70M,347.00M,348.00M,322.60M,312.50M,306.60M,307.60M,313.10M,307.50M,317.30M,317.50M,313.30M,2.40M,2.40M,2.40M,2.40M
Pension Liability,212.01M,210.29M,214.98M,218.46M,222.54M,191.02M,195.23M,200.16M,203.57M,216.46M,219.58M,223.30M,226.55M,202.33M,202.06M,202.01M,201.45M,188.71M,188.86M,188.80M,189.49M,95.04M,103.42M,113.42M,122.51M,252.33M,263.27M,274.18M,283.98M,214.84M,225.25M,235.58M,246.18M,162.55M,169.56M,157.70M,161.19M,109.43M,114.43M,118.84M,123.28M,144.88M,157.33M,170.74M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derivative Contract Liabilities,19.68M,46.05M,27.20M,10.86M,10.30M,,,,10.46M,1.33M,0.336M,23.14M,28.70M,89.68M,,,30.68M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minority Interest Ownership,0.00,0.00,0.00,0.912M,0.825M,0.799M,0.249M,0.182M,0.656M,0.619M,-0.279M,-0.23M,-0.251M,-0.263M,-0.29M,-0.323M,-0.339M,-0.356M,-0.388M,-0.416M,-0.429M,-0.451M,-0.471M,20.63M,20.00M,21.05M,20.61M,20.76M,17.66M,24.16M,53.00M,57.16M,0.174M,51.54M,51.82M,42.24M,46.12M,-0.619M,-0.657M,-0.67M,34.16M,11.04M,9.507M,11.10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40M,1.30M,1.20M,1.20M,1.20M,1.00M,1.10M
Preferred Securities out of Shareholders Equity,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,15.96M,15.89M,8.33M,7.817M,7.97M,4.938M,,,,51.81M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.00M,29.75M,29.75M,29.75M,100.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Liabilities,13.41M,13.20M,13.06M,13.56M,12.74M,69.42M,69.43M,147.70M,14.91M,158.70M,162.16M,168.59M,153.32M,135.58M,165.42M,174.08M,130.82M,165.84M,146.47M,149.16M,146.24M,120.55M,114.54M,119.30M,130.32M,122.21M,122.49M,106.40M,110.22M,,,,116.08M,,,,,167.68M,124.45M,124.09M,,71.29M,96.15M,85.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Long Term Liabilities,3.612B,3.672B,3.477B,3.455B,3.369B,3.460B,3.450B,3.057B,3.087B,3.108B,3.004B,3.288B,3.254B,3.245B,2.951B,2.935B,2.904B,2.783B,2.859B,2.857B,2.832B,2.574B,2.328B,2.395B,2.418B,2.541B,2.451B,2.448B,2.460B,2.358B,2.362B,2.384B,2.401B,2.170B,2.168B,2.167B,2.189B,2.115B,2.099B,2.102B,2.018B,2.063B,1.833B,1.890B,1.412B,1.357B,1.336B,1.307B,1.076B,1.209B,1.194B,1.494B,1.524B,1.397B,1.405B,1.423B,1.592B,1.456B,1.474B,1.468B,1.503B,1.520B,1.540B,1.566B,1.561B,1.437B,1.315B,1.337B,1.355B,1.390B,1.469B,1.624B,1.693B,1.561B,1.546B,1.147B,1.126B,1.144B,957.34M,1.044B,1.095B,1.158B,1.050B,1.083B,1.088B,1.108B,1.147B,1.091B,1.115B,1.077B,1.002B,1.023B,1.077B,1.034B,1.045B,1.021B,1.046B,1.006B,1.019B,1.005B,723.50M,666.80M,654.90M,627.20M
Total Liabilities,4.143B,4.071B,3.994B,4.022B,4.009B,3.807B,3.739B,3.727B,3.784B,3.781B,3.686B,3.655B,3.661B,3.587B,3.452B,3.367B,3.378B,3.231B,3.166B,3.182B,3.218B,2.845B,2.793B,2.965B,3.044B,3.092B,3.033B,3.027B,3.036B,2.906B,2.947B,2.989B,3.029B,2.746B,2.623B,2.621B,2.768B,2.647B,2.576B,2.607B,2.522B,2.511B,2.455B,2.513B,2.634B,2.406B,2.434B,2.384B,2.276B,2.247B,2.379B,2.977B,3.140B,3.131B,3.222B,3.473B,4.151B,4.779B,3.203B,3.192B,2.930B,2.859B,2.949B,2.837B,2.880B,2.602B,2.657B,2.717B,2.954B,2.675B,2.784B,2.845B,3.182B,3.798B,4.627B,11.88B,11.72B,5.478B,7.093B,3.006B,2.912B,3.000B,2.859B,2.525B,2.351B,1.972B,2.165B,1.647B,1.508B,1.306B,1.234B,1.27B,1.352B,1.280B,1.274B,1.259B,1.247B,1.165B,1.167B,1.167B,1.181B,1.098B,1.077B,1.068B
Total Capital Stock,1.211B,1.187B,1.157B,1.140B,1.136B,1.136B,1.134B,1.132B,1.133B,1.077B,1.076B,1.073B,1.075B,1.073B,1.052B,1.032B,1.004B,1.003B,1.001B,998.98M,999.96M,1.008B,885.74M,899.04M,896.99M,898.20M,895.26M,891.76M,889.24M,0.00,861.05M,857.75M,855.19M,0.00,842.05M,833.62M,0.00,0.00,0.00,0.00,778.65M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,717.94M,0.00,0.00,656.63M,652.91M,646.85M,656.79M,658.04M,657.54M,657.06M,628.55M,628.03M,627.37M,626.79M,656.10M,757.15M,756.08M,756.34M,755.10M,755.62M,754.43M,752.74M,751.64M,750.50M,746.84M,745.74M,754.69M,754.15M,752.47M,727.00M,728.30M,774.50M,795.50M,795.60M,738.60M,739.90M,749.90M,749.90M,749.90M,799.90M,769.90M,709.90M,709.90M,709.90M,729.90M,729.60M,723.90M,717.90M,711.90M,705.60M,699.90M,693.50M,686.40M
Retained Earnings,738.80M,714.03M,734.56M,734.77M,644.60M,623.23M,637.58M,636.47M,604.47M,600.13M,618.71M,619.96M,581.01M,562.90M,572.58M,565.45M,530.94M,512.99M,520.54M,515.84M,491.60M,488.34M,528.28M,436.37M,407.09M,399.05M,406.20M,398.80M,376.94M,377.11M,360.95M,355.82M,336.15M,326.55M,330.54M,331.28M,302.52M,293.72M,299.35M,285.94M,274.99M,264.98M,264.03M,249.40M,227.99M,217.56M,244.46M,223.74M,206.64M,208.39M,222.10M,225.72M,219.19M,208.37M,205.28M,198.33M,173.83M,155.27M,171.29M,159.29M,155.85M,139.63M,155.73M,151.93M,145.88M,136.94M,138.59M,135.96M,126.14M,120.96M,128.88M,124.84M,120.03M,133.97M,172.55M,156.10M,132.94M,71.06M,42.75M,70.47M,87.50M,126.50M,121.60M,129.60M,120.40M,174.00M,183.50M,185.90M,171.80M,166.60M,171.80M,142.10M,131.30M,136.20M,136.90M,147.40M,125.00M,111.90M,120.00M,124.10M,114.80M,107.10M,117.80M,120.70M
Additional Paid In Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,887.53M,,,,848.71M,,,827.59M,815.01M,788.80M,779.83M,,776.98M,774.89M,775.81M,774.99M,773.20M,733.58M,727.71M,726.93M,723.05M,720.35M,,715.62M,633.21M,,,,,,,,,,,,,,,,,,,,,,,,,,-12.03M,,,,,,,,,,,,,,,,,,,,,,,,
Preferred Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.25M,26.25M,26.25M,26.25M,28.00M,28.00M,28.00M,,,,,29.75M,131.50M,131.50M,133.25M,133.25M,135.00M,135.00M,135.00M,135.00M,135.00M,135.00M,135.00M,145.00M,145.00M,145.00M,408.30M,409.60M,413.90M,414.10M,414.20M,145.00M,145.00M,155.00M,155.00M,155.00M,205.00M,175.00M,115.00M,115.00M,115.00M,135.00M,135.00M,135.00M,135.00M,135.00M,135.00M,135.00M,135.00M,135.00M
Adjustments for Foreign Currency Translation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.483M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Equity Adjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.87M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accrued Comprehensive Inc,-10.26M,-7.383M,-7.545M,-7.706M,-7.866M,-9.22M,-9.424M,-9.628M,-8.09M,-7.02M,-7.202M,-7.385M,-7.568M,-7.599M,-7.739M,-7.879M,-6.65M,-7.151M,-7.397M,-7.642M,-7.888M,-3.898M,-4.01M,-4.925M,-5.819M,-7.848M,-7.636M,-6.587M,-6.70M,-4.897M,-5.158M,-5.426M,-5.637M,-4.339M,-4.462M,-4.522M,-4.326M,-2.242M,-2.278M,-2.314M,-2.35M,-5.79M,-5.891M,-5.991M,-6.092M,-12.10M,-12.22M,-12.34M,-19.61M,-18.54M,-15.85M,-16.39M,-17.97M,-22.92M,-16.96M,-18.09M,-23.30M,-31.85M,-36.17M,-32.46M,-31.70M,-22.72M,-21.50M,-22.02M,-21.41M,-33.98M,-34.76M,-35.58M,-36.44M,-18.49M,-18.09M,-17.74M,-17.70M,-16.46M,-16.52M,-17.60M,-19.46M,-19.55M,-19.46M,-7.939M,-12.70M,-13.00M,-12.70M,-13.00M,-13.80M,-20.10M,-19.10M,-17.80M,-17.80M,-16.80M,-11.00M,-14.60M,-15.40M,-11.20M,-6.10M,5.50M,-2.60M,-1.70M,1.60M,-6.00M,-8.00M,-22.40M,-22.50M,-22.50M
Shareholders Equity,1.939B,1.894B,1.884B,1.867B,1.773B,1.750B,1.762B,1.758B,1.730B,1.670B,1.687B,1.686B,1.649B,1.629B,1.617B,1.590B,1.529B,1.509B,1.514B,1.507B,1.484B,1.492B,1.410B,1.330B,1.298B,1.289B,1.294B,1.284B,1.259B,1.260B,1.217B,1.208B,1.186B,1.171B,1.168B,1.160B,1.126B,1.106B,1.086B,1.063B,1.051B,1.036B,1.033B,1.019B,996.88M,978.65M,965.82M,939.11M,913.97M,912.90M,926.59M,927.27M,916.85M,818.66M,844.96M,833.15M,797.38M,780.21M,793.16M,784.37M,781.20M,745.45M,762.26M,757.28M,751.25M,759.06M,860.98M,856.46M,846.04M,857.56M,866.41M,861.53M,855.06M,869.15M,906.53M,885.34M,859.22M,806.20M,777.44M,802.97M,801.80M,841.70M,883.40M,912.20M,902.20M,892.40M,904.40M,918.00M,903.80M,899.70M,960.60M,897.30M,825.70M,834.90M,840.60M,882.70M,852.10M,834.00M,839.70M,829.90M,812.50M,784.60M,788.80M,784.60M
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
