Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1988-12,1987-12,1986-12,1985-12,1984-12
Total Assets,53.86B,51.23B,52.02B,52.10B,50.16B,51.89B,50.68B,49.38B,50.16B,47.99B,45.97B,46.05B,46.17B,46.26B,45.45B,44.26B,44.23B,45.82B,47.60B,45.74B,45.55B,48.46B,47.01B,47.10B,47.26B,46.29B,44.18B,45.50B,44.48B,43.79B,41.19B,42.63B,42.78B,41.68B,39.53B,39.59B,37.62B,37.28B,36.48B,36.46B,35.57B,36.80B,37.22B,35.78B,34.42B,43.81B,43.66B,40.67B,42.72B,41.86B,40.35B,38.19B,37.75B,36.64B,36.52B,33.30B,32.80B,32.77B,21.64B,20.31B,19.39B,19.44B,18.56B,17.78B,15.66B,15.25B,14.47B,14.64B,14.47B,13.96B,13.99B,14.51B,14.40B,5.329B,5.214B,4.560B,4.308B,4.211B,4.213B,3.121B,2.979B,2.999B,2.87B,2.814B,2.726B,2.804B,2.470B,2.431B,2.493B,2.419B,2.940B,2.865B,1.986B,2.858B,2.808B,2.770B,2.877B,2.761B,2.752B,2.730B,2.831B,2.648B,2.712B,1.868B,1.764B,1.819B,1.822B,1.778B,1.759B,1.743B,1.679B,1.513B,1.481B,1.402B,1.366B,1.382B,1.254B,1.144B,1.008B,993.70M,1.018B,926.50M,964.70M,1.697B,1.995B,1.998B
Accounts Payable,10.20B,9.504B,10.14B,10.00B,8.594B,10.22B,8.963B,7.966B,8.348B,6.677B,5.456B,6.037B,6.357B,5.368B,5.943B,4.98B,4.907B,5.679B,7.315B,6.01B,6.76B,9.939B,9.355B,9.617B,9.931B,11.00B,9.507B,9.821B,9.348B,9.286B,7.998B,9.941B,9.472B,8.52B,7.642B,8.653B,6.441B,6.096B,5.856B,5.986B,5.825B,5.756B,5.84B,4.539B,4.323B,9.921B,10.96B,8.635B,9.596B,8.145B,7.348B,6.97B,6.841B,6.144B,6.902B,6.167B,5.563B,5.969B,4.382B,3.914B,2.963B,3.365B,3.142B,3.012B,2.288B,2.136B,1.826B,2.211B,1.825B,1.446B,1.408B,1.510B,1.390B,761.47M,793.66M,867.62M,806.88M,765.95M,731.87M,732.56M,616.90M,610.80M,422.00M,405.10M,283.20M,386.30M,378.50M,338.80M,414.30M,432.50M,455.50M,418.90M,191.60M,378.20M,379.30M,309.20M,312.70M,269.20M,244.50M,301.60M,341.70M,255.80M,,73.10M,91.00M,102.30M,99.60M,92.10M,113.50M,127.40M,136.70M,90.80M,132.90M,96.30M,76.50M,120.10M,117.00M,155.80M,68.20M,62.80M,80.50M,,,,,
Current Tax Payable,1.512B,1.343B,1.326B,1.026B,1.262B,1.506B,1.554B,1.325B,1.889B,1.515B,1.151B,1.035B,1.162B,1.164B,1.406B,1.251B,1.406B,1.499B,1.556B,1.598B,1.642B,1.923B,1.707B,1.806B,2.118B,1.383B,1.324B,1.329B,1.027B,1.583B,1.395B,1.32B,1.383B,1.189B,709.00M,572.00M,674.00M,635.00M,809.00M,626.00M,820.00M,731.00M,593.00M,503.00M,592.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Payables,11.72B,10.85B,11.46B,11.03B,9.856B,11.73B,10.52B,9.291B,10.24B,8.192B,6.607B,7.072B,7.519B,6.532B,7.349B,6.231B,6.313B,7.178B,8.871B,7.608B,8.402B,11.86B,11.06B,11.42B,12.05B,12.38B,10.83B,11.15B,10.38B,10.87B,9.393B,11.26B,10.86B,9.709B,8.351B,9.225B,7.115B,6.731B,6.665B,6.612B,6.645B,6.487B,6.433B,5.042B,4.915B,9.921B,10.96B,8.635B,9.596B,8.145B,7.348B,6.97B,6.841B,6.144B,6.902B,6.167B,5.563B,5.969B,4.382B,3.914B,2.963B,3.365B,3.142B,3.012B,2.288B,2.136B,1.826B,2.211B,1.825B,1.446B,1.408B,1.510B,1.390B,761.47M,793.66M,867.62M,806.88M,765.95M,731.87M,732.56M,616.90M,610.80M,422.00M,405.10M,283.20M,386.30M,378.50M,338.80M,414.30M,432.50M,455.50M,418.90M,191.60M,378.20M,379.30M,309.20M,312.70M,269.20M,244.50M,301.60M,341.70M,255.80M,,73.10M,91.00M,102.30M,99.60M,92.10M,113.50M,127.40M,136.70M,90.80M,132.90M,96.30M,76.50M,120.10M,117.00M,155.80M,68.20M,62.80M,80.50M,,,,,
Accrued Expenses,468.00M,881.00M,764.00M,772.00M,493.00M,553.00M,641.00M,590.00M,497.00M,817.00M,955.00M,707.00M,419.00M,628.00M,439.00M,416.00M,479.00M,595.00M,529.00M,512.00M,502.00M,630.00M,584.00M,488.00M,450.00M,598.00M,504.00M,761.00M,512.00M,612.00M,527.00M,483.00M,488.00M,785.00M,765.00M,729.00M,590.00M,548.00M,440.00M,502.00M,641.00M,633.00M,350.00M,378.00M,370.00M,492.00M,447.00M,490.00M,502.00M,608.00M,536.00M,465.00M,507.00M,548.00M,464.00M,394.00M,581.00M,984.00M,590.00M,690.00M,519.00M,825.20M,620.50M,342.80M,355.60M,379.30M,322.20M,311.40M,294.20M,332.40M,309.00M,207.30M,420.90M,226.22M,227.50M,206.12M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payables and Accrued Expenses,12.18B,11.73B,12.22B,11.80B,10.35B,12.28B,11.16B,9.881B,10.73B,9.009B,7.562B,7.779B,7.938B,7.16B,7.788B,6.647B,6.792B,7.773B,9.40B,8.12B,8.904B,12.49B,11.65B,11.91B,12.50B,12.98B,11.34B,11.91B,10.89B,11.48B,9.92B,11.74B,11.34B,10.49B,9.116B,9.954B,7.705B,7.279B,7.105B,7.114B,7.286B,7.12B,6.783B,5.42B,5.285B,10.41B,11.41B,9.125B,10.10B,8.753B,7.884B,7.435B,7.348B,6.692B,7.366B,6.561B,6.144B,6.953B,4.972B,4.604B,3.482B,4.19B,3.763B,3.355B,2.644B,2.515B,2.148B,2.523B,2.119B,1.778B,1.717B,1.717B,1.811B,987.69M,1.021B,1.074B,806.88M,765.95M,731.87M,732.56M,616.90M,610.80M,422.00M,405.10M,283.20M,386.30M,378.50M,338.80M,414.30M,432.50M,455.50M,418.90M,191.60M,378.20M,379.30M,309.20M,312.70M,269.20M,244.50M,301.60M,341.70M,255.80M,,73.10M,91.00M,102.30M,99.60M,92.10M,113.50M,127.40M,136.70M,90.80M,132.90M,96.30M,76.50M,120.10M,117.00M,155.80M,68.20M,62.80M,80.50M,,,,,
Current Provisions - Legal & Other,58.00M,,,,63.00M,,,,182.00M,,,,243.00M,,,,35.00M,,,,46.00M,,,,29.00M,,,,32.00M,,,,45.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Borrowings,494.00M,,,,238.00M,,,,,,,,,,,,,,,,,,,,303.00M,,,,586.00M,,,,1.009B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,494.00M,402.00M,323.00M,1.11B,238.00M,199.00M,183.00M,871.00M,122.00M,121.00M,121.00M,120.00M,115.00M,1.064B,864.00M,128.00M,127.00M,129.00M,150.00M,200.00M,606.00M,600.00M,601.00M,704.00M,303.00M,303.00M,303.00M,406.00M,586.00M,585.00M,582.00M,1.143B,1.009B,867.00M,861.00M,312.00M,822.00M,523.00M,523.00M,635.00M,237.00M,213.00M,137.00M,312.00M,312.00M,211.00M,212.00M,3.00M,392.00M,60.00M,66.00M,297.00M,475.00M,238.00M,275.00M,3.00M,222.00M,269.00M,236.00M,435.00M,412.00M,412.80M,416.40M,201.60M,,24.30M,41.00M,26.30M,476.70M,266.00M,799.50M,2.671B,505.70M,,,,27.00M,93.00M,185.00M,126.50M,,12.00M,31.00M,63.00M,160.00M,107.00M,125.00M,175.00M,122.00M,175.00M,119.70M,187.70M,83.80M,135.30M,88.00M,117.30M,82.00M,71.90M,62.80M,74.80M,62.20M,62.20M,,28.80M,28.70M,26.50M,23.30M,20.50M,23.00M,30.30M,1.30M,1.90M,1.80M,1.80M,1.70M,1.70M,1.60M,1.60M,40.30M,28.50M,21.50M,12.90M,0.30M,81.70M,71.60M,60.40M
Current Capital Lease Obligation,331.00M,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Debt & Capital Lease Obligation,825.00M,402.00M,323.00M,1.11B,238.00M,199.00M,183.00M,871.00M,122.00M,121.00M,121.00M,120.00M,115.00M,1.064B,864.00M,128.00M,127.00M,129.00M,150.00M,200.00M,606.00M,600.00M,601.00M,704.00M,303.00M,303.00M,303.00M,406.00M,586.00M,585.00M,582.00M,1.143B,1.009B,867.00M,861.00M,312.00M,822.00M,523.00M,523.00M,635.00M,237.00M,213.00M,137.00M,312.00M,312.00M,211.00M,212.00M,3.00M,392.00M,60.00M,66.00M,297.00M,475.00M,238.00M,275.00M,3.00M,222.00M,269.00M,236.00M,435.00M,412.00M,412.80M,416.40M,201.60M,,24.30M,41.00M,26.30M,476.70M,266.00M,799.50M,2.671B,505.70M,,,,27.00M,93.00M,185.00M,126.50M,,12.00M,31.00M,63.00M,160.00M,107.00M,125.00M,175.00M,122.00M,175.00M,119.70M,187.70M,83.80M,135.30M,88.00M,117.30M,82.00M,71.90M,62.80M,74.80M,62.20M,62.20M,,28.80M,28.70M,26.50M,23.30M,20.50M,23.00M,30.30M,1.30M,1.90M,1.80M,1.80M,1.70M,1.70M,1.60M,1.60M,40.30M,28.50M,21.50M,12.90M,0.30M,81.70M,71.60M,60.40M
Current Deferred Revenue,55.00M,,,,31.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Liabilities,55.00M,,,,31.00M,,,,,,,,,,,,,387.00M,315.00M,314.00M,376.00M,368.00M,276.00M,311.00M,249.00M,386.00M,397.00M,388.00M,378.00M,185.00M,296.00M,189.00M,249.00M,322.00M,254.00M,140.00M,257.00M,322.00M,184.00M,186.00M,253.00M,424.00M,404.00M,505.00M,485.00M,366.00M,247.00M,293.00M,293.00M,323.00M,337.00M,291.00M,363.00M,381.00M,311.00M,276.00M,305.00M,,,,,,,,,,29.70M,,,288.50M,,345.90M,60.70M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Tax Liability,,,,,,,,,,,,,,,,,,387.00M,315.00M,314.00M,376.00M,368.00M,276.00M,311.00M,249.00M,386.00M,397.00M,388.00M,378.00M,185.00M,296.00M,189.00M,249.00M,322.00M,254.00M,140.00M,257.00M,322.00M,184.00M,186.00M,253.00M,424.00M,404.00M,505.00M,485.00M,366.00M,247.00M,293.00M,293.00M,323.00M,337.00M,291.00M,363.00M,381.00M,311.00M,276.00M,305.00M,,,,,,,,,,29.70M,,,288.50M,,345.90M,60.70M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Liability,,,,,,,,,,,,,,,,,,,,,,,,,13.00M,,,,14.00M,,,,25.00M,,,,,89.00M,102.00M,160.00M,33.00M,,,,127.00M,780.00M,979.00M,736.00M,1.131B,1.106B,1.178B,1.011B,674.00M,726.00M,1.155B,604.00M,704.00M,765.00M,692.00M,508.00M,640.00M,425.20M,522.50M,401.90M,420.50M,376.00M,379.20M,463.00M,410.80M,,339.10M,,2.375B,96.59M,106.94M,,205.11M,179.32M,168.37M,96.21M,102.09M,79.20M,60.20M,45.60M,54.50M,89.20M,39.40M,50.70M,61.00M,53.70M,63.30M,37.40M,25.20M,51.50M,62.50M,41.90M,73.60M,52.70M,55.70M,40.40M,56.90M,46.40M,,39.40M,33.30M,42.90M,37.70M,40.30M,38.00M,46.80M,37.40M,39.60M,33.00M,39.60M,34.00M,35.30M,30.80M,26.70M,20.00M,23.20M,19.70M,64.10M,98.00M,241.30M,288.90M,326.10M
Total Current Liabilities,13.16B,12.13B,12.55B,12.91B,10.72B,12.48B,11.34B,10.75B,11.07B,9.13B,7.683B,7.899B,8.328B,8.224B,8.652B,6.775B,6.994B,8.289B,9.865B,8.634B,9.98B,13.46B,12.52B,12.93B,13.12B,13.67B,12.04B,12.70B,11.93B,12.25B,10.80B,13.08B,12.71B,11.68B,10.23B,10.41B,8.784B,8.213B,7.914B,8.095B,7.809B,7.757B,7.324B,6.237B,6.209B,11.77B,12.85B,10.16B,11.91B,10.24B,9.465B,9.034B,8.86B,8.037B,9.107B,7.444B,7.375B,7.987B,5.90B,5.547B,4.534B,5.028B,4.702B,3.959B,3.064B,2.916B,2.598B,3.012B,3.007B,2.332B,2.856B,4.734B,4.753B,1.084B,1.128B,1.074B,1.039B,1.038B,1.085B,955.27M,718.98M,702.00M,513.20M,513.70M,497.70M,582.50M,542.90M,564.50M,597.30M,661.20M,638.50M,644.00M,300.60M,565.00M,529.80M,468.40M,468.30M,393.80M,363.00M,416.80M,460.80M,364.40M,421.10M,141.30M,153.00M,171.70M,160.60M,152.90M,174.50M,204.50M,175.40M,132.30M,167.70M,137.70M,112.20M,157.10M,149.40M,184.10M,128.50M,114.50M,121.70M,77.00M,98.30M,323.00M,360.50M,386.50M
Long Term Provisions - Legal & Other,319.00M,,,,327.00M,,,,232.00M,,,,223.00M,,,,231.00M,,,,340.00M,,,,303.00M,,,,345.00M,,,,316.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of Long Term Debt,9.178B,9.17B,9.167B,9.006B,8.871B,8.877B,8.876B,8.086B,8.75B,8.364B,8.366B,8.369B,7.886B,7.888B,6.646B,7.207B,7.208B,7.252B,7.199B,7.224B,5.78B,5.783B,5.784B,5.86B,6.261B,6.261B,6.261B,6.463B,6.463B,,,,6.732B,,6.762B,,,,,,,,,,,6.264B,6.263B,6.471B,6.47B,6.854B,6.855B,4.649B,4.619B,4.815B,4.868B,5.089B,5.109B,6.109B,3.607B,3.576B,3.901B,4.164B,4.146B,4.673B,4.239B,4.342B,4.434B,4.134B,4.494B,4.426B,3.857B,2.574B,2.517B,1.042B,1.042B,1.042B,1.042B,1.093B,1.173B,645.16M,785.47M,845.80M,916.10M,846.40M,822.30M,697.70M,410.00M,398.30M,430.20M,323.50M,786.80M,804.40M,353.30M,878.40M,879.40M,919.40M,1.036B,993.20M,1.002B,946.10M,1.022B,954.70M,972.60M,424.80M,485.60M,488.40M,513.60M,503.60M,482.40M,459.40M,455.00M,349.00M,379.90M,340.00M,340.80M,340.90M,247.40M,141.80M,172.50M,196.40M,221.90M,186.00M,213.90M,825.00M,903.80M,981.10M
Long Term Cap Lease Obligation,959.00M,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,6.463B,6.46B,6.46B,,6.781B,,7.517B,7.515B,7.513B,7.511B,7.718B,7.163B,7.162B,7.231B,7.264B,6.264B,,,,,,,,,82.00M,45.00M,46.00M,47.00M,,34.00M,34.00M,,8.10M,8.60M,8.60M,6.00M,,,,,291.00M,289.90M,288.90M,287.90M,286.83M,285.83M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of LTD and Capital Lease Obligation,10.14B,9.17B,9.167B,9.006B,8.871B,8.877B,8.876B,8.086B,8.75B,8.364B,8.366B,8.369B,7.886B,7.888B,6.646B,7.207B,7.208B,7.252B,7.199B,7.224B,5.78B,5.783B,5.784B,5.86B,6.261B,6.261B,6.261B,6.463B,6.463B,6.463B,6.46B,6.46B,6.732B,6.781B,6.762B,7.517B,7.515B,7.513B,7.511B,7.718B,7.163B,7.162B,7.231B,7.264B,6.264B,6.264B,6.263B,6.471B,6.47B,6.854B,6.855B,4.649B,4.619B,4.897B,4.913B,5.135B,5.156B,6.109B,3.641B,3.61B,3.901B,4.172B,4.154B,4.682B,4.245B,4.342B,4.434B,4.134B,4.494B,4.717B,4.147B,2.863B,2.805B,1.328B,1.328B,1.042B,1.042B,1.093B,1.173B,645.16M,785.47M,845.80M,916.10M,846.40M,822.30M,697.70M,410.00M,398.30M,430.20M,323.50M,786.80M,804.40M,353.30M,878.40M,879.40M,919.40M,1.036B,993.20M,1.002B,946.10M,1.022B,954.70M,972.60M,424.80M,485.60M,488.40M,513.60M,503.60M,482.40M,459.40M,455.00M,349.00M,379.90M,340.00M,340.80M,340.90M,247.40M,141.80M,172.50M,196.40M,221.90M,186.00M,213.90M,825.00M,903.80M,981.10M
Long Term Deferred Tax Liabilities,5.103B,4.92B,4.899B,4.867B,4.962B,4.725B,4.76B,4.711B,4.708B,7.362B,7.254B,7.196B,7.361B,7.369B,7.279B,7.192B,7.06B,6.656B,6.64B,6.624B,6.607B,6.601B,6.659B,6.615B,6.601B,6.312B,6.159B,6.131B,5.86B,5.758B,5.411B,5.21B,5.017B,4.942B,4.801B,4.693B,4.53B,4.43B,4.27B,4.131B,4.006B,3.872B,4.105B,4.289B,3.829B,4.271B,4.085B,4.008B,4.021B,3.941B,4.146B,4.048B,4.047B,4.161B,4.152B,3.756B,3.615B,3.42B,2.053B,1.974B,2.011B,1.933B,1.856B,1.775B,1.605B,1.595B,1.362B,1.340B,1.301B,1.453B,1.526B,1.413B,1.388B,559.34M,492.87M,468.63M,406.63M,342.03M,307.46M,296.63M,275.52M,261.30M,271.60M,262.30M,210.40M,263.60M,280.80M,269.30M,256.90M,242.80M,230.80M,282.60M,224.50M,282.90M,274.60M,272.90M,276.00M,267.60M,297.80M,297.60M,264.20M,240.80M,237.10M,235.60M,232.60M,251.10M,235.40M,227.40M,226.20M,207.40M,203.00M,194.80M,186.00M,177.40M,163.50M,151.30M,141.40M,123.60M,109.50M,100.60M,96.30M,79.60M,76.30M,110.80M,191.60M,159.70M
Non-Current Deferred Revenue,0.00,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Deferred Liabilities,5.103B,4.92B,4.899B,4.867B,4.962B,4.725B,4.76B,4.711B,4.708B,7.362B,7.254B,7.196B,7.361B,7.369B,7.279B,7.192B,7.06B,6.656B,6.64B,6.624B,6.607B,6.601B,6.659B,6.615B,6.601B,6.312B,6.159B,6.131B,5.86B,5.758B,5.411B,5.21B,5.017B,4.942B,4.801B,4.693B,4.53B,4.43B,4.27B,4.131B,4.006B,3.872B,4.105B,4.289B,3.829B,4.271B,4.085B,4.008B,4.021B,3.941B,4.146B,4.048B,4.047B,4.161B,4.152B,3.756B,3.615B,3.42B,2.053B,1.974B,2.011B,1.933B,1.856B,1.775B,1.605B,1.595B,1.362B,1.340B,1.301B,1.453B,1.526B,1.413B,1.388B,559.34M,492.87M,468.63M,406.63M,342.03M,307.46M,296.63M,275.52M,261.30M,271.60M,262.30M,210.40M,263.60M,280.80M,269.30M,256.90M,242.80M,230.80M,282.60M,224.50M,282.90M,274.60M,272.90M,276.00M,267.60M,297.80M,297.60M,264.20M,240.80M,237.10M,235.60M,232.60M,251.10M,235.40M,227.40M,226.20M,207.40M,203.00M,194.80M,186.00M,177.40M,163.50M,151.30M,141.40M,123.60M,109.50M,100.60M,96.30M,79.60M,76.30M,110.80M,191.60M,159.70M
Non-Current Accrued Expenses,313.00M,,,,562.00M,,,,401.00M,,,,314.00M,,,,513.00M,,,,491.00M,,,,314.00M,,,,412.00M,,,,433.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pension Liability,834.00M,,,,654.00M,,,,776.00M,,,,742.00M,,,,719.00M,,,,792.00M,,,,507.00M,,,,982.00M,,,,795.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derivative Contract Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minority Interest Ownership,733.00M,481.00M,492.00M,470.00M,1.064B,1.05B,1.035B,1.048B,909.00M,854.00M,842.00M,826.00M,830.00M,791.00M,828.00M,839.00M,827.00M,547.00M,553.00M,568.00M,567.00M,508.00M,509.00M,493.00M,486.00M,117.00M,105.00M,75.00M,63.00M,54.00M,46.00M,33.00M,22.00M,16.00M,10.00M,,,,,,,,,,,,,,,,,,,226.00M,,,,,,,,,,,,,,,116.00M,115.80M,116.00M,115.20M,115.60M,,,,172.50M,172.50M,172.50M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred Securities out of Shareholders Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.50M,372.50M,372.50M,372.50M,372.50M,372.50M,372.50M,172.50M,172.50M,172.50M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Liabilities,954.00M,3.421B,3.571B,3.53B,721.00M,2.85B,2.897B,2.902B,723.00M,1.908B,1.906B,1.932B,465.00M,1.654B,1.471B,1.59B,148.00M,1.76B,1.889B,1.917B,316.00M,1.549B,1.327B,1.29B,205.00M,1.665B,1.697B,1.784B,391.00M,1.934B,1.896B,1.896B,337.00M,1.607B,1.74B,1.752B,1.767B,1.72B,1.731B,1.855B,1.869B,2.124B,2.154B,2.183B,2.495B,1.788B,1.78B,1.801B,1.81B,1.856B,1.769B,1.726B,1.622B,1.506B,1.588B,1.57B,1.602B,1.464B,1.148B,1.192B,1.148B,1.082B,1.108B,925.10M,1.015B,830.70M,904.30M,982.40M,866.60M,758.90M,728.60M,760.80M,762.80M,142.93M,142.72M,97.92M,120.11M,120.39M,126.78M,115.41M,114.53M,113.70M,113.00M,111.40M,110.00M,88.30M,51.80M,50.80M,49.80M,40.50M,40.20M,34.60M,30.20M,52.40M,52.20M,55.30M,56.00M,55.50M,54.90M,55.50M,59.40M,58.70M,58.00M,40.10M,37.10M,39.00M,43.70M,45.30M,40.20M,39.60M,38.20M,42.60M,44.70M,40.80M,40.20M,42.90M,40.50M,45.40M,44.40M,45.30M,46.80M,76.00M,83.80M,61.20M,56.10M,32.00M
Total Long Term Liabilities,18.17B,17.51B,17.64B,17.40B,16.70B,16.45B,16.53B,15.70B,16.19B,17.63B,17.53B,17.50B,16.99B,16.91B,15.40B,15.99B,15.88B,15.67B,15.73B,15.76B,14.33B,13.93B,13.77B,13.76B,14.19B,14.24B,14.12B,14.38B,14.45B,14.16B,13.77B,13.57B,13.63B,13.33B,13.30B,13.96B,13.81B,13.66B,13.51B,13.70B,13.04B,13.16B,13.49B,13.74B,12.59B,12.32B,12.13B,12.28B,12.30B,12.65B,12.77B,10.42B,10.29B,10.56B,10.65B,10.46B,10.37B,10.99B,6.842B,6.776B,7.06B,7.187B,7.118B,7.382B,6.865B,6.768B,6.873B,6.830B,7.034B,7.301B,6.774B,5.410B,5.329B,2.203B,2.136B,1.781B,1.569B,1.555B,1.607B,1.057B,1.176B,1.221B,1.301B,1.220B,1.143B,1.050B,742.60M,718.40M,736.90M,606.80M,1.058B,1.122B,608.00M,1.214B,1.206B,1.248B,1.368B,1.316B,1.354B,1.299B,1.345B,1.254B,1.268B,700.50M,755.30M,778.50M,792.70M,776.30M,748.80M,706.40M,696.20M,586.40M,610.60M,558.20M,544.50M,535.10M,429.30M,310.80M,326.40M,342.30M,365.00M,341.60M,374.00M,997.00M,1.152B,1.173B
Total Liabilities,31.33B,29.64B,30.18B,30.32B,27.42B,28.93B,27.87B,26.45B,27.26B,26.76B,25.21B,25.40B,25.32B,25.14B,24.05B,22.76B,22.87B,23.96B,25.59B,24.40B,24.31B,27.39B,26.29B,26.69B,27.31B,27.91B,26.15B,27.08B,26.38B,26.41B,24.56B,26.64B,26.34B,25.01B,23.53B,24.37B,22.60B,21.88B,21.43B,21.80B,20.85B,20.92B,20.81B,19.97B,18.80B,24.09B,24.98B,22.44B,24.22B,22.89B,22.24B,19.46B,19.15B,18.60B,19.76B,17.90B,17.75B,18.98B,12.74B,12.32B,11.59B,12.22B,11.82B,11.34B,9.929B,9.683B,9.471B,9.842B,10.04B,9.634B,9.630B,10.14B,10.08B,3.287B,3.264B,2.855B,2.608B,2.593B,2.692B,2.012B,1.895B,1.923B,1.814B,1.734B,1.640B,1.632B,1.286B,1.283B,1.334B,1.268B,1.696B,1.766B,908.60M,1.779B,1.736B,1.716B,1.836B,1.710B,1.717B,1.716B,1.806B,1.619B,1.689B,841.80M,908.30M,950.20M,953.30M,929.20M,923.30M,910.90M,871.60M,718.70M,778.30M,695.90M,656.70M,692.20M,578.70M,494.90M,454.90M,456.80M,486.70M,418.60M,472.30M,1.32B,1.512B,1.559B
