Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1988-12,1987-12,1986-12,1985-12,1984-12
Long Term Deferred Assets,683.00M,296.00M,357.00M,281.00M,284.00M,323.00M,325.00M,325.00M,321.00M,298.00M,325.00M,336.00M,332.00M,265.00M,267.00M,267.00M,265.00M,6.146B,6.264B,6.485B,317.00M,2.546B,2.664B,2.463B,2.939B,5.957B,6.307B,6.522B,6.753B,9.548B,9.849B,9.93B,5.892B,8.022B,7.914B,8.182B,8.426B,7.463B,8.027B,8.528B,9.758B,9.827B,9.734B,9.971B,183.00M,276.00M,247.00M,6.974B,823.00M,918.00M,980.00M,9.571B,148.00M,161.00M,161.00M,9.779B,335.00M,247.00M,308.00M,10.54B,1.334B,1.352B,1.182B,11.30B,2.045B,2.196B,2.247B,13.19B,,,,9.345B,,,,6.024B,,,,,415.00M,397.00M,405.00M,411.00M,232.00M,145.00M,53.00M,15.00M,152.00M,511.00M,458.00M,143.00M,156.00M,147.00M,97.00M,58.00M,,,,,,,23.00M,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Assets,3.585B,3.275B,3.099B,2.941B,1.826B,1.852B,1.80B,1.969B,2.027B,1.679B,1.47B,1.444B,1.416B,1.415B,1.409B,1.421B,1.408B,1.326B,1.374B,1.328B,1.317B,1.547B,1.578B,1.542B,1.50B,1.447B,1.449B,1.488B,1.792B,1.746B,1.746B,1.765B,1.643B,1.455B,1.596B,1.624B,1.603B,1.223B,1.206B,1.224B,1.417B,1.333B,1.45B,1.406B,7.357B,18.26B,18.16B,1.258B,14.31B,14.61B,15.42B,929.00M,25.58B,26.02B,26.82B,989.00M,27.74B,27.06B,27.63B,1.34B,26.31B,23.68B,24.63B,1.663B,23.18B,21.49B,20.64B,2.969B,19.53B,19.18B,18.14B,2.044B,14.74B,13.58B,12.67B,1.267B,10.99B,10.37B,10.02B,9.957B,9.374B,9.35B,9.136B,9.102B,8.206B,8.091B,8.093B,7.96B,7.338B,2.604B,2.756B,6.484B,1.848B,2.143B,2.182B,2.406B,2.846B,3.50B,4.649B,4.247B,4.501B,4.295B,4.365B,4.187B,4.62B,4.63B,3.584B,3.336B,1.678B,1.597B,1.466B,1.425B,1.436B,1.425B,1.423B,1.373B,1.247B,1.086B,1.16B,1.137B,1.353B,1.327B,1.344B,699.00M,309.00M,614.00M,644.00M
Total Long Term Assets,31.40B,30.94B,31.15B,30.70B,29.53B,26.97B,26.79B,27.01B,27.17B,26.86B,27.20B,27.31B,27.51B,26.71B,26.10B,25.96B,26.17B,31.42B,31.30B,31.35B,25.15B,27.44B,27.21B,26.80B,27.59B,30.47B,30.78B,30.96B,31.59B,29.88B,29.99B,30.07B,30.18B,27.82B,27.77B,27.75B,27.99B,25.43B,26.17B,26.78B,28.44B,27.59B,27.54B,27.82B,32.18B,32.57B,32.16B,31.71B,28.16B,28.36B,29.05B,28.81B,39.08B,38.10B,38.64B,38.09B,39.16B,38.25B,39.27B,38.86B,38.90B,36.21B,37.12B,33.70B,36.64B,35.20B,34.51B,35.49B,31.71B,31.47B,30.48B,32.13B,29.97B,27.51B,26.63B,26.16B,21.35B,20.64B,20.38B,20.44B,20.47B,20.62B,20.42B,20.41B,19.32B,19.12B,19.05B,18.76B,18.22B,12.37B,12.52B,17.37B,8.298B,8.641B,8.669B,8.92B,9.42B,10.17B,11.42B,11.05B,11.42B,11.29B,11.44B,11.28B,11.69B,11.68B,10.49B,10.06B,8.215B,7.802B,7.326B,6.955B,6.58B,6.283B,6.066B,5.821B,5.40B,4.999B,4.87B,4.618B,4.541B,4.266B,4.047B,3.253B,2.59B,2.48B,2.315B
Total Assets,133.62B,132.60B,126.26B,120.21B,117.36B,114.66B,113.20B,113.55B,112.36B,91.01B,90.04B,89.67B,90.00B,88.95B,89.61B,91.55B,94.41B,99.00B,98.10B,97.78B,92.92B,92.65B,92.74B,91.58B,92.66B,94.63B,92.09B,90.45B,88.90B,83.65B,81.60B,80.20B,79.99B,74.16B,72.12B,68.76B,68.56B,63.76B,62.97B,62.05B,58.67B,57.71B,55.34B,53.78B,56.52B,58.51B,60.36B,58.99B,54.79B,53.89B,51.56B,51.79B,61.46B,61.27B,61.41B,60.00B,58.32B,56.49B,56.71B,56.22B,55.39B,54.28B,53.80B,52.99B,52.26B,51.65B,51.23B,52.34B,48.32B,47.23B,46.55B,48.98B,47.90B,44.70B,43.80B,42.68B,39.45B,37.48B,36.56B,36.15B,37.19B,38.06B,37.70B,37.02B,37.62B,37.94B,38.23B,38.02B,39.37B,28.86B,28.29B,37.88B,22.00B,22.64B,22.67B,22.10B,21.72B,21.75B,22.16B,21.46B,21.34B,21.60B,21.20B,20.45B,20.39B,19.86B,19.00B,18.15B,18.19B,17.02B,16.71B,15.78B,16.12B,15.20B,15.07B,14.59B,14.01B,13.89B,13.79B,13.28B,12.90B,12.90B,12.61B,12.57B,11.07B,9.246B,8.485B
Accounts Payable,15.55B,15.10B,15.27B,14.69B,12.92B,13.66B,12.90B,12.61B,12.20B,12.72B,12.09B,11.96B,11.19B,11.97B,11.75B,11.56B,10.80B,11.78B,11.53B,11.50B,10.67B,11.14B,11.06B,10.78B,9.498B,10.66B,10.44B,9.876B,9.394B,9.152B,9.273B,9.041B,8.406B,8.502B,8.262B,8.304B,7.715B,6.96B,7.469B,7.096B,7.053B,6.664B,17.55B,5.871B,16.43B,30.11B,31.30B,16.68B,28.76B,28.72B,27.06B,16.20B,27.26B,28.12B,16.72B,16.51B,16.91B,15.94B,15.34B,14.87B,4.781B,4.289B,4.246B,13.51B,4.044B,4.175B,4.127B,13.74B,4.535B,4.714B,5.006B,14.24B,5.285B,5.216B,5.421B,12.31B,5.155B,5.042B,4.689B,4.909B,5.465B,5.419B,5.588B,5.263B,5.59B,5.644B,5.734B,5.609B,5.097B,3.997B,3.827B,4.787B,3.069B,3.072B,3.098B,3.017B,3.221B,3.262B,3.552B,3.207B,6.082B,6.204B,6.011B,5.854B,5.832B,5.711B,5.591B,5.248B,6.117B,5.907B,5.723B,5.466B,5.656B,5.596B,5.347B,5.566B,4.974B,4.95B,4.934B,4.932B,4.918B,5.026B,,,,,
Dividends Payable,1.159B,,,,1.16B,,,,1.005B,,,,866.00M,,,,721.00M,,,,637.00M,,,,542.00M,,,,367.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Tax Payable,670.00M,,,,485.00M,,,,380.00M,,,,89.00M,,,,262.00M,,,,119.00M,,,,,,,,,4.136B,3.668B,3.178B,,1.955B,1.286B,789.00M,607.00M,713.00M,412.00M,182.00M,14.00M,654.00M,355.00M,41.00M,752.00M,,,253.00M,,,,670.00M,,,,556.00M,,,,522.00M,,,,277.00M,,,,1.134B,,,,909.00M,,,,1.866B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Payables,17.38B,15.10B,15.27B,14.69B,14.56B,13.66B,12.90B,12.61B,13.59B,12.72B,12.09B,11.96B,12.14B,11.97B,11.75B,11.56B,11.78B,11.78B,11.53B,11.50B,11.42B,11.14B,11.06B,10.78B,10.04B,10.66B,10.44B,9.876B,9.761B,13.29B,12.94B,12.22B,8.406B,10.46B,9.548B,9.093B,8.322B,7.673B,7.881B,7.278B,7.067B,7.318B,17.91B,5.912B,17.18B,30.11B,31.30B,16.93B,28.76B,28.72B,27.06B,16.87B,27.26B,28.12B,16.72B,17.07B,16.91B,15.94B,15.34B,15.39B,4.781B,4.289B,4.246B,13.79B,4.044B,4.175B,4.127B,14.87B,4.535B,4.714B,5.006B,15.15B,5.285B,5.216B,5.421B,14.18B,5.155B,5.042B,4.689B,4.909B,5.465B,5.419B,5.588B,5.263B,5.59B,5.644B,5.734B,5.609B,5.097B,3.997B,3.827B,4.787B,3.069B,3.072B,3.098B,3.017B,3.221B,3.262B,3.552B,3.207B,6.082B,6.204B,6.011B,5.854B,5.832B,5.711B,5.591B,5.248B,6.117B,5.907B,5.723B,5.466B,5.656B,5.596B,5.347B,5.566B,4.974B,4.95B,4.934B,4.932B,4.918B,5.026B,,,,,
Accrued Expenses,14.19B,19.22B,20.04B,13.01B,5.195B,12.87B,12.24B,10.98B,3.814B,14.01B,14.29B,13.33B,6.602B,13.24B,13.53B,12.79B,5.922B,12.77B,13.23B,11.96B,5.334B,12.68B,13.22B,12.22B,5.861B,12.38B,12.41B,11.53B,5.287B,11.77B,11.70B,10.94B,5.647B,11.21B,13.57B,12.84B,13.80B,12.90B,12.27B,12.82B,12.22B,11.82B,,11.56B,,,,,,,,,,,,,,,,,3.467B,3.068B,2.935B,,2.803B,2.899B,2.66B,,3.832B,3.986B,3.653B,,3.043B,3.157B,2.83B,,2.668B,2.559B,2.401B,2.421B,2.608B,2.478B,2.604B,2.326B,2.46B,2.432B,2.551B,2.154B,2.351B,1.756B,1.526B,2.00B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payables and Accrued Expenses,31.57B,34.32B,35.31B,27.70B,19.76B,26.53B,25.14B,23.60B,17.40B,26.73B,26.39B,25.30B,18.75B,25.21B,25.28B,24.35B,17.70B,24.55B,24.76B,23.46B,16.76B,23.81B,24.28B,23.00B,15.90B,23.04B,22.85B,21.41B,15.05B,25.06B,24.64B,23.16B,14.05B,21.67B,23.12B,21.93B,22.12B,20.57B,20.15B,20.10B,19.28B,19.14B,17.91B,17.48B,17.18B,30.11B,31.30B,16.93B,28.76B,28.72B,27.06B,16.87B,27.26B,28.12B,16.72B,17.07B,16.91B,15.94B,15.34B,15.39B,8.248B,7.357B,7.181B,13.79B,6.847B,7.074B,6.787B,14.87B,8.367B,8.70B,8.659B,15.15B,8.328B,8.373B,8.251B,14.18B,7.823B,7.601B,7.09B,7.33B,8.073B,7.897B,8.192B,7.589B,8.05B,8.076B,8.285B,7.763B,7.448B,5.753B,5.353B,6.787B,3.069B,3.072B,3.098B,3.017B,3.221B,3.262B,3.552B,3.207B,6.082B,6.204B,6.011B,5.854B,5.832B,5.711B,5.591B,5.248B,6.117B,5.907B,5.723B,5.466B,5.656B,5.596B,5.347B,5.566B,4.974B,4.95B,4.934B,4.932B,4.918B,5.026B,,,,,
Current Provisions - Legal & Other,1.267B,,,,1.127B,,,,1.211B,,,,1.414B,,,,1.485B,,,,1.504B,,,,1.57B,,,,1.572B,,,15.34B,1.046B,14.32B,12.95B,12.36B,12.32B,12.01B,11.86B,12.08B,11.79B,11.72B,11.53B,12.74B,11.79B,,,13.85B,,,,11.45B,,,,9.868B,,,,6.384B,,,,3.464B,,,,3.123B,,,,4.021B,,,,3.517B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial Paper Liability,6.109B,,,,1.895B,,,,600.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Borrowings,1.16B,,,,1.238B,,,,683.00M,,,,327.00M,,,,1.181B,,,,865.00M,,,,1.495B,,,,1.34B,,,,2.256B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,7.269B,4.354B,4.357B,3.381B,3.133B,1.389B,1.611B,1.981B,1.283B,988.00M,720.00M,367.00M,327.00M,632.00M,1.168B,1.243B,1.181B,614.00M,112.00M,133.00M,865.00M,1.579B,1.591B,1.66B,1.495B,919.00M,883.00M,917.00M,1.34B,2.172B,2.466B,2.807B,2.256B,1.603B,1.304B,966.00M,948.00M,1.507B,1.479B,707.00M,973.00M,416.00M,530.00M,560.00M,390.00M,916.00M,802.00M,762.00M,1.025B,561.00M,598.00M,1.381B,1.582B,1.499B,1.967B,1.189B,726.00M,809.00M,998.00M,1.321B,1.32B,2.575B,916.00M,1.144B,1.55B,1.505B,1.801B,1.814B,1.617B,1.844B,1.551B,1.399B,2.347B,780.00M,658.00M,1.232B,692.00M,933.00M,1.044B,752.00M,744.00M,810.00M,821.00M,869.00M,534.00M,365.00M,419.00M,731.00M,608.00M,316.00M,318.00M,637.00M,22.00M,22.00M,23.00M,271.00M,262.00M,259.00M,258.00M,6.00M,20.00M,21.00M,21.00M,17.00M,17.00M,20.00M,21.00M,21.00M,17.00M,2.00M,3.00M,4.00M,5.00M,5.00M,5.00M,4.00M,4.00M,3.00M,5.00M,5.00M,4.00M,4.00M,7.00M,14.00M,14.00M,18.00M,15.00M
Current Capital Lease Obligation,71.00M,,,,57.00M,,,,52.00M,,,,57.00M,,,,53.00M,,,,64.00M,,,,68.00M,,,,96.00M,,,,97.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Debt & Capital Lease Obligation,7.34B,4.354B,4.357B,3.381B,3.19B,1.389B,1.611B,1.981B,1.335B,988.00M,720.00M,367.00M,384.00M,632.00M,1.168B,1.243B,1.234B,614.00M,112.00M,133.00M,929.00M,1.579B,1.591B,1.66B,1.563B,919.00M,883.00M,917.00M,1.436B,2.172B,2.466B,2.807B,2.353B,1.603B,1.304B,966.00M,948.00M,1.507B,1.479B,707.00M,973.00M,416.00M,530.00M,560.00M,390.00M,916.00M,802.00M,762.00M,1.025B,561.00M,598.00M,1.381B,1.582B,1.499B,1.967B,1.189B,726.00M,809.00M,998.00M,1.321B,1.32B,2.575B,916.00M,1.144B,1.55B,1.505B,1.801B,1.814B,1.617B,1.844B,1.551B,1.399B,2.347B,780.00M,658.00M,1.232B,692.00M,933.00M,1.044B,752.00M,744.00M,810.00M,821.00M,869.00M,534.00M,365.00M,419.00M,731.00M,608.00M,316.00M,318.00M,637.00M,22.00M,22.00M,23.00M,271.00M,262.00M,259.00M,258.00M,6.00M,20.00M,21.00M,21.00M,17.00M,17.00M,20.00M,21.00M,21.00M,17.00M,2.00M,3.00M,4.00M,5.00M,5.00M,5.00M,4.00M,4.00M,3.00M,5.00M,5.00M,4.00M,4.00M,7.00M,14.00M,14.00M,18.00M,15.00M
Current Deferred Revenue,51.55B,53.17B,52.52B,52.53B,50.68B,51.50B,50.97B,49.96B,48.04B,26.70B,25.80B,24.12B,23.87B,22.65B,23.41B,23.93B,24.36B,23.44B,23.37B,22.75B,23.18B,21.13B,21.24B,21.11B,20.03B,20.22B,18.14B,18.50B,16.67B,,,,15.50B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Liabilities,51.55B,53.17B,52.52B,52.53B,50.68B,51.50B,50.97B,49.96B,48.04B,26.70B,25.80B,24.12B,23.87B,22.65B,23.41B,23.93B,24.36B,32.65B,32.27B,31.67B,23.18B,27.81B,27.47B,27.84B,26.29B,25.72B,23.22B,23.34B,21.16B,,,,18.28B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Tax Liability,,,,,,,,,,,,,,,,,,9.205B,8.894B,8.916B,,6.685B,6.222B,6.732B,6.267B,5.504B,5.072B,4.838B,4.485B,,,,2.78B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.62B,15.34B,,,,,,,,,,,,,,,416.00M,587.00M,,1.08B,846.00M,776.00M,,813.00M,743.00M,10.70B,,8.478B,7.676B,7.065B,,11.91B,11.04B,10.48B,,10.55B,10.67B,9.846B,,9.04B,8.595B,9.005B,,10.66B,8.62B,9.197B,,6.503B,6.128B,5.744B,5.574B,5.354B,5.708B,4.922B,5.316B,5.017B,5.316B,5.278B,5.658B,6.288B,4.036B,4.088B,5.302B,4.177B,4.357B,4.611B,4.127B,3.665B,3.86B,3.659B,3.614B,613.00M,1.013B,924.00M,660.00M,911.00M,983.00M,1.014B,871.00M,1.022B,898.00M,989.00M,806.00M,1.455B,1.556B,1.939B,1.562B,1.76B,1.828B,1.996B,1.736B,1.641B,1.723B,6.698B,7.05B,5.645B,4.399B,4.025B
Total Current Liabilities,97.31B,91.85B,92.19B,83.62B,81.59B,79.42B,77.72B,75.53B,74.65B,54.41B,52.91B,49.78B,50.13B,48.49B,49.86B,49.52B,50.41B,57.81B,57.14B,55.26B,48.23B,53.20B,53.34B,52.50B,51.49B,49.68B,46.95B,45.67B,44.98B,42.85B,42.45B,41.30B,41.27B,37.59B,37.37B,35.26B,35.40B,34.09B,33.48B,32.88B,32.05B,31.27B,29.96B,30.77B,29.36B,31.44B,32.69B,31.54B,30.87B,30.13B,28.43B,29.70B,29.66B,30.36B,29.39B,28.13B,26.12B,24.42B,23.40B,23.10B,21.48B,20.97B,18.57B,18.40B,18.94B,19.25B,18.43B,19.81B,19.02B,19.14B,19.22B,20.57B,21.34B,17.77B,18.11B,18.93B,15.02B,14.66B,13.88B,13.66B,14.17B,14.42B,13.94B,13.77B,13.60B,13.76B,13.98B,14.15B,14.34B,10.10B,9.759B,12.73B,7.268B,7.451B,7.732B,7.415B,7.148B,7.381B,7.469B,6.827B,6.715B,7.238B,6.956B,6.531B,6.76B,6.714B,6.626B,6.14B,7.156B,6.807B,6.715B,6.276B,7.116B,7.157B,7.291B,7.132B,6.738B,6.781B,6.935B,6.673B,6.563B,6.753B,6.705B,7.064B,5.659B,4.417B,4.04B
Non-Current Portion of Long Term Debt,19.80B,20.30B,14.86B,11.36B,10.56B,10.49B,10.51B,10.47B,9.696B,9.78B,10.06B,10.43B,9.487B,9.824B,9.847B,8.721B,8.633B,8.402B,8.904B,8.905B,8.044B,7.301B,7.292B,7.275B,7.989B,8.677B,8.695B,8.254B,8.89B,9.014B,8.735B,8.817B,9.88B,10.78B,10.32B,10.72B,11.47B,11.44B,11.46B,12.22B,10.06B,8.70B,8.742B,6.952B,7.217B,7.24B,7.428B,7.455B,7.555B,8.094B,8.149B,8.157B,8.549B,8.962B,9.057B,9.538B,10.14B,10.22B,10.78B,10.88B,11.05B,11.08B,13.11B,13.30B,13.32B,13.08B,13.21B,12.59B,11.99B,11.31B,11.32B,10.87B,9.306B,9.81B,8.238B,7.567B,7.081B,5.657B,5.709B,5.98B,5.909B,6.097B,6.162B,6.103B,6.261B,6.438B,6.43B,6.123B,6.353B,3.619B,3.652B,6.852B,2.332B,2.337B,2.338B,2.344B,2.355B,2.361B,2.348B,2.603B,2.605B,2.608B,2.606B,2.613B,2.491B,2.243B,1.771B,1.772B,1.721B,1.307B,1.306B,1.313B,948.00M,308.00M,309.00M,311.00M,310.00M,287.00M,286.00M,275.00M,273.00M,249.00M,251.00M,256.00M,263.00M,16.00M,284.00M
Long Term Cap Lease Obligation,158.00M,,,,99.00M,,,,86.00M,,,,81.00M,,,,97.00M,,,,97.00M,,,,83.00M,,,,83.00M,,,,138.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of LTD and Capital Lease Obligation,19.96B,20.30B,14.86B,11.36B,10.66B,10.49B,10.51B,10.47B,9.782B,9.78B,10.06B,10.43B,9.568B,9.824B,9.847B,8.721B,8.73B,8.402B,8.904B,8.905B,8.141B,7.301B,7.292B,7.275B,8.072B,8.677B,8.695B,8.254B,8.973B,9.014B,8.735B,8.817B,10.02B,10.78B,10.32B,10.72B,11.47B,11.44B,11.46B,12.22B,10.06B,8.70B,8.742B,6.952B,7.217B,7.24B,7.428B,7.455B,7.555B,8.094B,8.149B,8.157B,8.549B,8.962B,9.057B,9.538B,10.14B,10.22B,10.78B,10.88B,11.05B,11.08B,13.11B,13.30B,13.32B,13.08B,13.21B,12.59B,11.99B,11.31B,11.32B,10.87B,9.306B,9.81B,8.238B,7.567B,7.081B,5.657B,5.709B,5.98B,5.909B,6.097B,6.162B,6.103B,6.261B,6.438B,6.43B,6.123B,6.353B,3.619B,3.652B,6.852B,2.332B,2.337B,2.338B,2.344B,2.355B,2.361B,2.348B,2.603B,2.605B,2.608B,2.606B,2.613B,2.491B,2.243B,1.771B,1.772B,1.721B,1.307B,1.306B,1.313B,948.00M,308.00M,309.00M,311.00M,310.00M,287.00M,286.00M,275.00M,273.00M,249.00M,251.00M,256.00M,263.00M,16.00M,284.00M
Long Term Deferred Tax Liabilities,413.00M,1.615B,,1.656B,1.736B,1.738B,1.90B,2.001B,2.188B,2.884B,1.415B,1.339B,1.338B,2.211B,2.422B,2.297B,2.392B,,,,2.207B,,,,,,,,,166.00M,226.00M,192.00M,,390.00M,383.00M,427.00M,418.00M,860.00M,896.00M,827.00M,998.00M,1.182B,1.035B,1.154B,1.435B,1.433B,1.47B,1.19B,,,,0.00,2.93B,2.315B,2.219B,2.067B,367.00M,1.222B,1.186B,1.09B,,,,0.00,713.00M,,,,349.00M,333.00M,236.00M,177.00M,52.00M,84.00M,38.00M,0.00,178.00M,141.00M,196.00M,172.00M,,,,,,,,,,,,,,,,,19.00M,117.00M,130.00M,51.00M,63.00M,25.00M,,,,,,,228.00M,188.00M,146.00M,102.00M,109.00M,153.00M,172.00M,161.00M,116.00M,128.00M,175.00M,174.00M,215.00M,216.00M,205.00M,,219.00M,326.00M,322.00M
Non-Current Deferred Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745.00M,,,,775.00M,,,,542.00M,,,,622.00M,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Deferred Liabilities,413.00M,1.615B,,1.656B,1.736B,1.738B,1.90B,2.001B,2.188B,2.884B,1.415B,1.339B,1.338B,2.211B,2.422B,2.297B,2.392B,,,,2.207B,,,,,,,,,166.00M,226.00M,192.00M,,390.00M,383.00M,427.00M,418.00M,860.00M,896.00M,827.00M,998.00M,1.182B,1.035B,1.154B,1.435B,1.433B,1.47B,1.19B,,,,0.00,2.93B,2.315B,2.219B,2.067B,367.00M,1.222B,1.186B,1.835B,,,,775.00M,713.00M,,,542.00M,349.00M,333.00M,236.00M,799.00M,52.00M,84.00M,38.00M,0.00,178.00M,141.00M,196.00M,172.00M,,,,,,,,,,,,,,,,,19.00M,117.00M,130.00M,51.00M,63.00M,25.00M,,,,,,,228.00M,188.00M,146.00M,102.00M,109.00M,153.00M,172.00M,161.00M,116.00M,128.00M,175.00M,174.00M,215.00M,216.00M,205.00M,,219.00M,326.00M,322.00M
Non-Current Accrued Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.23B,,18.18B,18.19B,18.01B,17.82B,13.53B,13.44B,13.36B,15.90B,15.89B,15.82B,15.70B,8.267B,,,8.162B,,,,8.806B,,,,8.937B,,,,9.128B,,,,12.37B,,,,11.70B,,,,5.922B,,,,5.163B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pension Liability,20.82B,19.03B,19.32B,19.61B,19.91B,21.32B,21.56B,21.77B,22.02B,21.34B,25.51B,25.68B,25.86B,24.55B,24.79B,24.81B,24.40B,24.54B,24.31B,24.15B,23.98B,15.76B,16.32B,16.19B,17.00B,25.97B,27.50B,27.32B,27.18B,23.04B,23.64B,,24.06B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minority Interest Ownership,317.00M,307.00M,379.00M,107.00M,71.00M,80.00M,67.00M,76.00M,57.00M,59.00M,59.00M,60.00M,60.00M,61.00M,62.00M,63.00M,62.00M,46.00M,43.00M,124.00M,125.00M,126.00M,123.00M,113.00M,122.00M,116.00M,106.00M,98.00M,100.00M,94.00M,88.00M,93.00M,93.00M,94.00M,91.00M,95.00M,96.00M,96.00M,97.00M,97.00M,151.00M,154.00M,153.00M,152.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00M,14.00M,16.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Liabilities,3.422B,3.621B,4.839B,3.731B,3.059B,2.905B,2.875B,2.474B,2.015B,1.449B,2.128B,2.285B,2.221B,1.729B,2.048B,2.096B,2.078B,1.083B,1.052B,1.081B,1.566B,1.046B,864.00M,808.00M,950.00M,936.00M,1.039B,1.401B,1.429B,900.00M,650.00M,543.00M,907.00M,1.159B,1.027B,333.00M,592.00M,661.00M,652.00M,537.00M,535.00M,335.00M,287.00M,337.00M,392.00M,9.798B,9.71B,516.00M,9.959B,9.808B,9.367B,391.00M,9.293B,9.266B,9.227B,269.00M,12.28B,9.493B,9.867B,,13.31B,13.28B,13.26B,,11.93B,12.36B,12.30B,,6.056B,6.042B,6.022B,,5.887B,5.521B,5.182B,,5.017B,4.968B,4.922B,4.877B,4.894B,4.873B,4.852B,4.831B,4.789B,4.792B,4.795B,4.796B,4.807B,3.694B,3.692B,4.80B,2.529B,2.503B,2.484B,2.441B,2.401B,2.357B,2.319B,2.282B,2.355B,2.391B,2.354B,2.323B,2.298B,2.261B,2.214B,2.179B,,,,,3.00M,7.00M,12.00M,14.00M,16.00M,19.00M,22.00M,25.00M,31.00M,35.00M,43.00M,259.00M,101.00M,123.00M,144.00M
