Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1987-12,1986-12,1985-12,1984-12
Total Payables,1.653B,1.344B,1.403B,1.577B,1.484B,1.285B,1.41B,1.299B,1.377B,1.203B,1.351B,1.359B,1.246B,1.084B,1.387B,1.385B,1.25B,1.364B,1.255B,1.345B,1.284B,1.235B,1.67B,1.359B,1.312B,1.25B,1.351B,1.308B,1.174B,1.14B,1.291B,1.208B,1.126B,1.083B,1.049B,916.00M,739.00M,707.00M,787.00M,690.00M,746.00M,694.00M,732.00M,693.00M,668.00M,701.00M,903.00M,787.00M,759.00M,735.00M,746.00M,643.00M,643.00M,568.00M,609.00M,585.00M,524.00M,495.00M,462.00M,471.00M,420.00M,418.00M,464.00M,443.00M,,328.00M,352.00M,367.00M,362.00M,371.25M,383.75M,410.46M,504.83M,432.53M,376.23M,335.68M,,253.59M,254.20M,254.85M,266.74M,221.20M,245.50M,193.30M,157.42M,231.10M,207.90M,181.70M,160.89M,171.00M,180.00M,143.70M,214.23M,133.10M,107.50M,125.90M,116.50M,151.30M,141.80M,139.40M,117.60M,159.50M,137.30M,108.30M,94.00M,90.00M,86.90M,82.90M,78.40M,73.50M,71.40M,64.50M,55.00M,47.90M,51.60M,46.90M,51.20M,41.30M,45.70M,55.70M,48.00M,35.80M,40.30M,33.10M,,,,,
Accrued Expenses,809.00M,794.00M,791.00M,892.00M,935.00M,858.00M,724.00M,678.00M,892.00M,741.00M,758.00M,755.00M,743.00M,1.233B,892.00M,893.00M,1.044B,692.00M,724.00M,661.00M,771.00M,768.00M,714.00M,679.00M,747.00M,722.00M,674.00M,644.00M,691.00M,1.04B,630.00M,1.024B,570.00M,1.193B,637.00M,827.00M,863.00M,944.00M,942.00M,657.00M,696.00M,918.00M,1.029B,1.016B,1.012B,3.54B,6.097B,3.756B,3.107B,1.972B,2.094B,1.748B,1.323B,1.823B,2.635B,2.361B,2.074B,2.038B,1.787B,1.611B,1.047B,1.026B,870.00M,731.00M,,545.00M,599.00M,514.00M,,521.15M,637.24M,532.84M,547.54M,482.95M,632.48M,537.76M,,543.09M,642.01M,559.95M,,,,,477.45M,,,,426.95M,,,,380.75M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payables and Accrued Expenses,2.462B,2.138B,2.194B,2.469B,2.419B,2.143B,2.134B,1.977B,2.269B,1.944B,2.109B,2.114B,1.989B,2.317B,2.279B,2.278B,2.294B,2.056B,1.979B,2.006B,2.055B,2.003B,2.384B,2.038B,2.059B,1.972B,2.025B,1.952B,1.865B,2.18B,1.921B,2.232B,1.696B,2.276B,1.686B,1.743B,1.602B,1.651B,1.729B,1.347B,1.442B,1.612B,1.761B,1.709B,1.68B,4.241B,7.00B,4.543B,3.866B,2.707B,2.84B,2.391B,1.966B,2.391B,3.244B,2.946B,2.598B,2.533B,2.249B,2.082B,1.467B,1.444B,1.334B,1.174B,,873.00M,951.00M,881.00M,362.00M,892.41M,1.021B,943.30M,1.052B,915.48M,1.009B,873.44M,,796.68M,896.21M,814.80M,266.74M,221.20M,245.50M,193.30M,634.86M,231.10M,207.90M,181.70M,587.84M,171.00M,180.00M,143.70M,594.98M,133.10M,107.50M,125.90M,116.50M,151.30M,141.80M,139.40M,117.60M,159.50M,137.30M,108.30M,94.00M,90.00M,86.90M,82.90M,78.40M,73.50M,71.40M,64.50M,55.00M,47.90M,51.60M,46.90M,51.20M,41.30M,45.70M,55.70M,48.00M,35.80M,40.30M,33.10M,,,,,
Other Current Borrowings,819.00M,637.00M,654.00M,571.00M,606.00M,,,,,316.00M,307.00M,285.00M,566.00M,972.00M,963.00M,953.00M,637.00M,287.00M,276.00M,271.00M,258.00M,607.00M,605.00M,642.00M,629.00M,259.00M,263.00M,280.00M,271.00M,,257.00M,,644.00M,,990.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,819.00M,637.00M,654.00M,571.00M,606.00M,346.00M,365.00M,365.00M,348.00M,316.00M,307.00M,285.00M,566.00M,972.00M,963.00M,953.00M,637.00M,287.00M,276.00M,271.00M,258.00M,607.00M,605.00M,642.00M,629.00M,259.00M,263.00M,280.00M,271.00M,265.00M,257.00M,259.00M,644.00M,986.00M,990.00M,905.00M,505.00M,113.00M,123.00M,170.00M,190.00M,198.00M,105.00M,163.00M,163.00M,72.00M,71.00M,40.00M,41.00M,24.00M,123.00M,123.00M,122.00M,585.00M,483.00M,574.00M,601.00M,149.00M,145.00M,74.00M,146.00M,317.00M,317.00M,307.00M,,131.00M,132.00M,132.00M,131.00M,30.02M,29.92M,39.98M,514.57M,490.15M,110.50M,110.14M,,108.66M,3.875M,7.254M,7.873M,6.90M,7.70M,8.90M,12.00M,10.70M,15.20M,14.80M,121.32M,119.60M,116.90M,18.20M,12.33M,12.20M,11.60M,11.40M,13.50M,13.70M,13.40M,12.80M,9.60M,9.40M,9.30M,9.30M,16.10M,9.80M,9.90M,11.10M,10.80M,10.70M,8.00M,6.80M,6.60M,6.60M,6.40M,6.40M,13.60M,14.00M,21.90M,15.60M,16.20M,14.80M,11.00M,11.20M,10.00M,9.70M,11.50M,12.50M,6.80M
Current Capital Lease Obligation,353.00M,332.00M,350.00M,361.00M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Debt & Capital Lease Obligation,1.172B,969.00M,1.004B,932.00M,606.00M,346.00M,365.00M,365.00M,348.00M,316.00M,307.00M,285.00M,566.00M,972.00M,963.00M,953.00M,637.00M,287.00M,276.00M,271.00M,258.00M,607.00M,605.00M,642.00M,629.00M,259.00M,263.00M,280.00M,271.00M,265.00M,257.00M,259.00M,644.00M,986.00M,990.00M,905.00M,505.00M,113.00M,123.00M,170.00M,190.00M,198.00M,105.00M,163.00M,163.00M,72.00M,71.00M,40.00M,41.00M,24.00M,123.00M,123.00M,122.00M,585.00M,483.00M,574.00M,601.00M,149.00M,145.00M,74.00M,146.00M,317.00M,317.00M,307.00M,,131.00M,132.00M,132.00M,131.00M,30.02M,29.92M,39.98M,514.57M,490.15M,110.50M,110.14M,,108.66M,3.875M,7.254M,7.873M,6.90M,7.70M,8.90M,12.00M,10.70M,15.20M,14.80M,121.32M,119.60M,116.90M,18.20M,12.33M,12.20M,11.60M,11.40M,13.50M,13.70M,13.40M,12.80M,9.60M,9.40M,9.30M,9.30M,16.10M,9.80M,9.90M,11.10M,10.80M,10.70M,8.00M,6.80M,6.60M,6.60M,6.40M,6.40M,13.60M,14.00M,21.90M,15.60M,16.20M,14.80M,11.00M,11.20M,10.00M,9.70M,11.50M,12.50M,6.80M
Current Deferred Revenue,4.457B,4.93B,4.962B,5.029B,4.134B,4.756B,4.652B,4.42B,3.495B,3.932B,4.012B,4.012B,3.115B,3.677B,3.754B,3.675B,2.99B,3.513B,3.815B,3.613B,2.897B,3.377B,3.485B,3.332B,2.571B,2.981B,3.077B,2.877B,2.17B,,,,1.836B,,32.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Liabilities,4.457B,4.93B,4.962B,5.029B,4.134B,4.756B,4.652B,4.42B,3.495B,3.932B,4.012B,4.012B,3.115B,3.677B,3.754B,3.675B,2.99B,3.513B,3.815B,3.613B,2.897B,3.377B,3.485B,3.332B,2.571B,2.981B,3.077B,2.877B,2.17B,,,,1.836B,,134.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Tax Liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Liability,,,,,,,,,,80.00M,169.00M,153.00M,158.00M,154.00M,265.00M,358.00M,643.00M,541.00M,317.00M,356.00M,174.00M,31.00M,,,12.00M,3.00M,36.00M,,50.00M,2.524B,2.561B,2.556B,85.00M,2.058B,2.154B,1.71B,1.198B,1.423B,1.486B,1.40B,1.044B,1.214B,1.207B,1.251B,963.00M,1.275B,1.303B,1.198B,931.00M,1.095B,1.122B,1.01B,799.00M,968.00M,958.00M,929.00M,649.00M,776.00M,748.00M,724.00M,529.00M,644.00M,658.00M,700.00M,,568.00M,575.00M,535.00M,941.00M,517.45M,636.23M,759.90M,672.25M,522.08M,510.10M,504.85M,,478.57M,427.08M,484.28M,687.45M,773.10M,854.60M,796.90M,203.79M,654.40M,708.30M,689.80M,159.35M,608.00M,618.40M,599.50M,158.10M,575.60M,639.10M,544.60M,480.60M,481.80M,534.10M,454.90M,395.10M,403.90M,414.00M,420.80M,368.50M,330.50M,349.50M,308.20M,279.20M,284.30M,274.50M,230.30M,198.30M,203.00M,188.20M,161.50M,160.60M,167.20M,169.90M,141.70M,131.70M,135.40M,132.50M,120.50M,142.90M,102.60M,71.30M,59.40M,40.50M
Total Current Liabilities,8.952B,8.629B,8.611B,8.723B,7.905B,7.843B,7.716B,7.162B,6.863B,6.965B,7.097B,7.458B,6.844B,7.816B,7.833B,8.253B,7.406B,7.084B,6.876B,6.903B,5.923B,6.446B,7.027B,6.441B,5.676B,5.546B,5.779B,5.411B,4.65B,4.969B,5.08B,5.047B,4.533B,5.32B,5.318B,4.358B,3.305B,3.187B,3.338B,2.917B,2.676B,3.024B,3.073B,3.123B,2.806B,5.588B,8.374B,5.781B,4.838B,3.826B,4.085B,3.524B,2.887B,3.944B,4.685B,4.449B,3.848B,3.458B,3.142B,2.88B,2.142B,2.405B,2.309B,2.181B,,1.572B,1.658B,1.548B,1.434B,1.440B,1.687B,1.743B,2.239B,1.928B,1.629B,1.488B,,1.384B,1.327B,1.306B,962.06M,1.001B,1.108B,999.10M,850.65M,896.20M,931.40M,886.30M,868.51M,898.60M,915.30M,761.40M,765.40M,720.90M,758.20M,681.90M,610.60M,646.80M,689.30M,607.10M,522.30M,572.80M,560.60M,538.40M,478.60M,430.30M,446.30M,402.20M,368.40M,368.50M,353.90M,301.60M,259.90M,257.50M,246.20M,214.80M,225.40M,222.50M,237.50M,213.00M,195.90M,186.00M,183.80M,164.80M,152.90M,112.30M,82.80M,71.90M,47.30M
Non-Current Portion of Long Term Debt,1.846B,2.398B,2.449B,2.602B,2.771B,3.10B,3.155B,3.227B,3.32B,2.763B,2.788B,2.781B,2.821B,2.323B,2.391B,2.355B,2.541B,2.381B,2.411B,2.416B,2.434B,2.125B,2.153B,2.172B,2.191B,2.616B,2.671B,2.708B,2.883B,2.961B,3.019B,3.048B,3.107B,3.22B,3.242B,2.428B,2.875B,3.35B,3.324B,3.305B,3.325B,3.378B,3.278B,3.447B,3.498B,2.58B,2.59B,2.079B,2.05B,1.555B,1.518B,1.556B,1.567B,1.275B,1.35B,1.368B,1.394B,1.861B,1.863B,1.926B,1.70B,1.606B,1.239B,1.27B,1.332B,1.525B,1.539B,1.547B,1.553B,1.661B,1.661B,1.702B,1.327B,751.62M,752.60M,754.69M,761.00M,762.61M,868.12M,868.02M,872.00M,617.40M,617.20M,619.10M,623.31M,622.00M,622.60M,624.80M,628.11M,632.10M,636.90M,739.20M,650.23M,652.20M,655.70M,657.30M,661.00M,671.10M,674.00M,675.90M,583.10M,584.20M,587.10M,588.60M,639.10M,592.60M,595.00M,596.30M,699.10M,701.60M,608.00M,611.80M,617.00M,519.80M,422.30M,424.00M,327.00M,334.50M,342.00M,350.10M,354.10M,357.10M,364.50M,365.00M,369.50M,251.10M,339.10M,381.30M,153.30M
Long Term Cap Lease Obligation,978.00M,1.014B,1.072B,1.15B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of LTD and Capital Lease Obligation,2.824B,3.412B,3.521B,3.752B,2.771B,3.10B,3.155B,3.227B,3.32B,2.763B,2.788B,2.781B,2.821B,2.323B,2.391B,2.355B,2.541B,2.381B,2.411B,2.416B,2.434B,2.125B,2.153B,2.172B,2.191B,2.616B,2.671B,2.708B,2.883B,2.961B,3.019B,3.048B,3.107B,3.22B,3.242B,2.428B,2.875B,3.35B,3.324B,3.305B,3.325B,3.378B,3.278B,3.447B,3.498B,2.58B,2.59B,2.079B,2.05B,1.555B,1.518B,1.556B,1.567B,1.275B,1.35B,1.368B,1.394B,1.861B,1.863B,1.926B,1.70B,1.606B,1.239B,1.27B,1.332B,1.525B,1.539B,1.547B,1.553B,1.661B,1.661B,1.702B,1.327B,751.62M,752.60M,754.69M,761.00M,762.61M,868.12M,868.02M,872.00M,617.40M,617.20M,619.10M,623.31M,622.00M,622.60M,624.80M,628.11M,632.10M,636.90M,739.20M,650.23M,652.20M,655.70M,657.30M,661.00M,671.10M,674.00M,675.90M,583.10M,584.20M,587.10M,588.60M,639.10M,592.60M,595.00M,596.30M,699.10M,701.60M,608.00M,611.80M,617.00M,519.80M,422.30M,424.00M,327.00M,334.50M,342.00M,350.10M,354.10M,357.10M,364.50M,365.00M,369.50M,251.10M,339.10M,381.30M,153.30M
Long Term Deferred Tax Liabilities,2.364B,2.643B,2.497B,2.48B,2.427B,2.553B,2.414B,2.216B,2.119B,3.697B,3.54B,3.442B,3.374B,3.209B,2.818B,2.609B,2.49B,3.111B,3.29B,3.252B,2.782B,3.36B,3.017B,2.997B,2.934B,2.937B,2.883B,2.904B,2.884B,2.701B,2.563B,2.638B,2.566B,1.856B,2.263B,2.496B,2.493B,2.14B,2.192B,2.25B,2.207B,1.947B,1.921B,1.895B,1.904B,2.568B,3.193B,2.611B,2.535B,2.404B,2.328B,2.183B,2.104B,1.834B,1.942B,1.752B,1.681B,2.311B,2.118B,1.975B,1.61B,1.86B,1.649B,1.476B,,1.416B,1.388B,1.243B,1.227B,1.233B,1.174B,1.110B,1.058B,1.064B,971.45M,891.19M,,802.21M,763.34M,672.66M,692.34M,620.00M,595.60M,560.70M,549.21M,516.30M,485.60M,443.20M,438.98M,414.60M,385.20M,358.00M,349.99M,332.10M,310.00M,293.60M,281.70M,273.70M,254.70M,237.30M,232.90M,206.10M,208.10M,194.60M,183.60M,163.90M,143.90M,131.60M,133.40M,105.70M,109.80M,112.20M,105.80M,104.20M,109.30M,104.90M,109.30M,127.50M,125.70M,119.70M,118.40M,113.60M,109.00M,106.40M,101.40M,85.90M,109.00M,98.60M,82.40M
Non-Current Deferred Revenue,1.053B,1.036B,1.022B,985.00M,936.00M,827.00M,878.00M,1.01B,1.07B,,,,,33.00M,38.00M,40.00M,43.00M,45.00M,48.00M,51.00M,53.00M,57.00M,59.00M,62.00M,65.00M,54.00M,57.00M,60.00M,63.00M,66.00M,69.00M,72.00M,75.00M,78.00M,82.00M,85.00M,88.00M,92.00M,95.00M,98.00M,102.00M,125.00M,128.00M,111.00M,105.00M,97.00M,100.00M,103.00M,106.00M,110.00M,113.00M,117.00M,120.00M,124.00M,128.00M,132.00M,136.00M,140.00M,144.00M,148.00M,152.00M,156.00M,160.00M,164.00M,,172.00M,176.00M,180.00M,,180.96M,184.75M,188.55M,192.34M,196.14M,199.93M,203.73M,,211.32M,215.11M,218.91M,,,,,238.41M,,,,256.26M,,,,274.89M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Deferred Liabilities,3.73B,3.679B,3.801B,3.737B,3.61B,3.64B,3.539B,3.467B,3.426B,3.922B,3.758B,3.637B,3.578B,3.437B,3.046B,2.817B,2.712B,3.327B,3.51B,3.467B,3.009B,3.584B,3.236B,3.215B,3.162B,3.144B,3.087B,3.108B,3.088B,2.767B,2.632B,2.71B,2.766B,1.934B,2.345B,2.581B,2.581B,2.232B,2.287B,2.348B,2.309B,2.072B,2.53B,2.681B,2.009B,2.943B,3.293B,2.986B,2.641B,2.874B,2.823B,2.604B,2.557B,2.244B,2.356B,2.141B,2.086B,2.672B,2.457B,2.333B,1.971B,2.216B,2.011B,1.795B,,1.734B,1.704B,1.55B,1.227B,1.531B,1.476B,1.412B,1.417B,1.366B,1.265B,1.181B,,1.091B,1.055B,952.46M,692.34M,620.00M,595.60M,560.70M,844.12M,516.30M,485.60M,443.20M,740.52M,414.60M,385.20M,358.00M,659.54M,332.10M,310.00M,293.60M,281.70M,273.70M,254.70M,237.30M,232.90M,206.10M,208.10M,194.60M,183.60M,163.90M,143.90M,131.60M,133.40M,105.70M,109.80M,112.20M,105.80M,104.20M,109.30M,104.90M,109.30M,127.50M,125.70M,119.70M,118.40M,113.60M,109.00M,106.40M,101.40M,85.90M,109.00M,98.60M,82.40M
Pension Liability,288.00M,,240.00M,235.00M,232.00M,294.00M,288.00M,282.00M,275.00M,274.00M,267.00M,261.00M,256.00M,215.00M,211.00M,206.00M,201.00M,179.00M,176.00M,172.00M,169.00M,143.00M,144.00M,140.00M,138.00M,169.00M,162.00M,154.00M,148.00M,,112.00M,,107.00M,,98.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derivative Contract Liabilities,,,,,,22.00M,23.00M,24.00M,21.00M,21.00M,24.00M,30.00M,35.00M,1.00M,17.00M,46.00M,74.00M,265.00M,105.00M,488.00M,622.00M,37.00M,40.00M,41.00M,45.00M,72.00M,79.00M,66.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Liabilities,269.00M,816.00M,261.00M,221.00M,1.872B,1.83B,1.747B,1.722B,1.564B,1.504B,1.457B,1.392B,1.311B,1.206B,1.128B,1.068B,1.02B,955.00M,839.00M,815.00M,791.00M,775.00M,775.00M,777.00M,797.00M,804.00M,823.00M,789.00M,835.00M,1.114B,833.00M,924.00M,678.00M,926.00M,740.00M,460.00M,465.00M,424.00M,490.00M,423.00M,493.00M,409.00M,,,802.00M,,275.00M,,302.00M,,,,,,,,,,,,,,,,,,,,318.00M,,,,,,,,,,,,291.60M,277.80M,288.70M,280.00M,,281.10M,295.20M,289.30M,,289.20M,301.90M,298.70M,,299.30M,293.70M,270.20M,275.50M,274.60M,261.80M,235.90M,246.10M,245.40M,201.50M,210.50M,220.70M,223.50M,228.50M,249.20M,237.80M,219.10M,227.80M,236.50M,226.00M,234.50M,211.70M,212.70M,204.50M,192.80M,149.70M,154.60M,159.40M,164.20M,140.50M,144.10M,117.20M,79.00M,35.40M,4.60M,1.40M
Total Long Term Liabilities,7.111B,7.907B,7.823B,7.945B,8.485B,8.886B,8.752B,8.722B,8.606B,8.484B,8.294B,8.101B,8.001B,7.182B,6.793B,6.492B,6.548B,7.107B,7.041B,7.358B,7.025B,6.664B,6.348B,6.345B,6.333B,6.805B,6.822B,6.825B,6.954B,6.842B,6.596B,6.682B,6.658B,6.08B,6.425B,5.469B,5.921B,6.006B,6.101B,6.076B,6.127B,5.859B,5.808B,6.128B,6.309B,5.523B,6.158B,5.065B,4.993B,4.429B,4.341B,4.16B,4.124B,3.519B,3.706B,3.509B,3.48B,4.533B,4.32B,4.259B,3.671B,3.822B,3.25B,3.065B,1.332B,3.259B,3.243B,3.097B,3.098B,3.192B,3.137B,3.114B,2.744B,2.118B,2.018B,1.935B,761.00M,1.853B,1.923B,1.820B,1.856B,1.515B,1.502B,1.460B,1.467B,1.419B,1.403B,1.357B,1.369B,1.336B,1.324B,1.396B,1.310B,1.284B,1.259B,1.221B,1.218B,1.219B,1.190B,1.149B,1.062B,1.036B,996.70M,993.70M,1.043B,980.00M,967.40M,977.10M,1.070B,1.026B,945.60M,960.50M,948.80M,858.50M,743.30M,741.60M,640.80M,654.80M,617.40M,624.40M,631.90M,634.90M,614.00M,615.50M,588.10M,416.00M,483.50M,484.50M,237.10M
Total Liabilities,16.06B,16.54B,16.43B,16.67B,16.39B,16.73B,16.47B,15.88B,15.47B,15.45B,15.39B,15.56B,14.84B,15.00B,14.63B,14.74B,13.95B,14.19B,13.92B,14.26B,12.95B,13.11B,13.38B,12.79B,12.01B,12.35B,12.60B,12.24B,11.60B,11.81B,11.68B,11.73B,11.19B,11.40B,11.74B,9.827B,9.226B,9.193B,9.439B,8.993B,8.803B,8.883B,8.881B,9.251B,9.115B,11.11B,14.53B,10.85B,9.831B,8.255B,8.426B,7.684B,7.011B,7.463B,8.391B,7.958B,7.328B,7.991B,7.462B,7.139B,5.813B,6.227B,5.559B,5.246B,4.664B,4.831B,4.901B,4.645B,4.532B,4.631B,4.824B,4.858B,4.983B,4.045B,3.647B,3.424B,3.219B,3.237B,3.250B,3.127B,2.818B,2.516B,2.609B,2.459B,2.318B,2.316B,2.335B,2.244B,2.237B,2.234B,2.239B,2.157B,2.075B,2.004B,2.018B,1.903B,1.829B,1.866B,1.880B,1.756B,1.584B,1.608B,1.557B,1.532B,1.522B,1.410B,1.414B,1.379B,1.439B,1.395B,1.300B,1.262B,1.209B,1.116B,989.50M,956.40M,866.20M,877.30M,854.90M,837.40M,827.80M,820.90M,797.80M,780.30M,741.00M,528.30M,566.30M,556.40M,284.40M
Total Capital Stock,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,808.00M,802.00M,790.00M,790.00M,790.00M,790.00M,790.00M,790.00M,790.00M,,786.00M,782.00M,778.00M,777.00M,774.03M,772.56M,771.25M,766.77M,764.61M,762.83M,761.83M,,507.90M,507.90M,507.80M,505.00M,504.20M,335.90M,335.90M,335.90M,335.90M,223.40M,223.00M,221.21M,146.80M,145.70M,145.40M,145.11M,145.00M,144.80M,144.60M,144.00M,143.90M,143.70M,143.50M,143.30M,143.10M,143.00M,,,,,,,,,,,,,,,,,,,,,,,,,,
Retained Earnings,17.94B,17.52B,16.96B,16.32B,15.97B,15.40B,14.88B,14.24B,13.83B,12.81B,12.38B,11.71B,11.42B,10.96B,10.63B,9.872B,9.409B,8.922B,8.387B,7.829B,7.416B,7.266B,6.979B,6.555B,6.431B,6.246B,6.015B,5.818B,5.768B,5.70B,5.692B,5.486B,5.395B,5.251B,5.398B,5.399B,5.399B,5.273B,5.075B,4.973B,4.983B,4.876B,4.863B,4.819B,4.919B,4.98B,5.123B,4.811B,4.788B,4.685B,4.534B,4.264B,4.307B,4.369B,4.325B,4.016B,4.018B,4.474B,4.274B,4.138B,4.089B,4.084B,3.979B,3.896B,,3.821B,3.718B,3.476B,3.455B,3.417B,3.345B,3.246B,3.228B,3.168B,3.021B,2.859B,,2.782B,2.624B,2.457B,2.386B,2.295B,2.250B,2.100B,2.045B,1.958B,1.831B,1.700B,1.632B,1.554B,1.463B,1.371B,1.322B,1.295B,1.236B,1.152B,1.121B,1.079B,1.012B,954.10M,943.70M,924.80M,867.60M,810.50M,770.10M,725.70M,683.20M,642.60M,605.90M,580.10M,554.50M,532.10M,507.30M,499.50M,484.80M,475.30M,484.60M,490.20M,468.20M,445.70M,441.60M,434.50M,411.00M,392.80M,374.20M,320.40M,304.40M,258.60M,215.30M
Additional Paid In Capital,1.581B,1.554B,1.534B,1.513B,1.51B,1.485B,1.469B,1.452B,1.451B,1.436B,1.422B,1.419B,1.41B,1.402B,1.383B,1.387B,1.374B,1.33B,1.319B,1.329B,1.315B,1.28B,1.263B,1.256B,1.231B,1.205B,1.201B,1.214B,1.21B,1.228B,1.224B,1.225B,1.222B,1.222B,1.219B,1.186B,1.183B,1.225B,1.221B,1.219B,1.216B,1.226B,1.223B,1.219B,1.215B,1.221B,1.216B,1.212B,1.207B,1.171B,1.167B,1.155B,1.142B,990.00M,1.047B,1.024B,963.00M,297.00M,299.00M,299.00M,299.00M,263.00M,263.00M,263.00M,,188.00M,163.00M,146.00M,136.00M,83.82M,75.40M,66.58M,50.41M,15.35M,5.996M,0.00,,42.10M,42.10M,40.67M,35.40M,2.60M,89.90M,89.90M,89.82M,68.80M,179.30M,172.80M,155.70M,206.90M,188.00M,183.60M,181.65M,175.10M,173.40M,169.70M,162.70M,159.60M,156.60M,154.10M,151.70M,147.50M,145.50M,,,,,,,,,,,,,,,,,,,,,,,,,,
Treasury Stock,10.44B,9.893B,9.394B,8.946B,8.452B,7.954B,7.456B,6.957B,6.462B,6.114B,5.815B,5.419B,4.872B,4.621B,4.373B,3.677B,3.182B,3.189B,2.692B,2.322B,2.026B,1.833B,1.645B,1.417B,1.131B,1.132B,995.00M,768.00M,675.00M,609.00M,564.00M,365.00M,324.00M,283.00M,116.00M,885.00M,891.00M,903.00M,915.00M,945.00M,963.00M,978.00M,986.00M,996.00M,1.005B,1.011B,1.116B,1.138B,1.103B,1.118B,834.00M,389.00M,390.00M,262.00M,331.00M,92.00M,0.00,0.00,46.00M,84.00M,71.00M,153.00M,65.00M,108.00M,,,,,,,,,,0.00,0.00,14.45M,,121.42M,164.52M,191.87M,90.50M,0.40M,2.70M,15.70M,72.78M,92.10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
