Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03
Net Debt Issuance,-370.00M,-70.00M,-76.00M,-99.00M,-87.00M,-98.00M,-75.00M,-82.00M,542.00M,-106.00M,-59.00M,-369.00M,95.00M,-68.00M,-47.00M,-56.00M,457.00M,-78.00M,-41.00M,-51.00M,-94.00M,-48.00M,-73.00M,-46.00M,-46.00M,-51.00M,-52.00M,-164.00M,-61.00M,-48.00M,-38.00M,-431.00M,-430.00M,-48.00M,-113.00M,-30.00M,-32.00M,-38.00M,-69.00M,-60.00M,-29.00M,184.00M,-165.00M,-35.00M,877.00M,-16.00M,594.00M,-19.00M,494.00M,-101.00M,-6.00M,-9.00M,-170.00M,-1.00M,-99.00M,-37.00M,-13.00M,-1.00M,-27.00M,192.00M,-73.00M,349.00M,15.00M,22.00M,-109.00M,-1.00M,-14.00M,-6.00M,-9.00M,-1.00M,-50.00M,-95.00M,611.44M,374.04M,-1.815M,-5.019M,-1.62M,-0.828M,-3.379M,-4.411M,254.80M,-0.70M,-3.20M,-7.40M,-1.959M,-4.90M,-1.90M,-110.10M,-2.501M,-3.60M,-1.70M,93.90M,-1.595M,-3.00M,-1.50M,-6.60M,-2.60M,-2.80M,-1.60M,95.40M,-0.70M,-2.90M,-1.60M,-57.90M,-84.20M,-15.50M,10.30M,-12.90M,-2.50M,96.10M,-2.60M,-1.90M,-35.20M,197.10M,8.30M,112.60M,70.10M,106.30M,2.60M,-4.60M,-39.20M,-2.50M,-1.10M,-4.60M
Common Stock Issuance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-31.00M,31.00M,,,-35.00M,23.00M,12.00M,,,,,,,,,,,-78.00M,78.00M,34.00M,90.00M,29.00M,107.00M,74.00M,21.00M,18.00M,19.00M,36.00M,12.00M,27.00M,13.00M,32.00M,29.00M,20.00M,12.00M,16.00M,10.00M,11.00M,20.00M,14.28M,11.13M,11.13M,7.002M,23.99M,20.48M,14.68M,11.27M,33.60M,4.80M,8.00M,17.90M,8.572M,9.90M,7.00M,18.80M,13.44M,19.90M,4.60M,2.40M,2.292M,1.80M,4.00M,7.50M,2.20M,3.20M,2.80M,2.50M,2.00M,2.00M,2.10M,2.60M,1.70M,3.70M,-0.40M,1.70M,1.10M,0.60M,0.80M,88.00M,,,,,,,,,,,,
Common Stock Payments,-550.00M,-500.00M,-450.00M,-500.00M,-500.00M,-500.00M,-500.00M,-500.00M,-350.00M,-300.00M,-400.00M,-550.00M,-300.00M,-250.00M,-700.00M,-500.00M,0.00,-500.00M,-380.00M,-300.00M,-200.00M,-200.00M,-240.00M,-315.00M,-39.00M,-150.00M,-251.00M,-100.00M,-75.00M,-50.00M,-225.00M,-50.00M,-50.00M,-175.00M,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,-54.00M,0.00,-327.00M,-465.00M,-209.00M,-200.00M,-97.00M,-289.00M,-214.00M,0.00,0.00,0.00,-55.00M,0.00,-110.00M,-11.00M,-125.00M,,0.00,0.00,0.00,,,,,0.00,,0.00,0.00,-0.001M,-1.076M,-6.234M,-101.36M,-90.10M,-0.40M,,,0.00,-100.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,-3.50M,-11.30M,-10.80M,19.70M,0.00,0.00,-29.70M
Net Common Equity Issued (Purchased),-550.00M,-500.00M,-450.00M,-500.00M,-500.00M,-500.00M,-500.00M,-500.00M,-350.00M,-300.00M,-400.00M,-550.00M,-300.00M,-250.00M,-700.00M,-500.00M,0.00,-500.00M,-380.00M,-300.00M,-200.00M,-200.00M,-240.00M,-315.00M,-39.00M,-150.00M,-251.00M,-100.00M,-75.00M,-50.00M,-225.00M,-50.00M,-50.00M,-206.00M,31.00M,0.00,0.00,-35.00M,23.00M,12.00M,,,,,0.00,0.00,0.00,-54.00M,0.00,-327.00M,-543.00M,-131.00M,-166.00M,-7.00M,-260.00M,-107.00M,74.00M,21.00M,18.00M,-36.00M,36.00M,-98.00M,16.00M,-112.00M,32.00M,29.00M,20.00M,12.00M,16.00M,10.00M,11.00M,20.00M,14.28M,11.13M,11.13M,7.002M,23.99M,19.41M,8.442M,-90.09M,-56.50M,4.40M,8.00M,17.90M,8.572M,-90.10M,7.00M,18.80M,13.44M,19.90M,4.60M,2.40M,2.292M,1.80M,4.00M,7.50M,2.20M,3.20M,2.80M,2.50M,2.00M,2.00M,2.10M,2.60M,1.70M,3.70M,-0.40M,1.70M,1.00M,0.60M,0.80M,88.00M,,,,,0.00,-3.50M,-11.30M,-10.80M,19.70M,0.00,0.00,-29.70M
Total Common Dividends Paid,0.00,-96.00M,-98.00M,-178.00M,0.00,-92.00M,-92.00M,-148.00M,0.00,-75.00M,-76.00M,-123.00M,0.00,-62.00M,-64.00M,-96.00M,0.00,-49.00M,-50.00M,-81.00M,-1.00M,-41.00M,-41.00M,-56.00M,0.00,-28.00M,-28.00M,-15.00M,0.00,-8.00M,-7.00M,-7.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Dividends Paid,0.00,-96.00M,-98.00M,-178.00M,0.00,-92.00M,-92.00M,-148.00M,0.00,-75.00M,-76.00M,-123.00M,0.00,-62.00M,-64.00M,-96.00M,0.00,-49.00M,-50.00M,-81.00M,-1.00M,-41.00M,-41.00M,-56.00M,0.00,-28.00M,-28.00M,-15.00M,0.00,-8.00M,-7.00M,-7.00M,0.00,-4.00M,-3.00M,-7.00M,0.00,-3.00M,-3.00M,-7.00M,0.00,-3.00M,-3.00M,-7.00M,0.00,-3.00M,-3.00M,-7.00M,0.00,-3.00M,-4.00M,-7.00M,0.00,-3.00M,-4.00M,-7.00M,0.00,-3.00M,-4.00M,-7.00M,0.00,-3.00M,-4.00M,-7.00M,0.00,-3.00M,-4.00M,-7.00M,0.00,-4.00M,-3.00M,-7.00M,0.00,-3.438M,-3.432M,-6.57M,0.00,-2.731M,-2.737M,-5.51M,0.00,-0.30M,-5.50M,-5.00M,0.016M,-2.60M,-2.30M,-4.40M,0.007M,-1.70M,-1.70M,-3.20M,-0.016M,-1.60M,-1.60M,-3.00M,0.00,-1.40M,-1.40M,-2.90M,-1.40M,-1.40M,-1.50M,-1.40M,-1.40M,-2.70M,0.00,-1.30M,-1.30M,-1.30M,-1.20M,-1.10M,-1.00M,-1.10M,-1.00M,-1.10M,-1.00M,-1.10M,-1.00M,-1.00M,-1.00M,-1.10M,-1.00M,-1.10M
Proceeds from Stock Option Exercised,11.00M,9.00M,10.00M,10.00M,9.00M,9.00M,8.00M,9.00M,7.00M,8.00M,7.00M,7.00M,6.00M,6.00M,6.00M,11.00M,16.00M,9.00M,8.00M,13.00M,14.00M,23.00M,24.00M,49.00M,65.00M,12.00M,13.00M,6.00M,5.00M,5.00M,12.00M,5.00M,20.00M,,-4.00M,4.00M,,,,,9.00M,3.00M,4.00M,4.00M,,,,,-128.00M,128.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Other Financing Activities,1.00M,-33.00M,1.00M,-12.00M,7.00M,3.00M,14.00M,119.00M,8.00M,20.00M,52.00M,51.00M,43.00M,28.00M,19.00M,5.00M,-8.00M,10.00M,-11.00M,12.00M,-5.00M,20.00M,-11.00M,-7.00M,7.00M,-8.00M,-9.00M,-13.00M,34.00M,-1.00M,-6.00M,-1.00M,-33.00M,33.00M,-3.00M,77.00M,-42.00M,52.00M,-2.00M,,-3.00M,-3.00M,207.00M,167.00M,71.00M,79.00M,7.00M,11.00M,113.00M,-91.00M,93.00M,29.00M,3.00M,25.00M,3.00M,29.00M,30.00M,5.00M,8.00M,3.00M,-1.00M,-3.00M,-3.00M,-1.00M,1.00M,1.00M,0.00,1.00M,-19.00M,-80.00M,-103.00M,-68.00M,,,,,,,,,,,,,,-0.10M,0.10M,,,,0.20M,-0.20M,0.00,198.00M,131.90M,0.10M,0.00,130.00M,191.50M,0.10M,0.10M,315.00M,,,,,,,,,,,132.60M,0.40M,-0.30M,-0.10M,-0.20M,-0.10M,0.10M,,0.10M,46.70M,0.00,44.50M
Cash from Financing,-908.00M,-690.00M,-613.00M,-779.00M,-571.00M,-678.00M,-645.00M,-602.00M,207.00M,-453.00M,-476.00M,-984.00M,-156.00M,-346.00M,-786.00M,-636.00M,465.00M,-608.00M,-474.00M,-407.00M,-286.00M,-246.00M,-341.00M,-375.00M,-13.00M,-225.00M,-327.00M,-286.00M,-97.00M,-102.00M,-264.00M,-484.00M,-493.00M,-225.00M,-92.00M,44.00M,-19.00M,-24.00M,-51.00M,-55.00M,-23.00M,181.00M,43.00M,129.00M,1.065B,60.00M,598.00M,-69.00M,479.00M,-394.00M,-460.00M,-118.00M,-333.00M,14.00M,-360.00M,-122.00M,91.00M,22.00M,-5.00M,152.00M,-38.00M,245.00M,24.00M,-98.00M,-76.00M,26.00M,2.00M,0.00,-12.00M,-75.00M,-145.00M,-150.00M,887.07M,381.74M,5.88M,-4.587M,22.37M,15.85M,2.326M,-100.01M,198.20M,3.40M,-0.70M,5.50M,6.629M,-97.70M,2.90M,-95.70M,10.94M,14.60M,1.40M,92.90M,0.681M,195.20M,132.80M,-2.00M,-0.40M,129.00M,191.30M,95.10M,0.00,312.70M,-1.00M,-56.70M,6.20M,-14.50M,9.90M,-12.50M,117.10M,95.40M,-3.00M,85.00M,96.40M,196.40M,7.00M,111.40M,68.90M,101.60M,-9.60M,-16.40M,-20.40M,43.10M,-2.10M,9.10M
Beginning Cash,2.488B,2.446B,2.344B,1.854B,2.104B,2.114B,1.822B,1.495B,1.46B,1.537B,1.851B,1.68B,1.966B,2.04B,2.388B,1.583B,1.74B,1.772B,2.025B,1.282B,1.832B,1.882B,1.741B,1.355B,1.333B,1.489B,1.338B,1.113B,1.168B,1.083B,1.558B,829.00M,1.016B,1.595B,2.039B,1.261B,1.031B,989.00M,1.11B,1.114B,902.00M,946.00M,1.145B,1.368B,2.39B,4.653B,2.982B,2.213B,1.05B,1.605B,1.618B,1.39B,1.947B,2.592B,2.60B,2.28B,2.428B,2.269B,1.908B,1.048B,1.531B,1.407B,1.482B,1.484B,2.034B,2.204B,1.889B,1.815B,1.944B,2.118B,2.114B,2.28B,1.489B,968.35M,684.68M,523.00M,580.61M,636.65M,542.56M,418.82M,266.70M,487.60M,405.60M,378.50M,452.20M,567.20M,506.90M,623.30M,554.10M,577.80M,652.40M,581.80M,594.00M,478.30M,324.70M,317.40M,365.80M,400.90M,172.70M,174.50M,270.90M,116.60M,,295.60M,,,,411.00M,,,,260.90M,,,,87.50M,,,,146.40M,,,,210.00M
Change in Cash,60.00M,42.00M,102.00M,490.00M,-250.00M,-10.00M,292.00M,327.00M,35.00M,-77.00M,-314.00M,171.00M,-286.00M,-74.00M,-348.00M,805.00M,-157.00M,-32.00M,-253.00M,743.00M,-550.00M,-50.00M,141.00M,386.00M,22.00M,-156.00M,151.00M,225.00M,-55.00M,85.00M,-475.00M,729.00M,-187.00M,-579.00M,-444.00M,778.00M,230.00M,42.00M,-121.00M,-4.00M,212.00M,-44.00M,-199.00M,-223.00M,-1.022B,-2.263B,1.671B,769.00M,1.163B,-555.00M,-13.00M,228.00M,-557.00M,-645.00M,-8.00M,320.00M,-148.00M,159.00M,361.00M,860.00M,-607.00M,124.00M,-75.00M,-2.00M,-169.00M,-170.00M,315.00M,74.00M,-129.00M,-174.00M,4.00M,-166.00M,790.47M,521.04M,283.67M,161.68M,-57.61M,-56.04M,94.09M,123.74M,152.00M,-220.80M,82.00M,27.10M,-73.63M,-115.00M,60.20M,-116.40M,69.20M,-23.60M,-74.60M,70.50M,-12.12M,115.60M,153.70M,7.30M,-48.40M,-35.10M,228.10M,-1.80M,-96.30M,154.40M,-179.00M,,,,,,,,,,,,,,,,,,,,,
Ending Cash,2.548B,2.488B,2.446B,2.344B,1.854B,2.104B,2.114B,1.822B,1.495B,1.46B,1.537B,1.851B,1.68B,1.966B,2.04B,2.388B,1.583B,1.74B,1.772B,2.025B,1.282B,1.832B,1.882B,1.741B,1.355B,1.333B,1.489B,1.338B,1.113B,1.168B,1.083B,1.558B,829.00M,1.016B,1.595B,2.039B,1.261B,1.031B,989.00M,1.11B,1.114B,902.00M,946.00M,1.145B,1.368B,2.39B,4.653B,2.982B,2.213B,1.05B,1.605B,1.618B,1.39B,1.947B,2.592B,2.60B,2.28B,2.428B,2.269B,1.908B,1.305B,1.531B,1.407B,1.482B,1.865B,2.034B,2.204B,1.889B,1.815B,1.944B,2.118B,2.114B,2.280B,1.489B,968.35M,684.68M,523.00M,580.61M,636.65M,542.56M,418.80M,266.70M,487.60M,405.60M,378.51M,452.20M,567.20M,506.90M,623.34M,554.10M,577.80M,652.40M,581.84M,594.00M,478.30M,324.70M,317.40M,365.80M,400.90M,172.70M,174.60M,270.90M,116.60M,,,,,,,,,,,,,,,,,,,,,
Issuance of Capital Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-31.00M,31.00M,,,-35.00M,23.00M,12.00M,,,,,,,,,,,-78.00M,78.00M,34.00M,90.00M,29.00M,107.00M,74.00M,21.00M,18.00M,19.00M,36.00M,12.00M,27.00M,13.00M,32.00M,29.00M,20.00M,12.00M,16.00M,10.00M,11.00M,20.00M,14.28M,11.13M,11.13M,7.002M,23.99M,20.48M,14.68M,11.27M,33.60M,4.80M,8.00M,17.90M,8.572M,9.90M,7.00M,18.80M,13.44M,19.90M,4.60M,2.40M,2.292M,1.80M,4.00M,7.50M,2.20M,3.20M,2.80M,2.50M,2.00M,2.00M,2.10M,2.60M,1.70M,3.70M,-0.40M,1.70M,1.10M,0.60M,0.80M,88.00M,,,,,,,,,,,,
Issuance of Debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.00M,207.00M,332.00M,,891.00M,0.00,600.00M,,500.00M,0.00,0.00,,,,,,0.00,0.00,0.00,300.00M,112.00M,350.00M,29.00M,29.00M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,385.00M,614.25M,475.00M,,,,,,,,,,,,,,,-0.036M,0.00,0.00,98.80M,,,,,0.00,0.00,0.00,98.80M,,,,,-72.20M,90.00M,-90.00M,90.00M,0.00,98.50M,,,-33.70M,198.40M,10.00M,121.70M,78.00M,122.00M,4.20M,,,,,
Debt Repayment,-370.00M,-70.00M,-76.00M,-99.00M,-87.00M,-98.00M,-75.00M,-82.00M,-58.00M,-106.00M,-59.00M,-369.00M,-420.00M,-68.00M,-47.00M,-56.00M,-43.00M,-78.00M,-41.00M,-51.00M,-394.00M,-48.00M,-73.00M,-46.00M,-46.00M,-51.00M,-52.00M,-164.00M,-61.00M,-48.00M,-38.00M,-431.00M,-430.00M,-48.00M,-113.00M,-30.00M,-32.00M,-38.00M,-69.00M,-60.00M,-28.00M,-23.00M,-497.00M,-35.00M,-14.00M,-16.00M,-6.00M,-19.00M,-6.00M,-101.00M,-6.00M,-9.00M,-470.00M,-1.00M,-99.00M,-37.00M,-13.00M,-1.00M,-27.00M,-108.00M,-185.00M,-1.00M,-14.00M,-7.00M,-109.00M,-1.00M,-14.00M,-6.00M,-9.00M,-1.00M,-50.00M,-480.00M,-2.808M,-100.96M,-1.815M,-5.019M,-1.62M,-0.828M,-3.379M,-4.411M,-0.80M,-0.70M,-3.20M,-7.40M,-1.959M,-4.90M,-1.90M,-110.10M,-2.465M,-3.60M,-1.70M,-4.90M,-1.595M,-3.00M,-1.50M,-6.60M,-2.60M,-2.80M,-1.60M,-3.40M,-0.70M,-2.90M,-1.60M,-57.90M,-12.00M,-105.50M,100.30M,-102.90M,-2.50M,-2.40M,-2.60M,-1.90M,-1.50M,-1.30M,-1.70M,-9.10M,-7.90M,-15.70M,-1.60M,-4.60M,-39.20M,-2.50M,-1.10M,-4.60M
Repurchase of Capital Stock,-550.00M,-500.00M,-450.00M,-500.00M,-500.00M,-500.00M,-500.00M,-500.00M,-350.00M,-300.00M,-400.00M,-550.00M,-300.00M,-250.00M,-700.00M,-500.00M,0.00,-500.00M,-380.00M,-300.00M,-200.00M,-200.00M,-240.00M,-315.00M,-39.00M,-150.00M,-251.00M,-100.00M,-75.00M,-50.00M,-225.00M,-50.00M,-50.00M,-175.00M,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,-54.00M,0.00,-327.00M,-465.00M,-209.00M,-200.00M,-97.00M,-289.00M,-214.00M,0.00,0.00,0.00,-55.00M,0.00,-110.00M,-11.00M,-125.00M,,0.00,0.00,0.00,,,,,0.00,,0.00,0.00,-0.001M,-1.076M,-6.234M,-101.36M,-90.10M,-0.40M,,,0.00,-100.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,-3.50M,-11.30M,-10.80M,19.70M,0.00,0.00,-29.70M
Income Tax Paid Supplemental Data,292.00M,169.00M,314.00M,4.00M,115.00M,38.00M,170.00M,4.00M,381.00M,229.00M,376.00M,6.00M,1.804B,-1.54B,565.00M,73.00M,465.00M,409.00M,455.00M,111.00M,11.00M,132.00M,12.00M,0.00,199.00M,124.00M,21.00M,2.00M,3.00M,2.00M,94.00M,1.00M,13.00M,,,0.00,,,,,1.00M,0.00,3.00M,1.00M,1.00M,57.00M,7.00M,6.00M,22.00M,72.00M,,,,,,,-3.00M,3.00M,,,,,,,-2.00M,49.00M,4.00M,,1.00M,0.00,2.00M,,-12.15M,1.549M,7.492M,3.109M,36.22M,92.45M,20.73M,0.60M,28.40M,74.40M,28.20M,1.00M,56.20M,59.90M,30.70M,0.60M,34.10M,59.90M,12.90M,0.20M,8.00M,36.50M,21.50M,0.40M,21.60M,44.50M,6.00M,1.80M,16.20M,26.80M,37.50M,,,,,,,,,,,,,,,,,,,,,
Interest Paid Supplemental Data,29.00M,11.00M,33.00M,15.00M,37.00M,18.00M,34.00M,18.00M,20.00M,16.00M,18.00M,27.00M,177.00M,-127.00M,23.00M,27.00M,19.00M,33.00M,21.00M,32.00M,26.00M,35.00M,33.00M,34.00M,27.00M,39.00M,25.00M,42.00M,34.00M,39.00M,33.00M,47.00M,185.00M,,-34.00M,34.00M,,,,,43.00M,31.00M,42.00M,36.00M,20.00M,39.00M,16.00M,25.00M,-50.00M,50.00M,,,,,,,-53.00M,21.00M,32.00M,,38.00M,,-13.00M,13.00M,10.00M,15.00M,37.00M,,19.00M,23.00M,21.00M,17.00M,-38.30M,15.77M,4.444M,18.09M,4.532M,16.05M,3.862M,12.50M,3.90M,11.30M,-3.20M,14.60M,-1.10M,14.10M,-0.40M,20.80M,0.00,19.80M,1.80M,20.80M,1.40M,17.30M,0.50M,17.40M,-0.10M,14.30M,-2.10M,13.20M,-3.10M,13.10M,16.60M,,,,,,,,,,,,,,,,,,,,,
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,Restated,,,,Restated,,,,Restated,,,,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
