Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Normalized Income,945.67M,861.29M,866.89M,523.36M,543.18M,924.65M,732.12M,1.436B,2.410B,819.70M,774.50M,766.10M,775.33M,745.85M,340.49M,626.72M,532.60M,876.28M,707.36M,629.99M,852.92M,649.50M,467.43M,370.80M,315.40M,675.60M,594.46M,254.85M,401.81M,360.98M,553.75M,451.25M,671.34M,500.60M,587.20M,241.34M,254.00M,699.75M,426.29M,524.23M,312.60M,513.62M,352.38M,385.86M,461.53M,787.64M,200.55M,235.61M,295.45M,497.93M,373.79M,135.58M,151.11M,492.93M,198.82M,241.82M,222.00M,283.19M,172.19M,104.26M,176.16M,284.06M,249.70M,121.37M,150.30M,310.34M,222.61M,147.33M,121.59M,136.96M,218.50M,154.34M,120.83M,303.21M,196.30M,100.06M,54.17M,283.85M,186.61M,116.24M,236.84M,265.61M,53.53M,203.03M,101.40M,273.43M,165.37M,103.22M,110.09M,251.03M,161.34M,95.82M,86.06M,247.29M,156.18M,94.60M,72.02M,234.54M,137.76M,96.53M,73.09M,211.03M,122.77M,89.04M,85.70M,140.50M,110.50M,92.00M,101.20M,187.80M,103.50M,74.40M,42.30M,187.70M,74.70M,71.40M,41.40M,-568.50M,96.70M,39.40M,70.20M,158.60M,111.10M,,,,,,,,,,,,,,,,,,,,,
EBITDA,2.265B,2.915B,3.126B,2.256B,2.143B,2.417B,2.201B,6.235B,321.00M,2.739B,2.48B,3.317B,2.02B,2.646B,2.181B,2.056B,1.897B,2.513B,2.099B,1.894B,2.436B,2.131B,1.784B,1.453B,1.483B,1.973B,1.682B,957.00M,1.263B,1.349B,1.528B,1.279B,1.586B,1.405B,1.452B,892.00M,1.039B,1.811B,1.195B,1.494B,1.162B,1.419B,1.15B,1.063B,1.401B,1.684B,715.00M,834.00M,823.00M,1.265B,1.025B,649.00M,678.00M,1.372B,766.00M,815.00M,759.00M,1.074B,704.00M,573.00M,578.00M,834.00M,767.00M,575.00M,565.00M,860.00M,684.00M,553.00M,479.00M,492.00M,639.00M,520.00M,501.00M,786.00M,625.00M,480.00M,415.00M,748.00M,613.00M,496.00M,635.00M,715.00M,379.00M,636.00M,560.00M,842.00M,665.00M,467.00M,481.00M,730.00M,583.00M,493.00M,391.80M,716.90M,531.10M,491.00M,430.40M,660.60M,575.00M,449.10M,378.70M,633.70M,458.40M,401.60M,1.232B,1.603B,1.350B,1.132B,1.271B,1.569B,1.262B,1.093B,1.181B,1.518B,1.387B,1.163B,1.582B,1.774B,1.575B,1.358B,1.471B,1.812B,1.530B,1.366B,2.222B,1.385B,1.174B,1.072B,1.100B,1.308B,1.062B,968.30M,979.10M,1.170B,999.10M,943.00M,1.032B,1.263B,1.062B,991.00M,904.10M,1.217B,967.60M,852.20M
Reconciled Depreciation,1.041B,1.313B,1.262B,862.00M,1.145B,1.183B,894.00M,925.00M,-148.00M,1.138B,957.00M,691.00M,891.00M,1.07B,816.00M,651.00M,841.00M,900.00M,825.00M,637.00M,778.00M,872.00M,695.00M,551.00M,736.00M,690.00M,595.00M,500.00M,452.00M,521.00M,408.00M,396.00M,403.00M,575.00M,469.00M,402.00M,529.00M,604.00M,454.00M,486.00M,541.00M,500.00M,494.00M,469.00M,618.00M,232.00M,402.00M,391.00M,402.00M,365.00M,361.00M,351.00M,361.00M,500.00M,218.00M,342.00M,381.00M,515.00M,261.00M,339.00M,311.00M,311.00M,310.00M,314.00M,305.00M,295.00M,270.00M,248.00M,223.00M,,,,,,,,,,,,,245.00M,244.00M,279.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,1.224B,1.602B,1.864B,1.394B,998.00M,1.234B,1.307B,5.31B,469.00M,1.601B,1.523B,2.626B,1.129B,1.576B,1.365B,1.405B,1.056B,1.613B,1.274B,1.257B,1.658B,1.259B,1.089B,902.00M,747.00M,1.283B,1.087B,457.00M,811.00M,828.00M,1.12B,883.00M,1.183B,830.00M,983.00M,490.00M,510.00M,1.207B,741.00M,1.008B,621.00M,919.00M,656.00M,594.00M,783.00M,1.336B,313.00M,443.00M,421.00M,900.00M,664.00M,298.00M,317.00M,872.00M,435.00M,473.00M,378.00M,559.00M,346.00M,234.00M,267.00M,523.00M,457.00M,261.00M,260.00M,565.00M,414.00M,294.00M,245.00M,267.00M,409.00M,256.00M,250.00M,540.00M,380.00M,240.00M,146.00M,511.00M,347.00M,237.00M,363.00M,470.00M,135.00M,357.00M,187.00M,528.00M,317.00M,218.00M,217.00M,464.00M,321.00M,225.00M,189.10M,459.10M,299.20M,223.30M,188.20M,447.90M,312.20M,248.80M,198.20M,427.50M,288.20M,234.60M,1.232B,1.603B,1.350B,1.132B,1.271B,1.569B,1.262B,1.093B,1.181B,1.518B,1.387B,1.163B,1.582B,1.774B,1.575B,1.358B,1.471B,1.812B,1.530B,1.366B,2.222B,1.385B,1.174B,1.072B,1.100B,1.308B,1.062B,968.30M,979.10M,1.170B,999.10M,943.00M,1.032B,1.263B,1.062B,991.00M,904.10M,1.217B,967.60M,852.20M
EPS Basic from Continuing Operations,1.994,1.82,2.58,1.42,0.8828,2.12,1.66,9.41,4.575,1.80,1.69,3.39,2.06,1.625,1.17,1.42,1.100,1.94,1.61,1.47,2.03,1.52,1.13,0.99,0.7517,1.65,1.45,0.10,1.012,0.99,1.46,1.12,0.93,0.98,1.39,0.64,0.63,1.75,1.02,1.36,0.85,1.32,0.92,0.90,1.02,1.93,0.52,0.62,0.56,1.34,1.02,0.38,0.67,1.33,0.60,0.64,0.58,0.88,0.53,0.37,-0.745,0.89,0.715,0.195,-0.835,0.94,0.675,0.495,-0.955,0.425,0.365,0.49,-0.81,0.99,0.65,0.1625,0.195,0.925,0.60,0.1775,0.3349,0.425,0.1125,0.305,0.2573,0.415,0.255,0.1575,0.2476,0.38,0.2375,0.145,0.2327,0.36,0.215,0.135,0.2016,0.3425,0.1975,0.1425,0.2044,0.3125,0.175,0.1325,0.1926,0.1875,0.15,0.125,0.2465,0.2625,0.15,0.1075,0.0937,0.2875,0.115,0.11,-0.0068,-1.048,0.18,0.0725,0.2292,0.30,0.2125,0.135,,0.3325,0.175,0.175,,0.29,0.1725,0.175,,0.2975,0.15,0.155,,0.2875,0.195,0.195,,0.1362,0.0612,0.0588
EPS Basic from Discontinued Operations,,,,,,,,,,,,,,0.00,,,,,,,,,,,0.00,0.00,0.00,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.005,-0.01,0.00,0.00,0.645,0.00,0.00,-0.655,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,-0.21,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00
EPS Basic from Extraordinaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,0.00,,,-0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalized Basic EPS,1.934,1.783,1.813,1.093,1.137,1.950,1.556,3.048,5.112,1.742,1.650,1.643,1.665,1.610,0.7375,1.363,1.155,1.934,1.591,1.425,1.959,1.496,1.073,0.8534,0.7248,1.597,1.413,0.6080,0.9471,0.8612,1.332,1.096,0.9404,1.204,1.407,0.5759,0.6083,1.701,1.043,1.282,0.7629,1.272,0.8764,0.9543,1.156,1.964,0.4989,0.5865,0.7394,1.252,0.9415,0.3437,0.3745,1.244,0.5057,0.6164,0.58,0.7346,0.4492,0.2817,-0.7585,0.7899,0.6946,0.1717,-0.8200,0.8735,0.6288,0.4168,-0.9766,0.3879,0.3188,0.4555,-0.8016,0.8989,0.5828,0.1342,0.1632,0.8363,0.5489,0.1705,0.6610,0.3541,0.0470,0.2884,0.2806,0.3775,0.2257,0.1443,0.3028,0.3498,0.2302,0.1308,0.2358,0.3523,0.2310,0.1374,0.1952,0.3266,0.1960,0.1337,0.196,0.2810,0.1666,0.1175,0.1926,0.1875,0.15,0.125,0.2465,0.2625,0.15,0.1075,0.0937,0.2875,0.115,0.11,-0.0068,-1.048,0.18,0.0725,0.2292,0.30,0.2125,0.135,,0.3325,0.175,0.175,,0.29,0.1725,0.175,,0.2975,0.15,0.155,,0.2875,0.195,0.195,,0.1362,0.0612,0.0588
EPS Basic,1.994,1.82,2.58,1.42,0.8828,2.12,1.66,9.41,4.575,1.80,1.69,3.39,2.06,1.63,1.17,1.42,1.100,1.94,1.61,1.47,2.03,1.52,1.13,0.99,0.7517,1.65,1.45,0.65,1.012,0.99,1.46,1.12,0.93,0.98,1.39,0.64,0.63,1.75,1.02,1.36,0.85,1.32,0.92,0.90,1.02,1.93,0.52,0.62,0.56,1.34,1.02,0.38,0.67,1.33,0.60,0.64,0.58,0.88,0.53,0.37,-0.745,0.89,0.715,0.195,-0.83,0.93,0.675,0.495,-0.31,0.425,0.365,-0.165,-0.81,0.99,0.65,0.1625,0.195,0.925,0.60,0.1775,0.3349,0.425,0.1125,0.305,0.2573,0.415,0.255,0.1575,0.2476,0.38,0.2375,0.145,0.2327,0.36,0.215,0.135,0.2016,0.3425,0.1975,0.1425,0.2044,0.3125,0.175,0.1325,0.1926,0.1875,0.15,0.125,0.2465,0.2625,0.15,0.1075,0.0937,0.2875,0.115,-0.10,-0.0068,-1.048,0.18,0.0725,0.2292,0.30,0.2125,0.135,,0.3325,0.175,0.175,,0.29,0.1725,0.175,,0.2975,0.15,0.155,,0.2875,0.195,0.195,,0.1362,0.0612,0.0588
EPS Diluted from Continuing Operations,1.99,1.81,2.56,1.41,0.88,2.10,1.61,9.32,4.55,1.79,1.68,3.37,2.06,1.616,1.16,1.41,1.100,1.93,1.59,1.45,2.00,1.50,1.12,0.98,0.7517,1.64,1.44,0.10,1.012,0.98,1.45,1.11,0.93,0.97,1.38,0.64,0.63,1.74,1.01,1.36,0.85,1.31,0.91,0.90,1.01,1.92,0.52,0.62,0.55,1.33,1.01,0.38,0.67,1.32,0.60,0.64,0.57,0.87,0.52,0.36,-0.745,0.88,0.715,0.195,-0.835,0.94,0.67,0.495,-0.955,0.425,0.365,0.49,-0.81,0.99,0.6479,0.1625,0.195,0.92,0.60,0.1775,0.3349,0.425,0.1125,0.305,0.2573,0.415,0.255,0.1575,0.2476,0.38,0.2375,0.145,0.2327,0.36,0.215,0.135,0.2016,0.3425,0.1975,0.1425,0.2044,0.3125,0.175,0.1325,0.1926,0.1875,0.15,0.125,0.2465,0.2625,0.15,0.1075,0.0937,0.2875,0.115,0.11,-0.0068,-1.048,0.18,0.0725,0.2292,0.30,0.2125,0.135,,0.3325,0.175,0.175,,0.29,0.1725,0.175,,0.2975,0.15,0.155,,0.2875,0.195,0.195,,0.1362,0.0612,0.0588
EPS Diluted from Discontinued Operations,,,,,,,,,,,,,,0.00,,,,,,,,,,,0.00,0.00,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.005,-0.01,0.00,0.00,0.645,0.00,0.00,-0.655,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,-0.21,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00
EPS Diluted from Extraordinaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003,-0.0084,,,0.0387,,,-0.6564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalized Diluted EPS,1.930,1.774,1.800,1.085,1.132,1.932,1.507,3.006,5.083,1.732,1.641,1.633,1.666,1.601,0.7306,1.353,1.155,1.924,1.571,1.405,1.930,1.476,1.064,0.8449,0.7250,1.588,1.403,0.6047,0.9475,0.8519,1.322,1.086,0.9404,1.193,1.397,0.5763,0.6084,1.691,1.033,1.283,0.7636,1.262,0.8666,0.954,1.145,1.954,0.4990,0.5867,0.7280,1.243,0.9320,0.3439,0.3767,1.234,0.5063,0.6166,0.57,0.7268,0.4403,0.2731,-0.7584,0.7808,0.6947,0.1719,-0.8201,0.8736,0.6240,0.4169,-0.9765,0.3879,0.3190,0.4556,-0.8016,0.8989,0.5808,0.1342,0.1632,0.8318,0.5489,0.1705,0.6610,0.3541,0.0470,0.2884,0.2806,0.3775,0.2257,0.1443,0.3028,0.3498,0.2302,0.1308,0.2358,0.3523,0.2310,0.1374,0.1952,0.3266,0.1960,0.1337,0.196,0.2810,0.1666,0.1175,0.1926,0.1875,0.15,0.125,0.2465,0.2625,0.15,0.1075,0.0937,0.2875,0.115,0.11,-0.0068,-1.048,0.18,0.0725,0.2292,0.30,0.2125,0.135,,0.3325,0.175,0.175,,0.29,0.1725,0.175,,0.2975,0.15,0.155,,0.2875,0.195,0.195,,0.1362,0.0612,0.0588
EPS Diluted,1.99,1.81,2.56,1.41,0.88,2.10,1.61,9.32,4.55,1.79,1.68,3.37,2.06,1.62,1.16,1.41,1.100,1.93,1.59,1.45,2.00,1.50,1.12,0.98,0.75,1.64,1.44,0.64,1.012,0.98,1.45,1.11,0.93,0.97,1.38,0.64,0.63,1.74,1.01,1.36,0.85,1.31,0.91,0.90,1.01,1.92,0.52,0.62,0.55,1.33,1.01,0.38,0.67,1.32,0.60,0.64,0.57,0.87,0.52,0.36,-0.745,0.88,0.715,0.195,-0.83,0.93,0.67,0.495,-0.31,0.425,0.365,-0.1654,-0.81,0.99,0.6479,0.1625,0.195,0.92,0.60,0.1775,0.3349,0.425,0.1125,0.305,0.2573,0.415,0.255,0.1575,0.2476,0.38,0.2375,0.145,0.2327,0.36,0.215,0.135,0.2016,0.3425,0.1975,0.1425,0.2044,0.3125,0.175,0.1325,0.1926,0.1875,0.15,0.125,0.2465,0.2625,0.15,0.1075,0.0937,0.2875,0.115,-0.10,-0.0068,-1.048,0.18,0.0725,0.2292,0.30,0.2125,0.135,,0.3325,0.175,0.175,,0.29,0.1725,0.175,,0.2975,0.15,0.155,,0.2875,0.195,0.195,,0.1362,0.0612,0.0588
Average Basic Shares Outstanding,488.90M,481.90M,478.90M,478.30M,477.70M,473.10M,471.10M,470.70M,470.30M,469.40M,467.90M,467.50M,467.30M,463.30M,461.30M,460.50M,460.10M,454.10M,445.50M,442.30M,435.60M,434.50M,434.10M,433.50M,430.20M,423.80M,421.80M,421.00M,420.00M,419.30M,415.00M,412.30M,416.30M,417.40M,416.90M,415.80M,413.90M,410.90M,408.90M,407.50M,406.50M,405.10M,403.70M,402.30M,401.00M,400.40M,399.80M,399.10M,398.30M,398.10M,397.60M,396.80M,395.60M,394.90M,394.30M,389.20M,384.30M,383.80M,381.40M,370.70M,358.00M,359.20M,358.20M,713.60M,354.60M,355.60M,354.60M,353.60M,343.60M,351.40M,682.40M,338.20M,338.00M,338.00M,338.00M,351.72M,340.39M,340.00M,340.00M,680.00M,358.28M,358.28M,358.48M,360.33M,361.42M,361.77M,362.43M,362.96M,363.52M,363.81M,364.19M,364.89M,364.89M,366.00M,366.71M,369.03M,369.03M,369.03M,371.01M,371.01M,372.89M,354.41M,358.65M,358.65M,380.13M,379.08M,370.96M,370.74M,365.58M,357.40M,349.73M,346.79M,341.51M,329.03M,324.38M,323.33M,322.13M,273.11M,271.46M,270.13M,264.44M,262.99M,262.24M,260.06M,262.24M,260.06M,260.06M,260.06M,260.06M,260.06M,260.06M,260.06M,260.06M,255.64M,251.17M,250.34M,242.10M,239.53M,236.54M,236.54M,236.54M,231.78M,231.78M,231.78M
Average Diluted Shares Outstanding,491.50M,486.00M,482.80M,481.80M,481.20M,477.40M,475.20M,474.30M,474.00M,473.50M,471.70M,470.20M,469.10M,466.00M,464.60M,463.40M,462.10M,456.00M,449.20M,448.80M,441.60M,440.50M,440.10M,438.20M,433.60M,426.80M,424.80M,423.70M,422.80M,421.70M,417.20M,414.70M,418.70M,419.80M,419.30M,418.40M,417.20M,413.70M,411.40M,410.10M,409.60M,408.00M,406.40M,404.80M,403.30M,403.00M,402.60M,402.00M,401.50M,400.90M,400.40M,399.70M,398.60M,397.60M,396.70M,392.90M,389.90M,389.80M,386.30M,376.70M,360.40M,362.20M,359.80M,718.60M,355.60M,356.60M,356.20M,354.20M,344.20M,351.80M,684.40M,338.60M,338.00M,338.00M,338.00M,351.72M,340.39M,342.00M,340.00M,680.00M,358.28M,358.28M,358.48M,360.33M,361.42M,361.77M,362.43M,362.96M,363.52M,363.81M,364.19M,364.89M,364.89M,366.00M,366.71M,369.03M,369.03M,369.03M,371.01M,371.01M,372.89M,354.41M,358.65M,358.65M,380.13M,379.08M,370.96M,370.74M,365.58M,357.40M,349.73M,346.79M,341.51M,329.03M,324.38M,323.33M,322.13M,273.11M,271.46M,270.13M,264.44M,262.99M,262.24M,260.06M,262.24M,260.06M,260.06M,260.06M,260.06M,260.06M,260.06M,260.06M,260.06M,255.64M,251.17M,250.34M,242.10M,239.53M,236.54M,236.54M,236.54M,231.78M,231.78M,231.78M
Dividend Per Share,1.25,1.25,1.25,1.25,1.11,1.11,1.11,1.11,0.9825,0.9825,0.9825,0.9825,0.87,0.87,0.87,0.87,0.77,0.77,0.77,0.77,0.725,0.725,0.725,0.725,0.66,0.66,0.66,0.66,0.60,0.60,0.60,0.60,0.55,0.55,0.55,0.55,0.50,0.50,0.50,0.50,0.4725,0.4725,0.4725,0.4725,0.445,0.445,0.445,0.445,0.41,0.41,0.41,0.41,0.375,0.375,0.375,0.375,0.355,0.355,0.355,0.355,0.34,0.34,0.31,0.31,0.30,0.30,0.30,0.30,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.31,0.31,0.31,0.31,0.305,0.305,0.305,0.305,0.30,0.30,0.30,0.30,0.295,0.295,0.295,0.295,0.285,0.285,0.285,0.285,0.275,0.275,0.275,0.275,0.265,0.265,0.265,0.265,0.255,0.255,0.255,0.255,0.245,,,,,,,,
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
