Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Current Debt & Capital Lease Obligation,5.04B,5.643B,7.77B,10.33B,10.93B,5.539B,4.21B,4.137B,3.615B,4.614B,4.132B,5.325B,3.022B,3.482B,5.307B,4.617B,3.006B,4.66B,4.539B,5.202B,4.657B,4.57B,4.901B,5.691B,4.457B,4.848B,4.718B,5.058B,4.182B,3.636B,3.27B,3.388B,2.157B,2.432B,2.218B,2.966B,2.809B,2.788B,3.022B,3.912B,2.589B,2.243B,1.782B,1.94B,3.253B,4.22B,2.603B,1.734B,2.418B,2.968B,2.506B,2.686B,2.742B,2.27B,3.57B,3.619B,2.563B,1.945B,1.743B,1.327B,1.717B,1.169B,984.00M,1.269B,1.287B,1.885B,2.071B,2.469B,2.302B,1.27B,1.129B,1.547B,1.982B,1.563B,1.562B,1.385B,1.223B,1.178B,823.00M,246.00M,464.00M,519.00M,1.387B,616.00M,469.00M,287.00M,456.00M,310.00M,332.00M,345.90M,360.20M,387.80M,155.00M,4.70M,170.70M,155.70M,390.40M,216.00M,326.00M,419.90M,122.10M,270.80M,294.10M,357.30M
Current Deferred Revenue,499.00M,492.00M,487.00M,484.00M,445.00M,448.00M,445.00M,450.00M,448.00M,449.00M,457.00M,464.00M,470.00M,469.00M,472.00M,472.00M,473.00M,468.00M,466.00M,464.00M,462.00M,457.00M,452.00M,452.00M,452.00M,502.00M,501.00M,506.00M,508.00M,513.00M,517.00M,528.00M,547.00M,639.00M,667.00M,40.00M,47.00M,678.00M,664.00M,,377.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Liabilities,499.00M,492.00M,487.00M,484.00M,445.00M,448.00M,445.00M,450.00M,448.00M,449.00M,457.00M,464.00M,470.00M,469.00M,472.00M,472.00M,473.00M,468.00M,466.00M,464.00M,462.00M,457.00M,452.00M,452.00M,452.00M,502.00M,501.00M,506.00M,508.00M,513.00M,517.00M,528.00M,547.00M,639.00M,667.00M,507.00M,47.00M,678.00M,664.00M,,377.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Liability,2.973B,2.188B,1.842B,3.386B,2.13B,1.984B,1.808B,1.751B,2.291B,2.491B,1.257B,1.398B,2.38B,2.063B,2.112B,2.886B,2.729B,1.561B,1.489B,1.61B,2.04B,1.462B,1.453B,1.686B,1.768B,1.386B,1.322B,1.268B,2.067B,1.317B,1.60B,2.031B,1.842B,1.907B,1.214B,1.449B,2.091B,1.91B,1.518B,2.472B,1.549B,2.652B,3.079B,3.207B,3.00B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10M,0.10M,,,,0.10M,,,-0.10M,,-0.10M,-0.10M,,,-0.10M
Total Current Liabilities,13.85B,13.31B,14.41B,17.93B,17.56B,12.81B,10.18B,9.579B,11.24B,11.60B,8.95B,9.761B,10.92B,10.46B,11.34B,10.59B,10.11B,10.37B,9.421B,9.386B,9.663B,9.572B,9.69B,10.29B,9.189B,9.213B,8.867B,8.776B,8.879B,7.875B,7.643B,8.005B,6.719B,7.419B,6.389B,6.739B,6.904B,7.187B,7.126B,7.782B,6.449B,6.557B,6.65B,6.643B,7.689B,8.501B,8.347B,5.879B,5.758B,6.872B,6.193B,5.953B,6.326B,6.163B,6.83B,6.49B,7.267B,7.963B,4.612B,3.973B,4.248B,4.096B,3.209B,3.245B,3.353B,4.031B,4.175B,4.512B,3.911B,3.369B,2.98B,3.403B,3.639B,3.537B,3.311B,2.973B,2.763B,2.953B,2.428B,1.697B,1.87B,2.257B,2.847B,1.933B,1.641B,1.819B,1.884B,1.444B,1.499B,1.873B,1.697B,1.579B,1.274B,1.284B,1.334B,1.269B,1.504B,1.529B,1.587B,1.439B,1.162B,1.426B,1.419B,1.458B
Long Term Provisions - Legal & Other,3.457B,3.438B,3.383B,3.35B,3.135B,3.065B,3.048B,2.998B,3.031B,2.882B,2.845B,2.812B,2.736B,4.927B,4.781B,4.676B,2.469B,4.232B,4.295B,4.291B,4.243B,4.121B,4.105B,3.999B,3.932B,3.795B,3.688B,3.666B,3.528B,1.685B,1.659B,1.634B,3.251B,1.608B,1.587B,1.582B,1.639B,2.482B,2.447B,,2.418B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of Long Term Debt,37.54B,36.14B,33.95B,29.88B,26.78B,27.05B,28.36B,28.06B,31.41B,30.34B,30.39B,28.54B,27.82B,28.20B,27.00B,27.79B,26.68B,25.60B,25.24B,24.26B,24.04B,24.85B,25.05B,23.82B,23.97B,23.86B,23.51B,22.87B,23.18B,22.71B,21.58B,20.58B,20.81B,20.04B,19.24B,18.29B,18.01B,17.68B,17.17B,16.60B,16.30B,15.60B,15.66B,15.10B,13.83B,12.81B,12.06B,12.30B,11.28B,10.84B,10.32B,9.091B,9.591B,9.631B,8.36B,7.828B,8.039B,7.787B,8.108B,8.501B,8.027B,8.551B,8.526B,8.667B,8.723B,8.331B,6.765B,5.791B,5.79B,5.727B,5.697B,5.333B,4.858B,4.872B,4.474B,3.977B,3.976B,3.48B,3.479B,3.478B,3.478B,3.091B,2.493B,2.207B,2.347B,2.785B,2.862B,2.95B,2.949B,3.079B,3.228B,3.267B,3.144B,3.263B,3.281B,3.377B,3.377B,3.338B,3.464B,3.579B,3.864B,3.909B,3.907B,3.870B
Long Term Cap Lease Obligation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.00M,237.40M,248.40M
Non-Current Portion of LTD and Capital Lease Obligation,37.54B,36.14B,33.95B,29.88B,26.78B,27.05B,28.36B,28.06B,31.41B,30.34B,30.39B,28.54B,27.82B,28.20B,27.00B,27.79B,26.68B,25.60B,25.24B,24.26B,24.04B,24.85B,25.05B,23.82B,23.97B,23.86B,23.51B,22.87B,23.18B,22.71B,21.58B,20.58B,20.81B,20.04B,19.24B,18.29B,18.01B,17.68B,17.17B,16.60B,16.30B,15.60B,15.66B,15.10B,13.83B,12.81B,12.06B,12.30B,11.28B,10.84B,10.32B,9.091B,9.591B,9.631B,8.36B,7.828B,8.039B,7.787B,8.108B,8.501B,8.027B,8.551B,8.526B,8.667B,8.723B,8.331B,6.765B,5.791B,5.79B,5.727B,5.697B,5.333B,4.858B,4.872B,4.474B,3.977B,3.976B,3.48B,3.479B,3.478B,3.478B,3.091B,2.493B,2.207B,2.347B,2.785B,2.862B,2.95B,2.949B,3.079B,3.228B,3.267B,3.144B,3.263B,3.281B,3.377B,3.377B,3.338B,3.464B,3.579B,3.864B,4.114B,4.144B,4.118B
Long Term Deferred Tax Liabilities,8.361B,8.109B,8.086B,8.05B,7.367B,7.42B,7.162B,7.007B,5.764B,12.56B,12.10B,11.73B,11.10B,10.58B,10.12B,9.982B,9.827B,9.567B,9.436B,9.337B,9.261B,7.999B,8.227B,8.306B,8.144B,7.207B,6.861B,6.66B,6.703B,6.166B,5.987B,5.813B,5.681B,5.357B,5.281B,5.157B,5.109B,5.149B,5.242B,5.083B,4.86B,4.493B,4.322B,4.216B,4.231B,4.215B,3.782B,3.952B,3.821B,3.627B,3.645B,3.476B,3.432B,3.239B,3.31B,3.322B,3.077B,2.969B,2.87B,2.929B,2.766B,2.785B,2.358B,2.284B,2.255B,1.936B,1.761B,1.683B,1.547B,1.56B,1.475B,1.481B,1.442B,1.307B,1.398B,1.467B,1.378B,1.254B,1.176B,1.166B,1.079B,1.112B,1.138B,1.261B,1.255B,1.364B,1.428B,1.528B,1.473B,1.431B,1.450B,1.544B,1.531B,1.999B,1.988B,2.017B,1.869B,1.610B,1.599B,1.666B,1.626B,1.905B,1.882B,1.888B
Non-Current Deferred Liabilities,8.361B,8.109B,8.086B,8.05B,7.367B,7.42B,7.162B,7.007B,11.17B,17.10B,16.46B,16.26B,15.76B,13.86B,13.35B,13.04B,12.97B,12.10B,12.02B,11.99B,11.96B,9.846B,10.10B,10.24B,10.14B,9.035B,8.726B,8.399B,8.487B,7.664B,7.458B,7.292B,6.884B,6.457B,6.382B,6.097B,6.058B,5.149B,5.242B,5.083B,5.56B,4.493B,4.322B,4.216B,4.231B,4.215B,3.782B,3.952B,3.821B,3.627B,3.645B,3.476B,3.432B,3.239B,53.00M,57.00M,62.00M,66.00M,71.00M,76.00M,81.00M,86.00M,91.00M,96.00M,100.00M,1.936B,1.761B,1.683B,1.547B,202.00M,210.00M,219.00M,140.00M,1.307B,1.398B,1.467B,1.378B,1.254B,1.176B,1.166B,1.079B,1.112B,1.138B,1.261B,1.255B,1.364B,1.428B,1.528B,1.473B,1.431B,1.450B,1.544B,1.531B,411.70M,397.80M,417.40M,282.00M,1.610B,1.599B,1.666B,1.626B,308.20M,313.40M,318.60M
Non-Current Accrued Expenses,,,,,,,,,,,,,,1.94B,1.769B,1.778B,,2.005B,1.901B,1.838B,1.904B,1.881B,1.731B,1.722B,1.839B,1.784B,1.756B,1.809B,1.95B,,,,2.197B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derivative Contract Liabilities,863.00M,1.233B,892.00M,616.00M,516.00M,522.00M,491.00M,469.00M,535.00M,514.00M,507.00M,473.00M,477.00M,999.00M,913.00M,699.00M,530.00M,609.00M,544.00M,557.00M,466.00M,568.00M,561.00M,396.00M,473.00M,354.00M,362.00M,391.00M,587.00M,530.00M,633.00M,690.00M,541.00M,454.00M,235.00M,226.00M,243.00M,449.00M,320.00M,369.00M,170.00M,206.00M,192.00M,218.00M,218.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minority Interest Ownership,4.355B,3.582B,3.516B,3.614B,3.269B,3.086B,3.151B,3.287B,1.295B,923.00M,950.00M,972.00M,990.00M,962.00M,708.00M,718.00M,538.00M,508.00M,263.00M,229.00M,252.00M,334.00M,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred Securities out of Shareholders Equity,487.00M,66.00M,68.00M,71.00M,468.00M,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Liabilities,1.831B,1.881B,1.571B,1.559B,1.449B,1.214B,1.231B,1.26B,2.281B,2.115B,2.11B,2.141B,2.049B,2.115B,1.847B,1.92B,2.005B,1.71B,1.679B,1.649B,1.676B,1.686B,1.434B,1.242B,1.257B,1.323B,1.331B,1.371B,1.454B,5.695B,5.629B,5.781B,1.424B,5.721B,5.823B,5.726B,5.676B,5.636B,5.374B,7.771B,4.594B,7.566B,7.332B,7.129B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Long Term Liabilities,62.48B,60.73B,57.71B,53.26B,48.73B,48.46B,49.13B,48.71B,57.19B,57.86B,57.06B,54.98B,53.74B,52.54B,50.20B,50.42B,49.26B,46.77B,46.18B,45.08B,44.77B,43.48B,43.47B,41.88B,42.08B,40.54B,39.75B,38.86B,39.49B,38.29B,36.96B,35.98B,35.53B,34.28B,33.26B,31.92B,31.63B,31.40B,30.55B,29.82B,29.04B,27.87B,27.51B,26.66B,18.28B,17.03B,15.84B,16.26B,15.10B,14.47B,13.97B,12.57B,13.02B,12.87B,8.413B,7.885B,8.101B,7.853B,8.179B,8.577B,8.108B,8.637B,8.617B,8.763B,8.823B,10.27B,8.526B,7.474B,7.337B,5.929B,5.907B,5.552B,4.998B,6.179B,5.872B,5.444B,5.354B,4.734B,4.655B,4.644B,4.557B,4.203B,3.631B,3.468B,3.602B,4.149B,4.29B,4.478B,4.422B,4.510B,4.678B,4.811B,4.675B,3.675B,3.679B,3.794B,3.659B,4.949B,5.063B,5.246B,5.49B,4.422B,4.458B,4.437B
Total Liabilities,76.33B,74.05B,72.13B,71.19B,66.29B,61.26B,59.32B,58.29B,68.43B,69.46B,66.01B,64.74B,64.66B,63.00B,61.54B,61.01B,59.37B,57.14B,55.60B,54.46B,54.44B,53.05B,53.16B,52.17B,51.27B,49.76B,48.62B,47.64B,48.37B,46.16B,44.60B,43.98B,42.24B,41.70B,39.65B,38.66B,38.53B,38.58B,37.68B,37.61B,35.49B,34.42B,34.16B,33.30B,33.14B,33.94B,33.14B,30.62B,29.39B,28.96B,27.14B,25.66B,25.89B,25.29B,24.69B,23.90B,24.50B,25.25B,21.72B,21.25B,20.80B,21.08B,19.98B,20.06B,19.96B,18.02B,16.52B,15.67B,16.57B,12.14B,11.68B,11.44B,11.22B,11.15B,10.58B,9.813B,9.481B,9.032B,8.471B,7.743B,7.845B,7.936B,7.925B,6.858B,6.677B,7.495B,7.682B,7.389B,7.378B,7.809B,7.820B,7.807B,7.295B,7.453B,7.484B,7.543B,7.727B,7.726B,7.882B,7.898B,7.875B,8.220B,8.222B,8.217B
Total Capital Stock,5.00M,5.00M,5.00M,5.00M,5.00M,5.00M,5.00M,5.00M,5.00M,5.00M,5.00M,5.00M,5.00M,5.00M,5.00M,5.00M,5.00M,5.00M,5.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,2.00M,7.00M,7.00M,7.00M,7.00M,228.00M,228.00M,228.00M,228.00M,228.00M,228.00M,228.00M,228.00M,228.00M,228.00M,228.00M,228.00M,228.00M,228.00M,228.00M,226.00M,228.00M,228.00M,228.00M,226.00M,228.00M,228.00M,228.00M,228.00M,226.30M,262.80M,264.30M,332.00M,331.60M,331.60M,335.60M,341.40M,501.30M,501.30M,505.30M,545.30M,547.20M,547.20M,548.70M
Retained Earnings,25.20B,24.84B,24.55B,23.92B,23.84B,23.94B,23.45B,23.18B,19.02B,17.30B,16.91B,16.58B,15.46B,14.90B,14.55B,14.38B,14.14B,13.99B,13.46B,13.08B,12.77B,12.20B,11.86B,11.68B,11.57B,11.53B,11.11B,10.78B,10.78B,10.61B,10.44B,10.09B,9.876B,9.439B,9.262B,8.912B,8.873B,8.817B,8.303B,8.091B,7.739B,7.583B,7.242B,7.058B,6.885B,6.656B,6.06B,6.03B,5.945B,5.866B,5.497B,5.255B,5.256B,5.072B,4.696B,4.606B,4.506B,4.437B,4.235B,4.168B,4.166B,4.116B,3.918B,3.773B,3.745B,3.708B,3.483B,3.349B,3.28B,3.253B,3.205B,3.053B,3.207B,3.181B,2.944B,2.819B,2.803B,2.829B,2.606B,2.494B,,2.433B,2.231B,2.243B,,2.116B,1.915B,1.825B,1.804B,,,,,,,,1.258B,,,,,,,
Additional Paid In Capital,11.97B,11.93B,10.54B,10.52B,10.49B,10.47B,9.736B,9.698B,9.10B,9.046B,9.004B,8.951B,8.948B,9.039B,8.703B,8.645B,8.596B,8.494B,7.881B,7.222B,7.179B,6.555B,6.506B,6.451B,6.411B,5.959B,5.59B,5.557B,5.536B,5.494B,5.53B,5.224B,5.217B,5.558B,5.525B,5.481B,5.418B,5.283B,5.173B,5.084B,5.055B,5.013B,4.884B,4.876B,4.905B,4.771B,4.737B,4.69B,4.67B,4.63B,4.599B,4.562B,4.555B,4.514B,4.486B,4.461B,4.182B,4.169B,4.127B,4.019B,3.579B,3.36B,3.321B,3.255B,3.216B,3.184B,3.148B,3.121B,3.284B,3.063B,3.033B,2.75B,3.025B,2.805B,2.798B,2.79B,2.788B,2.848B,2.891B,2.896B,,2.923B,2.922B,2.967B,,3.004B,3.018B,3.028B,3.038B,,,,,,,,3.420B,,,,,,,
Preferred Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00M,5.00M,5.00M,5.00M,226.00M,226.00M,226.00M,226.00M,226.00M,226.00M,226.00M,226.00M,226.00M,226.00M,226.00M,226.00M,226.00M,226.00M,226.00M,226.00M,226.00M,226.00M,226.00M,226.00M,226.00M,226.00M,226.00M,226.00M,226.30M,262.80M,264.30M,332.00M,331.60M,331.60M,335.60M,339.60M,501.30M,501.30M,505.30M,545.30M,545.30M,545.30M,546.80M
Accrued Comprehensive Inc,-169.00M,-181.00M,-191.00M,-213.00M,-188.00M,-158.00M,-173.00M,-178.00M,111.00M,48.00M,3.00M,-40.00M,-70.00M,-36.00M,-82.00M,-113.00M,-167.00M,-168.00M,-4.00M,-73.00M,-40.00M,47.00M,59.00M,21.00M,56.00M,-82.00M,-102.00M,-136.00M,-255.00M,-219.00M,-190.00M,-94.00M,-154.00M,-114.00M,115.00M,202.00M,166.00M,47.00M,49.00M,157.00M,169.00M,132.00M,114.00M,61.00M,-13.00M,103.00M,-187.00M,-10.00M,116.00M,115.00M,101.00M,50.00M,115.00M,-10.00M,-111.00M,-130.00M,-193.00M,-213.00M,-113.00M,-101.00M,-209.00M,-50.00M,-24.00M,-19.00M,4.00M,11.00M,43.00M,24.00M,-176.00M,12.00M,8.00M,8.00M,-219.00M,-9.00M,5.00M,13.00M,,,,,5.37B,,,,5.126B,1.00M,1.00M,1.00M,1.00M,4.845B,4.670B,4.598B,4.592B,4.598B,4.429B,4.387B,-287.50M,4.403B,4.241B,4.197B,4.197B,4.202B,4.099B,4.106B
Shareholders Equity,37.00B,36.59B,34.91B,34.23B,34.14B,34.25B,33.02B,32.71B,28.24B,26.40B,25.93B,25.50B,24.34B,23.91B,23.17B,22.91B,22.57B,22.32B,21.34B,20.24B,19.92B,18.81B,18.43B,18.16B,18.04B,17.41B,16.60B,16.20B,16.07B,15.89B,15.79B,15.22B,14.94B,14.89B,14.91B,14.60B,14.46B,14.15B,13.53B,13.34B,12.97B,12.73B,12.24B,12.00B,11.68B,11.53B,10.61B,10.71B,10.74B,10.62B,10.20B,9.871B,9.93B,9.58B,9.075B,8.941B,8.499B,8.397B,8.253B,8.09B,7.537B,7.433B,7.222B,7.016B,6.972B,7.131B,6.902B,6.722B,6.616B,6.556B,6.474B,6.039B,6.241B,6.205B,5.975B,5.85B,5.819B,5.905B,5.725B,5.618B,5.596B,5.584B,5.381B,5.438B,5.352B,5.349B,5.162B,5.082B,5.071B,5.072B,4.933B,4.862B,4.924B,4.929B,4.761B,4.723B,4.732B,4.904B,4.742B,4.702B,4.742B,4.749B,4.647B,4.655B
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
