Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12
Payables and Accrued Expenses,23.25B,22.44B,23.24B,22.93B,21.44B,23.06B,23.26B,22.03B,22.54B,20.33B,19.17B,20.13B,20.94B,18.69B,19.40B,19.53B,20.54B,23.56B,25.65B,25.54B,28.14B,31.42B,32.83B,32.64B,32.64B,32.94B,31.50B,32.60B,34.08B,33.50B,32.30B,33.86B,33.26B,32.09B,33.32B,31.50B,28.82B,26.68B,25.64B,27.26B,25.83B,25.15B,24.50B,23.88B,29.20B,31.32B,34.44B,28.69B,27.03B,24.00B,22.36B,20.61B,21.22B,21.00B,20.93B,19.02B,19.76B,19.05B,15.21B,14.63B,14.16B,14.04B,12.93B,12.70B,11.85B,10.96B,11.31B,11.60B,11.82B,10.46B,10.07B,10.35B,9.826B,6.625B,6.76B,6.587B,10.58B,6.546B,6.219B,5.571B,9.394B,6.381B,5.546B,4.196B,4.001B,4.797B,4.391B,4.523B,5.309B,5.572B,5.382B,5.487B,6.201B,5.791B,5.791B,5.605B,5.639B,5.04B,5.369B,4.793B,5.378B,5.631B,7.018B,6.693B,7.15B
Current Portion of Long Term Debt,3.282B,7.795B,5.588B,7.023B,5.726B,6.121B,8.598B,8.601B,5.192B,7.897B,8.782B,8.297B,10.84B,6.057B,5.53B,9.63B,4.927B,6.58B,2.621B,3.908B,3.79B,5.665B,3.498B,3.008B,374.00M,527.00M,1.913B,2.09B,127.00M,2.172B,359.00M,396.00M,340.00M,245.00M,1.902B,1.817B,187.00M,170.00M,375.00M,302.00M,384.00M,240.00M,868.00M,1.018B,2.818B,832.00M,894.00M,780.00M,1.162B,902.00M,2.835B,3.817B,2.159B,2.289B,49.00M,189.00M,739.00M,1.28B,647.00M,624.00M,816.00M,1.037B,1.803B,1.525B,1.703B,1.853B,1.534B,4.114B,5.358B,5.18B,7.07B,9.163B,8.429B,1.519B,2.074B,1.876B,3.094B,1.714B,2.177B,3.512B,6.063B,3.46B,3.801B,3.795B,3.165B,2.867B,2.914B,2.707B,1.637B,1.753B,2.888B,2.865B,2.706B,3.452B,3.377B,3.724B,3.806B,3.758B,3.771B,4.205B,4.014B,4.432B,4.296B,3.744B,3.456B
Current Debt & Capital Lease Obligation,3.282B,7.795B,5.588B,7.023B,5.726B,6.121B,8.598B,8.601B,5.192B,7.897B,8.782B,8.297B,10.84B,6.057B,5.53B,9.63B,4.927B,6.58B,2.621B,3.908B,3.79B,5.665B,3.498B,3.008B,374.00M,527.00M,1.913B,2.09B,127.00M,2.172B,359.00M,396.00M,340.00M,245.00M,1.902B,1.817B,187.00M,170.00M,375.00M,302.00M,384.00M,240.00M,868.00M,1.018B,2.818B,832.00M,894.00M,780.00M,1.162B,902.00M,2.835B,3.817B,2.159B,2.289B,49.00M,189.00M,739.00M,1.28B,647.00M,624.00M,816.00M,1.037B,1.803B,1.525B,1.703B,1.853B,1.534B,4.114B,5.358B,5.18B,7.07B,9.163B,8.429B,1.519B,2.074B,1.876B,3.094B,1.714B,2.177B,3.512B,6.063B,3.46B,3.801B,3.795B,3.165B,2.867B,2.914B,2.707B,1.637B,1.753B,2.888B,2.865B,2.706B,3.452B,3.377B,3.724B,3.806B,3.758B,3.771B,4.205B,4.014B,4.432B,4.296B,3.744B,3.456B
Current Deferred Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.679B,3.457B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Tax Liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.679B,3.457B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.275B,7.157B,5.971B,5.605B,4.535B,1.617B,1.614B,5.029B,5.748B,5.837B,5.479B,4.508B,5.198B,4.768B,4.424B,3.822B,4.486B,4.256B,3.624B,2.561B,3.45B,3.671B,3.681B,2.699B,3.043B,2.898B,2.565B,2.399B,,,,2.99B,,,,2.226B,,,,,,,,,,,,,,,,,,,,,,,,
Total Current Liabilities,26.53B,30.23B,28.83B,29.95B,27.17B,29.18B,31.86B,30.63B,27.74B,28.22B,27.96B,28.43B,31.78B,24.74B,24.93B,29.16B,25.47B,30.14B,28.27B,29.44B,31.93B,37.09B,36.33B,35.65B,33.02B,33.47B,33.41B,34.68B,34.21B,35.67B,32.66B,34.26B,33.60B,32.34B,35.22B,33.31B,29.01B,26.85B,26.01B,27.57B,26.21B,25.39B,25.36B,24.89B,32.02B,39.42B,42.49B,35.44B,33.80B,29.43B,30.49B,29.50B,28.41B,29.04B,26.81B,24.69B,25.01B,25.53B,20.63B,19.67B,18.80B,19.56B,18.99B,17.85B,16.11B,16.26B,16.52B,19.40B,19.88B,18.68B,20.04B,22.08B,20.65B,8.144B,8.834B,8.463B,16.66B,8.26B,8.396B,9.083B,17.68B,9.841B,9.347B,7.991B,7.166B,7.664B,7.305B,7.23B,6.946B,7.325B,8.27B,8.352B,8.907B,9.243B,9.168B,9.329B,9.445B,8.798B,9.14B,8.998B,9.392B,10.06B,11.31B,10.44B,10.61B
Non-Current Portion of Long Term Debt,23.69B,25.06B,25.06B,26.06B,28.73B,29.85B,29.78B,31.05B,33.57B,33.98B,33.99B,36.86B,35.19B,39.46B,39.49B,32.64B,33.54B,29.21B,29.21B,29.96B,23.96B,19.96B,19.96B,19.96B,19.96B,17.96B,17.96B,11.96B,11.97B,10.06B,9.765B,8.765B,9.684B,9.384B,9.484B,9.484B,11.00B,10.14B,9.793B,9.793B,9.829B,9.973B,10.85B,10.85B,5.742B,5.749B,5.382B,5.613B,5.664B,4.708B,4.916B,5.691B,7.405B,7.822B,10.00B,11.63B,11.81B,12.24B,10.31B,10.19B,10.22B,10.56B,10.09B,10.64B,10.65B,11.17B,11.33B,10.96B,10.67B,11.08B,9.432B,8.389B,8.704B,4.804B,4.371B,4.525B,12.49B,5.059B,5.064B,5.085B,12.79B,4.585B,4.044B,4.053B,4.128B,4.032B,4.069B,4.07B,4.139B,4.15B,3.233B,3.586B,3.65B,3.671B,3.685B,3.891B,4.133B,4.472B,4.451B,4.08B,3.955B,4.129B,3.877B,3.882B,4.082B
Long Term Cap Lease Obligation,,,,,,135.00M,140.00M,90.00M,,92.00M,93.00M,95.00M,93.00M,66.00M,68.00M,74.00M,80.00M,86.00M,79.00M,65.00M,68.00M,84.00M,90.00M,86.00M,97.00M,94.00M,91.00M,93.00M,99.00M,99.00M,107.00M,114.00M,128.00M,114.00M,134.00M,274.00M,286.00M,306.00M,305.00M,290.00M,301.00M,329.00M,342.00M,328.00M,341.00M,380.00M,388.00M,401.00M,406.00M,439.00M,438.00M,440.00M,274.00M,282.00M,298.00M,295.00M,324.00M,337.00M,312.00M,231.00M,239.00M,255.00M,233.00M,245.00M,243.00M,243.00M,246.00M,217.00M,245.00M,260.00M,266.00M,283.00M,285.00M,261.00M,264.00M,279.00M,327.00M,300.00M,302.00M,315.00M,358.00M,272.00M,275.00M,285.00M,265.00M,277.00M,280.00M,292.00M,292.00M,314.00M,320.00M,332.00M,338.00M,352.00M,357.00M,383.00M,388.00M,,,,173.00M,,,,
Non-Current Portion of LTD and Capital Lease Obligation,23.69B,25.06B,25.06B,26.06B,28.73B,29.99B,29.92B,31.14B,33.57B,34.08B,34.08B,36.96B,35.29B,39.53B,39.56B,32.71B,33.62B,29.30B,29.29B,30.02B,24.03B,20.04B,20.05B,20.05B,20.06B,18.05B,18.05B,12.05B,12.06B,10.16B,9.872B,8.879B,9.812B,9.498B,9.618B,9.758B,11.29B,10.45B,10.10B,10.08B,10.13B,10.30B,11.19B,11.18B,6.083B,6.129B,5.77B,6.014B,6.07B,5.147B,5.354B,6.131B,7.679B,8.104B,10.30B,11.92B,12.13B,12.58B,10.62B,10.42B,10.46B,10.82B,10.32B,10.88B,10.89B,11.41B,11.58B,11.18B,10.91B,11.34B,9.698B,8.672B,8.989B,5.065B,4.635B,4.804B,12.82B,5.359B,5.366B,5.40B,13.14B,4.857B,4.319B,4.338B,4.393B,4.309B,4.349B,4.362B,4.431B,4.464B,3.553B,3.918B,3.988B,4.023B,4.042B,4.274B,4.521B,4.472B,4.451B,4.08B,4.128B,4.129B,3.877B,3.882B,4.082B
Long Term Deferred Tax Liabilities,13.69B,17.10B,16.48B,16.10B,15.92B,15.62B,15.15B,15.08B,14.65B,17.44B,17.07B,17.28B,17.52B,17.82B,18.34B,19.59B,20.16B,21.87B,21.60B,21.58B,21.92B,21.92B,22.02B,21.80B,21.30B,19.37B,18.04B,18.05B,17.67B,17.54B,16.68B,16.38B,15.54B,16.13B,15.29B,14.98B,12.70B,12.20B,11.41B,11.33B,11.52B,11.74B,11.39B,11.14B,11.54B,12.52B,12.26B,12.71B,12.17B,11.77B,11.65B,11.64B,11.65B,12.46B,12.17B,11.71B,11.26B,12.10B,7.539B,7.454B,7.268B,6.506B,6.801B,6.72B,6.417B,5.693B,5.825B,5.594B,5.619B,5.98B,6.052B,6.028B,6.132B,4.834B,4.866B,4.871B,6.687B,5.185B,5.207B,5.094B,6.712B,4.621B,4.08B,3.923B,3.645B,3.605B,3.46B,3.39B,3.215B,3.09B,3.018B,3.012B,2.851B,2.676B,,,2.433B,2.878B,2.803B,2.742B,2.674B,3.071B,2.985B,2.968B,2.916B
Non-Current Deferred Revenue,20.44B,21.56B,21.96B,22.20B,19.74B,20.41B,20.57B,20.67B,21.11B,20.83B,20.90B,21.52B,21.55B,22.29B,22.71B,23.33B,23.46B,23.13B,23.11B,23.10B,23.55B,23.06B,22.89B,22.94B,22.98B,21.80B,21.10B,21.62B,21.50B,,,,19.18B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Deferred Liabilities,34.13B,38.66B,38.44B,38.30B,35.66B,36.04B,35.72B,35.76B,35.76B,38.27B,37.96B,38.79B,39.07B,40.10B,41.05B,42.92B,43.63B,45.00B,44.71B,44.68B,45.47B,44.97B,44.90B,44.74B,44.28B,41.17B,39.14B,39.67B,39.17B,38.36B,36.88B,36.56B,34.72B,34.95B,34.12B,34.22B,31.96B,30.61B,28.62B,28.60B,28.91B,29.24B,29.28B,28.76B,29.22B,12.52B,12.26B,12.71B,12.17B,11.77B,11.65B,11.64B,11.65B,12.46B,12.17B,11.71B,11.26B,12.10B,7.539B,7.454B,7.268B,6.506B,6.801B,6.72B,6.417B,5.693B,5.825B,5.594B,5.619B,5.98B,6.052B,6.028B,6.132B,6.486B,6.526B,6.473B,6.687B,7.249B,7.02B,6.915B,6.712B,4.621B,5.815B,6.484B,3.645B,5.289B,5.15B,5.096B,3.215B,4.989B,4.961B,4.885B,2.851B,4.693B,1.961B,1.964B,2.433B,4.871B,4.837B,4.77B,2.674B,4.92B,4.449B,4.518B,4.593B
Pension Liability,7.866B,5.701B,6.095B,6.38B,6.654B,6.723B,7.051B,7.346B,7.421B,6.683B,7.208B,7.145B,7.216B,7.534B,7.617B,7.573B,7.935B,8.073B,8.30B,8.45B,8.412B,6.018B,6.015B,5.99B,5.968B,9.071B,9.282B,9.517B,9.699B,8.444B,8.681B,8.866B,9.156B,,6.334B,6.595B,6.696B,6.322B,6.726B,6.626B,,,6.885B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.831B,1.836B,1.827B,,1.862B,1.846B,1.846B,,1.786B,1.775B,1.763B,,1.718B,1.698B,1.685B,,1.64B,1.627B,1.619B,,1.624B,1.613B,1.595B,,1.576B,1.57B,1.57B,,1.565B,1.548B,1.501B,1.458B
Minority Interest Ownership,995.00M,1.051B,1.056B,1.073B,1.088B,1.098B,1.182B,1.21B,1.195B,1.198B,1.185B,1.198B,1.166B,1.152B,1.162B,1.169B,1.17B,1.026B,1.222B,1.198B,1.163B,1.167B,1.166B,1.149B,1.314B,1.294B,1.323B,1.352B,1.308B,1.281B,1.292B,819.00M,799.00M,785.00M,777.00M,750.00M,730.00M,722.00M,722.00M,703.00M,647.00M,576.00M,522.00M,503.00M,469.00M,211.00M,226.00M,217.00M,204.00M,209.00M,209.00M,214.00M,209.00M,227.00M,231.00M,213.00M,200.00M,198.00M,153.00M,165.00M,172.00M,197.00M,192.00M,297.00M,268.00M,267.00M,317.00M,322.00M,303.00M,298.00M,286.00M,292.00M,283.00M,,,,746.00M,,,,733.00M,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.638B,,,,,,,6.808B,6.409B,,6.779B,6.725B,20.47B,20.06B,19.26B,19.46B,18.05B,17.72B,17.06B,15.75B,14.68B,14.76B,14.36B,14.55B,14.22B,11.56B,11.50B,11.29B,11.10B,11.23B,11.20B,11.48B,12.44B,12.25B,11.99B,9.046B,8.027B,7.808B,7.473B,7.556B,,,,7.337B,,,,7.316B,1.728B,,,4.302B,,,,3.409B,,,,3.485B,,2.676B,2.531B,3.576B,,,,3.617B,,,,
Total Long Term Liabilities,65.69B,69.41B,69.60B,70.74B,71.05B,72.75B,72.69B,74.25B,76.75B,79.03B,79.26B,82.90B,81.57B,87.17B,88.23B,83.20B,85.19B,82.37B,82.30B,83.16B,77.91B,71.04B,70.97B,70.78B,70.31B,68.30B,66.47B,61.24B,60.94B,56.97B,55.43B,54.31B,53.69B,50.08B,50.07B,50.57B,49.95B,47.38B,45.44B,45.31B,45.85B,45.95B,47.36B,46.72B,42.02B,39.12B,38.08B,37.98B,37.70B,34.97B,34.73B,34.83B,35.08B,35.25B,37.23B,37.99B,37.95B,38.90B,29.72B,29.37B,29.01B,28.42B,28.35B,28.80B,28.80B,29.54B,29.65B,28.77B,25.58B,25.34B,23.56B,22.17B,22.68B,13.38B,13.00B,13.10B,26.84B,14.47B,14.23B,14.16B,27.17B,12.99B,11.91B,12.58B,12.34B,11.32B,11.20B,11.14B,11.06B,11.09B,10.14B,10.42B,10.32B,10.34B,10.29B,10.36B,10.53B,10.92B,10.86B,10.42B,10.42B,10.61B,9.874B,9.901B,10.13B
Total Liabilities,92.22B,99.64B,98.43B,100.69B,98.22B,101.93B,104.55B,104.88B,104.49B,107.25B,107.21B,111.32B,113.36B,111.91B,113.15B,112.37B,110.65B,112.51B,110.56B,112.60B,109.84B,108.12B,107.30B,106.43B,103.33B,101.76B,99.88B,95.92B,95.15B,92.64B,88.09B,88.56B,87.29B,82.42B,85.29B,83.89B,78.96B,74.23B,71.46B,72.88B,72.06B,71.34B,72.72B,71.61B,74.05B,78.54B,80.57B,73.42B,71.49B,64.40B,65.22B,64.33B,63.48B,64.29B,64.05B,62.68B,62.96B,64.42B,50.35B,49.05B,47.81B,47.98B,47.34B,46.64B,44.91B,45.80B,46.17B,48.17B,45.45B,44.03B,43.60B,44.26B,43.33B,21.53B,21.83B,21.57B,43.51B,22.73B,22.63B,23.24B,44.86B,22.83B,21.26B,20.58B,19.51B,18.98B,18.50B,18.37B,18.00B,18.42B,18.41B,18.77B,19.23B,19.58B,19.46B,19.69B,19.98B,19.72B,20.00B,19.42B,19.81B,20.68B,21.19B,20.34B,20.74B
Total Capital Stock,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.832B,1.706B,1.706B,1.706B,1.706B,853.00M,853.00M,853.00M,853.00M,853.00M,853.00M,853.00M,853.00M,853.00M,853.00M,853.00M,534.00M,534.00M,534.00M,1.162B,534.00M,534.00M,1.069B,2.024B,1.069B,1.069B,1.069B,1.069B,1.069B,1.069B,1.069B,1.069B,1.069B,1.069B,1.069B,1.069B,1.069B,1.069B,1.069B,1.069B,1.069B,1.069B,1.069B,1.069B,1.069B,1.069B,1.069B,1.069B
Retained Earnings,174.94B,183.78B,183.44B,181.39B,180.99B,178.82B,176.90B,175.62B,174.11B,173.04B,173.12B,173.70B,173.05B,174.66B,175.38B,178.85B,181.58B,184.17B,184.13B,185.56B,184.99B,183.52B,179.94B,176.29B,173.68B,170.65B,167.62B,164.17B,159.73B,154.23B,150.73B,145.28B,140.40B,136.87B,130.59B,124.42B,119.64B,115.78B,113.46B,109.48B,106.29B,104.58B,102.10B,101.65B,101.10B,97.51B,90.94B,86.30B,82.33B,78.67B,76.18B,72.03B,68.46B,65.82B,61.93B,58.73B,55.74B,52.60B,50.01B,47.26B,45.41B,42.81B,40.46B,37.10B,35.32B,34.35B,32.98B,32.12B,30.94B,30.76B,32.41B,32.75B,32.77B,23.76B,23.00B,22.10B,32.21B,19.82B,18.72B,18.02B,27.15B,17.02B,16.83B,16.88B,16.94B,17.54B,17.47B,17.29B,17.18B,16.69B,16.34B,15.89B,15.41B,15.30B,14.98B,14.44B,14.15B,14.89B,14.93B,14.62B,14.46B,14.14B,14.00B,14.05B,13.96B
Additional Paid In Capital,17.26B,17.24B,17.18B,17.15B,17.11B,17.08B,17.04B,16.96B,16.85B,16.74B,16.67B,16.63B,16.60B,16.51B,16.44B,16.36B,16.33B,16.25B,16.17B,16.10B,16.04B,15.97B,15.89B,15.79B,15.71B,15.63B,15.68B,15.58B,15.50B,15.42B,15.32B,15.26B,15.16B,15.11B,15.03B,14.93B,14.80B,14.77B,14.72B,14.68B,14.63B,14.58B,14.54B,14.50B,14.45B,14.42B,14.38B,14.32B,14.29B,14.26B,14.23B,14.16B,14.13B,14.11B,14.06B,13.93B,13.89B,13.87B,4.206B,4.199B,4.16B,4.116B,4.915B,4.862B,4.855B,4.85B,4.846B,4.833B,4.833B,4.83B,4.827B,4.822B,4.811B,2.786B,2.784B,2.761B,5.505B,2.753B,2.792B,2.225B,4.621B,2.214B,2.205B,2.183B,2.097B,2.076B,2.063B,2.052B,2.022B,2.008B,1.929B,1.88B,1.874B,1.875B,1.868B,1.867B,1.863B,1.862B,1.86B,1.859B,1.858B,1.857B,1.856B,1.856B,1.855B
Treasury Stock,44.60B,43.50B,42.47B,41.62B,41.59B,40.65B,39.96B,40.36B,40.83B,41.24B,41.57B,41.60B,41.83B,42.12B,42.21B,42.35B,42.49B,42.55B,42.58B,42.67B,42.73B,41.50B,40.34B,39.48B,38.29B,37.10B,35.94B,34.92B,33.88B,32.70B,31.87B,30.70B,29.68B,28.56B,27.38B,26.53B,26.41B,25.89B,26.00B,26.12B,26.17B,26.26B,26.30B,26.35B,26.38B,24.42B,22.45B,20.82B,18.89B,16.96B,15.09B,13.55B,12.40B,11.25B,9.996B,8.822B,7.87B,7.117B,6.545B,5.731B,5.124B,4.454B,3.801B,3.279B,3.317B,3.326B,3.335B,3.369B,3.374B,3.379B,3.383B,3.395B,3.415B,3.42B,3.417B,3.463B,4.273B,3.412B,2.526B,2.557B,2.816B,2.177B,2.188B,2.212B,2.293B,2.315B,2.144B,2.157B,1.977B,1.898B,1.97B,2.012B,2.024B,2.063B,2.035B,2.038B,2.047B,2.05B,2.055B,2.057B,2.063B,2.066B,2.065B,2.065B,2.07B
Preferred Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.00M,,,,300.00M,,,,,,,,,,,,,,,,,,,,,,,,
Unrealized Gain or Loss - Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68.00M,-70.00M,63.00M,,117.00M,111.00M,138.00M,,209.00M,340.00M,283.00M,,216.00M,212.00M,149.00M,
Minimum Pension Liabilities,-240.00M,-240.00M,-240.00M,-240.00M,-240.00M,-240.00M,-240.00M,-240.00M,-240.00M,-240.00M,-240.00M,-240.00M,-240.00M,-240.00M,-240.00M,-240.00M,-240.00M,-240.00M,-240.00M,-240.00M,-240.00M,-240.00M,-240.00M,-240.00M,-240.00M,-240.00M,-262.00M,-262.00M,-282.00M,,,,-298.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjustments for Foreign Currency Translation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-59.00M,,,,-90.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Equity Adjustments,-4.99B,-3.269B,-3.357B,-3.459B,-3.544B,-3.265B,-3.368B,-3.459B,-3.589B,-3.422B,-3.604B,-3.726B,-3.843B,-3.843B,-4.032B,-4.15B,-4.291B,-4.549B,-4.651B,-4.78B,-4.859B,-3.438B,-3.497B,-3.534B,-3.579B,-5.997B,-6.078B,-6.269B,-6.369B,,,,-6.022B,,,,,,,,,,,,,,,,-2.411B,,,,-3.002B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-800.00M,,-800.00M,,-850.00M,-850.00M,-850.00M,,-895.00M,-889.00M,-878.00M,
Accrued Comprehensive Inc,-5.23B,-3.509B,-3.597B,-3.699B,-3.784B,-3.505B,-3.608B,-3.699B,-3.829B,-3.662B,-3.844B,-3.966B,-4.083B,-4.083B,-4.272B,-4.39B,-4.531B,-4.789B,-4.891B,-5.02B,-5.099B,-3.678B,-3.737B,-3.774B,-3.819B,-6.237B,-6.34B,-6.531B,-6.651B,-5.558B,-5.732B,-5.875B,-6.32B,-4.066B,-4.117B,-4.253B,-4.466B,-3.94B,-4.126B,-4.219B,-4.321B,-3.676B,-3.795B,-3.902B,-3.924B,-2.385B,-2.426B,-2.423B,-2.47B,-2.859B,-2.96B,-3.016B,-3.092B,-904.00M,-917.00M,-829.00M,-918.00M,-991.00M,-840.00M,-840.00M,-926.00M,-1.34B,-1.396B,-1.375B,-1.411B,-1.485B,-1.244B,-1.627B,-1.65B,-944.00M,-950.00M,-907.00M,-1.058B,-143.00M,-170.00M,-169.00M,-1.231B,-173.00M,-129.00M,-120.00M,-1.186B,-156.00M,-122.00M,-107.00M,-781.00M,-88.00M,-95.00M,-91.00M,-827.00M,-68.00M,-70.00M,63.00M,96.00M,-683.00M,111.00M,-662.00M,174.00M,-641.00M,-510.00M,-567.00M,175.00M,-679.00M,-677.00M,-729.00M,
Shareholders Equity,144.21B,155.84B,156.40B,155.04B,154.55B,153.58B,152.20B,150.36B,148.12B,146.71B,146.20B,146.59B,145.56B,146.80B,147.16B,150.31B,152.72B,154.91B,154.67B,155.80B,155.03B,156.14B,153.58B,150.66B,149.11B,144.78B,142.84B,140.13B,136.52B,132.94B,130.00B,125.51B,121.38B,120.89B,115.65B,110.10B,105.08B,102.24B,99.57B,95.35B,91.91B,90.65B,87.96B,87.31B,86.65B,86.95B,82.27B,79.21B,77.09B,74.94B,74.18B,71.46B,68.94B,69.60B,66.91B,64.84B,62.68B,60.19B,48.54B,46.59B,45.23B,42.84B,41.03B,38.17B,36.30B,35.24B,34.10B,32.81B,31.60B,32.12B,33.76B,34.12B,33.96B,23.00B,22.22B,21.25B,33.37B,18.92B,18.75B,18.00B,29.79B,17.32B,17.15B,17.19B,17.03B,17.59B,17.67B,17.48B,17.47B,17.05B,16.55B,16.14B,15.62B,15.50B,15.20B,14.68B,14.36B,15.13B,15.29B,14.93B,14.60B,14.32B,14.19B,14.18B,14.00B
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOR,AOR,AOR,,AOR,AOR,AOR,,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restated,Restated,Restated,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,Restated,Restated,Restated,,Restated,Restated,Restated,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,
