Common Stock Issuance,,,,,-337.00M,-671.00M,442.00M,566.00M,-649.00M,370.00M,34.00M,245.00M,291.00M,97.00M,139.00M,123.00M,53.00M,20.00M,83.00M,55.00M,,,,,,,,,,,,,,,,,,,,,-86.00M,39.00M,36.00M,11.00M,,,,,,,,,,,,,,,,,,,-43.00M,43.00M,9.00M,9.00M,35.00M,4.00M,3.00M,0.00,17.00M,21.00M,67.00M,0.00,57.00M,16.00M,,,,,3.00M,10.00M,25.00M,70.00M,,,,,-67.00M,148.00M,92.00M,,,,,,,,,,,,,,,,,
Common Stock Payments,-2.194B,-1.005B,-825.00M,-15.00M,,,,,,,,,,,,,,,,,-1.238B,-1.155B,-829.00M,-1.19B,-1.188B,-1.278B,-1.001B,-1.027B,-1.18B,-801.00M,-1.165B,-996.00M,-1.147B,-1.16B,-828.00M,-58.00M,,,,,,,,,,,,,-1.947B,-1.863B,-1.432B,-1.147B,-1.14B,-1.236B,-1.159B,-956.00M,-727.00M,-495.00M,-807.00M,-708.00M,-608.00M,-632.00M,-423.00M,,1.00M,-76.00M,,,,,,,,,,,-239.00M,-921.00M,32.00M,-370.00M,,,,,298.00M,-159.00M,25.00M,-164.00M,,,2.00M,-2.00M,-4.00M,3.00M,-1.00M,-2.00M,0.00,-4.00M,,,0.00,-2.00M,-1.00M,-2.00M,-1.00M,-1.00M,0.00,-2.00M
Net Common Equity Issued (Purchased),-2.194B,-1.005B,-825.00M,-15.00M,-2.088B,-671.00M,442.00M,566.00M,-650.00M,370.00M,34.00M,245.00M,291.00M,97.00M,139.00M,123.00M,53.00M,20.00M,83.00M,55.00M,-1.238B,-1.155B,-829.00M,-1.19B,-1.188B,-1.278B,-1.001B,-1.027B,-1.18B,-801.00M,-1.165B,-996.00M,-1.147B,-1.16B,-828.00M,-58.00M,-551.00M,103.00M,102.00M,40.00M,82.00M,39.00M,36.00M,11.00M,-1.291B,-1.969B,-1.662B,-1.899B,-1.947B,-1.863B,-1.432B,-1.147B,-1.14B,-1.236B,-1.159B,-956.00M,-727.00M,-495.00M,-807.00M,-708.00M,-608.00M,-632.00M,-466.00M,43.00M,10.00M,-67.00M,35.00M,4.00M,3.00M,0.00,17.00M,21.00M,-696.00M,0.00,57.00M,16.00M,-239.00M,-921.00M,32.00M,-370.00M,3.00M,10.00M,25.00M,70.00M,37.00M,-159.00M,25.00M,-164.00M,-67.00M,148.00M,94.00M,-2.00M,-4.00M,3.00M,-1.00M,-2.00M,0.00,-4.00M,,,0.00,-2.00M,-1.00M,-2.00M,-1.00M,-1.00M,0.00,-2.00M
Total Common Dividends Paid,-2.228B,-2.237B,-2.25B,-2.244B,-2.12B,-2.129B,-2.129B,-2.124B,-2.039B,-2.032B,-2.032B,-2.029B,-2.025B,-2.005B,-2.002B,-2.00B,-1.999B,-1.999B,-1.997B,-1.997B,-2.002B,-2.012B,-2.019B,-1.895B,-1.903B,-1.915B,-1.921B,-1.735B,-1.745B,-1.751B,-1.758B,-1.59B,-1.595B,-1.549B,-1.556B,-1.436B,-1.436B,-1.439B,-1.437B,-1.357B,-1.357B,-3.945B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Dividends Paid,-2.228B,-2.237B,-2.25B,-2.244B,-2.12B,-2.129B,-2.129B,-2.124B,-2.039B,-2.032B,-2.032B,-2.029B,-2.025B,-2.005B,-2.002B,-2.00B,-1.999B,-1.999B,-1.997B,-1.997B,-2.002B,-2.012B,-2.019B,-1.895B,-1.903B,-1.915B,-1.921B,-1.735B,-1.745B,-1.751B,-1.758B,-1.59B,-1.595B,-1.549B,-1.556B,-1.436B,-1.436B,-1.439B,-1.437B,-1.357B,-1.357B,-1.355B,-1.295B,-1.295B,-1.301B,-1.323B,-1.336B,-1.202B,-1.214B,-1.225B,-1.235B,-1.117B,-1.122B,-1.134B,-1.144B,-996.00M,-1.098B,-1.008B,-908.00M,-862.00M,-882.00M,-842.00M,-776.00M,-777.00M,-782.00M,-778.00M,-764.00M,-746.00M,-744.00M,-733.00M,-765.00M,-749.00M,-1.603B,-421.00M,-417.00M,-417.00M,-1.517B,-421.00M,-424.00M,-427.00M,-1.473B,-399.00M,-401.00M,-399.00M,-398.00M,-400.00M,-399.00M,-399.00M,-382.00M,-379.00M,-379.00M,-353.00M,-353.00M,-352.00M,-327.00M,-326.00M,-326.00M,-326.00M,-302.00M,-301.00M,-302.00M,-302.00M,-301.00M,-301.00M,-285.00M,-285.00M,-285.00M,-284.00M
Cash from Other Financing Activities,-2.00M,-8.00M,-2.00M,-6.00M,-4.00M,-32.00M,-44.00M,-11.00M,-12.00M,-25.00M,-41.00M,,-6.00M,-33.00M,-24.00M,,-6.00M,-96.00M,-26.00M,,-29.00M,-16.00M,-2.00M,,-6.00M,-20.00M,-63.00M,-10.00M,-18.00M,-12.00M,-3.00M,-8.00M,-15.00M,-28.00M,-15.00M,-13.00M,-16.00M,-25.00M,-14.00M,-17.00M,-34.00M,-10.00M,-20.00M,-7.00M,-11.00M,-47.00M,-24.00M,-17.00M,-19.00M,-10.00M,-25.00M,-23.00M,-20.00M,-24.00M,-3.00M,-13.00M,66.00M,-38.00M,-28.00M,,16.00M,-16.00M,,,,,,,,,,,418.00M,0.00,-418.00M,,,,,,,,,,-1.339B,-82.00M,362.00M,1.059B,54.00M,-54.00M,,,34.00M,-34.00M,,,,263.00M,-261.00M,-2.00M,,,,,,,,
Cash from Financing,-9.271B,-1.093B,-5.559B,-3.835B,-4.756B,-5.276B,-3.054B,-613.00M,-4.822B,-2.597B,-4.451B,-2.684B,-1.251B,-1.465B,830.00M,1.911B,756.00M,1.887B,-3.988B,4.16B,-1.148B,-1.019B,-2.371B,-461.00M,-1.263B,-4.594B,2.841B,-805.00M,-3.09B,-464.00M,-1.965B,-3.461B,-2.376B,-4.509B,-2.459B,-2.425B,-1.195B,-1.246B,-1.293B,-1.431B,-1.27B,-2.836B,-1.484B,2.044B,-656.00M,-3.035B,-3.161B,-3.548B,-1.993B,-5.259B,-4.687B,-2.356B,-2.834B,-2.36B,-3.963B,-2.691B,-2.73B,-1.638B,-1.646B,-1.654B,-2.049B,-1.813B,-1.484B,-878.00M,-1.477B,-680.00M,-3.199B,-1.673B,-996.00M,-1.044B,-1.818B,-213.00M,-734.00M,-543.00M,-755.00M,-63.00M,-3.134B,-1.80B,-1.765B,-790.00M,-422.00M,-249.00M,-412.00M,-47.00M,26.00M,-652.00M,-180.00M,498.00M,-587.00M,-465.00M,-624.00M,-202.00M,-1.126B,-325.00M,-871.00M,-600.00M,-225.00M,-318.00M,-371.00M,-139.00M,-730.00M,16.00M,166.00M,-349.00M,-611.00M,-283.00M,-464.00M,-147.00M
Beginning Cash,12.82B,9.691B,9.695B,10.48B,10.74B,8.698B,7.517B,5.943B,7.955B,5.966B,8.073B,8.414B,7.351B,8.764B,8.562B,11.02B,12.93B,12.16B,12.68B,12.78B,14.22B,13.96B,15.61B,16.24B,17.01B,20.63B,17.37B,20.94B,21.31B,21.21B,18.87B,15.86B,14.23B,13.34B,13.15B,14.06B,11.00B,9.396B,7.376B,8.716B,7.568B,7.236B,9.15B,9.347B,10.64B,8.18B,8.208B,7.362B,7.95B,11.22B,11.80B,10.49B,11.23B,10.08B,10.70B,10.04B,9.808B,12.32B,10.69B,9.291B,10.04B,8.339B,5.858B,4.266B,4.383B,3.092B,3.804B,2.957B,2.767B,2.652B,3.525B,2.117B,3.417B,2.895B,2.315B,1.896B,1.342B,1.102B,1.185B,1.345B,703.00M,752.00M,538.00M,569.00M,1.152B,1.185B,1.265B,1.015B,991.00M,1.28B,1.385B,892.00M,1.091B,1.052B,980.00M,621.00M,488.00M,824.00M,608.00M,413.00M,1.275B,1.203B,1.201B,1.644B,1.316B,1.317B,1.142B,1.292B
Change in Cash,-6.236B,3.156B,-16.00M,-806.00M,-237.00M,2.066B,1.259B,1.541B,-2.015B,1.967B,-2.108B,-380.00M,15.00M,-1.417B,204.00M,-2.457B,-1.895B,968.00M,-483.00M,-127.00M,-1.393B,288.00M,-1.688B,-624.00M,-642.00M,-3.585B,3.349B,-3.55B,-385.00M,24.00M,2.444B,2.953B,1.685B,953.00M,157.00M,-958.00M,3.033B,1.429B,2.061B,-1.249B,1.101B,307.00M,-1.992B,-161.00M,-1.16B,2.542B,8.00M,761.00M,-612.00M,-3.287B,-641.00M,1.289B,-783.00M,1.108B,-680.00M,611.00M,256.00M,-2.488B,1.705B,1.403B,-889.00M,1.683B,2.555B,1.618B,-170.00M,1.305B,-736.00M,815.00M,187.00M,106.00M,-882.00M,1.414B,-1.709B,529.00M,578.00M,422.00M,339.00M,239.00M,-83.00M,-159.00M,899.00M,-52.00M,216.00M,-32.00M,-573.00M,-36.00M,-80.00M,253.00M,15.00M,-268.00M,-107.00M,502.00M,-203.00M,40.00M,73.00M,363.00M,135.00M,-326.00M,216.00M,193.00M,-855.00M,74.00M,7.00M,-446.00M,323.00M,-7.00M,170.00M,-155.00M
Cash Foreign Exchange Adjustment,327.00M,-27.00M,12.00M,20.00M,-23.00M,-23.00M,-78.00M,33.00M,3.00M,22.00M,1.00M,39.00M,-52.00M,4.00M,-2.00M,-3.00M,-16.00M,-191.00M,-36.00M,17.00M,-37.00M,-32.00M,35.00M,-9.00M,-127.00M,-31.00M,-93.00M,-15.00M,11.00M,80.00M,-106.00M,54.00M,-50.00M,-59.00M,29.00M,47.00M,32.00M,170.00M,-41.00M,-91.00M,47.00M,25.00M,78.00M,-36.00M,-129.00M,-86.00M,-36.00M,85.00M,24.00M,21.00M,57.00M,18.00M,50.00M,38.00M,57.00M,49.00M,-21.00M,-21.00M,-75.00M,-7.00M,143.00M,15.00M,-74.00M,-26.00M,53.00M,-14.00M,24.00M,32.00M,3.00M,9.00M,9.00M,-6.00M,-23.00M,-7.00M,2.00M,-3.00M,-5.00M,1.00M,0.00,-1.00M,-32.00M,3.00M,-2.00M,1.00M,-10.00M,3.00M,0.00,-3.00M,9.00M,-21.00M,2.00M,-9.00M,4.00M,-1.00M,-1.00M,-4.00M,-2.00M,-10.00M,0.00,2.00M,-7.00M,-2.00M,-5.00M,3.00M,5.00M,6.00M,5.00M,5.00M
Ending Cash,6.911B,12.82B,9.691B,9.695B,10.48B,10.74B,8.698B,7.517B,5.943B,7.955B,5.966B,8.073B,8.414B,7.351B,8.764B,8.562B,11.02B,12.93B,12.16B,12.68B,12.78B,14.22B,13.96B,15.61B,16.24B,17.01B,20.63B,17.37B,20.94B,21.31B,21.21B,18.87B,15.86B,14.23B,13.34B,13.15B,14.06B,11.00B,9.396B,7.376B,8.716B,7.568B,7.236B,9.15B,9.347B,10.64B,8.18B,8.208B,7.362B,7.95B,11.22B,11.80B,10.49B,11.23B,10.08B,10.70B,10.04B,9.808B,12.32B,10.69B,9.291B,10.04B,8.339B,5.858B,4.266B,4.383B,3.092B,3.804B,2.957B,2.767B,2.652B,3.525B,2.117B,3.417B,2.895B,2.315B,2.328B,1.342B,1.102B,1.185B,1.997B,703.00M,752.00M,538.00M,569.00M,1.152B,1.185B,1.265B,1.015B,991.00M,1.28B,1.385B,892.00M,1.091B,1.052B,980.00M,621.00M,488.00M,824.00M,608.00M,413.00M,1.275B,1.203B,1.201B,1.644B,1.316B,1.317B,1.142B
Issuance of Capital Stock,,,,,-337.00M,-671.00M,442.00M,566.00M,-649.00M,370.00M,34.00M,245.00M,291.00M,97.00M,139.00M,123.00M,53.00M,20.00M,83.00M,55.00M,,,,,,,,,,,,,,,,,,,,,-86.00M,39.00M,36.00M,11.00M,,,,,,,,,,,,,,,,,,,-43.00M,43.00M,9.00M,9.00M,35.00M,4.00M,3.00M,0.00,17.00M,21.00M,67.00M,0.00,57.00M,16.00M,,,,,3.00M,10.00M,25.00M,70.00M,,,,,-67.00M,148.00M,92.00M,,,,,,,,,,,,,,,,,
Issuance of Debt,43.00M,2.543B,-936.00M,936.00M,580.00M,949.00M,1.559B,3.287B,5.051B,0.00,-3.00M,3.994B,13.91B,508.00M,3.483B,3.802B,3.053B,2.049B,-121.00M,6.11B,2.137B,2.171B,487.00M,2.636B,1.844B,-1.369B,5.834B,2.069B,1.865B,2.284B,122.00M,,,,,,900.00M,350.00M,,,8.00M,349.00M,-3.00M,4.993B,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,-972.00M,18.00M,81.00M,873.00M,-25.00M,-14.00M,-48.00M,87.00M,-829.00M,150.00M,183.00M,496.00M,48.00M,58.00M,109.00M,9.00M,15.00M,-5.00M,-293.00M,309.00M,18.00M,3.00M,69.00M,5.00M,66.00M,52.00M,210.00M,208.00M,-848.00M,400.00M,563.00M,321.00M,-485.00M,61.00M,160.00M,463.00M
Debt Repayment,-5.994B,-386.00M,-1.546B,-2.506B,-2.271B,-3.393B,-2.882B,-2.331B,-8.29B,-910.00M,-2.409B,-4.894B,-13.42B,-32.00M,-766.00M,-14.00M,-345.00M,1.913B,-1.927B,-8.00M,-16.00M,-7.00M,-8.00M,-12.00M,-10.00M,-12.00M,-8.00M,-102.00M,-2.012B,-184.00M,839.00M,-867.00M,-14.00M,-1.524B,-162.00M,-1.069B,-261.00M,-30.00M,-52.00M,-25.00M,3.223B,-3.28B,1.219B,-1.658B,-39.00M,-49.00M,-61.00M,-816.00M,,,,,,,,,,,,,,,,,,,,,,,,,733.00M,-140.00M,-58.00M,-535.00M,1.849B,-444.00M,-1.325B,-80.00M,443.00M,-10.00M,-219.00M,-214.00M,-35.00M,-69.00M,-277.00M,-7.00M,-207.00M,-175.00M,-46.00M,-156.00M,358.00M,-446.00M,-111.00M,-277.00M,262.00M,-303.00M,-18.00M,-44.00M,-46.00M,-80.00M,-95.00M,-367.00M,-133.00M,-58.00M,-339.00M,-324.00M
Repurchase of Capital Stock,-2.194B,-1.005B,-825.00M,-15.00M,,,,,,,,,,,,,,,,,-1.238B,-1.155B,-829.00M,-1.19B,-1.188B,-1.278B,-1.001B,-1.027B,-1.18B,-801.00M,-1.165B,-996.00M,-1.147B,-1.16B,-828.00M,-58.00M,,,,,,,,,,,,,-1.947B,-1.863B,-1.432B,-1.147B,-1.14B,-1.236B,-1.159B,-956.00M,-727.00M,-495.00M,-807.00M,-708.00M,-608.00M,-632.00M,-423.00M,,1.00M,-76.00M,,,,,,,,,,,-239.00M,-921.00M,32.00M,-370.00M,,,,,298.00M,-159.00M,25.00M,-164.00M,,,2.00M,-2.00M,-4.00M,3.00M,-1.00M,-2.00M,0.00,-4.00M,,,0.00,-2.00M,-1.00M,-2.00M,-1.00M,-1.00M,0.00,-2.00M
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOR,AOR,AOR,,AOR,AOR,AOR,,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restated,Restated,Restated,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,Restated,Restated,Restated,,Restated,Restated,Restated,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,
