Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Current Portion of Long Term Debt,6.08B,5.267B,4.835B,3.762B,2.063B,1.605B,2.41B,2.857B,3.017B,3.874B,5.376B,5.693B,3.697B,3.079B,3.644B,5.698B,2.033B,1.572B,769.00M,1.569B,2.262B,2.626B,2.668B,1.353B,1.85B,1.857B,2.903B,2.607B,1.257B,1.404B,1.192B,1.299B,1.216B,1.926B,1.413B,1.324B,824.00M,1.712B,1.209B,1.604B,848.00M,771.00M,559.00M,709.00M,2.113B,1.908B,1.722B,1.996B,2.098B,1.716B,1.134B,1.722B,2.315B,2.43B,2.204B,1.279B,1.526B,3.337B,1.403B,1.316B,916.00M,1.092B,2.271B,2.475B,3.298B,2.581B,2.617B,2.289B,2.242B,2.051B,1.766B,1.604B,1.345B,2.404B,2.281B,590.00M,571.00M,286.00M,291.00M,268.00M,372.10M,1.076B,887.00M,443.30M,921.60M,959.60M,704.40M,704.80M,662.00M,638.30M,620.20M,396.20M,501.30M,485.80M,461.30M,552.40M,436.40M,436.30M,273.20M,274.40M,425.50M,506.40M
Current Debt & Capital Lease Obligation,6.08B,5.267B,4.835B,3.762B,2.063B,1.605B,2.41B,2.857B,3.017B,3.874B,5.376B,5.693B,3.697B,3.079B,3.644B,5.698B,2.033B,1.572B,769.00M,1.569B,2.262B,2.626B,2.668B,1.353B,1.85B,1.857B,2.903B,2.607B,1.257B,1.404B,1.192B,1.299B,1.216B,1.926B,1.413B,1.324B,824.00M,1.712B,1.209B,1.604B,848.00M,771.00M,559.00M,709.00M,2.113B,1.908B,1.722B,1.996B,2.098B,1.716B,1.134B,1.722B,2.315B,2.43B,2.204B,1.279B,1.526B,3.337B,1.403B,1.316B,916.00M,1.092B,2.271B,2.475B,3.298B,2.581B,2.617B,2.289B,2.242B,2.051B,1.766B,1.604B,1.345B,2.404B,2.281B,590.00M,571.00M,286.00M,291.00M,268.00M,372.10M,1.076B,887.00M,443.30M,921.60M,959.60M,704.40M,704.80M,662.00M,638.30M,620.20M,396.20M,501.30M,485.80M,461.30M,552.40M,436.40M,436.30M,273.20M,274.40M,425.50M,506.40M
Current Deferred Revenue,132.00M,138.00M,145.00M,151.00M,149.00M,158.00M,171.00M,202.00M,231.00M,283.00M,340.00M,388.00M,407.00M,452.00M,508.00M,582.00M,100.00M,118.00M,141.00M,172.00M,238.00M,195.00M,239.00M,238.00M,261.00M,305.00M,360.00M,410.00M,455.00M,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Liabilities,132.00M,138.00M,145.00M,151.00M,149.00M,158.00M,171.00M,202.00M,231.00M,283.00M,340.00M,388.00M,407.00M,452.00M,508.00M,582.00M,100.00M,118.00M,141.00M,172.00M,238.00M,221.00M,256.00M,260.00M,301.00M,355.00M,405.00M,439.00M,513.00M,52.00M,482.00M,517.00M,1.00M,0.00,0.00,0.00,85.00M,220.00M,152.00M,117.00M,176.00M,266.00M,77.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Tax Liability,,,,,,,,,,,,,,,,,,,,,,26.00M,17.00M,22.00M,40.00M,50.00M,45.00M,29.00M,58.00M,52.00M,482.00M,517.00M,1.00M,0.00,0.00,0.00,85.00M,220.00M,152.00M,117.00M,176.00M,266.00M,77.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Liability,2.427B,2.45B,2.995B,3.259B,3.275B,3.06B,2.262B,2.313B,2.176B,2.021B,2.229B,2.33B,2.444B,2.339B,2.151B,2.348B,1.718B,1.586B,1.515B,1.556B,1.667B,1.598B,1.59B,1.519B,1.344B,1.278B,1.327B,1.458B,1.533B,2.317B,2.651B,3.009B,869.00M,610.00M,680.00M,664.00M,917.00M,624.00M,609.00M,760.00M,953.00M,1.031B,608.00M,,,,1.217B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.00M,,,,,,,,,,,,,,,,,,,
Total Current Liabilities,14.18B,13.08B,12.93B,12.23B,11.40B,10.14B,9.626B,10.15B,10.80B,12.40B,13.96B,14.44B,13.46B,12.16B,11.89B,13.77B,9.118B,7.847B,6.526B,7.374B,8.762B,8.431B,8.567B,7.351B,7.728B,7.507B,8.374B,8.321B,7.791B,7.77B,8.083B,9.052B,5.134B,4.977B,4.268B,4.171B,4.24B,4.89B,4.238B,4.444B,4.166B,4.366B,3.811B,4.287B,6.641B,5.711B,5.629B,5.538B,5.361B,5.522B,5.795B,5.527B,6.303B,6.26B,6.563B,6.045B,4.862B,6.84B,4.836B,4.505B,4.329B,5.916B,5.72B,5.753B,6.629B,6.059B,5.874B,5.03B,5.272B,4.761B,4.37B,4.717B,4.224B,4.604B,4.651B,1.53B,1.512B,1.176B,1.286B,1.178B,1.284B,2.003B,1.735B,1.372B,1.751B,1.817B,1.619B,1.288B,1.135B,1.175B,1.103B,909.50M,978.30M,1.120B,1.077B,1.271B,1.064B,1.075B,851.10M,966.40M,930.40M,1.086B
Long Term Provisions - Legal & Other,10.85B,10.09B,10.02B,9.967B,9.679B,9.747B,10.22B,10.13B,10.03B,9.733B,9.848B,9.634B,9.111B,9.348B,9.256B,8.755B,8.585B,8.405B,7.55B,7.446B,7.295B,7.003B,7.054B,5.261B,5.194B,5.118B,5.202B,5.149B,5.074B,5.886B,5.145B,5.083B,3.884B,4.827B,4.616B,4.565B,4.512B,,4.451B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of Long Term Debt,31.72B,32.45B,32.30B,33.35B,34.46B,34.91B,33.57B,33.29B,32.56B,32.09B,30.96B,31.68B,32.22B,32.97B,32.18B,29.96B,24.29B,25.19B,25.87B,21.17B,19.85B,19.85B,18.78B,19.20B,18.27B,18.57B,17.22B,17.36B,18.35B,18.24B,18.17B,17.46B,12.19B,12.56B,12.15B,12.15B,12.00B,11.20B,11.38B,12.43B,12.03B,13.41B,12.59B,12.28B,12.64B,12.80B,11.96B,11.73B,11.01B,11.66B,11.91B,11.58B,11.41B,11.65B,11.76B,12.16B,12.55B,11.00B,12.15B,12.76B,13.92B,14.02B,13.49B,12.99B,12.48B,13.37B,13.13B,11.90B,12.59B,12.61B,12.88B,13.38B,13.85B,12.89B,12.96B,6.252B,6.431B,5.895B,5.969B,6.051B,6.092B,6.084B,2.92B,3.590B,3.594B,3.597B,3.853B,3.714B,3.954B,3.936B,3.936B,4.186B,4.156B,4.199B,4.198B,4.314B,4.516B,4.602B,4.786B,4.797B,4.876B,4.776B
Long Term Cap Lease Obligation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50M,0.50M,69.50M,85.00M,92.70M,75.30M,90.80M,120.10M,130.90M,118.50M,123.20M,132.70M,128.80M,113.90M,115.70M,120.10M,119.80M,102.70M,110.30M,114.10M,112.40M,107.10M,120.00M
Non-Current Portion of LTD and Capital Lease Obligation,31.72B,32.45B,32.30B,33.35B,34.46B,34.91B,33.57B,33.29B,32.56B,32.09B,30.96B,31.68B,32.22B,32.97B,32.18B,29.96B,24.29B,25.19B,25.87B,21.17B,19.85B,19.85B,18.78B,19.20B,18.27B,18.57B,17.22B,17.36B,18.35B,18.24B,18.17B,17.46B,12.19B,12.56B,12.15B,12.15B,12.00B,11.20B,11.38B,12.43B,12.03B,13.41B,12.59B,12.28B,12.64B,12.80B,11.96B,11.73B,11.01B,11.66B,11.91B,11.58B,11.41B,11.65B,11.76B,12.16B,12.55B,11.00B,12.15B,12.76B,13.92B,14.02B,13.49B,12.99B,12.48B,13.37B,13.13B,11.90B,12.59B,12.61B,12.88B,13.38B,13.85B,12.89B,12.96B,6.252B,6.431B,5.895B,5.969B,6.052B,6.093B,6.154B,3.005B,3.683B,3.669B,3.688B,3.973B,3.844B,4.073B,4.059B,4.068B,4.315B,4.27B,4.315B,4.318B,4.434B,4.618B,4.713B,4.900B,4.910B,4.984B,4.896B
Long Term Deferred Tax Liabilities,12.35B,12.13B,11.83B,11.64B,11.32B,11.70B,11.48B,11.34B,11.24B,19.25B,18.52B,18.52B,18.14B,18.12B,17.66B,17.47B,13.78B,13.48B,13.31B,13.22B,12.78B,13.18B,13.19B,12.81B,12.90B,11.93B,11.52B,11.32B,11.55B,11.60B,10.82B,10.70B,8.253B,7.958B,7.391B,7.215B,6.621B,5.983B,5.75B,5.858B,5.26B,5.051B,4.939B,5.474B,5.095B,5.177B,5.081B,5.403B,5.193B,5.114B,5.34B,5.414B,5.213B,5.167B,5.078B,5.018B,5.127B,5.243B,4.763B,5.013B,4.861B,4.985B,4.608B,4.089B,4.268B,4.147B,4.003B,4.811B,4.512B,4.647B,4.678B,4.72B,4.702B,4.692B,4.739B,2.719B,2.705B,2.699B,2.697B,2.672B,2.648B,2.659B,2.677B,2.698B,2.636B,2.635B,2.615B,4.063B,4.087B,4.099B,4.081B,3.667B,3.659B,3.677B,3.664B,3.592B,3.557B,3.615B,3.60B,3.605B,3.843B,3.823B
Non-Current Deferred Revenue,338.00M,368.00M,398.00M,432.00M,463.00M,497.00M,538.00M,579.00M,609.00M,656.00M,705.00M,779.00M,830.00M,927.00M,1.011B,1.144B,117.00M,136.00M,166.00M,189.00M,211.00M,214.00M,260.00M,230.00M,266.00M,314.00M,399.00M,466.00M,528.00M,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Deferred Liabilities,12.69B,12.50B,12.22B,12.07B,11.78B,12.20B,12.02B,11.92B,11.84B,19.91B,19.23B,19.30B,18.97B,19.04B,18.67B,18.62B,13.89B,13.62B,13.48B,13.41B,12.99B,13.40B,13.45B,13.04B,13.17B,12.24B,11.92B,11.78B,12.08B,11.60B,10.82B,10.70B,8.253B,7.958B,7.391B,7.215B,6.621B,5.983B,5.75B,5.858B,5.26B,5.051B,4.939B,5.474B,5.095B,5.177B,5.081B,5.403B,5.193B,5.114B,5.34B,5.414B,256.00M,259.00M,5.078B,265.00M,268.00M,272.00M,275.00M,278.00M,281.00M,284.00M,288.00M,291.00M,295.00M,298.00M,301.00M,305.00M,308.00M,312.00M,316.00M,316.00M,321.00M,329.00M,330.00M,275.00M,279.00M,282.00M,286.00M,289.30M,292.80M,296.40M,300.00M,304.50M,309.00M,313.60M,318.10M,322.60M,327.10M,331.60M,336.10M,340.60M,344.30M,347.90M,351.60M,352.30M,355.90M,360.60M,374.10M,370.80M,374.40M,379.50M
Pension Liability,6.323B,5.741B,5.727B,5.718B,5.916B,5.54B,5.544B,5.547B,5.829B,6.032B,6.037B,6.01B,6.096B,5.686B,5.667B,5.673B,5.003B,4.891B,4.984B,4.979B,5.108B,3.268B,3.223B,3.703B,4.066B,5.858B,5.87B,5.833B,6.09B,5.521B,5.313B,5.241B,4.457B,3.846B,3.806B,3.767B,5.876B,5.756B,5.805B,6.03B,6.346B,6.309B,6.366B,,,,2.494B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derivative Contract Liabilities,393.00M,416.00M,450.00M,434.00M,479.00M,482.00M,507.00M,468.00M,409.00M,410.00M,417.00M,420.00M,392.00M,422.00M,442.00M,408.00M,374.00M,360.00M,595.00M,491.00M,403.00M,291.00M,262.00M,287.00M,300.00M,218.00M,178.00M,259.00M,281.00M,407.00M,578.00M,671.00M,126.00M,79.00M,66.00M,28.00M,21.00M,8.00M,23.00M,72.00M,74.00M,73.00M,23.00M,,,,298.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minority Interest Ownership,2.349B,2.329B,2.359B,2.347B,2.306B,2.368B,2.324B,2.334B,2.291B,2.217B,1.744B,1.761B,1.775B,1.433B,1.542B,1.469B,1.501B,1.519B,1.563B,1.573B,1.525B,1.455B,1.376B,210.00M,208.00M,208.00M,235.00M,237.00M,299.00M,282.00M,289.00M,286.00M,3.00M,3.00M,3.00M,3.00M,3.00M,,0.00,,,,,,,,,,,,,,,,1.00M,1.00M,1.00M,1.00M,42.00M,53.00M,50.00M,57.00M,,1.00M,79.00M,78.00M,77.00M,75.00M,,,31.00M,,,,,165.00M,184.00M,184.00M,,128.10M,340.40M,349.40M,442.00M,349.40M,349.30M,352.10M,352.10M,352.10M,352.10M,302.20M,302.20M,302.20M,302.30M,302.30M,302.30M,221.30M,221.30M,221.30M,221.30M,221.30M,,
Preferred Securities out of Shareholders Equity,,,,,,,,,,,,,,26.00M,24.00M,19.00M,28.00M,,,,0.00,,,,,0.00,0.00,87.00M,87.00M,87.00M,87.00M,87.00M,87.00M,87.00M,87.00M,87.00M,87.00M,87.00M,87.00M,87.00M,87.00M,,87.00M,87.00M,87.00M,87.00M,87.00M,87.00M,87.00M,87.00M,87.00M,87.00M,87.00M,87.00M,87.00M,87.00M,87.00M,87.00M,87.00M,87.00M,87.00M,87.00M,87.00M,87.00M,610.00M,610.00M,595.00M,595.00M,613.00M,613.00M,613.00M,612.00M,630.00M,630.00M,630.00M,,,,321.00M,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Liabilities,4.263B,4.316B,4.239B,4.336B,3.301B,3.324B,3.244B,3.218B,3.244B,3.041B,2.967B,2.989B,2.851B,2.951B,2.899B,2.908B,2.512B,3.252B,3.549B,3.187B,3.168B,3.125B,3.154B,3.114B,3.561B,3.535B,3.655B,3.645B,2.67B,2.312B,2.483B,2.605B,2.287B,1.857B,1.777B,1.091B,1.761B,9.368B,1.309B,8.093B,8.859B,7.556B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Long Term Liabilities,76.22B,75.30B,74.76B,75.66B,75.18B,75.96B,74.78B,74.30B,73.78B,75.76B,73.85B,74.34B,73.84B,74.92B,73.59B,70.79B,58.97B,59.99B,60.62B,55.38B,53.52B,51.78B,50.86B,49.34B,49.26B,50.09B,48.46B,48.60B,49.04B,48.48B,47.03B,46.47B,35.47B,34.82B,33.60B,33.27B,34.44B,32.40B,32.30B,32.57B,32.66B,32.40B,24.01B,17.84B,17.82B,18.06B,19.92B,17.22B,16.29B,16.86B,17.34B,17.08B,11.76B,12.00B,16.92B,12.52B,12.90B,11.36B,12.51B,13.12B,14.29B,14.40B,13.86B,13.37B,13.38B,14.28B,14.02B,12.80B,13.51B,13.53B,13.81B,14.31B,14.80B,13.85B,13.92B,6.527B,6.71B,6.177B,6.576B,6.341B,6.386B,6.450B,3.305B,3.987B,3.978B,4.002B,4.291B,4.167B,4.400B,4.391B,4.404B,4.655B,4.614B,4.663B,4.67B,4.786B,4.974B,5.073B,5.274B,5.280B,5.358B,5.275B
Total Liabilities,90.40B,88.39B,87.69B,87.89B,86.59B,86.10B,84.41B,84.45B,84.58B,88.16B,87.81B,88.78B,87.29B,87.08B,85.48B,84.56B,68.09B,67.84B,67.14B,62.75B,62.28B,60.21B,59.43B,56.69B,56.98B,57.59B,56.83B,56.92B,56.83B,56.25B,55.11B,55.53B,40.61B,39.80B,37.87B,37.44B,38.68B,37.29B,36.54B,37.01B,36.83B,36.76B,36.50B,33.63B,36.91B,36.02B,35.22B,35.30B,34.13B,34.60B,34.31B,31.95B,32.56B,33.11B,33.67B,32.99B,32.04B,32.69B,33.19B,32.46B,33.03B,34.80B,33.43B,30.82B,31.83B,31.82B,30.05B,26.65B,27.28B,26.85B,26.61B,27.85B,27.82B,27.23B,27.38B,11.64B,11.72B,10.82B,11.31B,10.97B,11.09B,11.91B,8.411B,8.648B,8.930B,8.997B,9.048B,9.997B,10.07B,10.11B,10.02B,9.675B,9.698B,9.896B,9.835B,10.11B,10.06B,10.22B,10.17B,10.34B,10.21B,10.25B
Total Capital Stock,19.27B,19.24B,19.21B,19.17B,19.12B,19.06B,19.01B,18.97B,18.96B,18.86B,18.86B,18.81B,18.79B,18.76B,18.72B,18.69B,18.68B,18.65B,16.76B,16.73B,16.71B,16.68B,16.65B,16.75B,16.74B,16.72B,16.69B,16.65B,16.63B,0.00,0.00,0.00,9.107B,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.119B,0.00,7.939B,7.877B,7.757B,7.664B,7.532B,7.463B,7.421B,7.292B,7.226B,7.169B,7.099B,7.059B,6.995B,6.99B,6.95B,6.961B,6.943B,6.937B,6.919B,6.883B,3.713B,3.713B,3.713B,3.577B,3.811B,3.847B,3.833B,3.695B,3.794B,3.757B,3.748B,3.748B,3.810B,3.810B,3.809B,3.810B,3.810B,3.809B,3.809B,3.798B,3.870B,3.869B,3.865B,3.861B,3.861B,4.094B,4.096B
Retained Earnings,16.27B,15.87B,15.45B,15.32B,14.74B,14.95B,14.55B,14.35B,14.08B,11.95B,11.44B,12.72B,12.03B,12.12B,11.93B,11.95B,12.07B,12.05B,11.70B,11.33B,10.91B,11.16B,10.44B,10.18B,10.36B,10.13B,9.66B,9.437B,9.893B,9.959B,10.11B,9.83B,10.06B,10.15B,9.894B,9.623B,9.304B,8.534B,8.134B,7.905B,7.494B,7.185B,6.82B,6.459B,6.088B,5.669B,4.93B,4.989B,4.506B,3.805B,3.426B,3.13B,3.443B,3.068B,3.206B,4.309B,3.853B,3.607B,3.353B,3.256B,2.889B,2.544B,2.32B,2.21B,2.475B,-1.349B,2.042B,1.83B,1.421B,1.073B,1.169B,1.022B,755.00M,570.00M,332.00M,301.00M,89.00M,14.00M,-100.00M,-238.80M,-422.50M,-429.30M,-501.00M,-444.90M,-649.90M,-740.60M,-792.20M,1.205B,1.154B,1.135B,1.127B,1.113B,1.065B,1.067B,1.024B,1.012B,923.40M,866.20M,810.50M,778.20M,858.80M,838.00M
Additional Paid In Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.59B,16.56B,16.51B,,9.077B,9.054B,9.032B,9.006B,8.94B,8.923B,8.896B,8.87B,8.845B,8.816B,8.791B,8.753B,8.63B,8.579B,8.498B,8.552B,8.467B,8.314B,8.261B,8.166B,,7.987B,,,,,,,,,,,,,,,,,,,,,3.00M,3.00M,3.00M,,1.20M,1.20M,1.20M,1.00M,1.20M,1.20M,1.20M,1.20M,1.20M,1.20M,1.30M,1.30M,1.30M,1.30M,1.30M,1.30M,1.30M,1.30M,1.20M,1.30M,1.20M,1.20M,1.20M
Treasury Stock,123.00M,123.00M,123.00M,123.00M,123.00M,123.00M,123.00M,123.00M,123.00M,123.00M,123.00M,2.327B,2.327B,2.327B,2.327B,2.327B,2.327B,2.327B,2.327B,2.327B,2.327B,2.327B,2.327B,2.327B,2.327B,2.327B,2.327B,2.327B,2.327B,2.327B,2.327B,2.327B,2.327B,2.327B,2.327B,2.327B,2.327B,2.328B,2.328B,2.338B,2.338B,2.338B,2.338B,2.338B,2.338B,2.316B,1.838B,1.838B,667.00M,667.00M,630.00M,498.00M,497.00M,498.00M,444.00M,344.00M,90.00M,90.00M,82.00M,75.00M,75.00M,,,,,,,,,,,,,,,2.179B,2.196B,1.701B,1.705B,1.507B,1.507B,695.90M,,,,,,,,,,,,,,,,,,,,
Preferred Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.00M,137.00M,137.00M,,193.10M,230.20M,230.20M,138.00M,230.20M,230.20M,230.20M,230.20M,292.10M,292.10M,292.10M,292.10M,292.10M,292.10M,292.10M,292.10M,370.10M,370.10M,370.20M,370.10M,370.20M,604.60M,607.90M
Accrued Comprehensive Inc,-3.194B,-2.963B,-2.99B,-3.012B,-2.995B,-2.869B,-2.921B,-2.965B,-3.026B,-2.589B,-2.633B,-2.67B,-2.66B,-2.523B,-2.565B,-2.596B,-2.624B,-2.596B,-2.626B,-2.673B,-2.684B,-1.917B,-1.906B,-2.036B,-2.04B,-2.661B,-2.673B,-2.673B,-2.767B,-2.405B,-2.313B,-2.199B,-2.45B,-2.54B,-2.509B,-2.397B,-2.423B,-1.695B,-2.089B,-1.973B,-1.873B,-1.68B,-2.251B,-1.325B,-2.616B,-2.15B,-1.534B,-1.228B,-1.22B,-1.489B,-1.103B,-1.191B,-1.377B,-1.504B,-1.624B,-1.747B,-1.601B,-1.561B,-1.446B,-1.167B,-1.251B,-1.266B,-1.109B,-1.109B,-1.266B,2.254B,-1.358B,-314.00M,-65.00M,29.00M,-28.00M,-133.00M,-158.00M,-132.00M,,26.00M,,3.00M,1.00M,,,,,,,,,,,,,,,,,,,,,,,
Shareholders Equity,32.22B,32.02B,31.55B,31.36B,30.74B,31.02B,30.52B,30.23B,29.90B,28.10B,27.55B,26.53B,25.84B,26.03B,25.76B,25.72B,25.79B,25.77B,23.51B,23.06B,22.61B,23.60B,22.85B,22.57B,22.73B,21.86B,21.35B,21.09B,21.43B,21.82B,22.03B,21.82B,14.38B,14.36B,14.11B,13.93B,13.56B,13.45B,12.64B,12.49B,12.15B,12.10B,11.05B,11.59B,9.887B,9.833B,10.14B,10.42B,11.17B,10.12B,10.01B,9.702B,9.735B,9.185B,9.125B,10.16B,10.04B,9.713B,9.489B,9.546B,9.026B,8.699B,8.503B,8.327B,8.378B,8.004B,7.742B,8.511B,8.346B,8.051B,8.102B,7.832B,7.534B,7.357B,7.215B,1.864B,1.609B,2.032B,1.773B,2.066B,1.918B,2.709B,3.195B,3.351B,3.108B,3.008B,2.957B,5.016B,4.964B,4.946B,4.938B,4.924B,4.875B,4.878B,4.823B,4.882B,4.793B,4.732B,4.673B,4.64B,4.954B,4.936B
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
