Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12
Non-Current Portion of Long Term Debt,8.915B,8.651B,8.222B,8.221B,7.859B,7.614B,7.613B,6.766B,7.094B,6.922B,6.821B,6.597B,6.595B,6.607B,6.605B,6.881B,6.88B,5.981B,5.981B,5.86B,6.085B,5.825B,5.825B,5.226B,5.504B,5.274B,5.274B,5.803B,5.802B,6.781B,6.678B,6.677B,6.677B,6.682B,7.054B,7.123B,7.313B,7.653B,7.743B,7.941B,7.321B,7.321B,6.90B,6.554B,6.143B,6.146B,5.066B,5.691B,5.486B,5.511B,5.26B,5.285B,5.349B,5.705B,5.508B,5.354B,5.201B,4.929B,4.982B,5.021B,6.164B,4.051B,4.068B,4.07B,4.046B,4.177B,4.499B,3.433B,3.484B,3.509B,3.281B,2.835B,2.811B,2.973B,2.749B,2.745B,2.305B,2.50B,2.343B,2.448B,2.302B,2.363B,2.286B,2.289B,2.392B,2.582B,2.534B,2.506B
Non-Current Portion of LTD and Capital Lease Obligation,8.915B,8.651B,8.222B,8.221B,7.859B,7.614B,7.613B,6.766B,7.094B,6.922B,6.821B,6.597B,6.595B,6.607B,6.605B,6.881B,6.88B,5.981B,5.981B,5.86B,6.085B,5.825B,5.825B,5.226B,5.504B,5.274B,5.274B,5.803B,5.802B,6.781B,6.678B,6.677B,6.677B,6.682B,7.054B,7.123B,7.313B,7.653B,7.743B,7.941B,7.321B,7.321B,6.90B,6.554B,6.143B,6.146B,5.066B,5.691B,5.486B,5.511B,5.26B,5.285B,5.349B,5.705B,5.508B,5.354B,5.201B,4.929B,4.982B,5.021B,6.164B,4.051B,4.068B,4.07B,4.046B,4.177B,4.499B,3.433B,3.484B,3.509B,3.281B,2.835B,2.811B,2.973B,2.749B,2.745B,2.305B,2.50B,2.343B,2.448B,2.302B,2.363B,2.286B,2.289B,2.392B,2.582B,2.534B,2.506B
Long Term Deferred Tax Liabilities,2.919B,2.902B,2.758B,2.708B,2.666B,2.737B,2.63B,2.611B,2.555B,4.771B,4.496B,4.374B,4.319B,4.311B,4.085B,3.987B,3.945B,4.146B,3.995B,4.029B,3.635B,3.904B,3.586B,3.402B,3.313B,3.487B,3.415B,3.303B,3.256B,3.459B,3.274B,3.188B,3.394B,3.38B,3.208B,3.026B,2.972B,2.815B,2.696B,2.648B,2.524B,2.289B,2.256B,2.231B,2.174B,2.208B,2.095B,2.155B,2.166B,2.152B,2.116B,2.262B,2.134B,2.081B,2.099B,2.098B,2.112B,2.069B,2.007B,2.053B,1.758B,1.92B,1.948B,2.004B,2.146B,2.12B,2.159B,1.856B,1.754B,1.688B,1.716B,1.721B,1.723B,1.725B,1.705B,1.705B,1.704B,1.665B,1.653B,1.664B,1.684B,1.691B,1.692B,1.700B,1.710B,1.714B,1.736B,1.747B
Non-Current Deferred Liabilities,3.386B,3.368B,3.222B,3.13B,3.074B,3.146B,3.061B,3.056B,3.015B,5.24B,4.973B,4.855B,4.796B,4.792B,4.575B,4.517B,4.476B,4.676B,4.519B,4.553B,4.149B,4.426B,4.11B,3.956B,3.851B,4.021B,4.00B,3.896B,3.899B,4.022B,3.838B,3.755B,3.841B,3.849B,3.689B,3.579B,3.587B,3.359B,3.239B,3.139B,3.079B,2.759B,2.795B,2.669B,102.00M,104.00M,106.00M,109.00M,111.00M,113.00M,116.00M,118.00M,121.00M,123.00M,126.00M,129.00M,132.00M,134.00M,137.00M,139.00M,142.00M,145.00M,148.00M,151.00M,153.00M,156.00M,159.00M,149.00M,152.00M,154.00M,156.00M,158.00M,160.10M,162.27M,161.89M,164.12M,166.33M,168.49M,170.51M,170.83M,172.80M,174.80M,176.80M,178.80M,181.40M,184.40M,188.10M,190.30M
Pension Liability,401.00M,522.00M,539.00M,558.00M,558.00M,529.00M,545.00M,541.00M,545.00M,711.00M,758.00M,768.00M,769.00M,499.00M,537.00M,581.00M,580.00M,666.00M,689.00M,708.00M,705.00M,400.00M,463.00M,480.00M,466.00M,1.042B,1.14B,1.113B,1.138B,1.152B,1.251B,1.357B,1.344B,922.00M,1.067B,1.057B,1.045B,1.132B,1.181B,1.165B,1.477B,1.486B,1.514B,1.495B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minority Interest Ownership,142.00M,142.00M,142.00M,142.00M,142.00M,142.00M,142.00M,142.00M,142.00M,142.00M,142.00M,142.00M,142.00M,142.00M,142.00M,142.00M,142.00M,142.00M,142.00M,142.00M,142.00M,142.00M,142.00M,142.00M,142.00M,151.00M,151.00M,151.00M,151.00M,152.00M,145.00M,147.00M,149.00M,155.00M,155.00M,155.00M,154.00M,209.00M,209.00M,204.00M,206.00M,207.00M,212.00M,216.00M,24.00M,24.00M,23.00M,22.00M,20.00M,19.00M,18.00M,16.00M,19.00M,15.00M,17.00M,17.00M,15.00M,15.00M,14.00M,14.00M,13.00M,25.00M,23.00M,22.00M,21.00M,19.00M,16.00M,15.00M,14.00M,13.00M,4.00M,4.00M,3.534M,3.534M,3.534M,3.94M,3.955M,3.97M,3.988M,4.01M,3.50M,3.50M,3.50M,3.50M,3.50M,3.50M,3.50M,3.50M
Preferred Securities out of Shareholders Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.00M,211.00M,211.00M,211.00M,211.00M,213.00M,213.00M,213.00M,213.00M,214.00M,214.00M,214.00M,214.00M,215.00M,215.00M,215.00M,20.00M,21.00M,21.00M,21.00M,21.00M,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.811B,1.775B,,1.745B,1.725B,1.708B,1.291B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Long Term Liabilities,18.23B,18.06B,17.42B,17.27B,16.76B,16.58B,16.40B,15.36B,15.68B,15.55B,15.19B,14.84B,14.78B,14.51B,14.30B,14.54B,14.46B,13.81B,13.69B,13.52B,13.18B,12.84B,12.56B,11.79B,11.90B,12.43B,12.46B,12.86B,12.78B,13.93B,13.68B,13.71B,13.79B,13.36B,13.72B,13.61B,13.74B,13.96B,13.94B,13.93B,13.62B,13.29B,12.92B,12.42B,6.44B,6.461B,5.383B,6.011B,5.808B,5.837B,5.589B,5.616B,5.683B,6.042B,5.848B,5.697B,5.547B,5.278B,5.334B,5.375B,6.326B,4.217B,4.237B,4.242B,4.22B,4.333B,4.658B,3.582B,3.636B,3.663B,3.437B,2.993B,2.971B,3.136B,2.911B,2.909B,2.472B,2.668B,2.513B,2.619B,2.474B,2.537B,2.462B,2.468B,2.573B,2.766B,2.722B,2.696B
Total Liabilities,20.73B,20.34B,20.17B,19.66B,19.44B,19.16B,19.11B,18.71B,18.62B,18.13B,17.95B,17.60B,17.45B,16.80B,16.73B,16.37B,16.55B,16.30B,16.25B,16.04B,15.43B,14.96B,14.87B,14.51B,14.36B,15.66B,15.75B,15.44B,15.46B,15.47B,15.28B,15.32B,15.58B,15.20B,15.45B,15.45B,15.63B,15.72B,15.58B,15.64B,15.55B,15.84B,15.80B,15.49B,14.41B,14.80B,13.98B,13.95B,13.63B,13.89B,13.05B,12.98B,12.26B,12.09B,11.98B,11.79B,11.62B,11.21B,11.48B,11.64B,11.72B,9.232B,9.231B,9.678B,8.969B,9.066B,9.228B,8.101B,6.959B,6.917B,6.67B,6.813B,6.682B,6.661B,6.269B,6.279B,6.124B,5.983B,6.012B,5.849B,5.834B,5.675B,5.551B,5.553B,5.766B,5.674B,5.587B,5.570B
Total Capital Stock,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,198.00M,184.00M,184.00M,184.00M,215.00M,237.00M,237.00M,195.00M,196.00M,236.00M,236.00M,236.00M,236.57M,236.57M,236.57M,236.57M,236.57M,236.57M,236.57M,236.57M,236.60M,236.60M,236.60M,236.60M,236.60M,236.60M,236.60M,236.60M
Retained Earnings,2.38B,2.408B,2.161B,2.099B,2.024B,2.073B,1.827B,1.699B,1.66B,1.83B,1.649B,1.563B,1.568B,1.643B,1.376B,1.333B,1.331B,1.405B,1.161B,1.111B,1.103B,1.154B,957.00M,906.00M,907.00M,967.00M,762.00M,764.00M,1.006B,2.259B,1.983B,1.869B,2.369B,2.44B,2.248B,2.203B,2.225B,2.526B,2.466B,2.455B,2.467B,2.323B,2.241B,2.181B,2.259B,2.188B,2.115B,2.11B,2.134B,2.023B,2.011B,2.024B,2.094B,1.932B,1.939B,1.999B,2.109B,1.959B,1.903B,1.904B,1.945B,1.835B,1.834B,1.853B,1.917B,1.745B,1.738B,1.739B,1.868B,1.725B,1.701B,1.734B,1.772B,1.592B,1.586B,1.614B,1.675B,1.506B,1.480B,1.506B,1.602B,1.439B,1.440B,1.472B,1.533B,1.384B,1.387B,1.435B
Additional Paid In Capital,5.694B,5.673B,5.649B,5.625B,5.627B,5.598B,5.576B,5.546B,5.54B,5.534B,5.528B,5.522B,5.556B,5.55B,5.545B,5.539B,5.616B,5.612B,5.606B,5.60B,5.617B,5.612B,5.607B,5.602B,5.632B,5.624B,5.619B,5.614B,5.616B,5.611B,5.60B,5.596B,5.598B,5.58B,5.559B,5.54B,5.52B,5.476B,5.437B,5.412B,5.392B,4.835B,4.812B,4.78B,4.731B,4.693B,4.656B,4.604B,4.579B,4.551B,4.521B,4.495B,4.478B,4.457B,4.427B,4.399B,4.375B,4.347B,3.976B,3.949B,3.924B,3.456B,3.425B,2.552B,2.528B,2.50B,2.48B,2.203B,2.18B,1.826B,1.804B,1.614B,1.593B,1.581B,1.581B,1.581B,1.582B,1.583B,1.583B,1.583B,1.582B,1.582B,1.582B,1.582B,1.583B,1.583B,1.583B,1.583B
Preferred Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.00M,182.00M,182.00M,182.00M,213.00M,235.00M,235.00M,193.00M,194.00M,235.00M,235.00M,235.00M,235.20M,235.20M,235.20M,235.20M,235.20M,235.20M,235.20M,235.20M,235.20M,235.20M,235.20M,235.20M,235.20M,235.20M,235.20M,235.20M
Accrued Comprehensive Inc,-17.00M,-21.00M,-21.00M,-21.00M,-22.00M,-17.00M,-19.00M,-17.00M,-18.00M,-21.00M,-21.00M,-23.00M,-23.00M,-2.00M,-1.00M,-5.00M,-3.00M,-5.00M,-5.00M,-9.00M,-9.00M,6.00M,6.00M,3.00M,3.00M,-19.00M,-9.00M,-15.00M,-8.00M,2.00M,-30.00M,-35.00M,-50.00M,-25.00M,-21.00M,-20.00M,-17.00M,-13.00M,-4.00M,-13.00M,-21.00M,-13.00M,6.00M,0.00,51.00M,-66.00M,-19.00M,36.00M,41.00M,42.00M,23.00M,62.00M,-26.00M,-42.00M,-54.00M,-36.00M,-30.00M,-44.00M,-43.00M,-55.00M,-39.00M,-55.00M,-58.00M,-53.00M,-113.00M,-110.00M,-110.00M,-102.00M,-3.00M,-7.00M,-10.00M,,-9.872M,-10.87M,-9.512M,,,,,,,,,,,,,
Shareholders Equity,8.059B,8.062B,7.791B,7.705B,7.631B,7.656B,7.386B,7.23B,7.184B,7.345B,7.158B,7.064B,7.103B,7.193B,6.922B,6.869B,6.946B,7.014B,6.764B,6.704B,6.713B,6.774B,6.572B,6.513B,6.544B,6.574B,6.374B,6.365B,6.616B,7.874B,7.555B,7.432B,7.919B,7.997B,7.788B,7.725B,7.73B,7.991B,7.901B,7.856B,7.84B,7.147B,7.061B,6.963B,7.043B,6.817B,6.754B,6.752B,6.756B,6.618B,6.557B,6.583B,6.548B,6.349B,6.314B,6.364B,6.456B,6.264B,5.838B,5.80B,6.028B,5.42B,5.385B,4.536B,4.547B,4.372B,4.345B,4.035B,4.241B,3.78B,3.731B,3.584B,3.592B,3.399B,3.394B,3.432B,3.494B,3.325B,3.299B,3.325B,3.421B,3.258B,3.259B,3.291B,3.352B,3.203B,3.207B,3.254B
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
