Cash from Other Financing Activities,-8.00M,-8.00M,-1.00M,-35.00M,-9.00M,-1.00M,-10.00M,-21.00M,-7.00M,-3.00M,-5.00M,-18.00M,-9.00M,-2.00M,-3.00M,-35.00M,-11.00M,-2.00M,-3.00M,-14.00M,-22.00M,-3.00M,-3.00M,-2.00M,-3.00M,-9.00M,6.00M,-2.00M,-10.00M,-8.00M,1.00M,-1.00M,4.00M,-2.00M,-1.00M,-75.00M,-31.00M,25.00M,7.00M,-34.00M,-6.00M,12.00M,-47.00M,21.00M,-24.00M,-9.00M,,,15.00M,-6.00M,-8.00M,-5.00M,-7.00M,-9.00M,-9.00M,-7.00M,-2.00M,-3.00M,-1.00M,,-8.00M,27.00M,-67.00M,,8.00M,-2.00M,-1.00M,-10.00M,50.00M,-12.00M,-3.00M,-20.00M,,,,,,,237.60M,-237.60M,-0.30M,0.00,0.10M,,,,87.10M,-87.10M
Cash from Financing,156.00M,-112.00M,99.00M,191.00M,148.00M,-280.00M,-23.00M,360.00M,160.00M,-255.00M,-10.00M,207.00M,24.00M,-275.00M,111.00M,-118.00M,345.00M,-204.00M,-37.00M,128.00M,135.00M,-140.00M,62.00M,70.00M,147.00M,-131.00M,-66.00M,-99.00M,-119.00M,-2.00M,-192.00M,-113.00M,-283.00M,-265.00M,-296.00M,-276.00M,-70.00M,-407.00M,-2.00M,-325.00M,222.00M,-50.00M,42.00M,128.00M,211.00M,-185.00M,255.00M,29.00M,378.00M,-555.00M,709.00M,52.00M,115.00M,-218.00M,-2.00M,133.00M,-31.00M,28.00M,-66.00M,-194.00M,-682.00M,446.00M,-108.00M,439.00M,84.00M,-301.00M,-210.00M,69.00M,120.00M,263.00M,105.00M,43.00M,232.00M,-202.63M,291.66M,-13.02M,72.20M,-145.87M,167.94M,-108.34M,31.40M,-122.20M,-46.44M,-104.16M,-92.00M,-275.90M,-37.60M,-40.50M
Beginning Cash,155.00M,122.00M,118.00M,107.00M,92.00M,96.00M,89.00M,68.00M,57.00M,53.00M,51.00M,52.00M,18.00M,13.00M,13.00M,292.00M,72.00M,2.00M,6.00M,5.00M,13.00M,46.00M,26.00M,30.00M,194.00M,175.00M,186.00M,209.00M,298.00M,91.00M,207.00M,248.00M,522.00M,378.00M,573.00M,545.00M,608.00M,506.00M,360.00M,622.00M,563.00M,251.00M,304.00M,92.00M,206.00M,205.00M,186.00M,355.00M,170.00M,687.00M,161.00M,137.00M,34.00M,51.00M,29.00M,96.00M,278.00M,27.00M,30.00M,69.00M,647.00M,511.00M,633.00M,111.00M,100.00M,101.00M,294.00M,628.00M,629.00M,150.00M,60.00M,67.00M,112.00M,72.53M,91.47M,125.97M,237.54M,48.90M,39.69M,194.88M,331.10M,54.00M,74.22M,76.86M,127.90M,50.20M,45.80M,9.70M
Change in Cash,21.00M,33.00M,4.00M,11.00M,15.00M,-4.00M,7.00M,21.00M,11.00M,4.00M,2.00M,-1.00M,-25.00M,5.00M,0.00,-279.00M,220.00M,70.00M,-4.00M,1.00M,-8.00M,-33.00M,20.00M,-4.00M,-164.00M,19.00M,-11.00M,-23.00M,-89.00M,200.00M,-116.00M,-41.00M,-267.00M,144.00M,-195.00M,28.00M,-63.00M,102.00M,146.00M,-262.00M,59.00M,312.00M,-53.00M,212.00M,-114.00M,1.00M,19.00M,-169.00M,185.00M,-517.00M,526.00M,24.00M,103.00M,-17.00M,22.00M,-67.00M,-182.00M,251.00M,-3.00M,-39.00M,-578.00M,136.00M,-122.00M,522.00M,11.00M,-1.00M,-193.00M,-334.00M,-1.00M,479.00M,90.00M,-7.00M,-45.00M,39.44M,-18.94M,-34.50M,-111.57M,188.64M,9.21M,-155.19M,-136.30M,277.20M,-20.26M,-2.643M,-51.10M,77.70M,-28.40M,36.20M
Ending Cash,176.00M,155.00M,122.00M,118.00M,107.00M,92.00M,96.00M,89.00M,68.00M,57.00M,53.00M,51.00M,52.00M,18.00M,13.00M,13.00M,292.00M,72.00M,2.00M,6.00M,5.00M,13.00M,46.00M,26.00M,30.00M,194.00M,175.00M,186.00M,209.00M,298.00M,91.00M,207.00M,255.00M,522.00M,378.00M,573.00M,545.00M,608.00M,506.00M,360.00M,622.00M,563.00M,251.00M,304.00M,92.00M,206.00M,205.00M,186.00M,355.00M,170.00M,687.00M,161.00M,137.00M,34.00M,51.00M,29.00M,96.00M,278.00M,27.00M,30.00M,69.00M,647.00M,511.00M,633.00M,111.00M,100.00M,101.00M,294.00M,628.00M,629.00M,150.00M,60.00M,67.00M,112.00M,72.53M,91.47M,125.97M,237.54M,48.90M,39.69M,194.90M,331.10M,54.00M,74.22M,76.90M,127.90M,50.20M,45.80M
Issuance of Capital Stock,14.00M,17.00M,18.00M,19.00M,18.00M,16.00M,23.00M,17.00M,0.00,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,16.00M,17.00M,15.00M,17.00M,20.00M,17.00M,23.00M,20.00M,17.00M,570.00M,19.00M,28.00M,47.00M,32.00M,29.00M,46.00M,20.00M,23.00M,27.00M,21.00M,18.00M,21.00M,30.00M,27.00M,24.00M,28.00M,372.00M,30.00M,23.00M,483.00M,32.00M,903.00M,25.00M,28.00M,23.00M,285.00M,23.00M,366.00M,23.00M,246.00M,21.00M,12.00M,,,,,,,,,,,,,,
Issuance of Debt,627.00M,450.00M,0.00,450.00M,499.00M,0.00,853.00M,0.00,496.00M,300.00M,549.00M,,247.00M,0.00,149.00M,,948.00M,0.00,249.00M,,300.00M,0.00,598.00M,,278.00M,0.00,0.00,,0.00,882.00M,,,0.00,0.00,,,,,,,249.00M,0.00,423.00M,349.00M,544.00M,0.00,1.19B,145.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debt Repayment,-251.00M,0.00,0.00,-329.00M,-319.00M,-199.00M,-323.00M,0.00,-256.00M,0.00,-425.00M,,-6.00M,0.00,-129.00M,-260.00M,-6.00M,0.00,-114.00M,0.00,-5.00M,0.00,-529.00M,-163.00M,-399.00M,0.00,0.00,0.00,-6.00M,-754.00M,,,-5.00M,0.00,-150.00M,,-307.00M,-124.00M,0.00,,34.00M,-739.00M,-73.00M,-177.00M,-252.00M,-49.00M,-820.00M,-19.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Repurchase of Capital Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00M,-67.00M,,,0.00,0.00,3.00M,-3.00M,0.00,-16.00M,,,0.00,-1.00M,,,0.00,-1.00M,,,0.00,-1.00M,,,0.00,22.00M,-1.00M,-22.00M,-30.00M,-1.00M,,,-1.00M,-41.00M,,,,,,,,,,,,,,,,,,
Income Tax Paid Supplemental Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.00M,,-4.00M,4.00M,28.00M,-71.00M,37.00M,34.00M,110.00M,56.00M,89.00M,11.00M,29.00M,34.00M,73.00M,4.00M,188.00M,11.47M,65.57M,0.962M,154.45M,61.95M,90.92M,4.527M,94.10M,78.40M,70.72M,4.18M,126.70M,83.50M,79.40M,1.70M
Interest Paid Supplemental Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.00M,,-41.00M,41.00M,337.00M,-145.00M,100.00M,45.00M,97.00M,56.00M,88.00M,45.00M,79.00M,43.00M,72.00M,27.00M,64.00M,27.73M,63.70M,31.57M,50.54M,31.68M,52.23M,34.20M,51.70M,29.20M,52.54M,29.26M,57.10M,30.00M,58.80M,29.30M
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
