Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1988-12,1987-12,1986-12,1985-12,1984-12
Accounts Payable,2.062B,1.932B,2.118B,2.139B,1.773B,1.886B,2.053B,1.953B,1.688B,1.638B,1.924B,1.882B,1.592B,1.673B,1.944B,1.913B,1.563B,1.525B,1.683B,1.587B,1.377B,1.498B,1.653B,1.646B,1.368B,1.307B,1.507B,1.44B,975.00M,1.283B,1.362B,1.336B,1.007B,1.15B,1.291B,1.267B,1.156B,1.22B,1.305B,1.14B,1.064B,1.081B,1.143B,1.005B,952.00M,1.164B,1.389B,1.318B,1.182B,1.269B,1.359B,1.212B,1.073B,1.087B,1.263B,1.16B,1.078B,1.101B,1.202B,1.131B,1.003B,1.043B,1.133B,1.022B,967.00M,1.075B,1.10B,1.052B,1.198B,1.36B,1.559B,1.462B,1.785B,1.613B,1.495B,1.261B,1.267B,1.299B,1.273B,1.231B,1.115B,1.249B,1.245B,1.233B,1.047B,1.287B,1.104B,1.13B,1.028B,1.178B,959.00M,990.00M,1.068B,912.00M,856.00M,880.00M,817.00M,929.00M,914.00M,900.00M,920.00M,961.00M,917.00M,927.00M,921.00M,947.00M,948.00M,1.013B,948.00M,1.016B,976.00M,1.05B,1.001B,1.074B,1.116B,1.049B,966.30M,1.268B,965.20M,970.70M,929.30M,857.10M,809.10M,,,,,
Total Payables,2.062B,1.932B,2.118B,2.139B,1.773B,1.886B,2.053B,1.953B,1.688B,1.638B,1.924B,1.882B,1.592B,1.673B,1.944B,1.913B,1.563B,1.525B,1.683B,1.587B,1.377B,1.498B,1.653B,1.646B,1.368B,1.307B,1.507B,1.44B,975.00M,1.283B,1.362B,1.336B,1.007B,1.15B,1.291B,1.267B,1.156B,1.22B,1.305B,1.14B,1.064B,1.081B,1.143B,1.005B,952.00M,1.164B,1.389B,1.318B,1.182B,1.269B,1.359B,1.212B,1.073B,1.087B,1.263B,1.16B,1.078B,1.101B,1.202B,1.131B,1.003B,1.043B,1.133B,1.022B,967.00M,1.075B,1.10B,1.052B,1.198B,1.36B,1.559B,1.462B,1.785B,1.613B,1.495B,1.261B,1.267B,1.299B,1.273B,1.231B,1.115B,1.249B,1.245B,1.233B,1.047B,1.287B,1.104B,1.13B,1.028B,1.178B,959.00M,990.00M,1.068B,912.00M,856.00M,880.00M,817.00M,929.00M,914.00M,900.00M,920.00M,961.00M,917.00M,927.00M,921.00M,947.00M,948.00M,1.013B,948.00M,1.016B,976.00M,1.05B,1.001B,1.074B,1.116B,1.049B,966.30M,1.268B,965.20M,970.70M,929.30M,857.10M,809.10M,,,,,
Accrued Expenses,3.679B,3.582B,3.60B,3.427B,3.769B,3.687B,3.70B,3.537B,3.953B,3.656B,3.618B,3.336B,3.724B,3.599B,3.763B,3.527B,3.539B,3.464B,3.311B,3.171B,3.291B,3.128B,3.35B,3.355B,3.607B,2.139B,2.17B,2.084B,2.093B,2.029B,1.899B,1.70B,1.882B,1.928B,2.011B,2.334B,2.085B,2.042B,2.003B,2.01B,2.039B,1.959B,1.918B,1.976B,2.042B,2.325B,2.804B,2.221B,2.267B,2.236B,2.109B,2.136B,2.301B,2.015B,2.377B,2.21B,2.34B,1.957B,1.90B,2.034B,2.026B,2.029B,1.977B,2.072B,1.989B,2.273B,2.272B,2.433B,,2.456B,2.344B,2.284B,2.192B,2.619B,2.357B,1.827B,2.231B,2.284B,2.114B,1.818B,1.956B,,,,1.89B,,,,,,,,,,,,2.06B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payables and Accrued Expenses,5.741B,5.514B,5.718B,5.566B,5.542B,5.573B,5.753B,5.49B,5.641B,5.294B,5.542B,5.218B,5.316B,5.272B,5.707B,5.44B,5.102B,4.989B,4.994B,4.758B,4.668B,4.626B,5.003B,5.001B,4.975B,3.446B,3.677B,3.524B,3.068B,3.312B,3.261B,3.036B,2.889B,3.078B,3.302B,3.601B,3.241B,3.262B,3.308B,3.15B,3.103B,3.04B,3.061B,2.981B,2.994B,3.489B,4.193B,3.539B,3.449B,3.505B,3.468B,3.348B,3.374B,3.102B,3.64B,3.37B,3.418B,3.058B,3.102B,3.165B,3.029B,3.072B,3.11B,3.094B,2.956B,3.348B,3.372B,3.485B,1.198B,3.816B,3.903B,3.746B,3.977B,4.232B,3.852B,3.088B,3.498B,3.583B,3.387B,3.049B,3.071B,1.249B,1.245B,1.233B,2.937B,1.287B,1.104B,1.13B,1.028B,1.178B,959.00M,990.00M,1.068B,912.00M,856.00M,880.00M,2.877B,929.00M,914.00M,900.00M,920.00M,961.00M,917.00M,927.00M,921.00M,947.00M,948.00M,1.013B,948.00M,1.016B,976.00M,1.05B,1.001B,1.074B,1.116B,1.049B,966.30M,1.268B,965.20M,970.70M,929.30M,857.10M,809.10M,,,,,
Other Current Borrowings,2.861B,3.608B,3.50B,3.37B,3.294B,,,,2.554B,,,,,,,,,,,,,,,,,1.335B,1.298B,1.256B,,1.508B,1.598B,6.441B,1.518B,1.374B,1.741B,6.152B,1.776B,1.669B,1.727B,4.961B,1.024B,4.614B,4.971B,5.216B,5.553B,5.874B,6.314B,5.887B,4.887B,1.325B,1.195B,1.165B,1.246B,1.40B,1.042B,1.049B,1.077B,790.00M,738.00M,709.00M,659.00M,647.00M,626.00M,619.00M,603.00M,538.00M,564.00M,649.00M,,405.00M,350.00M,520.00M,556.00M,509.00M,301.00M,451.00M,569.00M,495.00M,496.00M,241.00M,302.00M,,,,48.00M,,,,,,,,,,,,228.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,2.861B,3.608B,3.50B,3.37B,3.294B,2.493B,2.213B,2.793B,2.554B,2.467B,2.334B,1.714B,1.855B,1.798B,1.715B,2.61B,2.231B,1.712B,1.642B,1.284B,1.677B,1.439B,1.523B,1.441B,1.446B,1.335B,1.298B,1.256B,1.419B,1.508B,1.598B,6.441B,1.518B,1.374B,1.741B,6.152B,1.776B,1.669B,1.727B,4.961B,1.024B,4.614B,4.971B,5.216B,5.553B,5.874B,6.314B,5.887B,4.887B,1.325B,1.195B,1.165B,1.246B,1.40B,1.042B,1.049B,1.077B,790.00M,738.00M,709.00M,659.00M,647.00M,626.00M,619.00M,603.00M,538.00M,564.00M,649.00M,868.00M,405.00M,350.00M,520.00M,556.00M,509.00M,301.00M,451.00M,569.00M,495.00M,496.00M,241.00M,302.00M,475.00M,448.00M,412.00M,48.00M,343.00M,514.00M,504.00M,530.00M,601.00M,432.00M,430.00M,554.00M,264.00M,273.00M,294.00M,228.00M,705.00M,910.00M,886.00M,718.00M,408.00M,189.00M,598.00M,310.00M,644.00M,335.00M,418.00M,662.00M,716.00M,1.029B,1.058B,1.036B,889.60M,892.20M,1.426B,1.319B,1.199B,1.073B,837.60M,433.00M,270.10M,268.10M,213.20M,205.10M,278.10M,143.20M,108.60M
Current Capital Lease Obligation,1.708B,1.672B,1.639B,1.629B,1.654B,,,,0.00,,,,,,,,,,,,,,,,,24.00M,29.00M,30.00M,,36.00M,56.00M,66.00M,0.00,79.00M,89.00M,100.00M,107.00M,107.00M,102.00M,85.00M,90.00M,91.00M,104.00M,98.00M,107.00M,121.00M,133.00M,146.00M,147.00M,138.00M,123.00M,124.00M,103.00M,106.00M,110.00M,136.00M,162.00M,170.00M,172.00M,170.00M,147.00M,148.00M,185.00M,196.00M,201.00M,200.00M,158.00M,158.00M,,145.00M,147.00M,191.00M,216.00M,267.00M,312.00M,245.00M,227.00M,273.00M,246.00M,231.00M,236.00M,,,,154.00M,,,,,,,,,,,,122.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Debt & Capital Lease Obligation,4.569B,5.28B,5.139B,4.999B,4.948B,2.493B,2.213B,2.793B,2.554B,2.467B,2.334B,1.714B,1.855B,1.798B,1.715B,2.61B,2.231B,1.712B,1.642B,1.284B,1.677B,1.439B,1.523B,1.441B,1.446B,1.359B,1.327B,1.286B,1.419B,1.544B,1.654B,6.507B,1.518B,1.453B,1.83B,6.252B,1.883B,1.776B,1.829B,5.046B,1.114B,4.705B,5.075B,5.314B,5.66B,5.995B,6.447B,6.033B,5.034B,1.463B,1.318B,1.289B,1.349B,1.506B,1.152B,1.185B,1.239B,960.00M,910.00M,879.00M,806.00M,795.00M,811.00M,815.00M,804.00M,738.00M,722.00M,807.00M,868.00M,550.00M,497.00M,711.00M,772.00M,776.00M,613.00M,696.00M,796.00M,768.00M,742.00M,472.00M,538.00M,475.00M,448.00M,412.00M,202.00M,343.00M,514.00M,504.00M,530.00M,601.00M,432.00M,430.00M,554.00M,264.00M,273.00M,294.00M,350.00M,705.00M,910.00M,886.00M,718.00M,408.00M,189.00M,598.00M,310.00M,644.00M,335.00M,418.00M,662.00M,716.00M,1.029B,1.058B,1.036B,889.60M,892.20M,1.426B,1.319B,1.199B,1.073B,837.60M,433.00M,270.10M,268.10M,213.20M,205.10M,278.10M,143.20M,108.60M
Current Deferred Revenue,8.001B,8.766B,9.266B,9.284B,7.606B,8.282B,8.703B,8.725B,7.163B,7.546B,8.236B,8.354B,6.701B,7.463B,7.495B,7.227B,6.272B,4.811B,5.664B,5.415B,7.059B,4.952B,5.683B,5.686B,4.38B,5.293B,5.665B,5.18B,2.813B,,,,4.223B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Liabilities,8.001B,8.766B,9.266B,9.284B,7.606B,8.282B,8.703B,8.725B,7.163B,7.546B,8.236B,8.354B,6.701B,7.463B,7.495B,7.227B,6.272B,4.811B,5.664B,5.415B,7.059B,4.952B,5.683B,5.686B,4.38B,5.293B,5.665B,5.18B,2.813B,,,,4.223B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Liability,,,,,,,,,,,,,,,,,,2.649B,2.745B,2.776B,,2.871B,2.879B,2.951B,3.005B,,,,1.711B,4.73B,5.151B,,,4.392B,4.634B,,3.656B,3.901B,4.222B,45.00M,3.511B,156.00M,134.00M,613.00M,716.00M,,,,,4.268B,4.607B,4.321B,3.782B,4.067B,4.44B,4.189B,3.615B,3.851B,4.007B,3.687B,3.183B,3.257B,3.376B,3.201B,2.799B,3.046B,2.987B,2.781B,5.174B,2.852B,3.059B,2.93B,2.763B,3.095B,3.429B,2.96B,2.696B,2.929B,2.977B,2.758B,2.258B,4.785B,4.611B,4.328B,2.163B,4.319B,4.257B,4.056B,4.014B,4.458B,4.051B,3.879B,3.944B,3.822B,3.662B,3.482B,1.466B,3.849B,3.726B,3.407B,3.096B,3.373B,3.442B,3.213B,3.186B,3.187B,3.428B,3.231B,3.11B,3.276B,3.228B,2.789B,2.705B,2.575B,2.732B,2.372B,2.539B,2.494B,2.466B,2.264B,2.117B,2.172B,2.227B,2.582B,1.866B,1.707B,1.660B,1.444B
Total Current Liabilities,18.31B,19.56B,20.12B,19.85B,18.10B,16.35B,16.67B,17.01B,15.36B,15.31B,16.11B,15.29B,13.87B,14.53B,14.92B,15.28B,13.60B,14.16B,15.04B,14.23B,13.40B,13.89B,15.09B,15.08B,13.81B,10.10B,10.67B,9.99B,9.011B,9.586B,10.07B,9.543B,8.63B,8.923B,9.766B,9.853B,8.78B,8.939B,9.359B,8.241B,7.728B,7.901B,8.27B,8.908B,9.37B,9.484B,10.64B,9.572B,8.483B,9.236B,9.393B,8.958B,8.505B,8.675B,9.232B,8.744B,8.272B,7.869B,8.019B,7.731B,7.018B,7.124B,7.297B,7.11B,6.559B,7.132B,7.081B,7.073B,7.24B,7.218B,7.459B,7.387B,7.512B,8.103B,7.894B,6.744B,6.99B,7.28B,7.106B,6.279B,5.867B,6.509B,6.304B,5.973B,5.302B,5.949B,5.875B,5.69B,5.572B,6.237B,5.442B,5.299B,5.566B,4.998B,4.791B,4.656B,4.693B,5.483B,5.55B,5.193B,4.734B,4.742B,4.548B,4.738B,4.417B,4.778B,4.711B,4.662B,4.72B,5.008B,5.233B,4.897B,4.742B,4.539B,4.740B,4.846B,4.825B,4.962B,4.505B,4.072B,3.479B,3.300B,3.305B,2.796B,2.071B,1.985B,1.803B,1.553B
Non-Current Portion of Long Term Debt,21.45B,21.62B,21.79B,20.66B,21.18B,22.27B,21.86B,21.95B,22.51B,22.22B,22.52B,22.83B,22.49B,21.54B,21.13B,19.13B,18.33B,18.85B,17.15B,17.64B,16.04B,15.65B,15.20B,15.24B,15.35B,8.863B,7.987B,6.646B,7.116B,6.097B,6.323B,6.575B,6.702B,9.552B,9.428B,9.568B,8.756B,9.01B,9.142B,9.861B,9.984B,9.872B,8.292B,8.314B,8.423B,8.946B,8.708B,8.745B,9.413B,9.83B,10.51B,10.72B,11.22B,11.57B,12.11B,12.29B,12.53B,12.29B,12.36B,12.37B,12.44B,12.49B,12.49B,12.40B,11.90B,11.93B,11.24B,11.00B,12.31B,10.51B,9.172B,8.784B,8.31B,6.491B,5.554B,4.669B,4.151B,2.392B,3.93B,4.018B,4.078B,5.217B,4.643B,4.023B,2.436B,3.972B,3.845B,3.819B,3.877B,4.169B,4.406B,4.411B,4.542B,5.432B,5.469B,6.72B,4.983B,7.158B,7.391B,7.667B,7.878B,7.493B,7.71B,7.649B,7.554B,7.57B,7.853B,7.873B,7.838B,7.567B,6.639B,6.315B,5.879B,5.483B,5.160B,4.333B,3.272B,2.891B,2.668B,2.597B,2.306B,2.628B,2.649B,2.750B,2.782B,2.412B,1.831B,1.541B
Long Term Cap Lease Obligation,7.421B,7.535B,7.818B,7.785B,7.902B,,,,0.00,,,,,,,,,,,,,,,,,345.00M,367.00M,375.00M,,392.00M,393.00M,316.00M,0.00,615.00M,624.00M,588.00M,497.00M,503.00M,526.00M,559.00M,599.00M,589.00M,572.00M,528.00M,582.00M,590.00M,623.00M,630.00M,680.00M,698.00M,731.00M,751.00M,824.00M,836.00M,862.00M,873.00M,926.00M,939.00M,965.00M,1.009B,1.088B,1.10B,1.135B,1.174B,1.225B,1.234B,1.294B,1.35B,1.422B,1.422B,1.444B,1.454B,1.524B,1.607B,1.613B,1.208B,1.323B,1.403B,1.465B,,1.611B,,,,1.764B,,,,,,,,,,,,2.069B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of LTD and Capital Lease Obligation,28.88B,29.16B,29.61B,28.44B,29.08B,22.27B,21.86B,21.95B,22.51B,22.22B,22.52B,22.83B,22.49B,21.54B,21.13B,19.13B,18.33B,18.85B,17.15B,17.64B,16.04B,15.65B,15.20B,15.24B,15.35B,9.208B,8.354B,7.021B,7.116B,6.489B,6.716B,6.891B,6.702B,10.17B,10.05B,10.16B,9.253B,9.513B,9.668B,10.42B,10.58B,10.46B,8.864B,8.842B,9.005B,9.536B,9.331B,9.375B,10.09B,10.53B,11.24B,11.47B,12.04B,12.41B,12.97B,13.16B,13.46B,13.23B,13.32B,13.38B,13.52B,13.59B,13.63B,13.58B,13.13B,13.17B,12.54B,12.34B,13.73B,11.93B,10.62B,10.24B,9.834B,8.098B,7.167B,5.877B,5.474B,3.795B,5.395B,4.018B,5.689B,5.217B,4.643B,4.023B,4.20B,3.972B,3.845B,3.819B,3.877B,4.169B,4.406B,4.411B,4.542B,5.432B,5.469B,6.72B,7.052B,7.158B,7.391B,7.667B,7.878B,7.493B,7.71B,7.649B,7.554B,7.57B,7.853B,7.873B,7.838B,7.567B,6.639B,6.315B,5.879B,5.483B,5.160B,4.333B,3.272B,2.891B,2.668B,2.597B,2.306B,2.628B,2.649B,2.750B,2.782B,2.412B,1.831B,1.541B
Long Term Deferred Tax Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.228B,1.94B,1.965B,1.627B,2.168B,2.341B,2.461B,2.385B,2.164B,2.012B,1.886B,1.846B,1.752B,1.663B,1.531B,1.47B,1.387B,1.264B,1.116B,1.112B,829.00M,802.00M,744.00M,743.00M,575.00M,542.00M,443.00M,446.00M,447.00M,326.00M,311.00M,279.00M,542.00M,410.00M,314.00M,310.00M,250.00M,236.00M,201.00M,196.00M,444.00M,480.00M,555.00M,541.00M,606.60M,562.60M,553.70M,650.40M,784.90M,827.80M,754.70M,802.40M,776.50M,715.80M,667.50M,573.50M,483.10M,299.70M,241.40M
Non-Current Deferred Revenue,5.422B,5.325B,5.249B,5.214B,5.272B,5.317B,5.484B,5.61B,5.701B,,,494.00M,,554.00M,590.00M,625.00M,667.00M,709.00M,746.00M,788.00M,829.00M,871.00M,905.00M,990.00M,935.00M,,,,223.00M,,,,110.00M,,,,270.00M,,,,272.00M,,,,297.00M,,,,320.00M,,,,372.00M,,,,421.00M,,,,470.00M,,,,520.00M,,,,,,,,520.00M,,,,508.00M,,,,613.00M,,,,573.00M,,,,,,,,,,,,696.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Deferred Liabilities,5.422B,5.325B,5.249B,5.214B,5.272B,5.317B,5.484B,5.61B,5.701B,,,494.00M,,554.00M,590.00M,625.00M,667.00M,709.00M,746.00M,788.00M,829.00M,871.00M,905.00M,990.00M,935.00M,,,,223.00M,1.658B,1.687B,1.685B,110.00M,2.587B,2.509B,3.127B,270.00M,3.139B,3.19B,,272.00M,,,,297.00M,,,,320.00M,,,,372.00M,,,,421.00M,,,,470.00M,,,,520.00M,,,,,1.228B,1.94B,1.965B,2.147B,2.168B,2.341B,2.461B,2.893B,2.164B,2.012B,1.886B,2.459B,1.752B,1.663B,1.531B,2.043B,1.387B,1.264B,1.116B,1.112B,829.00M,802.00M,744.00M,743.00M,575.00M,542.00M,443.00M,1.142B,447.00M,326.00M,311.00M,279.00M,542.00M,410.00M,314.00M,310.00M,250.00M,236.00M,201.00M,196.00M,444.00M,480.00M,555.00M,541.00M,606.60M,562.60M,553.70M,650.40M,784.90M,827.80M,754.70M,802.40M,776.50M,715.80M,667.50M,573.50M,483.10M,299.70M,241.40M
Non-Current Accrued Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.235B,5.343B,5.366B,,5.46B,4.956B,5.126B,4.998B,4.799B,4.754B,4.713B,4.743B,4.733B,4.604B,4.72B,4.803B,2.763B,2.729B,2.701B,,2.625B,2.611B,2.573B,2.538B,2.417B,2.399B,,1.706B,,,,1.669B,,,,1.598B,,,,,,,,,,,,1.439B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pension Liability,6.052B,5.609B,5.641B,6.519B,6.907B,6.898B,7.118B,7.259B,7.497B,7.467B,7.50B,7.808B,7.842B,7.387B,7.426B,7.44B,7.45B,7.433B,7.477B,7.517B,7.562B,4.964B,5.704B,5.766B,5.828B,6.641B,6.702B,6.73B,6.78B,76.00M,77.00M,77.00M,9.204B,7.875B,7.969B,7.926B,7.877B,7.409B,7.598B,7.531B,7.397B,7.005B,6.881B,6.739B,6.614B,3.736B,3.67B,3.657B,3.62B,5.235B,5.343B,5.366B,5.341B,,,,4.998B,,,,,4.733B,,,,,2.729B,,,,,,,,,,,,,,1.669B,,,,1.598B,,,,1.573B,,,,1.53B,,,,1.439B,,,,1.254B,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Liabilities,1.453B,1.361B,1.367B,1.396B,1.393B,2.366B,2.357B,2.475B,2.498B,3.462B,3.484B,2.753B,3.286B,2.698B,2.675B,2.723B,2.728B,3.801B,3.812B,3.814B,3.366B,3.828B,3.823B,5.563B,9.087B,8.755B,8.707B,8.487B,8.367B,13.49B,15.15B,15.00B,6.313B,,,,2.853B,,,3.225B,2.947B,3.246B,3.123B,3.138B,2.824B,3.26B,3.624B,3.673B,3.398B,-1.463B,-1.521B,-1.503B,3.492B,4.10B,4.104B,4.155B,-1.22B,4.266B,4.014B,4.045B,3.599B,-603.00M,4.596B,4.678B,4.276B,7.402B,4.648B,7.069B,8.338B,5.989B,5.868B,5.922B,5.437B,4.823B,2.461B,4.219B,1.974B,5.567B,4.186B,5.709B,163.00M,4.388B,4.463B,4.239B,16.00M,4.326B,4.32B,4.269B,2.509B,4.114B,4.047B,4.045B,2.448B,3.851B,3.838B,3.766B,71.00M,3.182B,3.085B,3.077B,1.961B,2.916B,2.80B,2.816B,2.769B,2.73B,2.648B,2.624B,2.603B,1.335B,1.29B,1.321B,1.252B,1.249B,1.038B,982.10M,879.20M,760.10M,642.60M,533.90M,524.30M,375.40M,237.50M,361.80M,315.60M,163.00M,306.90M,411.90M
Total Long Term Liabilities,41.80B,41.46B,41.87B,41.57B,42.65B,36.86B,36.82B,37.29B,38.21B,33.15B,33.51B,33.88B,33.62B,32.18B,31.82B,29.92B,29.18B,30.79B,29.19B,29.76B,27.80B,25.31B,25.64B,27.56B,31.20B,24.60B,23.76B,22.24B,22.49B,21.72B,23.63B,23.65B,22.33B,20.63B,20.53B,21.21B,20.25B,20.06B,20.46B,21.18B,21.20B,20.71B,18.87B,18.72B,18.74B,16.53B,16.62B,16.70B,17.43B,19.54B,20.41B,20.70B,21.25B,21.97B,22.03B,22.45B,22.65B,22.30B,22.09B,22.13B,22.34B,22.45B,22.83B,22.98B,22.72B,23.33B,22.64B,22.12B,22.07B,21.77B,21.04B,20.70B,19.96B,17.51B,14.37B,12.56B,12.05B,11.53B,11.59B,11.61B,11.65B,11.36B,10.77B,9.793B,9.455B,9.685B,9.429B,9.204B,9.071B,9.112B,9.255B,9.20B,9.263B,9.858B,9.849B,10.93B,11.14B,10.79B,10.80B,11.06B,11.37B,10.95B,10.92B,10.78B,10.63B,10.55B,10.74B,10.70B,10.64B,9.346B,8.409B,8.191B,7.672B,7.338B,6.760B,5.868B,4.802B,4.436B,4.138B,3.886B,3.632B,3.780B,3.603B,3.779B,3.671B,3.058B,2.437B,2.195B
Total Liabilities,60.11B,61.02B,61.99B,61.42B,60.75B,53.20B,53.49B,54.30B,53.56B,48.45B,49.62B,49.17B,47.49B,46.72B,46.74B,45.20B,42.78B,44.95B,44.23B,43.99B,41.20B,39.20B,40.72B,42.64B,45.01B,34.70B,34.43B,32.23B,31.50B,31.30B,33.69B,33.20B,30.96B,29.55B,30.30B,31.06B,29.03B,29.00B,29.82B,29.42B,28.93B,28.61B,27.14B,27.63B,28.11B,26.02B,27.26B,26.28B,25.91B,28.77B,29.80B,29.66B,29.75B,30.64B,31.26B,31.19B,30.92B,30.16B,30.11B,29.86B,29.35B,29.58B,30.12B,30.08B,29.28B,30.46B,29.72B,29.19B,29.31B,28.99B,28.49B,28.08B,27.47B,25.61B,22.26B,19.30B,19.04B,18.81B,18.70B,17.89B,17.52B,17.87B,17.07B,15.77B,14.76B,15.63B,15.30B,14.89B,14.64B,15.35B,14.70B,14.50B,14.83B,14.86B,14.64B,15.58B,15.84B,16.27B,16.35B,16.25B,16.11B,15.69B,15.47B,15.52B,15.05B,15.33B,15.45B,15.36B,15.36B,14.35B,13.64B,13.09B,12.41B,11.88B,11.50B,10.71B,9.626B,9.398B,8.644B,7.958B,7.112B,7.079B,6.907B,6.574B,5.742B,5.043B,4.240B,3.748B
Total Capital Stock,4.00M,4.00M,5.00M,5.00M,5.00M,5.00M,5.00M,5.00M,5.00M,5.00M,5.00M,5.00M,5.00M,5.00M,5.00M,6.00M,6.00M,6.00M,7.00M,7.00M,7.00M,7.00M,7.00M,6.00M,5.00M,342.00M,341.00M,341.00M,127.00M,341.00M,341.00M,341.00M,341.00M,341.00M,341.00M,339.00M,339.00M,339.00M,339.00M,339.00M,339.00M,335.00M,286.00M,285.00M,285.00M,285.00M,257.00M,255.00M,255.00M,255.00M,254.00M,246.00M,228.00M,220.00M,218.00M,195.00M,195.00M,182.00M,182.00M,182.00M,182.00M,182.00M,182.00M,182.00M,182.00M,182.00M,182.00M,182.00M,182.00M,182.00M,182.00M,182.00M,182.00M,182.00M,182.00M,182.00M,182.00M,182.00M,182.00M,182.00M,182.00M,182.00M,182.00M,182.00M,182.00M,182.00M,182.00M,91.00M,182.00M,91.00M,91.00M,91.00M,91.00M,91.00M,91.00M,77.00M,154.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,,,,,,,,,,,,,,,,,,,,,,,,
Retained Earnings,2.264B,1.894B,1.514B,897.00M,136.00M,-316.00M,-610.00M,-1.13B,-1.345B,3.152B,2.577B,1.823B,1.64B,1.403B,719.00M,-591.00M,-1.23B,-4.445B,-6.07B,-7.702B,-8.562B,-9.086B,-9.953B,-10.82B,-11.30B,-9.295B,-9.584B,-9.803B,-9.462B,-9.725B,-9.487B,-9.246B,-7.586B,-6.491B,-6.329B,-6.043B,-5.607B,-5.509B,-5.652B,-5.641B,-5.136B,-4.792B,-4.433B,-4.043B,-3.668B,-3.121B,-3.166B,-1.718B,-1.39B,-1.321B,-1.496B,-1.813B,-1.894B,-1.959B,-1.974B,-2.265B,-2.125B,-1.569B,-1.416B,-1.474B,-1.312B,-925.00M,-711.00M,-717.00M,-551.00M,-440.00M,-441.00M,-366.00M,677.00M,1.206B,3.118B,3.613B,4.188B,4.986B,5.402B,5.907B,5.95B,5.907B,5.597B,5.27B,5.718B,5.37B,5.112B,4.891B,4.733B,4.511B,4.085B,3.69B,3.419B,3.189B,2.866B,2.563B,2.434B,2.042B,1.772B,1.478B,1.418B,1.409B,1.22B,1.249B,1.256B,1.397B,1.204B,1.062B,1.084B,1.356B,1.254B,1.224B,1.256B,1.95B,2.035B,2.201B,2.181B,2.307B,2.237B,2.227B,2.422B,2.640B,2.575B,2.446B,2.465B,2.424B,2.291B,2.028B,1.562B,1.368B,1.092B,755.30M
