Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Normalized Income,571.02M,1.324B,832.84M,902.71M,330.12M,1.176B,646.16M,730.77M,562.53M,1.102B,689.29M,708.56M,222.66M,998.64M,616.02M,569.22M,210.12M,1.011B,591.63M,763.47M,80.90M,894.02M,706.16M,811.36M,525.28M,944.07M,601.88M,632.68M,11.18M,767.91M,442.97M,592.77M,327.00M,623.41M,365.33M,422.29M,317.30M,621.10M,146.20M,384.65M,297.95M,325.80M,216.39M,326.50M,326.52M,248.78M,287.90M,412.95M,211.09M,494.60M,218.78M,307.26M,114.20M,264.52M,21.43M,151.43M,-54.07M,426.97M,265.78M,-28.86M,245.75M,327.60M,303.00M,210.26M,-1.818B,-31.00M,195.79M,341.25M,148.41M,144.26M,332.65M,309.84M,-55.28M,772.92M,395.33M,499.29M,-6.225M,489.45M,301.79M,331.27M,-253.20M,426.38M,262.32M,284.20M,214.95M,401.17M,258.30M,285.79M,170.04M,293.88M,135.60M,290.99M,195.17M,323.81M,216.40M,172.16M,382.76M,264.01M,116.27M,180.84M,70.96M,223.39M,107.35M,158.64M,120.80M,241.40M,122.50M,141.70M,124.30M,190.50M,86.90M,106.40M,100.00M,207.80M,138.40M,137.40M,80.40M,213.80M,116.90M,127.00M,122.20M,194.80M,127.30M,,,,,,,,,,,,,,,,,,,,,
EBITDA,2.601B,3.431B,2.676B,2.769B,2.226B,2.944B,2.286B,2.407B,2.433B,2.856B,2.466B,2.543B,2.03B,2.959B,2.292B,2.249B,1.724B,2.658B,2.242B,2.426B,1.498B,2.649B,2.275B,2.377B,2.266B,2.568B,1.673B,2.093B,1.503B,2.031B,1.428B,1.168B,1.151B,1.407B,1.323B,1.469B,1.403B,1.671B,583.00M,1.387B,1.136B,1.019B,1.101B,1.172B,992.00M,1.001B,1.153B,1.32B,879.00M,1.476B,977.00M,1.06B,762.00M,1.235B,819.00M,776.00M,-581.00M,1.296B,1.297B,1.216B,1.246B,1.426B,1.249B,1.187B,-2.084B,808.00M,1.154B,1.371B,960.00M,1.02B,1.252B,1.047B,434.00M,1.867B,1.206B,1.539B,740.00M,1.437B,1.145B,1.061B,-91.00M,1.178B,803.00M,915.00M,602.50M,1.106B,814.70M,871.10M,653.60M,861.80M,672.80M,842.60M,680.30M,900.50M,832.50M,534.40M,1.384B,672.20M,427.40M,538.10M,346.80M,596.40M,397.80M,486.20M,996.90M,1.29B,987.20M,1.008B,941.40M,1.140B,899.30M,981.30M,940.30M,1.096B,893.60M,886.60M,850.80M,1.105B,870.30M,855.40M,887.50M,1.011B,877.30M,863.20M,850.10M,1.030B,830.00M,917.40M,898.70M,1.037B,857.80M,912.60M,842.90M,940.60M,784.00M,833.40M,718.00M,751.20M,678.30M,751.40M,680.20M,729.00M,629.50M,671.30M
Reconciled Depreciation,1.345B,1.348B,1.245B,1.238B,1.249B,1.197B,1.161B,1.089B,1.056B,1.037B,962.00M,991.00M,1.033B,979.00M,937.00M,931.00M,933.00M,896.00M,901.00M,883.00M,866.00M,893.00M,864.00M,884.00M,864.00M,821.00M,782.00M,762.00M,787.00M,788.00M,533.00M,544.00M,518.00M,517.00M,487.00M,504.00M,513.00M,502.00M,473.00M,506.00M,451.00M,478.00M,454.00M,463.00M,447.00M,479.00M,456.00M,452.00M,394.00M,546.00M,487.00M,461.00M,563.00M,610.00M,604.00M,438.00M,421.00M,382.00M,531.00M,550.00M,513.00M,581.00M,467.00M,476.00M,494.00M,521.00M,488.00M,484.00M,423.00M,480.00M,410.00M,379.00M,301.00M,,,357.00M,351.00M,343.00M,351.00M,303.00M,,,272.00M,270.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,1.256B,2.083B,1.431B,1.531B,977.00M,1.747B,1.125B,1.318B,1.377B,1.819B,1.504B,1.552B,997.00M,1.98B,1.355B,1.318B,791.00M,1.762B,1.341B,1.543B,632.00M,1.756B,1.411B,1.493B,1.402B,1.747B,891.00M,1.331B,716.00M,1.243B,895.00M,624.00M,633.00M,890.00M,836.00M,965.00M,890.00M,1.169B,110.00M,881.00M,685.00M,541.00M,647.00M,709.00M,545.00M,522.00M,697.00M,868.00M,479.00M,930.00M,490.00M,599.00M,199.00M,625.00M,215.00M,338.00M,-1.002B,890.00M,766.00M,666.00M,733.00M,845.00M,782.00M,711.00M,-2.578B,287.00M,666.00M,887.00M,537.00M,540.00M,842.00M,668.00M,133.00M,1.492B,880.00M,1.182B,389.00M,1.094B,794.00M,758.00M,-223.00M,884.00M,531.00M,645.00M,502.00M,825.80M,548.80M,608.40M,401.80M,606.30M,352.00M,610.00M,450.60M,653.10M,479.20M,357.50M,930.60M,504.50M,263.80M,369.40M,179.90M,430.80M,242.40M,326.60M,996.90M,1.29B,987.20M,1.008B,941.40M,1.140B,899.30M,981.30M,940.30M,1.096B,893.60M,886.60M,850.80M,1.105B,870.30M,855.40M,887.50M,1.011B,877.30M,863.20M,850.10M,1.030B,830.00M,917.40M,898.70M,1.037B,857.80M,912.60M,842.90M,940.60M,784.00M,833.40M,718.00M,751.20M,678.30M,751.40M,680.20M,729.00M,629.50M,671.30M
EPS Basic from Continuing Operations,0.89,1.82,1.12,1.24,0.61,1.51,0.72,0.88,1.00,1.36,0.98,1.02,0.52,1.44,0.90,0.83,0.49,1.36,0.87,1.09,0.25,1.25,1.02,1.05,0.97,1.33,0.48,0.89,0.27,0.84,0.99,0.65,0.64,1.06,0.9798,1.140,0.9500,1.530,-0.5100,1.020,0.7800,0.24,0.6600,0.8100,0.6300,0.5100,0.8100,1.110,0.7500,1.350,0.7200,0.8100,0.45,1.140,0.48,0.6600,-3.930,2.970,1.050,2.700,0.9300,1.200,1.290,0.21,-3.930,0.00,1.320,1.290,0.27,0.8100,1.710,1.440,0.8400,3.060,1.620,1.830,1.140,3.120,1.320,1.590,-0.8100,1.800,1.155,3.975,0.8550,1.770,1.140,1.320,0.6150,1.260,0.6600,1.260,1.602,1.410,0.9300,1.170,0.5850,2.010,0.9300,1.380,0.6000,1.710,0.8400,1.200,-0.24,1.680,0.8100,0.9600,0.8400,1.290,0.5400,0.6900,0.6300,1.440,0.9300,0.9300,0.48,1.500,0.7800,0.8700,0.8100,1.350,0.8400,0.8700,,1.350,0.6300,0.9000,,1.140,0.6600,0.9300,,1.050,0.5700,0.9000,,0.7800,0.6000,0.9000,,0.9300,0.6600,0.8100
EPS Basic from Discontinued Operations,-0.01,0.00,0.00,,0.03,0.00,-0.01,,0.00,0.00,0.00,,-0.86,0.26,-0.16,0.18,0.20,-0.01,-0.09,0.13,-0.11,0.55,-0.16,-1.19,0.01,0.09,0.00,0.00,0.29,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.03,0.00,0.03,0.00,-0.18,0.09,-0.03,0.03,0.45,0.6900,0.39,0.5100,5.880,-2.850,-0.06,0.03,0.18,0.03,0.09,0.8100,-2.790,0.15,0.06,0.00,-0.5700,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,-0.03,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00
EPS Basic from Extraordinaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,-0.0000,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS Basic from Tax Loss Carryforward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0048,,,2.727,0.0002,,,-0.0329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalized Basic EPS,0.7398,1.796,1.121,1.244,0.4512,1.648,0.9208,1.038,0.7965,1.568,0.9818,1.009,0.3072,1.444,0.8928,0.8260,0.3172,1.467,0.8579,1.077,0.1268,1.247,0.9976,1.143,0.7452,1.333,0.8481,0.8881,-0.0967,1.095,0.9854,1.322,0.7278,1.403,0.8229,0.9399,0.7058,1.419,0.3329,0.8818,0.6971,0.7384,0.5165,0.7761,0.7826,0.5877,0.6911,0.9914,0.5079,1.163,0.5290,0.7390,0.2452,0.6221,0.0570,0.4933,-0.1962,1.360,0.8486,-0.0952,0.7493,1.029,0.9563,0.6878,-3.984,-0.1193,0.6375,1.120,0.0673,0.5016,1.200,1.165,-0.2672,2.971,1.528,1.610,-0.0334,1.976,1.209,1.338,-1.073,1.740,1.049,3.881,0.8193,1.655,1.052,1.146,0.5542,1.194,0.5218,1.106,1.495,1.234,0.7956,1.046,0.5018,1.854,0.7718,1.230,0.4342,1.560,0.6899,1.089,-0.24,1.680,0.8100,0.9600,0.8400,1.290,0.5400,0.6900,0.6300,1.440,0.9300,0.9300,0.48,1.500,0.7800,0.8700,0.8100,1.350,0.8400,0.8700,,1.350,0.6300,0.9000,,1.140,0.6600,0.9300,,1.050,0.5700,0.9000,,0.7800,0.6000,0.9000,,0.9300,0.6600,0.8100
EPS Basic,0.88,1.82,1.12,1.24,0.64,1.51,0.71,0.88,1.00,1.36,0.98,1.02,-0.34,1.70,0.74,1.01,0.69,1.35,0.78,1.22,0.14,1.80,0.86,-0.14,0.98,1.42,0.48,0.89,0.56,0.85,0.99,0.66,0.64,1.06,0.9798,1.140,0.9600,1.530,-0.5100,1.020,0.8100,0.24,0.6300,0.8100,0.8100,0.5100,0.8400,1.110,0.5700,1.440,0.6900,0.8400,0.9000,1.830,0.8700,1.170,7.770,0.12,0.9900,2.730,1.110,1.230,1.380,1.020,-6.720,0.15,1.380,0.7500,-0.30,0.8100,1.710,1.440,0.8400,3.060,1.620,1.830,1.140,3.120,1.320,1.590,-0.8100,1.800,1.155,3.975,0.8850,1.770,1.140,1.290,0.6150,1.260,0.6600,1.260,1.602,1.410,0.9300,1.170,0.5850,2.010,0.9300,1.380,0.6000,1.710,0.8400,1.200,-0.24,1.680,0.8100,0.9600,0.8400,1.290,0.5400,0.6900,0.6300,1.440,0.9300,0.9300,0.48,1.500,0.7800,0.8700,0.8100,1.350,0.8400,0.8700,,1.350,0.6300,0.9000,,1.140,0.6600,0.9300,,1.050,0.5700,0.9000,,0.7800,0.6000,0.9000,,0.9300,0.6600,0.8100
EPS Diluted from Continuing Operations,0.89,1.82,1.12,1.24,0.61,1.51,0.72,0.88,1.00,1.36,0.98,1.02,0.52,1.44,0.90,0.83,0.49,1.36,0.87,1.09,0.25,1.25,1.02,1.05,0.96,1.33,0.48,0.89,0.27,0.84,0.99,0.65,0.64,1.06,0.9798,1.140,0.9500,1.530,-0.5100,1.020,0.7800,0.24,0.6600,0.8100,0.6300,0.5100,0.8100,1.110,0.7200,1.350,0.7200,0.8100,0.45,1.140,0.48,0.6300,-3.930,2.880,1.020,2.610,0.9000,1.170,1.260,0.21,-3.930,0.00,1.320,1.290,0.27,0.8100,1.680,1.440,0.8400,3.030,1.590,1.800,1.125,3.105,1.320,1.590,-0.8100,1.800,1.155,3.960,0.8400,1.770,1.140,1.320,0.6150,1.260,0.6600,1.230,0.7350,1.410,0.9300,1.170,0.5850,2.010,0.9300,1.380,0.6000,1.710,0.8400,1.200,-0.24,1.680,0.8100,0.9600,0.8400,1.290,0.5400,0.6900,0.6300,1.440,0.9300,0.9300,0.48,1.500,0.7800,0.8700,0.8100,1.350,0.8400,0.8700,,1.350,0.6300,0.9000,,1.140,0.6600,0.9300,,1.050,0.5700,0.9000,,0.7800,0.6000,0.9000,,0.9300,0.6600,0.8100
EPS Diluted from Discontinued Operations,-0.01,0.00,0.00,,0.03,0.00,-0.01,,0.00,0.00,0.00,,-0.86,0.26,-0.16,0.18,0.20,-0.01,-0.09,0.13,-0.11,0.55,-0.16,-1.19,0.01,0.09,0.00,0.00,0.29,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.03,0.00,-0.18,0.09,-0.03,0.03,0.45,0.6600,0.36,0.48,5.760,-2.850,-0.06,0.03,0.18,0.03,0.09,0.7800,-2.790,0.15,0.06,0.00,-0.5700,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.03,0.00,0.00,0.00,0.03,0.00,0.00,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00
EPS Diluted from Extraordinaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012,,,-0.5418,,,,,0.0010,,,-0.3866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS Diluted from Tax Loss Carryforward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0179,,,2.717,0.0002,,,-0.0329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalized Diluted EPS,0.7398,1.796,1.121,1.244,0.4512,1.648,0.9205,1.038,0.7965,1.568,0.9818,1.009,0.3072,1.444,0.8928,0.8260,0.3172,1.467,0.8579,1.077,0.1268,1.247,0.9976,1.143,0.7352,1.333,0.8481,0.8881,-0.0947,1.095,0.9854,1.322,0.7278,1.403,0.8229,0.9401,0.7074,1.419,0.3329,0.8819,0.6972,0.7380,0.5166,0.7761,0.7824,0.5876,0.6913,0.9916,0.4785,1.164,0.5301,0.7396,0.2467,0.6258,0.0640,0.4694,-0.3382,1.333,0.8264,-0.0835,0.7223,1.005,0.9384,0.6702,-3.984,-0.1191,0.6382,1.120,0.0673,0.5016,1.175,1.165,-0.2550,2.942,1.499,1.583,-0.0484,1.968,1.209,1.338,-1.068,1.740,1.049,3.866,0.8047,1.655,1.052,1.146,0.5542,1.194,0.5218,1.076,0.6610,1.234,0.7956,1.046,0.5020,1.854,0.7718,1.230,0.4343,1.560,0.6899,1.089,-0.24,1.680,0.8100,0.9600,0.8400,1.290,0.5400,0.6900,0.6300,1.440,0.9300,0.9300,0.48,1.500,0.7800,0.8700,0.8100,1.350,0.8400,0.8700,,1.350,0.6300,0.9000,,1.140,0.6600,0.9300,,1.050,0.5700,0.9000,,0.7800,0.6000,0.9000,,0.9300,0.6600,0.8100
EPS Diluted,0.88,1.82,1.12,1.24,0.64,1.51,0.71,0.88,1.00,1.36,0.98,1.02,-0.34,1.70,0.74,1.01,0.69,1.35,0.78,1.22,0.14,1.80,0.86,-0.14,0.97,1.42,0.48,0.89,0.56,0.85,0.99,0.66,0.64,1.06,0.9798,1.140,0.9600,1.530,-0.5100,1.020,0.8100,0.24,0.6300,0.8100,0.7800,0.5100,0.8400,1.110,0.5700,1.440,0.6900,0.8400,0.9000,1.800,0.8400,1.110,7.530,0.12,0.9600,2.640,1.080,1.200,1.350,0.9900,-6.720,0.15,1.380,0.7500,-0.30,0.8100,1.680,1.440,0.8400,3.030,1.590,1.800,1.125,3.105,1.320,1.590,-0.8400,1.800,1.155,3.960,0.8700,1.770,1.140,1.290,0.6150,1.260,0.6600,1.230,0.7350,1.410,0.9300,1.170,0.5850,2.010,0.9300,1.380,0.6000,1.710,0.8400,1.200,-0.24,1.680,0.8100,0.9600,0.8400,1.290,0.5400,0.6900,0.6300,1.440,0.9300,0.9300,0.48,1.500,0.7800,0.8700,0.8100,1.350,0.8400,0.8700,,1.350,0.6300,0.9000,,1.140,0.6600,0.9300,,1.050,0.5700,0.9000,,0.7800,0.6000,0.9000,,0.9300,0.6600,0.8100
Average Basic Shares Outstanding,732.00M,729.00M,728.00M,727.00M,717.00M,713.00M,703.00M,701.00M,700.00M,700.00M,700.00M,700.00M,697.00M,689.00M,689.00M,689.00M,688.00M,688.00M,692.00M,708.00M,707.00M,707.00M,707.00M,706.00M,706.00M,706.00M,706.00M,705.00M,703.00M,699.00M,446.00M,446.00M,444.00M,444.00M,444.04M,443.33M,441.00M,440.00M,438.00M,436.67M,435.00M,433.00M,429.33M,427.33M,422.67M,421.67M,421.33M,422.00M,421.00M,420.00M,420.00M,419.00M,419.00M,418.00M,412.67M,309.33M,312.00M,308.67M,309.00M,318.00M,316.93M,312.67M,308.67M,304.00M,303.00M,301.67M,300.67M,299.00M,298.85M,278.00M,277.00M,262.67M,257.67M,258.33M,257.67M,248.33M,247.33M,245.33M,245.33M,244.67M,244.29M,242.22M,242.67M,242.00M,245.08M,239.43M,240.70M,243.10M,239.43M,236.83M,238.79M,134.39M,134.39M,155.48M,154.02M,154.02M,136.36M,135.72M,134.19M,136.67M,136.53M,135.20M,137.62M,134.42M,136.29M,136.19M,134.57M,133.65M,131.98M,135.81M,134.26M,134.93M,136.68M,134.93M,134.09M,132.69M,136.67M,133.93M,133.20M,131.03M,134.67M,134.67M,135.83M,135.03M,135.03M,135.03M,135.02M,135.01M,135.01M,135.00M,134.98M,134.98M,134.98M,134.97M,134.93M,134.93M,134.93M,134.90M,134.90M,134.87M,134.87M,134.00M,133.46M,133.46M
Average Diluted Shares Outstanding,732.00M,729.00M,728.00M,727.00M,717.00M,714.00M,704.00M,701.00M,700.00M,700.00M,700.00M,700.00M,697.00M,691.00M,690.00M,689.00M,688.00M,688.00M,692.00M,708.00M,707.00M,707.00M,707.00M,706.00M,706.00M,706.00M,706.00M,705.00M,707.00M,699.00M,446.00M,446.00M,444.00M,444.00M,444.04M,443.67M,444.00M,440.67M,438.00M,437.00M,435.33M,433.33M,429.67M,427.67M,423.33M,422.33M,422.00M,422.67M,422.00M,421.67M,422.33M,422.67M,422.00M,421.00M,419.67M,321.00M,324.33M,321.33M,321.33M,330.00M,322.25M,324.33M,320.33M,315.67M,303.33M,302.33M,301.00M,299.00M,298.85M,278.00M,279.76M,262.67M,260.53M,261.39M,261.01M,252.22M,247.33M,246.70M,245.33M,244.67M,248.98M,242.22M,242.67M,242.93M,247.90M,239.43M,240.70M,243.10M,239.43M,236.83M,238.79M,134.39M,195.11M,155.48M,154.02M,154.02M,136.64M,135.72M,134.19M,136.67M,136.59M,135.20M,137.62M,134.42M,136.29M,136.19M,134.57M,133.65M,131.98M,135.81M,134.26M,134.93M,136.68M,134.93M,134.09M,132.69M,136.67M,133.93M,133.20M,131.03M,134.67M,134.67M,135.83M,135.03M,135.03M,135.03M,135.02M,135.01M,135.01M,135.00M,134.98M,134.98M,134.98M,134.97M,134.93M,134.93M,134.93M,134.90M,134.90M,134.87M,134.87M,134.00M,133.46M,133.46M
Dividend Per Share,0.945,0.945,0.9275,0.9275,0.9275,0.9275,0.89,0.89,0.89,0.89,0.855,0.855,0.855,0.855,0.825,0.825,0.825,0.825,0.795,0.795,0.795,0.795,0.78,0.78,0.78,0.78,0.765,0.765,0.765,0.765,0.7500,0.7500,0.7500,0.7500,0.7350,0.7350,0.7350,0.7350,0.7200,0.7200,0.7200,0.7200,0.6900,0.6900,0.6900,0.6900,0.6600,0.6600,0.6600,0.6600,0.6300,0.6300,0.9600,0.9600,0.9300,0.9300,0.9300,0.9300,0.8250,0.8250,0.8250,0.8250,0.8250,0.8250,0.8250,0.8250,0.8250,0.8250,0.8250,0.8250,0.8250,0.8250,0.8250,0.8250,0.8250,0.8250,0.8250,0.8250,0.8250,0.8250,0.8250,0.8250,0.8250,0.8250,0.8250,0.8250,0.8250,0.8250,0.8250,0.8250,0.7950,0.7950,0.7950,0.7950,0.7650,0.7650,0.7650,0.7650,0.7350,0.7350,0.7350,0.7350,0.7050,0.7050,0.7050,0.7050,0.6750,0.6750,0.6750,0.6750,0.6450,0.6450,0.6450,0.6450,0.6150,0.6150,0.6150,0.6150,0.5850,0.5850,0.5850,0.5850,0.5550,0.5550,0.5550,0.5550,0.5250,0.5250,0.5250,0.5250,0.5025,0.5025,0.5025,0.5025,0.4875,0.4875,,,,,,,,
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
