Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Current Portion of Long Term Debt,6.276B,5.565B,6.491B,5.53B,6.816B,6.346B,6.181B,6.92B,5.407B,4.384B,6.96B,5.535B,4.806B,6.212B,4.654B,5.561B,5.659B,4.955B,4.536B,6.59B,5.321B,2.943B,3.754B,2.622B,2.943B,3.91B,4.049B,5.009B,4.167B,3.363B,2.932B,1.523B,2.321B,2.282B,1.288B,1.304B,491.00M,572.00M,948.00M,902.00M,1.022B,1.30B,926.00M,1.189B,2.224B,1.641B,2.019B,2.268B,1.839B,1.996B,1.914B,2.055B,2.569B,2.643B,1.571B,1.483B,1.05B,2.009B,1.656B,1.90B,3.552B,1.972B,1.764B,1.33B,1.477B,1.673B,1.879B,2.246B,3.305B,3.706B,3.181B,1.877B,951.00M,754.00M,850.00M,2.296B,2.122B,4.172B,1.858B,782.00M,1.02B,1.021B,1.086B,919.00M,692.20M,374.60M,290.60M,246.80M,375.10M,921.90M,247.80M,810.30M,248.60M,179.10M,48.10M,167.40M,106.80M,296.80M,229.50M,200.90M,132.30M,200.20M,171.90M
Current Debt & Capital Lease Obligation,6.276B,5.565B,6.491B,5.53B,6.816B,6.346B,6.181B,6.92B,5.407B,4.384B,6.96B,5.535B,4.806B,6.212B,4.654B,5.561B,5.659B,4.955B,4.536B,6.59B,5.321B,2.943B,3.754B,2.622B,2.943B,3.91B,4.049B,5.009B,4.167B,3.363B,2.932B,1.523B,2.321B,2.282B,1.288B,1.304B,491.00M,572.00M,948.00M,902.00M,1.022B,1.30B,926.00M,1.189B,2.224B,1.641B,2.019B,2.268B,1.839B,1.996B,1.914B,2.055B,2.569B,2.643B,1.571B,1.483B,1.05B,2.009B,1.656B,1.90B,3.552B,1.972B,1.764B,1.33B,1.477B,1.673B,1.879B,2.246B,3.305B,3.706B,3.181B,1.877B,951.00M,754.00M,850.00M,2.296B,2.122B,4.172B,1.858B,782.00M,1.02B,1.021B,1.086B,919.00M,692.20M,374.60M,290.60M,246.80M,375.10M,921.90M,247.80M,810.30M,248.60M,179.10M,48.10M,167.40M,106.80M,296.80M,229.50M,200.90M,132.30M,200.20M,171.90M
Other Current Liability,3.151B,2.747B,2.62B,2.421B,2.683B,2.209B,2.184B,2.047B,2.267B,2.007B,1.994B,1.91B,2.453B,2.047B,2.116B,2.369B,2.69B,2.372B,2.221B,2.395B,2.654B,2.327B,2.197B,2.077B,2.319B,2.33B,3.026B,2.068B,2.511B,2.206B,1.434B,1.054B,1.091B,1.046B,1.279B,939.00M,1.37B,1.393B,973.00M,1.146B,974.00M,1.251B,875.00M,1.13B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10M,,,-0.10M,-0.10M,,,-0.10M,0.10M,0.20M,0.10M
Total Current Liabilities,14.75B,13.39B,13.45B,12.28B,15.04B,13.92B,12.79B,13.00B,12.48B,10.82B,12.47B,10.94B,11.55B,12.08B,9.906B,10.89B,11.40B,10.52B,9.646B,11.90B,11.23B,8.251B,8.708B,7.492B,8.644B,9.239B,10.02B,9.965B,10.03B,8.556B,6.139B,4.283B,5.528B,5.115B,4.386B,4.197B,3.897B,3.837B,3.854B,4.088B,3.718B,4.141B,3.524B,4.345B,5.06B,4.959B,4.931B,5.698B,4.676B,5.014B,4.553B,6.613B,7.277B,8.07B,6.102B,8.418B,7.552B,7.799B,7.121B,7.502B,8.73B,7.808B,7.633B,7.748B,7.989B,11.90B,13.05B,10.04B,13.44B,14.75B,12.93B,10.46B,13.53B,13.56B,15.18B,23.34B,16.86B,15.22B,8.317B,5.876B,5.966B,6.217B,5.491B,4.927B,4.221B,4.501B,3.064B,3.275B,3.769B,2.993B,726.70M,3.310B,737.20M,634.60M,587.30M,769.20M,653.10M,727.50M,750.10M,768.20M,750.00M,800.30M,811.20M
Long Term Provisions - Legal & Other,12.44B,11.74B,11.89B,12.26B,9.548B,9.354B,9.753B,9.484B,9.486B,9.586B,10.16B,10.19B,10.20B,10.29B,10.23B,10.27B,10.25B,9.713B,9.49B,8.541B,8.466B,8.499B,5.03B,4.994B,4.95B,5.341B,5.284B,5.229B,5.169B,4.846B,1.999B,1.965B,1.936B,1.905B,1.869B,1.843B,1.816B,1.754B,,,2.702B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of Long Term Debt,54.02B,54.82B,54.34B,53.68B,50.18B,50.51B,49.86B,49.03B,49.04B,48.93B,46.04B,47.02B,45.58B,43.96B,39.93B,38.23B,36.84B,37.67B,36.80B,37.17B,37.06B,38.70B,38.71B,39.00B,38.15B,37.40B,37.36B,36.34B,36.35B,36.11B,18.45B,19.03B,18.68B,17.58B,17.69B,17.23B,17.94B,17.22B,16.28B,16.11B,15.41B,14.43B,14.57B,13.25B,12.70B,11.65B,10.08B,9.498B,9.937B,9.965B,9.624B,18.12B,18.68B,18.57B,14.60B,14.55B,15.06B,16.36B,16.93B,16.93B,17.10B,19.18B,20.03B,20.62B,22.49B,21.10B,20.48B,20.22B,19.58B,18.32B,18.32B,12.32B,12.13B,12.36B,12.27B,10.72B,10.58B,8.903B,8.962B,8.683B,8.092B,6.082B,6.164B,6.272B,6.614B,6.420B,6.750B,6.53B,6.01B,5.643B,3.588B,5.485B,3.604B,3.649B,3.714B,3.711B,3.695B,3.588B,3.573B,3.567B,3.407B,3.392B,3.246B
Long Term Cap Lease Obligation,2.401B,1.456B,1.502B,1.488B,941.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of LTD and Capital Lease Obligation,56.42B,56.27B,55.84B,55.17B,51.12B,50.51B,49.86B,49.03B,49.04B,48.93B,46.04B,47.02B,45.58B,43.96B,39.93B,38.23B,36.84B,37.67B,36.80B,37.17B,37.06B,38.70B,38.71B,39.00B,38.15B,37.40B,37.36B,36.34B,36.35B,36.11B,18.45B,19.03B,18.68B,17.58B,17.69B,17.23B,17.94B,17.22B,16.28B,16.11B,15.41B,14.43B,14.57B,13.25B,12.70B,11.65B,10.08B,9.498B,9.937B,9.965B,9.624B,18.12B,18.68B,18.57B,14.60B,14.55B,15.06B,16.36B,16.93B,16.93B,17.10B,19.18B,20.03B,20.62B,22.49B,21.10B,20.48B,20.22B,19.58B,18.32B,18.32B,12.32B,12.13B,12.36B,12.27B,10.72B,10.58B,8.903B,8.962B,8.683B,8.092B,6.082B,6.164B,6.272B,6.614B,6.420B,6.750B,6.53B,6.01B,5.643B,3.588B,5.485B,3.604B,3.649B,3.714B,3.711B,3.695B,3.588B,3.573B,3.567B,3.407B,3.392B,3.246B
Long Term Deferred Tax Liabilities,9.502B,9.355B,9.101B,8.611B,8.374B,8.304B,7.511B,7.392B,7.16B,15.59B,15.23B,14.98B,14.65B,13.69B,13.53B,13.32B,13.02B,14.42B,14.08B,14.34B,13.85B,13.42B,12.45B,12.29B,12.54B,11.94B,11.28B,10.97B,10.95B,10.78B,8.293B,8.107B,7.965B,7.843B,7.727B,7.40B,7.337B,6.557B,6.377B,5.925B,5.964B,6.037B,5.431B,5.265B,5.236B,5.18B,4.901B,4.912B,4.681B,4.246B,4.307B,7.178B,7.138B,7.302B,5.33B,5.397B,5.106B,5.81B,5.642B,5.382B,4.94B,4.474B,4.442B,4.285B,5.226B,5.328B,4.986B,5.01B,4.302B,4.878B,4.729B,4.496B,4.401B,4.554B,3.576B,4.062B,4.037B,3.883B,4.068B,3.627B,3.778B,3.768B,3.761B,3.975B,3.947B,3.933B,3.928B,3.945B,3.890B,3.868B,2.629B,3.819B,2.626B,2.638B,2.634B,2.644B,2.646B,2.637B,2.632B,2.621B,2.600B,2.554B,2.497B
Non-Current Deferred Liabilities,9.502B,9.355B,9.101B,8.611B,8.374B,8.304B,7.511B,7.392B,7.16B,15.59B,15.23B,14.98B,14.65B,13.69B,13.53B,13.32B,13.02B,14.42B,14.08B,14.34B,13.85B,13.42B,12.45B,12.29B,12.54B,11.94B,11.28B,10.97B,10.95B,10.78B,8.293B,8.107B,7.965B,7.843B,7.727B,7.40B,7.337B,6.557B,6.377B,5.925B,5.964B,6.037B,5.431B,5.265B,151.00M,154.00M,158.00M,161.00M,164.00M,168.00M,171.00M,175.00M,178.00M,226.00M,142.00M,144.00M,146.00M,149.00M,151.00M,154.00M,156.00M,159.00M,162.00M,165.00M,168.00M,171.00M,173.00M,176.00M,179.00M,182.00M,185.00M,189.00M,4.401B,4.554B,207.00M,211.00M,215.00M,218.00M,222.00M,225.00M,229.00M,232.00M,236.00M,242.00M,245.70M,249.50M,236.20M,238.90M,241.70M,244.50M,247.30M,250.10M,252.90M,255.70M,258.60M,261.30M,264.20M,267.00M,269.80M,272.60M,274.10M,276.90M,279.70M
Non-Current Accrued Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.542B,829.00M,846.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pension Liability,934.00M,900.00M,959.00M,974.00M,988.00M,1.001B,1.014B,1.018B,1.103B,1.105B,1.108B,1.115B,1.111B,1.03B,1.044B,1.077B,1.088B,1.13B,1.152B,1.17B,1.145B,1.231B,1.263B,1.27B,1.322B,1.743B,2.373B,2.38B,2.52B,,,,856.00M,,,,944.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minority Interest Ownership,1.129B,969.00M,119.00M,15.00M,17.00M,18.00M,8.00M,6.00M,-2.00M,11.00M,10.00M,7.00M,8.00M,57.00M,53.00M,49.00M,44.00M,36.00M,37.00M,36.00M,24.00M,41.00M,78.00M,80.00M,78.00M,72.00M,69.00M,77.00M,78.00M,90.00M,97.00M,97.00M,93.00M,105.00M,119.00M,122.00M,131.00M,136.00M,134.00M,136.00M,137.00M,134.00M,168.00M,163.00M,175.00M,189.00M,185.00M,181.00M,192.00M,191.00M,203.00M,805.00M,811.00M,745.00M,727.00M,749.00M,650.00M,1.925B,1.897B,1.486B,1.587B,1.674B,1.723B,1.701B,1.716B,1.884B,1.64B,1.904B,3.313B,4.403B,4.073B,3.653B,2.528B,2.462B,3.827B,3.841B,1.844B,2.521B,2.457B,2.604B,2.597B,1.442B,1.122B,1.172B,1.172B,791.50M,502.00M,507.30M,120.90M,67.40M,,83.40M,,,,,,,,,,,
Preferred Securities out of Shareholders Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.166B,1.408B,1.408B,,,,,1.407B,1.406B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Liabilities,1.581B,1.649B,1.583B,1.587B,1.65B,1.477B,1.457B,1.538B,1.581B,1.624B,1.651B,1.707B,1.753B,1.851B,1.73B,1.703B,1.631B,1.595B,1.588B,1.667B,1.675B,1.823B,1.723B,1.761B,1.749B,1.789B,2.106B,2.196B,2.221B,8.088B,4.801B,4.694B,1.778B,5.43B,5.421B,5.464B,1.632B,5.77B,9.075B,9.028B,6.239B,8.738B,8.678B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Long Term Liabilities,96.14B,95.12B,94.67B,93.81B,86.52B,86.23B,84.95B,83.74B,83.70B,83.86B,81.24B,81.98B,80.17B,77.06B,72.80B,70.88B,69.98B,70.65B,69.31B,69.15B,68.42B,69.95B,65.58B,65.51B,64.73B,64.11B,63.88B,62.67B,62.79B,62.46B,34.38B,34.64B,34.13B,32.76B,32.70B,31.93B,32.54B,31.30B,31.73B,31.07B,30.31B,29.21B,28.68B,18.52B,12.85B,11.80B,10.24B,9.659B,10.10B,10.13B,9.795B,18.29B,18.86B,18.80B,14.74B,14.69B,15.21B,16.51B,17.08B,17.09B,17.26B,19.34B,20.20B,20.79B,22.66B,22.43B,22.06B,21.80B,19.76B,18.50B,18.51B,12.51B,17.94B,18.32B,12.48B,10.93B,10.79B,9.121B,9.184B,8.908B,8.321B,6.314B,6.40B,6.514B,6.859B,6.669B,6.986B,6.769B,6.252B,5.888B,3.836B,5.735B,3.857B,3.905B,3.972B,3.973B,3.959B,3.855B,3.843B,3.840B,3.681B,3.669B,3.526B
Total Liabilities,110.89B,108.51B,108.12B,106.09B,101.56B,100.15B,97.74B,96.74B,96.18B,94.68B,93.71B,92.92B,91.72B,89.14B,82.71B,81.77B,81.38B,81.16B,78.96B,81.06B,79.66B,78.20B,74.29B,73.00B,73.37B,73.35B,73.90B,72.64B,72.82B,71.01B,40.52B,38.92B,39.66B,37.88B,37.09B,36.13B,36.44B,35.14B,35.58B,35.15B,34.03B,33.35B,32.20B,31.93B,31.26B,30.11B,28.05B,28.31B,27.76B,27.84B,27.39B,41.79B,42.98B,43.95B,34.14B,37.54B,36.64B,37.66B,37.39B,37.71B,37.73B,38.46B,39.52B,41.64B,42.27B,46.43B,46.17B,43.12B,45.25B,45.67B,43.37B,31.96B,35.19B,35.42B,36.68B,44.09B,37.78B,32.29B,24.50B,21.53B,20.15B,18.93B,18.31B,17.17B,16.65B,16.73B,15.48B,15.49B,15.38B,14.06B,7.846B,14.26B,7.791B,7.716B,7.732B,7.889B,7.683B,7.610B,7.583B,7.550B,7.286B,7.252B,7.042B
Total Capital Stock,1.963B,1.964B,974.00M,975.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,94.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,10.34B,10.45B,10.49B,10.51B,10.57B,11.39B,10.63B,10.63B,9.732B,9.653B,9.582B,9.546B,9.473B,9.393B,8.333B,8.416B,8.318B,6.451B,6.42B,6.379B,6.245B,5.044B,4.978B,4.961B,4.938B,4.883B,4.812B,4.835B,4.817B,4.762B,4.678B,4.658B,4.623B,4.773B,4.968B,4.977B,2.580B,4.973B,2.580B,2.611B,2.611B,2.611B,2.611B,2.705B,2.705B,2.706B,779.50M,2.706B,2.706B
Retained Earnings,4.108B,4.139B,3.502B,3.36B,3.113B,3.313B,2.894B,3.021B,3.013B,2.936B,2.607B,2.521B,2.384B,3.212B,2.627B,2.688B,2.564B,2.656B,2.294B,2.309B,2.012B,2.479B,1.768B,1.713B,2.363B,2.227B,1.223B,1.978B,1.889B,1.995B,1.598B,1.833B,1.873B,1.92B,1.448B,1.676B,1.496B,726.00M,1.589B,1.46B,1.428B,1.321B,1.655B,1.607B,1.567B,1.353B,1.574B,1.398B,1.447B,847.00M,1.098B,5.652B,5.67B,4.907B,5.405B,5.277B,5.014B,4.962B,5.149B,4.539B,4.435B,4.053B,4.121B,4.06B,6.336B,6.314B,6.387B,6.417B,6.716B,6.553B,6.475B,6.292B,6.354B,5.558B,5.569B,5.379B,5.283B,4.714B,4.588B,4.397B,4.786B,4.349B,4.463B,3.701B,3.680B,3.254B,3.374B,3.256B,3.310B,3.209B,3.049B,3.052B,2.994B,2.976B,2.934B,2.858B,2.883B,2.718B,2.694B,2.606B,,2.494B,2.476B
Additional Paid In Capital,40.88B,40.49B,40.88B,40.82B,40.80B,39.75B,39.68B,38.84B,38.79B,38.77B,38.76B,38.74B,38.74B,38.00B,37.98B,37.97B,37.97B,37.95B,37.93B,39.41B,39.40B,39.39B,39.39B,39.37B,39.36B,39.32B,39.28B,39.26B,39.28B,39.25B,21.14B,21.12B,21.13B,21.06B,21.04B,21.03B,21.02B,20.79B,20.70B,20.66B,20.57B,20.42B,20.29B,20.11B,19.99B,19.97B,19.95B,19.93B,19.90B,19.89B,19.87B,19.85B,19.78B,19.72B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred Stock,1.962B,1.963B,973.00M,974.00M,,,,,,,,,,,,,,,,,,,,,,,,,93.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.00M,134.00M,134.00M,134.00M,134.00M,134.00M,134.00M,134.00M,134.00M,157.00M,157.00M,157.00M,157.00M,232.00M,234.00M,234.00M,247.00M,247.00M,247.00M,247.00M,260.00M,280.00M,280.00M,280.00M,293.00M,313.00M,313.00M,313.00M,312.90M,332.90M,332.90M,489.00M,679.80M,679.80M,684.00M,684.00M,684.00M,684.00M,684.00M,684.00M,684.00M,778.00M,778.00M,779.50M,779.50M,779.50M,779.50M
Adjustments for Foreign Currency Translation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-171.00M,949.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Equity Adjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-162.00M,-354.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accrued Comprehensive Inc,-130.00M,-153.00M,-148.00M,-128.00M,-92.00M,-66.00M,-70.00M,-69.00M,-67.00M,-80.00M,-82.00M,-85.00M,-93.00M,-721.00M,-717.00M,-766.00M,-806.00M,-778.00M,-648.00M,-672.00M,-543.00M,-456.00M,-355.00M,-377.00M,-399.00M,-380.00M,-376.00M,-289.00M,-306.00M,-340.00M,-320.00M,-174.00M,-234.00M,-188.00M,89.00M,30.00M,2.00M,-389.00M,-373.00M,-372.00M,-387.00M,-521.00M,-730.00M,-726.00M,-230.00M,-27.00M,-115.00M,-133.00M,-276.00M,-319.00M,-333.00M,595.00M,1.05B,1.047B,807.00M,716.00M,540.00M,944.00M,899.00M,650.00M,360.00M,10.00M,259.00M,169.00M,148.00M,5.00M,-421.00M,-709.00M,-763.00M,150.00M,307.00M,180.00M,-26.00M,403.00M,-1.36B,-120.00M,-62.00M,-50.00M,-3.00M,-2.00M,,,,,,,,,,,,,,,,,,,,,4.552B,,
Shareholders Equity,46.82B,46.44B,45.21B,45.03B,43.82B,43.00B,42.51B,41.79B,41.74B,41.63B,41.28B,41.18B,41.03B,40.49B,39.90B,39.89B,39.73B,39.83B,39.58B,41.05B,40.88B,41.41B,40.80B,40.71B,41.33B,41.16B,40.13B,40.95B,40.96B,40.90B,22.42B,22.78B,22.77B,22.79B,22.58B,22.73B,22.52B,21.13B,21.91B,21.75B,21.61B,21.23B,21.21B,20.99B,21.33B,21.30B,21.41B,21.20B,21.07B,20.42B,20.63B,26.10B,26.50B,25.67B,16.55B,16.44B,16.05B,16.42B,16.62B,16.58B,15.42B,14.69B,14.11B,13.88B,16.07B,15.86B,15.44B,15.10B,14.29B,15.12B,15.10B,12.92B,12.75B,12.34B,10.45B,10.30B,10.20B,9.625B,9.523B,9.278B,9.598B,9.184B,9.28B,8.463B,8.358B,7.912B,7.997B,8.029B,8.278B,8.186B,5.629B,8.025B,5.574B,5.587B,5.545B,5.469B,5.494B,5.423B,5.399B,5.312B,5.332B,5.201B,5.182B
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
