Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12
Payables and Accrued Expenses,3.747B,5.212B,4.688B,4.958B,4.524B,4.856B,4.726B,4.486B,3.252B,4.743B,4.35B,4.365B,3.417B,4.696B,4.79B,4.678B,3.452B,4.162B,3.824B,3.667B,3.386B,3.919B,3.769B,3.664B,3.206B,3.665B,3.732B,3.833B,3.687B,2.184B,2.359B,2.384B,3.933B,2.328B,2.219B,2.374B,1.627B,2.352B,2.271B,2.247B,2.03B,2.245B,2.162B,2.165B,2.03B,2.03B,1.993B,1.906B,2.163B,1.964B,2.137B,2.099B,2.221B,1.933B,3.454B,1.95B,1.998B,1.854B,1.933B,1.818B,1.726B,1.547B,1.522B,1.611B,1.434B,1.298B,3.933B,1.086B,1.209B,1.107B,1.149B,1.171B,1.482B,924.00M,1.007B,7.202B,1.625B,1.033B,1.037B,970.00M,1.228B,1.365B,1.47B,1.555B,1.935B,1.738B,1.485B,1.684B,1.598B,1.724B,1.822B,2.187B,2.219B,1.839B,1.569B,1.016B,1.079B,1.309B,1.119B,1.307B,1.392B
Notes Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901.00M,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,1.25B,900.00M,900.00M,1.30B,1.50B,1.24B,750.00M,750.00M,750.00M,,,,,,502.00M,956.00M,956.00M,952.00M,452.00M,,,,,,,,,150.00M,150.00M,150.00M,150.00M,,,500.00M,,,,,,,,242.00M,242.00M,242.00M,242.00M,1.00M,1.001B,104.00M,104.00M,104.00M,105.00M,17.00M,34.00M,41.00M,41.00M,219.00M,202.00M,208.00M,208.00M,15.00M,15.00M,,,121.00M,136.00M,150.00M,164.00M,607.00M,1.365B,763.00M,762.00M,368.00M,89.00M,77.00M,275.00M,901.00M,882.00M,882.00M,811.00M,293.00M,527.00M,1.57B,1.05B,2.047B,1.929B,1.772B,2.177B,1.717B,1.37B,1.859B,1.775B,1.359B,1.29B,963.00M,1.673B,598.00M,722.00M,715.00M,892.00M,281.00M,285.00M
Current Debt & Capital Lease Obligation,1.25B,900.00M,900.00M,1.30B,1.50B,1.24B,750.00M,750.00M,750.00M,,,,,,502.00M,956.00M,956.00M,952.00M,452.00M,,,,,,,,,150.00M,150.00M,150.00M,150.00M,,,500.00M,,,,,,,,242.00M,242.00M,242.00M,242.00M,1.00M,1.001B,104.00M,104.00M,104.00M,105.00M,17.00M,34.00M,41.00M,41.00M,219.00M,202.00M,208.00M,208.00M,15.00M,15.00M,,,121.00M,136.00M,150.00M,164.00M,607.00M,1.365B,763.00M,762.00M,368.00M,89.00M,77.00M,275.00M,901.00M,882.00M,882.00M,811.00M,293.00M,527.00M,1.57B,1.05B,2.047B,1.929B,1.772B,2.177B,1.717B,1.37B,1.859B,1.775B,1.359B,1.29B,963.00M,1.673B,598.00M,722.00M,715.00M,892.00M,281.00M,285.00M
Current Deferred Revenue,7.054B,6.777B,6.766B,6.796B,6.491B,6.489B,6.413B,6.55B,7.028B,6.195B,6.46B,6.572B,6.776B,6.83B,7.236B,6.856B,6.703B,5.339B,5.549B,5.548B,5.775B,5.904B,6.199B,6.197B,6.349B,6.35B,6.383B,6.406B,6.503B,6.396B,6.287B,6.148B,6.399B,5.544B,6.037B,5.844B,5.89B,5.06B,5.18B,5.274B,5.049B,4.934B,4.795B,4.902B,4.535B,4.313B,,,4.212B,,,,3.856B,,,,4.331B,,,,4.028B,,,,4.256B,,,,4.542B,,,,5.002B,,,,4.697B,,,4.419B,,,4.263B,4.329B,4.012B,4.308B,4.066B,3.907B,3.644B,3.347B,3.341B,2.79B,2.60B,1.536B,1.944B,1.416B,1.57B,1.38B,1.337B,1.488B,1.872B
Current Deferred Liabilities,7.054B,6.777B,6.766B,6.796B,6.491B,6.489B,6.413B,6.55B,7.028B,6.195B,6.46B,6.572B,6.776B,6.83B,7.236B,6.856B,6.703B,5.339B,5.549B,5.548B,5.775B,5.904B,6.199B,6.197B,6.349B,6.35B,6.383B,6.406B,6.503B,6.396B,6.287B,6.148B,6.399B,5.544B,6.037B,5.844B,5.89B,5.06B,5.18B,5.274B,5.049B,4.934B,4.795B,4.902B,4.535B,4.313B,,,4.212B,,,,3.856B,,,,4.331B,,,,4.028B,,,,4.256B,,,,4.542B,,,,5.002B,,,197.00M,4.697B,,,4.419B,,,4.263B,4.329B,4.012B,4.308B,4.066B,3.907B,3.644B,3.347B,3.341B,2.79B,2.60B,1.536B,1.944B,1.416B,1.57B,1.38B,1.337B,1.488B,1.872B
Current Deferred Tax Liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.00M,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Liability,1.921B,2.626B,2.778B,2.349B,1.883B,2.619B,1.992B,2.188B,1.883B,2.146B,2.831B,2.66B,2.349B,2.899B,3.067B,2.422B,2.807B,2.527B,2.799B,2.352B,1.951B,2.31B,2.179B,2.134B,1.565B,2.278B,2.138B,2.236B,1.815B,2.213B,1.804B,2.055B,1.798B,1.972B,1.981B,2.404B,2.014B,2.336B,2.71B,2.406B,1.976B,2.377B,2.378B,2.452B,2.051B,2.52B,8.262B,7.864B,2.014B,7.823B,8.322B,7.804B,1.858B,8.409B,6.408B,7.598B,1.422B,7.472B,7.608B,7.309B,1.451B,7.026B,6.614B,7.17B,1.649B,6.864B,4.366B,7.22B,1.433B,8.387B,8.187B,8.13B,2.016B,8.816B,7.826B,1.931B,2.12B,8.422B,7.683B,1.679B,7.057B,6.799B,1.348B,1.525B,1.549B,1.373B,1.472B,1.784B,1.653B,1.42B,1.489B,1.711B,1.572B,2.673B,2.292B,1.486B,1.246B,1.747B,1.833B,1.628B,1.319B
Total Current Liabilities,13.97B,15.52B,15.13B,15.40B,14.40B,15.20B,13.88B,13.97B,12.91B,13.08B,13.64B,13.60B,12.54B,14.42B,15.60B,14.91B,13.92B,12.98B,12.62B,11.57B,11.11B,12.13B,12.15B,12.00B,11.12B,12.29B,12.25B,12.62B,12.16B,12.67B,12.27B,12.21B,12.13B,12.14B,12.06B,12.43B,11.40B,11.64B,11.86B,11.57B,10.70B,11.58B,11.29B,11.36B,10.54B,10.53B,11.26B,9.874B,10.04B,9.891B,10.56B,9.92B,9.553B,10.38B,9.903B,9.767B,9.428B,9.534B,9.749B,9.142B,8.566B,8.573B,8.136B,8.902B,8.893B,8.312B,8.463B,8.913B,9.821B,10.26B,10.10B,9.669B,9.689B,9.817B,9.108B,10.23B,10.30B,10.34B,9.531B,8.297B,8.812B,9.734B,9.073B,10.39B,10.27B,10.12B,10.20B,10.01B,9.189B,9.426B,9.473B,9.141B,8.672B,8.044B,8.319B,5.229B,5.184B,5.969B,6.003B,5.576B,5.635B
Non-Current Portion of Long Term Debt,11.40B,12.65B,12.64B,12.62B,12.60B,13.49B,13.48B,13.47B,13.51B,14.27B,14.28B,14.28B,14.28B,14.30B,14.31B,14.32B,14.30B,7.46B,7.95B,8.404B,6.142B,6.165B,6.169B,6.152B,6.152B,6.156B,6.14B,6.154B,6.158B,6.374B,6.343B,6.472B,6.46B,6.538B,5.031B,5.023B,5.019B,5.019B,5.019B,5.053B,5.052B,3.563B,3.563B,3.563B,3.563B,3.804B,3.803B,4.803B,4.303B,4.303B,4.302B,4.405B,4.405B,4.403B,4.746B,4.762B,4.784B,4.874B,4.874B,5.104B,5.104B,6.07B,6.07B,6.072B,6.072B,6.073B,6.075B,6.201B,6.217B,6.693B,6.687B,7.093B,7.422B,7.639B,8.517B,9.029B,9.065B,10.96B,10.65B,11.41B,11.43B,10.46B,9.984B,8.788B,8.957B,10.18B,10.18B,10.49B,10.53B,9.388B,9.376B,9.889B,10.19B,11.08B,11.09B,3.003B,3.01B,2.892B,2.894B,3.596B,3.594B
Non-Current Portion of LTD and Capital Lease Obligation,11.40B,12.65B,12.64B,12.62B,12.60B,13.49B,13.48B,13.47B,13.51B,14.27B,14.28B,14.28B,14.28B,14.30B,14.31B,14.32B,14.30B,7.46B,7.95B,8.404B,6.142B,6.165B,6.169B,6.152B,6.152B,6.156B,6.14B,6.154B,6.158B,6.374B,6.343B,6.472B,6.46B,6.538B,5.031B,5.023B,5.019B,5.019B,5.019B,5.053B,5.052B,3.563B,3.563B,3.563B,3.563B,3.804B,3.803B,4.803B,4.303B,4.303B,4.302B,4.405B,4.405B,4.403B,4.746B,4.762B,4.784B,4.874B,4.874B,5.104B,5.104B,6.07B,6.07B,6.072B,6.072B,6.073B,6.075B,6.201B,6.217B,6.693B,6.687B,7.093B,7.422B,7.639B,8.517B,9.029B,9.065B,10.96B,10.65B,11.41B,11.43B,10.46B,9.984B,8.788B,8.957B,10.18B,10.18B,10.49B,10.53B,9.388B,9.376B,9.889B,10.19B,11.08B,11.09B,3.003B,3.01B,2.892B,2.894B,3.596B,3.594B
Long Term Deferred Tax Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950.00M,965.00M,986.00M,992.00M,679.00M,682.00M,676.00M,790.00M,998.00M,,,517.00M,,,,,,,,,,,,,,,,,,,,
Non-Current Deferred Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950.00M,965.00M,986.00M,992.00M,679.00M,682.00M,676.00M,790.00M,998.00M,,,517.00M,,,,,,,,,,,,,,,,,,,,
Non-Current Accrued Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.97B,12.78B,13.19B,,9.979B,10.72B,10.83B,10.61B,10.51B,,,10.82B,,,,12.00B,,,,1.192B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pension Liability,13.57B,12.11B,12.11B,12.12B,12.11B,11.39B,12.90B,14.91B,16.42B,14.86B,14.82B,14.77B,14.72B,12.94B,12.89B,12.87B,12.88B,12.46B,12.48B,12.50B,12.52B,10.46B,10.95B,10.34B,10.26B,15.35B,15.98B,16.62B,16.50B,1.245B,1.267B,1.281B,14.78B,1.254B,1.24B,1.227B,1.213B,1.292B,12.50B,12.51B,1.308B,14.26B,13.97B,13.68B,1.386B,2.511B,,,928.00M,,,,4.521B,,,,3.374B,,,,2.896B,,,,2.54B,,,,3.352B,,,,1.565B,,,,1.647B,,,1.807B,,,1.872B,1.887B,1.903B,1.958B,1.941B,1.958B,1.993B,1.963B,2.049B,2.115B,2.077B,2.526B,2.502B,1.667B,1.795B,1.77B,1.762B,1.771B,1.756B
Minority Interest Ownership,44.00M,44.00M,46.00M,57.00M,55.00M,59.00M,63.00M,71.00M,74.00M,77.00M,84.00M,102.00M,95.00M,107.00M,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Liabilities,5.41B,5.058B,5.061B,5.022B,4.311B,4.411B,4.384B,4.386B,4.548B,4.563B,4.619B,4.609B,4.659B,4.638B,4.62B,4.877B,4.902B,3.908B,3.815B,3.763B,3.877B,3.604B,3.668B,3.632B,3.735B,3.827B,3.875B,3.88B,3.807B,3.625B,3.529B,3.613B,3.541B,3.329B,3.383B,3.38B,3.376B,3.178B,3.123B,3.122B,3.096B,3.194B,3.146B,3.105B,3.079B,2.701B,5.068B,5.105B,2.661B,8.165B,7.789B,7.50B,2.868B,6.224B,6.129B,5.974B,2.291B,5.216B,4.884B,5.191B,1.967B,4.761B,5.00B,4.825B,1.914B,4.197B,4.166B,4.062B,1.724B,3.319B,3.187B,3.17B,1.543B,3.23B,3.251B,3.314B,1.462B,2.892B,3.272B,1.613B,3.144B,3.235B,1.482B,1.478B,1.48B,1.491B,1.501B,1.477B,1.475B,1.146B,1.17B,1.13B,1.747B,1.434B,1.509B,1.127B,1.136B,1.48B,1.557B,837.00M,978.00M
Total Long Term Liabilities,30.38B,29.82B,29.81B,29.76B,29.03B,29.29B,30.76B,32.77B,34.48B,33.69B,33.72B,33.65B,33.66B,31.88B,31.82B,32.07B,32.29B,23.82B,24.24B,24.66B,22.53B,20.23B,20.78B,20.12B,20.15B,25.34B,26.00B,26.65B,26.46B,24.21B,23.91B,24.56B,24.78B,21.10B,20.37B,20.46B,20.22B,20.00B,20.65B,20.69B,20.28B,21.02B,20.68B,20.35B,20.03B,9.016B,8.871B,9.908B,9.084B,12.47B,12.09B,11.90B,11.79B,10.63B,10.88B,10.74B,10.45B,10.09B,9.758B,10.30B,9.967B,10.83B,11.07B,10.90B,10.53B,10.27B,10.24B,10.26B,11.29B,10.96B,10.84B,11.25B,11.52B,11.55B,12.45B,13.02B,12.96B,14.85B,13.92B,14.83B,15.09B,13.70B,13.34B,12.15B,12.34B,13.63B,13.62B,13.93B,14.00B,12.50B,12.60B,13.13B,14.01B,15.04B,15.10B,5.797B,5.941B,6.142B,6.213B,6.204B,6.328B
Total Liabilities,44.36B,45.34B,44.94B,45.16B,43.43B,44.49B,44.65B,46.74B,47.40B,46.77B,47.36B,47.25B,46.20B,46.31B,47.41B,46.98B,46.21B,36.80B,36.87B,36.23B,33.65B,32.36B,32.93B,32.12B,31.27B,37.63B,38.25B,39.28B,38.62B,36.88B,36.18B,36.77B,36.91B,33.24B,32.43B,32.89B,31.62B,31.63B,32.50B,32.26B,30.98B,32.60B,31.97B,31.71B,30.57B,19.55B,20.13B,19.78B,19.12B,22.36B,22.66B,21.82B,21.35B,21.01B,20.78B,20.50B,19.88B,19.62B,19.51B,19.44B,18.53B,19.40B,19.21B,19.80B,19.42B,18.58B,18.70B,19.18B,21.11B,21.22B,20.94B,20.92B,21.21B,21.36B,21.56B,23.25B,23.27B,25.19B,23.45B,23.13B,23.90B,23.43B,22.41B,22.54B,22.61B,23.75B,23.82B,23.94B,23.18B,21.92B,22.07B,22.28B,22.68B,23.08B,23.42B,11.03B,11.12B,12.11B,12.22B,11.78B,11.96B
Total Capital Stock,280.00M,281.00M,281.00M,281.00M,281.00M,283.00M,283.00M,284.00M,284.00M,285.00M,286.00M,288.00M,289.00M,291.00M,301.00M,303.00M,303.00M,306.00M,309.00M,313.00M,314.00M,314.00M,315.00M,315.00M,319.00M,318.00M,319.00M,318.00M,321.00M,321.00M,322.00M,322.00M,321.00M,321.00M,333.00M,345.00M,346.00M,358.00M,360.00M,369.00M,373.00M,378.00M,382.00M,386.00M,393.00M,398.00M,394.00M,400.00M,409.00M,411.00M,412.00M,417.00M,421.00M,422.00M,422.00M,430.00M,432.00M,434.00M,441.00M,441.00M,438.00M,440.00M,443.00M,447.00M,446.00M,451.00M,450.00M,450.00M,455.00M,455.00M,454.00M,448.00M,441.00M,438.00M,435.00M,434.00M,431.00M,430.00M,402.00M,400.00M,398.00M,394.00M,393.00M,392.00M,393.00M,195.00M,195.00M,195.00M,194.00M,1.194B,1.193B,1.193B,1.193B,1.201B,1.199B,1.199B,1.199B,1.199B,1.20B,1.20B,1.199B
Retained Earnings,18.40B,17.26B,16.41B,16.28B,15.43B,14.74B,14.53B,14.12B,11.40B,13.17B,12.62B,13.09B,13.32B,13.02B,13.80B,14.13B,14.24B,13.83B,14.13B,14.92B,14.96B,14.12B,13.99B,13.92B,14.20B,13.69B,13.42B,13.27B,13.21B,12.70B,12.73B,12.28B,11.94B,11.19B,11.63B,12.27B,12.16B,12.15B,11.99B,12.27B,12.35B,11.88B,11.55B,11.58B,11.62B,11.24B,10.76B,10.80B,11.25B,10.60B,10.30B,9.842B,9.269B,8.541B,8.06B,7.737B,7.278B,6.84B,6.523B,6.174B,5.915B,5.654B,5.445B,5.247B,5.054B,4.808B,4.645B,4.458B,4.262B,4.659B,4.419B,4.131B,3.961B,5.517B,5.352B,5.256B,5.199B,5.161B,5.909B,5.911B,5.901B,5.695B,5.565B,5.69B,5.864B,5.812B,5.572B,5.357B,5.173B,6.482B,6.237B,6.021B,5.823B,5.443B,5.223B,5.025B,4.838B,4.608B,4.399B,4.537B,4.47B
Additional Paid In Capital,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00M,4.00M,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,,330.00M,755.00M,786.00M,836.00M,1.404B,1.724B,1.85B,2.327B,2.383B,2.223B,2.365B,2.366B,2.544B,2.477B,2.652B,2.608B,2.573B,2.796B,2.799B,2.697B,2.426B,2.142B,2.017B,1.917B,1.86B,1.789B,1.669B,307.00M,266.00M,222.00M,187.00M,146.00M,95.00M,70.00M,194.00M,169.00M,91.00M,25.00M,202.00M,132.00M,117.00M,92.00M,808.00M,761.00M,711.00M,683.00M,741.00M,766.00M,750.00M,734.00M
Preferred Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00B,1.00B,1.00B,1.00B,1.00B,1.00B,1.00B,1.00B,1.00B,1.00B,1.00B,1.00B
Accrued Comprehensive Inc,-15.55B,-13.65B,-13.84B,-14.09B,-14.32B,-14.08B,-14.40B,-14.59B,-12.54B,-11.36B,-11.64B,-11.89B,-12.10B,-10.99B,-11.10B,-11.25B,-11.44B,-11.32B,-11.46B,-11.72B,-11.87B,-9.864B,-9.984B,-9.437B,-9.601B,-12.74B,-13.04B,-13.28B,-13.49B,-10.58B,-10.86B,-11.03B,-11.26B,-8.567B,-8.671B,-8.828B,-9.01B,-8.59B,-8.614B,-8.608B,-8.595B,-9.119B,-9.109B,-9.15B,-9.149B,-1.833B,-1.816B,-1.838B,-1.851B,-3.588B,-3.557B,-3.561B,-3.561B,-1.666B,-1.66B,-1.635B,-1.553B,-1.391B,-1.405B,-1.557B,-1.532B,-1.219B,-1.22B,-1.214B,-1.204B,-1.613B,-1.612B,-1.642B,-1.598B,-213.00M,-176.00M,-144.00M,-17.00M,-140.00M,-294.00M,-290.00M,-144.00M,-178.00M,-179.00M,40.00M,-160.00M,-150.00M,33.00M,41.00M,-8.00M,,,,,,,,,,,,,,,,
Shareholders Equity,3.127B,3.893B,2.85B,2.465B,1.394B,943.00M,416.00M,-182.00M,-850.00M,2.098B,1.265B,1.483B,1.511B,2.323B,2.997B,3.177B,3.097B,2.813B,2.982B,3.52B,3.40B,4.574B,4.319B,4.80B,4.918B,1.277B,694.00M,304.00M,39.00M,2.442B,2.204B,1.573B,1.001B,2.943B,3.288B,3.791B,3.497B,3.918B,3.734B,4.028B,4.129B,3.14B,2.82B,2.819B,2.865B,9.808B,9.334B,9.367B,9.805B,7.428B,7.159B,7.028B,6.884B,8.083B,7.658B,7.936B,7.867B,7.733B,7.886B,7.441B,7.021B,7.24B,7.034B,7.024B,6.756B,6.298B,6.091B,5.839B,5.865B,7.70B,7.394B,6.861B,6.443B,7.832B,7.41B,7.26B,7.16B,7.082B,6.439B,6.475B,6.361B,6.126B,5.971B,6.053B,6.137B,6.008B,5.736B,5.436B,5.176B,7.654B,7.33B,7.092B,6.856B,7.189B,6.912B,6.656B,6.433B,6.255B,6.059B,6.178B,6.086B
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,,,,AOR,AOR,,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,AOR
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,Restated,,,,Restated,,,,Restated,,,,Restated,,,,Restated,,,,Restated,,,,Restated,,,,,,,Restated,Restated,,,,Restated,,,,Restated,,,,Restated,,,,Restated
