Total Dividends Paid,-675.00M,-621.00M,-622.00M,-638.00M,-622.00M,-569.00M,-570.00M,-586.00M,-572.00M,-522.00M,-525.00M,-544.00M,-530.00M,-484.00M,-501.00M,-533.00M,-505.00M,-462.00M,-467.00M,-498.00M,-474.00M,-421.00M,-421.00M,-444.00M,-428.00M,-370.00M,-371.00M,-371.00M,-373.00M,-326.00M,-326.00M,-327.00M,-325.00M,-246.00M,-258.00M,-266.00M,-269.00M,-229.00M,-233.00M,-238.00M,-240.00M,-219.00M,-222.00M,-227.00M,-227.00M,-170.00M,-168.00M,-172.00M,-175.00M,-145.00M,-295.00M,,-149.00M,-128.00M,-129.00M,-132.00M,-130.00M,-110.00M,-112.00M,-110.00M,-111.00M,-98.00M,-98.00M,-98.00M,-98.00M,-54.00M,-55.00M,-54.00M,-50.00M,-50.00M,-51.00M,-48.00M,-48.00M,-48.00M,-48.00M,-48.00M,-51.00M,-44.00M,-44.00M,-44.00M,-87.00M,-87.00M,-84.00M,-87.00M,-81.00M,-76.00M,-75.00M,-78.00M,-82.00M,-86.00M,-92.00M,-92.00M,-85.00M,-91.00M,-101.00M,-85.00M,-86.00M,-73.00M,-85.00M,-70.00M,-58.00M,-74.00M,-76.00M,-66.00M
Proceeds from Stock Option Exercised,,,,,,,,,,,-31.00M,31.00M,-75.00M,22.00M,25.00M,28.00M,48.00M,42.00M,19.00M,65.00M,30.00M,55.00M,26.00M,197.00M,78.00M,360.00M,334.00M,55.00M,103.00M,102.00M,76.00M,159.00M,35.00M,21.00M,60.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Other Financing Activities,-12.00M,8.00M,0.00,-68.00M,-12.00M,-6.00M,-17.00M,-128.00M,-27.00M,-27.00M,21.00M,-108.00M,68.00M,1.77B,-47.00M,-152.00M,25.00M,17.00M,-36.00M,-1.00M,11.00M,-13.00M,14.00M,26.00M,-66.00M,-22.00M,0.00,7.00M,-237.00M,15.00M,19.00M,37.00M,-2.00M,-49.00M,-9.00M,12.00M,19.00M,0.00,-47.00M,,105.00M,-13.00M,13.00M,,-239.00M,47.00M,43.00M,491.00M,22.00M,102.00M,,,129.00M,-353.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.00M,-51.00M,,,,,,,,,,,,,,,,,,
Cash from Financing,-2.077B,-823.00M,-1.241B,-1.187B,-1.94B,-301.00M,-897.00M,-1.014B,-1.10B,-1.049B,-1.035B,-1.121B,-1.353B,530.00M,-1.476B,-1.158B,5.749B,-1.226B,-1.421B,1.175B,-657.00M,-825.00M,-505.00M,-1.327B,-645.00M,-639.00M,-652.00M,-770.00M,-789.00M,-494.00M,-412.00M,-373.00M,-1.072B,702.00M,-1.249B,-525.00M,-1.102B,-536.00M,-990.00M,-730.00M,550.00M,-600.00M,-672.00M,-710.00M,-810.00M,-1.406B,-920.00M,-802.00M,-437.00M,-396.00M,-866.00M,-601.00M,-288.00M,-618.00M,-924.00M,-630.00M,-454.00M,-647.00M,-277.00M,-133.00M,-1.344B,-247.00M,-480.00M,-95.00M,-314.00M,-187.00M,-615.00M,-960.00M,-118.00M,-15.00M,115.00M,95.00M,-235.00M,-1.123B,-1.165B,-34.00M,-2.087B,-65.00M,-286.00M,-290.00M,-166.00M,915.00M,122.00M,-140.00M,-1.117B,-473.00M,30.00M,269.00M,-963.00M,39.00M,-159.00M,-310.00M,-494.00M,-789.00M,7.225B,-202.00M,-48.00M,-297.00M,-190.00M,-44.00M,-361.00M,-69.00M,-95.00M,-193.00M
Beginning Cash,2.539B,1.167B,991.00M,772.00M,897.00M,1.181B,2.393B,2.861B,2.941B,2.452B,2.216B,1.837B,2.895B,1.269B,1.452B,1.09B,3.30B,3.202B,3.486B,1.446B,2.963B,3.436B,3.264B,2.617B,2.661B,2.845B,3.065B,1.898B,4.652B,3.802B,3.518B,3.582B,4.564B,3.268B,3.357B,2.261B,2.656B,2.722B,3.288B,2.391B,2.709B,2.672B,2.384B,2.168B,2.463B,3.214B,2.799B,2.648B,3.094B,3.008B,2.778B,1.912B,2.288B,2.956B,2.682B,2.244B,3.14B,3.062B,2.727B,1.06B,2.823B,2.243B,2.124B,1.01B,1.835B,1.909B,2.09B,2.738B,3.49B,2.429B,1.367B,912.00M,1.801B,1.222B,2.389B,1.505B,1.938B,1.249B,533.00M,455.00M,0.00,0.00,43.00M,285.00M,183.00M,,0.00,0.00,110.00M,0.00,,,323.00M,390.00M,156.00M,653.00M,122.00M,247.00M,513.00M,639.00M,1.026B,410.00M,546.00M,366.00M
Change in Cash,-1.025B,1.372B,176.00M,219.00M,-125.00M,-284.00M,-1.212B,-468.00M,-80.00M,489.00M,236.00M,379.00M,-1.058B,1.626B,-183.00M,362.00M,-2.21B,98.00M,-284.00M,2.04B,-1.517B,-473.00M,172.00M,647.00M,-44.00M,-184.00M,-220.00M,1.167B,-2.754B,850.00M,284.00M,-64.00M,-982.00M,1.296B,-89.00M,1.096B,-394.00M,-86.00M,-561.00M,911.00M,-294.00M,45.00M,256.00M,216.00M,-257.00M,-728.00M,412.00M,149.00M,-449.00M,86.00M,230.00M,866.00M,-394.00M,-668.00M,274.00M,438.00M,-896.00M,78.00M,335.00M,1.667B,-1.763B,580.00M,119.00M,1.114B,-825.00M,-74.00M,-181.00M,-648.00M,-752.00M,1.061B,1.062B,455.00M,-889.00M,579.00M,-1.167B,884.00M,-433.00M,689.00M,716.00M,78.00M,455.00M,0.00,-43.00M,-242.00M,102.00M,183.00M,,,-110.00M,110.00M,,,-323.00M,-67.00M,234.00M,-497.00M,531.00M,-125.00M,-266.00M,-126.00M,-387.00M,616.00M,-136.00M,180.00M
Cash Foreign Exchange Adjustment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.00M,20.00M,-5.00M,-14.00M,-24.00M,-8.00M,32.00M,0.00,-38.00M,-23.00M,3.00M,2.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ending Cash,1.514B,2.539B,1.167B,991.00M,772.00M,897.00M,1.181B,2.393B,2.861B,2.941B,2.452B,2.216B,1.837B,2.895B,1.269B,1.452B,1.09B,3.30B,3.202B,3.486B,1.446B,2.963B,3.436B,3.264B,2.617B,2.661B,2.845B,3.065B,1.898B,4.652B,3.802B,3.518B,3.582B,4.564B,3.268B,3.357B,2.261B,2.656B,2.722B,3.288B,2.391B,2.709B,2.672B,2.384B,2.168B,2.463B,3.214B,2.799B,2.648B,3.094B,3.008B,2.778B,1.912B,2.288B,2.956B,2.682B,2.244B,3.14B,3.062B,2.727B,1.06B,2.823B,2.243B,2.124B,1.01B,1.835B,1.909B,2.09B,2.738B,3.49B,2.429B,1.367B,912.00M,1.801B,1.222B,2.389B,1.505B,1.938B,1.249B,533.00M,455.00M,0.00,0.00,43.00M,285.00M,183.00M,,0.00,0.00,110.00M,0.00,,0.00,323.00M,390.00M,156.00M,653.00M,122.00M,247.00M,513.00M,639.00M,1.026B,410.00M,546.00M
Issuance of Capital Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.00M,43.00M,-57.00M,12.00M,21.00M,24.00M,-48.00M,25.00M,7.00M,16.00M,-242.00M,125.00M,53.00M,64.00M,38.00M,58.00M,105.00M,149.00M,-61.00M,180.00M,117.00M,391.00M,88.00M,31.00M,176.00M,111.00M,90.00M,38.00M,18.00M,18.00M,4.00M,18.00M,12.00M,10.00M,5.00M,46.00M,184.00M,201.00M,90.00M,59.00M,21.00M,43.00M,8.00M,4.00M,1.00M,1.00M,0.00,2.00M,7.00M,8.00M,33.00M,8.00M,16.00M,34.00M,39.00M,29.00M,42.00M,,97.00M,-50.00M,36.00M,14.00M,61.00M,-26.00M,7.00M,19.00M,32.00M,-11.00M,2.00M,9.00M
Issuance of Debt,,,,,,,,,0.00,0.00,,,,,,,12.89B,0.00,0.00,2.213B,0.00,0.00,0.00,0.00,,,,,,,,,0.00,1.98B,,,0.00,0.00,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debt Repayment,-1.50B,600.00M,-400.00M,-200.00M,-750.00M,,0.00,0.00,,,,,0.00,-500.00M,-452.00M,,-6.00B,0.00,0.00,,,,,,0.00,0.00,-150.00M,,0.00,0.00,0.00,,,,,,,,,,,,,,0.00,-1.00B,-103.00M,,0.00,-32.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Repurchase of Capital Stock,-490.00M,-210.00M,-219.00M,-281.00M,-666.00M,-216.00M,-310.00M,-300.00M,-501.00M,-500.00M,-500.00M,-500.00M,-816.00M,-278.00M,-501.00M,-501.00M,-707.00M,-823.00M,-937.00M,-604.00M,-224.00M,-446.00M,-124.00M,-1.106B,-229.00M,-607.00M,-465.00M,-461.00M,-282.00M,-285.00M,-181.00M,-242.00M,-148.00M,-1.004B,-999.00M,-314.00M,-854.00M,-319.00M,-731.00M,-516.00M,-489.00M,-393.00M,-470.00M,-499.00M,-593.00M,-408.00M,-745.00M,-1.185B,-322.00M,-411.00M,-661.00M,-733.00M,-197.00M,-317.00M,-718.00M,-883.00M,-306.00M,-568.00M,-302.00M,-134.00M,-208.00M,-187.00M,-278.00M,,-203.00M,0.00,0.00,-279.00M,,,,,,,,,,,,,,,,,-51.00M,51.00M,-51.00M,,-1.571B,0.00,0.00,,,,,,,,,,,,,
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,,,,AOR,AOR,,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,Restated,,,,Restated,,,,Restated,,,,Restated,,,,Restated,,,,Restated,,,,Restated,,,,,,,Restated,Restated,,,,Restated,,,,Restated,,,,Restated,,,,Restated,,,
