Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
EPS Basic,5.32,5.70,5.03,6.03,4.43,5.18,4.08,4.05,-2.25,3.35,3.31,2.72,3.39,8.02,3.37,2.95,3.05,2.80,2.98,2.78,2.87,2.81,2.81,2.92,1.53,2.72,2.68,2.37,1.76,2.25,2.41,2.06,2.11,2.12,2.16,1.52,2.68,1.56,2.24,1.43,2.06,2.09,1.90,1.69,2.08,1.97,2.21,1.80,1.94,1.85,1.87,1.64,1.72,1.48,1.35,1.36,1.31,0.97,1.03,0.84,0.84,0.69,0.67,0.66,0.77,0.49,0.54,0.56,-0.78,0.65,0.76,0.50,-3.54,0.50,0.34,0.25,0.25,-1.74,0.11,0.14,0.77,0.57,-0.11,-0.23,0.33,0.84,0.77,0.72,-3.95,0.85,0.795,0.745,1.20,0.775,0.75,0.675,0.78,0.715,-0.18,0.325,0.675,0.64,0.655,0.59
EPS Diluted from Continuing Operations,5.29,5.66,5.00,5.99,4.39,5.14,4.05,4.02,-2.50,3.32,3.28,2.69,3.25,3.61,2.93,2.61,3.01,2.42,2.94,2.74,2.82,2.76,2.76,2.87,1.50,2.57,2.64,2.33,1.73,2.21,2.38,2.03,2.13,1.99,2.16,1.57,2.26,1.53,1.92,1.38,2.10,2.04,1.87,1.68,1.92,1.92,2.15,1.75,1.89,1.80,1.82,1.60,1.68,1.46,1.34,1.34,1.29,0.96,1.02,0.83,0.83,0.69,0.66,0.65,0.77,0.48,0.54,0.55,-0.77,0.66,0.78,0.50,-0.35,-0.20,0.33,0.30,0.59,-1.74,0.11,0.14,-0.19,0.57,-0.11,-0.23,0.33,0.83,0.76,0.71,-3.95,0.755,0.71,0.675,1.075,0.69,0.665,0.61,0.71,0.645,-0.18,0.31,0.615,0.58,0.595,0.54
EPS Diluted from Discontinued Operations,,,,,0.00,,,,0.25,,,,0.10,4.32,0.39,0.30,0.38,0.35,,,0.00,,,,0.00,0.09,,,0.00,0.00,,,-0.05,0.11,-0.02,-0.07,0.38,0.01,0.30,0.03,-0.07,0.03,0.01,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,-0.02,-0.03,-0.01,-3.19,0.70,0.00,-0.05,-0.10,0.00,0.00,0.00,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EPS Diluted from Extraordinaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.0012,,,-0.9335,,,,0.00,,,,,,,,,,,,,0.0004,,0.00,-0.0994
Normalized Diluted EPS,5.29,5.66,5.00,5.99,4.39,5.14,4.324,4.02,-2.50,3.32,3.28,2.69,3.25,3.61,2.93,2.820,3.190,2.453,2.94,2.74,2.82,2.76,2.76,2.87,2.234,2.57,2.64,2.398,1.780,2.259,2.38,2.03,2.889,1.902,1.934,1.434,3.273,1.299,1.817,1.260,1.644,1.935,1.788,1.685,1.273,1.942,2.094,1.761,1.214,1.829,1.537,1.407,1.515,1.277,1.178,1.018,1.022,0.8191,0.8586,0.6947,0.83,0.6228,0.6434,0.5467,0.77,0.6498,0.4477,0.5003,0.4271,0.6245,0.6924,0.4444,-0.35,0.3327,0.2941,0.2354,0.4252,-1.096,0.2719,0.1199,-0.3615,0.4594,-0.1156,-0.4431,0.2278,0.7741,0.6921,0.6626,-4.686,0.6553,0.6341,0.6453,0.4043,0.6072,0.6637,0.5675,0.7010,0.6117,0.4892,0.5046,0.5904,0.5661,0.5238,0.3683
EPS Diluted,5.29,5.66,5.00,5.99,4.39,5.14,4.05,4.02,-2.25,3.32,3.28,2.69,3.35,7.93,3.32,2.91,3.01,2.77,2.94,2.74,2.82,2.76,2.76,2.87,1.50,2.66,2.64,2.33,1.73,2.21,2.38,2.03,2.08,2.10,2.14,1.50,2.64,1.54,2.22,1.41,2.03,2.07,1.88,1.68,2.04,1.92,2.15,1.75,1.89,1.80,1.82,1.60,1.68,1.46,1.34,1.34,1.29,0.96,1.02,0.83,0.83,0.69,0.66,0.65,0.77,0.48,0.54,0.55,-0.78,0.64,0.75,0.49,-3.54,0.50,0.33,0.25,0.25,-1.74,0.11,0.14,0.76,0.57,-0.11,-0.23,0.33,0.83,0.76,0.71,-3.95,0.755,0.71,0.675,1.075,0.69,0.665,0.61,0.71,0.645,-0.18,0.31,0.615,0.58,0.595,0.54
Average Basic Shares Outstanding,281.40M,282.00M,282.20M,282.50M,283.30M,284.30M,285.00M,285.50M,285.70M,287.10M,288.50M,290.00M,291.20M,298.50M,303.10M,304.50M,305.50M,308.40M,312.00M,315.40M,315.00M,316.30M,316.80M,319.10M,319.70M,321.30M,320.80M,321.70M,322.80M,323.50M,324.50M,324.10M,322.40M,329.80M,342.80M,348.50M,355.50M,360.10M,367.60M,373.50M,377.60M,381.40M,386.90M,393.40M,395.50M,397.40M,399.30M,406.60M,412.40M,413.50M,416.04M,420.73M,423.62M,425.00M,429.63M,434.56M,433.38M,440.21M,447.57M,439.29M,444.68M,444.93M,441.79M,440.91M,448.26M,442.86M,448.15M,446.43M,450.03M,446.15M,446.05M,436.00M,432.50M,428.00M,423.53M,423.30M,418.78M,404.60M,381.82M,387.10M,383.50M,381.50M,380.80M,380.30M,378.10M,375.50M,375.90M,373.90M,373.00M,371.80M,369.40M,369.00M,374.40M,382.40M,380.40M,378.60M,378.00M,397.60M,378.60M,377.00M,378.20M,374.40M,373.20M,372.20M
Average Diluted Shares Outstanding,283.20M,283.90M,283.90M,284.30M,285.60M,286.70M,287.10M,287.90M,288.50M,290.00M,291.20M,292.80M,294.70M,302.10M,307.10M,308.70M,309.90M,312.70M,316.10M,320.20M,320.60M,321.80M,322.10M,325.10M,326.20M,327.50M,325.90M,326.30M,327.80M,328.30M,328.80M,328.60M,326.70M,333.60M,346.60M,352.60M,359.90M,363.90M,371.70M,377.70M,381.70M,385.50M,390.90M,397.50M,404.30M,407.10M,409.50M,416.80M,422.90M,424.50M,427.47M,431.25M,434.92M,430.82M,432.84M,441.04M,440.81M,444.79M,451.96M,444.58M,447.40M,444.93M,448.48M,447.69M,448.26M,452.08M,448.15M,454.55M,456.40M,453.12M,452.00M,444.90M,439.10M,428.00M,436.36M,427.80M,418.78M,404.60M,381.82M,387.50M,392.03M,383.80M,383.30M,382.60M,381.79M,380.20M,381.00M,379.40M,389.40M,435.20M,432.40M,431.00M,425.20M,449.40M,447.60M,445.40M,432.40M,446.20M,444.80M,441.00M,438.40M,437.00M,435.60M,435.00M
Dividend Per Share,2.40,2.20,2.20,2.20,2.20,2.00,2.00,2.00,2.00,1.82,1.82,1.82,1.82,1.65,1.65,1.65,1.65,1.50,1.50,1.50,1.50,1.33,1.33,1.33,1.33,1.15,1.15,1.15,1.15,1.00,1.00,1.00,1.00,0.75,0.75,0.75,0.75,0.63,0.63,0.63,0.63,0.57,0.57,0.57,0.57,0.42,0.42,0.42,0.42,0.35,0.35,0.35,0.35,0.30,0.30,0.30,0.30,0.25,0.25,0.25,0.25,0.22,0.22,0.22,0.22,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.22,0.22,0.22,0.22,0.22,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.175,0.175,0.175,0.175,,,,,
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,,,,AOR,AOR,,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,Restated,,,,Restated,,,,Restated,,,,Restated,,,,Restated,,,,Restated,,,,Restated,,,,,,,Restated,Restated,,,,Restated,,,,Restated,,,,Restated,,,,Restated,,,
