Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1988-12,1987-12,1986-12,1985-12,1984-12
Other Long Term Assets,20.57B,22.22B,27.59B,23.84B,82.21B,29.21B,32.68B,32.40B,34.86B,34.37B,35.17B,37.45B,41.99B,56.68B,81.14B,121.24B,157.75B,190.57B,226.96B,174.45B,348.36B,72.57B,72.11B,71.96B,73.15B,74.55B,76.07B,79.81B,104.96B,106.86B,113.82B,110.54B,113.42B,120.01B,116.86B,112.98B,106.72B,134.14B,132.90B,135.30B,64.48B,113.10B,110.03B,110.57B,119.18B,125.09B,132.99B,132.29B,131.74B,121.63B,116.88B,105.80B,111.53B,114.00B,106.29B,145.46B,145.89B,89.90B,106.45B,107.52B,221.82B,111.92B,108.86B,120.93B,92.62B,127.34B,123.85B,95.74B,25.36B,89.54B,90.39B,83.86B,19.37B,76.81B,76.42B,75.74B,22.90B,74.93B,69.95B,67.41B,20.86B,60.74B,57.06B,54.79B,52.91B,49.13B,46.53B,44.15B,39.82B,39.98B,37.14B,36.02B,35.21B,33.28B,32.85B,30.05B,26.30B,27.17B,26.69B,26.77B,32.56B,23.84B,23.56B,23.89B,24.67B,21.20B,20.49B,19.60B,18.52B,16.90B,16.09B,15.92B,14.75B,37.46B,41.00B,41.48B,41.84B,38.76B,34.91B,31.00B,9.425B,15.23B,14.41B,8.039B,9.496B,6.881B,5.558B,5.343B
Total Long Term Assets,130.83B,132.21B,181.39B,179.15B,201.52B,190.32B,217.42B,224.44B,222.15B,227.91B,204.76B,201.63B,206.38B,220.72B,241.02B,283.00B,319.43B,316.73B,353.85B,318.80B,485.97B,230.25B,233.82B,233.62B,234.21B,239.48B,234.53B,237.86B,258.63B,259.12B,264.62B,261.42B,263.85B,271.83B,268.04B,259.69B,247.30B,274.04B,272.30B,279.77B,298.32B,285.98B,282.02B,278.19B,294.44B,303.84B,313.29B,310.57B,306.88B,292.24B,285.82B,272.89B,266.49B,271.71B,262.88B,296.10B,295.05B,238.68B,256.70B,258.53B,363.38B,254.74B,251.03B,235.79B,201.03B,226.62B,224.31B,191.82B,188.47B,178.52B,178.58B,158.52B,153.86B,147.05B,145.35B,143.07B,141.34B,142.97B,139.27B,135.65B,132.01B,123.93B,117.42B,114.77B,112.27B,104.59B,99.78B,96.55B,91.26B,87.23B,82.99B,81.27B,80.01B,75.41B,73.07B,68.54B,65.33B,64.39B,64.02B,62.84B,67.40B,57.44B,56.41B,56.38B,56.27B,52.30B,50.91B,49.22B,48.41B,46.95B,44.48B,44.16B,43.54B,65.40B,68.32B,68.24B,67.80B,64.18B,59.93B,55.36B,33.89B,38.59B,37.29B,30.20B,23.18B,20.30B,13.89B,13.18B
Total Assets,266.05B,263.01B,312.11B,315.08B,311.07B,311.69B,342.77B,358.11B,369.24B,378.04B,355.47B,351.64B,365.18B,387.69B,401.46B,462.19B,493.07B,581.31B,610.93B,617.63B,654.95B,650.02B,651.87B,652.25B,656.56B,661.44B,660.54B,670.69B,685.00B,698.88B,694.12B,707.72B,718.19B,737.70B,739.13B,727.84B,747.79B,758.82B,749.93B,777.36B,781.90B,787.85B,778.17B,760.81B,797.77B,829.55B,846.99B,833.89B,795.68B,761.71B,738.53B,714.08B,696.68B,682.10B,662.42B,674.82B,673.32B,662.67B,740.36B,752.22B,750.51B,704.62B,697.08B,662.11B,647.64B,626.93B,614.86B,583.63B,575.24B,555.52B,540.89B,500.74B,495.02B,460.10B,445.35B,437.98B,437.01B,431.14B,424.04B,421.64B,405.20B,380.22B,368.38B,361.74B,355.94B,334.58B,318.88B,309.75B,304.01B,285.35B,278.90B,270.07B,272.40B,249.18B,242.08B,230.21B,228.04B,214.93B,205.00B,198.02B,194.48B,254.87B,261.90B,270.09B,251.51B,233.23B,226.97B,216.88B,192.88B,201.51B,189.52B,183.91B,168.26B,169.47B,157.65B,157.45B,153.88B,144.08B,135.41B,128.10B,128.34B,124.43B,120.76B,110.86B,38.92B,34.59B,26.43B,24.73B
Accounts Payable,15.93B,14.49B,17.04B,17.06B,13.83B,15.75B,15.03B,15.06B,15.17B,14.91B,13.28B,13.70B,14.44B,13.07B,13.12B,13.15B,13.68B,11.76B,12.02B,14.39B,12.07B,16.76B,17.56B,17.21B,16.47B,16.45B,16.24B,16.13B,15.65B,15.85B,16.72B,17.03B,16.40B,16.15B,15.76B,15.75B,14.66B,14.62B,14.23B,14.50B,19.53B,18.93B,19.19B,18.17B,20.82B,20.68B,22.28B,21.31B,21.34B,18.72B,19.31B,19.69B,20.63B,18.79B,19.32B,19.10B,21.18B,22.52B,22.75B,23.47B,19.14B,23.59B,23.47B,19.79B,19.95B,20.57B,20.79B,18.86B,18.87B,20.64B,17.51B,17.66B,18.16B,16.19B,15.51B,13.93B,14.85B,14.61B,13.37B,12.79B,13.68B,12.57B,11.56B,11.96B,12.50B,11.00B,10.86B,10.79B,10.41B,9.662B,9.673B,9.661B,10.20B,9.339B,8.453B,8.538B,9.061B,8.834B,6.956B,6.707B,6.766B,13.73B,12.79B,13.48B,11.96B,10.20B,8.26B,8.175B,8.245B,8.206B,7.564B,7.544B,8.205B,7.236B,6.896B,7.07B,7.051B,6.743B,6.663B,5.898B,6.666B,5.539B,6.375B,,,,,
Dividends Payable,,,,94.00M,,1.054B,1.053B,1.06B,1.052B,2.093B,2.09B,2.109B,2.107B,2.062B,2.105B,2.153B,2.167B,2.324B,2.322B,2.315B,2.317B,2.209B,2.208B,2.206B,2.22B,1.922B,1.939B,1.971B,1.98B,1.785B,1.798B,1.799B,1.797B,,,,1.563B,,,,1.141B,,,,3.34B,,,,3.10B,,,,2.878B,,,,2.623B,,,,2.329B,,,,2.013B,,,,1.895B,,,,1.787B,,,,1.589B,,,,1.347B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Payables,15.93B,14.49B,17.04B,17.15B,13.83B,16.80B,16.08B,16.12B,16.22B,17.00B,15.37B,15.81B,16.54B,15.13B,15.22B,15.30B,15.85B,14.09B,14.34B,16.71B,14.38B,18.97B,19.77B,19.41B,18.69B,18.37B,18.18B,18.10B,17.63B,17.64B,18.52B,18.83B,18.20B,16.15B,15.76B,15.75B,16.22B,14.62B,14.23B,14.50B,20.67B,18.93B,19.19B,18.17B,24.16B,20.68B,22.28B,21.31B,24.44B,18.72B,19.31B,19.69B,23.51B,18.79B,19.32B,19.10B,23.81B,22.52B,22.75B,23.47B,21.47B,23.59B,23.47B,19.79B,21.96B,20.57B,20.79B,18.86B,20.77B,20.64B,17.51B,17.66B,19.94B,16.19B,15.51B,13.93B,16.44B,14.61B,13.37B,12.79B,15.02B,12.57B,11.56B,11.96B,12.50B,11.00B,10.86B,10.79B,10.41B,9.662B,9.673B,9.661B,10.20B,9.339B,8.453B,8.538B,9.061B,8.834B,6.956B,6.707B,6.766B,13.73B,12.79B,13.48B,11.96B,10.20B,8.26B,8.175B,8.245B,8.206B,7.564B,7.544B,8.205B,7.236B,6.896B,7.07B,7.051B,6.743B,6.663B,5.898B,6.666B,5.539B,6.375B,,,,,
Accrued Expenses,20.51B,19.04B,20.90B,20.22B,18.98B,20.58B,20.70B,21.95B,22.12B,16.97B,17.16B,16.58B,16.76B,15.76B,16.22B,16.34B,15.78B,11.25B,11.44B,11.50B,12.54B,12.38B,12.62B,12.80B,13.12B,12.12B,12.44B,11.34B,10.88B,9.402B,9.982B,10.67B,11.35B,11.11B,11.07B,10.49B,11.14B,11.05B,10.87B,11.47B,12.19B,12.51B,11.88B,11.82B,,12.84B,12.46B,11.58B,9.885B,8.57B,7.332B,6.065B,4.597B,4.949B,4.708B,4.354B,4.456B,4.339B,4.054B,3.842B,3.937B,3.854B,3.725B,3.993B,4.433B,4.853B,5.479B,6.078B,22.28B,7.823B,9.132B,11.00B,25.88B,,,,20.49B,,,,15.85B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payables and Accrued Expenses,36.43B,33.53B,37.94B,37.38B,32.81B,37.38B,36.78B,38.07B,38.34B,33.97B,32.54B,32.39B,33.30B,30.89B,31.44B,31.64B,31.62B,25.33B,25.78B,28.20B,26.92B,31.35B,32.38B,32.22B,31.82B,30.49B,30.61B,29.44B,28.51B,27.04B,28.50B,29.50B,29.55B,27.26B,26.84B,26.24B,27.36B,25.66B,25.10B,25.97B,32.86B,31.44B,31.08B,29.99B,24.16B,33.51B,34.74B,32.89B,34.32B,27.29B,26.65B,25.76B,28.11B,23.74B,24.02B,23.45B,28.26B,26.86B,26.81B,27.32B,25.40B,27.44B,27.20B,23.79B,26.40B,25.42B,26.26B,24.94B,43.05B,28.47B,26.64B,28.66B,45.83B,16.19B,15.51B,13.93B,36.93B,14.61B,13.37B,12.79B,30.87B,12.57B,11.56B,11.96B,12.50B,11.00B,10.86B,10.79B,10.41B,9.662B,9.673B,9.661B,10.20B,9.339B,8.453B,8.538B,9.061B,8.834B,6.956B,6.707B,6.766B,13.73B,12.79B,13.48B,11.96B,10.20B,8.26B,8.175B,8.245B,8.206B,7.564B,7.544B,8.205B,7.236B,6.896B,7.07B,7.051B,6.743B,6.663B,5.898B,6.666B,5.539B,6.375B,,,,,
Notes Payable,,,,,,,,,,,,,,,,,,0.00,2.499B,5.457B,5.467B,5.732B,8.147B,8.935B,8.699B,8.482B,8.421B,8.58B,8.189B,,,,8.474B,,,,9.058B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial Paper Liability,3.008B,2.997B,3.002B,2.998B,3.005B,6.017B,6.028B,,8.013B,7.021B,7.012B,7.017B,6.502B,6.502B,6.002B,6.497B,5.501B,13.91B,26.01B,25.51B,25.51B,25.36B,25.36B,25.40B,29.04B,33.33B,36.04B,39.13B,43.41B,,,,45.96B,,,,42.04B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liability on Credit Line,,,,,,,,,,,,,,,,,,48.66B,45.80B,62.69B,,60.82B,58.14B,54.74B,53.36B,50.76B,48.60B,49.43B,46.20B,,,,43.12B,,,,37.30B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Borrowings,19.06B,14.05B,12.62B,12.96B,9.769B,9.189B,8.39B,19.73B,16.64B,21.33B,23.56B,21.83B,24.53B,26.91B,27.12B,46.04B,45.28B,34.52B,42.21B,44.61B,40.22B,46.98B,48.54B,51.67B,49.19B,45.78B,39.80B,44.51B,57.50B,,,,93.89B,,,,66.86B,145.38B,120.15B,123.93B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.54B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,22.07B,17.04B,15.62B,15.95B,12.77B,15.21B,14.42B,19.73B,24.66B,28.35B,30.57B,28.84B,31.04B,33.42B,33.12B,52.53B,50.78B,97.08B,116.52B,138.28B,71.20B,138.89B,140.19B,140.74B,140.30B,138.36B,132.86B,141.64B,155.30B,128.95B,135.05B,148.16B,191.44B,139.00B,135.08B,120.28B,155.26B,145.38B,120.15B,123.93B,132.29B,160.12B,174.64B,176.32B,164.06B,218.75B,204.84B,201.16B,195.10B,180.40B,184.35B,175.00B,172.01B,167.21B,157.45B,153.20B,158.16B,142.45B,145.87B,156.77B,157.20B,153.16B,160.05B,143.21B,157.40B,127.52B,134.20B,129.71B,138.78B,130.49B,135.22B,143.48B,153.08B,125.47B,122.13B,118.36B,119.18B,121.90B,119.74B,122.54B,130.35B,120.01B,120.39B,116.74B,115.38B,107.13B,106.32B,104.17B,98.08B,86.58B,84.14B,81.93B,80.20B,75.12B,71.42B,65.70B,64.46B,60.25B,57.89B,56.60B,57.78B,59.88B,60.19B,62.70B,62.14B,56.02B,55.01B,54.49B,56.39B,53.04B,51.53B,50.39B,51.35B,48.91B,46.92B,44.65B,42.92B,43.96B,42.83B,39.59B,37.20B,53.12B,51.02B,30.42B,1.11B,1.813B,1.297B,1.047B
Current Debt & Capital Lease Obligation,22.07B,17.04B,15.62B,15.95B,12.77B,15.21B,14.42B,19.73B,24.66B,28.35B,30.57B,28.84B,31.04B,33.42B,33.12B,52.53B,50.78B,97.08B,116.52B,138.28B,71.20B,138.89B,140.19B,140.74B,140.30B,138.36B,132.86B,141.64B,155.30B,128.95B,135.05B,148.16B,191.44B,139.00B,135.08B,120.28B,155.26B,145.38B,120.15B,123.93B,132.29B,160.12B,174.64B,176.32B,164.06B,218.75B,204.84B,201.16B,195.10B,180.40B,184.35B,175.00B,172.01B,167.21B,157.45B,153.20B,158.16B,142.45B,145.87B,156.77B,157.20B,153.16B,160.05B,143.21B,157.40B,127.52B,134.20B,129.71B,138.78B,130.49B,135.22B,143.48B,153.08B,125.47B,122.13B,118.36B,119.18B,121.90B,119.74B,122.54B,130.35B,120.01B,120.39B,116.74B,115.38B,107.13B,106.32B,104.17B,98.08B,86.58B,84.14B,81.93B,80.20B,75.12B,71.42B,65.70B,64.46B,60.25B,57.89B,56.60B,57.78B,59.88B,60.19B,62.70B,62.14B,56.02B,55.01B,54.49B,56.39B,53.04B,51.53B,50.39B,51.35B,48.91B,46.92B,44.65B,42.92B,43.96B,42.83B,39.59B,37.20B,53.12B,51.02B,30.42B,1.11B,1.813B,1.297B,1.047B
Other Current Liability,17.41B,15.22B,18.20B,19.68B,15.57B,19.29B,16.37B,17.12B,18.17B,17.98B,17.95B,18.24B,18.22B,20.26B,20.48B,22.57B,24.46B,14.01B,13.99B,19.76B,15.26B,14.42B,12.92B,13.62B,13.39B,14.71B,14.43B,15.99B,15.05B,41.91B,38.66B,39.54B,15.14B,46.76B,44.40B,43.95B,27.44B,56.79B,14.31B,14.43B,36.43B,19.23B,19.19B,21.49B,30.76B,20.34B,19.99B,19.87B,15.82B,19.95B,19.60B,19.72B,17.94B,20.43B,21.02B,21.18B,18.55B,19.93B,20.01B,20.56B,17.54B,19.58B,19.90B,16.92B,15.34B,17.25B,17.56B,17.48B,,16.90B,16.86B,16.72B,,27.12B,25.54B,24.16B,,21.30B,18.93B,18.24B,,17.10B,16.16B,14.52B,13.70B,13.12B,12.32B,12.18B,12.19B,11.25B,10.89B,10.36B,10.10B,9.474B,9.516B,8.70B,8.477B,7.527B,8.158B,8.371B,8.307B,74.52B,88.14B,98.08B,81.64B,74.12B,70.59B,79.61B,55.84B,69.66B,9.907B,9.97B,9.999B,10.08B,9.276B,9.887B,9.903B,9.541B,9.376B,9.547B,30.04B,9.337B,9.229B,31.38B,11.56B,9.648B,7.622B,7.56B
Total Current Liabilities,75.92B,65.80B,71.76B,73.01B,61.16B,71.88B,67.56B,74.92B,81.16B,80.30B,81.06B,79.48B,82.56B,84.56B,85.03B,106.75B,106.86B,136.43B,156.29B,186.24B,113.38B,184.66B,185.49B,186.58B,185.50B,183.56B,177.90B,187.07B,198.86B,197.90B,202.22B,217.20B,236.13B,213.02B,206.32B,190.47B,210.06B,227.83B,159.56B,164.33B,201.58B,210.79B,224.91B,227.81B,218.98B,272.61B,259.57B,253.92B,245.24B,227.64B,230.60B,220.47B,218.06B,211.37B,202.49B,197.83B,204.97B,189.24B,192.68B,204.64B,200.14B,200.19B,207.15B,183.92B,199.14B,170.19B,178.03B,172.12B,181.83B,175.86B,178.73B,188.87B,198.90B,168.79B,163.18B,156.45B,156.11B,157.80B,152.04B,153.58B,161.22B,149.68B,148.11B,143.21B,141.58B,131.25B,129.50B,127.14B,120.67B,107.49B,104.70B,101.95B,100.51B,93.94B,89.39B,82.93B,82.00B,76.61B,73.00B,71.67B,72.85B,148.13B,161.11B,174.26B,155.73B,140.33B,133.86B,142.27B,120.48B,130.91B,69.00B,67.90B,69.55B,66.22B,63.09B,61.60B,59.87B,60.24B,58.87B,55.03B,73.90B,68.00B,66.63B,61.80B,12.67B,11.46B,8.919B,8.607B
Non-Current Portion of Long Term Debt,68.81B,76.20B,90.16B,91.57B,90.82B,99.76B,101.15B,106.11B,109.93B,108.04B,103.83B,99.82B,105.18B,116.02B,123.32B,133.52B,146.82B,194.30B,199.44B,213.08B,190.23B,235.25B,238.53B,239.84B,242.74B,249.74B,254.46B,255.70B,258.50B,257.33B,251.78B,253.53B,262.00B,285.62B,295.34B,307.01B,323.34B,307.52B,298.70B,317.61B,337.63B,358.09B,339.42B,327.66B,322.85B,329.92B,351.26B,346.68B,319.01B,311.22B,282.79B,275.07B,260.75B,242.93B,236.94B,222.97B,212.28B,217.60B,219.61B,212.93B,207.87B,186.34B,175.66B,169.47B,172.31B,162.91B,169.00B,155.70B,140.63B,134.04B,125.21B,93.88B,79.81B,81.04B,78.64B,80.24B,82.13B,75.81B,77.60B,73.41B,71.43B,66.34B,60.85B,60.50B,59.66B,57.44B,48.76B,43.78B,46.60B,47.50B,46.79B,46.36B,49.25B,48.80B,49.78B,52.31B,51.03B,49.85B,48.01B,45.57B,36.98B,35.81B,32.63B,29.33B,28.27B,28.23B,9.312B,25.17B,25.38B,24.37B,25.02B,23.89B,22.68B,23.34B,23.01B,22.28B,21.04B,18.46B,16.17B,15.75B,16.11B,15.92B,15.44B,15.08B,4.491B,4.351B,753.00M,753.00M
Long Term Cap Lease Obligation,3.162B,3.169B,4.074B,4.18B,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of LTD and Capital Lease Obligation,71.97B,79.37B,94.23B,95.75B,90.82B,99.76B,101.15B,106.11B,109.93B,108.04B,103.83B,99.82B,105.18B,116.02B,123.32B,133.52B,146.82B,194.30B,199.44B,213.08B,190.23B,235.25B,238.53B,239.84B,242.74B,249.74B,254.46B,255.70B,258.50B,257.33B,251.78B,253.53B,262.00B,285.62B,295.34B,307.01B,323.34B,307.52B,298.70B,317.61B,337.63B,358.09B,339.42B,327.66B,322.85B,329.92B,351.26B,346.68B,319.01B,311.22B,282.79B,275.07B,260.75B,242.93B,236.94B,222.97B,212.28B,217.60B,219.61B,212.93B,207.87B,186.34B,175.66B,169.47B,172.31B,162.91B,169.00B,155.70B,140.63B,134.04B,125.21B,93.88B,79.81B,81.04B,78.64B,80.24B,82.13B,75.81B,77.60B,73.41B,71.43B,66.34B,60.85B,60.50B,59.66B,57.44B,48.76B,43.78B,46.60B,47.50B,46.79B,46.36B,49.25B,48.80B,49.78B,52.31B,51.03B,49.85B,48.01B,45.57B,36.98B,35.81B,32.63B,29.33B,28.27B,28.23B,9.312B,25.17B,25.38B,24.37B,25.02B,23.89B,22.68B,23.34B,23.01B,22.28B,21.04B,18.46B,16.17B,15.75B,16.11B,15.92B,15.44B,15.08B,4.491B,4.351B,753.00M,753.00M
Long Term Deferred Tax Liabilities,,,,,,,,,,,,,,,,,,,67.00M,2.901B,,1.612B,96.00M,381.00M,,,,,,-541.00M,456.00M,281.00M,-131.00M,1.98B,-705.00M,1.297B,2.753B,1.993B,2.434B,2.615B,2.081B,5.308B,2.858B,5.179B,4.584B,14.27B,12.71B,9.925B,12.49B,10.76B,12.67B,13.50B,14.11B,16.48B,15.58B,16.86B,16.21B,14.69B,16.83B,15.17B,15.28B,15.68B,14.70B,14.67B,12.65B,12.53B,12.84B,12.60B,12.52B,11.39B,10.19B,9.216B,9.13B,8.949B,8.177B,8.617B,8.69B,8.918B,9.112B,9.252B,9.238B,7.82B,8.016B,9.228B,9.34B,9.006B,9.22B,8.957B,8.651B,9.199B,9.176B,8.293B,8.273B,7.78B,7.29B,7.304B,7.38B,7.209B,6.33B,5.77B,5.205B,5.147B,4.852B,4.765B,5.109B,4.197B,4.237B,4.691B,4.54B,4.43B,4.059B,3.968B,3.808B,3.443B,4.00B,3.869B,3.812B,3.755B,3.607B,3.527B,3.543B,3.503B,3.53B,3.373B,,,,
Non-Current Deferred Liabilities,,,,,,,,,,,,,,,,,,,67.00M,2.901B,,1.612B,96.00M,381.00M,,,,,,-541.00M,456.00M,281.00M,-131.00M,1.98B,-705.00M,1.297B,2.753B,1.993B,2.434B,2.615B,2.081B,5.308B,2.858B,5.179B,4.584B,14.27B,12.71B,9.925B,12.49B,10.76B,12.67B,13.50B,14.11B,16.48B,15.58B,16.86B,16.21B,14.69B,16.83B,15.17B,15.28B,15.68B,14.70B,14.67B,12.65B,12.53B,12.84B,12.60B,12.52B,11.39B,10.19B,9.216B,9.13B,8.949B,8.177B,8.617B,8.69B,8.918B,9.112B,9.252B,9.238B,7.82B,8.016B,9.228B,9.34B,9.006B,9.22B,8.957B,8.651B,9.199B,9.176B,8.293B,8.273B,7.78B,7.29B,7.304B,7.38B,7.209B,6.33B,5.77B,5.205B,5.147B,4.852B,4.765B,5.109B,4.197B,4.237B,4.691B,4.54B,4.43B,4.059B,3.968B,3.808B,3.443B,4.00B,3.869B,3.812B,3.755B,3.607B,3.527B,3.543B,3.503B,3.53B,3.373B,,,,
Pension Liability,31.69B,31.19B,32.65B,32.86B,31.93B,34.34B,39.69B,41.13B,41.63B,42.42B,42.62B,43.04B,43.78B,40.42B,40.44B,40.42B,40.49B,,,,42.24B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minority Interest Ownership,1.545B,1.219B,20.31B,20.48B,20.50B,16.38B,16.68B,17.23B,17.47B,17.95B,1.634B,1.639B,1.663B,1.663B,1.693B,1.667B,1.864B,8.788B,8.776B,8.738B,8.674B,8.513B,6.054B,6.183B,6.217B,6.353B,6.302B,5.336B,5.444B,5.464B,3.78B,1.721B,1.696B,2.312B,2.323B,2.254B,5.262B,5.074B,6.791B,7.756B,7.845B,8.28B,8.34B,8.457B,8.947B,9.036B,8.794B,8.234B,8.004B,7.508B,7.191B,7.852B,7.493B,8.211B,8.274B,8.143B,8.054B,9.376B,17.20B,18.59B,12.60B,16.32B,16.73B,6.291B,6.194B,5.791B,5.456B,5.513B,5.473B,5.438B,5.321B,5.221B,5.215B,4.862B,4.882B,4.914B,4.936B,4.878B,4.933B,4.885B,5.214B,5.189B,5.112B,4.681B,4.275B,4.152B,3.96B,3.813B,3.682B,3.105B,3.134B,3.118B,3.007B,3.053B,2.947B,2.971B,2.956B,2.559B,2.551B,2.049B,1.847B,1.936B,1.922B,1.873B,1.656B,1.521B,1.455B,1.359B,1.344B,1.304B,1.316B,1.242B,1.219B,1.178B,1.185B,1.164B,1.211B,955.00M,995.00M,1.003B,1.001B,931.00M,961.00M,,,,,
Preferred Securities out of Shareholders Equity,,,,416.00M,,386.00M,3.376B,3.549B,3.391B,3.441B,3.193B,3.054B,3.025B,3.051B,3.07B,3.036B,2.972B,,,,98.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Liabilities,56.41B,57.11B,56.96B,55.75B,56.40B,55.49B,57.28B,57.11B,58.92B,48.79B,48.08B,48.35B,48.99B,50.32B,48.53B,48.78B,49.30B,86.82B,87.86B,96.04B,43.94B,83.84B,86.59B,86.17B,87.60B,96.69B,96.93B,96.50B,96.43B,114.13B,113.55B,113.43B,100.43B,106.74B,105.13B,100.62B,84.85B,87.86B,156.76B,162.19B,100.89B,86.26B,88.77B,89.35B,135.68B,90.47B,93.94B,96.84B,93.38B,89.44B,86.24B,82.54B,82.01B,76.42B,75.40B,72.05B,72.93B,118.78B,181.65B,188.02B,90.86B,184.33B,184.57B,201.27B,178.17B,202.07B,157.80B,171.34B,171.09B,166.54B,162.71B,148.38B,147.14B,142.87B,138.22B,136.84B,134.64B,135.98B,134.43B,136.01B,115.55B,111.23B,106.68B,105.32B,102.20B,95.57B,91.85B,91.35B,89.97B,84.37B,83.47B,79.88B,80.24B,65.62B,63.38B,55.43B,55.06B,50.42B,46.86B,45.68B,51.21B,36.98B,35.00B,34.48B,34.92B,34.63B,54.35B,19.61B,17.68B,17.72B,67.94B,65.30B,49.31B,54.34B,44.09B,46.67B,46.26B,39.63B,34.76B,32.09B,12.90B,15.88B,14.62B,12.14B,5.278B,3.67B,2.856B,2.797B
Total Long Term Liabilities,160.27B,168.06B,184.23B,186.42B,198.43B,191.98B,203.45B,210.00B,214.58B,203.68B,198.63B,196.00B,205.14B,219.59B,229.74B,262.69B,286.07B,324.89B,336.35B,314.09B,404.74B,321.85B,326.31B,327.65B,334.28B,348.83B,353.83B,354.57B,357.67B,372.97B,368.01B,368.93B,363.93B,397.91B,402.41B,411.58B,413.53B,410.38B,469.64B,490.08B,455.18B,451.25B,432.80B,423.52B,465.18B,435.58B,460.24B,455.74B,426.88B,413.72B,383.72B,371.58B,359.62B,351.12B,342.88B,361.36B,350.95B,351.07B,418.09B,416.12B,426.95B,386.34B,374.92B,385.40B,363.14B,378.47B,359.41B,339.64B,324.24B,311.97B,298.11B,251.48B,236.08B,232.85B,225.04B,225.69B,225.47B,220.72B,221.14B,218.68B,196.21B,185.39B,175.55B,175.05B,171.20B,162.01B,149.83B,144.08B,145.22B,141.07B,139.44B,134.54B,137.76B,122.20B,120.44B,115.04B,113.47B,107.49B,101.21B,97.02B,93.40B,77.93B,72.48B,68.57B,68.30B,67.06B,67.90B,49.47B,47.60B,46.52B,97.02B,93.16B,75.80B,81.13B,71.10B,72.82B,71.12B,61.85B,54.53B,51.37B,32.55B,35.30B,33.59B,30.60B,9.769B,8.021B,3.609B,3.55B
