Net Change in Short Term Debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.70M,33.70M,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Debt Issuance,-3.261M,-3.235M,-903.21M,-3.19M,-353.17M,-1.698M,-1.683M,-1.671M,-1.658M,-601.65M,-1.632M,-1.619M,-165.44M,-1.596M,-1.581M,329.81M,228.46M,28.15M,-501.53M,988.70M,-1.509M,-1.499M,-1.484M,-5.254M,-401.46M,-1.452M,-1.439M,-1.427M,-1.417M,1.233B,0.00,0.00,-220.00M,0.00,,,1.454B,33.70M,954.40M,,-8.895M,8.741M,683.16M,208.10M,0.00,750.00M,-38.00M,0.00,-98.44M,399.60M,63.80M,86.60M,-96.08M,-63.00M,-40.22M,-52.32M,-57.70M,-74.32M,-2.70M,42.18M,14.65M,-22.85M,0.00,-23.05M,98.05M,0.00,-33.39M,-100.92M,54.26M,55.02M,60.18M,119.69M,153.82M,60.20M,-4.049M,-214.13M,-86.17M,-4.383M,8.63M,-49.39M,-752.77M,603.20M,-30.60M,27.70M,68.40M,223.50M,51.70M,57.90M,62.70M,47.80M,116.00M,52.60M,166.00M,12.60M,-29.30M,29.80M,25.80M,50.30M,20.20M,4.10M,6.70M,0.00,23.00M,-30.00M,,,,,-9.90M,-266.90M,8.50M,-4.10M,25.90M,-17.10M,0.50M,-5.30M,9.60M,-8.30M,23.20M,-7.30M
Common Stock Issuance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005M,0.00,0.059M,1.388B,0.00,0.00,0.00,0.00,,,,,,,,,22.57M,18.66M,8.813M,5.276M,6.749M,18.14M,5.014M,6.129M,8.231M,32.06M,10.11M,14.26M,15.93M,17.29M,33.52M,8.775M,17.42M,2.987M,7.274M,7.456M,3.508M,0.758M,3.113M,9.96M,10.17M,4.576M,6.068M,9.987M,35.31M,34.98M,55.95M,0.854M,725.85M,9.90M,2.50M,0.20M,0.60M,0.10M,1.40M,0.80M,0.40M,3.20M,0.30M,1.20M,7.40M,4.10M,3.50M,7.20M,4.00M,3.10M,1.40M,1.80M,2.40M,0.20M,1.50M,,9.10M,-5.00M,1.60M,3.40M,0.00,111.90M,,,,,,,,,,
Common Stock Payments,-2.914M,-13.84M,-2.155M,-6.248M,-4.898M,-26.54M,-15.25M,-16.78M,-13.03M,-28.70M,-3.05M,-18.63M,-26.48M,-26.89M,-16.08M,-12.67M,-5.372M,-17.06M,-10.90M,-15.46M,-12.60M,-25.30M,-60.63M,-28.90M,-8.222M,-34.47M,-10.07M,-11.02M,-13.79M,-22.14M,-2.591M,-20.07M,-2.565M,-4.621M,-1.755M,-14.98M,-0.997M,-2.991M,-1.96M,-5.347M,-1.098M,-3.763M,-1.221M,-4.904M,-6.568M,-4.401M,-1.357M,-5.508M,-40.56M,-10.64M,,,,,,,,,,,,,,,0.00,0.00,0.00,-21.30M,-38.75M,-24.29M,,,-23.76M,-22.88M,-24.54M,-55.59M,-75.86M,-62.52M,-104.10M,-30.25M,,,,,-0.60M,-17.30M,-0.80M,-7.20M,-40.90M,-9.20M,-15.10M,-34.10M,-10.50M,-8.50M,-7.50M,-17.00M,-4.70M,-6.50M,-3.00M,-3.70M,-9.30M,-2.60M,-2.20M,,-16.70M,9.70M,-3.40M,-6.30M,,,,,,,,,,,,
Net Common Equity Issued (Purchased),-2.914M,-13.84M,-2.155M,-6.248M,-4.898M,-26.54M,-15.25M,-16.78M,-13.03M,-28.70M,-3.05M,-18.63M,-26.48M,-26.89M,-16.08M,-12.67M,-5.372M,-17.06M,-10.90M,-15.46M,-12.60M,-25.30M,-60.63M,-28.90M,-8.222M,-34.47M,-10.07M,-11.02M,-13.79M,-22.14M,-2.591M,-20.07M,-2.57M,-4.621M,-1.696M,1.373B,-0.997M,-2.991M,-1.96M,-5.347M,-1.098M,-3.763M,-1.221M,-4.904M,-6.568M,-4.401M,-1.357M,-5.508M,-17.98M,8.017M,8.813M,5.276M,-43.45M,18.14M,5.014M,6.129M,8.231M,32.06M,10.11M,14.26M,-34.07M,17.29M,33.52M,8.775M,17.42M,2.987M,7.274M,-13.84M,-35.24M,-23.53M,3.113M,9.96M,-13.59M,-18.31M,-18.47M,-45.60M,-40.55M,-27.54M,-48.15M,-29.40M,723.70M,9.90M,2.50M,0.20M,0.00,-17.20M,0.60M,-6.40M,-40.50M,-6.00M,-14.80M,-32.90M,-3.10M,-4.40M,-4.00M,-9.80M,-0.70M,-3.40M,-1.60M,-1.90M,-6.90M,-2.40M,-0.70M,,-7.60M,4.70M,-1.80M,-2.90M,0.00,111.90M,,,,,,,,,,
Preferred Stock Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,-5.395M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Preferred Equity Issued (Purchased),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,-5.395M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Common Dividends Paid,-167.35M,-166.17M,-127.14M,-127.55M,-126.97M,-107.46M,-106.58M,-97.03M,-97.27M,-96.28M,-96.28M,-96.71M,-96.12M,-92.69M,-91.87M,-92.17M,-92.43M,-91.45M,-91.47M,-91.66M,-92.02M,-67.99M,-67.90M,-51.78M,-51.45M,-50.72M,-50.79M,-46.22M,-46.67M,-45.52M,-45.64M,-43.25M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Dividends Paid,-167.35M,-166.17M,-127.14M,-127.55M,-126.97M,-107.46M,-106.58M,-97.03M,-97.27M,-96.28M,-96.28M,-96.71M,-96.12M,-92.69M,-91.87M,-92.17M,-92.43M,-91.45M,-91.47M,-91.66M,-92.02M,-67.99M,-67.90M,-51.78M,-51.45M,-50.72M,-50.79M,-46.22M,-46.67M,-45.52M,-45.64M,-43.25M,-43.04M,-42.57M,-42.56M,-39.00M,-38.96M,-39.10M,-38.89M,-36.29M,-36.27M,-36.47M,-36.02M,-33.49M,-33.75M,-29.81M,-29.56M,-22.09M,-22.77M,-22.88M,-22.85M,-15.52M,-16.43M,-16.30M,-16.28M,-11.43M,-11.41M,-11.36M,-11.34M,-8.88M,-9.754M,-8.884M,-10.50M,-8.461M,-8.416M,-8.398M,-7.239M,-7.241M,-7.274M,-7.301M,-7.295M,-7.282M,-7.274M,-7.30M,-7.305M,-6.701M,-6.808M,-6.746M,-6.187M,-6.33M,-3.595M,-4.60M,-4.60M,-4.60M,-4.60M,-4.60M,-4.70M,-4.60M,-4.70M,-4.70M,-4.70M,-4.80M,-4.80M,-4.80M,-4.80M,-4.80M,-4.80M,-4.80M,-4.80M,-4.80M,-4.80M,-4.80M,-4.80M,-4.80M,-4.80M,-4.80M,-4.80M,-4.80M,-4.00M,-3.80M,-3.80M,-3.80M,-3.80M,-3.80M,-3.80M,-3.80M,-3.80M,-3.80M,-3.80M,-3.80M
Proceeds from Stock Option Exercised,8.388M,0.863M,8.292M,0.403M,8.462M,0.953M,9.692M,1.453M,9.666M,1.566M,7.252M,2.356M,9.013M,3.659M,7.936M,2.688M,7.723M,0.483M,10.50M,3.984M,10.51M,1.307M,9.448M,0.985M,8.65M,9.307M,12.77M,8.004M,23.17M,26.73M,12.79M,20.20M,9.026M,2.268M,7.256M,17.36M,10.03M,3.504M,15.75M,5.277M,6.774M,5.665M,6.874M,1.152M,5.158M,18.90M,18.97M,29.54M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Other Financing Activities,0.00,-0.092M,-4.924M,,0.00,0.028M,-0.028M,0.057M,0.039M,-0.096M,,,8.14M,9.43M,11.78M,-1.592M,1.834M,3.497M,7.905M,7.004M,11.95M,23.61M,36.38M,-5.068M,5.827M,28.11M,10.20M,11.94M,17.62M,25.78M,5.583M,16.24M,-4.833M,0.073M,1.991M,-1.779M,-1.945M,-5.406M,-1.184M,0.27M,50.99M,3.059M,17.17M,4.622M,-64.27M,7.553M,20.62M,35.05M,9.403M,1.731M,3.784M,7.144M,0.661M,6.064M,13.55M,7.076M,0.025M,-1.57M,0.157M,-0.049M,1.055M,-0.174M,-1.048M,0.264M,-1.388M,-2.15M,0.025M,0.028M,-0.84M,-0.312M,-1.839M,-0.017M,-1.494M,0.25M,2.975M,-0.044M,0.511M,-3.241M,0.093M,0.714M,-3.958M,-623.80M,-0.30M,,-3.00M,-0.10M,-3.70M,-0.20M,2.30M,-1.50M,0.80M,0.30M,-9.80M,2.30M,0.30M,-0.30M,-2.20M,7.20M,-5.40M,,1.10M,,0.40M,-0.40M,4.10M,-6.90M,,,9.40M,-5.30M,-0.90M,-3.80M,-3.20M,4.20M,-1.10M,0.20M,-0.30M,0.90M,0.60M,-1.30M
Cash from Financing,-165.14M,-182.47M,-1.029B,-136.58M,-476.57M,-134.72M,-113.85M,-113.96M,-102.26M,-725.15M,-93.71M,-114.60M,-270.89M,-108.08M,-89.82M,226.06M,140.22M,-76.37M,-585.50M,892.57M,-83.67M,-69.86M,-84.18M,-90.01M,-446.65M,-49.23M,-39.32M,-38.72M,-21.08M,1.218B,-29.86M,-26.88M,-261.41M,-44.85M,-35.01M,1.350B,1.422B,-10.29M,928.11M,-36.09M,11.50M,-22.77M,669.96M,175.48M,-99.43M,742.25M,-29.32M,31.60M,-129.79M,386.46M,53.55M,83.50M,-155.29M,-55.10M,-37.94M,-50.55M,-60.86M,-55.18M,-3.775M,47.51M,-28.12M,-14.62M,21.98M,-22.47M,105.67M,-7.561M,-33.33M,-121.98M,10.91M,23.88M,54.16M,122.35M,131.47M,34.84M,-26.85M,-266.48M,-133.01M,-41.91M,-45.61M,-84.40M,-36.62M,-15.30M,-33.00M,23.30M,60.80M,201.60M,43.90M,46.70M,19.80M,35.60M,97.30M,15.20M,148.30M,5.70M,-37.80M,14.90M,18.10M,49.30M,8.40M,-2.60M,-3.90M,-7.20M,17.90M,-35.20M,24.70M,-7.00M,-6.60M,-7.70M,-4.50M,-164.10M,3.80M,-11.70M,18.90M,-16.70M,-4.40M,-8.90M,5.50M,-11.20M,20.00M,-12.40M
Beginning Cash,1.583B,1.160B,1.136B,1.556B,1.274B,1.008B,816.09M,834.23M,846.14M,1.649B,1.547B,1.600B,1.049B,779.72M,668.48M,718.51M,742.69M,1.367B,2.127B,2.087B,1.481B,1.230B,1.667B,1.318B,1.319B,1.228B,1.108B,876.44M,1.113B,280.37M,294.06M,615.73M,1.387B,1.577B,1.668B,788.85M,27.83M,650.11M,230.08M,685.75M,608.51M,706.96M,85.21M,331.31M,885.98M,108.10M,204.94M,54.23M,301.94M,58.53M,141.70M,218.26M,595.93M,759.11M,821.33M,643.81M,341.06M,282.70M,173.38M,20.98M,81.91M,67.84M,95.72M,4.443M,184.49M,150.97M,6.833M,9.848M,7.782M,9.206M,5.403M,2.512M,11.34M,68.29M,30.85M,20.15M,16.71M,11.71M,33.36M,24.84M,18.80M,11.40M,13.10M,6.30M,9.20M,13.60M,0.00,9.30M,0.00,0.00,0.00,7.60M,0.00,0.00,0.00,23.00M,0.00,0.00,0.00,5.80M,0.00,0.00,0.00,103.10M,0.00,0.00,0.00,132.60M,0.00,0.00,0.00,3.80M,0.00,0.00,0.00,3.60M,0.00,0.00,0.00,15.30M
Change in Cash,445.04M,422.73M,24.73M,-419.82M,316.76M,266.23M,194.58M,-18.22M,-6.634M,-800.18M,102.00M,-52.98M,544.53M,269.01M,100.95M,-51.10M,-18.83M,-623.15M,-761.09M,48.90M,644.32M,248.05M,-438.61M,354.10M,3.141M,86.53M,124.56M,226.47M,-234.82M,830.17M,-13.49M,-324.60M,-772.94M,-184.02M,-90.59M,879.55M,767.04M,-620.69M,418.38M,-455.48M,77.07M,-105.35M,614.14M,-243.81M,-533.19M,786.62M,-93.55M,151.97M,-245.58M,240.35M,-87.23M,-76.23M,-374.69M,-164.07M,-69.89M,177.94M,304.38M,52.31M,110.03M,152.28M,-70.46M,12.64M,-27.56M,89.58M,-190.10M,33.52M,144.13M,-3.015M,1.559M,-1.424M,3.803M,2.891M,-8.832M,-56.95M,37.44M,10.70M,3.445M,4.993M,-21.64M,8.522M,5.933M,7.50M,-1.70M,6.80M,-3.00M,-4.20M,8.50M,-4.30M,3.30M,-10.40M,12.90M,-4.10M,-2.00M,-28.40M,11.50M,3.50M,14.60M,-11.90M,5.00M,9.60M,-81.00M,1.10M,28.60M,-46.00M,-13.70M,74.60M,2.30M,-92.70M,-49.90M,170.90M,-5.70M,13.50M,-1.70M,2.10M,-9.40M,9.20M,-31.70M,26.50M,-14.90M,8.40M
Cash Foreign Exchange Adjustment,-0.174M,-0.109M,-0.059M,-0.006M,-35.26M,-0.313M,-2.455M,0.09M,-5.276M,-3.13M,0.876M,-0.353M,6.642M,-0.009M,10.29M,1.072M,-5.356M,-1.552M,1.062M,-8.691M,-38.25M,2.954M,1.541M,-5.096M,-3.749M,4.271M,-4.583M,5.125M,-1.367M,2.077M,-0.204M,2.938M,1.934M,-6.688M,-0.26M,-0.12M,-6.016M,-1.59M,1.648M,-0.187M,0.17M,6.896M,7.612M,-2.288M,-21.47M,-8.74M,-3.283M,-1.259M,-2.138M,3.059M,4.063M,-0.322M,-2.99M,0.891M,7.672M,-0.427M,-1.635M,6.047M,-0.718M,0.129M,9.536M,1.426M,-0.323M,1.697M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ending Cash,2.028B,1.583B,1.160B,1.136B,1.556B,1.274B,1.008B,816.09M,834.23M,846.14M,1.649B,1.547B,1.600B,1.049B,779.72M,668.48M,718.51M,742.69M,1.367B,2.127B,2.087B,1.481B,1.230B,1.667B,1.318B,1.319B,1.228B,1.108B,876.44M,1.113B,280.37M,294.06M,615.73M,1.387B,1.577B,1.668B,788.85M,27.83M,650.11M,230.08M,685.75M,608.51M,706.96M,85.21M,331.31M,885.98M,108.10M,204.94M,54.23M,301.94M,58.53M,141.70M,218.26M,595.93M,759.11M,821.33M,643.81M,341.06M,282.70M,173.38M,20.98M,81.91M,67.84M,95.72M,4.443M,184.49M,150.97M,6.833M,9.848M,7.782M,9.206M,5.403M,2.512M,11.34M,68.29M,30.85M,20.15M,16.71M,11.71M,33.36M,24.84M,18.80M,11.40M,13.10M,6.30M,9.20M,13.60M,0.00,9.30M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Issuance of Capital Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005M,0.00,0.059M,1.388B,0.00,0.00,0.00,0.00,,,,,,,,,22.57M,18.66M,8.813M,5.276M,6.749M,18.14M,5.014M,6.129M,8.231M,32.06M,10.11M,14.26M,15.93M,17.29M,33.52M,8.775M,17.42M,2.987M,7.274M,7.456M,3.508M,0.758M,3.113M,9.96M,10.17M,4.576M,6.068M,9.987M,35.31M,34.98M,55.95M,0.854M,725.85M,9.90M,2.50M,0.20M,0.60M,0.10M,1.40M,0.80M,0.40M,3.20M,0.30M,1.20M,7.40M,4.10M,3.50M,7.20M,4.00M,3.10M,1.40M,1.80M,2.40M,0.20M,1.50M,,9.10M,-5.00M,1.60M,3.40M,0.00,111.90M,,,,,,,,,,
Issuance of Debt,,,,,,,,,,,,,0.00,0.00,0.00,991.10M,230.02M,29.70M,0.00,990.22M,0.00,0.00,0.00,496.22M,0.00,0.00,0.00,0.00,0.00,1.234B,,,0.00,0.00,,,1.454B,33.70M,991.40M,,0.00,0.00,691.90M,208.10M,0.00,750.00M,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debt Repayment,-3.261M,-3.235M,-903.21M,-3.19M,-353.17M,-1.698M,-1.683M,-1.671M,-1.658M,-601.65M,-1.632M,-1.619M,-165.44M,-1.596M,-1.581M,-661.29M,-1.557M,-1.546M,-501.53M,-1.521M,-1.509M,-1.499M,-1.484M,-501.47M,-401.46M,-1.452M,-1.439M,-1.427M,-1.417M,-1.407M,0.00,0.00,-220.00M,0.00,,,0.00,0.00,-37.00M,,-8.895M,8.741M,-8.741M,,0.00,0.00,-38.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Repurchase of Capital Stock,-2.914M,-13.84M,-2.155M,-6.248M,-4.898M,-26.54M,-15.25M,-16.78M,-13.03M,-28.70M,-3.05M,-18.63M,-26.48M,-26.89M,-16.08M,-12.67M,-5.372M,-17.06M,-10.90M,-15.46M,-12.60M,-25.30M,-60.63M,-28.90M,-8.222M,-34.47M,-10.07M,-11.02M,-13.79M,-22.14M,-2.591M,-20.07M,-2.565M,-4.621M,-1.755M,-14.98M,-0.997M,-2.991M,-1.96M,-5.347M,-1.098M,-3.763M,-1.221M,-4.904M,-6.568M,-4.401M,-1.357M,-10.90M,-40.56M,-10.64M,,,,,,,,,,,,,,,0.00,0.00,0.00,-21.30M,-38.75M,-24.29M,,,-23.76M,-22.88M,-24.54M,-55.59M,-75.86M,-62.52M,-104.10M,-30.25M,,,,,-0.60M,-17.30M,-0.80M,-7.20M,-40.90M,-9.20M,-15.10M,-34.10M,-10.50M,-8.50M,-7.50M,-17.00M,-4.70M,-6.50M,-3.00M,-3.70M,-9.30M,-2.60M,-2.20M,,-16.70M,9.70M,-3.40M,-6.30M,,,,,,,,,,,,
Income Tax Paid Supplemental Data,,,,,,,,,,,-81.96M,81.96M,,,,,41.11M,49.56M,-62.35M,12.79M,12.26M,82.98M,226.14M,21.36M,74.29M,47.04M,118.97M,54.44M,102.96M,94.92M,78.17M,83.96M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Paid Supplemental Data,,,,,,,,,,,-77.83M,77.83M,67.55M,66.36M,65.93M,52.19M,222.09M,102.11M,-158.24M,56.12M,53.77M,41.30M,48.76M,53.55M,92.24M,21.82M,67.24M,54.56M,103.59M,34.82M,63.94M,33.50M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
