Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03
EBITDA,1.568B,1.887B,2.192B,1.832B,1.994B,2.354B,1.872B,1.703B,1.007B,1.123B,1.081B,1.134B,485.97M,775.82M,662.58M,353.22M,-6.009B,807.82M,1.023B,807.62M,2.063B,2.821B,2.177B,2.133B,1.901B,1.776B,2.027B,1.569B,420.67M,1.427B,1.442B,1.374B,952.08M,1.327B,1.360B,844.28M,724.73M,494.96M,605.30M,654.49M,1.052B,420.29M,376.85M,672.48M,1.122B,2.752B,571.71M,679.50M,862.71M,646.06M,728.20M,605.42M,620.34M,700.44M,670.44M,828.85M,1.023B,686.53M,578.82M,485.28M,532.18M,404.76M,358.67M,302.88M,311.40M,303.75M,283.46M,341.64M,175.76M,161.91M,167.60M,73.75M,79.17M,227.30M,331.71M,447.98M,369.36M,295.75M,229.83M,164.35M,-11.84M,144.80M,104.40M,72.45M,109.27M,103.50M,116.40M,99.50M,148.30M,142.50M,86.90M,93.20M,126.60M,105.70M,143.40M,84.40M,99.50M,94.20M,122.10M,95.90M,136.80M,73.30M,88.30M,97.80M,81.20M,91.00M,90.30M,89.30M,93.30M,69.80M,55.80M,60.70M,76.60M,39.20M,51.70M,57.20M,69.80M,31.30M,40.60M,56.00M,-198.10M,64.40M,70.00M,69.90M
Reconciled Depreciation,959.21M,953.60M,957.30M,879.60M,919.96M,918.18M,848.67M,748.59M,881.74M,846.22M,865.38M,816.04M,862.52M,899.51M,862.49M,928.89M,769.46M,722.17M,909.23M,912.79M,1.014B,1.040B,996.60M,946.49M,915.26M,928.80M,910.53M,846.39M,786.34M,825.85M,808.76M,748.74M,693.53M,651.68M,602.94M,568.23M,543.79M,500.89M,465.34M,431.91M,398.94M,385.33M,375.59M,389.33M,368.14M,346.25M,315.29M,297.20M,282.23M,279.19M,259.78M,244.34M,230.44M,216.07M,192.93M,177.65M,176.97M,164.37M,159.90M,153.02M,144.12M,130.26M,116.22M,113.80M,121.26M,110.44M,106.59M,103.55M,105.41M,100.21M,97.96M,94.46M,97.62M,103.35M,97.47M,93.96M,92.48M,92.06M,90.59M,84.14M,-39.23M,198.10M,88.80M,82.00M,85.71M,84.40M,83.70M,61.30M,74.20M,93.70M,58.30M,52.00M,69.60M,59.40M,69.80M,52.50M,58.10M,56.20M,48.60M,53.10M,60.60M,54.60M,62.20M,64.80M,67.10M,64.20M,58.60M,59.80M,52.70M,45.30M,42.00M,39.80M,51.20M,33.10M,38.50M,38.10M,46.40M,37.90M,37.10M,34.50M,,,,
EBIT,609.02M,933.76M,1.235B,952.72M,1.074B,1.435B,1.023B,954.17M,125.39M,276.72M,215.76M,317.69M,-376.55M,-123.69M,-199.91M,-575.67M,-6.778B,85.65M,113.71M,-105.17M,1.049B,1.781B,1.180B,1.186B,985.60M,847.50M,1.117B,722.39M,-365.67M,601.25M,633.27M,625.45M,258.55M,675.80M,757.29M,276.06M,180.94M,-5.923M,139.96M,222.58M,653.54M,34.96M,1.255M,283.15M,753.44M,2.406B,256.41M,382.30M,580.47M,366.87M,468.42M,361.08M,389.90M,484.37M,477.51M,651.20M,845.62M,522.16M,418.92M,332.27M,388.05M,274.50M,242.45M,189.08M,190.14M,193.31M,176.87M,238.08M,70.34M,61.70M,69.64M,-20.71M,-18.45M,123.95M,234.24M,354.02M,273.76M,203.69M,139.24M,80.21M,27.39M,-53.30M,15.60M,-9.546M,23.56M,19.10M,32.70M,38.20M,74.10M,48.80M,28.60M,41.20M,57.00M,46.30M,73.60M,31.90M,41.40M,38.00M,73.50M,42.80M,76.20M,18.70M,26.10M,33.00M,14.10M,26.80M,31.60M,29.50M,40.60M,24.40M,13.80M,20.90M,25.40M,6.10M,13.10M,19.10M,23.40M,-6.60M,3.50M,21.50M,-198.10M,64.40M,70.00M,69.90M
EPS Basic from Continuing Operations,1.10,1.06,1.47,1.10,1.55,2.06,1.21,1.11,4.22,0.17,0.04,0.05,-0.25,-0.35,-0.53,-0.86,-0.52,-7.47,0.01,-0.31,0.82,2.03,1.30,1.22,1.07,0.85,1.22,0.92,-0.94,0.665,0.74,0.61,0.22,1.015,0.555,0.26,0.105,-0.14,0.12,0.235,0.805,0.01,-0.035,0.32,0.93,3.15,0.36,0.49,0.735,0.415,0.63,0.445,0.49,0.615,0.68,0.88,0.96,0.715,0.52,0.425,0.435,0.36,0.305,0.21,0.1575,0.25,0.2325,0.2925,0.09,0.0575,0.0775,-0.0575,-0.0575,0.15,0.2875,0.4575,0.34,0.245,0.16,0.0825,0.10,0.9375,0.0325,0.0075,0.015,0.01,0.0225,0.0425,0.07,0.05,0.04,0.0375,0.055,0.05,0.075,0.04,0.05,0.0525,0.075,0.0475,0.0675,0.065,0.0525,0.0475,0.06,0.0575,0.0525,0.0475,0.0625,0.035,0.025,0.0375,0.035,0.0225,0.0125,0.02,0.0325,0.015,0.01,0.02,,-0.0075,-0.005,-0.005
EPS Basic from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.015,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
EPS Basic from Extraordinaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalized Basic EPS,1.243,1.201,1.611,1.202,1.701,1.959,1.289,1.219,4.448,0.2443,0.1318,0.3134,-0.0011,-0.2608,-0.4058,-0.7846,-0.2958,0.0359,0.0915,-0.2204,0.9438,2.024,1.341,1.340,1.184,0.9420,1.249,0.7865,0.3604,0.6597,0.6725,0.6864,0.2419,0.7034,0.7540,0.3692,0.1362,0.3095,0.2248,0.3152,0.9642,0.1387,0.0304,0.3971,1.028,3.174,0.4120,0.5311,0.8024,0.4542,0.5845,0.5030,0.1014,0.6553,0.5802,0.7732,1.131,0.6989,0.5749,0.4509,0.6574,0.3222,0.3489,0.2645,0.5031,0.2102,0.2287,0.3257,0.2846,0.0576,0.0774,-0.0530,-0.1362,0.1483,0.2859,0.4584,0.3333,0.2450,0.1590,0.0825,0.1018,0.3294,0.0008,-0.0162,0.0171,0.0116,0.0226,0.0440,0.0746,0.0498,0.0390,0.0362,0.0582,0.0516,0.075,0.0407,0.0478,0.0541,0.0745,0.0482,0.1106,0.0215,0.0349,0.0374,0.0554,0.0379,0.0519,0.0458,0.0639,0.0352,0.0199,0.0381,0.0342,0.0107,0.0146,0.0193,0.0335,-0.0054,-0.0093,0.0205,,-0.0075,-0.005,-0.005
EPS Basic,1.10,1.06,1.47,1.10,1.55,2.06,1.21,1.11,4.22,0.17,0.04,0.05,-0.25,-0.35,-0.53,-0.86,-0.52,-7.47,0.01,-0.31,0.82,2.03,1.30,1.22,1.07,0.85,1.22,0.92,-0.94,0.665,0.74,0.61,0.22,1.015,0.555,0.26,0.105,-0.14,0.12,0.235,0.805,0.01,-0.035,0.32,0.93,3.15,0.36,0.49,0.735,0.415,0.63,0.445,0.49,0.615,0.68,0.88,0.96,0.715,0.52,0.425,0.435,0.36,0.305,0.21,0.1575,0.25,0.2325,0.2775,0.09,0.0575,0.0775,-0.0575,-0.0575,0.15,0.2875,0.4575,0.34,0.245,0.16,0.0825,0.10,0.9375,0.0325,0.0075,0.015,0.01,0.0225,0.0425,0.07,0.05,0.04,0.0375,0.055,0.05,0.075,0.04,0.05,0.0525,0.075,0.0475,0.0675,0.065,0.0525,0.0475,0.06,0.0575,0.0525,0.0475,0.0625,0.035,0.025,0.0375,0.035,0.0225,0.0125,0.02,0.0325,0.015,0.01,0.02,,-0.0075,-0.005,-0.005
EPS Diluted from Continuing Operations,1.10,1.06,1.46,1.10,1.54,2.05,1.20,1.10,4.20,0.17,0.04,0.05,-0.25,-0.35,-0.53,-0.86,-0.52,-7.47,0.01,-0.31,0.81,2.01,1.29,1.21,1.06,0.85,1.21,0.91,-0.94,0.655,0.735,0.60,0.22,1.005,0.55,0.26,0.105,-0.14,0.12,0.23,0.795,0.01,-0.035,0.315,0.92,3.10,0.355,0.48,0.72,0.41,0.62,0.44,0.48,0.605,0.67,0.865,0.94,0.70,0.51,0.415,0.425,0.355,0.30,0.21,0.1525,0.2475,0.2275,0.2875,0.09,0.055,0.075,-0.0575,-0.0575,0.1475,0.2825,0.4475,0.3325,0.2375,0.1575,0.0825,0.0975,0.9275,0.0325,0.0075,0.015,0.01,0.0225,0.0425,0.0675,0.05,0.04,0.035,0.055,0.0475,0.0725,0.04,0.05,0.0525,0.075,0.0475,0.0675,0.065,0.0525,0.0475,0.0575,0.0575,0.0525,0.0475,0.0625,0.035,0.025,0.0375,0.035,0.0225,0.0125,0.02,0.0325,0.015,0.01,0.02,,-0.0075,-0.005,-0.005
EPS Diluted from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.015,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
EPS Diluted from Extraordinaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,,,-0.0156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalized Diluted EPS,1.243,1.200,1.600,1.201,1.690,1.949,1.278,1.208,4.426,0.2438,0.1311,0.3113,-0.0011,-0.2608,-0.4058,-0.7846,-0.2958,0.0359,0.0909,-0.2204,0.9328,2.004,1.331,1.329,1.172,0.9409,1.239,0.7779,0.3453,0.6498,0.6683,0.6753,0.2416,0.6972,0.7465,0.3676,0.1358,0.3095,0.2233,0.3091,0.9519,0.1372,0.0304,0.3914,1.017,3.124,0.4060,0.5204,0.7862,0.4486,0.5753,0.4971,0.0976,0.6446,0.5719,0.7603,1.107,0.6843,0.5637,0.4404,0.6427,0.3179,0.3430,0.2636,0.4913,0.2083,0.2237,0.3202,0.2804,0.0551,0.0749,-0.0530,-0.1359,0.1458,0.2809,0.4484,0.3262,0.2375,0.1565,0.0825,0.0993,0.3259,0.0008,-0.0162,0.0171,0.0116,0.0226,0.0440,0.0719,0.0498,0.0390,0.0338,0.0582,0.0490,0.0725,0.0407,0.0478,0.0541,0.0745,0.0482,0.1106,0.0215,0.0349,0.0374,0.0531,0.0379,0.0519,0.0458,0.0639,0.0352,0.0199,0.0381,0.0342,0.0107,0.0146,0.0193,0.0335,-0.0054,-0.0093,0.0205,,-0.0075,-0.005,-0.005
EPS Diluted,1.10,1.06,1.46,1.10,1.54,2.05,1.20,1.10,4.20,0.17,0.04,0.05,-0.25,-0.35,-0.53,-0.86,-0.52,-7.47,0.01,-0.31,0.81,2.01,1.29,1.21,1.06,0.85,1.21,0.91,-0.94,0.655,0.735,0.60,0.22,1.005,0.55,0.26,0.105,-0.14,0.12,0.23,0.795,0.01,-0.035,0.315,0.92,3.10,0.355,0.48,0.72,0.41,0.62,0.44,0.48,0.605,0.67,0.865,0.94,0.70,0.51,0.415,0.425,0.355,0.30,0.21,0.1525,0.2475,0.2275,0.2725,0.09,0.055,0.075,-0.0575,-0.0575,0.1475,0.2825,0.4475,0.3325,0.2375,0.1575,0.0825,0.0975,0.9275,0.0325,0.0075,0.015,0.01,0.0225,0.0425,0.0675,0.05,0.04,0.035,0.055,0.0475,0.0725,0.04,0.05,0.0525,0.075,0.0475,0.0675,0.065,0.0525,0.0475,0.0575,0.0575,0.0525,0.0475,0.0625,0.035,0.025,0.0375,0.035,0.0225,0.0125,0.02,0.0325,0.015,0.01,0.02,,-0.0075,-0.005,-0.005
Average Basic Shares Outstanding,578.19M,577.84M,577.46M,577.21M,577.02M,577.25M,576.14M,575.78M,575.37M,574.78M,574.44M,573.94M,571.65M,547.84M,547.34M,546.72M,546.39M,545.92M,545.50M,545.00M,544.51M,543.98M,543.10M,542.28M,541.76M,540.94M,540.03M,538.72M,537.80M,535.88M,533.75M,533.35M,531.90M,532.11M,531.66M,510.40M,502.69M,502.03M,501.65M,500.74M,500.09M,499.07M,496.41M,495.98M,495.24M,494.31M,493.07M,490.86M,488.91M,486.97M,486.45M,485.53M,484.96M,483.82M,483.23M,482.24M,480.63M,478.69M,476.50M,474.59M,472.19M,469.64M,465.55M,462.58M,459.68M,458.46M,457.53M,457.71M,458.70M,462.48M,462.95M,461.94M,460.46M,462.77M,463.48M,465.54M,468.62M,467.44M,464.90M,471.31M,474.76M,547.09M,633.85M,680.00M,616.03M,590.00M,591.11M,635.29M,611.36M,624.00M,615.00M,616.00M,650.38M,628.00M,634.67M,647.50M,633.45M,628.57M,641.33M,623.16M,641.16M,630.77M,651.43M,637.89M,641.64M,622.61M,638.10M,635.79M,662.94M,588.57M,584.00M,594.67M,661.82M,595.56M,584.00M,595.00M,640.78M,566.67M,560.00M,560.00M,607.20M,595.20M,595.20M,595.20M
Average Diluted Shares Outstanding,579.54M,581.27M,580.25M,580.22M,580.44M,581.56M,580.38M,579.73M,579.41M,578.74M,578.48M,578.59M,571.65M,547.84M,547.34M,546.72M,546.39M,545.92M,549.68M,545.00M,548.95M,549.52M,548.68M,548.07M,547.77M,547.15M,545.48M,544.53M,544.13M,541.96M,539.97M,540.48M,538.67M,538.58M,538.66M,517.64M,509.34M,502.03M,509.01M,507.74M,507.34M,504.84M,496.41M,500.41M,499.75M,501.86M,502.27M,499.53M,497.45M,494.85M,494.52M,493.35M,492.86M,492.27M,491.77M,491.85M,490.62M,489.80M,486.83M,484.23M,482.49M,478.71M,474.83M,470.48M,468.90M,465.48M,464.52M,464.90M,468.72M,468.31M,470.76M,461.94M,461.90M,468.56M,472.19M,475.81M,503.31M,467.44M,476.71M,473.12M,480.62M,552.99M,633.85M,680.00M,625.17M,590.00M,591.11M,635.29M,643.86M,624.00M,615.00M,660.00M,655.62M,661.05M,656.55M,647.50M,641.74M,628.57M,641.33M,623.16M,641.16M,630.77M,651.43M,637.89M,671.84M,622.61M,638.10M,635.79M,662.94M,588.57M,584.00M,594.67M,661.82M,595.56M,584.00M,595.00M,640.78M,566.67M,560.00M,560.00M,607.20M,595.20M,595.20M,595.20M
Dividend Per Share,0.2875,0.2875,0.22,0.22,0.22,0.185,0.185,0.1675,0.1675,0.1675,0.1675,0.1675,0.1675,0.1675,0.1675,0.1675,0.1675,0.1675,0.1675,0.1675,0.1675,0.125,0.125,0.0938,0.0938,0.0938,0.0938,0.085,0.085,0.085,0.085,0.08,0.08,0.08,0.08,0.0775,0.0775,0.0775,0.0775,0.0725,0.0725,0.0725,0.0725,0.0675,0.0675,0.06,0.06,0.045,0.045,0.045,0.045,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.015,0.015,0.015,0.015,0.0125,0.0125,0.0125,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0088,0.0088,0.0088,0.0075,0.015,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,,,,
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
