Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12
Current Debt & Capital Lease Obligation,1.384B,1.399B,1.410B,1.311B,913.09M,1.263B,1.263B,363.16M,356.24M,6.579M,606.45M,6.579M,6.579M,6.579M,6.579M,6.579M,6.579M,36.28M,6.579M,506.58M,6.579M,6.579M,6.579M,6.579M,6.579M,406.58M,406.58M,406.58M,406.58M,,,,,220.00M,220.00M,220.00M,220.00M,,,37.00M,37.00M,37.00M,37.00M,,37.00M,37.00M,,,,98.44M,,,,124.08M,124.08M,124.08M,126.08M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80M,1.80M,1.70M,,,,30.00M,,,,,,,,,,,,,,,,
Current Deferred Liabilities,,,,,,,,,,,,,,,,,,0.00,0.00,62.21M,110.74M,2.444M,,,0.00,0.00,4.31M,2.164M,22.84M,2.793M,121.06M,148.62M,135.99M,139.65M,62.57M,113.18M,70.04M,45.37M,9.889M,20.65M,62.63M,114.30M,213.41M,296.47M,368.23M,200.12M,61.05M,19.54M,108.98M,84.50M,54.90M,21.07M,144.62M,122.15M,83.67M,36.23M,164.66M,105.38M,52.35M,20.29M,103.93M,66.75M,36.26M,14.27M,73.61M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Tax Liability,,,,,,,,,,,,,,,,,,0.00,0.00,62.21M,110.74M,2.444M,,,0.00,0.00,4.31M,2.164M,22.84M,2.793M,121.06M,122.83M,135.99M,139.65M,50.18M,7.944M,41.70M,45.37M,9.889M,20.65M,35.41M,114.30M,213.41M,296.47M,368.23M,200.12M,61.05M,19.54M,108.98M,84.50M,54.90M,21.07M,144.62M,122.15M,83.67M,36.23M,164.66M,105.38M,52.35M,20.29M,103.93M,66.75M,36.26M,14.27M,73.61M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Liability,252.85M,211.10M,181.40M,171.27M,233.72M,350.44M,377.78M,271.78M,276.89M,261.11M,249.03M,228.69M,294.36M,195.04M,169.96M,174.72M,155.59M,182.83M,150.65M,130.91M,174.75M,245.34M,573.00M,403.18M,390.56M,441.81M,195.25M,202.07M,207.81M,210.15M,135.58M,165.10M,163.03M,179.91M,131.87M,150.91M,143.98M,197.96M,163.69M,172.12M,137.64M,143.49M,104.70M,97.59M,117.75M,118.89M,866.80M,391.48M,108.40M,91.58M,76.44M,72.64M,82.84M,74.26M,63.04M,63.95M,60.86M,61.45M,112.89M,50.78M,52.57M,59.21M,100.10M,130.99M,120.53M,63.00M,66.93M,73.39M,40.15M,58.56M,34.11M,94.68M,34.72M,124.82M,168.88M,164.68M,123.65M,72.98M,39.46M,48.28M,45.80M,59.10M,38.80M,45.40M,56.30M,54.70M,36.30M,40.30M,55.30M,36.40M,26.80M,37.00M,39.80M,38.50M,32.00M,27.10M,35.60M,37.50M,31.90M,30.90M,31.70M,143.10M,25.50M,27.30M,31.10M,30.00M,28.30M,23.90M,64.10M,24.20M,23.20M,19.50M,29.00M,30.20M,32.60M,24.60M,25.70M,24.10M,26.60M,19.90M,20.10M
Total Current Liabilities,4.487B,4.474B,4.414B,4.301B,3.728B,4.425B,4.297B,2.837B,2.726B,2.180B,2.722B,2.032B,2.027B,1.733B,1.712B,1.548B,1.819B,2.047B,2.278B,3.095B,3.384B,3.379B,3.537B,3.396B,2.862B,3.347B,3.020B,3.075B,2.924B,2.578B,2.680B,2.772B,2.522B,2.666B,2.476B,2.500B,2.220B,1.938B,1.558B,1.493B,1.346B,1.201B,1.190B,1.283B,1.765B,1.833B,2.445B,1.725B,1.474B,1.342B,1.159B,1.099B,1.255B,1.259B,1.083B,1.068B,1.172B,773.26M,604.77M,562.79M,632.20M,524.43M,506.06M,493.02M,476.52M,353.93M,323.12M,331.29M,276.35M,268.78M,233.73M,261.64M,310.85M,382.50M,395.92M,406.08M,370.12M,289.75M,206.50M,235.72M,218.60M,212.10M,199.50M,221.60M,262.60M,268.50M,239.20M,245.80M,291.00M,233.20M,219.00M,265.90M,317.40M,215.60M,181.20M,142.60M,169.30M,156.50M,144.10M,143.00M,164.60M,151.90M,165.80M,167.40M,217.90M,163.60M,160.00M,141.70M,194.70M,119.00M,98.90M,87.80M,113.30M,115.60M,104.00M,118.60M,110.00M,112.90M,79.30M,82.10M,81.30M
Non-Current Portion of Long Term Debt,4.161B,4.163B,4.165B,5.166B,5.170B,5.172B,5.172B,6.072B,6.031B,6.380B,6.380B,6.980B,6.980B,6.980B,6.979B,6.979B,6.649B,6.394B,6.394B,6.394B,5.903B,5.903B,5.903B,5.903B,5.907B,5.906B,5.906B,5.906B,5.906B,6.305B,5.012B,5.011B,5.009B,5.008B,5.006B,5.005B,5.003B,3.769B,3.734B,2.76B,2.76B,2.76B,2.76B,2.105B,1.86B,1.86B,1.147B,1.185B,1.185B,1.185B,883.84M,820.04M,733.44M,705.44M,768.44M,808.67M,858.99M,1.043B,1.117B,1.120B,1.078B,1.063B,1.086B,1.086B,1.109B,1.011B,1.011B,1.044B,1.145B,1.091B,1.036B,975.66M,855.97M,701.02M,640.82M,644.87M,859.00M,945.17M,949.55M,940.92M,990.30M,1.165B,1.140B,1.170B,1.143B,1.074B,850.90M,799.20M,741.30M,678.60M,633.60M,518.10M,466.10M,300.70M,288.60M,318.40M,289.10M,263.90M,213.90M,198.20M,190.30M,183.90M,176.00M,153.00M,153.00M,150.00M,150.00M,150.00M,150.00M,159.90M,426.70M,418.30M,422.40M,396.40M,382.60M,413.10M,418.40M,408.70M,450.10M,393.80M,360.00M
Non-Current Portion of LTD and Capital Lease Obligation,4.161B,4.163B,4.165B,5.166B,5.170B,5.172B,5.172B,6.072B,6.031B,6.380B,6.380B,6.980B,6.980B,6.980B,6.979B,6.979B,6.649B,6.394B,6.394B,6.394B,5.903B,5.903B,5.903B,5.903B,5.907B,5.906B,5.906B,5.906B,5.906B,6.305B,5.012B,5.011B,5.009B,5.008B,5.006B,5.005B,5.003B,3.769B,3.734B,2.76B,2.76B,2.76B,2.76B,2.105B,1.86B,1.86B,1.147B,1.185B,1.185B,1.185B,883.84M,820.04M,733.44M,705.44M,768.44M,808.67M,858.99M,1.043B,1.117B,1.120B,1.078B,1.063B,1.086B,1.086B,1.109B,1.011B,1.011B,1.044B,1.145B,1.091B,1.036B,975.66M,855.97M,701.02M,640.82M,644.87M,859.00M,945.17M,949.55M,940.92M,990.30M,1.165B,1.140B,1.170B,1.143B,1.074B,850.90M,799.20M,741.30M,678.60M,633.60M,518.10M,466.10M,300.70M,288.60M,318.40M,289.10M,263.90M,213.90M,198.20M,190.30M,183.90M,176.00M,153.00M,153.00M,150.00M,150.00M,150.00M,150.00M,159.90M,426.70M,418.30M,422.40M,396.40M,382.60M,413.10M,418.40M,408.70M,450.10M,393.80M,360.00M
Long Term Deferred Tax Liabilities,5.046B,4.923B,4.738B,4.520B,4.413B,4.200B,3.866B,3.690B,3.518B,5.107B,5.060B,5.024B,5.028B,4.068B,4.104B,4.420B,4.588B,4.582B,6.799B,6.774B,6.823B,6.415B,6.162B,5.887B,5.522B,5.185B,4.971B,4.632B,4.327B,4.513B,4.160B,3.990B,3.867B,3.858B,3.681B,3.571B,3.502B,3.424B,3.424B,3.456B,3.382B,3.133B,3.033B,2.966B,2.814B,2.708B,2.545B,2.387B,2.071B,1.961B,1.861B,1.748B,1.513B,1.416B,1.346B,1.334B,1.123B,1.088B,1.058B,1.029B,902.35M,915.80M,876.41M,879.92M,769.13M,797.01M,766.53M,721.32M,660.95M,613.68M,582.35M,563.35M,551.02M,557.18M,455.44M,372.51M,340.08M,324.74M,265.92M,243.43M,226.00M,233.50M,265.40M,256.50M,260.30M,273.70M,291.50M,285.80M,287.70M,317.20M,315.10M,314.40M,308.90M,305.20M,312.00M,300.70M,308.10M,292.30M,301.80M,285.00M,269.30M,291.80M,266.40M,272.50M,270.20M,303.50M,247.50M,247.60M,241.90M,242.30M,256.00M,256.60M,260.30M,259.00M,268.40M,271.30M,276.10M,283.10M,266.60M,298.20M,295.40M
Non-Current Deferred Liabilities,5.046B,4.923B,4.738B,4.520B,4.413B,4.200B,3.866B,3.690B,3.518B,5.107B,5.060B,5.024B,5.028B,4.068B,4.104B,4.420B,4.588B,4.582B,6.799B,6.774B,6.823B,6.415B,6.162B,5.887B,5.522B,5.185B,4.971B,4.632B,4.327B,4.513B,4.160B,3.990B,3.867B,3.858B,3.681B,3.571B,3.502B,3.424B,3.424B,3.456B,3.382B,3.133B,3.033B,2.966B,2.814B,2.708B,2.545B,2.387B,2.071B,1.961B,1.861B,1.748B,1.513B,1.416B,1.346B,1.334B,1.123B,1.088B,1.058B,1.029B,902.35M,915.80M,876.41M,879.92M,769.13M,797.01M,766.53M,721.32M,660.95M,613.68M,582.35M,563.35M,551.02M,557.18M,455.44M,372.51M,340.08M,324.74M,265.92M,243.43M,226.00M,233.50M,265.40M,256.50M,260.30M,273.70M,291.50M,285.80M,287.70M,317.20M,315.10M,314.40M,308.90M,305.20M,312.00M,300.70M,308.10M,292.30M,301.80M,285.00M,269.30M,291.80M,266.40M,272.50M,270.20M,303.50M,247.50M,247.60M,241.90M,242.30M,256.00M,256.60M,260.30M,259.00M,268.40M,271.30M,276.10M,283.10M,266.60M,298.20M,295.40M
Minority Interest Ownership,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.00M,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Liabilities,1.790B,1.858B,1.803B,1.772B,1.258B,1.302B,1.305B,1.302B,1.275B,1.215B,1.200B,1.248B,1.282B,975.76M,978.51M,985.71M,971.34M,970.29M,986.76M,959.07M,939.50M,1.084B,991.45M,922.59M,865.07M,846.78M,795.31M,864.01M,894.76M,842.17M,791.30M,790.42M,799.19M,768.52M,718.70M,680.75M,667.46M,695.86M,618.74M,635.24M,632.65M,609.15M,550.34M,514.14M,498.29M,512.01M,661.42M,462.87M,368.34M,353.33M,328.12M,315.10M,300.91M,310.06M,296.41M,289.85M,283.41M,271.36M,248.14M,252.00M,241.32M,195.48M,180.74M,180.73M,171.12M,163.86M,158.06M,150.89M,59.18M,53.79M,52.02M,53.76M,53.52M,56.17M,59.96M,56.55M,51.13M,64.51M,66.62M,62.12M,46.30M,34.80M,47.20M,56.90M,72.10M,69.10M,81.60M,108.60M,122.40M,107.40M,113.20M,122.00M,100.90M,166.60M,194.10M,219.00M,217.10M,238.00M,256.30M,279.10M,194.30M,208.50M,214.40M,226.80M,237.00M,243.70M,266.60M,288.70M,310.40M,336.90M,8.60M,9.20M,9.40M,9.40M,9.30M,6.50M,3.40M,6.60M,9.10M,7.50M,46.80M
Total Long Term Liabilities,11.00B,10.94B,10.71B,11.46B,10.84B,10.67B,10.34B,11.06B,10.82B,12.70B,12.64B,13.25B,13.29B,12.02B,12.06B,12.38B,12.21B,11.95B,14.18B,14.13B,13.67B,13.40B,13.06B,12.71B,12.29B,11.94B,11.67B,11.40B,11.13B,11.66B,9.963B,9.791B,9.676B,9.635B,9.406B,9.257B,9.173B,7.888B,7.777B,6.851B,6.775B,6.502B,6.344B,5.585B,5.172B,5.080B,4.354B,4.035B,3.625B,3.499B,3.073B,2.883B,2.547B,2.432B,2.411B,2.433B,2.265B,2.402B,2.423B,2.401B,2.221B,2.174B,2.143B,2.146B,2.049B,1.972B,1.935B,1.916B,1.865B,1.758B,1.670B,1.593B,1.461B,1.314B,1.156B,1.074B,1.250B,1.334B,1.282B,1.246B,1.263B,1.434B,1.452B,1.484B,1.475B,1.417B,1.224B,1.194B,1.151B,1.103B,1.062B,954.50M,875.90M,772.50M,794.70M,838.10M,814.30M,794.20M,772.00M,762.30M,653.90M,684.20M,656.80M,652.30M,660.20M,697.20M,664.10M,686.30M,702.30M,739.10M,691.30M,684.10M,692.10M,664.80M,660.30M,690.90M,697.90M,698.40M,725.80M,699.50M,702.20M
Total Liabilities,15.48B,15.42B,15.12B,15.76B,14.57B,15.10B,14.64B,13.90B,13.55B,14.88B,15.36B,15.28B,15.32B,13.76B,13.77B,13.93B,14.03B,13.99B,16.46B,17.22B,17.05B,16.78B,16.59B,16.11B,15.16B,15.29B,14.69B,14.48B,14.05B,14.24B,12.64B,12.56B,12.20B,12.30B,11.88B,11.76B,11.39B,9.827B,9.335B,8.344B,8.121B,7.704B,7.533B,6.868B,6.937B,6.913B,6.799B,5.760B,5.099B,4.841B,4.232B,3.981B,3.802B,3.691B,3.494B,3.500B,3.437B,3.175B,3.028B,2.963B,2.853B,2.699B,2.649B,2.639B,2.526B,2.326B,2.259B,2.248B,2.142B,2.027B,1.904B,1.854B,1.771B,1.697B,1.552B,1.480B,1.620B,1.624B,1.489B,1.482B,1.481B,1.646B,1.652B,1.706B,1.738B,1.686B,1.463B,1.439B,1.442B,1.336B,1.281B,1.220B,1.193B,988.10M,975.90M,980.70M,983.60M,950.70M,916.10M,905.30M,818.50M,836.10M,822.60M,819.70M,878.10M,860.80M,824.10M,828.00M,897.00M,858.10M,790.20M,771.90M,805.40M,780.40M,764.30M,809.50M,807.90M,811.30M,805.10M,781.60M,783.50M
Total Capital Stock,205.82M,205.82M,205.81M,205.81M,205.80M,205.80M,205.80M,205.79M,205.79M,205.79M,205.78M,205.78M,205.77M,205.51M,205.51M,205.51M,205.50M,205.50M,205.50M,205.49M,205.49M,205.49M,205.48M,205.47M,202.73M,202.73M,202.73M,202.72M,202.72M,202.71M,202.70M,202.70M,202.69M,202.69M,202.69M,202.68M,202.54M,202.54M,202.54M,202.53M,202.53M,202.52M,202.50M,202.50M,202.50M,202.50M,202.50M,202.50M,207.47M,245.53M,255.45M,255.41M,255.38M,301.74M,301.68M,301.62M,301.56M,301.50M,301.44M,301.38M,300.07M,349.98M,349.87M,349.77M,349.66M,349.56M,349.45M,349.35M,349.25M,349.14M,349.04M,348.93M,348.83M,348.72M,348.62M,348.52M,348.41M,348.31M,348.41M,348.38M,348.40M,201.20M,201.60M,,,,,,,,,,,,,,,,19.00M,19.00M,,,,,,,,,,,,,,,,,,,,,
Retained Earnings,15.65B,15.18B,14.73B,14.05B,13.54B,12.78B,11.71B,11.13B,10.59B,8.260B,8.256B,8.330B,8.398B,8.642B,8.924B,9.308B,9.871B,10.25B,14.41B,14.50B,14.76B,14.41B,13.40B,12.76B,12.17B,11.64B,11.23B,10.62B,10.18B,10.73B,10.42B,10.07B,9.789B,9.711B,9.213B,8.963B,8.870B,8.856B,8.966B,8.946B,8.867B,8.503B,8.536B,8.589B,8.466B,8.038B,6.516B,6.368B,6.157B,5.821B,5.641B,5.357B,5.151B,4.928B,4.646B,4.331B,3.920B,3.468B,3.136B,2.898B,2.707B,2.510B,2.347B,2.212B,2.121B,2.055B,1.946B,1.846B,1.724B,1.687B,1.666B,1.636B,1.669B,1.702B,1.638B,1.509B,1.301B,1.146B,1.037B,965.72M,930.90M,904.90M,854.80M,838.80M,838.40M,833.00M,831.70M,823.10M,800.70M,762.20M,735.70M,715.90M,697.60M,667.20M,640.60M,597.90M,576.70M,550.10M,522.00M,478.60M,453.80M,416.00M,379.90M,325.00M,325.00M,260.30M,260.30M,231.60M,213.20M,177.90M,161.30M,150.50M,132.00M,113.40M,103.30M,100.30M,92.20M,75.90M,62.00M,69.40M,62.00M
Additional Paid In Capital,5.817B,5.769B,5.729B,5.695B,5.659B,5.626B,5.592B,5.569B,5.537B,5.514B,5.486B,5.447B,5.420B,2.993B,2.982B,2.952B,2.923B,2.897B,2.858B,2.819B,2.837B,2.786B,2.728B,2.698B,2.647B,2.615B,2.576B,2.540B,2.500B,2.460B,2.374B,2.328B,2.272B,2.231B,2.181B,2.148B,729.99M,695.05M,656.53M,620.37M,596.70M,528.54M,395.13M,349.21M,323.80M,369.13M,321.03M,263.09M,221.10M,186.26M,162.59M,140.64M,129.99M,121.30M,91.85M,60.90M,84.70M,72.77M,38.39M,31.48M,21.05M,15.59M,7.478M,8.18M,1.625M,2.801M,0.029M,1.396M,,,,,,4.603M,10.56M,9.687M,4.221M,1.904M,3.80M,2.842M,,,401.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treasury Stock,26.53M,26.31M,31.93M,45.01M,42.18M,52.24M,42.19M,45.11M,33.30M,39.96M,28.76M,36.12M,23.68M,16.69M,29.26M,29.21M,23.41M,31.09M,22.76M,19.39M,70.10M,69.74M,51.06M,33.66M,15.26M,20.63M,30.81M,33.25M,33.82M,46.98M,39.17M,36.28M,24.93M,23.10M,12.90M,11.72M,11.15M,11.18M,8.857M,8.863M,7.653M,7.895M,4.173M,3.132M,5.736M,5.125M,16.34M,31.44M,61.90M,76.02M,95.03M,101.67M,113.44M,118.89M,133.72M,125.68M,131.34M,140.72M,166.96M,180.97M,200.70M,217.14M,240.36M,287.04M,299.58M,327.93M,334.33M,344.40M,335.89M,303.80M,281.50M,287.40M,304.78M,298.57M,286.12M,276.45M,237.26M,211.69M,194.12M,156.76M,128.30M,127.90M,117.10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.977M,43.04M,52.95M,52.92M,52.89M,99.24M,99.18M,99.12M,99.06M,99.00M,98.94M,98.88M,98.83M,148.73M,148.62M,148.52M,148.42M,148.31M,148.21M,148.10M,148.00M,147.89M,147.79M,147.69M,147.58M,147.48M,147.37M,147.27M,147.16M,147.06M,147.16M,147.14M,147.20M,,,,,,,,,,,,,,,,,,19.00M,19.00M,,,,,,,,,,,,,,,,,,,,,
Adjustments for Foreign Currency Translation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.34M,-21.91M,-19.80M,-25.30M,-26.10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Equity Adjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.338M,-4.383M,-1.60M,-1.30M,-4.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accrued Comprehensive Inc,-4.652M,-3.689M,-4.528M,-2.869M,-1.358M,-19.46M,-17.51M,-14.29M,-19.30M,-17.16M,-17.49M,-18.66M,-19.01M,-25.10M,-25.26M,-31.13M,-33.34M,-34.98M,-28.00M,-36.43M,-23.06M,387.72M,426.59M,402.80M,415.83M,425.28M,408.26M,427.83M,439.90M,451.40M,400.09M,429.45M,401.75M,372.45M,492.88M,485.46M,440.07M,375.85M,314.63M,405.23M,339.72M,291.63M,130.50M,-21.69M,27.79M,314.98M,403.20M,388.85M,466.70M,450.50M,328.92M,194.63M,176.70M,241.64M,242.83M,175.74M,140.89M,149.50M,90.42M,103.62M,118.15M,67.64M,13.50M,32.35M,50.46M,20.77M,20.32M,-29.42M,-64.91M,-66.94M,-47.81M,-72.54M,-70.07M,-67.60M,-52.24M,-58.43M,-35.51M,-36.57M,-31.68M,-26.29M,-21.40M,-26.60M,-30.30M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholders Equity,21.64B,21.12B,20.63B,19.90B,19.36B,18.54B,17.45B,16.84B,16.28B,13.92B,13.90B,13.93B,13.98B,11.80B,12.06B,12.41B,12.94B,13.28B,17.43B,17.47B,17.71B,17.72B,16.71B,16.03B,15.42B,14.86B,14.38B,13.76B,13.28B,13.79B,13.36B,12.99B,12.64B,12.49B,12.08B,11.79B,10.23B,10.12B,10.13B,10.16B,9.998B,9.518B,9.260B,9.116B,9.014B,8.920B,7.426B,7.191B,6.990B,6.627B,6.293B,5.846B,5.600B,5.474B,5.148B,4.743B,4.316B,3.851B,3.399B,3.154B,2.945B,2.726B,2.478B,2.316B,2.223B,2.100B,1.982B,1.823B,1.672B,1.666B,1.686B,1.625B,1.643B,1.689B,1.659B,1.532B,1.381B,1.248B,1.163B,1.134B,1.130B,951.70M,1.31B,1.285B,1.280B,1.276B,1.300B,1.299B,1.281B,1.275B,1.255B,1.25B,1.265B,1.237B,1.214B,1.175B,1.164B,1.140B,1.131B,1.086B,1.043B,1.020B,981.30M,952.00M,933.10M,899.00M,875.10M,850.70M,834.00M,800.40M,675.90M,665.90M,650.20M,633.70M,652.20M,618.30M,610.00M,594.00M,582.30M,586.40M,582.30M
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
