Net Change in Short Term Debt,328.30M,233.00M,419.00M,-52.00M,-332.60M,-346.60M,-69.60M,1.020B,579.30M,-792.40M,315.70M,-177.00M,234.70M,-582.00M,839.30M,421.00M,18.00M,-323.00M,250.00M,-491.00M,64.00M,-200.00M,150.00M,575.00M,-458.00M,-320.00M,231.00M,326.00M,-235.00M,8.00M,158.00M,-600.00M,14.00M,-276.00M,479.00M,87.00M,-3.00M,-123.00M,408.00M,938.00M,-226.00M,-210.00M,-1.414B,0.00,-1.302B,597.00M,296.00M,-251.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Debt Issuance,1.149B,641.60M,1.384B,998.70M,202.90M,380.60M,486.10M,1.300B,1.013B,355.20M,609.10M,-1.353B,758.00M,-320.20M,569.80M,598.80M,231.90M,-425.00M,570.40M,16.40M,657.40M,-289.00M,151.00M,248.00M,327.00M,-402.00M,269.00M,123.00M,264.00M,-87.00M,121.00M,175.00M,418.00M,-864.00M,35.00M,307.00M,-611.00M,-104.00M,189.00M,928.00M,-9.00M,320.00M,-1.584B,831.00M,-1.352B,816.00M,376.00M,353.00M,279.00M,329.00M,939.00M,355.00M,891.00M,-23.00M,423.00M,129.00M,471.00M,-173.00M,-454.00M,65.00M,-555.00M,-1.128B,-111.00M,-444.00M,-611.00M,37.00M,33.00M,-186.00M,-415.00M,-1.222B,209.00M,560.00M,483.00M,-676.00M,1.035B,-343.00M,-87.00M,338.00M,560.00M,56.00M,787.00M,-140.00M,636.00M,5.00M,1.588B,-29.00M,120.00M,-41.00M,129.10M,-135.70M,561.80M,212.50M,38.10M,-191.30M,24.90M,-111.10M,162.50M,-262.90M,283.20M,-81.00M,148.00M,-127.50M,116.10M,-132.30M
Common Stock Issuance,20.60M,12.40M,17.80M,14.50M,11.10M,11.60M,18.70M,32.20M,12.20M,0.00,,0.00,0.00,3.30M,18.80M,12.10M,13.70M,12.10M,25.40M,30.40M,10.60M,34.00M,14.00M,15.00M,22.20M,20.00M,26.00M,15.00M,19.00M,14.00M,19.00M,31.00M,22.00M,21.00M,18.00M,31.00M,28.00M,23.00M,16.00M,26.00M,22.00M,18.00M,1.64B,48.00M,53.00M,34.00M,27.00M,45.00M,28.00M,26.00M,36.00M,54.00M,75.00M,18.00M,1.00M,5.00M,9.00M,365.00M,11.00M,17.00M,4.00M,2.00M,1.00M,10.00M,0.00,0.00,-1.00M,1.143B,0.00,0.00,642.00M,14.00M,1.00M,0.00,6.00M,3.00M,2.00M,0.00,12.00M,,0.00,29.00M,33.00M,31.00M,23.00M,21.00M,23.00M,19.00M,18.70M,19.00M,19.40M,19.60M,16.20M,16.20M,18.50M,14.60M,13.40M,11.90M,12.10M,11.30M,11.60M,10.70M,54.20M,34.60M
Common Stock Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,7.00M,-434.00M,4.00M,0.00,0.00,-4.00M,-7.00M,0.00,-2.00M,,,,,,0.00,-5.00M,,,0.00,-20.00M,116.00M,-116.00M,-165.00M,-5.00M,,,,,,,-0.10M,0.00,-50.30M,-382.90M,-30.80M,-1.90M,-30.60M,-7.50M,,,,,-0.10M,0.00,0.00,-35.80M
Net Common Equity Issued (Purchased),20.60M,12.40M,17.80M,14.50M,11.10M,11.60M,18.70M,32.20M,12.20M,0.00,,0.00,0.00,3.30M,18.80M,12.10M,13.70M,12.10M,25.40M,30.40M,10.60M,34.00M,14.00M,15.00M,22.20M,20.00M,26.00M,15.00M,19.00M,14.00M,19.00M,31.00M,22.00M,21.00M,18.00M,31.00M,28.00M,23.00M,16.00M,26.00M,22.00M,18.00M,1.64B,48.00M,53.00M,34.00M,27.00M,45.00M,28.00M,26.00M,36.00M,54.00M,75.00M,18.00M,1.00M,5.00M,9.00M,365.00M,18.00M,-417.00M,8.00M,2.00M,1.00M,6.00M,-7.00M,0.00,-3.00M,1.143B,-10.00M,0.00,642.00M,14.00M,1.00M,-5.00M,6.00M,3.00M,2.00M,-20.00M,128.00M,-116.00M,-165.00M,24.00M,33.00M,31.00M,22.00M,21.00M,23.00M,19.00M,18.60M,19.00M,-30.90M,-363.30M,-14.60M,14.30M,-12.10M,7.10M,-145.40M,11.90M,12.10M,11.30M,11.50M,10.70M,54.20M,-1.20M
Total Common Dividends Paid,-348.00M,-333.90M,-334.50M,-333.60M,-333.00M,-308.30M,-308.10M,-306.10M,-316.90M,-290.10M,-293.50M,-291.40M,-291.20M,-276.70M,-276.60M,-276.50M,-275.60M,-261.30M,-261.10M,-261.00M,-261.60M,-246.00M,-245.00M,-245.00M,-245.30M,-240.00M,-239.00M,-230.00M,-229.00M,-229.00M,-229.00M,-229.00M,-230.00M,-222.00M,-223.00M,-223.00M,-222.00M,-203.00M,-202.00M,-197.00M,-194.00M,-200.00M,-195.00M,-169.00M,-166.00M,-167.00M,-166.00M,-167.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Preferred Dividends Paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,-1.00M,0.00,-1.00M,-1.00M,-1.00M,0.00,-1.00M,-1.00M,-1.00M,0.00,-1.00M,-1.00M,-1.00M,0.00,-1.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Dividends Paid,-348.00M,-333.90M,-334.50M,-333.60M,-333.00M,-308.30M,-308.10M,-306.10M,-316.90M,-290.10M,-293.50M,-291.40M,-291.20M,-276.70M,-276.60M,-276.50M,-275.60M,-261.30M,-261.10M,-261.00M,-261.60M,-246.00M,-245.00M,-245.00M,-245.30M,-240.00M,-239.00M,-230.00M,-229.00M,-229.00M,-229.00M,-229.00M,-230.00M,-223.00M,-223.00M,-224.00M,-223.00M,-204.00M,-202.00M,-198.00M,-195.00M,-201.00M,-195.00M,-170.00M,-167.00M,-168.00M,-166.00M,-168.00M,-163.00M,-156.00M,-156.00M,-155.00M,-154.00M,-146.00M,-145.00M,-146.00M,-145.00M,-135.00M,-135.00M,-138.00M,-140.00M,-138.00M,-139.00M,-138.00M,-139.00M,-137.00M,-139.00M,-203.00M,-203.00M,-203.00M,-194.00M,-193.00M,-198.00M,-193.00M,-194.00M,-193.00M,-193.00M,-193.00M,-419.00M,,-209.00M,-207.00M,-302.00M,-115.00M,-115.00M,-114.00M,-115.00M,-114.00M,-113.80M,-113.50M,-113.30M,-112.90M,-112.70M,-112.50M,-112.20M,-112.00M,-111.70M,-111.60M,-111.40M,-111.10M,-110.90M,-110.80M,-110.70M,-110.70M
Cash from Other Financing Activities,-12.10M,-6.40M,-21.20M,13.90M,-0.10M,-9.70M,-19.40M,3.00M,0.80M,0.10M,-7.90M,-42.70M,-8.90M,-7.20M,-17.60M,18.00M,15.60M,-1.00M,-97.50M,4.90M,2.70M,-2.00M,1.00M,4.00M,109.40M,5.00M,-7.00M,8.00M,0.00,0.00,1.00M,4.00M,2.00M,276.00M,-273.00M,,-2.00M,0.00,-1.00M,,10.00M,-13.00M,-2.00M,,1.983B,-4.00M,7.00M,10.00M,66.00M,-28.00M,-25.00M,-19.00M,-20.00M,-27.00M,-24.00M,54.00M,-16.00M,-14.00M,-14.00M,-78.00M,,,,,0.00,0.00,-225.00M,,344.00M,-10.00M,,,-3.00M,750.00M,,,,,,,-163.00M,120.00M,,,,,,,0.10M,,0.10M,-0.10M,-0.10M,0.00,0.10M,,,,0.10M,-0.10M,-0.30M,0.20M,-0.10M,
Cash from Financing,809.50M,313.70M,1.046B,693.50M,-119.10M,74.20M,177.30M,1.030B,709.30M,65.20M,307.70M,-1.687B,457.90M,-600.80M,294.40M,352.40M,-129.80M,-679.20M,233.00M,-213.40M,397.50M,-503.00M,-79.00M,22.00M,203.30M,-617.00M,49.00M,-84.00M,54.00M,-302.00M,-88.00M,-19.00M,148.00M,-790.00M,-443.00M,114.00M,-808.00M,-285.00M,2.00M,756.00M,-172.00M,124.00M,-141.00M,709.00M,517.00M,678.00M,244.00M,240.00M,210.00M,171.00M,794.00M,235.00M,792.00M,-178.00M,255.00M,42.00M,319.00M,43.00M,-585.00M,-568.00M,-751.00M,-1.264B,-249.00M,-576.00M,-757.00M,-100.00M,-334.00M,754.00M,-284.00M,-1.435B,657.00M,381.00M,283.00M,-124.00M,847.00M,-533.00M,-278.00M,125.00M,269.00M,-60.00M,250.00M,-203.00M,367.00M,-79.00M,1.495B,-122.00M,28.00M,-136.00M,34.00M,-230.20M,417.70M,-263.80M,-89.30M,-289.50M,-99.30M,-216.00M,-94.60M,-362.60M,184.00M,-180.90M,48.30M,-227.40M,59.50M,-244.20M
Beginning Cash,489.80M,389.60M,363.10M,444.10M,937.50M,387.30M,316.50M,412.60M,490.80M,344.30M,299.40M,403.50M,212.20M,246.80M,190.40M,176.40M,177.80M,195.20M,190.40M,162.50M,194.00M,190.00M,292.00M,118.00M,147.00M,117.00M,179.00M,279.00M,443.00M,297.00M,286.00M,221.00M,546.00M,417.00M,625.00M,294.00M,1.09B,838.00M,818.00M,490.00M,877.00M,358.00M,710.00M,411.00M,338.00M,218.00M,155.00M,178.00M,196.00M,172.00M,259.00M,301.00M,259.00M,249.00M,276.00M,401.00M,849.00M,607.00M,1.261B,320.00M,934.00M,663.00M,913.00M,778.00M,1.636B,1.108B,1.794B,1.22B,551.00M,561.00M,306.00M,333.00M,379.00M,212.00M,275.00M,437.00M,295.00M,312.00M,364.00M,333.00M,433.00M,370.00M,280.00M,173.00M,148.00M,175.00M,133.00M,91.00M,91.80M,94.20M,86.10M,57.50M,112.70M,110.40M,189.40M,80.00M,93.70M,129.20M,87.50M,62.90M,46.40M,32.30M,74.90M,42.60M
Change in Cash,-57.20M,100.20M,26.50M,-81.00M,-493.40M,550.20M,70.80M,-96.10M,-78.20M,146.50M,44.90M,-104.10M,-59.20M,-34.60M,56.40M,14.00M,-10.00M,-17.40M,4.80M,27.90M,-31.00M,4.00M,-102.00M,174.00M,-29.20M,30.00M,-62.00M,-100.00M,-164.00M,146.00M,11.00M,65.00M,-325.00M,129.00M,-208.00M,331.00M,-796.00M,252.00M,20.00M,328.00M,-387.00M,519.00M,-352.00M,299.00M,73.00M,120.00M,63.00M,-23.00M,-18.00M,24.00M,-87.00M,-42.00M,42.00M,10.00M,-27.00M,-125.00M,-448.00M,242.00M,-654.00M,941.00M,-614.00M,271.00M,-250.00M,135.00M,-637.00M,532.00M,-577.00M,574.00M,678.00M,-21.00M,362.00M,-11.00M,43.00M,172.00M,-66.00M,-155.00M,176.00M,-81.00M,-321.00M,31.00M,171.00M,61.00M,-63.00M,107.00M,25.00M,-27.00M,42.00M,42.00M,-0.30M,-2.40M,8.00M,28.60M,-55.10M,2.30M,-79.10M,109.50M,-13.70M,-35.50M,41.70M,24.60M,16.30M,14.10M,-42.50M,32.30M
Cash Foreign Exchange Adjustment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,11.00M,2.00M,-16.00M,6.00M,-5.00M,3.00M,-7.00M,16.00M,14.00M,-7.00M,,0.00,2.00M,-4.00M,,,,,,,,,,,,,,,,,,,,,
Ending Cash,432.60M,489.80M,389.60M,363.10M,444.10M,937.50M,387.30M,316.50M,412.60M,490.80M,344.30M,299.40M,403.50M,212.20M,246.80M,190.40M,426.90M,177.80M,195.20M,190.40M,162.50M,194.00M,190.00M,292.00M,117.50M,147.00M,117.00M,179.00M,279.00M,443.00M,297.00M,286.00M,221.00M,546.00M,417.00M,625.00M,294.00M,1.09B,838.00M,818.00M,490.00M,877.00M,358.00M,710.00M,411.00M,338.00M,218.00M,155.00M,178.00M,196.00M,172.00M,259.00M,301.00M,259.00M,249.00M,276.00M,401.00M,849.00M,607.00M,1.261B,320.00M,934.00M,663.00M,913.00M,976.00M,1.636B,1.108B,1.794B,1.199B,551.00M,561.00M,306.00M,333.00M,379.00M,212.00M,275.00M,437.00M,295.00M,312.00M,364.00M,609.00M,433.00M,370.00M,280.00M,173.00M,148.00M,175.00M,133.00M,91.50M,91.80M,94.20M,86.10M,57.50M,112.70M,110.40M,189.40M,80.00M,93.70M,129.20M,87.50M,62.90M,46.40M,32.30M,74.90M
Issuance of Capital Stock,20.60M,12.40M,17.80M,14.50M,11.10M,11.60M,18.70M,32.20M,12.20M,0.00,,0.00,0.00,3.30M,18.80M,12.10M,13.70M,12.10M,25.40M,30.40M,10.60M,34.00M,14.00M,15.00M,22.20M,20.00M,26.00M,15.00M,19.00M,14.00M,19.00M,31.00M,22.00M,21.00M,18.00M,31.00M,28.00M,23.00M,16.00M,26.00M,22.00M,18.00M,1.64B,48.00M,53.00M,34.00M,27.00M,45.00M,28.00M,26.00M,36.00M,54.00M,75.00M,18.00M,1.00M,5.00M,9.00M,365.00M,11.00M,17.00M,4.00M,2.00M,1.00M,10.00M,0.00,0.00,-1.00M,1.143B,0.00,0.00,642.00M,14.00M,1.00M,0.00,6.00M,3.00M,2.00M,0.00,12.00M,,0.00,29.00M,33.00M,31.00M,23.00M,21.00M,23.00M,19.00M,18.70M,19.00M,19.40M,19.60M,16.20M,16.20M,18.50M,14.60M,13.40M,11.90M,12.10M,11.30M,11.60M,10.70M,54.20M,34.60M
Issuance of Debt,1.372B,951.70M,1.855B,1.286B,1.041B,1.015B,1.506B,1.861B,1.111B,1.554B,1.106B,82.90M,1.27B,1.494B,-202.70M,946.10M,505.50M,327.80M,1.830B,773.80M,925.00M,67.00M,1.013B,651.00M,862.60M,826.00M,501.00M,1.017B,1.26B,339.00M,129.00M,1.153B,980.00M,506.00M,-502.00M,1.576B,1.209B,-1.16B,949.00M,1.607B,203.00M,887.00M,487.00M,975.00M,213.00M,312.00M,1.333B,916.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debt Repayment,-223.50M,-310.10M,-471.00M,-286.90M,-838.20M,-634.20M,-1.020B,-560.80M,-98.20M,-1.199B,-496.70M,-1.436B,-512.00M,-554.40M,-487.80M,-347.30M,-273.60M,-752.80M,-1.259B,-757.40M,-267.60M,-356.00M,-862.00M,-403.00M,-535.60M,-1.228B,-232.00M,-894.00M,-996.00M,-426.00M,-8.00M,-978.00M,-272.00M,-1.094B,-29.00M,-1.269B,-597.00M,-167.00M,-760.00M,-679.00M,-212.00M,-567.00M,-2.071B,-144.00M,-923.00M,-138.00M,-1.208B,-312.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Repurchase of Capital Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,7.00M,-434.00M,4.00M,0.00,0.00,-4.00M,-7.00M,0.00,-2.00M,,,,,,0.00,-5.00M,,,0.00,-20.00M,116.00M,-116.00M,-165.00M,-5.00M,,,,,,,-0.10M,0.00,-50.30M,-382.90M,-30.80M,-1.90M,-30.60M,-7.50M,,,,,-0.10M,0.00,0.00,-35.80M
Income Tax Paid Supplemental Data,-22.80M,3.10M,19.70M,,-27.90M,-5.90M,33.80M,,-6.80M,6.80M,,,-32.20M,6.00M,18.90M,7.30M,-115.60M,17.90M,95.60M,2.10M,-109.00M,46.00M,63.00M,,,,19.00M,-19.00M,44.00M,-2.00M,23.00M,-65.00M,,,,,-243.00M,69.00M,172.00M,2.00M,-74.00M,47.00M,25.00M,2.00M,-126.00M,-5.00M,95.00M,36.00M,-5.00M,235.00M,62.00M,66.00M,152.00M,83.00M,110.00M,13.00M,162.00M,191.00M,29.00M,57.00M,,,,,17.00M,146.00M,,,94.00M,-65.00M,192.00M,115.00M,361.00M,101.00M,90.00M,17.00M,207.00M,36.00M,184.00M,22.00M,-63.00M,-16.00M,76.00M,3.00M,-150.00M,33.00M,115.00M,2.00M,-290.70M,144.60M,142.30M,3.80M,-278.10M,139.50M,129.50M,9.10M,-220.90M,69.70M,146.70M,4.50M,-296.10M,149.50M,122.30M,24.30M
Interest Paid Supplemental Data,-689.70M,199.50M,321.30M,168.90M,-631.30M,175.90M,267.40M,188.00M,613.80M,-1.056B,236.40M,205.90M,-637.00M,211.60M,226.40M,199.00M,-639.10M,208.50M,208.00M,222.60M,-649.00M,227.00M,188.00M,234.00M,-702.00M,247.00M,202.00M,253.00M,-698.00M,254.00M,179.00M,265.00M,,,,,-755.00M,268.00M,216.00M,271.00M,-744.00M,249.00M,181.00M,314.00M,-657.00M,245.00M,160.00M,252.00M,185.00M,245.00M,152.00M,152.00M,202.00M,146.00M,157.00M,159.00M,145.00M,170.00M,152.00M,170.00M,755.00M,,-200.00M,200.00M,199.00M,542.00M,-177.00M,177.00M,237.00M,220.00M,209.00M,126.00M,503.00M,127.00M,341.00M,1.00M,157.00M,214.00M,373.00M,98.00M,-344.00M,88.00M,172.00M,84.00M,-279.00M,73.00M,140.00M,66.00M,-253.90M,63.10M,136.80M,54.00M,-247.40M,55.80M,138.80M,52.80M,-255.30M,57.30M,138.80M,59.20M,-249.10M,54.60M,126.30M,68.20M
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
