Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Commercial Paper Liability,,1.76B,1.585B,1.108B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,967.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liability on Credit Line,710.00M,750.00M,692.00M,750.00M,750.00M,750.00M,750.00M,750.00M,718.00M,750.00M,519.00M,572.00M,673.00M,750.00M,651.00M,719.00M,675.00M,750.00M,708.00M,740.00M,744.00M,750.00M,750.00M,700.00M,700.00M,700.00M,688.00M,646.00M,657.00M,,,,683.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Borrowings,3.727B,1.328B,1.257B,1.528B,2.858B,3.397B,4.121B,4.525B,2.674B,2.669B,4.088B,3.478B,3.918B,3.113B,3.416B,2.535B,1.957B,1.858B,2.214B,2.566B,3.102B,2.913B,3.256B,2.244B,1.606B,1.884B,2.669B,2.335B,2.495B,3.488B,3.191B,3.03B,1.433B,2.546B,2.71B,3.129B,,2.752B,,,,1.892B,,2.915B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,4.437B,3.838B,3.534B,3.386B,3.608B,4.147B,4.871B,5.275B,3.392B,3.419B,4.607B,4.050B,4.591B,3.863B,4.067B,3.254B,2.632B,2.608B,2.922B,3.306B,3.846B,3.663B,4.006B,2.944B,2.306B,2.584B,3.357B,2.981B,3.152B,3.488B,3.191B,3.03B,3.083B,2.546B,2.71B,3.129B,2.655B,2.752B,2.516B,2.316B,1.867B,1.892B,1.908B,2.915B,2.423B,1.984B,1.274B,1.34B,1.452B,1.497B,1.959B,1.552B,1.287B,1.812B,959.00M,1.287B,1.163B,732.00M,1.078B,1.704B,1.302B,1.812B,2.46B,2.23B,2.105B,1.677B,1.587B,1.935B,4.066B,4.059B,4.547B,5.215B,5.455B,5.125B,5.079B,5.573B,5.485B,5.256B,4.972B,2.223B,4.47B,1.778B,2.032B,1.199B,905.00M,730.20M,1.032B,861.30M,950.70M,822.80M,999.70M,762.10M,496.20M,466.00M,679.90M,632.30M,599.40M,503.40M,868.20M,731.00M,704.00M,512.60M,506.20M,295.30M
Current Capital Lease Obligation,234.10M,228.80M,229.20M,228.20M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Debt & Capital Lease Obligation,4.671B,4.066B,3.764B,3.615B,3.608B,4.147B,4.871B,5.275B,3.392B,3.419B,4.607B,4.050B,4.591B,3.863B,4.067B,3.254B,2.632B,2.608B,2.922B,3.306B,3.846B,3.663B,4.006B,2.944B,2.306B,2.584B,3.357B,2.981B,3.152B,3.488B,3.191B,3.03B,3.083B,2.546B,2.71B,3.129B,2.655B,2.752B,2.516B,2.316B,1.867B,1.892B,1.908B,2.915B,2.423B,1.984B,1.274B,1.34B,1.452B,1.497B,1.959B,1.552B,1.287B,1.812B,959.00M,1.287B,1.163B,732.00M,1.078B,1.704B,1.302B,1.812B,2.46B,2.23B,2.105B,1.677B,1.587B,1.935B,4.066B,4.059B,4.547B,5.215B,5.455B,5.125B,5.079B,5.573B,5.485B,5.256B,4.972B,2.223B,4.47B,1.778B,2.032B,1.199B,905.00M,730.20M,1.032B,861.30M,950.70M,822.80M,999.70M,762.10M,496.20M,466.00M,679.90M,632.30M,599.40M,503.40M,868.20M,731.00M,704.00M,512.60M,506.20M,295.30M
Current Deferred Revenue,366.10M,381.40M,382.10M,400.40M,412.20M,372.50M,369.00M,365.50M,357.00M,346.60M,344.00M,342.00M,343.20M,341.60M,335.80M,358.10M,346.60M,335.00M,335.00M,335.00M,323.90M,315.00M,306.00M,302.00M,299.00M,298.00M,297.00M,299.00M,316.00M,295.00M,293.00M,,289.00M,280.00M,284.00M,,448.00M,,,,0.00,,,266.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Liabilities,366.10M,381.40M,382.10M,400.40M,412.20M,372.50M,369.00M,365.50M,357.00M,346.60M,344.00M,342.00M,343.20M,341.60M,335.80M,358.10M,346.60M,335.00M,335.00M,335.00M,323.90M,315.00M,306.00M,302.00M,299.00M,298.00M,297.00M,299.00M,316.00M,295.00M,293.00M,,289.00M,280.00M,284.00M,,448.00M,447.00M,,,0.00,,,266.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Liability,1.575B,1.208B,1.235B,1.016B,1.304B,1.253B,1.004B,1.027B,1.107B,1.043B,1.065B,1.087B,1.600B,1.338B,1.184B,1.253B,1.506B,1.857B,1.176B,1.131B,1.436B,1.232B,1.128B,1.037B,1.174B,957.00M,944.00M,923.00M,1.17B,1.263B,1.119B,1.418B,1.148B,1.119B,1.045B,1.059B,1.371B,1.34B,1.545B,1.37B,1.383B,1.389B,1.563B,1.264B,1.673B,,,,,,,,,,,,,,,,,,1.00M,,,,,,,,,,,,,,,,,,,,,,,,0.10M,-0.10M,-0.20M,0.10M,,0.10M,,-0.20M,0.10M,,0.10M,,,,,-0.10M,0.10M,
Total Current Liabilities,10.30B,8.611B,8.357B,7.991B,8.649B,8.426B,9.058B,9.471B,8.271B,7.322B,8.392B,7.914B,9.498B,7.779B,7.870B,7.222B,7.108B,7.058B,6.65B,7.128B,7.967B,7.457B,7.60B,6.519B,6.112B,5.692B,6.519B,6.175B,6.823B,6.795B,6.407B,6.342B,6.611B,5.684B,5.887B,5.989B,6.518B,6.148B,5.778B,5.515B,5.327B,4.987B,5.393B,6.411B,6.297B,5.722B,5.626B,5.172B,5.161B,4.908B,5.804B,5.308B,5.456B,5.596B,4.561B,4.864B,5.46B,5.412B,4.531B,5.532B,4.99B,5.632B,6.428B,6.312B,5.982B,6.188B,6.241B,8.153B,8.656B,16.67B,18.52B,19.13B,18.10B,21.98B,19.65B,19.04B,25.94B,12.76B,12.68B,5.13B,8.066B,3.907B,4.298B,3.569B,2.802B,2.281B,3.072B,2.056B,2.084B,1.762B,1.918B,1.837B,1.496B,1.352B,1.594B,1.723B,1.625B,1.531B,1.716B,1.831B,1.708B,1.514B,1.536B,1.530B
Long Term Provisions - Legal & Other,2.217B,2.354B,2.331B,2.317B,2.288B,1.975B,1.966B,1.934B,1.926B,1.919B,1.911B,1.870B,1.831B,1.858B,1.852B,1.824B,1.806B,1.944B,2.038B,1.969B,1.951B,1.923B,1.908B,1.853B,1.835B,1.736B,1.734B,1.727B,1.696B,1.535B,1.523B,1.50B,1.472B,1.441B,1.429B,1.413B,,1.296B,,,,1.197B,,1.166B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of Long Term Debt,25.13B,24.55B,24.17B,22.90B,21.65B,20.87B,19.75B,18.84B,19.42B,18.36B,16.80B,16.72B,17.38B,17.32B,17.54B,17.75B,17.74B,17.60B,17.76B,16.78B,16.01B,15.68B,15.60B,16.48B,16.83B,16.20B,15.80B,15.90B,15.59B,14.96B,15.32B,15.34B,15.08B,15.18B,15.56B,15.63B,15.50B,16.00B,16.30B,16.28B,15.76B,15.71B,15.35B,15.90B,15.54B,15.32B,15.18B,14.70B,14.20B,13.87B,13.07B,12.52B,12.43B,10.97B,11.84B,11.08B,11.07B,11.02B,10.85B,10.67B,11.01B,11.04B,11.53B,11.86B,12.32B,12.70B,11.31B,10.81B,8.863B,9.09B,10.47B,10.57B,9.753B,9.925B,10.61B,11.05B,9.602B,10.07B,10.07B,6.239B,10.16B,6.219B,6.117B,6.542B,6.80B,5.409B,5.134B,5.182B,5.130B,5.122B,5.078B,4.787B,4.797B,4.814B,4.767B,4.812B,4.920B,4.846B,4.732B,4.579B,4.687B,4.722B,4.849B,4.859B
Long Term Cap Lease Obligation,734.60M,801.10M,797.20M,860.20M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of LTD and Capital Lease Obligation,25.86B,25.35B,24.97B,23.76B,21.65B,20.87B,19.75B,18.84B,19.42B,18.36B,16.80B,16.72B,17.38B,17.32B,17.54B,17.75B,17.74B,17.60B,17.76B,16.78B,16.01B,15.68B,15.60B,16.48B,16.83B,16.20B,15.80B,15.90B,15.59B,14.96B,15.32B,15.34B,15.08B,15.18B,15.56B,15.63B,15.50B,16.00B,16.30B,16.28B,15.76B,15.71B,15.35B,15.90B,15.54B,15.32B,15.18B,14.70B,14.20B,13.87B,13.07B,12.52B,12.43B,10.97B,11.84B,11.08B,11.07B,11.02B,10.85B,10.67B,11.01B,11.04B,11.53B,11.86B,12.32B,12.70B,11.31B,10.81B,8.863B,9.09B,10.47B,10.57B,9.753B,9.925B,10.61B,11.05B,9.602B,10.07B,10.07B,6.239B,10.16B,6.219B,6.117B,6.542B,6.80B,5.409B,5.134B,5.182B,5.130B,5.122B,5.078B,4.787B,4.797B,4.814B,4.767B,4.812B,4.920B,4.846B,4.732B,4.579B,4.687B,4.722B,4.849B,4.859B
Long Term Deferred Tax Liabilities,7.588B,7.428B,7.294B,7.193B,7.086B,7.110B,7.085B,6.944B,6.814B,12.63B,12.29B,11.98B,11.88B,11.82B,12.40B,12.13B,11.73B,11.42B,11.43B,11.19B,10.89B,10.51B,10.46B,10.45B,10.30B,9.871B,9.691B,9.556B,9.252B,8.905B,8.627B,8.493B,8.227B,8.108B,7.716B,7.49B,7.359B,6.928B,6.671B,6.587B,6.42B,5.824B,5.417B,5.255B,5.128B,5.15B,5.021B,4.854B,4.73B,4.585B,4.536B,4.581B,4.69B,4.673B,4.792B,4.847B,4.81B,4.674B,4.663B,4.774B,4.819B,4.52B,4.144B,4.057B,3.957B,4.575B,4.508B,4.485B,3.916B,4.912B,4.80B,5.247B,5.314B,5.432B,5.424B,5.384B,5.403B,5.613B,5.639B,2.985B,5.73B,2.981B,2.958B,2.961B,2.601B,2.911B,2.908B,2.922B,2.937B,2.957B,2.992B,3.020B,3.045B,3.028B,3.050B,3.065B,3.087B,3.078B,3.088B,2.910B,3.113B,2.917B,2.933B,2.945B
Non-Current Deferred Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.122B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Deferred Liabilities,8.308B,8.218B,8.057B,7.991B,7.869B,7.918B,7.957B,7.752B,7.645B,13.47B,13.10B,12.71B,12.66B,12.52B,13.17B,13.01B,12.62B,12.29B,12.51B,12.25B,11.79B,11.62B,11.56B,11.41B,11.27B,10.76B,10.58B,10.47B,10.19B,9.828B,9.561B,9.416B,9.201B,9.086B,8.713B,8.483B,8.154B,7.732B,7.943B,7.829B,7.583B,6.952B,6.537B,6.377B,6.254B,5.15B,5.021B,4.854B,4.73B,4.585B,4.536B,4.581B,4.69B,4.673B,4.792B,4.847B,4.81B,4.674B,4.663B,4.774B,4.819B,4.52B,4.144B,4.057B,3.957B,431.00M,440.00M,448.00M,3.916B,468.00M,474.00M,482.00M,491.00M,502.00M,510.00M,519.00M,528.00M,537.00M,553.00M,321.00M,580.00M,334.00M,340.00M,345.00M,2.601B,359.00M,364.80M,370.50M,376.30M,384.00M,389.80M,398.20M,401.50M,412.30M,418.20M,424.10M,430.00M,438.00M,444.00M,450.10M,456.00M,465.00M,471.10M,477.20M
Pension Liability,466.00M,376.60M,378.80M,383.90M,377.10M,350.70M,329.40M,330.90M,398.10M,468.90M,462.80M,586.20M,614.10M,497.00M,496.60M,569.90M,583.30M,535.00M,509.00M,598.00M,629.50M,414.00M,411.00M,456.00M,415.00M,986.00M,1.044B,1.049B,1.075B,1.611B,1.729B,1.739B,1.801B,1.718B,1.79B,1.863B,1.893B,1.729B,2.107B,2.153B,2.189B,2.168B,2.169B,2.162B,2.184B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derivative Contract Liabilities,261.80M,298.60M,348.50M,267.90M,263.40M,287.20M,279.60M,282.70M,322.00M,352.70M,310.60M,344.80M,316.20M,240.00M,166.80M,207.60M,179.10M,201.00M,174.00M,156.00M,130.90M,120.00M,115.00M,137.00M,177.00M,182.00M,181.00M,185.00M,214.00M,224.00M,259.00M,239.00M,195.00M,133.00M,124.00M,138.00M,,167.00M,,,,150.00M,,174.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minority Interest Ownership,281.00M,281.30M,163.60M,32.20M,31.00M,30.00M,29.10M,28.30M,26.60M,36.40M,25.40M,24.60M,23.10M,21.10M,18.70M,15.20M,13.20M,10.00M,8.00M,7.00M,4.30M,4.00M,4.00M,3.00M,1.00M,1.00M,0.00,0.00,0.00,0.00,1.00M,1.00M,1.00M,,,,,0.00,1.00M,0.00,,0.00,18.00M,18.00M,17.00M,,,,,,,,,,,,,,,,,,,,,,533.00M,759.00M,759.00M,1.08B,1.071B,1.071B,1.071B,773.00M,322.00M,333.00M,334.00M,334.00M,335.00M,,335.00M,,,,,,,,,,,,,,,,,,,,,,,
Preferred Securities out of Shareholders Equity,108.60M,137.90M,125.80M,114.70M,108.80M,100.50M,94.00M,87.70M,11.90M,9.30M,5.50M,1.60M,0.00,,,,,,,,,,,,,,,,,,,,,60.00M,60.00M,60.00M,60.00M,60.00M,60.00M,61.00M,61.00M,61.00M,61.00M,61.00M,61.00M,61.00M,61.00M,61.00M,61.00M,61.00M,61.00M,61.00M,61.00M,61.00M,61.00M,61.00M,61.00M,61.00M,61.00M,61.00M,61.00M,133.00M,133.00M,133.00M,137.00M,144.00M,144.00M,144.00M,466.00M,145.00M,145.00M,156.00M,156.00M,477.00M,161.00M,161.00M,161.00M,161.00M,163.00M,163.00M,182.00M,,,,351.00M,,,,,,,,,,,,,,,,,,,
Other Long Term Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.535B,,1.457B,1.457B,1.382B,,1.319B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Long Term Liabilities,45.68B,45.29B,44.77B,43.50B,41.09B,40.14B,39.06B,37.63B,38.14B,38.54B,36.50B,36.10B,36.55B,36.32B,37.04B,37.12B,36.67B,36.33B,36.85B,35.66B,34.75B,33.60B,33.44B,34.10B,34.22B,33.51B,32.92B,32.95B,32.31B,31.74B,32.01B,31.70B,30.95B,30.85B,30.93B,30.79B,30.32B,30.09B,30.89B,30.79B,29.88B,29.14B,28.18B,25.84B,24.04B,20.54B,20.27B,19.62B,18.99B,18.51B,17.66B,17.17B,17.18B,15.71B,16.70B,15.99B,15.94B,15.76B,15.58B,15.51B,15.89B,15.69B,15.81B,16.05B,16.42B,13.27B,11.89B,11.40B,13.24B,9.703B,11.09B,11.21B,10.40B,10.90B,11.28B,11.73B,10.29B,10.77B,10.79B,6.723B,10.92B,6.553B,6.457B,6.887B,9.752B,5.768B,5.498B,5.552B,5.506B,5.506B,5.468B,5.185B,5.198B,5.226B,5.185B,5.236B,5.350B,5.284B,5.176B,5.029B,5.143B,5.187B,5.320B,5.336B
Total Liabilities,55.98B,53.90B,53.13B,51.49B,49.74B,48.57B,48.12B,47.10B,46.42B,45.86B,44.89B,44.02B,46.05B,44.10B,44.91B,44.34B,43.78B,43.39B,43.50B,42.79B,42.72B,41.05B,41.04B,40.62B,40.33B,39.20B,39.44B,39.13B,39.13B,38.54B,38.41B,38.04B,37.56B,36.53B,36.81B,36.78B,36.83B,36.24B,36.67B,36.30B,35.21B,34.13B,33.58B,34.91B,34.44B,32.12B,32.06B,30.83B,30.24B,29.55B,29.54B,28.40B,28.58B,26.86B,26.76B,26.38B,27.08B,26.97B,25.56B,26.83B,26.12B,26.54B,27.76B,28.16B,28.91B,27.62B,26.41B,27.70B,28.07B,35.77B,41.70B,40.90B,37.98B,43.67B,41.76B,38.52B,44.96B,31.77B,31.81B,16.93B,26.71B,15.25B,15.48B,15.04B,14.47B,12.44B,12.88B,11.89B,11.76B,11.43B,11.50B,11.11B,10.74B,10.57B,10.78B,10.93B,10.90B,10.64B,10.87B,10.67B,10.69B,10.35B,10.50B,10.50B
Total Capital Stock,3.343B,3.342B,3.341B,3.339B,3.337B,3.336B,3.335B,3.333B,3.329B,3.328B,3.328B,3.328B,3.328B,3.328B,3.328B,3.325B,3.324B,3.322B,3.321B,3.317B,3.313B,3.312B,3.308B,3.305B,3.303B,3.299B,3.296B,3.291B,3.289B,3.286B,3.284B,3.28B,3.274B,3.271B,3.266B,3.263B,3.257B,3.252B,3.248B,3.244B,3.239B,3.235B,3.231B,2.782B,2.771B,2.76B,2.754B,2.75B,2.743B,2.739B,2.734B,2.728B,2.718B,2.704B,2.70B,2.70B,2.699B,2.697B,2.638B,2.635B,2.632B,2.63B,2.63B,2.63B,2.626B,2.626B,2.626B,2.626B,2.261B,2.261B,2.261B,2.156B,2.153B,2.153B,2.153B,2.152B,2.152B,2.151B,2.151B,1.32B,2.149B,1.489B,1.488B,1.484B,1.479B,1.476B,1.473B,1.470B,1.468B,1.466B,1.463B,1.460B,1.882B,1.885B,1.910B,1.907B,1.935B,2.018B,2.091B,2.088B,2.086B,2.084B,2.082B,2.027B
Retained Earnings,9.901B,10.10B,9.694B,9.566B,9.325B,9.294B,9.023B,8.802B,8.627B,8.532B,8.276B,8.194B,7.892B,7.809B,8.851B,8.625B,8.398B,8.204B,7.945B,7.776B,7.407B,7.47B,7.222B,7.076B,6.766B,6.664B,6.47B,6.37B,6.236B,6.444B,6.185B,6.05B,5.89B,5.81B,5.103B,4.973B,4.842B,4.887B,4.533B,4.597B,4.451B,4.407B,4.16B,4.04B,3.847B,3.861B,3.651B,3.535B,3.138B,3.07B,2.819B,2.795B,2.696B,2.669B,2.55B,2.52B,2.285B,2.579B,2.327B,2.241B,2.024B,1.987B,1.595B,1.63B,1.49B,2.393B,2.275B,2.238B,1.999B,3.039B,2.802B,3.288B,3.296B,3.438B,3.21B,3.163B,3.09B,3.506B,3.342B,1.728B,3.63B,1.75B,1.692B,1.72B,1.684B,1.726B,1.646B,1.642B,1.605B,1.593B,1.615B,1.608B,1.548B,1.528B,1.478B,1.478B,1.410B,1.39B,1.347B,1.362B,1.326B,1.333B,1.304B,1.311B
Additional Paid In Capital,6.536B,6.467B,6.455B,6.443B,6.486B,6.473B,6.459B,6.444B,6.399B,6.384B,6.381B,6.336B,6.333B,6.33B,6.325B,6.310B,6.296B,6.282B,6.27B,6.251B,6.203B,6.191B,6.155B,6.144B,6.131B,6.105B,6.084B,6.066B,6.049B,6.03B,6.013B,5.998B,5.97B,5.952B,5.932B,5.916B,5.904B,5.881B,5.86B,5.847B,5.824B,5.826B,5.755B,4.564B,4.527B,4.444B,4.415B,4.391B,4.352B,4.328B,4.305B,4.27B,4.221B,4.153B,4.138B,4.137B,4.131B,4.121B,3.813B,3.786B,4.203B,4.197B,4.193B,4.19B,4.184B,4.184B,4.182B,4.175B,3.413B,3.394B,3.413B,2.912B,2.906B,2.916B,2.916B,2.914B,2.915B,2.915B,2.862B,1.932B,2.898B,1.931B,1.906B,1.885B,1.853B,1.833B,1.815B,1.795B,1.779B,1.762B,1.746B,1.732B,1.716B,1.702B,1.687B,1.671B,1.658B,1.653B,1.651B,1.651B,1.641B,1.632B,1.624B,1.625B
Preferred Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.00M,173.00M,174.00M,174.00M,173.90M,174.00M,174.20M,174.30M,174.50M,174.50M,174.50M,600.20M,605.60M,633.30M,633.30M,663.30M,748.50M,823.50M,823.50M,823.50M,823.70M,823.70M,768.70M
Adjustments for Foreign Currency Translation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.00M,,19.00M,20.00M,,,,,,,,,,,,,,,,,,,,,
Accrued Comprehensive Inc,-147.70M,-187.90M,-230.70M,-150.70M,-120.40M,-86.00M,-94.80M,-95.40M,-67.80M,-175.40M,-161.60M,-171.00M,-156.30M,-145.80M,-117.90M,-133.80M,-127.10M,-109.00M,-102.00M,-103.00M,-103.10M,-105.00M,-104.00M,-109.00M,-115.00M,-306.00M,-313.00M,-306.00M,-337.00M,-454.00M,-475.00M,-472.00M,-470.00M,-380.00M,-362.00M,-373.00M,-381.00M,-364.00M,-372.00M,-364.00M,-374.00M,-404.00M,-401.00M,-446.00M,-452.00M,-148.00M,-189.00M,-187.00M,-154.00M,-228.00M,-202.00M,-253.00M,-223.00M,-1.00M,38.00M,27.00M,-27.00M,-412.00M,-396.00M,-394.00M,-344.00M,-531.00M,-335.00M,-379.00M,-426.00M,-745.00M,-670.00M,-602.00M,-609.00M,-28.00M,-92.00M,-170.00M,-126.00M,-128.00M,-131.00M,-172.00M,-103.00M,-155.00M,-101.00M,-8.00M,-4.00M,19.00M,20.00M,,,,,,,,,,,,,,,,,,,,,
Shareholders Equity,19.63B,19.72B,19.26B,19.20B,19.03B,19.02B,18.72B,18.48B,18.29B,18.07B,17.82B,17.69B,17.40B,17.32B,18.39B,18.13B,17.89B,17.70B,17.43B,17.24B,16.82B,16.87B,16.58B,16.42B,16.08B,15.76B,15.54B,15.42B,15.24B,15.31B,15.01B,14.86B,14.66B,14.65B,13.94B,13.78B,13.62B,13.66B,13.27B,13.32B,13.14B,13.06B,12.74B,10.94B,10.69B,10.92B,10.63B,10.49B,10.08B,9.909B,9.656B,9.54B,9.412B,9.525B,9.426B,9.384B,9.088B,8.985B,8.382B,8.268B,8.515B,8.283B,8.083B,8.071B,7.874B,8.458B,8.413B,8.437B,7.064B,8.666B,8.384B,8.186B,8.229B,8.379B,8.148B,8.057B,8.054B,8.417B,8.254B,4.972B,8.673B,5.189B,5.106B,5.089B,5.016B,5.035B,4.934B,4.907B,4.852B,4.820B,4.824B,4.799B,5.146B,5.115B,5.075B,5.056B,5.003B,5.061B,5.089B,5.101B,5.052B,5.049B,5.010B,4.963B
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
