Cash from Financing,127.00M,-320.00M,-839.00M,-695.00M,-1.432B,-653.00M,-1.057B,-2.55B,4.201B,-358.00M,-432.00M,-124.00M,-359.00M,-197.00M,-2.144B,-440.00M,-1.405B,92.00M,-1.151B,899.00M,-2.748B,-781.00M,-1.512B,-120.00M,-3.091B,-675.00M,-2.195B,-1.846B,-2.884B,909.00M,107.00M,51.00M,-2.378B,-1.513B,-1.218B,247.00M,593.00M,-1.293B,-389.00M,-257.00M,-1.384B,-1.226B,-1.892B,1.457B,-1.665B,-1.051B,-644.00M,-3.342B,5.43B,-918.00M,-741.00M,-1.474B,-1.074B,70.00M,-1.05B,-1.797B,-1.504B,-23.00M,-879.00M,-1.769B,331.00M,-872.00M,-558.00M,-915.00M,-506.00M,-411.00M,-314.00M,-879.00M,-487.00M,-315.00M,-563.00M,-725.00M,-263.00M,-798.00M,-67.00M,-365.00M,-486.00M,-601.00M,-542.00M,-3.532B
Beginning Cash,4.185B,4.216B,4.542B,4.367B,4.375B,4.491B,3.826B,3.769B,3.866B,3.991B,3.142B,3.921B,3.299B,3.059B,3.887B,2.73B,3.441B,3.43B,4.482B,2.291B,4.204B,3.056B,5.946B,4.665B,5.182B,4.808B,6.456B,7.327B,8.43B,6.718B,5.133B,3.034B,4.133B,4.691B,4.657B,3.37B,3.02B,3.252B,2.544B,1.542B,2.242B,2.818B,3.738B,507.00M,1.239B,1.178B,1.009B,2.027B,1.245B,856.00M,871.00M,794.00M,1.139B,945.00M,1.124B,1.369B,1.708B,1.26B,679.00M,739.00M,660.00M,1.031B,988.00M,1.064B,3.108B,2.185B,2.135B,2.211B,1.452B,1.404B,1.142B,858.00M,1.303B,2.062B,1.318B,879.00M,1.67B,2.381B,2.471B,4.204B
Change in Cash,1.039B,-14.00M,-340.00M,166.00M,26.00M,-110.00M,702.00M,71.00M,-94.00M,-151.00M,835.00M,-795.00M,215.00M,240.00M,-807.00M,1.122B,-740.00M,85.00M,-1.082B,2.293B,-1.875B,1.241B,-2.904B,1.302B,-498.00M,344.00M,-1.622B,-841.00M,-1.199B,1.562B,1.629B,2.072B,-1.088B,-512.00M,28.00M,1.246B,344.00M,-267.00M,716.00M,1.042B,-701.00M,-612.00M,-952.00M,3.257B,-673.00M,115.00M,168.00M,-1.065B,779.00M,384.00M,-16.00M,74.00M,-355.00M,201.00M,-201.00M,-247.00M,-339.00M,443.00M,597.00M,-58.00M,-13.00M,-339.00M,70.00M,-39.00M,-1.093B,894.00M,8.00M,-85.00M,819.00M,84.00M,208.00M,293.00M,-389.00M,-823.00M,714.00M,522.00M,-783.00M,-705.00M,-74.00M,-1.732B
Cash Foreign Exchange Adjustment,14.00M,-17.00M,14.00M,9.00M,-34.00M,-6.00M,-37.00M,-14.00M,-3.00M,26.00M,14.00M,16.00M,-35.00M,0.00,-21.00M,35.00M,29.00M,-74.00M,30.00M,-102.00M,-38.00M,-93.00M,14.00M,-21.00M,-19.00M,30.00M,-26.00M,-30.00M,96.00M,150.00M,-44.00M,27.00M,-11.00M,-46.00M,6.00M,41.00M,6.00M,35.00M,-8.00M,-40.00M,1.00M,36.00M,32.00M,-26.00M,-59.00M,-54.00M,1.00M,47.00M,3.00M,5.00M,1.00M,3.00M,10.00M,-7.00M,22.00M,2.00M,0.00,5.00M,-16.00M,-2.00M,92.00M,-32.00M,-27.00M,-37.00M,136.00M,29.00M,42.00M,9.00M,-60.00M,-36.00M,54.00M,-9.00M,-56.00M,64.00M,30.00M,-83.00M,-8.00M,-6.00M,-16.00M,-1.00M
Ending Cash,5.238B,4.185B,4.216B,4.542B,4.367B,4.375B,4.491B,3.826B,3.769B,3.866B,3.991B,3.142B,3.921B,3.299B,3.059B,3.887B,2.73B,3.441B,3.43B,4.482B,2.291B,4.204B,3.056B,5.946B,4.665B,5.182B,4.808B,6.456B,7.327B,8.43B,6.718B,5.133B,3.034B,4.133B,4.691B,4.657B,3.37B,3.02B,3.252B,2.544B,1.542B,2.242B,2.818B,3.738B,507.00M,1.239B,1.178B,1.009B,2.027B,1.245B,856.00M,871.00M,794.00M,1.139B,945.00M,1.124B,1.369B,1.708B,1.26B,679.00M,739.00M,660.00M,1.031B,988.00M,1.064B,3.108B,2.185B,2.135B,2.211B,1.452B,1.404B,1.142B,858.00M,1.303B,2.062B,1.318B,879.00M,1.67B,2.381B,2.471B
Issuance of Capital Stock,57.00M,32.00M,82.00M,47.00M,64.00M,51.00M,48.00M,77.00M,70.00M,45.00M,58.00M,74.00M,49.00M,49.00M,64.00M,83.00M,55.00M,54.00M,68.00M,72.00M,71.00M,54.00M,73.00M,76.00M,123.00M,75.00M,112.00M,181.00M,48.00M,59.00M,63.00M,131.00M,70.00M,57.00M,59.00M,104.00M,67.00M,45.00M,61.00M,45.00M,45.00M,36.00M,37.00M,31.00M,34.00M,37.00M,53.00M,45.00M,40.00M,59.00M,37.00M,38.00M,37.00M,38.00M,49.00M,40.00M,39.00M,40.00M,39.00M,46.00M,54.00M,35.00M,69.00M,35.00M,34.00M,38.00M,61.00M,21.00M,20.00M,23.00M,46.00M,27.00M,20.00M,32.00M,158.00M,18.00M,18.00M,-7.00M,53.00M,24.00M
Issuance of Debt,403.00M,2.149B,512.00M,2.141B,150.00M,539.00M,354.00M,159.00M,6.688B,1.513B,2.743B,1.072B,1.909B,1.128B,1.089B,1.801B,1.856B,355.00M,6.00M,1.566B,239.00M,522.00M,764.00M,0.00,0.00,0.00,-1.00M,101.00M,4.00M,1.737B,0.00,4.00M,2.00M,108.00M,157.00M,12.00M,2.082B,59.00M,2.00M,52.00M,20.00M,6.00M,118.00M,3.016B,-3.576B,1.754B,1.379B,4.056B,6.028B,58.00M,541.00M,80.00M,160.00M,449.00M,40.00M,0.00,34.00M,-122.00M,199.00M,17.00M,729.00M,-96.00M,102.00M,76.00M,76.00M,78.00M,60.00M,147.00M,72.00M,122.00M,89.00M,136.00M,467.00M,480.00M,195.00M,1.17B,654.00M,520.00M,153.00M,970.00M
Debt Repayment,-685.00M,-423.00M,-1.549B,-439.00M,-765.00M,-108.00M,-358.00M,-1.656B,-1.489B,-1.23B,-717.00M,-503.00M,-1.482B,-1.189B,-911.00M,-223.00M,-1.025B,-211.00M,-803.00M,-685.00M,-673.00M,-1.00M,-1.012B,-8.00M,-14.00M,0.00,-110.00M,-1.751B,-8.00M,0.00,-8.00M,0.00,-11.00M,-1.00M,-66.00M,-113.00M,-113.00M,-136.00M,-13.00M,-206.00M,-191.00M,-393.00M,-580.00M,-780.00M,4.666B,-1.579B,-302.00M,-5.303B,-17.00M,-58.00M,-44.00M,-79.00M,-540.00M,-28.00M,-3.00M,-32.00M,-39.00M,-227.00M,-3.00M,-33.00M,-232.00M,-158.00M,-20.00M,-58.00M,-361.00M,-98.00M,-124.00M,-662.00M,-345.00M,-191.00M,-251.00M,-312.00M,-235.00M,-415.00M,277.00M,-716.00M,-375.00M,-446.00M,-151.00M,-196.00M
Repurchase of Capital Stock,-253.00M,-248.00M,-257.00M,-246.00M,-241.00M,-249.00M,-260.00M,-261.00M,-467.00M,-448.00M,-460.00M,-438.00M,-671.00M,-678.00M,-689.00M,-640.00M,-674.00M,-680.00M,-672.00M,-676.00M,-633.00M,-683.00M,-709.00M,-670.00M,-972.00M,-999.00M,-842.00M,-1.025B,-219.00M,-517.00M,-338.00M,-547.00M,-492.00M,-1.121B,-547.00M,-505.00M,-218.00M,-156.00M,-165.00M,-278.00M,-166.00M,-148.00M,-131.00M,-116.00M,-286.00M,-990.00M,-1.124B,-1.17B,-570.00M,-547.00M,-853.00M,-669.00M,-419.00M,-620.00M,-554.00M,-867.00M,-525.00M,-549.00M,-620.00M,-785.00M,-218.00M,-347.00M,-331.00M,-414.00M,-42.00M,-158.00M,-44.00M,-154.00M,-32.00M,-56.00M,-153.00M,-363.00M,-303.00M,-681.00M,-413.00M,-622.00M,-582.00M,-478.00M,-281.00M,-4.124B
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,Restated,,,,Restated,,,
