Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12
Current Debt & Capital Lease Obligation,3.958B,2.661B,3.439B,3.281B,2.805B,3.20B,2.591B,2.683B,4.011B,4.555B,3.817B,4.302B,3.681B,3.82B,2.816B,3.869B,3.018B,4.557B,3.252B,3.163B,923.00M,2.393B,1.902B,2.222B,48.00M,1.703B,1.086B,1.615B,1.781B,3.859B,1.911B,919.00M,33.00M,1.31B,1.374B,1.554B,355.00M,994.00M,1.637B,1.406B,853.00M,1.397B,2.017B,3.346B,2.074B,2.895B,3.621B,2.508B,3.512B,1.374B,1.487B,976.00M,983.00M,1.65B,545.00M,693.00M,821.00M,1.85B,865.00M,840.00M,1.187B,616.00M,805.00M,683.00M,674.00M,645.00M,549.00M,598.00M,1.107B,1.292B,123.00M,276.00M,518.00M,682.00M,392.00M,249.00M,623.00M,1.218B,1.449B,1.244B,512.00M
Other Current Liability,1.641B,2.012B,1.635B,1.66B,1.522B,1.209B,1.171B,1.064B,951.00M,1.012B,1.012B,1.166B,1.422B,1.102B,1.247B,1.857B,1.656B,2.343B,2.132B,2.163B,1.915B,1.846B,1.609B,1.294B,1.561B,1.303B,1.261B,1.209B,1.641B,1.48B,1.494B,1.404B,1.557B,1.589B,1.71B,1.315B,1.343B,2.039B,2.142B,2.036B,1.447B,2.104B,1.935B,2.183B,2.452B,2.296B,2.392B,2.508B,2.655B,2.564B,2.337B,2.232B,2.192B,2.148B,2.083B,2.036B,2.064B,1.964B,1.546B,1.581B,1.518B,1.347B,1.288B,1.497B,1.499B,1.229B,1.397B,1.297B,2.54B,1.058B,946.00M,920.00M,2.369B,901.00M,798.00M,770.00M,2.204B,832.00M,874.00M,881.00M,1.032B
Total Current Liabilities,15.41B,12.84B,13.63B,13.21B,14.09B,12.22B,11.49B,11.15B,12.89B,12.17B,11.08B,11.41B,11.73B,10.89B,9.961B,11.10B,10.70B,11.87B,10.30B,10.61B,8.621B,9.096B,8.337B,9.193B,7.131B,7.821B,7.183B,8.034B,8.39B,10.29B,8.40B,7.543B,6.514B,7.511B,7.618B,7.605B,5.902B,6.801B,7.687B,7.366B,6.239B,6.774B,7.157B,8.794B,7.817B,8.972B,9.967B,8.977B,9.84B,7.849B,7.21B,7.017B,6.719B,7.819B,6.613B,7.006B,6.518B,7.869B,6.243B,6.445B,6.483B,5.755B,5.793B,5.74B,5.624B,6.063B,5.402B,5.56B,5.555B,6.163B,4.862B,4.726B,4.786B,6.044B,5.145B,4.305B,4.501B,5.619B,5.543B,5.46B,4.198B
Long Term Provisions - Legal & Other,1.282B,1.442B,1.493B,1.523B,1.571B,1.644B,1.665B,1.729B,1.765B,1.74B,1.746B,1.741B,1.794B,1.794B,1.811B,1.778B,1.831B,1.827B,1.927B,1.902B,1.916B,1.932B,2.041B,2.001B,2.059B,1.949B,1.998B,1.962B,1.98B,,,,1.806B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of Long Term Debt,21.82B,21.74B,20.43B,20.38B,19.93B,20.10B,20.12B,20.41B,20.28B,14.36B,14.26B,12.94B,12.39B,11.51B,11.55B,11.57B,11.32B,10.04B,9.90B,9.941B,9.856B,9.858B,9.94B,9.86B,10.82B,10.90B,10.84B,11.05B,11.09B,11.15B,11.11B,11.08B,11.10B,11.09B,10.79B,10.50B,10.49B,8.648B,8.614B,8.548B,8.668B,8.908B,8.866B,8.737B,7.797B,8.064B,7.233B,7.294B,7.506B,3.287B,3.101B,3.139B,3.133B,3.113B,3.077B,3.046B,3.159B,3.182B,3.258B,3.211B,3.261B,3.145B,3.182B,3.273B,3.149B,3.425B,3.52B,3.467B,3.495B,3.558B,4.729B,4.717B,4.648B,4.233B,4.138B,3.803B,2.981B,2.052B,1.748B,1.952B,1.912B
Long Term Cap Lease Obligation,2.391B,2.063B,2.026B,2.093B,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of LTD and Capital Lease Obligation,24.21B,23.80B,22.45B,22.47B,19.93B,20.10B,20.12B,20.41B,20.28B,14.36B,14.26B,12.94B,12.39B,11.51B,11.55B,11.57B,11.32B,10.04B,9.90B,9.941B,9.856B,9.858B,9.94B,9.86B,10.82B,10.90B,10.84B,11.05B,11.09B,11.15B,11.11B,11.08B,11.10B,11.09B,10.79B,10.50B,10.49B,8.648B,8.614B,8.548B,8.668B,8.908B,8.866B,8.737B,7.797B,8.064B,7.233B,7.294B,7.506B,3.287B,3.101B,3.139B,3.133B,3.113B,3.077B,3.046B,3.159B,3.182B,3.258B,3.211B,3.261B,3.145B,3.182B,3.273B,3.149B,3.425B,3.52B,3.467B,3.495B,3.558B,4.729B,4.717B,4.648B,4.233B,4.138B,3.803B,2.981B,2.052B,1.748B,1.952B,1.912B
Long Term Deferred Tax Liabilities,1.632B,1.886B,1.947B,1.758B,1.619B,1.069B,975.00M,837.00M,756.00M,75.00M,95.00M,107.00M,112.00M,72.00M,72.00M,104.00M,115.00M,77.00M,,49.00M,78.00M,1.276B,933.00M,1.177B,1.244B,,,,48.00M,1.332B,1.778B,1.87B,1.90B,2.394B,2.175B,2.024B,1.87B,1.497B,1.429B,1.494B,1.293B,927.00M,824.00M,583.00M,588.00M,2.768B,2.512B,2.472B,2.62B,2.617B,2.568B,2.535B,2.529B,6.312B,3.505B,6.297B,3.425B,5.805B,5.667B,5.612B,5.382B,5.159B,4.267B,4.202B,4.055B,3.843B,3.662B,3.606B,3.601B,4.038B,3.959B,3.826B,3.824B,3.504B,3.465B,3.419B,3.396B,3.426B,3.481B,3.501B,3.454B
Non-Current Deferred Liabilities,1.632B,1.886B,1.947B,1.758B,1.619B,1.069B,975.00M,837.00M,756.00M,75.00M,95.00M,107.00M,112.00M,72.00M,72.00M,104.00M,115.00M,77.00M,,49.00M,78.00M,1.276B,933.00M,1.177B,1.244B,,,,48.00M,1.332B,1.778B,1.87B,1.90B,2.394B,2.175B,2.024B,1.87B,1.497B,1.429B,1.494B,1.293B,927.00M,824.00M,583.00M,588.00M,2.768B,2.512B,2.472B,2.62B,2.617B,2.568B,2.535B,2.529B,6.312B,3.505B,6.297B,3.425B,5.805B,5.667B,5.612B,5.382B,5.159B,4.267B,4.202B,4.055B,3.843B,3.662B,3.606B,3.601B,4.038B,3.959B,3.826B,3.824B,3.504B,3.465B,3.419B,3.396B,3.426B,3.481B,3.501B,3.454B
Non-Current Accrued Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.813B,1.808B,1.776B,1.809B,,,,1.732B,,,,,,,4.622B,,2.81B,2.84B,2.788B,,1.751B,1.774B,1.726B,2.454B,1.606B,,1.507B,1.516B,,,,1.335B,,,,,,,,,,,,,,,,990.00M
Pension Liability,10.60B,6.443B,7.524B,8.27B,8.347B,7.012B,7.026B,7.053B,7.061B,10.08B,9.981B,10.39B,12.69B,10.05B,11.03B,10.84B,10.64B,11.99B,11.81B,11.62B,11.45B,6.749B,6.639B,7.203B,7.051B,11.62B,11.43B,11.24B,11.07B,5.213B,5.425B,5.465B,5.505B,3.744B,3.712B,3.648B,4.663B,4.85B,4.947B,4.954B,5.457B,6.048B,6.465B,6.449B,6.323B,4.848B,4.73B,,4.438B,,,,2.748B,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minority Interest Ownership,16.00M,16.00M,18.00M,18.00M,16.00M,28.00M,28.00M,31.00M,30.00M,30.00M,30.00M,25.00M,24.00M,24.00M,24.00M,23.00M,21.00M,19.00M,18.00M,18.00M,17.00M,17.00M,17.00M,15.00M,14.00M,13.00M,13.00M,15.00M,80.00M,85.00M,80.00M,76.00M,73.00M,71.00M,75.00M,70.00M,68.00M,66.00M,65.00M,66.00M,66.00M,65.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Liabilities,1.437B,1.299B,1.314B,1.346B,1.424B,1.515B,1.593B,1.912B,1.804B,1.405B,1.289B,1.235B,1.224B,1.262B,1.266B,1.30B,1.224B,1.245B,1.339B,1.367B,1.359B,1.351B,1.386B,1.389B,1.415B,1.534B,1.629B,1.672B,1.555B,3.468B,2.737B,2.507B,773.00M,815.00M,723.00M,803.00M,815.00M,2.585B,2.662B,2.529B,798.00M,2.508B,2.435B,2.43B,2.574B,2.411B,2.594B,2.512B,2.455B,2.364B,2.55B,2.588B,2.599B,,2.89B,,2.507B,,1.549B,,,1.423B,1.436B,1.398B,719.00M,1.311B,1.337B,1.304B,1.251B,1.234B,1.214B,1.172B,1.13B,1.133B,1.116B,1.082B,1.049B,1.049B,1.052B,1.021B,
Total Long Term Liabilities,39.16B,34.87B,34.73B,35.37B,32.89B,31.34B,31.38B,31.94B,31.66B,27.65B,27.37B,26.41B,28.22B,24.69B,25.73B,25.59B,25.12B,25.18B,24.98B,24.88B,24.66B,21.17B,20.94B,21.63B,22.59B,26.00B,25.89B,25.93B,25.74B,21.16B,21.05B,20.92B,21.08B,19.86B,19.20B,18.76B,19.65B,17.58B,17.65B,17.52B,17.95B,18.39B,18.59B,18.20B,17.28B,18.09B,17.07B,16.90B,17.02B,11.08B,11.06B,11.05B,11.01B,11.18B,11.25B,11.07B,11.54B,10.59B,10.47B,10.33B,10.16B,9.727B,8.885B,8.873B,9.258B,8.579B,8.519B,8.377B,8.347B,8.83B,9.902B,9.715B,9.602B,8.87B,8.719B,8.304B,7.426B,6.527B,6.281B,6.474B,6.356B
Total Liabilities,54.57B,47.71B,48.36B,48.58B,46.98B,43.56B,42.87B,43.09B,44.55B,39.82B,38.45B,37.82B,39.95B,35.58B,35.69B,36.69B,35.82B,37.05B,35.28B,35.48B,33.28B,30.26B,29.28B,30.82B,29.72B,33.82B,33.07B,33.96B,34.13B,31.45B,29.45B,28.46B,27.59B,27.37B,26.82B,26.36B,25.55B,24.38B,25.34B,24.89B,24.19B,25.16B,25.75B,26.99B,25.10B,27.06B,27.04B,25.88B,26.86B,18.93B,18.27B,18.07B,17.73B,19.00B,17.86B,18.08B,18.06B,18.46B,16.72B,16.78B,16.64B,15.48B,14.68B,14.61B,14.88B,14.64B,13.92B,13.94B,13.90B,14.99B,14.76B,14.44B,14.39B,14.91B,13.86B,12.61B,11.93B,12.15B,11.82B,11.93B,10.55B
Total Capital Stock,9.00M,9.00M,9.00M,9.00M,9.00M,9.00M,9.00M,9.00M,9.00M,9.00M,9.00M,9.00M,9.00M,9.00M,9.00M,9.00M,9.00M,9.00M,9.00M,9.00M,9.00M,9.00M,9.00M,9.00M,9.00M,9.00M,9.00M,9.00M,10.00M,10.00M,10.00M,10.00M,10.00M,10.00M,10.00M,10.00M,10.00M,10.00M,10.00M,10.00M,10.00M,10.00M,10.00M,10.00M,10.00M,10.00M,10.00M,10.00M,10.00M,10.00M,11.00M,11.00M,11.00M,11.00M,11.00M,11.00M,11.00M,11.00M,11.00M,11.00M,11.00M,11.00M,11.00M,11.00M,11.00M,11.00M,11.00M,11.00M,11.00M,11.00M,11.00M,11.00M,11.00M,11.00M,11.00M,11.00M,11.00M,11.00M,11.00M,11.00M,12.00M
Retained Earnings,9.105B,10.04B,9.109B,8.249B,8.006B,8.377B,7.665B,6.973B,5.852B,5.724B,5.437B,4.988B,4.879B,6.385B,6.223B,6.095B,6.001B,5.771B,5.668B,5.508B,5.726B,6.229B,6.155B,6.727B,6.925B,7.102B,7.185B,7.614B,7.997B,10.45B,10.83B,10.43B,10.13B,13.83B,14.22B,14.21B,10.60B,13.60B,13.07B,12.69B,12.74B,12.45B,12.35B,12.36B,12.41B,12.71B,12.84B,13.52B,14.19B,17.73B,17.43B,17.48B,17.68B,17.28B,17.12B,16.86B,17.04B,16.73B,16.60B,16.52B,16.19B,15.71B,15.30B,14.80B,14.36B,13.78B,13.33B,12.87B,12.50B,11.28B,10.91B,10.51B,10.16B,9.982B,10.12B,9.705B,9.684B,9.152B,8.644B,8.143B,7.536B
Additional Paid In Capital,150.00M,129.00M,102.00M,27.00M,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00M,0.00,0.00,,5.00M,0.00,2.00M,49.00M,59.00M,46.00M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,417.00M,0.00,105.00M,360.00M,662.00M,242.00M,330.00M,289.00M,387.00M,3.00M,17.00M,100.00M,414.00M,0.00,100.00M,0.00,267.00M,345.00M,811.00M,1.012B,5.096B
Treasury Stock,26.00M,25.00M,25.00M,25.00M,32.00M,32.00M,31.00M,31.00M,37.00M,37.00M,36.00M,36.00M,45.00M,44.00M,44.00M,43.00M,51.00M,51.00M,50.00M,49.00M,59.00M,59.00M,58.00M,58.00M,69.00M,68.00M,67.00M,66.00M,78.00M,77.00M,76.00M,76.00M,88.00M,87.00M,86.00M,85.00M,103.00M,101.00M,101.00M,99.00M,108.00M,108.00M,107.00M,106.00M,121.00M,120.00M,119.00M,118.00M,137.00M,137.00M,136.00M,135.00M,147.00M,147.00M,146.00M,145.00M,161.00M,161.00M,160.00M,159.00M,169.00M,169.00M,168.00M,129.00M,136.00M,135.00M,135.00M,85.00M,84.00M,84.00M,86.00M,47.00M,47.00M,47.00M,47.00M,,,,,,
Adjustments for Foreign Currency Translation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.00M,,-78.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Equity Adjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.193B,,-2.101B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accrued Comprehensive Inc,-5.997B,-4.617B,-4.815B,-4.818B,-4.994B,-5.288B,-5.346B,-5.638B,-4.867B,-4.224B,-4.202B,-4.462B,-4.483B,-3.651B,-3.606B,-3.647B,-3.54B,-3.851B,-3.727B,-3.688B,-3.594B,-611.00M,-596.00M,-489.00M,-460.00M,-3.469B,-3.577B,-3.595B,-3.354B,-2.929B,-3.192B,-3.02B,-3.103B,-6.04B,-5.977B,-6.052B,-2.635B,-5.153B,-5.217B,-5.155B,-5.127B,-5.531B,-5.628B,-5.639B,-5.642B,-1.619B,-1.831B,-1.934B,-2.013B,-2.174B,-2.198B,-2.179B,-2.205B,-112.00M,-118.00M,-156.00M,-164.00M,-128.00M,-166.00M,-177.00M,-236.00M,-237.00M,-238.00M,-224.00M,-177.00M,-305.00M,-353.00M,-356.00M,,-333.00M,-261.00M,-335.00M,,-288.00M,-303.00M,-322.00M,,-242.00M,-205.00M,-182.00M,-170.00M
Shareholders Equity,3.267B,5.558B,4.405B,3.467B,3.021B,3.098B,2.328B,1.344B,994.00M,1.509B,1.244B,535.00M,405.00M,2.743B,2.626B,2.457B,2.47B,1.929B,1.95B,1.829B,2.141B,5.627B,5.568B,6.247B,6.474B,3.642B,3.617B,4.028B,4.653B,7.529B,7.645B,7.423B,7.035B,7.798B,8.254B,8.164B,7.979B,8.46B,7.865B,7.547B,7.63B,6.981B,6.793B,6.78B,6.78B,11.10B,11.02B,11.59B,12.18B,15.57B,15.24B,15.31B,15.48B,17.18B,17.02B,16.72B,16.88B,16.62B,16.45B,16.35B,16.38B,15.49B,15.18B,14.95B,14.85B,13.73B,13.31B,12.81B,12.46B,10.96B,10.68B,10.29B,10.25B,9.705B,9.928B,9.394B,9.735B,9.266B,9.261B,8.984B,12.47B
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,Restated,,,,Restated,,,,Restated
