Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1988-12,1987-12,1986-12,1985-12,1984-12
Total Payables,746.00M,741.00M,770.00M,739.00M,767.00M,833.00M,792.00M,749.00M,696.00M,651.00M,610.00M,614.00M,607.00M,623.00M,598.00M,652.00M,665.00M,955.00M,1.062B,1.037B,1.264B,1.66B,1.821B,1.673B,1.864B,1.634B,1.912B,1.74B,1.442B,1.582B,1.713B,1.704B,1.865B,1.119B,1.295B,906.00M,779.00M,598.04M,485.60M,536.61M,397.00M,442.21M,467.44M,405.30M,548.94M,702.14M,894.41M,683.58M,617.94M,655.48M,607.66M,636.02M,644.89M,627.41M,616.86M,669.37M,714.60M,726.65M,595.29M,567.57M,542.07M,440.29M,414.98M,327.37M,300.60M,284.94M,271.22M,315.45M,214.29M,241.48M,224.62M,192.54M,179.78M,289.84M,307.54M,377.52M,259.12M,224.93M,183.02M,142.97M,148.31M,169.90M,113.00M,94.40M,115.10M,117.30M,140.10M,138.60M,178.40M,148.20M,140.20M,166.60M,174.90M,153.40M,153.10M,129.30M,138.30M,112.80M,99.40M,79.10M,87.70M,106.60M,103.40M,102.50M,118.40M,94.50M,81.80M,82.10M,82.10M,88.20M,94.60M,78.20M,79.90M,92.90M,75.40M,81.50M,86.10M,66.40M,66.60M,69.80M,72.00M,,,,,
Accrued Expenses,614.00M,681.00M,764.00M,808.00M,950.00M,905.00M,890.00M,991.00M,1.019B,872.00M,830.00M,803.00M,718.00M,721.00M,741.00M,770.00M,920.00M,914.00M,977.00M,1.449B,1.929B,1.969B,1.908B,1.888B,1.933B,2.126B,1.984B,1.936B,2.163B,2.001B,2.057B,1.627B,1.786B,1.487B,1.543B,1.59B,1.816B,1.130B,987.98M,1.108B,1.013B,974.16M,964.94M,1.195B,1.133B,1.237B,1.436B,1.185B,1.037B,887.14M,1.012B,878.92M,766.26M,807.62M,687.72M,752.59M,804.55M,843.83M,636.14M,739.24M,616.06M,525.39M,418.20M,491.72M,,456.44M,365.40M,367.77M,,275.58M,235.17M,247.71M,,32.40M,391.96M,25.72M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payables and Accrued Expenses,1.36B,1.422B,1.534B,1.547B,1.717B,1.738B,1.682B,1.74B,1.715B,1.523B,1.44B,1.417B,1.325B,1.344B,1.339B,1.422B,1.585B,1.869B,2.039B,2.486B,3.193B,3.629B,3.729B,3.561B,3.797B,3.76B,3.896B,3.676B,3.605B,3.583B,3.77B,3.331B,3.651B,2.606B,2.838B,2.496B,2.595B,1.728B,1.474B,1.645B,1.41B,1.416B,1.432B,1.600B,1.682B,1.940B,2.330B,1.868B,1.654B,1.543B,1.620B,1.515B,1.411B,1.435B,1.305B,1.422B,1.519B,1.570B,1.231B,1.307B,1.158B,965.68M,833.18M,819.10M,300.60M,741.38M,636.62M,683.22M,214.29M,517.06M,459.79M,440.24M,179.78M,322.24M,699.50M,403.24M,259.12M,224.93M,183.02M,142.97M,148.31M,169.90M,113.00M,94.40M,115.10M,117.30M,140.10M,138.60M,178.40M,148.20M,140.20M,166.60M,174.90M,153.40M,153.10M,129.30M,138.30M,112.80M,99.40M,79.10M,87.70M,106.60M,103.40M,102.50M,118.40M,94.50M,81.80M,82.10M,82.10M,88.20M,94.60M,78.20M,79.90M,92.90M,75.40M,81.50M,86.10M,66.40M,66.60M,69.80M,72.00M,,,,,
Current Provisions - Legal & Other,47.00M,66.00M,66.00M,66.00M,66.00M,38.00M,38.00M,42.00M,43.00M,35.00M,35.00M,56.00M,66.00M,36.00M,36.00M,36.00M,36.00M,28.00M,28.00M,47.00M,37.00M,177.00M,178.00M,182.00M,121.00M,139.00M,475.00M,468.00M,478.00M,434.00M,447.00M,448.00M,447.00M,327.00M,360.00M,373.00M,407.00M,153.30M,147.37M,,147.00M,,,306.45M,339.16M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Borrowings,11.00M,19.00M,175.00M,339.00M,151.00M,,,,,,,,,,,,,,,,,20.00M,1.00M,,53.00M,57.00M,478.00M,994.00M,990.00M,964.00M,568.00M,429.00M,431.00M,417.00M,448.00M,,46.00M,135.37M,,,117.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,11.00M,19.00M,175.00M,339.00M,151.00M,150.00M,400.00M,400.00M,550.00M,550.00M,150.00M,150.00M,,1.00M,1.00M,1.00M,1.00M,,,2.598B,,20.00M,1.00M,,53.00M,57.00M,478.00M,994.00M,990.00M,964.00M,568.00M,429.00M,431.00M,417.00M,448.00M,30.00M,46.00M,135.37M,116.20M,113.63M,117.00M,39.67M,12.66M,17.88M,112.60M,140.51M,133.79M,227.59M,215.07M,849.29M,975.76M,1.501B,1.802B,1.459B,1.287B,157.57M,0.274M,0.274M,287.27M,,,,,,,,,,,,,,342.68M,,63.00M,30.28M,25.00M,22.68M,31.85M,8.90M,6.158M,24.30M,18.40M,15.00M,15.50M,6.00M,38.60M,11.80M,17.20M,1.00M,7.50M,,2.00M,17.00M,13.50M,2.00M,3.00M,17.00M,7.00M,,0.10M,0.30M,0.60M,8.90M,9.00M,8.90M,7.40M,1.20M,1.10M,1.60M,2.90M,4.50M,4.70M,67.40M,3.60M,5.00M,5.20M,1.30M,1.50M,2.00M,2.50M,10.90M,2.50M,20.80M,3.60M,19.40M
Current Capital Lease Obligation,169.00M,149.00M,172.00M,187.00M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Debt & Capital Lease Obligation,180.00M,168.00M,347.00M,526.00M,151.00M,150.00M,400.00M,400.00M,550.00M,550.00M,150.00M,150.00M,,1.00M,1.00M,1.00M,1.00M,,,2.598B,,20.00M,1.00M,,53.00M,57.00M,478.00M,994.00M,990.00M,964.00M,568.00M,429.00M,431.00M,417.00M,448.00M,30.00M,46.00M,135.37M,116.20M,113.63M,117.00M,39.67M,12.66M,17.88M,112.60M,140.51M,133.79M,227.59M,215.07M,849.29M,975.76M,1.501B,1.802B,1.459B,1.287B,157.57M,0.274M,0.274M,287.27M,,,,,,,,,,,,,,342.68M,,63.00M,30.28M,25.00M,22.68M,31.85M,8.90M,6.158M,24.30M,18.40M,15.00M,15.50M,6.00M,38.60M,11.80M,17.20M,1.00M,7.50M,,2.00M,17.00M,13.50M,2.00M,3.00M,17.00M,7.00M,,0.10M,0.30M,0.60M,8.90M,9.00M,8.90M,7.40M,1.20M,1.10M,1.60M,2.90M,4.50M,4.70M,67.40M,3.60M,5.00M,5.20M,1.30M,1.50M,2.00M,2.50M,10.90M,2.50M,20.80M,3.60M,19.40M
Current Deferred Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Liability,56.00M,94.00M,180.00M,139.00M,90.00M,134.00M,102.00M,114.00M,141.00M,258.00M,1.172B,219.00M,251.00M,100.00M,95.00M,64.00M,53.00M,112.00M,166.00M,235.00M,230.00M,264.00M,495.00M,479.00M,487.00M,389.00M,173.00M,325.00M,265.00M,242.00M,206.00M,392.00M,254.00M,531.00M,703.00M,436.00M,476.00M,384.84M,368.42M,482.19M,567.00M,530.90M,363.32M,47.87M,274.44M,836.15M,1.660B,904.72M,795.47M,534.88M,540.79M,575.97M,598.36M,595.87M,717.58M,556.09M,667.14M,572.51M,300.52M,264.64M,124.76M,179.15M,142.42M,95.46M,519.78M,87.92M,106.25M,45.38M,317.95M,20.14M,12.55M,23.40M,,294.22M,50.99M,470.92M,269.23M,209.86M,160.57M,172.63M,182.31M,148.40M,141.40M,118.90M,175.20M,115.60M,113.20M,135.10M,148.20M,133.70M,121.00M,121.90M,132.80M,86.50M,83.00M,82.60M,89.00M,77.20M,69.60M,55.50M,60.00M,57.50M,51.10M,48.10M,58.00M,56.60M,48.00M,41.10M,74.40M,49.70M,50.60M,45.00M,61.10M,47.00M,24.90M,24.90M,31.50M,33.10M,29.30M,33.20M,33.50M,87.30M,93.40M,122.50M,87.90M,53.60M
Total Current Liabilities,1.855B,1.921B,2.262B,2.374B,2.201B,2.207B,2.312B,2.342B,2.564B,2.465B,2.873B,1.898B,1.843B,1.628B,1.57B,1.598B,1.841B,2.167B,2.383B,5.493B,3.664B,4.307B,4.57B,4.356B,4.70B,4.523B,5.158B,5.562B,5.536B,5.39B,5.121B,4.698B,4.963B,4.024B,4.484B,3.957B,3.524B,2.527B,2.203B,2.241B,2.393B,1.987B,1.808B,2.036B,2.520B,2.916B,4.124B,3.000B,2.665B,2.927B,3.137B,3.592B,3.812B,3.490B,3.309B,2.136B,2.187B,2.143B,1.819B,1.571B,1.283B,1.145B,975.60M,914.56M,820.38M,829.30M,742.87M,728.60M,532.24M,537.20M,472.34M,463.65M,522.46M,616.46M,813.49M,904.44M,553.35M,457.46M,375.44M,324.50M,336.78M,342.60M,272.80M,228.30M,305.80M,238.90M,291.90M,285.50M,343.80M,282.90M,268.70M,288.50M,309.70M,256.90M,249.60M,213.90M,230.30M,207.00M,176.00M,134.60M,147.80M,164.40M,155.10M,159.50M,185.40M,160.00M,137.20M,124.40M,157.60M,139.50M,148.10M,127.70M,145.70M,207.30M,103.90M,111.40M,122.80M,100.80M,97.40M,105.00M,108.00M,98.20M,95.90M,143.30M,91.50M,73.00M
Long Term Provisions - Legal & Other,1.811B,1.853B,1.85B,1.879B,1.866B,1.867B,1.845B,1.819B,1.792B,1.831B,1.811B,2.46B,2.432B,2.742B,2.706B,2.586B,2.562B,2.567B,2.534B,3.094B,3.048B,3.096B,3.05B,2.996B,3.101B,3.123B,4.278B,4.197B,4.10B,3.794B,3.739B,3.482B,3.44B,2.603B,2.535B,2.482B,2.465B,1.949B,1.875B,,1.637B,,,1.559B,1.556B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of Long Term Debt,8.555B,8.393B,8.157B,8.094B,8.093B,8.053B,7.937B,7.936B,7.934B,7.933B,8.329B,8.327B,8.544B,8.721B,8.719B,8.718B,8.716B,8.777B,9.676B,9.675B,11.24B,10.90B,9.674B,9.673B,9.672B,10.87B,12.30B,11.48B,11.36B,10.67B,9.67B,7.444B,6.785B,6.785B,7.404B,8.13B,8.095B,6.381B,4.896B,4.951B,4.95B,5.010B,4.955B,4.894B,4.809B,3.917B,3.912B,3.912B,4.012B,4.011B,4.011B,3.512B,2.020B,2.189B,2.189B,2.189B,2.192B,2.192B,2.192B,2.532B,2.588B,2.735B,2.192B,2.192B,2.327B,2.514B,2.350B,1.943B,2.159B,2.163B,2.205B,2.278B,2.244B,2.312B,2.575B,2.718B,2.193B,1.941B,2.193B,1.947B,1.880B,1.422B,1.539B,1.532B,1.343B,1.305B,1.407B,1.393B,1.501B,1.313B,1.349B,1.249B,1.236B,1.226B,1.157B,1.138B,1.072B,1.058B,1.208B,1.208B,657.50M,552.70M,526.90M,492.40M,453.00M,409.40M,366.30M,398.00M,454.40M,422.40M,454.20M,513.50M,491.00M,501.50M,190.60M,193.90M,194.80M,199.90M,174.50M,175.90M,195.60M,309.10M,236.30M,275.90M,110.60M,79.90M
Non-Current Portion of LTD and Capital Lease Obligation,8.555B,8.393B,8.157B,8.094B,8.093B,8.053B,7.937B,7.936B,7.934B,7.933B,8.329B,8.327B,8.544B,8.721B,8.719B,8.718B,8.716B,8.777B,9.676B,9.675B,11.24B,10.90B,9.674B,9.673B,9.672B,10.87B,12.30B,11.48B,11.36B,10.67B,9.67B,7.444B,6.785B,6.785B,7.404B,8.13B,8.095B,6.381B,4.896B,4.951B,4.95B,5.010B,4.955B,4.894B,4.809B,3.917B,3.912B,3.912B,4.012B,4.011B,4.011B,3.512B,2.020B,2.189B,2.189B,2.189B,2.192B,2.192B,2.192B,2.532B,2.588B,2.735B,2.192B,2.192B,2.327B,2.514B,2.350B,1.943B,2.159B,2.163B,2.205B,2.278B,2.244B,2.312B,2.575B,2.718B,2.193B,1.941B,2.193B,1.947B,1.880B,1.422B,1.539B,1.532B,1.343B,1.305B,1.407B,1.393B,1.501B,1.313B,1.349B,1.249B,1.236B,1.226B,1.157B,1.138B,1.072B,1.058B,1.208B,1.208B,657.50M,552.70M,526.90M,492.40M,453.00M,409.40M,366.30M,398.00M,454.40M,422.40M,454.20M,513.50M,491.00M,501.50M,190.60M,193.90M,194.80M,199.90M,174.50M,175.90M,195.60M,309.10M,236.30M,275.90M,110.60M,79.90M
Long Term Deferred Tax Liabilities,346.00M,340.00M,348.00M,370.00M,391.00M,502.00M,518.00M,528.00M,545.00M,948.00M,1.058B,1.789B,1.71B,1.783B,2.308B,891.00M,2.529B,1.997B,2.644B,6.611B,9.499B,9.298B,8.566B,8.517B,8.364B,8.297B,8.496B,8.163B,8.024B,7.602B,7.383B,7.217B,7.197B,5.535B,4.698B,4.265B,4.249B,3.582B,3.247B,3.016B,2.765B,2.644B,2.503B,2.477B,3.167B,,,,,,,3.408B,,3.373B,2.874B,2.779B,2.581B,2.348B,2.268B,2.152B,2.147B,1.906B,1.786B,1.771B,1.697B,1.521B,1.370B,1.227B,1.121B,1.069B,1.041B,985.83M,991.72M,986.49M,905.63M,760.37M,699.83M,564.36M,467.89M,411.18M,360.32M,332.60M,300.50M,270.10M,270.50M,355.70M,359.00M,360.20M,355.60M,301.70M,291.10M,281.30M,254.80M,230.90M,215.70M,190.30M,181.60M,176.40M,172.40M,160.60M,156.20M,149.30M,140.40M,133.80M,128.60M,117.10M,94.30M,87.50M,83.20M,79.50M,76.60M,64.30M,65.30M,62.90M,67.30M,67.00M,66.10M,59.10M,57.00M,56.10M,52.80M,38.70M,34.40M,91.60M,101.30M,100.60M
Non-Current Deferred Liabilities,346.00M,340.00M,348.00M,370.00M,391.00M,502.00M,518.00M,528.00M,545.00M,948.00M,1.058B,1.789B,1.71B,1.783B,2.308B,891.00M,2.529B,1.997B,2.644B,6.611B,9.499B,9.298B,8.566B,8.517B,8.364B,8.297B,8.496B,8.163B,8.024B,7.602B,7.383B,7.217B,7.197B,5.535B,4.698B,4.265B,4.249B,3.582B,3.247B,5.278B,2.765B,4.873B,4.680B,2.477B,3.167B,,,,,,,3.408B,,3.373B,2.874B,2.779B,2.581B,2.348B,2.268B,2.152B,2.147B,1.906B,1.786B,1.771B,1.697B,1.521B,1.370B,1.227B,1.121B,1.069B,1.041B,985.83M,991.72M,986.49M,905.63M,760.37M,699.83M,564.36M,467.89M,411.18M,360.32M,332.60M,300.50M,270.10M,270.50M,355.70M,359.00M,360.20M,355.60M,301.70M,291.10M,281.30M,254.80M,230.90M,215.70M,190.30M,181.60M,176.40M,172.40M,160.60M,156.20M,149.30M,140.40M,133.80M,128.60M,117.10M,94.30M,87.50M,83.20M,79.50M,76.60M,64.30M,65.30M,62.90M,67.30M,67.00M,66.10M,59.10M,57.00M,56.10M,52.80M,38.70M,34.40M,91.60M,101.30M,100.60M
Minority Interest Ownership,1.21B,1.567B,1.603B,1.62B,1.682B,1.334B,1.355B,1.367B,1.375B,1.366B,1.366B,1.438B,1.441B,1.48B,1.554B,1.536B,1.602B,2.163B,2.211B,2.194B,2.20B,2.168B,2.137B,2.095B,1.997B,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.68M,440.66M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.40M,,,,,,,,,,,,,,,,,,,,
Preferred Securities out of Shareholders Equity,555.00M,539.00M,521.00M,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.62M,437.09M,436.63M,436.42M,436.02M,440.70M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Liabilities,520.00M,491.00M,514.00M,425.00M,219.00M,295.00M,303.00M,297.00M,296.00M,281.00M,266.00M,313.00M,311.00M,326.00M,347.00M,332.00M,362.00M,332.00M,320.00M,372.00M,359.00M,401.00M,419.00M,402.00M,407.00M,447.00M,400.00M,398.00M,391.00M,640.00M,631.00M,681.00M,673.00M,632.00M,741.00M,834.00M,715.00M,545.26M,535.88M,,662.00M,,,585.26M,626.17M,7.396B,7.326B,6.824B,6.580B,6.040B,5.679B,2.094B,5.286B,1.739B,1.709B,1.639B,1.771B,1.458B,1.405B,1.378B,1.280B,1.165B,1.022B,1.036B,1.039B,1.079B,996.34M,732.95M,287.29M,281.80M,309.30M,308.22M,315.95M,313.40M,331.00M,440.38M,280.87M,289.40M,282.30M,280.18M,256.36M,264.10M,274.90M,265.50M,274.70M,282.20M,221.00M,202.60M,208.60M,213.10M,102.30M,107.80M,113.70M,108.90M,109.50M,99.00M,105.70M,103.60M,107.80M,100.60M,101.30M,41.50M,39.30M,40.60M,39.50M,46.20M,47.50M,48.80M,48.30M,50.00M,44.30M,44.70M,67.40M,61.70M,45.10M,43.90M,59.10M,60.30M,58.20M,59.50M,57.70M,48.80M,11.90M,10.70M,7.00M,8.30M
Total Long Term Liabilities,11.79B,11.62B,11.39B,10.77B,10.57B,10.72B,10.60B,10.58B,10.57B,10.99B,11.46B,12.89B,13.00B,13.57B,14.08B,12.53B,14.17B,13.67B,15.17B,19.75B,24.15B,23.70B,21.71B,21.59B,21.54B,22.74B,25.47B,24.24B,23.87B,22.71B,21.42B,18.82B,18.10B,15.56B,15.38B,15.71B,15.52B,12.46B,10.55B,10.23B,10.01B,9.883B,9.635B,9.515B,10.16B,11.31B,11.24B,10.74B,10.59B,10.05B,9.690B,9.014B,7.306B,7.301B,6.772B,6.607B,6.544B,5.997B,5.865B,6.062B,6.015B,5.806B,5.000B,4.999B,5.063B,5.114B,5.154B,4.341B,4.003B,3.950B,3.992B,4.013B,3.552B,3.611B,3.812B,3.919B,3.174B,2.795B,2.943B,2.638B,2.496B,2.019B,2.115B,2.068B,1.888B,1.943B,1.987B,1.956B,2.066B,1.827B,1.742B,1.638B,1.604B,1.566B,1.482B,1.427B,1.359B,1.338B,1.488B,1.469B,915.00M,743.50M,706.60M,666.80M,621.10M,572.70M,508.10M,534.30M,585.90M,551.90M,575.10M,622.50M,623.70M,626.10M,303.00M,304.80M,320.00M,319.30M,289.70M,291.50M,306.10M,396.60M,282.60M,378.20M,218.90M,188.80M
Total Liabilities,13.64B,13.54B,13.65B,13.14B,12.77B,12.92B,12.92B,12.92B,13.13B,13.46B,14.34B,14.79B,14.84B,15.20B,15.65B,14.12B,16.01B,15.84B,17.56B,25.24B,27.82B,28.00B,26.28B,25.94B,26.24B,27.26B,30.63B,29.80B,29.41B,28.10B,26.54B,23.52B,23.06B,19.58B,19.86B,19.67B,19.05B,14.98B,12.76B,12.47B,12.41B,11.87B,11.44B,11.55B,12.68B,14.23B,15.36B,13.74B,13.26B,12.98B,12.83B,12.61B,11.12B,10.79B,10.08B,8.743B,8.731B,8.140B,7.684B,7.633B,7.298B,6.951B,5.976B,5.913B,5.883B,5.943B,5.897B,5.069B,4.536B,4.488B,4.464B,4.476B,4.074B,4.228B,4.625B,4.824B,3.727B,3.252B,3.318B,2.963B,2.833B,2.362B,2.388B,2.296B,2.194B,2.182B,2.279B,2.242B,2.409B,2.110B,2.011B,1.926B,1.914B,1.822B,1.732B,1.641B,1.590B,1.545B,1.664B,1.604B,1.063B,907.90M,861.70M,826.30M,806.50M,732.70M,645.30M,658.70M,743.50M,691.40M,723.20M,750.20M,769.40M,833.40M,406.90M,416.20M,442.80M,420.10M,387.10M,396.50M,414.10M,494.80M,378.50M,521.50M,310.40M,261.80M
Total Capital Stock,261.00M,261.00M,261.00M,261.00M,260.00M,260.00M,260.00M,259.00M,259.00M,259.00M,259.00M,258.00M,258.00M,258.00M,258.00M,257.00M,257.00M,257.00M,257.00M,256.00M,256.00M,256.00M,256.00M,255.00M,255.00M,255.00M,1.473B,1.472B,1.472B,1.472B,1.472B,1.468B,1.468B,1.468B,1.468B,1.467B,1.467B,1.456B,215.80M,215.45M,215.00M,214.94M,214.76M,312.85M,312.61M,312.60M,312.48M,312.08M,311.71M,311.59M,311.24M,310.95M,310.75M,310.00M,309.76M,309.14M,309.01M,308.50M,308.30M,308.00M,307.71M,307.13M,306.93M,306.56M,306.20M,305.87M,305.74M,305.55M,292.72M,283.36M,283.17M,483.35M,483.06M,467.00M,466.99M,466.90M,464.72M,464.57M,452.85M,452.33M,454.38M,454.40M,308.90M,98.40M,223.10M,98.50M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retained Earnings,-5.601B,-2.625B,-2.455B,-2.095B,-2.048B,-1.667B,-1.748B,-1.943B,-2.088B,-2.544B,-2.607B,-3.179B,-3.385B,-3.203B,-2.596B,-7.642B,-1.98B,60.00M,5.809B,11.50B,16.25B,21.16B,22.58B,22.17B,22.03B,21.94B,21.72B,20.78B,20.16B,19.58B,19.48B,19.21B,18.50B,17.39B,16.46B,15.28B,14.22B,13.61B,12.90B,12.09B,11.44B,10.90B,10.51B,10.12B,11.93B,14.93B,13.79B,12.39B,11.46B,10.44B,9.875B,9.292B,8.899B,8.429B,7.832B,7.143B,6.517B,5.763B,5.110B,4.550B,4.017B,3.532B,3.126B,2.773B,2.446B,2.204B,1.948B,1.722B,1.428B,1.658B,1.528B,1.399B,1.336B,1.277B,1.705B,1.504B,1.227B,986.21M,802.23M,661.80M,558.70M,474.20M,414.30M,392.70M,403.10M,570.50M,574.80M,572.40M,562.00M,523.00M,498.60M,479.10M,432.60M,387.70M,363.90M,345.70M,335.40M,332.30M,330.70M,209.50M,207.90M,199.50M,193.20M,187.30M,182.20M,173.30M,176.50M,168.70M,160.80M,152.80M,147.60M,126.90M,126.10M,114.60M,116.80M,113.30M,104.30M,95.80M,89.30M,84.90M,76.50M,64.80M,62.50M,139.20M,155.80M,153.70M
Additional Paid In Capital,11.77B,11.85B,11.93B,12.01B,12.11B,11.94B,12.01B,12.07B,12.13B,12.19B,12.25B,12.30B,12.36B,12.42B,12.49B,12.41B,12.62B,12.50B,12.48B,12.46B,12.44B,12.38B,12.32B,12.28B,12.25B,11.19B,9.928B,9.897B,9.859B,9.783B,9.736B,9.107B,9.066B,9.017B,8.969B,8.928B,8.864B,6.870B,4.749B,4.708B,4.634B,4.662B,4.626B,4.496B,4.473B,4.446B,4.420B,4.369B,4.367B,4.342B,4.321B,4.292B,4.270B,4.244B,4.221B,4.188B,4.171B,4.170B,4.144B,4.126B,4.106B,4.110B,4.094B,4.053B,4.038B,4.024B,4.017B,4.010B,3.427B,3.038B,3.030B,2.824B,2.813B,2.826B,2.280B,2.277B,2.173B,2.161B,1.739B,1.723B,1.717B,1.709B,,,1.246B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treasury Stock,3.19B,3.19B,3.19B,3.19B,3.192B,2.93B,2.887B,2.887B,2.887B,2.887B,2.887B,2.887B,2.887B,2.888B,2.888B,2.888B,2.889B,2.889B,2.889B,2.889B,2.89B,2.857B,2.29B,1.511B,1.027B,280.00M,280.00M,30.00M,30.00M,30.00M,30.00M,31.00M,32.00M,32.00M,33.00M,33.00M,36.00M,41.46M,212.28M,215.57M,217.00M,219.47M,223.26M,225.93M,228.30M,228.98M,229.67M,236.07M,238.26M,240.42M,243.07M,253.81M,256.74M,259.97M,245.32M,89.54M,89.76M,89.97M,91.65M,93.86M,97.32M,98.11M,100.10M,102.54M,105.17M,106.56M,107.30M,108.45M,110.56M,110.62M,110.96M,110.74M,111.88M,111.94M,94.68M,68.90M,69.56M,69.56M,69.69M,69.68M,52.26M,48.70M,,,36.90M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,1.227B,1.227B,1.227B,1.227B,1.227B,1.227B,1.227B,1.227B,1.227B,1.227B,1.227B,1.227B,,,,,,98.39M,98.39M,98.39M,98.39M,98.39M,98.39M,98.39M,98.39M,98.39M,98.39M,98.39M,98.39M,98.39M,98.39M,98.39M,98.39M,98.39M,98.39M,98.39M,98.39M,98.39M,98.39M,98.39M,98.39M,98.39M,98.39M,98.39M,98.39M,306.56M,306.59M,306.59M,306.59M,306.59M,306.59M,306.59M,306.59M,306.59M,308.88M,308.90M,308.90M,98.40M,98.40M,98.50M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjustments for Foreign Currency Translation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-108.75M,,,,-108.75M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Equity Adjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-411.46M,,,,77.42M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accrued Comprehensive Inc,16.00M,3.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,-3.00M,-112.00M,-112.00M,-112.00M,-119.00M,-119.00M,-116.00M,-119.00M,-116.00M,-116.00M,-116.00M,-116.00M,-116.00M,-116.00M,-116.00M,-115.00M,-123.00M,-118.00M,-133.00M,-131.00M,-89.00M,11.00M,-42.00M,-9.00M,62.00M,-200.00M,-445.00M,-141.00M,49.83M,22.95M,-40.37M,-290.00M,-206.71M,-172.74M,37.02M,21.76M,-693.20M,-1.777B,-759.60M,-520.21M,-176.84M,-158.18M,-193.15M,-31.33M,-87.45M,-288.41M,-294.00M,-365.61M,-438.93M,-274.28M,-266.48M,-129.48M,-179.40M,-153.00M,-158.36M,-151.94M,-130.47M,-164.81M,-125.80M,-112.94M,-107.91M,-28.52M,-107.08M,-101.82M,-59.54M,-16.81M,-146.05M,-40.23M,-44.09M,-28.28M,-13.31M,-8.446M,-22.80M,,,-33.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
