Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Preferred Stock Dividend,,,,,,,,,,,,,,,,,,,,,,,,,0.00,6.00M,19.00M,19.00M,19.00M,19.00M,19.00M,19.00M,19.00M,19.00M,19.00M,19.00M,19.00M,13.00M,,,2.74M,1.42M,1.42M,1.42M,1.42M,1.42M,1.42M,1.42M,1.42M,1.42M,1.42M,1.42M,1.42M,1.42M,1.42M,1.42M,1.42M,1.42M,1.42M,1.42M,1.42M,1.42M,1.42M,1.42M,1.42M,1.42M,1.42M,1.42M,1.42M,1.406M,3.081M,4.908M,4.908M,4.908M,4.877M,4.908M,4.908M,4.908M,4.908M,5.264M,4.90M,4.90M,3.136M,1.40M,1.40M,0.60M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,-2.96B,-152.00M,-356.00M,-47.00M,-381.00M,81.00M,195.00M,145.00M,456.00M,63.00M,572.00M,213.00M,-182.00M,-607.00M,-244.00M,-372.00M,-4.015B,-4.143B,-860.00M,-4.651B,-7.771B,-1.33B,505.00M,236.00M,174.00M,306.00M,1.035B,717.00M,668.00M,180.00M,356.00M,797.00M,1.189B,1.002B,1.259B,1.134B,689.00M,778.00M,860.00M,705.00M,585.20M,442.02M,444.72M,-1.757B,-2.946B,1.191B,1.445B,1.022B,1.073B,613.35M,633.54M,492.95M,520.84M,647.06M,723.62M,660.92M,788.22M,687.00M,588.03M,560.48M,508.43M,430.48M,383.53M,346.32M,261.61M,276.96M,244.38M,338.93M,180.82M,146.53M,146.31M,80.67M,78.62M,156.83M,205.74M,282.20M,245.24M,206.18M,144.23M,116.30M,97.46M,72.80M,32.77M,-2.20M,-159.19M,3.20M,9.20M,17.40M,45.50M,30.80M,25.70M,52.90M,51.20M,30.10M,24.40M,15.70M,8.50M,7.00M,0.50M,6.00M,12.60M,10.60M,10.20M,9.40M,13.10M,1.10M,11.50M,11.60M,11.20M,8.50M,24.00M,4.00M,14.80M,1.10M,6.60M,12.10M,11.70M,9.50M,7.70M,11.50M,7.10M,5.10M,4.50M,5.40M,2.10M,4.10M,0.40M,1.40M,-81.50M,0.10M,0.70M,-0.20M,-16.70M,1.70M,1.40M,2.80M,-8.20M,4.50M,5.30M,6.30M,5.50M,5.00M,4.90M,5.90M
Normalized Income,-981.70M,-138.86M,-128.24M,-24.37M,-18.92M,178.82M,220.55M,138.43M,450.60M,-36.60M,587.00M,7.80M,-123.20M,-68.20M,-126.56M,-356.46M,-1.729B,-405.70M,-769.40M,-4.487B,-40.75M,-1.329B,563.95M,763.80M,-314.95M,721.38M,881.39M,843.00M,655.30M,184.55M,366.40M,800.90M,1.192B,1.005B,1.263B,1.137B,797.55M,783.20M,864.94M,705.00M,585.20M,442.02M,444.72M,-1.738B,-2.946B,1.207B,1.461B,1.299B,1.078B,644.73M,649.55M,537.64M,539.83M,561.18M,770.48M,656.29M,768.80M,689.53M,614.42M,576.90M,517.97M,437.12M,489.55M,353.19M,289.79M,290.57M,256.92M,318.69M,217.43M,140.32M,146.31M,86.72M,105.75M,147.52M,283.74M,272.98M,219.37M,206.45M,144.23M,115.69M,97.46M,72.80M,32.77M,-2.44M,-159.19M,3.20M,8.24M,16.92M,47.43M,30.56M,24.74M,53.08M,50.90M,29.92M,23.42M,14.90M,13.10M,3.933M,9.98M,4.60M,9.434M,10.14M,8.933M,8.905M,12.78M,-0.28M,11.37M,10.96M,10.87M,8.434M,4.533M,2.298M,12.23M,0.14M,5.579M,10.87M,11.70M,8.945M,7.04M,10.89M,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,-2.218B,823.00M,550.00M,910.00M,388.00M,1.118B,1.213B,1.041B,952.00M,753.00M,683.00M,1.216B,613.00M,-154.00M,492.00M,401.00M,-4.424B,-3.381B,-68.00M,848.00M,-8.447B,2.477B,2.215B,2.664B,1.532B,2.687B,3.051B,2.748B,2.832B,2.936B,2.789B,3.342B,3.152B,3.199B,3.206B,2.911B,2.248B,2.181B,2.18B,1.906B,1.804B,1.558B,1.423B,1.010B,1.245B,2.457B,3.015B,2.344B,2.209B,1.859B,1.793B,1.437B,1.340B,1.515B,1.526B,1.440B,1.613B,1.557B,1.354B,1.283B,1.202B,1.092B,960.02M,867.06M,796.89M,816.74M,789.62M,768.23M,558.24M,479.16M,487.76M,367.91M,382.83M,509.67M,655.58M,663.37M,607.00M,526.17M,400.21M,361.04M,315.18M,265.10M,183.20M,106.40M,110.26M,119.50M,130.90M,148.10M,197.20M,170.50M,152.60M,194.10M,186.80M,146.60M,130.30M,112.10M,110.90M,99.70M,117.40M,84.50M,86.20M,84.70M,78.90M,70.20M,54.50M,70.60M,67.40M,65.40M,72.90M,62.60M,57.20M,48.70M,67.60M,51.50M,36.80M,47.30M,45.10M,44.80M,37.70M,46.70M,-149.20M,60.50M,58.80M,60.40M,-66.10M,28.90M,28.80M,29.80M,-206.40M,25.30M,27.50M,25.00M,-103.70M,44.50M,21.50M,32.60M,-79.30M,28.40M,32.30M,33.70M,-42.90M,26.40M,29.00M,28.20M
Reconciled Depreciation,721.00M,711.00M,602.00M,646.00M,634.00M,610.00M,608.00M,553.00M,573.00M,559.00M,572.00M,576.00M,623.00M,648.00M,669.00M,678.00M,808.00M,872.00M,-6.682B,8.302B,-667.00M,2.735B,1.252B,1.206B,1.209B,1.995B,1.35B,1.312B,1.18B,2.029B,1.932B,1.74B,1.174B,1.065B,1.029B,936.00M,928.00M,787.00M,729.00M,639.00M,614.96M,625.90M,573.36M,3.399B,6.001B,600.89M,627.67M,620.49M,624.98M,600.80M,591.11M,530.91M,514.80M,487.54M,441.44M,372.58M,360.10M,357.16M,359.01M,339.41M,329.14M,313.52M,295.74M,286.23M,295.86M,292.88M,272.36M,214.35M,203.36M,211.00M,203.73M,203.95M,155.06M,217.02M,208.65M,172.53M,158.94M,156.12M,135.06M,133.43M,126.54M,120.26M,106.54M,89.50M,331.98M,95.90M,98.40M,99.70M,102.40M,100.10M,94.80M,90.60M,87.10M,82.60M,77.50M,73.00M,75.50M,75.70M,87.10M,63.90M,63.30M,62.10M,59.00M,52.10M,33.80M,58.40M,44.60M,43.40M,49.40M,43.40M,42.70M,37.90M,42.70M,39.20M,25.90M,28.00M,36.40M,28.30M,24.80M,27.30M,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,-2.939B,112.00M,-52.00M,264.00M,-246.00M,508.00M,605.00M,488.00M,379.00M,194.00M,111.00M,640.00M,-10.00M,-802.00M,-177.00M,-277.00M,-5.232B,-4.253B,-68.00M,-7.454B,-8.447B,-258.00M,963.00M,1.458B,323.00M,692.00M,1.701B,1.436B,1.652B,907.00M,857.00M,1.602B,1.978B,2.134B,2.177B,1.975B,1.32B,1.394B,1.451B,1.267B,1.189B,932.29M,849.94M,-2.389B,-4.756B,1.856B,2.387B,1.724B,1.584B,1.258B,1.202B,906.49M,825.54M,1.027B,1.085B,1.068B,1.253B,1.200B,995.32M,943.33M,873.25M,778.48M,663.68M,580.27M,501.03M,523.30M,516.73M,553.35M,344.45M,268.16M,276.50M,156.54M,159.87M,291.56M,446.40M,490.34M,448.07M,370.05M,263.42M,227.61M,188.64M,144.80M,76.66M,16.90M,-221.73M,23.60M,32.50M,48.40M,94.80M,70.40M,57.80M,103.50M,99.70M,64.00M,52.80M,39.10M,35.40M,24.00M,30.30M,20.60M,22.90M,22.60M,19.80M,18.10M,20.70M,12.20M,22.80M,22.00M,23.50M,19.20M,14.50M,10.80M,24.90M,11.90M,10.90M,19.30M,8.70M,16.50M,12.90M,19.40M,-149.20M,60.50M,58.80M,60.40M,-66.10M,28.90M,28.80M,29.80M,-206.40M,25.30M,27.50M,25.00M,-103.70M,44.50M,21.50M,32.60M,-79.30M,28.40M,32.30M,33.70M,-42.90M,26.40M,29.00M,28.20M
EPS Basic from Continuing Operations,-7.89,-0.45,-0.96,-0.12,-1.00,0.21,0.51,0.38,1.20,0.16,1.50,0.56,-0.48,-1.51,-0.65,-0.98,-19.57,-10.91,-2.60,-11.99,-12.78,-3.08,1.17,1.92,0.44,1.08,2.60,1.94,1.66,0.41,0.87,2.02,3.05,2.56,3.23,2.91,1.75,2.14,2.55,2.09,1.74,1.31,1.32,-5.25,-8.82,3.55,4.32,3.06,3.22,1.84,1.91,1.48,1.58,1.96,2.19,2.00,2.39,2.08,1.79,1.70,1.55,1.31,1.17,1.06,0.805,0.85,0.75,0.975,0.5967,0.4810,0.4617,0.2523,0.1437,0.5284,0.6926,0.9697,0.8517,0.7229,0.5322,0.4242,0.3989,0.2321,0.1212,-0.0173,-0.7096,0.0130,0.0354,0.0779,0.2604,0.1337,0.1141,0.2321,0.2880,0.1337,0.1141,0.0787,0.0543,0.0393,0.0039,0.0393,0.1103,0.0669,0.0669,0.0590,0.0787,0.0079,0.0865,0.0944,0.0944,0.0708,0.2006,0.0354,0.1259,0.0079,0.0590,0.1062,0.1023,0.0826,0.0669,0.1023,,0.0590,0.0551,0.0629,,0.0236,0.0118,0.0275,,-0.0118,0.0118,-0.0197,,0.0354,0.0275,0.0511,,0.0905,0.1023,0.1180,,0.0944,0.0905,0.1062
EPS Basic from Discontinued Operations,,,,,,,,,0.00,,,,0.00,-0.09,,,0.50,-0.04,0.32,-0.35,0.00,-0.42,0.14,-1.32,1.26,-0.33,-0.01,-0.16,,,,,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.005,0.00,0.00,0.085,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.0551,-0.0039,0.00,-0.0196,0.0118,0.0039,0.0157,-0.0136,-0.0039,0.00,0.00,-0.0230,-0.0039,0.00,0.00,-0.0038,0.00,0.00,0.00
EPS Basic from Extraordinaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalized Basic EPS,-2.643,-0.4151,-0.3559,-0.0598,-0.0446,0.4654,0.5769,0.3628,1.186,-0.1014,1.539,0.02,-0.3249,-0.1789,-0.3401,-0.9389,-11.86,-1.068,-2.043,-11.90,4.658,-3.488,1.469,1.947,0.4678,1.798,2.203,2.106,1.663,0.4216,0.8967,2.030,3.058,2.567,3.240,2.918,2.039,2.155,2.565,2.09,1.74,1.31,1.32,-5.193,-8.82,3.599,4.367,3.893,3.237,1.934,1.958,1.615,1.638,1.699,2.332,1.986,2.331,2.088,1.871,1.750,1.575,1.330,1.495,1.081,0.8917,0.8920,0.7887,0.9951,0.7178,0.4604,0.4617,0.2732,0.2225,0.4961,0.9616,0.9374,0.7615,0.7239,0.5322,0.4219,0.3989,0.2321,0.1212,-0.0182,-0.7096,0.0130,0.0317,0.0757,0.2730,0.1327,0.1098,0.2328,0.2859,0.1329,0.1095,0.0747,0.0876,0.0221,0.0785,0.0302,0.0775,0.0640,0.0586,0.0559,0.0768,-0.0020,0.0856,0.0892,0.0916,0.0702,0.0379,0.0203,0.1044,0.0010,0.0499,0.0954,0.1023,0.0778,0.0611,0.0968,,0.0590,0.0551,0.0629,,0.0236,0.0118,0.0275,,-0.0118,0.0118,-0.0197,,0.0354,0.0275,0.0511,,0.0905,0.1023,0.1180,,0.0944,0.0905,0.1062
EPS Basic,-7.89,-0.45,-0.96,-0.12,-1.00,0.21,0.51,0.38,1.20,0.16,1.50,0.56,-0.48,-1.60,-0.65,-0.98,-19.07,-10.95,-2.28,-12.34,-12.78,-3.50,1.31,0.60,0.44,0.75,2.59,1.78,1.66,0.41,0.87,2.02,3.05,2.56,3.23,2.91,1.75,2.14,2.55,2.09,1.74,1.31,1.32,-5.25,-8.82,3.55,4.32,3.06,3.22,1.84,1.91,1.48,1.58,1.96,2.19,2.00,2.39,2.08,1.79,1.70,1.55,1.31,1.17,1.06,0.80,0.85,0.75,1.06,0.5967,0.4810,0.4617,0.2523,0.1437,0.5284,0.6926,0.9697,0.8517,0.7229,0.5322,0.4242,0.3989,0.2321,0.1212,-0.0173,-0.7096,0.0130,0.0354,0.0779,0.2604,0.1337,0.1141,0.2321,0.2880,0.1337,0.1141,0.0787,0.0543,0.0393,0.0039,0.0393,0.1103,0.0669,0.0669,0.0590,0.0787,0.0079,0.0865,0.0944,0.0944,0.0708,0.2006,0.0354,0.1259,0.0079,0.0590,0.1062,0.1023,0.0826,0.0669,0.1023,,0.0590,0.0551,0.0629,0.00,0.0787,0.0079,0.0275,-0.0196,0.00,0.0157,-0.0039,-0.0136,0.0315,0.0275,0.0511,-0.0230,0.0865,0.1023,0.1180,-0.0038,0.0944,0.0905,0.1062
EPS Diluted from Continuing Operations,-7.89,-0.45,-0.96,-0.12,-1.00,0.21,0.51,0.38,1.19,0.16,1.50,0.56,-0.48,-1.51,-0.65,-0.98,-19.57,-10.91,-2.60,-11.99,-12.78,-3.08,1.17,1.90,0.43,1.07,2.54,1.91,1.64,0.41,0.86,2.00,2.98,2.50,3.17,2.86,1.74,2.12,2.53,2.08,1.74,1.30,1.31,-5.25,-8.82,3.52,4.28,3.03,3.20,1.83,1.89,1.47,1.56,1.94,2.17,1.97,2.35,2.05,1.76,1.67,1.53,1.30,1.16,1.05,0.795,0.845,0.745,0.97,0.5857,0.4762,0.4522,0.2475,0.1437,0.5141,0.6710,0.9307,0.8236,0.6970,0.5149,0.4156,0.3985,0.2321,0.1212,-0.0173,-0.7096,0.0130,0.0354,0.0779,0.2541,0.1298,0.1101,0.2203,0.2785,0.1298,0.1101,0.0787,0.0543,0.0393,0.0039,0.0393,0.1103,0.0669,0.0669,0.0590,0.0787,0.0079,0.0865,0.0944,0.0944,0.0708,0.2006,0.0354,0.1259,0.0079,0.0590,0.1062,0.1023,0.0826,0.0669,0.1023,,0.0590,0.0551,0.0629,,0.0236,0.0118,0.0275,,-0.0118,0.0118,-0.0197,,0.0354,0.0275,0.0511,,0.0905,0.1023,0.1180,,0.0944,0.0905,0.1062
EPS Diluted from Discontinued Operations,,,,,,,,,0.00,,,,0.00,-0.09,,,0.50,-0.04,0.32,-0.35,0.00,-0.42,0.14,-1.32,1.24,-0.33,-0.01,-0.16,,,,,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,-0.005,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.0551,-0.0039,0.00,-0.0196,0.0118,0.0039,0.0157,-0.0136,-0.0039,0.00,0.00,-0.0230,-0.0039,0.00,0.00,-0.0038,0.00,0.00,0.00
EPS Diluted from Extraordinaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0002,,,0.0829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalized Diluted EPS,-2.643,-0.4151,-0.3559,-0.0598,-0.0497,0.4641,0.5764,0.3629,1.176,-0.1001,1.539,0.0242,-0.3249,-0.1789,-0.3401,-0.9389,-11.86,-1.068,-2.043,-11.90,4.658,-3.488,1.467,1.927,0.4574,1.784,2.159,2.069,1.643,0.4216,0.8867,2.010,2.988,2.506,3.180,2.868,2.019,2.134,2.545,2.08,1.74,1.30,1.31,-5.193,-8.82,3.569,4.327,3.855,3.217,1.924,1.938,1.604,1.617,1.682,2.311,1.956,2.292,2.058,1.839,1.719,1.555,1.320,1.482,1.071,0.8811,0.8867,0.7834,0.9899,0.7045,0.4558,0.4522,0.2683,0.2224,0.4833,0.9316,0.8998,0.7365,0.6979,0.5149,0.4133,0.3985,0.2321,0.1212,-0.0182,-0.7096,0.0130,0.0317,0.0757,0.2666,0.1288,0.1060,0.2210,0.2765,0.1290,0.1057,0.0747,0.0806,0.0221,0.0785,0.0302,0.0901,0.0640,0.0586,0.0559,0.0768,-0.0020,0.0856,0.0892,0.0916,0.0702,0.0379,0.0203,0.1044,0.0010,0.0499,0.0954,0.1023,0.0778,0.0611,0.0968,,0.0590,0.0551,0.0629,,0.0236,0.0118,0.0275,,-0.0118,0.0118,-0.0197,,0.0354,0.0275,0.0511,,0.0905,0.1023,0.1180,,0.0944,0.0905,0.1062
EPS Diluted,-7.89,-0.45,-0.96,-0.12,-1.00,0.21,0.51,0.38,1.19,0.16,1.50,0.56,-0.48,-1.60,-0.65,-0.98,-19.07,-10.95,-2.28,-12.34,-12.78,-3.50,1.31,0.60,0.43,0.75,2.54,1.76,1.64,0.41,0.86,2.00,2.98,2.50,3.17,2.86,1.74,2.12,2.53,2.08,1.74,1.30,1.31,-5.25,-8.82,3.52,4.28,3.03,3.20,1.83,1.89,1.47,1.56,1.94,2.17,1.97,2.35,2.05,1.76,1.67,1.52,1.30,1.16,1.05,0.795,0.845,0.745,1.05,0.5857,0.4762,0.4522,0.2475,0.1437,0.5141,0.6710,0.9307,0.8236,0.6970,0.5149,0.4156,0.3985,0.2321,0.1212,-0.0173,-0.7096,0.0130,0.0354,0.0779,0.2541,0.1298,0.1101,0.2203,0.2785,0.1298,0.1101,0.0787,0.0543,0.0393,0.0039,0.0393,0.1103,0.0669,0.0669,0.0590,0.0787,0.0079,0.0865,0.0944,0.0944,0.0708,0.2006,0.0354,0.1259,0.0079,0.0590,0.1062,0.1023,0.0826,0.0669,0.1023,,0.0590,0.0551,0.0629,0.00,0.0787,0.0079,0.0275,-0.0196,0.00,0.0157,-0.0039,-0.0136,0.0315,0.0275,0.0511,-0.0230,0.0865,0.1023,0.1180,-0.0038,0.0944,0.0905,0.1062
Average Basic Shares Outstanding,377.00M,377.00M,377.00M,376.00M,379.00M,383.00M,382.00M,382.00M,381.00M,381.00M,381.00M,380.00M,379.00M,380.00M,379.00M,378.00M,378.00M,378.00M,378.00M,377.00M,375.00M,381.00M,385.00M,394.00M,398.00M,399.00M,392.00M,392.00M,392.00M,391.00M,389.00M,385.00M,384.00M,384.00M,384.00M,383.00M,376.00M,357.00M,338.00M,337.00M,337.09M,336.16M,336.00M,335.10M,334.97M,334.82M,334.21M,333.39M,333.06M,332.57M,330.95M,332.11M,329.01M,329.41M,329.77M,329.75M,329.29M,329.60M,327.72M,328.86M,327.41M,327.52M,326.59M,325.38M,324.98M,324.17M,323.95M,318.40M,302.32M,301.74M,310.53M,288.43M,344.57M,288.21M,290.00M,285.96M,286.96M,278.40M,263.35M,261.74M,191.11M,292.61M,243.98M,263.46M,231.58M,200.29M,259.90M,223.41M,153.02M,230.32M,225.32M,227.97M,145.22M,225.09M,213.92M,199.59M,138.40M,177.98M,127.13M,152.55M,96.46M,158.53M,152.55M,159.33M,173.45M,139.84M,132.90M,122.89M,118.69M,120.06M,119.65M,113.00M,119.76M,139.84M,111.87M,113.94M,114.54M,115.02M,115.16M,112.46M,111.74M,99.63M,83.84M,83.84M,83.80M,53.40M,53.50M,53.27M,51.01M,51.73M,51.69M,51.69M,51.66M,51.96M,51.96M,52.58M,52.15M,52.58M,52.81M,53.40M,53.01M,53.40M,53.40M,53.40M
Average Diluted Shares Outstanding,377.00M,377.00M,377.00M,376.00M,381.00M,385.00M,385.00M,384.00M,383.00M,383.00M,383.00M,383.00M,379.00M,380.00M,379.00M,378.00M,378.00M,378.00M,378.00M,377.00M,375.00M,381.00M,387.00M,396.00M,403.00M,401.00M,408.00M,408.00M,394.00M,393.00M,390.00M,399.00M,400.00M,400.00M,397.00M,397.00M,389.00M,367.00M,339.00M,339.00M,337.09M,337.87M,337.00M,335.10M,337.31M,337.89M,337.68M,336.55M,334.88M,334.39M,334.45M,334.37M,333.05M,332.81M,332.81M,334.77M,335.06M,334.43M,333.30M,334.77M,334.43M,330.04M,329.40M,328.48M,327.11M,326.08M,326.12M,321.44M,308.23M,304.76M,319.46M,291.65M,344.57M,303.00M,299.36M,297.93M,296.92M,288.78M,278.94M,267.19M,191.11M,292.61M,244.71M,263.46M,231.58M,200.29M,259.90M,223.41M,154.23M,237.30M,233.37M,240.18M,152.20M,231.91M,221.56M,199.59M,174.98M,177.98M,127.13M,152.55M,156.70M,158.53M,152.55M,159.33M,173.45M,139.84M,132.90M,122.89M,118.69M,120.06M,119.65M,113.00M,119.76M,139.84M,111.87M,113.94M,114.54M,115.02M,115.16M,112.46M,111.74M,99.63M,83.84M,83.84M,83.80M,53.40M,53.50M,53.27M,51.01M,51.73M,51.69M,51.69M,51.66M,51.96M,51.96M,52.58M,52.15M,52.58M,52.81M,53.40M,53.01M,53.40M,53.40M,53.40M
Dividend Per Share,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.20,0.20,0.20,0.20,0.17,0.17,0.17,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.10,0.10,0.10,0.10,0.08,0.08,0.08,0.08,0.06,0.06,0.06,0.06,0.05,0.05,0.0476,0.0476,0.0476,0.0476,0.0476,0.0433,0.00,0.00,0.00,0.0606,0.00,0.00,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,,,
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
