Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03
Current Deferred Liabilities,3.267B,2.977B,2.944B,2.93B,3.309B,2.931B,2.886B,2.949B,2.927B,2.519B,2.704B,2.605B,2.646B,2.063B,2.136B,2.136B,2.193B,2.215B,1.975B,1.944B,2.284B,2.382B,2.558B,2.612B,2.35B,2.232B,2.14B,2.187B,2.398B,2.169B,2.274B,2.36B,2.542B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Liability,1.416B,1.423B,1.398B,1.594B,1.381B,1.281B,1.206B,1.354B,1.26B,1.161B,1.126B,1.298B,1.139B,1.392B,1.36B,1.506B,1.377B,1.589B,1.428B,,1.159B,,,,,,,,,,,,,2.044B,1.978B,2.104B,2.201B,2.07B,2.159B,2.173B,2.224B,2.002B,1.968B,1.794B,1.97B,1.85B,,,1.845B,,,1.018B,3.138B,2.015B,2.031B,1.997B,2.706B,2.085B,1.95B,2.027B,1.924B,1.18B,1.428B,1.256B,1.621B,1.083B,988.00M,928.00M,1.152B,1.164B,1.454B,1.29B,1.433B,1.273B,3.237B,2.796B,1.135B,2.978B,3.173B,3.15B,3.458B,2.361B,2.503B,2.566B,2.883B,4.529B,4.264B,4.04B
Total Current Liabilities,9.791B,7.815B,7.871B,7.68B,8.463B,7.156B,7.017B,6.779B,7.348B,6.492B,6.587B,6.307B,6.539B,6.001B,6.014B,5.749B,6.126B,6.328B,5.641B,5.635B,5.752B,5.955B,5.896B,5.979B,5.81B,5.839B,5.454B,5.689B,5.902B,5.668B,5.433B,5.731B,6.13B,5.746B,5.341B,5.76B,5.96B,5.314B,5.675B,5.359B,5.523B,5.17B,5.085B,4.668B,5.149B,5.059B,4.81B,4.474B,4.788B,4.975B,5.607B,6.437B,6.715B,5.937B,5.075B,5.731B,6.188B,6.214B,5.903B,5.886B,5.644B,4.956B,4.683B,3.835B,4.322B,4.336B,4.69B,4.913B,5.107B,4.668B,6.032B,5.791B,5.815B,6.023B,4.552B,4.95B,4.865B,4.938B,5.605B,5.373B,7.133B,7.89B,7.44B,6.864B,7.032B,10.24B,10.52B,10.81B
Non-Current Portion of Long Term Debt,3.261B,4.258B,4.257B,4.256B,4.755B,4.753B,4.752B,4.751B,4.75B,4.749B,4.747B,5.086B,5.335B,5.334B,5.333B,5.332B,5.33B,5.334B,5.333B,5.331B,5.325B,4.737B,4.736B,4.735B,4.734B,4.733B,4.732B,4.731B,4.731B,4.609B,4.607B,4.606B,4.605B,3.612B,3.612B,3.611B,3.61B,2.326B,2.327B,2.328B,2.329B,2.293B,2.295B,2.297B,2.309B,2.273B,2.269B,2.288B,2.268B,2.249B,2.233B,3.283B,3.278B,3.401B,3.945B,3.962B,3.969B,4.17B,4.219B,4.614B,4.637B,5.593B,6.374B,7.397B,7.376B,6.702B,6.746B,6.695B,6.28B,6.088B,6.038B,5.995B,6.874B,7.623B,8.565B,8.858B,9.054B,9.049B,9.045B,9.042B,7.298B,7.296B,7.79B,8.161B,8.163B,5.98B,5.994B,5.99B
Long Term Cap Lease Obligation,706.00M,692.00M,720.00M,652.00M,647.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of LTD and Capital Lease Obligation,3.967B,4.95B,4.977B,4.908B,5.402B,4.753B,4.752B,4.751B,4.75B,4.749B,4.747B,5.086B,5.335B,5.334B,5.333B,5.332B,5.33B,5.334B,5.333B,5.331B,5.325B,4.737B,4.736B,4.735B,4.734B,4.733B,4.732B,4.731B,4.731B,4.609B,4.607B,4.606B,4.605B,3.612B,3.612B,3.611B,3.61B,2.326B,2.327B,2.328B,2.329B,2.293B,2.295B,2.297B,2.309B,2.273B,2.269B,2.288B,2.268B,2.249B,2.233B,3.283B,3.278B,3.401B,3.945B,3.962B,3.969B,4.17B,4.219B,4.614B,4.637B,5.593B,6.374B,7.397B,7.376B,6.702B,6.746B,6.695B,6.28B,6.088B,6.038B,5.995B,6.874B,7.623B,8.565B,8.858B,9.054B,9.049B,9.045B,9.042B,7.298B,7.296B,7.79B,8.161B,8.163B,5.98B,5.994B,5.99B
Long Term Deferred Tax Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,1.00M,10.00M,10.00M,9.00M,3.00M,6.00M,4.00M,5.00M,363.00M,350.00M,258.00M,147.00M,310.00M,23.00M,23.00M,23.00M,,,,0.00,515.00M,543.00M,483.00M,451.00M,,,,0.00,209.00M,209.00M,206.00M,59.00M,150.00M,65.00M,,0.00,,,,,,,,,837.00M,835.00M,908.00M,563.00M,607.00M,770.00M,748.00M,773.00M,591.00M,509.00M,507.00M,488.00M,624.00M,600.00M,587.00M,561.00M,869.00M,844.00M,786.00M
Non-Current Deferred Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,1.00M,10.00M,10.00M,9.00M,3.00M,6.00M,4.00M,5.00M,363.00M,350.00M,258.00M,147.00M,310.00M,23.00M,23.00M,23.00M,,,,0.00,515.00M,543.00M,483.00M,451.00M,,,,0.00,209.00M,209.00M,206.00M,59.00M,150.00M,65.00M,,0.00,,,,,,,,,837.00M,835.00M,908.00M,563.00M,607.00M,770.00M,748.00M,773.00M,591.00M,509.00M,507.00M,488.00M,624.00M,600.00M,587.00M,561.00M,869.00M,844.00M,786.00M
Non-Current Accrued Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.233B,6.787B,,,4.413B,4.892B,4.815B,4.675B,5.261B,5.854B,5.793B,5.778B,6.131B,6.614B,6.488B,2.959B,,,3.016B,,,,4.053B,,,,3.337B,,,,3.224B,,,,3.281B,,,,2.831B,,,,1.283B,,,,753.00M,,,,,,,,,,,
Pension Liability,8.553B,6.642B,6.699B,6.848B,6.922B,6.355B,7.85B,8.238B,8.287B,7.791B,7.731B,7.743B,7.758B,7.284B,7.092B,7.108B,7.14B,6.895B,6.865B,6.926B,6.918B,3.661B,3.854B,4.244B,4.226B,7.194B,7.443B,7.797B,7.854B,6.192B,,,6.774B,3.992B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minority Interest Ownership,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,,0.00,186.00M,202.00M,201.00M,199.00M,199.00M,196.00M,170.00M,166.00M,165.00M,162.00M,170.00M,169.00M,170.00M,164.00M,163.00M,158.00M,163.00M,159.00M,152.00M,144.00M,141.00M,136.00M,127.00M,120.00M,120.00M,112.00M,104.00M,98.00M,109.00M,101.00M,253.00M,233.00M,219.00M,216.00M,211.00M,195.00M,179.00M,165.00M,165.00M,147.00M,132.00M,119.00M,140.00M,126.00M,106.00M,97.00M,92.00M,,,67.00M,,,,,,,,,,,,,,,,,,,,,,,
Preferred Securities out of Shareholders Equity,32.00M,428.00M,435.00M,432.00M,411.00M,560.00M,512.00M,492.00M,512.00M,389.00M,349.00M,349.00M,449.00M,366.00M,343.00M,330.00M,355.00M,343.00M,343.00M,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858.00M,858.00M,,,,857.00M,856.00M,856.00M,,0.00,,,,,,,,,,,
Other Long Term Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.006B,3.038B,,4.083B,4.075B,3.973B,179.00M,3.695B,3.658B,3.648B,,3.145B,3.13B,3.179B,,3.256B,3.251B,3.237B,,3.712B,3.741B,2.887B,,2.079B,2.126B,2.109B,,1.082B,1.182B,1.271B,509.00M,1.316B,1.318B,1.348B,1.411B,1.724B,1.697B,1.702B,1.679B,1.045B,1.064B,1.069B
Total Long Term Liabilities,12.55B,12.02B,12.11B,12.19B,12.74B,11.67B,13.11B,13.48B,13.55B,12.93B,12.83B,13.18B,13.54B,12.98B,12.77B,12.77B,12.82B,12.57B,12.54B,12.26B,12.24B,8.398B,8.59B,8.979B,8.96B,11.93B,12.18B,12.54B,12.59B,10.80B,10.85B,11.40B,11.38B,7.967B,8.375B,8.761B,8.572B,7.311B,7.611B,8.205B,8.145B,8.071B,8.426B,8.911B,8.797B,5.747B,5.818B,5.809B,5.735B,6.332B,6.308B,7.256B,7.51B,7.305B,7.812B,7.816B,7.365B,7.465B,7.414B,7.793B,7.861B,8.849B,9.625B,10.63B,10.66B,10.41B,10.49B,10.44B,9.969B,9.004B,8.999B,9.012B,9.577B,10.17B,11.37B,10.88B,11.09B,10.96B,10.87B,10.90B,9.197B,9.644B,10.09B,10.45B,10.40B,7.894B,7.902B,7.845B
Total Liabilities,22.34B,19.84B,19.98B,19.87B,21.20B,18.82B,20.13B,20.26B,20.90B,19.42B,19.41B,19.48B,20.08B,18.98B,18.78B,18.52B,18.95B,18.90B,18.18B,17.89B,18.00B,14.35B,14.49B,14.96B,14.77B,17.77B,17.64B,18.23B,18.50B,16.47B,16.28B,17.13B,17.51B,13.71B,13.72B,14.52B,14.53B,12.62B,13.29B,13.56B,13.67B,13.24B,13.51B,13.58B,13.95B,10.81B,10.63B,10.28B,10.52B,11.31B,11.92B,13.69B,14.22B,13.24B,12.89B,13.55B,13.55B,13.68B,13.32B,13.68B,13.50B,13.80B,14.31B,14.47B,14.98B,14.75B,15.18B,15.35B,15.08B,13.67B,15.03B,14.80B,15.39B,16.19B,15.92B,15.83B,15.95B,15.89B,16.48B,16.27B,16.33B,17.53B,17.53B,17.31B,17.44B,18.13B,18.42B,18.66B
Total Capital Stock,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,5.00M,5.00M,5.00M,4.00M,5.00M,4.00M,5.00M,4.00M,5.00M,5.00M,5.00M,5.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,,,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,,,,3.00M,,,
Retained Earnings,21.48B,20.99B,20.38B,20.10B,20.09B,19.72B,19.47B,19.33B,17.90B,17.93B,17.81B,17.60B,17.56B,17.32B,17.21B,17.14B,16.90B,16.55B,16.31B,16.02B,15.67B,15.27B,14.94B,14.58B,14.17B,13.82B,13.50B,13.19B,12.88B,12.58B,12.24B,11.94B,11.66B,11.26B,10.91B,10.62B,10.39B,10.06B,9.473B,9.406B,9.102B,8.714B,8.344B,7.976B,7.646B,7.336B,7.025B,6.716B,6.452B,5.963B,5.773B,4.549B,4.329B,4.072B,3.965B,3.655B,3.475B,3.297B,3.166B,3.065B,2.998B,2.844B,2.783B,2.982B,2.937B,2.816B,2.935B,2.917B,2.904B,2.963B,2.898B,3.263B,3.867B,,,4.639B,4.831B,4.732B,4.694B,4.714B,4.963B,5.00B,5.37B,5.009B,4.829B,1.081B,789.00M,4.441B
Additional Paid In Capital,0.00,34.00M,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00M,398.00M,617.00M,834.00M,1.04B,1.309B,1.403B,1.566B,1.795B,1.972B,2.335B,2.526B,2.74B,2.928B,11.90B,11.86B,11.77B,3.523B,11.64B,11.62B,11.45B,11.41B,11.36B,11.33B,11.19B,10.99B,10.93B,10.90B,10.87B,10.87B,10.84B,10.79B,10.67B,10.54B,10.46B,10.34B,10.22B,10.10B,10.01B,9.927B,9.722B,9.722B,9.694B,9.658B,9.555B,9.54B,9.442B,9.406B,8.489B,8.434B,8.369B,8.302B,8.21B,8.146B,8.06B,7.96B,7.805B,7.723B,,,6.422B,6.477B,6.486B,6.483B,6.483B,6.475B,,,,6.272B,,,
Treasury Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.913B,8.779B,8.562B,,7.838B,7.531B,7.195B,6.90B,6.648B,6.222B,5.712B,5.446B,5.145B,4.844B,4.523B,4.254B,3.571B,3.225B,2.854B,2.502B,2.16B,1.658B,1.113B,816.00M,815.00M,565.00M,556.00M,454.00M,405.00M,206.00M,66.00M,13.00M,13.00M,12.00M,6.00M,6.00M,5.00M,5.00M,5.00M,4.00M,3.00M,3.00M,2.00M,1.00M,,,250.00M,382.00M,413.00M,413.00M,413.00M,413.00M,,,,257.00M,,,
Accrued Comprehensive Inc,-9.26B,-8.042B,-8.182B,-8.399B,-8.618B,-8.413B,-8.863B,-9.095B,-7.935B,-7.075B,-6.994B,-7.218B,-7.411B,-6.856B,-6.899B,-7.05B,-7.176B,-7.024B,-7.095B,-7.353B,-7.458B,-4.895B,-4.786B,-4.962B,-5.113B,-7.314B,-7.464B,-7.646B,-7.788B,-6.506B,-6.688B,-6.817B,-7.001B,-4.808B,-4.803B,-4.965B,-5.146B,-4.68B,-4.712B,-4.768B,-4.824B,-4.967B,-4.962B,-5.132B,-5.182B,-1.90B,-1.856B,-1.903B,-1.956B,-2.292B,-2.277B,-2.45B,-2.514B,-1.89B,-1.913B,-1.947B,-1.95B,-2.085B,-2.088B,-2.003B,-1.919B,-2.177B,-2.186B,-2.176B,-2.194B,-2.138B,-2.12B,-2.167B,-2.18B,-182.00M,-193.00M,-218.00M,-212.00M,10.57B,10.84B,-114.00M,-106.00M,-92.00M,-80.00M,-55.00M,-69.00M,6.01B,,,-50.00M,,,
Shareholders Equity,12.22B,12.98B,12.20B,11.71B,11.47B,11.31B,10.61B,10.24B,9.963B,10.86B,10.82B,10.38B,10.16B,10.47B,10.32B,10.12B,10.13B,10.15B,10.06B,9.707B,9.525B,11.78B,11.73B,11.42B,11.04B,8.841B,8.568B,8.29B,8.026B,9.062B,8.641B,8.336B,8.181B,10.26B,10.20B,9.912B,9.754B,10.10B,9.875B,10.12B,9.827B,9.535B,9.441B,9.191B,9.087B,12.71B,12.74B,12.63B,12.54B,11.97B,12.18B,11.21B,11.10B,11.38B,11.42B,10.88B,10.71B,10.50B,10.54B,10.56B,10.55B,10.10B,9.995B,9.293B,9.162B,9.046B,9.116B,8.959B,8.87B,10.84B,10.67B,10.85B,11.38B,10.57B,10.84B,10.70B,10.82B,10.72B,10.69B,10.73B,10.96B,11.01B,11.20B,10.94B,10.80B,10.58B,10.71B,10.54B
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,Restated,,,,Restated,,,,Restated,,,,Restated,,,,Restated,,,,Restated,,,,Restated,,,,,,,,,,,
