Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03
Accrued Expenses,194.13M,190.88M,193.05M,172.64M,193.19M,178.57M,185.92M,177.96M,187.97M,181.12M,183.28M,173.31M,187.23M,181.08M,185.02M,167.03M,194.56M,171.64M,187.03M,163.46M,206.01M,177.07M,182.50M,156.20M,181.00M,159.08M,181.49M,154.10M,184.66M,158.76M,176.53M,151.32M,183.51M,164.38M,178.28M,149.71M,217.68M,189.05M,171.22M,161.34M,192.28M,175.13M,150.27M,149.90M,187.31M,1.006B,1.491B,1.229B,1.051B,881.36M,1.043B,826.27M,982.67M,1.023B,1.003B,1.055B,1.182B,1.128B,864.55M,927.08M,809.25M,1.072B,1.058B,937.06M,960.93M,1.054B,885.53M,980.57M,971.25M,1.387B,1.385B,1.385B,1.329B,1.703B,1.444B,1.267B,1.225B,1.483B,1.381B,992.85M,946.22M,1.174B,1.001B,686.70M,731.50M,1.102B,971.70M,1.016B,890.70M,1.238B,921.50M,1.075B,801.40M,985.20M,898.20M,1.004B,872.10M,1.362B,884.00M,888.10M,874.40M,859.40M,701.90M,762.60M,783.10M,753.50M,761.00M,761.00M
Payables and Accrued Expenses,1.927B,1.771B,1.822B,1.789B,1.943B,1.829B,1.852B,1.597B,1.855B,1.534B,1.528B,1.445B,1.654B,1.484B,1.369B,1.249B,1.476B,1.450B,1.309B,1.165B,1.501B,1.492B,1.494B,1.413B,1.545B,1.387B,1.627B,1.488B,1.736B,1.844B,1.478B,1.256B,1.531B,1.047B,1.222B,1.136B,1.399B,1.198B,1.148B,1.038B,1.191B,1.116B,1.180B,1.086B,1.738B,2.925B,2.880B,2.270B,2.082B,1.860B,2.040B,1.638B,2.105B,1.892B,1.988B,2.020B,2.838B,2.940B,1.736B,1.645B,1.706B,1.859B,1.892B,1.564B,1.758B,1.627B,1.587B,1.589B,1.827B,2.049B,1.970B,1.908B,1.922B,2.298B,2.085B,1.980B,2.429B,2.350B,2.178B,1.584B,1.654B,1.932B,1.869B,1.190B,1.254B,2.308B,1.873B,1.737B,1.815B,2.150B,1.676B,1.592B,1.365B,1.425B,1.420B,1.436B,1.345B,1.376B,1.293B,1.404B,1.368B,1.246B,1.079B,1.191B,1.210B,1.181B,1.188B,1.188B
Notes Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.17M,103.72M,141.11M,,144.87M,130.80M,183.08M,154.14M,167.92M,203.97M,175.50M,30.03M,55.03M,55.03M,80.03M,55.03M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Borrowings,,,,,,2.682B,3.001B,2.065B,2.338B,2.222B,1.952B,1.657B,779.91M,1.184B,1.697B,1.563B,708.72M,1.061B,1.735B,1.705B,1.498B,2.005B,1.722B,1.628B,1.504B,1.312B,1.616B,1.705B,1.515B,787.71M,420.39M,315.28M,2.301B,2.022B,128.06M,208.66M,299.55M,588.78M,590.45M,800.41M,711.96M,957.82M,805.68M,575.65M,544.46M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,2.742B,2.438B,1.785B,2.092B,2.592B,2.682B,3.001B,2.065B,2.338B,2.222B,1.952B,1.657B,779.91M,1.184B,1.697B,1.563B,708.72M,1.061B,1.735B,1.705B,1.498B,2.005B,1.722B,1.628B,1.504B,1.312B,1.616B,1.705B,1.515B,1.144B,524.10M,456.39M,2.301B,2.167B,258.86M,391.73M,453.68M,756.70M,794.43M,975.91M,741.99M,1.013B,860.72M,655.68M,599.49M,394.32M,572.56M,936.53M,1.174B,863.54M,449.66M,450.17M,359.86M,245.18M,245.18M,242.39M,274.44M,275.32M,510.59M,624.30M,626.60M,539.75M,271.83M,532.93M,524.72M,725.64M,930.35M,774.30M,1.345B,1.133B,1.928B,1.127B,1.183B,1.808B,1.470B,1.608B,1.009B,584.12M,629.82M,702.65M,493.52M,493.40M,648.10M,824.40M,728.30M,876.60M,1.091B,1.283B,987.40M,830.50M,940.30M,1.132B,517.60M,627.20M,678.10M,1.189B,755.40M,821.00M,624.10M,649.60M,672.80M,651.10M,629.50M,600.50M,559.70M,559.70M,559.70M,559.70M
Current Capital Lease Obligation,,,,,,1.466M,1.442M,1.419M,1.502M,2.043M,2.387M,2.721M,2.423M,2.743M,2.815M,2.762M,2.709M,2.657M,2.606M,2.557M,2.508M,2.46M,2.413M,2.368M,2.323M,2.717M,3.111M,3.495M,3.88M,3.816M,3.753M,3.692M,3.631M,3.578M,3.599M,3.461M,3.388M,3.352M,2.432M,2.395M,212.50M,162.89M,164.70M,162.42M,162.39M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Debt & Capital Lease Obligation,2.742B,2.438B,1.785B,2.092B,2.592B,2.683B,3.002B,2.067B,2.340B,2.224B,1.954B,1.660B,782.33M,1.186B,1.699B,1.566B,711.43M,1.063B,1.737B,1.708B,1.500B,2.008B,1.724B,1.630B,1.506B,1.315B,1.619B,1.708B,1.518B,1.148B,527.86M,460.08M,2.305B,2.171B,262.46M,395.20M,457.07M,760.05M,796.86M,978.31M,954.48M,1.176B,1.025B,818.10M,761.89M,394.32M,572.56M,936.53M,1.174B,863.54M,449.66M,450.17M,359.86M,245.18M,245.18M,242.39M,274.44M,275.32M,510.59M,624.30M,626.60M,539.75M,271.83M,532.93M,524.72M,725.64M,930.35M,774.30M,1.345B,1.133B,1.928B,1.127B,1.183B,1.808B,1.470B,1.608B,1.009B,584.12M,629.82M,702.65M,493.52M,493.40M,648.10M,824.40M,728.30M,876.60M,1.091B,1.283B,987.40M,830.50M,940.30M,1.132B,517.60M,627.20M,678.10M,1.189B,755.40M,821.00M,624.10M,649.60M,672.80M,651.10M,629.50M,600.50M,559.70M,559.70M,559.70M,559.70M
Current Deferred Revenue,409.17M,409.09M,409.53M,409.43M,411.50M,409.15M,404.88M,403.07M,401.33M,403.26M,401.09M,403.84M,403.31M,402.79M,424.98M,423.56M,419.41M,419.96M,417.30M,415.20M,412.17M,406.11M,401.06M,372.72M,371.00M,366.15M,365.22M,361.30M,359.08M,361.17M,357.40M,354.18M,351.74M,347.18M,345.08M,340.28M,335.06M,330.29M,327.80M,325.86M,323.34M,,,,302.30M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Liabilities,683.32M,642.43M,664.63M,713.75M,712.03M,996.52M,1.148B,1.373B,547.85M,465.13M,461.78M,508.76M,506.06M,521.02M,696.71M,785.46M,655.39M,670.53M,649.67M,655.99M,541.81M,549.47M,451.70M,422.54M,456.94M,423.24M,390.44M,403.99M,468.63M,562.42M,626.42M,728.03M,707.51M,481.57M,459.37M,496.20M,550.77M,510.11M,443.06M,451.44M,591.56M,291.21M,311.32M,311.48M,485.84M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Tax Liability,76.46M,117.58M,189.27M,239.66M,248.13M,500.42M,710.11M,912.10M,0.00,,,,,,,,,93.56M,124.60M,94.72M,38.04M,55.13M,36.10M,28.38M,28.31M,35.10M,22.10M,15.00M,13.11M,73.69M,83.11M,94.13M,99.93M,64.82M,99.15M,68.57M,49.31M,86.56M,5.33M,7.10M,48.58M,15.60M,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Liability,201.78M,194.12M,195.75M,203.66M,134.44M,184.26M,167.93M,131.95M,221.77M,172.74M,224.47M,192.06M,180.84M,200.93M,193.67M,176.06M,184.18M,215.16M,244.53M,177.57M,248.25M,351.64M,406.09M,394.88M,484.51M,260.17M,254.17M,198.74M,287.83M,318.96M,363.16M,419.99M,363.62M,421.31M,257.85M,243.44M,329.76M,403.81M,377.34M,535.89M,402.41M,791.62M,984.05M,1.038B,733.61M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.20M,,,-0.10M,,,,,,,,,,,,,,,,,,,,,,,
Total Current Liabilities,5.620B,5.103B,4.523B,4.861B,5.444B,5.751B,6.232B,5.233B,5.036B,4.461B,4.241B,3.879B,3.200B,3.452B,4.022B,3.839B,3.090B,3.454B,3.998B,3.765B,3.849B,4.454B,4.128B,3.917B,4.061B,3.439B,3.984B,3.896B,4.106B,3.924B,3.042B,2.911B,4.951B,4.161B,2.242B,2.311B,2.776B,2.914B,2.807B,3.060B,3.194B,3.374B,3.501B,3.254B,3.766B,3.319B,3.452B,3.206B,3.257B,2.724B,2.490B,2.088B,2.465B,2.137B,2.233B,2.262B,3.112B,3.216B,2.246B,2.269B,2.332B,2.398B,2.164B,2.097B,2.282B,2.353B,2.518B,2.363B,3.172B,3.182B,3.898B,3.035B,3.105B,4.105B,3.555B,3.588B,3.438B,2.934B,2.807B,2.287B,2.147B,2.425B,2.517B,2.014B,1.982B,3.184B,2.964B,3.020B,2.802B,2.980B,2.617B,2.725B,1.883B,2.052B,2.098B,2.625B,2.100B,2.197B,1.917B,2.054B,2.040B,1.898B,1.708B,1.791B,1.770B,1.740B,1.748B,1.748B
Long Term Provisions - Legal & Other,6.693B,6.596B,7.307B,7.105B,6.870B,7.063B,6.905B,6.818B,6.664B,6.587B,6.593B,6.556B,6.474B,6.565B,5.331B,5.265B,5.251B,5.142B,4.898B,4.933B,4.876B,4.676B,4.228B,4.159B,4.049B,3.818B,3.697B,3.642B,3.876B,3.826B,3.768B,3.724B,3.682B,3.666B,3.609B,3.559B,3.544B,3.483B,3.141B,3.084B,3.081B,138.32M,129.60M,139.71M,2.825B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of Long Term Debt,17.08B,16.94B,17.20B,17.17B,15.52B,15.78B,14.86B,15.59B,14.32B,13.98B,14.31B,13.93B,14.47B,13.86B,13.11B,13.50B,13.11B,13.05B,12.09B,12.31B,12.39B,11.63B,11.94B,12.20B,12.14B,12.28B,12.09B,11.73B,11.92B,11.75B,11.97B,12.12B,10.04B,10.24B,12.06B,11.58B,11.32B,11.44B,11.02B,11.14B,10.71B,9.972B,10.18B,10.92B,11.17B,11.95B,10.76B,9.928B,9.728B,10.15B,10.29B,9.197B,8.798B,8.614B,8.980B,8.925B,8.824B,8.381B,7.844B,7.445B,7.017B,7.220B,7.586B,7.399B,7.323B,7.441B,7.864B,7.255B,7.309B,7.239B,6.559B,7.059B,7.321B,7.238B,7.306B,7.352B,7.732B,7.107B,7.379B,7.101B,6.828B,6.504B,6.459B,6.411B,6.597B,8.942B,8.977B,9.026B,9.068B,9.394B,9.524B,9.423B,7.591B,7.643B,7.853B,7.638B,6.777B,6.750B,7.024B,7.035B,7.094B,7.288B,7.349B,7.310B,7.356B,7.356B,7.356B,7.356B
Long Term Cap Lease Obligation,,,,,,20.89M,21.26M,21.63M,22.02M,22.78M,23.18M,23.57M,24.58M,24.96M,25.57M,26.29M,27.00M,27.70M,28.38M,29.05M,29.71M,30.35M,30.99M,31.61M,32.22M,32.81M,33.40M,33.98M,34.54M,35.53M,36.51M,37.47M,38.42M,39.34M,40.18M,41.19M,42.08M,42.87M,36.00M,36.62M,,374.18M,300.02M,294.26M,343.09M,308.83M,287.64M,275.81M,220.44M,176.65M,185.98M,218.12M,188.03M,183.84M,165.32M,149.67M,175.00M,195.30M,170.32M,175.17M,146.06M,138.30M,137.94M,170.54M,153.90M,165.51M,156.96M,159.07M,155.94M,196.57M,183.45M,191.88M,181.08M,150.68M,177.74M,205.83M,201.87M,181.82M,177.87M,184.75M,205.46M,232.90M,252.70M,254.00M,220.20M,233.50M,213.40M,200.80M,236.00M,239.10M,260.90M,277.00M,247.30M,275.30M,271.20M,285.70M,303.70M,308.10M,330.50M,265.90M,273.90M,266.50M,282.30M,,322.90M,322.90M,322.90M,322.90M
Non-Current Portion of LTD and Capital Lease Obligation,17.08B,16.94B,17.20B,17.17B,15.52B,15.80B,14.88B,15.61B,14.34B,14.00B,14.33B,13.95B,14.49B,13.89B,13.14B,13.53B,13.14B,13.08B,12.12B,12.34B,12.42B,11.67B,11.97B,12.23B,12.17B,12.31B,12.13B,11.76B,11.95B,11.78B,12.01B,12.16B,10.08B,10.28B,12.10B,11.62B,11.36B,11.49B,11.06B,11.17B,10.71B,10.35B,10.48B,11.22B,11.52B,12.26B,11.04B,10.20B,9.949B,10.32B,10.48B,9.415B,8.986B,8.798B,9.145B,9.075B,8.999B,8.576B,8.014B,7.620B,7.163B,7.358B,7.724B,7.570B,7.477B,7.606B,8.021B,7.414B,7.465B,7.436B,6.742B,7.251B,7.502B,7.388B,7.483B,7.558B,7.934B,7.289B,7.556B,7.285B,7.033B,6.737B,6.712B,6.665B,6.817B,9.176B,9.190B,9.226B,9.304B,9.633B,9.785B,9.700B,7.838B,7.918B,8.124B,7.924B,7.081B,7.058B,7.354B,7.301B,7.367B,7.554B,7.631B,7.310B,7.679B,7.679B,7.679B,7.679B
Long Term Deferred Tax Liabilities,4.608B,4.759B,4.600B,4.463B,4.320B,4.641B,4.650B,4.670B,4.686B,7.759B,7.468B,7.786B,7.722B,8.740B,8.412B,8.699B,8.541B,8.940B,9.440B,9.410B,9.381B,9.320B,9.245B,9.137B,8.988B,8.597B,8.608B,8.620B,8.585B,8.450B,8.244B,8.446B,8.381B,8.685B,9.152B,9.048B,8.866B,8.442B,8.004B,7.906B,7.971B,7.463B,7.272B,7.118B,6.566B,7.095B,6.641B,6.742B,6.723B,6.676B,6.523B,6.497B,6.179B,6.321B,5.993B,5.923B,5.659B,5.473B,5.486B,5.463B,5.467B,5.647B,5.420B,5.345B,5.200B,5.007B,4.997B,4.875B,4.699B,3.865B,3.847B,3.876B,4.446B,3.876B,3.790B,3.771B,3.743B,3.689B,3.731B,3.790B,3.830B,3.844B,3.893B,4.142B,4.104B,5.074B,5.109B,5.153B,5.155B,5.169B,5.331B,5.278B,4.368B,4.244B,4.232B,4.238B,4.390B,4.551B,4.558B,4.537B,4.565B,4.575B,4.597B,4.608B,4.622B,4.652B,4.652B,4.652B
Non-Current Deferred Liabilities,4.608B,4.759B,4.600B,4.463B,4.320B,4.641B,4.650B,4.670B,4.686B,7.759B,7.468B,7.786B,7.722B,8.740B,8.412B,8.699B,8.541B,8.940B,9.440B,9.410B,9.381B,9.320B,9.245B,9.137B,8.988B,8.597B,8.608B,8.620B,8.585B,8.450B,8.244B,8.446B,8.381B,8.685B,9.152B,9.048B,8.866B,8.442B,8.304B,8.210B,7.971B,7.463B,7.272B,7.118B,6.891B,330.06M,334.55M,339.04M,343.54M,348.10M,352.63M,354.10M,358.55M,363.05M,367.62M,372.08M,376.55M,381.12M,389.47M,394.14M,399.23M,404.48M,409.73M,414.99M,420.25M,425.81M,430.91M,442.52M,447.92M,453.71M,459.50M,465.29M,471.09M,476.90M,482.70M,488.51M,494.32M,500.23M,506.14M,513.01M,519.91M,524.40M,530.00M,568.30M,565.70M,572.10M,569.50M,574.80M,587.80M,592.90M,598.20M,602.80M,607.60M,594.90M,600.70M,605.80M,612.70M,658.00M,667.20M,644.40M,649.90M,762.50M,769.70M,777.10M,793.40M,802.30M,802.30M,802.30M
Pension Liability,2.798B,2.488B,2.556B,2.607B,2.616B,2.579B,2.739B,2.821B,2.911B,2.694B,2.860B,2.953B,3.036B,2.885B,3.018B,3.098B,3.187B,3.334B,3.522B,3.585B,3.638B,2.044B,2.207B,2.285B,2.321B,3.719B,3.754B,3.757B,3.726B,3.052B,3.097B,3.127B,3.134B,1.899B,1.943B,1.984B,2.175B,2.112B,2.181B,2.199B,2.241B,2.132B,2.140B,2.157B,2.178B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minority Interest Ownership,35.00M,35.00M,,,0.00,,,,,,,,,,,,,0.00,94.00M,94.00M,94.00M,94.00M,94.00M,94.00M,94.00M,94.00M,94.00M,94.00M,94.00M,,,,94.00M,,,,,,,,,309.22M,,,,,,,,,,,,,,,,,,,,,,,,,215.00M,215.00M,,215.00M,,215.00M,215.00M,,,215.00M,215.00M,215.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred Securities out of Shareholders Equity,219.41M,219.41M,219.43M,219.43M,219.40M,197.77M,197.77M,197.80M,197.80M,203.18M,203.18M,203.18M,203.18M,233.18M,318.18M,318.18M,318.18M,210.76M,210.76M,210.76M,210.76M,210.76M,210.76M,210.76M,210.76M,186.51M,186.51M,186.51M,186.51M,186.51M,186.51M,186.51M,186.51M,216.75M,216.74M,216.74M,,216.74M,216.72M,216.72M,,,217.05M,217.03M,217.03M,,,,,7.05M,8.25M,8.25M,10.50M,10.50M,11.70M,11.70M,13.95M,13.95M,15.15M,15.15M,17.40M,17.40M,18.60M,18.60M,20.85M,215.00M,,,,,215.00M,,,215.00M,215.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Liabilities,852.75M,783.33M,754.41M,634.21M,1.006B,450.75M,466.19M,409.01M,393.75M,409.12M,375.43M,378.62M,1.122B,382.28M,394.99M,392.92M,449.86M,464.77M,486.35M,539.43M,557.65M,591.78M,622.15M,579.76M,583.67M,563.50M,538.77M,574.56M,577.91M,551.57M,537.87M,560.70M,501.95M,547.15M,599.02M,621.98M,835.30M,631.72M,657.32M,677.46M,1.283B,4.139B,3.879B,3.787B,881.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Long Term Liabilities,35.84B,35.33B,36.25B,35.77B,33.99B,34.31B,33.37B,34.07B,33.68B,33.25B,33.40B,33.38B,34.62B,34.22B,32.10B,32.73B,32.30B,32.43B,32.02B,32.38B,32.46B,29.85B,29.87B,29.92B,29.62B,30.38B,29.91B,29.59B,29.81B,28.81B,28.75B,29.01B,26.70B,25.94B,28.20B,27.66B,27.32B,26.93B,26.08B,26.10B,25.66B,24.22B,24.12B,24.63B,24.79B,12.59B,11.38B,10.54B,10.29B,10.68B,10.84B,9.778B,9.355B,9.171B,9.524B,9.458B,9.390B,8.971B,8.419B,8.029B,7.580B,7.780B,8.152B,8.003B,7.918B,8.247B,8.451B,7.857B,7.913B,7.889B,7.416B,7.716B,7.973B,8.080B,8.181B,8.046B,8.428B,7.789B,8.063B,7.798B,7.553B,7.262B,7.242B,7.233B,7.382B,9.748B,9.76B,9.801B,9.892B,10.23B,10.38B,10.30B,8.446B,8.513B,8.725B,8.529B,7.694B,7.716B,8.021B,7.945B,8.017B,8.317B,8.401B,8.087B,8.472B,8.481B,8.481B,8.481B
Total Liabilities,41.47B,40.44B,40.77B,40.64B,39.43B,40.06B,39.60B,39.31B,38.71B,37.71B,37.64B,37.26B,37.82B,37.67B,36.12B,36.57B,35.39B,35.88B,36.01B,36.15B,36.31B,34.30B,33.99B,33.83B,33.68B,33.82B,33.89B,33.49B,33.91B,32.74B,31.79B,31.92B,31.65B,30.10B,30.44B,29.97B,30.09B,29.84B,28.89B,29.16B,28.85B,27.59B,27.62B,27.89B,28.56B,28.17B,27.06B,25.78B,25.47B,25.42B,25.26B,22.96B,22.54B,21.65B,22.01B,21.96B,22.66B,21.76B,20.24B,20.05B,19.65B,19.76B,19.79B,19.54B,19.52B,19.46B,19.77B,18.59B,19.31B,18.38B,17.99B,17.50B,17.88B,18.31B,17.69B,17.51B,17.83B,16.34B,16.77B,15.81B,15.29B,15.29B,15.07B,14.96B,14.86B,19.29B,19.25B,19.30B,19.12B,19.44B,19.24B,19.49B,15.39B,15.54B,15.72B,16.11B,14.84B,15.10B,15.16B,15.20B,15.27B,15.34B,15.22B,15.13B,15.29B,15.29B,15.29B,15.29B
Total Capital Stock,2.70M,2.70M,2.70M,2.616M,2.616M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,2.548M,96.55M,2.482M,313.50M,313.50M,313.55M,313.64M,366.96M,366.96M,347.40M,347.40M,347.52M,347.38M,523.39M,448.46M,348.95M,398.16M,367.82M,367.84M,336.82M,336.82M,336.82M,336.82M,336.82M,358.90M,358.90M,361.15M,361.15M,361.60M,361.60M,363.00M,363.35M,398.35M,400.93M,402.93M,403.36M,623.08M,558.08M,560.58M,795.70M,796.90M,798.90M,873.50M,1.181B,1.185B,1.189B,1.191B,898.10M,909.50M,913.60M,930.20M,995.10M,931.30M,937.10M,956.70M,963.60M,977.00M,979.00M,1.003B,1.008B,1.026B,1.028B,1.052B,1.052B,1.052B,1.052B
Retained Earnings,9.258B,9.058B,8.873B,8.810B,8.721B,8.954B,8.578B,8.494B,7.978B,8.618B,8.376B,8.122B,8.196B,10.12B,9.887B,9.472B,9.394B,9.446B,10.32B,10.32B,10.17B,10.20B,10.12B,10.08B,9.825B,9.826B,9.734B,9.718B,9.705B,9.556B,9.366B,9.148B,9.447B,9.439B,8.958B,8.790B,8.689B,8.611B,8.273B,8.115B,8.043B,7.871B,7.563B,7.482B,7.383B,7.354B,7.028B,6.900B,6.736B,6.688B,6.373B,6.212B,6.113B,5.951B,5.676B,5.510B,5.434B,5.450B,5.213B,5.041B,4.984B,4.949B,4.768B,4.606B,4.503B,4.645B,4.383B,4.255B,3.939B,3.941B,3.654B,3.486B,3.638B,3.689B,3.445B,3.276B,3.191B,3.216B,2.982B,2.814B,2.786B,2.853B,2.640B,2.515B,2.527B,2.365B,2.188B,1.985B,2.158B,2.247B,2.385B,2.346B,2.342B,2.406B,2.232B,2.043B,2.336B,2.397B,2.237B,2.077B,2.224B,2.345B,2.318B,2.172B,2.310B,2.310B,2.310B,2.310B
Additional Paid In Capital,6.564B,6.553B,6.540B,5.920B,5.951B,5.442B,5.429B,5.417B,5.433B,5.421B,5.410B,5.398B,5.417B,5.404B,5.393B,5.385B,5.404B,5.379B,5.362B,5.352B,5.375B,5.368B,5.358B,5.351B,5.368B,5.362B,5.356B,5.350B,5.358B,5.354B,5.356B,5.352B,5.361B,5.363B,5.366B,5.367B,5.367B,5.367B,5.377B,5.373B,5.370B,5.369B,5.375B,5.370B,4.869B,4.865B,4.860B,4.854B,4.851B,4.847B,4.841B,4.832B,4.827B,4.819B,4.818B,4.816B,4.818B,4.840B,4.845B,4.827B,4.835B,4.819B,4.819B,4.792B,4.768B,4.697B,4.690B,4.675B,4.667B,4.667B,4.667B,4.664B,4.663B,4.663B,4.661B,4.664B,4.660B,4.637B,4.636B,4.636B,4.636B,4.634B,4.632B,4.631B,4.631B,4.629B,4.628B,4.626B,4.614B,4.547B,4.478B,4.410B,4.321B,4.24B,4.201B,4.201B,4.202B,4.201B,4.200B,4.200B,4.202B,4.202B,4.224B,4.224B,4.224B,4.224B,4.224B,4.224B
Treasury Stock,5.154B,5.159B,5.188B,5.211B,5.274B,5.353B,5.374B,5.377B,5.398B,5.462B,5.470B,5.477B,5.499B,5.499B,5.516B,5.528B,5.552B,5.553B,5.478B,5.479B,5.498B,5.441B,5.448B,5.478B,5.534B,5.539B,5.543B,5.554B,5.575B,5.585B,5.620B,5.622B,5.680B,5.701B,5.653B,5.556B,5.525B,5.322B,4.851B,4.716B,4.727B,4.742B,4.163B,4.166B,4.175B,4.133B,4.057B,3.876B,3.735B,3.576B,3.387B,3.152B,2.644B,2.112B,2.133B,2.141B,2.162B,2.168B,1.963B,1.738B,1.432B,861.09M,750.58M,518.37M,561.15M,569.20M,587.45M,654.75M,747.33M,745.52M,649.80M,691.54M,758.82M,750.07M,724.16M,759.38M,774.90M,715.15M,613.13M,377.45M,231.89M,112.50M,3.70M,4.80M,6.20M,6.20M,4.10M,7.90M,10.60M,11.00M,35.10M,35.40M,45.40M,59.60M,59.80M,60.00M,67.60M,67.10M,67.30M,67.40M,77.40M,77.40M,88.30M,35.50M,,,,
Preferred Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.00M,,311.02M,311.02M,311.07M,311.16M,364.48M,364.47M,344.92M,344.91M,345.04M,344.89M,520.91M,445.97M,346.47M,395.68M,365.34M,365.36M,334.34M,334.34M,334.34M,334.34M,334.34M,356.41M,356.41M,358.66M,358.66M,359.12M,359.12M,360.52M,360.87M,395.87M,398.45M,400.45M,400.89M,620.61M,555.61M,558.10M,454.70M,455.90M,457.90M,532.50M,843.70M,847.80M,847.80M,850.00M,561.20M,561.20M,565.20M,497.00M,992.80M,929.00M,934.80M,954.40M,961.30M,974.70M,976.70M,1.001B,1.006B,1.024B,1.026B,1.050B,1.05B,1.05B,1.05B
Adjustments for Foreign Currency Translation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.666M,6.435M,,,,,,,,,,,,,,,,,,,,,,,,-117.97M,-74.00M,-71.08M,-69.81M,-69.49M,-68.78M,,-47.70M,-46.40M,-46.70M,-88.40M,-73.70M,-53.10M,-69.80M,-5.70M,10.20M,21.00M,21.70M,20.70M,19.30M,17.30M,,,,,,,,,,,,
Other Equity Adjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-48.44M,-61.00M,,,,,,,,,,,,,,,,,,,,,,,,,-1.035M,6.588M,-6.275M,-9.958M,-5.023M,,,,,,,,,,,,,,,,,,,,,,,,,,,
