Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Net Income,389.60M,369.46M,240.53M,258.65M,-62.32M,539.82M,248.86M,136.20M,-475.71M,401.64M,413.37M,86.05M,-1.766B,393.20M,572.59M,235.24M,104.85M,-718.23M,153.72M,302.93M,125.01M,234.92M,194.28M,406.05M,151.35M,244.18M,168.06M,166.98M,301.85M,342.67M,370.58M,-146.74M,160.03M,633.07M,320.60M,253.68M,233.31M,497.90M,320.28M,218.81M,318.74M,460.17M,231.81M,240.33M,190.54M,470.29M,275.93M,308.75M,193.89M,461.16M,267.60M,212.20M,245.67M,395.69M,281.80M,201.67M,71.02M,356.39M,292.55M,178.38M,137.45M,288.05M,271.01M,213.02M,-33.62M,371.65M,211.52M,400.92M,81.67M,366.80M,247.58M,-72.98M,26.60M,317.45M,245.58M,160.87M,50.04M,306.69M,245.77M,108.41M,16.20M,296.20M,209.76M,72.90M,247.00M,262.60M,216.00M,60.00M,-8.70M,65.10M,158.60M,126.40M,53.70M,299.20M,206.70M,-69.00M,117.10M,263.10M,162.70M,90.40M,-16.50M,143.20M,144.30M,70.70M,36.50M,233.40M,130.90M,151.10M,55.60M,204.60M,82.10M,95.30M,111.30M,203.40M,81.90M,85.50M,70.60M,209.60M,109.40M,88.70M,15.10M,-679.30M,-118.10M,-118.10M,58.30M,171.80M,88.80M,92.20M,-22.30M,185.50M,93.60M,99.80M,61.80M,171.50M,103.40M,114.60M,100.20M,100.30M,125.10M,135.50M,92.90M,175.70M,105.60M,116.50M
Normalized Income,364.14M,522.30M,219.91M,289.33M,82.22M,629.51M,276.07M,169.96M,-413.50M,396.58M,516.08M,247.96M,33.27M,395.25M,568.46M,227.99M,281.61M,357.92M,146.47M,295.09M,121.28M,330.53M,186.40M,397.67M,139.37M,493.09M,156.73M,158.69M,287.70M,331.63M,352.20M,184.15M,118.30M,628.27M,318.02M,240.61M,232.15M,496.35M,313.21M,228.00M,310.50M,444.62M,283.30M,224.01M,254.74M,465.38M,282.78M,319.51M,200.22M,464.27M,271.88M,218.64M,217.36M,352.18M,227.89M,177.75M,81.42M,364.71M,274.70M,148.52M,113.91M,307.19M,250.02M,185.59M,-43.33M,328.97M,266.99M,296.39M,-36.89M,330.64M,235.93M,-120.71M,-5.829M,255.50M,202.40M,127.28M,33.01M,274.54M,186.94M,90.71M,-33.57M,280.90M,152.55M,47.88M,10.93M,248.17M,202.09M,41.04M,-8.70M,65.10M,139.88M,115.03M,30.90M,261.36M,198.85M,-75.48M,36.65M,265.98M,161.98M,56.39M,-25.56M,157.12M,152.70M,74.78M,41.05M,233.52M,130.40M,55.98M,55.60M,204.60M,82.10M,95.30M,111.30M,203.40M,81.90M,85.50M,70.60M,209.60M,109.40M,88.70M,15.10M,-679.30M,,,,,,,,,,,,,,,,,,,,,,
EBITDA,881.93M,1.151B,964.88M,1.015B,123.98M,926.61M,648.34M,874.70M,841.97M,1.329B,750.41M,787.23M,-1.993B,1.354B,1.007B,1.040B,243.25M,-379.04M,957.20M,1.140B,909.82M,1.096B,1.004B,1.295B,858.27M,943.82M,866.16M,904.41M,845.55M,1.184B,770.17M,440.46M,811.48M,1.105B,1.028B,976.47M,934.07M,1.237B,1.070B,961.13M,987.31M,1.250B,823.86M,899.08M,1.021B,1.063B,896.73M,897.21M,627.38M,1.093B,758.77M,708.83M,550.25M,891.84M,683.19M,592.55M,515.64M,907.28M,724.99M,546.08M,384.26M,845.54M,747.05M,611.74M,292.22M,875.60M,735.74M,819.97M,151.32M,886.30M,710.23M,167.64M,365.09M,740.18M,677.52M,602.46M,410.70M,804.80M,626.34M,483.21M,273.51M,785.90M,640.66M,408.90M,419.10M,1.026B,785.80M,618.00M,-5.160B,2.798B,675.30M,711.20M,443.50M,806.70M,696.40M,342.40M,380.80M,783.60M,605.70M,428.90M,186.30M,633.80M,572.20M,438.10M,281.60M,608.30M,430.10M,324.10M,1.004B,1.238B,958.10M,916.50M,921.90M,1.255B,981.40M,893.00M,926.20M,1.227B,939.30M,889.40M,883.90M,1.102B,931.00M,931.00M,843.80M,1.095B,819.70M,806.60M,778.50M,1.075B,831.60M,769.70M,796.90M,1.073B,810.80M,804.80M,809.60M,809.60M,750.00M,754.10M,723.20M,953.50M,729.20M,740.00M
Reconciled Depreciation,547.64M,565.87M,538.58M,530.22M,523.21M,489.74M,502.43M,525.18M,517.01M,518.89M,511.30M,531.37M,574.42M,536.12M,512.50M,500.25M,504.55M,542.80M,543.88M,526.01M,542.34M,543.58M,525.53M,516.44M,539.09M,524.04M,476.02M,472.93M,477.98M,461.00M,382.65M,450.01M,429.72M,463.70M,429.62M,422.41M,445.79M,427.76M,408.35M,423.43M,382.75M,378.91M,348.76M,348.44M,494.74M,311.17M,294.79M,290.98M,297.98M,282.66M,280.73M,270.24M,269.53M,269.00M,254.82M,241.81M,254.46M,252.94M,241.37M,253.09M,269.32M,274.07M,252.74M,249.00M,251.66M,256.60M,239.81M,248.54M,219.64M,222.61M,214.07M,213.32M,216.27M,111.13M,196.97M,216.43M,215.62M,210.97M,192.80M,196.61M,194.43M,183.91M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,334.29M,585.30M,426.29M,484.96M,-399.23M,436.88M,145.91M,349.52M,324.96M,810.34M,239.11M,255.86M,-2.567B,818.30M,494.12M,539.32M,-261.29M,-921.84M,413.32M,613.62M,367.48M,552.50M,478.84M,778.55M,319.18M,419.79M,390.14M,431.48M,367.56M,722.97M,387.52M,-9.548M,381.76M,641.53M,598.45M,554.06M,488.28M,809.66M,662.05M,537.70M,604.57M,870.71M,475.10M,550.64M,526.02M,752.09M,601.94M,606.23M,329.40M,810.33M,478.04M,438.59M,280.72M,622.84M,428.36M,350.74M,261.18M,654.34M,483.62M,292.99M,114.94M,571.47M,494.31M,362.74M,40.57M,619.00M,495.94M,571.43M,-68.32M,663.69M,496.15M,-45.68M,148.82M,606.50M,480.55M,386.03M,195.08M,593.84M,433.54M,286.60M,79.08M,601.90M,363.95M,203.50M,217.00M,522.20M,472.70M,285.40M,-5.160B,2.798B,434.00M,372.20M,239.20M,609.80M,501.30M,147.80M,203.80M,606.10M,434.80M,258.40M,0.70M,467.40M,415.70M,287.60M,178.20M,510.00M,331.50M,223.30M,1.004B,1.238B,958.10M,916.50M,921.90M,1.255B,981.40M,893.00M,926.20M,1.227B,939.30M,889.40M,883.90M,1.102B,931.00M,931.00M,843.80M,1.095B,819.70M,806.60M,778.50M,1.075B,831.60M,769.70M,796.90M,1.073B,810.80M,804.80M,809.60M,809.60M,750.00M,754.10M,723.20M,953.50M,729.20M,740.00M
EPS Basic from Continuing Operations,1.93,1.84,1.22,1.34,-0.36,2.96,1.36,0.73,-2.66,2.22,2.28,0.46,-9.88,2.17,3.17,1.29,0.56,-4.04,0.83,1.66,0.67,1.28,1.06,2.24,0.82,1.35,0.92,0.91,1.66,1.90,2.06,-0.86,0.87,3.55,1.77,1.39,1.28,2.65,1.67,1.13,1.66,2.35,1.16,1.22,0.91,2.47,1.42,1.60,1.00,2.37,1.36,1.06,1.35,1.87,1.29,0.94,0.61,1.71,1.37,0.81,0.71,1.24,1.16,0.90,-0.16,1.60,0.91,1.13,0.35,1.61,1.08,-0.36,-0.01,1.41,1.08,0.70,0.22,1.35,1.04,0.42,0.03,1.16,0.81,0.25,0.96,1.02,0.83,0.20,-0.0834,0.33,0.61,0.47,0.16,1.22,0.83,-0.38,0.4325,1.16,0.71,0.24,-0.07,0.63,0.63,0.31,0.21,1.34,0.75,0.33,0.32,1.16,0.46,0.54,0.62,1.12,0.45,0.46,0.38,1.07,0.55,0.44,0.07,-3.32,-0.58,-0.57,,0.84,0.43,0.45,,0.90,0.46,0.49,,0.84,0.51,0.56,,2.07,0.63,0.71,,0.98,0.61,0.69
EPS Basic from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.06,-0.01,-0.16,-0.03,-0.01,-0.01,-0.0002,0.00,0.00,0.00,-0.02,0.00,0.00,0.64,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00
EPS Basic from Extraordinaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalized Basic EPS,1.802,2.608,1.113,1.502,0.4294,3.456,1.510,0.9168,-2.315,2.192,2.852,1.363,0.1619,2.181,3.147,1.249,1.551,1.967,0.7896,1.616,0.6493,1.812,1.016,2.193,0.7528,2.746,0.8564,0.8634,1.580,1.838,1.956,1.011,0.6331,3.523,1.756,1.317,1.274,2.642,1.633,1.179,1.616,2.270,1.423,1.135,1.249,2.444,1.456,1.656,1.033,2.386,1.382,1.092,1.162,1.656,1.094,0.8141,0.4986,1.716,1.272,0.6642,0.5909,1.324,1.068,0.7809,-0.2280,1.413,1.155,1.302,-0.1836,1.448,1.028,-0.5750,-0.0505,1.131,0.8847,0.5473,0.1424,1.205,0.7820,0.3452,-0.1777,1.098,0.5707,0.1494,-0.0030,0.9614,0.7735,0.1213,-0.0834,0.33,0.5320,0.4213,0.0623,1.055,0.7954,-0.4083,0.2347,1.174,0.7064,0.2479,-0.1409,0.7014,0.6727,0.3277,0.2384,1.341,0.7468,0.3217,0.32,1.16,0.46,0.54,0.62,1.12,0.45,0.46,0.38,1.07,0.55,0.44,0.07,-3.32,-0.58,-0.57,,0.84,0.43,0.45,,0.90,0.46,0.49,,0.84,0.51,0.56,,2.07,0.63,0.71,,0.98,0.61,0.69
EPS Basic,1.93,1.84,1.22,1.34,-0.36,2.96,1.36,0.73,-2.66,2.22,2.28,0.46,-9.88,2.17,3.17,1.29,0.56,-4.04,0.83,1.66,0.67,1.28,1.06,2.24,0.82,1.35,0.92,0.91,1.66,1.90,2.06,-0.86,0.87,3.55,1.77,1.39,1.28,2.65,1.67,1.13,1.66,2.35,1.16,1.22,0.91,2.47,1.42,1.60,1.00,2.37,1.36,1.06,1.30,1.87,1.35,0.93,0.44,1.68,1.36,0.80,0.71,1.24,1.16,0.90,-0.18,1.60,0.91,1.77,0.35,1.61,1.08,-0.36,0.10,1.41,1.08,0.70,0.22,1.35,1.04,0.42,0.03,1.16,0.81,0.25,0.96,1.02,0.83,0.20,-0.0834,0.33,0.61,0.47,0.16,1.22,0.83,-0.38,0.4325,1.16,0.71,0.40,-0.07,0.63,0.63,0.31,0.21,1.34,0.75,0.86,0.32,1.16,0.46,0.54,0.62,1.12,0.45,0.46,0.38,1.07,0.55,0.44,0.07,-3.32,-0.58,-0.57,,0.84,0.43,0.45,,0.90,0.46,0.49,,0.84,0.51,0.56,,2.07,0.63,0.71,,0.98,0.61,0.69
EPS Diluted from Continuing Operations,1.92,1.82,1.22,1.32,-0.36,2.92,1.34,0.73,-2.66,2.21,2.27,0.46,-9.88,2.16,3.16,1.28,0.56,-4.04,0.83,1.65,0.66,1.27,1.05,2.24,0.82,1.34,0.92,0.90,1.66,1.89,2.06,-0.86,0.87,3.53,1.76,1.38,1.28,2.62,1.65,1.12,1.64,2.32,1.14,1.20,0.87,2.41,1.37,1.56,0.97,2.30,1.32,1.03,1.33,1.83,1.27,0.93,0.60,1.68,1.34,0.80,0.69,1.22,1.14,0.88,-0.16,1.57,0.89,1.10,0.34,1.59,1.06,-0.36,-0.01,1.39,1.06,0.69,0.20,1.34,1.04,0.4177,0.03,1.16,0.81,0.25,0.9571,1.02,0.83,0.20,-0.0834,0.33,0.61,0.47,0.16,1.22,0.83,-0.38,0.4325,1.16,0.71,0.24,-0.07,0.63,0.63,0.31,0.21,1.34,0.75,0.33,0.32,1.16,0.46,0.54,0.62,1.12,0.45,0.46,0.38,1.07,0.55,0.44,0.07,-3.32,-0.58,-0.57,,0.84,0.43,0.45,,0.90,0.46,0.49,,0.84,0.51,0.56,,2.07,0.63,0.71,,0.98,0.61,0.69
EPS Diluted from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.06,-0.01,-0.16,-0.03,-0.01,-0.01,-0.0002,0.00,0.00,0.00,-0.03,0.00,0.00,0.63,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00
EPS Diluted from Extraordinaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0276,,,0.6262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2009,,,,,-0.1801,,,0.5910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalized Diluted EPS,1.793,2.582,1.114,1.480,0.4195,3.408,1.489,0.9161,-2.318,2.182,2.840,1.360,0.1619,2.171,3.137,1.239,1.551,1.967,0.7897,1.607,0.6395,1.800,1.006,2.193,0.7530,2.733,0.8566,0.8535,1.581,1.828,1.956,1.005,0.6343,3.503,1.746,1.307,1.274,2.612,1.613,1.168,1.597,2.241,1.400,1.118,1.172,2.385,1.405,1.614,1.001,2.316,1.341,1.061,1.146,1.620,1.077,0.8063,0.4906,1.686,1.244,0.6572,0.5739,1.303,1.050,0.7633,-0.2267,1.386,1.130,1.268,-0.1823,1.431,1.009,-0.5750,-0.0498,1.114,0.8687,0.5399,0.1240,1.197,0.7820,0.3429,-0.177,1.098,0.5707,0.1494,-0.0031,0.9614,0.7735,0.1213,-0.0834,0.33,0.5320,0.4213,0.0623,1.055,0.7954,-0.4083,0.2347,1.174,0.7064,0.2479,-0.1409,0.7014,0.6727,0.3277,0.2384,1.341,0.7468,0.3217,0.32,1.16,0.46,0.54,0.62,1.12,0.45,0.46,0.38,1.07,0.55,0.44,0.07,-3.32,-0.58,-0.57,,0.84,0.43,0.45,,0.90,0.46,0.49,,0.84,0.51,0.56,,2.07,0.63,0.71,,0.98,0.61,0.69
EPS Diluted,1.92,1.82,1.22,1.32,-0.36,2.92,1.34,0.73,-2.66,2.21,2.27,0.46,-9.88,2.16,3.16,1.28,0.56,-4.04,0.83,1.65,0.66,1.27,1.05,2.24,0.82,1.34,0.92,0.90,1.66,1.89,2.06,-0.86,0.87,3.53,1.76,1.38,1.28,2.62,1.65,1.12,1.64,2.32,1.14,1.20,0.87,2.41,1.37,1.56,0.97,2.30,1.32,1.03,1.28,1.83,1.33,0.92,0.44,1.65,1.33,0.79,0.69,1.22,1.14,0.88,-0.18,1.57,0.89,1.73,0.34,1.59,1.06,-0.36,0.09,1.39,1.06,0.69,0.20,1.34,1.04,0.4177,0.03,1.16,0.81,0.25,0.9571,1.02,0.83,0.20,-0.0834,0.33,0.61,0.47,0.16,1.22,0.83,-0.38,0.4325,1.16,0.71,0.40,-0.07,0.63,0.63,0.31,0.21,1.34,0.75,0.86,0.32,1.16,0.46,0.54,0.62,1.12,0.45,0.46,0.38,1.07,0.55,0.44,0.07,-3.32,-0.58,-0.57,,0.84,0.43,0.45,,0.90,0.46,0.49,,0.84,0.51,0.56,,2.07,0.63,0.71,,0.98,0.61,0.69
Average Basic Shares Outstanding,199.15M,198.93M,193.02M,189.58M,183.10M,181.00M,180.82M,180.71M,180.31M,179.56M,179.48M,179.34M,179.13M,179.02M,178.81M,178.58M,178.38M,179.15M,179.52M,179.66M,180.25M,179.61M,179.35M,178.80M,178.33M,178.28M,178.20M,178.03M,177.75M,177.52M,177.17M,176.87M,176.15M,176.95M,177.81M,178.83M,180.14M,185.96M,188.78M,189.20M,188.96M,193.42M,196.11M,192.59M,189.37M,190.38M,191.33M,192.64M,193.96M,194.86M,196.98M,200.55M,205.72M,208.38M,207.98M,207.73M,207.47M,207.91M,211.13M,214.13M,197.95M,226.88M,228.71M,230.26M,228.78M,228.11M,226.61M,223.67M,222.18M,223.71M,224.33M,221.94M,221.05M,221.68M,221.11M,219.92M,219.53M,222.16M,228.07M,236.61M,239.67M,246.81M,239.04M,248.80M,245.14M,246.08M,246.14M,241.00M,245.84M,237.13M,239.84M,233.40M,233.46M,229.43M,226.87M,229.21M,227.77M,209.14M,202.25M,176.25M,127.87M,195.08M,196.67M,230.22M,160.14M,163.73M,155.33M,158.72M,175.25M,176.38M,178.48M,176.48M,179.76M,181.61M,182.00M,185.87M,190.36M,195.89M,198.91M,201.59M,335.04M,204.61M,203.99M,203.99M,204.58M,204.58M,204.58M,204.58M,204.58M,204.58M,204.58M,204.58M,204.58M,204.58M,204.58M,204.56M,204.58M,201.87M,194.88M,189.17M,189.17M,183.20M,178.68M,166.08M
Average Diluted Shares Outstanding,200.94M,200.49M,194.24M,192.23M,185.44M,183.66M,182.98M,181.43M,181.65M,180.46M,180.23M,179.84M,179.13M,179.99M,179.50M,178.98M,178.38M,179.15M,180.12M,180.48M,181.59M,180.53M,180.05M,179.06M,178.72M,178.65M,178.61M,178.41M,178.04M,177.98M,177.57M,177.39M,177.07M,177.72M,178.93M,180.08M,181.51M,187.78M,190.72M,191.28M,191.20M,195.88M,198.24M,198.06M,212.85M,194.96M,197.86M,198.30M,201.03M,200.53M,203.42M,206.13M,210.46M,212.40M,211.56M,211.37M,211.14M,212.34M,215.57M,218.63M,203.19M,231.13M,232.78M,234.98M,233.42M,232.52M,231.58M,228.23M,227.00M,227.05M,228.85M,221.94M,224.59M,224.83M,225.71M,223.79M,224.06M,224.35M,228.07M,236.67M,240.47M,246.81M,239.04M,248.80M,245.85M,246.08M,246.14M,241.00M,245.84M,237.13M,239.84M,233.40M,233.46M,229.43M,226.87M,229.21M,227.77M,209.14M,202.25M,176.25M,127.87M,195.08M,196.67M,230.22M,160.14M,163.73M,155.33M,158.72M,175.25M,176.38M,178.48M,176.48M,179.76M,181.61M,182.00M,185.87M,190.36M,195.89M,198.91M,201.59M,335.04M,204.61M,203.99M,203.99M,204.58M,204.58M,204.58M,204.58M,204.58M,204.58M,204.58M,204.58M,204.58M,204.58M,204.58M,204.56M,204.58M,201.87M,194.88M,189.17M,189.17M,183.20M,178.68M,166.08M
Dividend Per Share,0.93,0.91,0.91,0.91,0.91,0.89,0.89,0.89,0.89,0.87,0.87,0.87,0.87,0.85,0.85,0.85,0.85,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.45,0.45,0.45,0.45,0.45,0.35,0.35,0.35,0.33,0.33,0.33,0.33,0.315,0.315,0.315,0.315,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.40,0.40,0.40,0.40,0.35,0.35,0.35,0.35,0.30,0.30,0.30,0.30,0.25,0.25,0.25,0.25,0.25,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.445,0.445,0.445,0.435,0.435,0.435
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
