Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1988-12,1987-12,1986-12,1985-12,1984-12
Total Assets,21.78B,21.63B,21.70B,21.72B,21.43B,21.47B,21.46B,22.07B,23.11B,26.60B,27.80B,28.10B,28.62B,34.46B,34.23B,34.81B,34.16B,36.46B,35.56B,36.10B,38.41B,40.98B,41.07B,41.42B,42.75B,41.90B,41.43B,42.38B,43.44B,42.21B,40.61B,40.65B,39.14B,37.34B,36.99B,36.64B,35.40B,33.48B,29.50B,29.95B,29.46B,28.44B,28.92B,28.43B,28.59B,29.58B,30.74B,27.01B,26.13B,23.94B,23.24B,22.73B,22.44B,21.63B,21.24B,19.88B,19.12B,18.86B,17.46B,16.92B,16.31B,15.74B,14.55B,14.12B,13.98B,13.21B,13.60B,13.96B,13.26B,13.63B,13.86B,14.16B,15.37B,15.29B,10.86B,10.25B,10.27B,9.069B,8.88B,8.034B,7.728B,7.939B,8.206B,7.974B,7.883B,8.645B,7.778B,7.676B,7.935B,7.638B,7.348B,7.379B,7.784B,7.305B,7.037B,7.731B,7.756B,8.253B,8.147B,8.197B,8.338B,8.434B,8.465B,8.402B,8.642B,8.882B,8.628B,8.584B,8.722B,8.912B,8.763B,8.266B,8.841B,8.389B,7.834B,7.813B,9.057B,7.895B,6.515B,6.584B,6.867B,5.372B,5.305B,4.914B,6.220B,6.353B
Accounts Payable,411.00M,396.00M,353.00M,399.00M,495.00M,383.00M,363.00M,375.00M,435.00M,421.00M,504.00M,565.00M,433.00M,458.00M,525.00M,346.00M,457.00M,537.00M,616.00M,681.00M,708.00M,1.712B,1.529B,2.067B,2.109B,453.00M,565.00M,571.00M,2.809B,2.543B,2.707B,3.891B,3.712B,3.486B,3.761B,4.304B,4.274B,4.071B,3.855B,4.501B,4.223B,4.248B,5.331B,5.089B,5.045B,6.108B,7.804B,5.387B,5.741B,4.44B,4.255B,4.27B,4.803B,4.626B,4.864B,4.497B,4.995B,5.76B,4.784B,4.362B,3.28B,3.168B,1.951B,1.666B,1.542B,1.098B,1.385B,1.719B,1.401B,1.267B,1.046B,1.175B,1.807B,2.013B,1.784B,1.768B,1.875B,1.389B,1.174B,804.00M,771.80M,896.10M,1.102B,829.20M,714.00M,965.40M,588.10M,602.80M,752.60M,597.60M,481.10M,531.70M,666.20M,536.60M,470.60M,469.00M,443.50M,484.40M,338.90M,288.90M,291.60M,284.80M,477.60M,321.40M,329.60M,,,,710.10M,,,797.20M,1.046B,810.20M,911.50M,1.046B,1.442B,,,,480.20M,,,,,
Current Tax Payable,97.00M,104.00M,95.00M,89.00M,81.00M,96.00M,49.00M,82.00M,83.00M,101.00M,63.00M,102.00M,97.00M,60.00M,91.00M,93.00M,88.00M,79.00M,313.00M,290.00M,294.00M,282.00M,278.00M,578.00M,520.00M,385.00M,358.00M,751.00M,960.00M,779.00M,700.00M,1.178B,812.00M,818.00M,849.00M,913.00M,726.00M,537.00M,486.00M,627.00M,525.00M,403.00M,468.00M,604.00M,637.00M,,,,,,,,432.00M,,706.00M,505.00M,397.00M,483.00M,466.00M,,447.00M,,,,199.00M,,,,306.00M,,,,414.00M,,,,440.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Payables,508.00M,500.00M,448.00M,488.00M,576.00M,479.00M,412.00M,457.00M,518.00M,522.00M,567.00M,667.00M,530.00M,518.00M,616.00M,439.00M,545.00M,616.00M,929.00M,971.00M,1.002B,1.994B,1.807B,2.645B,2.629B,838.00M,923.00M,1.322B,3.769B,3.322B,3.407B,5.069B,4.524B,4.304B,4.61B,5.217B,5.00B,4.608B,4.341B,5.128B,4.748B,4.651B,5.799B,5.693B,5.682B,6.108B,7.804B,5.387B,5.741B,4.44B,4.255B,4.27B,5.235B,4.626B,5.57B,5.002B,5.392B,6.243B,5.25B,4.362B,3.727B,3.168B,1.951B,1.666B,1.741B,1.098B,1.385B,1.719B,1.707B,1.267B,1.046B,1.175B,2.221B,2.013B,1.784B,1.768B,2.315B,1.389B,1.174B,804.00M,771.80M,896.10M,1.102B,829.20M,714.00M,965.40M,588.10M,602.80M,752.60M,597.60M,481.10M,531.70M,666.20M,536.60M,470.60M,469.00M,443.50M,484.40M,338.90M,288.90M,291.60M,284.80M,477.60M,321.40M,329.60M,,,,710.10M,,,797.20M,1.046B,810.20M,911.50M,1.046B,1.442B,,,,480.20M,,,,,
Accrued Expenses,1.803B,1.57B,1.541B,1.369B,1.56B,1.394B,1.446B,1.251B,1.337B,1.57B,1.43B,1.343B,1.609B,1.433B,1.421B,1.66B,1.997B,1.93B,2.495B,2.427B,3.781B,2.954B,3.063B,3.001B,3.551B,2.783B,2.792B,2.616B,3.287B,3.905B,3.378B,3.084B,3.524B,2.258B,2.151B,2.099B,2.567B,1.916B,1.956B,2.005B,1.954B,1.681B,1.679B,1.616B,1.905B,1.716B,2.03B,1.664B,1.638B,1.458B,1.332B,1.332B,1.477B,1.224B,1.146B,1.059B,1.029B,849.00M,828.00M,863.00M,920.00M,895.00M,699.00M,754.00M,855.00M,679.00M,735.00M,708.00M,830.00M,791.00M,785.00M,800.00M,1.115B,927.00M,866.00M,760.00M,1.158B,923.00M,1.002B,839.00M,621.30M,645.00M,557.40M,532.60M,,414.40M,445.40M,373.00M,,448.20M,429.90M,459.30M,501.40M,579.20M,561.50M,569.40M,,607.30M,586.50M,537.10M,533.60M,563.40M,530.40M,549.50M,,,,,,,,,,,,,,,,,,,,,,
Payables and Accrued Expenses,2.311B,2.07B,1.989B,1.857B,2.136B,1.873B,1.858B,1.708B,1.855B,2.092B,1.997B,2.01B,2.139B,1.951B,2.037B,2.099B,2.542B,2.546B,3.424B,3.398B,4.783B,4.948B,4.87B,5.646B,6.18B,3.621B,3.715B,3.938B,7.056B,7.227B,6.785B,8.153B,8.048B,6.562B,6.761B,7.316B,7.567B,6.524B,6.297B,7.133B,6.702B,6.332B,7.478B,7.309B,7.587B,7.824B,9.834B,7.051B,7.379B,5.898B,5.587B,5.602B,6.712B,5.85B,6.716B,6.061B,6.421B,7.092B,6.078B,5.225B,4.647B,4.063B,2.65B,2.42B,2.596B,1.777B,2.12B,2.427B,2.537B,2.058B,1.831B,1.975B,3.336B,2.94B,2.65B,2.528B,3.473B,2.312B,2.176B,1.643B,1.393B,1.541B,1.659B,1.362B,714.00M,1.380B,1.034B,975.80M,752.60M,1.046B,911.00M,991.00M,1.168B,1.116B,1.032B,1.038B,443.50M,1.092B,925.40M,826.00M,825.20M,848.20M,1.008B,870.90M,329.60M,,,,710.10M,,,797.20M,1.046B,810.20M,911.50M,1.046B,1.442B,,,,480.20M,,,,,
Notes Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00M,3.00M,3.00M,9.00M,106.00M,59.00M,8.00M,2.00M,7.00M,2.00M,20.00M,28.00M,17.90M,33.80M,17.30M,32.50M,,37.00M,76.30M,3.60M,,54.50M,155.00M,,18.00M,,12.80M,21.40M,,130.00M,11.80M,5.90M,63.70M,16.00M,3.00M,28.00M,,,,,,,,,,,,,,,,,,,,,,
Other Current Borrowings,,15.00M,14.00M,12.00M,67.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.00M,15.00M,14.00M,90.00M,276.00M,275.00M,274.00M,276.00M,58.00M,57.00M,55.00M,5.00M,5.10M,31.60M,32.30M,44.40M,,139.70M,139.70M,214.70M,,159.70M,189.70M,,189.70M,,84.70M,84.70M,,104.00M,136.70M,129.80M,121.80M,179.20M,151.60M,96.00M,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,,15.00M,14.00M,12.00M,67.00M,85.00M,87.00M,196.00M,580.00M,122.00M,121.00M,116.00M,112.00M,666.00M,102.00M,94.00M,86.00M,78.00M,69.00M,69.00M,68.00M,67.00M,124.00M,142.00M,378.00M,791.00M,354.00M,1.904B,787.00M,621.00M,299.00M,38.00M,52.00M,44.00M,35.00M,35.00M,46.00M,43.00M,33.00M,32.00M,148.00M,136.00M,135.00M,135.00M,143.00M,39.00M,68.00M,64.00M,62.00M,46.00M,30.00M,30.00M,27.00M,29.00M,95.00M,107.00M,26.00M,78.00M,25.00M,50.00M,50.00M,50.00M,104.00M,73.00M,73.00M,189.00M,15.00M,15.00M,16.00M,18.00M,17.00M,99.00M,382.00M,334.00M,282.00M,278.00M,65.00M,59.00M,75.00M,33.00M,23.00M,65.40M,49.60M,76.90M,176.00M,176.70M,216.00M,218.30M,102.50M,214.20M,344.70M,189.70M,207.70M,114.70M,97.50M,106.10M,194.70M,234.00M,148.50M,135.70M,185.50M,195.20M,154.60M,124.00M,264.20M,,,,148.40M,,,107.50M,160.00M,154.10M,91.50M,132.20M,393.30M,,,,348.70M,358.30M,567.10M,180.50M,266.40M,521.80M
Current Capital Lease Obligation,199.00M,259.00M,329.00M,402.00M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Debt & Capital Lease Obligation,199.00M,274.00M,343.00M,414.00M,67.00M,85.00M,87.00M,196.00M,580.00M,122.00M,121.00M,116.00M,112.00M,666.00M,102.00M,94.00M,86.00M,78.00M,69.00M,69.00M,68.00M,67.00M,124.00M,142.00M,378.00M,791.00M,354.00M,1.904B,787.00M,621.00M,299.00M,38.00M,52.00M,44.00M,35.00M,35.00M,46.00M,43.00M,33.00M,32.00M,148.00M,136.00M,135.00M,135.00M,143.00M,39.00M,68.00M,64.00M,62.00M,46.00M,30.00M,30.00M,27.00M,29.00M,95.00M,107.00M,26.00M,78.00M,25.00M,50.00M,50.00M,50.00M,104.00M,73.00M,73.00M,189.00M,15.00M,15.00M,16.00M,18.00M,17.00M,99.00M,382.00M,334.00M,282.00M,278.00M,65.00M,59.00M,75.00M,33.00M,23.00M,65.40M,49.60M,76.90M,176.00M,176.70M,216.00M,218.30M,102.50M,214.20M,344.70M,189.70M,207.70M,114.70M,97.50M,106.10M,194.70M,234.00M,148.50M,135.70M,185.50M,195.20M,154.60M,124.00M,264.20M,,,,148.40M,,,107.50M,160.00M,154.10M,91.50M,132.20M,393.30M,,,,348.70M,358.30M,567.10M,180.50M,266.40M,521.80M
Current Deferred Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.80M,86.80M,174.70M,209.00M,,177.00M,71.20M,123.20M,,2.00M,2.00M,50.40M,103.00M,14.60M,60.80M,105.40M,,,,,21.70M,20.60M,49.80M,76.50M,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.80M,86.80M,174.70M,209.00M,,177.00M,71.20M,123.20M,,2.00M,2.00M,50.40M,103.00M,14.60M,60.80M,105.40M,,,,,21.70M,20.60M,49.80M,76.50M,,,,,,,,,,,,,,,,,,,,,,
Other Current Liability,,,,,,,,,,,,,,,,,,,,,,,263.00M,193.00M,,2.511B,2.664B,3.064B,539.00M,,,,,,,,,,,,,,,,,897.00M,1.335B,831.00M,583.00M,458.00M,601.00M,553.00M,,508.00M,,,,,,535.00M,,455.00M,416.00M,241.00M,,209.00M,408.00M,344.00M,,304.00M,370.00M,376.00M,,497.00M,477.00M,534.00M,,329.00M,327.00M,291.00M,159.00M,173.60M,151.10M,152.20M,907.00M,254.00M,150.50M,185.70M,884.80M,308.80M,314.70M,340.40M,258.70M,277.60M,292.10M,228.20M,966.40M,202.90M,193.50M,163.10M,169.00M,154.10M,135.00M,142.20M,849.30M,,,,658.40M,,,515.80M,644.50M,652.00M,686.60M,688.70M,841.30M,,,,628.90M,926.80M,906.70M,790.20M,1.454B,1.142B
Total Current Liabilities,2.51B,2.344B,2.332B,2.271B,2.203B,1.958B,1.945B,1.904B,2.435B,2.214B,2.118B,2.126B,2.251B,2.617B,2.139B,2.193B,2.628B,2.624B,3.493B,3.467B,4.851B,5.015B,5.257B,5.981B,6.558B,6.923B,6.733B,8.906B,8.382B,7.848B,7.084B,8.191B,8.10B,6.606B,6.796B,7.351B,7.613B,6.567B,6.33B,7.165B,6.85B,6.468B,7.613B,7.444B,7.73B,8.76B,11.24B,7.946B,8.024B,6.402B,6.218B,6.185B,6.739B,6.387B,6.811B,6.168B,6.447B,7.17B,6.103B,5.81B,4.697B,4.568B,3.17B,2.734B,2.669B,2.175B,2.543B,2.786B,2.553B,2.38B,2.218B,2.45B,3.718B,3.771B,3.409B,3.34B,3.538B,2.70B,2.578B,1.967B,1.579B,1.867B,2.035B,1.800B,1.797B,1.988B,1.471B,1.503B,1.740B,1.571B,1.572B,1.572B,1.737B,1.523B,1.482B,1.478B,1.605B,1.529B,1.267B,1.125B,1.201B,1.218B,1.347B,1.214B,1.443B,1.373B,1.153B,1.302B,1.517B,1.565B,1.565B,1.420B,1.851B,1.616B,1.690B,1.867B,2.677B,1.976B,1.029B,1.197B,1.458B,1.285B,1.474B,970.70M,1.721B,1.663B
Long Term Provisions - Legal & Other,897.00M,850.00M,738.00M,745.00M,741.00M,772.00M,773.00M,774.00M,753.00M,1.846B,1.919B,1.943B,1.912B,2.098B,2.238B,2.175B,2.158B,2.161B,2.011B,2.086B,2.281B,2.313B,2.117B,2.198B,2.249B,2.277B,1.971B,1.994B,2.212B,2.295B,1.781B,1.823B,1.844B,1.881B,1.218B,1.228B,1.203B,1.336B,1.043B,1.015B,1.234B,1.22B,1.249B,1.158B,1.164B,,,,,,,,824.00M,,866.00M,632.00M,564.00M,564.00M,561.00M,,511.00M,,,,462.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of Long Term Debt,7.142B,6.526B,6.511B,6.55B,6.605B,6.609B,6.352B,6.372B,6.397B,6.592B,6.612B,6.669B,6.694B,6.671B,6.45B,6.498B,6.506B,6.474B,5.888B,5.911B,5.919B,5.929B,5.953B,5.434B,5.42B,5.418B,5.446B,5.472B,7.324B,7.22B,7.546B,6.94B,6.005B,5.548B,5.506B,5.517B,5.537B,5.541B,4.293B,4.303B,4.319B,4.243B,4.178B,4.193B,3.812B,3.893B,3.877B,3.896B,3.918B,3.939B,3.961B,4.111B,3.745B,3.746B,3.679B,3.668B,3.759B,3.709B,3.761B,3.776B,3.785B,3.786B,3.785B,3.855B,3.868B,4.301B,4.627B,4.834B,4.976B,5.065B,5.285B,5.456B,5.283B,5.162B,1.998B,1.764B,1.985B,1.94B,2.039B,2.008B,2.287B,2.336B,2.647B,2.609B,2.476B,2.488B,2.132B,1.935B,2.003B,1.780B,1.533B,1.505B,1.661B,1.692B,1.524B,2.640B,2.587B,2.793B,2.874B,3.009B,3.154B,3.228B,3.172B,3.277B,3.515B,3.654B,3.532B,3.184B,3.141B,3.039B,2.77B,3.068B,3.023B,2.834B,2.327B,2.089B,2.532B,2.392B,2.376B,2.265B,2.348B,1.314B,1.064B,1.348B,1.674B,1.852B
Long Term Cap Lease Obligation,591.00M,614.00M,641.00M,686.00M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.50M,15.70M,27.90M,,37.90M,,48.70M,50.80M,,55.50M,,,74.00M,74.50M,83.60M,80.90M,90.20M,87.70M,91.20M,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of LTD and Capital Lease Obligation,7.733B,7.14B,7.152B,7.236B,6.605B,6.609B,6.352B,6.372B,6.397B,6.592B,6.612B,6.669B,6.694B,6.671B,6.45B,6.498B,6.506B,6.474B,5.888B,5.911B,5.919B,5.929B,5.953B,5.434B,5.42B,5.418B,5.446B,5.472B,7.324B,7.22B,7.546B,6.94B,6.005B,5.548B,5.506B,5.517B,5.537B,5.541B,4.293B,4.303B,4.319B,4.243B,4.178B,4.193B,3.812B,3.893B,3.877B,3.896B,3.918B,3.939B,3.961B,4.111B,3.745B,3.746B,3.679B,3.668B,3.759B,3.709B,3.761B,3.776B,3.785B,3.786B,3.785B,3.855B,3.868B,4.301B,4.627B,4.834B,4.976B,5.065B,5.285B,5.456B,5.283B,5.162B,1.998B,1.764B,1.985B,1.94B,2.039B,2.008B,2.287B,2.336B,2.647B,2.609B,2.476B,2.513B,2.148B,1.963B,2.003B,1.818B,1.533B,1.553B,1.712B,1.692B,1.579B,2.640B,2.587B,2.867B,2.948B,3.093B,3.235B,3.318B,3.260B,3.368B,3.515B,3.654B,3.532B,3.184B,3.141B,3.039B,2.77B,3.068B,3.023B,2.834B,2.327B,2.089B,2.532B,2.392B,2.376B,2.265B,2.348B,1.314B,1.064B,1.348B,1.674B,1.852B
Long Term Deferred Tax Liabilities,415.00M,411.00M,418.00M,420.00M,421.00M,425.00M,424.00M,425.00M,429.00M,584.00M,1.115B,1.125B,1.144B,1.214B,1.227B,1.32B,1.334B,1.618B,1.825B,1.794B,1.838B,2.316B,2.416B,2.469B,2.292B,2.257B,2.106B,2.21B,2.662B,2.696B,2.654B,2.908B,2.843B,3.157B,3.369B,3.21B,2.995B,3.059B,2.079B,2.171B,2.222B,2.259B,2.235B,2.286B,2.241B,2.503B,2.463B,2.423B,2.362B,2.31B,2.169B,2.083B,2.116B,2.103B,2.011B,1.925B,1.401B,1.338B,1.233B,1.227B,1.184B,1.146B,1.089B,1.10B,1.144B,1.083B,957.00M,965.00M,1.044B,1.196B,1.137B,1.109B,1.111B,1.117B,485.00M,490.00M,510.00M,516.00M,468.00M,433.00M,442.20M,406.10M,366.90M,412.20M,484.00M,581.90M,567.90M,551.90M,562.40M,577.50M,586.30M,593.10M,616.90M,560.70M,,596.90M,602.80M,627.90M,594.60M,578.00M,547.50M,544.30M,519.00M,481.50M,462.30M,,,,517.80M,,,605.90M,635.20M,633.90M,588.20M,652.50M,560.00M,,,,397.10M,385.40M,356.10M,255.50M,186.30M,194.90M
Non-Current Deferred Liabilities,415.00M,411.00M,418.00M,420.00M,421.00M,425.00M,424.00M,425.00M,429.00M,584.00M,1.115B,1.125B,1.144B,1.214B,1.227B,1.32B,1.334B,1.618B,1.825B,1.794B,1.838B,2.316B,2.416B,2.469B,2.292B,2.257B,2.106B,2.21B,2.662B,2.696B,2.654B,2.908B,2.843B,3.157B,3.369B,3.21B,2.995B,3.059B,2.079B,2.171B,2.222B,2.259B,2.235B,2.286B,2.241B,2.503B,2.463B,2.423B,2.362B,2.31B,2.169B,2.083B,2.116B,2.103B,2.011B,1.925B,1.401B,1.338B,1.233B,1.227B,1.184B,1.146B,1.089B,1.10B,1.144B,1.083B,957.00M,965.00M,1.044B,1.196B,1.137B,1.109B,1.111B,1.117B,485.00M,490.00M,510.00M,516.00M,468.00M,433.00M,442.20M,406.10M,366.90M,412.20M,484.00M,581.90M,567.90M,551.90M,562.40M,577.50M,586.30M,593.10M,616.90M,560.70M,,596.90M,602.80M,627.90M,594.60M,578.00M,547.50M,544.30M,519.00M,481.50M,462.30M,,,,517.80M,,,605.90M,635.20M,633.90M,588.20M,652.50M,560.00M,,,,397.10M,385.40M,356.10M,255.50M,186.30M,194.90M
Minority Interest Ownership,974.00M,1.269B,1.237B,1.211B,1.259B,1.396B,1.364B,1.332B,1.303B,1.296B,1.298B,1.085B,1.057B,1.077B,1.055B,1.036B,1.015B,1.032B,0.00,0.00,115.00M,116.00M,97.00M,98.00M,64.00M,73.00M,76.00M,107.00M,113.00M,110.00M,72.00M,94.00M,76.00M,81.00M,128.00M,168.00M,120.00M,98.00M,165.00M,172.00M,144.00M,133.00M,119.00M,111.00M,84.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Liabilities,521.00M,709.00M,524.00M,491.00M,575.00M,657.00M,634.00M,660.00M,744.00M,936.00M,956.00M,1.004B,1.029B,944.00M,1.006B,988.00M,1.13B,1.216B,1.238B,1.176B,1.198B,1.037B,974.00M,1.10B,1.451B,1.179B,1.199B,1.272B,1.658B,1.501B,1.59B,1.628B,1.752B,1.233B,1.198B,1.214B,1.239B,1.154B,1.225B,1.268B,1.312B,1.24B,1.263B,1.221B,1.251B,2.191B,2.06B,1.993B,2.053B,1.776B,1.802B,1.735B,871.00M,1.661B,719.00M,733.00M,658.00M,550.00M,534.00M,1.077B,538.00M,974.00M,935.00M,938.00M,500.00M,938.00M,900.00M,992.00M,440.00M,303.00M,273.00M,345.00M,350.00M,421.00M,351.00M,366.00M,358.00M,370.00M,387.00M,376.00M,381.70M,403.40M,389.00M,459.60M,483.00M,456.40M,459.10M,459.10M,413.60M,381.30M,350.30M,341.90M,335.20M,326.50M,863.80M,316.60M,301.20M,260.70M,249.80M,254.20M,254.30M,228.90M,231.90M,229.80M,192.40M,661.50M,700.60M,693.90M,158.50M,782.00M,841.20M,142.70M,200.70M,156.00M,122.10M,117.40M,182.00M,659.40M,557.60M,519.10M,103.40M,172.30M,252.10M,289.90M,378.20M,69.20M
Total Long Term Liabilities,9.566B,9.11B,8.832B,8.892B,8.342B,8.463B,8.183B,8.231B,8.323B,9.958B,10.60B,10.74B,10.78B,10.93B,10.92B,10.98B,11.13B,11.47B,10.96B,10.97B,11.24B,11.60B,11.46B,11.20B,11.41B,11.13B,10.72B,10.95B,13.86B,13.71B,13.57B,13.30B,12.44B,11.82B,11.29B,11.17B,10.97B,11.09B,8.64B,8.757B,9.087B,8.962B,8.925B,8.858B,8.468B,8.587B,8.40B,8.312B,8.333B,8.025B,7.932B,7.929B,7.556B,7.51B,7.275B,6.958B,6.382B,6.161B,6.089B,6.08B,6.018B,5.906B,5.809B,5.893B,5.974B,6.322B,6.484B,6.791B,6.46B,6.564B,6.695B,6.91B,6.744B,6.70B,2.834B,2.62B,2.853B,2.826B,2.894B,2.817B,3.111B,3.145B,3.403B,3.481B,3.443B,3.551B,3.175B,2.974B,2.979B,2.777B,2.469B,2.488B,2.664B,2.580B,2.443B,3.553B,3.491B,3.756B,3.793B,3.925B,4.037B,4.091B,4.011B,4.080B,4.170B,4.315B,4.233B,3.878B,3.817B,3.821B,3.611B,3.816B,3.859B,3.624B,3.037B,2.859B,3.274B,3.051B,2.934B,2.784B,2.849B,1.872B,1.672B,1.893B,2.238B,2.116B
Total Liabilities,12.08B,11.45B,11.16B,11.16B,10.54B,10.42B,10.13B,10.14B,10.76B,12.17B,12.72B,12.87B,13.03B,13.54B,13.06B,13.17B,13.76B,14.09B,14.46B,14.43B,16.09B,16.61B,16.72B,17.18B,17.97B,18.05B,17.46B,19.85B,22.24B,21.56B,20.66B,21.49B,20.54B,18.42B,18.09B,18.52B,18.59B,17.66B,14.97B,15.92B,15.94B,15.43B,16.54B,16.30B,16.20B,17.35B,19.64B,16.26B,16.36B,14.43B,14.15B,14.11B,14.30B,13.90B,14.09B,13.13B,12.83B,13.33B,12.19B,11.89B,10.72B,10.47B,8.979B,8.627B,8.643B,8.497B,9.027B,9.577B,9.013B,8.944B,8.913B,9.36B,10.46B,10.47B,6.243B,5.96B,6.391B,5.526B,5.472B,4.784B,4.690B,5.012B,5.437B,5.281B,5.24B,5.539B,4.646B,4.477B,4.719B,4.348B,4.042B,4.060B,4.401B,4.102B,3.925B,5.031B,5.096B,5.285B,5.06B,5.050B,5.238B,5.309B,5.358B,5.293B,5.613B,5.689B,5.386B,5.180B,5.334B,5.386B,5.176B,5.237B,5.709B,5.241B,4.727B,4.726B,5.951B,5.027B,3.963B,3.981B,4.307B,3.157B,3.146B,2.864B,3.959B,3.780B
Total Capital Stock,305.00M,305.00M,304.00M,304.00M,292.00M,297.00M,301.00M,309.00M,316.00M,319.00M,319.00M,319.00M,318.00M,318.00M,318.00M,318.00M,286.00M,286.00M,287.00M,287.00M,286.00M,299.00M,308.00M,314.00M,325.00M,338.00M,343.00M,343.00M,342.00M,342.00M,342.00M,342.00M,340.00M,340.00M,340.00M,340.00M,338.00M,328.00M,328.00M,328.00M,327.00M,327.00M,327.00M,327.00M,326.00M,326.00M,325.00M,323.00M,321.00M,319.00M,318.00M,317.00M,315.00M,295.00M,295.00M,107.00M,293.00M,107.00M,107.00M,106.00M,106.00M,106.00M,105.00M,104.00M,104.00M,90.00M,90.00M,90.00M,89.00M,89.00M,89.00M,89.00M,89.00M,89.00M,90.00M,89.00M,89.00M,89.00M,90.00M,91.00M,90.70M,90.70M,90.60M,90.40M,,90.40M,91.00M,91.40M,,91.70M,91.70M,92.80M,93.10M,93.10M,93.10M,93.00M,,93.00M,93.00M,93.00M,93.00M,93.00M,93.00M,93.00M,,,,,,,,,,,,,,,,,,,,,,
Retained Earnings,3.535B,3.836B,4.125B,4.207B,4.257B,4.41B,4.692B,5.166B,5.597B,8.438B,9.153B,9.692B,10.15B,15.13B,15.56B,16.04B,16.64B,18.53B,18.92B,19.58B,20.05B,21.02B,20.88B,20.69B,21.24B,20.28B,20.37B,18.96B,17.72B,17.38B,16.85B,16.34B,15.83B,15.99B,15.72B,15.15B,14.25B,14.23B,13.10B,12.76B,12.25B,11.93B,11.62B,11.55B,11.64B,11.75B,11.01B,10.14B,9.412B,8.933B,8.57B,8.046B,7.707B,7.351B,7.094B,6.57B,5.914B,5.502B,5.27B,5.01B,4.831B,4.642B,4.503B,4.253B,4.011B,3.975B,3.856B,3.631B,3.482B,3.88B,4.042B,3.921B,3.807B,3.78B,3.691B,3.374B,3.069B,2.769B,2.633B,2.489B,2.287B,2.170B,2.025B,1.961B,1.904B,2.336B,2.380B,2.434B,2.463B,2.571B,2.565B,2.592B,2.614B,2.515B,2.432B,2.069B,2.017B,2.306B,2.424B,2.478B,2.467B,2.472B,2.488B,2.519B,2.449B,2.597B,2.633B,2.792B,2.773B,2.757B,2.763B,2.782B,2.818B,2.881B,2.901B,2.845B,2.782B,2.554B,2.287B,2.371B,2.353B,1.965B,1.896B,1.885B,2.106B,2.458B
