Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Non-Current Portion of Long Term Debt,2.079B,2.015B,1.996B,1.970B,1.990B,1.853B,1.910B,1.784B,1.875B,1.772B,1.807B,1.819B,1.812B,1.844B,1.852B,1.908B,1.907B,1.875B,1.821B,1.819B,1.797B,1.781B,1.760B,1.738B,1.737B,1.662B,1.611B,1.616B,1.619B,1.430B,1.430B,1.283B,1.573B,1.340B,1.440B,1.440B,1.365B,1.365B,1.365B,1.365B,1.365B,1.365B,1.215B,1.651B,1.212B,1.894B,1.841B,1.202B,1.242B,1.230B,1.231B,1.225B,1.133B,1.133B,1.033B,1.133B,1.143B,1.173B,1.168B,1.169B,1.167B,1.167B,1.167B,1.390B,1.064B,1.064B,1.063B,1.189B,1.106B,1.084B,1.089B,1.137B,1.146B,1.167B,1.164B,1.063B,667.73M,1.080B,1.077B,983.88M,977.50M,978.70M,995.30M,903.20M,899.60M,920.70M,918.90M,858.00M,794.60M,803.70M,802.70M,801.90M,810.10M,822.50M,818.40M,753.50M,758.50M,753.30M,753.10M,742.70M,718.20M,713.70M,661.90M,647.40M
Long Term Cap Lease Obligation,199.57M,213.17M,225.86M,241.34M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of LTD and Capital Lease Obligation,2.279B,2.228B,2.221B,2.212B,1.990B,1.853B,1.910B,1.784B,1.875B,1.772B,1.807B,1.819B,1.812B,1.844B,1.852B,1.908B,1.907B,1.875B,1.821B,1.819B,1.797B,1.781B,1.760B,1.738B,1.737B,1.662B,1.611B,1.616B,1.619B,1.430B,1.430B,1.283B,1.573B,1.340B,1.440B,1.440B,1.365B,1.365B,1.365B,1.365B,1.365B,1.365B,1.215B,1.651B,1.212B,1.894B,1.841B,1.202B,1.242B,1.230B,1.231B,1.225B,1.133B,1.133B,1.033B,1.133B,1.143B,1.173B,1.168B,1.169B,1.167B,1.167B,1.167B,1.390B,1.064B,1.064B,1.063B,1.189B,1.106B,1.084B,1.089B,1.137B,1.146B,1.167B,1.164B,1.063B,667.73M,1.080B,1.077B,983.88M,977.50M,978.70M,995.30M,903.20M,899.60M,920.70M,918.90M,858.00M,794.60M,803.70M,802.70M,801.90M,810.10M,822.50M,818.40M,753.50M,758.50M,753.30M,753.10M,742.70M,718.20M,713.70M,661.90M,647.40M
Long Term Deferred Tax Liabilities,379.32M,393.14M,380.23M,375.33M,372.52M,385.65M,375.83M,381.48M,388.43M,756.81M,750.41M,740.51M,728.81M,721.47M,712.20M,700.78M,680.88M,643.95M,632.72M,640.78M,633.57M,585.43M,579.22M,538.32M,529.26M,493.66M,474.20M,459.25M,439.33M,438.89M,396.81M,375.51M,354.05M,342.23M,316.84M,291.47M,278.96M,253.28M,187.81M,189.51M,188.88M,162.45M,159.07M,146.75M,143.31M,176.26M,162.89M,154.99M,155.34M,95.46M,83.43M,96.37M,106.78M,197.80M,183.42M,195.87M,208.00M,234.34M,226.84M,214.96M,229.76M,233.96M,209.80M,233.61M,226.59M,219.56M,226.25M,230.69M,235.43M,229.04M,191.72M,183.44M,185.44M,194.31M,177.69M,139.58M,184.67M,186.00M,184.33M,180.97M,181.30M,182.00M,185.80M,186.00M,186.10M,189.10M,236.80M,235.50M,190.00M,239.70M,238.50M,238.40M,234.50M,234.60M,232.70M,231.20M,229.10M,224.70M,224.00M,221.70M,218.90M,219.90M,217.00M,218.20M
Non-Current Deferred Liabilities,379.32M,393.14M,380.23M,375.33M,372.52M,385.65M,375.83M,381.48M,388.43M,756.81M,750.41M,740.51M,728.81M,721.47M,712.20M,700.78M,680.88M,643.95M,632.72M,640.78M,633.57M,585.43M,579.22M,538.32M,529.26M,493.66M,474.20M,459.25M,439.33M,438.89M,396.81M,375.51M,354.05M,342.23M,316.84M,291.47M,278.96M,253.28M,187.81M,189.51M,188.88M,162.45M,159.07M,146.75M,143.31M,176.26M,162.89M,154.99M,155.34M,95.46M,83.43M,96.37M,106.78M,197.80M,183.42M,195.87M,208.00M,234.34M,226.84M,214.96M,229.76M,233.96M,209.80M,233.61M,226.59M,219.56M,226.25M,230.69M,235.43M,229.04M,191.72M,183.44M,185.44M,194.31M,177.69M,139.58M,47.60M,186.00M,184.33M,180.97M,181.30M,182.00M,185.80M,186.00M,186.10M,189.10M,51.60M,50.70M,190.00M,49.70M,49.50M,49.20M,48.90M,48.20M,48.00M,47.50M,47.00M,47.60M,47.20M,46.60M,46.00M,45.40M,45.20M,44.80M
Pension Liability,513.29M,534.67M,538.75M,538.10M,538.38M,496.75M,494.54M,502.30M,509.51M,620.79M,626.80M,632.96M,638.85M,572.93M,578.65M,584.49M,589.92M,607.68M,615.94M,624.56M,632.84M,274.91M,278.43M,284.04M,288.54M,630.90M,639.90M,643.10M,656.39M,497.39M,497.69M,513.19M,530.41M,,,,376.99M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minority Interest Ownership,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.29M,34.29M,34.29M,34.29M,34.29M,34.29M,34.29M,34.29M,34.29M,34.29M,,34.29M,34.29M,34.29M,,34.29M,,,,,,,,,,,,,,,,,,1.081M,0.815M,,0.851M,0.918M,0.876M,0.80M,3.50M,3.60M,3.60M,3.60M,,,,,,,,,,,,,,,,,,,
Preferred Securities out of Shareholders Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.29M,34.29M,34.29M,,34.29M,34.29M,34.29M,34.29M,34.29M,34.29M,34.29M,34.29M,,,,,,,,,,,34.29M,,,,34.29M,,34.29M,34.29M,34.40M,34.40M,34.41M,34.41M,34.41M,234.41M,234.41M,234.41M,234.41M,234.41M,234.41M,234.41M,234.41M,234.41M,234.41M,234.41M,234.41M,134.29M,234.41M,234.41M,234.41M,234.40M,234.30M,234.30M,234.30M,281.50M,231.50M,231.70M,231.70M,234.10M,234.40M,234.60M,234.60M,87.20M,87.50M,87.60M,87.60M,90.00M,91.40M,91.60M,91.70M,93.10M,94.40M,94.50M,94.60M
Other Long Term Liabilities,6.890B,6.771B,6.806B,6.759B,6.774B,6.711B,6.651B,6.589B,6.446B,6.812B,6.736B,6.675B,6.600B,6.430B,6.210B,6.109B,6.037B,5.813B,5.782B,5.716B,5.655B,5.516B,5.496B,5.426B,5.364B,5.283B,5.226B,5.234B,5.194B,895.49M,861.36M,834.86M,4.983B,1.151B,1.136B,1.091B,781.85M,1.067B,1.025B,1.002B,1.022B,1.141B,1.123B,1.116B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Long Term Liabilities,11.03B,10.89B,10.90B,10.84B,10.62B,10.38B,10.34B,10.15B,10.10B,10.43B,10.35B,10.29B,10.19B,9.969B,9.743B,9.686B,9.587B,9.302B,9.208B,9.152B,9.064B,8.515B,8.469B,8.337B,8.268B,8.408B,8.287B,8.278B,8.233B,3.615B,3.538B,3.357B,7.756B,3.181B,3.237B,3.161B,3.134B,3.009B,2.905B,2.888B,2.898B,2.950B,2.797B,3.209B,1.355B,2.071B,2.004B,1.357B,1.397B,1.325B,1.314B,1.356B,1.240B,1.331B,1.217B,1.363B,1.351B,1.442B,1.429B,1.418B,1.431B,1.435B,1.411B,1.658B,1.525B,1.518B,1.524B,1.654B,1.576B,1.547B,1.515B,1.554B,1.566B,1.595B,1.576B,1.437B,849.63M,1.501B,1.496B,1.399B,1.393B,1.395B,1.415B,1.324B,1.367B,1.341B,1.202B,1.140B,1.219B,1.088B,1.087B,1.086B,946.20M,958.20M,954.00M,888.60M,895.50M,892.30M,891.90M,881.00M,857.30M,853.50M,801.60M,786.80M
Total Liabilities,11.46B,11.28B,11.33B,11.18B,10.94B,10.78B,10.78B,10.61B,10.44B,10.64B,10.62B,10.48B,10.36B,10.13B,10.01B,9.928B,9.854B,9.652B,9.541B,9.376B,9.395B,8.869B,8.856B,8.712B,8.613B,8.774B,8.613B,8.691B,8.555B,8.298B,8.246B,8.079B,8.066B,7.727B,7.729B,7.631B,7.602B,7.416B,7.414B,7.439B,7.483B,7.549B,7.573B,7.522B,7.871B,7.886B,7.851B,8.984B,8.984B,8.866B,8.815B,8.826B,8.762B,8.638B,8.781B,8.768B,8.701B,8.762B,8.591B,8.527B,8.508B,8.249B,8.104B,8.191B,8.112B,7.960B,7.942B,7.975B,7.887B,7.727B,7.686B,7.620B,7.588B,7.736B,7.651B,7.659B,1.568B,7.640B,7.675B,7.598B,7.443B,7.402B,7.280B,7.206B,7.369B,7.293B,7.339B,7.104B,7.132B,5.435B,5.235B,5.222B,5.163B,5.141B,5.017B,4.873B,4.874B,4.748B,4.652B,4.559B,4.492B,4.278B,4.209B,4.024B
Total Capital Stock,1.678B,1.676B,1.674B,1.670B,1.669B,1.667B,1.666B,1.663B,1.662B,1.661B,1.660B,1.658B,1.661B,1.657B,1.647B,1.636B,1.629B,1.627B,1.627B,1.625B,1.521B,1.519B,1.493B,1.491B,1.488B,1.444B,1.429B,1.414B,1.403B,0.00,0.00,0.00,1.349B,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.232B,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.020B,0.00,1.018B,1.017B,1.012B,1.010B,1.008B,1.004B,1.002B,888.43M,876.80M,864.04M,849.22M,839.50M,831.59M,817.21M,805.60M,787.37M,723.64M,715.20M,705.12M,85.39M,680.81M,676.82M,667.96M,665.30M,665.30M,664.40M,663.50M,661.70M,659.50M,659.40M,658.90M,654.80M,647.10M,636.90M,628.30M,623.00M,614.40M,605.80M,595.70M,585.40M,574.40M,566.00M,556.00M,546.30M,538.50M,531.00M,522.90M
Retained Earnings,622.04M,590.65M,562.10M,554.45M,543.62M,527.80M,495.66M,483.34M,476.84M,470.75M,444.40M,439.45M,438.97M,427.99M,334.40M,323.75M,324.77M,315.76M,298.40M,296.68M,296.65M,296.15M,280.13M,270.17M,255.69M,247.57M,230.07M,220.05M,216.80M,233.22M,215.63M,210.04M,198.40M,197.16M,178.51M,180.96M,181.91M,186.42M,183.02M,182.65M,184.21M,199.12M,194.02M,203.12M,210.84M,223.29M,212.28M,233.21M,225.17M,210.34M,216.06M,223.95M,242.67M,251.77M,244.64M,242.60M,235.39M,222.97M,210.57M,208.07M,209.00M,209.17M,191.46M,205.14M,197.77M,183.74M,176.45M,177.59M,176.12M,171.30M,161.10M,152.54M,147.84M,145.62M,159.37M,154.53M,443.97M,192.06M,190.22M,191.20M,182.30M,170.50M,168.90M,166.10M,165.30M,164.00M,164.80M,162.30M,159.90M,156.40M,151.50M,150.70M,149.90M,147.60M,148.50M,145.20M,144.20M,146.30M,138.50M,136.70M,135.80M,131.70M,125.40M,124.00M
Additional Paid In Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.390B,1.377B,1.363B,,1.347B,1.344B,1.330B,1.314B,1.302B,1.289B,1.277B,1.265B,1.255B,1.247B,1.245B,,1.111B,1.100B,1.084B,1.072B,1.061B,1.049B,1.036B,1.028B,1.025B,1.024B,,1.019B,,,,,,,,,,,,,,,,,,,,295.66M,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unrealized Gain or Loss - Total,2.481M,,,,-24.42M,,,,-14.95M,,,,-7.931M,,,,-1.872M,,,,0.462M,,,-2.858M,-3.663M,-0.701M,0.888M,9.933M,10.76M,,,,9.886M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Pension Liabilities,-20.91M,,,,-25.75M,,,,-26.99M,,,,-24.74M,,,,-24.34M,,,,-27.55M,,,-12.26M,-12.56M,-34.40M,-35.04M,-35.72M,-36.42M,,,,-28.03M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Equity Adjustments,-1.613M,,,,-0.436M,,,,,,,,-0.454M,,,,-0.054M,,,,-0.289M,,,-0.466M,-0.525M,-0.583M,-0.642M,-0.701M,-0.76M,,,,-0.996M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accrued Comprehensive Inc,-20.04M,-24.37M,-27.67M,-41.37M,-50.61M,-63.13M,-58.54M,-54.71M,-41.94M,-29.22M,-29.77M,-32.14M,-33.13M,-17.02M,-15.35M,-17.46M,-26.26M,-22.02M,-26.45M,-23.32M,-27.38M,-13.99M,-12.68M,-15.58M,-16.75M,-35.69M,-34.79M,-26.48M,-26.42M,-15.69M,-17.28M,-18.83M,-19.14M,-6.662M,-9.843M,-14.31M,-12.47M,-8.482M,-5.853M,-6.536M,-7.722M,-32.10M,-39.10M,-44.07M,-53.02M,-13.73M,-15.38M,-13.47M,-21.84M,-141.11M,-156.23M,-163.63M,-175.53M,-39.07M,-63.07M,-51.24M,-37.73M,-27.78M,-11.76M,-36.80M,-8.143M,-4.677M,-25.79M,20.41M,2.826M,6.861M,20.70M,25.85M,30.68M,33.36M,19.67M,-9.088M,-5.546M,12.83M,-5.954M,-14.46M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholders Equity,2.280B,2.243B,2.209B,2.184B,2.162B,2.132B,2.103B,2.092B,2.097B,2.103B,2.075B,2.066B,2.067B,2.068B,1.966B,1.942B,1.928B,1.921B,1.899B,1.898B,1.791B,1.801B,1.761B,1.746B,1.727B,1.655B,1.625B,1.607B,1.594B,1.607B,1.576B,1.554B,1.529B,1.538B,1.512B,1.497B,1.484B,1.480B,1.467B,1.453B,1.442B,1.422B,1.402B,1.404B,1.389B,1.321B,1.297B,1.304B,1.275B,1.130B,1.108B,1.097B,1.095B,1.238B,1.205B,1.212B,1.217B,1.213B,1.216B,1.183B,1.211B,1.212B,1.170B,1.228B,1.089B,1.067B,1.061B,1.053B,1.046B,1.036B,997.98M,949.05M,929.66M,882.08M,868.62M,845.20M,825.01M,872.87M,867.04M,859.16M,847.60M,835.80M,833.30M,829.50M,827.00M,823.50M,824.20M,821.20M,814.70M,803.40M,788.30M,779.00M,772.90M,761.90M,754.20M,740.80M,729.60M,720.70M,704.50M,692.70M,682.10M,670.30M,656.40M,646.90M
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
