Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1988-12,1987-12,1986-12,1985-12,1984-12
Payables and Accrued Expenses,43.41B,43.00B,44.09B,44.84B,39.88B,45.88B,41.95B,40.47B,39.84B,38.04B,33.76B,34.89B,33.81B,32.78B,36.53B,35.19B,35.21B,40.36B,43.96B,42.66B,47.16B,55.74B,59.58B,60.88B,55.92B,58.86B,60.83B,64.15B,60.49B,66.56B,63.43B,73.58B,69.79B,67.54B,70.17B,70.02B,59.85B,58.69B,54.88B,55.35B,49.58B,50.52B,49.46B,47.34B,46.70B,49.09B,60.26B,53.61B,55.93B,43.52B,41.25B,38.92B,31.14B,40.22B,39.30B,39.02B,36.12B,39.06B,36.18B,35.49B,31.76B,32.11B,30.18B,30.36B,28.44B,27.73B,26.53B,27.59B,18.42B,24.39B,24.14B,23.16B,22.86B,24.63B,25.31B,25.16B,26.76B,27.65B,27.22B,25.63B,13.52B,15.41B,13.73B,13.67B,10.92B,14.27B,13.28B,13.57B,14.68B,14.97B,13.69B,13.86B,14.51B,14.27B,13.33B,13.76B,14.11B,13.56B,13.75B,13.92B,13.39B,12.83B,12.73B,12.33B,12.12B,12.63B,12.25B,12.32B,12.64B,14.13B,13.70B,12.74B,14.08B,13.06B,12.56B,13.05B,15.61B,14.08B,12.48B,12.26B,13.58B,11.08B,,,,,
Notes Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.496B,6.704B,6.419B,,7.431B,4.365B,3.56B,564.00M,3.046B,2.946B,2.396B,2.476B,2.418B,2.157B,2.163B,2.40B,2.881B,2.31B,2.771B,,2.095B,2.033B,2.006B,,2.125B,1.964B,1.739B,1.771B,2.331B,3.015B,3.309B,3.28B,4.913B,4.746B,4.834B,4.789B,4.004B,4.327B,4.172B,2.857B,3.773B,3.702B,3.395B,,3.893B,3.89B,5.56B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial Paper Liability,18.56B,,,,12.86B,,,,13.05B,,,,10.73B,,,,17.97B,,,,16.22B,,,,14.05B,,,,1.963B,,,,2.281B,,,,1.346B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liability on Credit Line,316.00M,,,,325.00M,,,,115.00M,,,,143.00M,,,,231.00M,,,,473.00M,,,,723.00M,,,,663.00M,,,,1.237B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Borrowings,1.701B,,,,4.07B,,,,4.766B,,,,2.96B,,,,558.00M,,,,770.00M,,,,1.034B,,,,1.027B,,,,4.193B,,,,345.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.236B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,20.58B,21.20B,26.20B,21.79B,17.26B,19.41B,20.50B,19.84B,17.93B,15.74B,17.18B,18.48B,13.83B,17.24B,14.97B,13.54B,18.76B,14.47B,14.41B,13.28B,17.47B,10.24B,9.948B,9.223B,15.81B,13.89B,11.86B,5.937B,3.653B,3.496B,6.704B,6.419B,7.711B,7.431B,4.365B,3.56B,2.255B,3.046B,2.946B,2.396B,2.476B,2.418B,2.157B,2.163B,2.40B,2.881B,2.31B,2.771B,2.383B,2.095B,2.033B,2.006B,1.702B,2.125B,1.964B,1.739B,1.771B,2.331B,3.015B,3.309B,3.28B,4.913B,4.746B,4.834B,4.789B,4.004B,4.327B,4.172B,4.093B,3.773B,3.702B,3.395B,3.703B,3.893B,3.89B,5.56B,6.161B,6.713B,6.617B,7.37B,10.57B,4.82B,4.77B,3.837B,8.484B,2.639B,2.557B,2.753B,2.902B,2.647B,2.643B,2.617B,2.51B,2.466B,2.479B,2.433B,2.247B,2.55B,3.308B,3.581B,3.858B,4.195B,4.116B,3.863B,4.109B,4.385B,4.905B,4.365B,4.787B,4.084B,4.798B,4.053B,4.46B,4.25B,4.176B,4.922B,6.09B,7.117B,6.596B,6.913B,6.757B,7.784B,4.949B,2.864B,3.584B,3.089B,1.277B
Current Debt & Capital Lease Obligation,20.58B,21.20B,26.20B,21.79B,17.26B,19.41B,20.50B,19.84B,17.93B,15.74B,17.18B,18.48B,13.83B,17.24B,14.97B,13.54B,18.76B,14.47B,14.41B,13.28B,17.47B,10.24B,9.948B,9.223B,15.81B,13.89B,11.86B,5.937B,3.653B,3.496B,6.704B,6.419B,7.711B,7.431B,4.365B,3.56B,2.787B,3.046B,2.946B,2.396B,2.476B,2.418B,2.157B,2.163B,2.40B,2.881B,2.31B,2.771B,2.383B,2.095B,2.033B,2.006B,1.702B,2.125B,1.964B,1.739B,1.771B,2.331B,3.015B,3.309B,3.28B,4.913B,4.746B,4.834B,4.789B,4.004B,4.327B,4.172B,4.093B,3.773B,3.702B,3.395B,3.703B,3.893B,3.89B,5.56B,6.161B,6.713B,6.617B,7.37B,10.57B,4.82B,4.77B,3.837B,8.484B,2.639B,2.557B,2.753B,2.902B,2.647B,2.643B,2.617B,2.51B,2.466B,2.479B,2.433B,2.247B,2.55B,3.308B,3.581B,3.858B,4.195B,4.116B,3.863B,4.109B,4.385B,4.905B,4.365B,4.787B,4.084B,4.798B,4.053B,4.46B,4.25B,4.176B,4.922B,6.09B,7.117B,6.596B,6.913B,6.757B,7.784B,4.949B,2.864B,3.584B,3.089B,1.277B
Other Current Liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.66B,14.66B,14.60B,,10.30B,8.636B,9.661B,15.98B,12.45B,10.29B,10.68B,8.416B,9.489B,7.429B,8.959B,7.938B,7.175B,6.318B,6.765B,5.152B,6.906B,5.791B,5.888B,10.66B,4.892B,3.40B,3.624B,3.549B,6.04B,6.417B,6.637B,5.275B,5.416B,4.758B,4.22B,14.64B,1.349B,1.206B,1.365B,14.38B,1.857B,1.695B,2.25B,2.069B,2.637B,2.398B,2.652B,2.485B,2.959B,2.859B,3.012B,2.376B,2.477B,2.403B,2.459B,2.244B,2.226B,2.044B,2.225B,2.359B,2.451B,2.027B,2.362B,2.231B,2.086B,1.918B,2.205B,2.315B,2.037B,1.727B,2.022B,2.324B,2.09B,1.648B,1.818B,1.646B,1.47B,12.53B,12.43B,11.64B,16.00B,13.99B
Total Current Liabilities,63.99B,64.20B,70.29B,66.63B,57.14B,65.29B,62.45B,60.31B,57.77B,53.78B,50.95B,53.37B,47.64B,50.02B,51.50B,48.73B,53.98B,54.83B,58.37B,55.93B,64.63B,65.98B,69.53B,70.11B,71.72B,72.75B,72.69B,70.08B,64.14B,70.06B,70.14B,79.99B,77.50B,74.97B,74.53B,73.58B,62.63B,61.74B,57.82B,57.74B,52.06B,52.93B,51.61B,49.50B,49.10B,67.63B,77.23B,70.98B,58.31B,55.92B,51.92B,50.59B,48.82B,54.80B,51.55B,51.43B,46.31B,50.88B,46.63B,47.76B,42.98B,44.20B,41.25B,41.96B,38.39B,38.64B,36.65B,37.65B,33.18B,33.06B,31.24B,30.18B,30.11B,34.56B,35.61B,37.36B,38.19B,39.78B,38.59B,37.22B,38.73B,21.58B,19.71B,18.87B,33.78B,18.76B,17.53B,18.58B,19.65B,20.25B,18.73B,19.13B,19.50B,19.70B,18.67B,19.20B,18.74B,18.58B,19.46B,19.96B,19.49B,19.25B,18.89B,18.41B,18.59B,19.47B,19.18B,19.05B,19.66B,20.30B,20.42B,18.99B,20.85B,19.35B,18.46B,19.99B,24.02B,23.29B,20.73B,20.99B,21.98B,20.33B,17.48B,15.30B,15.22B,19.09B,15.26B
Non-Current Portion of Long Term Debt,24.67B,25.95B,19.00B,19.03B,19.24B,20.62B,20.72B,20.78B,23.08B,24.87B,24.75B,25.12B,27.71B,28.92B,29.50B,29.57B,18.69B,19.84B,19.43B,19.49B,11.28B,11.59B,11.82B,12.14B,6.516B,7.404B,7.496B,7.475B,7.497B,8.928B,8.877B,9.231B,9.062B,9.331B,12.12B,12.32B,12.23B,15.25B,17.49B,7.054B,7.129B,7.185B,7.117B,7.041B,7.025B,7.383B,7.327B,7.235B,7.183B,6.896B,6.757B,6.758B,6.425B,6.464B,6.393B,6.255B,6.22B,6.126B,6.071B,5.015B,5.013B,5.196B,5.084B,5.135B,4.756B,5.615B,5.811B,6.489B,6.655B,7.11B,7.607B,7.118B,7.099B,7.24B,7.289B,7.27B,7.28B,7.528B,8.009B,8.009B,8.402B,4.425B,4.497B,4.563B,8.532B,6.912B,6.927B,7.077B,7.05B,7.281B,7.041B,7.223B,7.236B,7.224B,7.566B,7.679B,7.778B,8.362B,8.55B,9.178B,8.831B,8.936B,8.754B,8.712B,8.506B,8.781B,8.692B,8.855B,8.637B,8.879B,8.485B,8.508B,8.582B,8.311B,7.974B,7.876B,7.687B,7.835B,8.32B,8.939B,9.275B,8.559B,4.689B,5.021B,4.294B,4.82B,5.105B
Long Term Cap Lease Obligation,1.67B,,,,1.303B,,,,1.327B,,,,1.225B,,,,1.238B,,,,375.00M,,,,375.00M,,,,431.00M,,,,260.00M,,,,,,,,,,,,,,,,,,,,220.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of LTD and Capital Lease Obligation,26.34B,25.95B,19.00B,19.03B,20.54B,20.62B,20.72B,20.78B,24.41B,24.87B,24.75B,25.12B,28.93B,28.92B,29.50B,29.57B,19.92B,19.84B,19.43B,19.49B,11.65B,11.59B,11.82B,12.14B,6.891B,7.404B,7.496B,7.475B,7.928B,8.928B,8.877B,9.231B,9.322B,9.331B,12.12B,12.32B,12.23B,15.25B,17.49B,7.054B,7.129B,7.185B,7.117B,7.041B,7.025B,7.383B,7.327B,7.235B,7.183B,6.896B,6.757B,6.758B,6.645B,6.464B,6.393B,6.255B,6.22B,6.126B,6.071B,5.015B,5.013B,5.196B,5.084B,5.135B,4.756B,5.615B,5.811B,6.489B,6.655B,7.11B,7.607B,7.118B,7.099B,7.24B,7.289B,7.27B,7.28B,7.528B,8.009B,8.009B,8.402B,4.425B,4.497B,4.563B,8.532B,6.912B,6.927B,7.077B,7.05B,7.281B,7.041B,7.223B,7.236B,7.224B,7.566B,7.679B,7.778B,8.362B,8.55B,9.178B,8.831B,8.936B,8.754B,8.712B,8.506B,8.781B,8.692B,8.855B,8.637B,8.879B,8.485B,8.508B,8.582B,8.311B,7.974B,7.876B,7.687B,7.835B,8.32B,8.939B,9.275B,8.559B,4.689B,5.021B,4.294B,4.82B,5.105B
Long Term Deferred Tax Liabilities,25.62B,26.51B,26.85B,27.29B,27.24B,27.08B,26.78B,26.76B,26.89B,34.43B,34.58B,34.77B,34.04B,34.86B,36.01B,36.29B,36.82B,38.21B,39.42B,38.94B,39.23B,41.13B,41.00B,40.78B,40.53B,39.51B,38.95B,38.71B,37.57B,37.64B,36.85B,36.29B,36.62B,36.89B,37.19B,36.12B,35.15B,35.30B,34.28B,23.66B,23.15B,23.24B,21.88B,20.06B,19.73B,23.26B,24.30B,24.01B,22.90B,22.33B,21.55B,21.01B,20.85B,21.02B,22.28B,21.90B,20.88B,20.52B,20.08B,20.73B,21.09B,19.66B,19.52B,19.98B,20.12B,17.72B,17.54B,17.25B,16.48B,16.57B,17.38B,16.16B,16.36B,16.14B,16.19B,16.36B,16.44B,,,,16.25B,,,,16.75B,,,,13.45B,,,,13.48B,,,,12.43B,,,,11.44B,,,,10.94B,,,,11.14B,,,,12.45B,,,,12.57B,,,,12.35B,,11.85B,11.86B,10.83B,11.04B,8.948B
Non-Current Deferred Liabilities,25.62B,26.51B,26.85B,27.29B,27.24B,27.08B,26.78B,26.76B,26.89B,34.43B,34.58B,34.77B,34.04B,34.86B,36.01B,36.29B,36.82B,38.21B,39.42B,38.94B,39.23B,41.13B,41.00B,40.78B,40.53B,39.51B,38.95B,38.71B,37.57B,37.64B,36.85B,36.29B,36.62B,36.89B,37.19B,36.12B,35.15B,35.30B,34.28B,23.66B,23.15B,23.24B,21.88B,20.06B,19.73B,23.26B,24.30B,24.01B,22.90B,22.33B,21.55B,21.01B,20.85B,21.02B,22.28B,21.90B,20.88B,20.52B,20.08B,20.73B,21.09B,19.66B,19.52B,19.98B,20.12B,17.72B,17.54B,17.25B,16.48B,16.57B,17.38B,16.16B,16.36B,16.14B,16.19B,16.36B,16.44B,,,,16.25B,,,,16.75B,,,,13.45B,,,,13.48B,,,,12.43B,,,,11.44B,,,,10.94B,,,,11.14B,,,,12.45B,,,,12.57B,,,,12.35B,,11.85B,11.86B,10.83B,11.04B,8.948B
Pension Liability,22.30B,19.36B,19.82B,20.05B,20.27B,21.45B,21.50B,21.70B,21.13B,20.87B,20.78B,20.58B,20.68B,21.02B,21.58B,22.40B,22.65B,24.42B,25.04B,24.63B,25.80B,19.27B,20.16B,20.22B,20.65B,25.32B,25.28B,25.29B,25.27B,21.65B,22.12B,23.56B,24.99B,19.56B,20.26B,20.08B,19.37B,18.01B,17.14B,17.59B,17.94B,18.63B,18.29B,20.45B,20.73B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minority Interest Ownership,7.288B,7.194B,7.088B,6.799B,6.734B,6.466B,6.311B,6.716B,6.812B,6.922B,6.66B,6.62B,6.505B,6.413B,6.284B,6.311B,5.999B,6.116B,6.33B,6.219B,6.665B,6.908B,6.976B,6.493B,6.492B,6.233B,5.941B,6.076B,5.797B,5.642B,5.174B,7.105B,6.348B,6.273B,6.284B,6.051B,5.84B,5.569B,5.195B,5.125B,4.823B,4.84B,4.561B,4.375B,4.558B,,,,4.282B,,,,,,,,,,,,3.952B,,,,3.382B,,,,2.768B,,,,,,,,3.23B,,,,3.688B,,,,3.627B,,,,2.371B,,,,1.914B,,,,2.17B,,,,2.168B,,,,2.395B,,,,2.975B,,,,2.967B,,,,2.95B,,,,2.863B,,,,,,
Other Long Term Liabilities,21.42B,22.00B,22.13B,20.74B,18.09B,18.73B,19.23B,19.55B,19.22B,21.28B,21.16B,21.41B,20.07B,22.22B,21.68B,21.85B,21.16B,21.00B,21.51B,21.00B,21.79B,22.16B,22.91B,22.02B,21.78B,22.47B,21.57B,21.26B,23.68B,24.55B,23.68B,31.96B,20.06B,20.26B,20.26B,19.91B,20.45B,19.09B,18.97B,19.04B,17.65B,15.21B,14.61B,14.05B,13.95B,32.65B,33.07B,32.84B,27.64B,32.91B,31.74B,30.83B,28.86B,25.07B,25.02B,23.96B,23.74B,24.30B,24.44B,24.05B,20.46B,22.94B,21.60B,21.45B,17.72B,21.25B,22.52B,21.52B,18.96B,18.04B,16.88B,16.21B,16.44B,16.14B,15.59B,15.91B,13.10B,32.84B,33.08B,33.40B,13.98B,24.56B,24.20B,24.29B,14.53B,25.79B,25.40B,25.56B,9.877B,26.24B,25.33B,25.62B,9.855B,24.76B,24.78B,24.68B,9.745B,23.73B,23.15B,22.95B,8.52B,23.08B,22.60B,22.28B,8.923B,22.09B,22.32B,22.72B,8.844B,23.02B,23.04B,22.76B,7.781B,23.04B,22.51B,22.76B,7.422B,22.78B,22.33B,21.81B,6.50B,20.35B,8.509B,8.236B,7.13B,5.113B,5.109B
Total Long Term Liabilities,99.67B,98.06B,91.98B,91.54B,90.53B,92.51B,92.81B,93.61B,96.42B,106.45B,106.22B,107.06B,108.85B,112.36B,114.09B,115.56B,105.97B,109.00B,110.89B,109.58B,103.80B,99.28B,100.93B,100.03B,94.59B,99.34B,97.34B,96.48B,98.00B,92.78B,91.52B,101.04B,92.80B,86.04B,89.84B,88.43B,87.20B,87.65B,87.88B,67.34B,65.87B,64.27B,61.89B,61.61B,61.43B,63.30B,64.70B,64.08B,57.73B,62.14B,60.05B,58.60B,56.35B,52.55B,53.69B,52.10B,50.84B,50.96B,50.59B,49.80B,46.57B,47.80B,46.21B,46.57B,42.60B,44.58B,45.87B,45.26B,42.10B,41.72B,41.87B,39.49B,39.90B,39.51B,39.07B,39.54B,36.82B,40.37B,41.09B,41.41B,38.63B,28.98B,28.70B,28.86B,39.81B,32.70B,32.33B,32.63B,30.38B,33.52B,32.37B,32.85B,30.57B,31.98B,32.35B,32.36B,29.95B,32.09B,31.70B,32.12B,28.79B,32.02B,31.35B,30.99B,28.37B,30.87B,31.01B,31.57B,28.62B,31.90B,31.52B,31.27B,28.81B,31.36B,30.48B,30.63B,27.68B,30.61B,30.65B,30.75B,28.13B,28.91B,25.05B,25.12B,22.25B,20.98B,19.16B
Total Liabilities,163.66B,162.25B,162.26B,158.17B,147.67B,157.80B,155.26B,153.92B,154.19B,160.23B,157.17B,160.44B,156.48B,162.38B,165.60B,164.29B,159.95B,163.82B,169.26B,165.52B,168.43B,165.27B,170.46B,170.14B,166.31B,172.09B,170.03B,166.56B,162.14B,162.84B,161.66B,181.04B,170.31B,161.02B,164.37B,162.00B,149.83B,149.39B,145.70B,125.08B,117.93B,117.20B,113.51B,111.11B,110.53B,130.93B,141.93B,135.06B,116.04B,118.06B,111.96B,109.19B,105.17B,107.35B,105.25B,103.54B,97.15B,101.83B,97.22B,97.55B,89.55B,91.99B,87.45B,88.52B,80.98B,83.22B,82.52B,82.91B,75.28B,74.78B,73.11B,69.67B,70.01B,74.08B,74.69B,76.90B,75.01B,80.14B,79.68B,78.63B,77.37B,50.56B,48.41B,47.73B,73.59B,51.47B,49.86B,51.21B,50.03B,53.77B,51.10B,51.98B,50.07B,51.68B,51.02B,51.56B,48.69B,50.67B,51.16B,52.09B,48.28B,51.27B,50.24B,49.40B,46.96B,50.34B,50.20B,50.62B,48.28B,52.20B,51.94B,50.26B,49.67B,50.70B,48.94B,50.62B,51.70B,53.90B,51.38B,51.75B,50.11B,49.24B,42.53B,40.42B,37.47B,40.06B,34.43B
Total Capital Stock,15.64B,15.80B,15.64B,15.48B,15.26B,15.25B,15.09B,14.89B,14.66B,14.78B,14.62B,14.42B,12.16B,12.23B,12.02B,11.82B,11.61B,11.44B,11.22B,11.01B,10.79B,10.68B,10.49B,10.28B,10.08B,10.06B,9.882B,9.665B,9.653B,0.00,0.00,0.00,9.512B,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.354B,44.00M,91.00M,5.616B,119.00M,134.00M,174.00M,190.00M,206.00M,221.00M,284.00M,303.00M,322.00M,345.00M,431.00M,454.00M,482.00M,501.00M,526.00M,554.00M,583.00M,612.00M,641.00M,668.00M,694.00M,719.00M,744.00M,770.00M,795.00M,819.00M,844.00M,867.00M,895.00M,918.00M,940.00M,955.00M,969.00M,983.00M,1.006B,1.006B,1.006B,,,,,
Retained Earnings,421.34B,419.37B,419.91B,420.50B,421.65B,419.16B,416.42B,415.97B,414.54B,409.45B,408.77B,408.71B,407.83B,409.28B,409.77B,411.20B,412.44B,412.72B,411.54B,410.41B,408.38B,404.74B,399.61B,393.80B,387.43B,381.83B,376.73B,372.67B,365.73B,358.37B,351.42B,338.17B,330.94B,323.79B,315.73B,307.36B,298.90B,291.86B,286.74B,281.25B,276.94B,272.88B,270.16B,268.25B,265.68B,259.88B,247.11B,237.53B,228.52B,218.76B,211.28B,202.98B,195.21B,186.81B,178.21B,169.78B,163.34B,154.42B,146.32B,140.52B,134.39B,127.71B,123.78B,119.75B,115.96B,110.96B,108.96B,106.46B,100.96B,98.42B,97.33B,96.24B,95.72B,94.61B,93.01B,90.13B,86.65B,82.96B,80.00B,77.00B,75.06B,55.31B,54.81B,54.60B,75.11B,54.11B,53.71B,53.10B,52.21B,50.73B,49.92B,48.98B,57.16B,55.65B,55.07B,54.49B,53.54B,52.80B,52.23B,51.54B,50.82B,49.86B,49.61B,49.62B,49.36B,48.77B,48.31B,47.98B,47.70B,47.26B,47.03B,46.98B,46.48B,46.21B,45.95B,45.67B,44.29B,43.58B,43.28B,42.94B,42.43B,42.24B,41.86B,39.48B,37.32B,34.56B,32.30B
Additional Paid In Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.645B,9.221B,9.007B,,9.506B,9.352B,9.156B,9.371B,9.341B,9.002B,5.30B,5.503B,5.445B,5.26B,5.066B,5.314B,5.105B,4.904B,4.745B,4.933B,4.988B,4.795B,4.53B,4.786B,4.665B,4.499B,4.397B,4.477B,5.176B,5.10B,5.07B,5.067B,4.452B,4.388B,4.339B,4.468B,4.10B,4.089B,4.071B,4.217B,3.851B,3.843B,3.828B,3.789B,3.752B,3.745B,3.692B,3.661B,3.589B,3.51B,3.461B,3.403B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treasury Stock,225.84B,225.97B,225.97B,225.97B,225.55B,225.67B,225.67B,225.67B,225.25B,225.30B,225.30B,225.29B,230.42B,230.45B,230.45B,230.45B,229.73B,229.10B,228.60B,227.60B,225.82B,222.64B,219.64B,216.64B,212.78B,209.60B,206.59B,202.56B,197.33B,192.19B,187.17B,182.16B,176.93B,172.02B,166.74B,161.38B,156.61B,151.83B,148.82B,168.47B,166.41B,164.68B,160.58B,155.41B,148.10B,139.64B,131.04B,122.64B,113.68B,106.00B,98.45B,90.86B,83.39B,75.43B,67.46B,60.83B,55.35B,50.08B,44.77B,41.15B,38.21B,35.42B,32.65B,30.92B,29.36B,27.69B,26.10B,25.01B,24.08B,22.99B,21.96B,20.90B,19.60B,18.23B,16.94B,15.51B,14.13B,12.89B,12.00B,12.05B,12.13B,12.51B,,,15.83B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00M,44.00M,91.00M,746.00M,119.00M,134.00M,174.00M,190.00M,206.00M,221.00M,284.00M,303.00M,322.00M,345.00M,431.00M,454.00M,482.00M,501.00M,526.00M,554.00M,583.00M,612.00M,641.00M,668.00M,694.00M,719.00M,744.00M,770.00M,795.00M,819.00M,844.00M,867.00M,895.00M,918.00M,940.00M,955.00M,969.00M,983.00M,1.006B,1.006B,1.006B,,,,,
Unrealized Gain or Loss - Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00M,32.00M,39.00M,,153.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Pension Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.258B,-9.781B,-9.955B,-9.889B,-8.968B,,-9.352B,-9.863B,-10.72B,,,-11.08B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjustments for Foreign Currency Translation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.901B,6.95B,6.26B,5.011B,4.476B,2.051B,3.815B,4.402B,4.341B,,-93.00M,1.146B,5.407B,9.689B,9.449B,7.972B,7.433B,5.381B,4.156B,3.733B,2.912B,2.869B,1.393B,979.00M,1.451B,1.248B,2.699B,3.598B,1.242B,683.00M,1.169B,1.421B,-447.00M,-1.099B,-2.543B,-3.015B,-3.905B,-3.424B,-6.077B,-5.947B,-5.724B,-6.381B,-5.867B,-4.862B,-5.048B,-4.054B,-3.267B,-2.30B,,,,-1.573B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Equity Adjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.00M,,,,,,,-10.81B,,-5.468B,-5.842B,-5.945B,-5.983B,-6.584B,-6.655B,-6.702B,-6.495B,-2.364B,-2.356B,-2.275B,-2.258B,-3.079B,-3.302B,-3.441B,-3.085B,-2.538B,-2.665B,-2.659B,-2.569B,-3.156B,-3.267B,-3.391B,-3.489B,-682.00M,-669.00M,-730.00M,-802.00M,-582.00M,-457.00M,-556.00M,-562.00M,-501.00M,-526.00M,-544.00M,-566.00M,,,,-1.201B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accrued Comprehensive Inc,-19.49B,-19.28B,-18.20B,-18.78B,-19.56B,-18.37B,-18.61B,-16.99B,-16.26B,-16.65B,-18.90B,-20.68B,-22.24B,-20.47B,-20.74B,-20.38B,-23.51B,-24.34B,-21.49B,-22.60B,-18.96B,-12.20B,-9.311B,-11.04B,-10.72B,-13.05B,-14.38B,-12.77B,-12.18B,-9.113B,-10.66B,-7.998B,-9.123B,-5.328B,-2.799B,-3.656B,-4.823B,-4.339B,2.051B,-5.537B,-5.461B,-6.38B,-8.249B,-10.90B,-9.931B,-61.00M,3.847B,3.504B,1.989B,849.00M,-1.274B,-2.546B,-2.762B,548.00M,513.00M,-882.00M,-1.279B,-1.628B,-2.054B,-742.00M,513.00M,-1.296B,-1.982B,-1.49B,-1.148B,-3.603B,-4.366B,-5.934B,-6.504B,-4.587B,-4.093B,-6.807B,-6.749B,-6.306B,-6.838B,-6.423B,-5.424B,-5.549B,-4.58B,-3.811B,-2.866B,-1.322B,,,-2.774B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
