Cash from Financing,-4.456B,-1.666B,548.00M,-1.044B,-5.501B,-4.959B,-3.244B,-5.742B,-1.837B,-4.988B,-5.059B,-3.246B,-6.746B,-1.296B,-1.775B,524.00M,413.00M,-3.402B,-3.194B,-854.00M,1.197B,-5.673B,-5.596B,-7.816B,-4.178B,-3.889B,-715.00M,-6.694B,-7.725B,-10.86B,-7.153B,-8.13B,-7.045B,-7.397B,-7.065B,-6.749B,-10.43B,-7.697B,-4.177B,-4.62B,-3.895B,-6.028B,-7.255B,-10.10B,-11.40B,-10.42B,-10.85B,-11.35B,-9.407B,-9.777B,-9.656B,-9.505B,-10.08B,-9.759B,-8.373B,-8.002B,-7.971B,-8.098B,-5.869B,-5.003B,-6.561B,-4.81B,-3.727B,-3.17B,-4.127B,-3.948B,-3.744B,-2.944B,-2.671B,-3.115B,-2.283B,-3.284B,-3.425B,-3.05B,-4.904B,-3.662B,-4.294B,-2.485B,-2.328B,-5.058B,-1.862B,-1.483B,-624.00M,-810.00M,-1.376B,-1.652B,-2.043B,-2.065B,-4.624B,-1.835B,-1.981B,-1.139B,-1.142B,-1.817B,-1.266B,-1.014B,-2.096B,-2.081B,-1.98B,-979.00M,-1.533B,-838.00M,-752.00M,-1.111B,-1.503B,-1.52B,-759.00M,-1.498B,-582.00M,-1.15B,-337.00M,-1.054B,-547.00M,-660.00M,-1.562B,-1.788B,-2.486B,-749.00M,-1.80B,-998.00M
Beginning Cash,5.351B,4.213B,4.586B,3.042B,5.669B,3.43B,4.125B,3.177B,4.266B,4.042B,4.897B,3.657B,5.093B,4.358B,4.846B,3.705B,4.296B,4.343B,5.184B,4.616B,4.962B,6.083B,5.601B,4.644B,5.31B,4.609B,6.214B,9.582B,13.06B,17.80B,18.67B,12.66B,11.02B,8.287B,12.83B,7.825B,12.24B,13.25B,13.74B,10.69B,12.47B,15.58B,24.97B,31.44B,36.67B,38.97B,40.91B,33.98B,31.42B,28.96B,29.99B,28.24B,32.73B,32.11B,31.94B,28.67B,29.24B,25.65B,25.16B,18.53B,16.11B,14.18B,15.89B,10.63B,11.02B,12.52B,12.33B,7.229B,6.937B,5.70B,6.622B,6.547B,9.026B,9.298B,10.91B,7.08B,6.644B,5.813B,2.928B,1.688B,2.315B,2.175B,2.331B,2.386B,2.10B,2.688B,3.84B,4.047B,0.00,0.00,0.00,2.951B,0.00,0.00,0.00,1.508B,0.00,0.00,0.00,1.157B,0.00,0.00,0.00,983.00M,0.00,0.00,0.00,898.00M,0.00,0.00,0.00,1.496B,0.00,0.00,0.00,1.332B,0.00,0.00,0.00,1.865B
Change in Cash,-2.368B,1.263B,-382.00M,1.501B,-2.478B,2.242B,-560.00M,918.00M,-962.00M,-8.00M,-990.00M,1.166B,-1.022B,824.00M,-403.00M,987.00M,-531.00M,115.00M,-893.00M,792.00M,-235.00M,-922.00M,429.00M,981.00M,-682.00M,600.00M,-1.525B,-3.156B,-3.503B,-4.91B,-692.00M,5.806B,1.694B,3.156B,-4.68B,4.754B,-4.455B,-1.499B,-20.00M,3.259B,-1.813B,-3.485B,-10.03B,-5.935B,-3.546B,-121.00M,-1.901B,5.767B,2.265B,1.544B,-1.423B,1.543B,-4.68B,750.00M,-350.00M,3.126B,-472.00M,3.504B,1.016B,6.879B,1.857B,1.773B,-1.644B,5.387B,-464.00M,-1.579B,-31.00M,4.967B,175.00M,1.179B,-1.30B,103.00M,-2.301B,-426.00M,-1.611B,3.975B,186.00M,1.113B,2.885B,1.29B,-632.00M,65.00M,-133.00M,-51.00M,-725.00M,-630.00M,-1.13B,-197.00M,-831.00M,114.00M,-536.00M,2.281B,-10.00M,-308.00M,-304.00M,2.03B,-692.00M,-202.00M,-259.00M,1.509B,-464.00M,-218.00M,190.00M,687.00M,-553.00M,173.00M,292.00M,210.00M,-72.00M,-308.00M,-333.00M,168.00M,74.00M,360.00M,-487.00M,218.00M,-25.00M,-259.00M,-113.00M,-159.00M
Cash Foreign Exchange Adjustment,106.00M,-125.00M,9.00M,43.00M,-149.00M,-3.00M,-135.00M,30.00M,-127.00M,232.00M,135.00M,74.00M,-414.00M,-89.00M,-85.00M,154.00M,-60.00M,-162.00M,52.00M,-224.00M,-111.00M,-199.00M,53.00M,-24.00M,16.00M,101.00M,-80.00M,-212.00M,30.00M,163.00M,-176.00M,200.00M,-52.00M,-421.00M,134.00M,254.00M,36.00M,491.00M,-470.00M,-210.00M,34.00M,381.00M,635.00M,-530.00M,-1.691B,-2.173B,-44.00M,1.165B,293.00M,920.00M,388.00M,207.00M,190.00M,-129.00M,518.00M,148.00M,-97.00M,88.00M,-533.00M,-245.00M,566.00M,158.00M,-73.00M,-119.00M,75.00M,73.00M,224.00M,132.00M,117.00M,58.00M,378.00M,-28.00M,-178.00M,154.00M,3.00M,-149.00M,250.00M,-282.00M,0.00,-50.00M,5.00M,75.00M,-23.00M,-4.00M,13.00M,42.00M,-22.00M,-10.00M,-98.00M,-53.00M,-7.00M,31.00M,51.00M,-4.00M,3.00M,-15.00M,0.00,-175.00M,66.00M,104.00M,-79.00M,39.00M,41.00M,-22.00M,-16.00M,-8.00M,-14.00M,1.00M,-24.00M,-18.00M,26.00M,-37.00M,5.00M,21.00M,-112.00M,85.00M,17.00M,69.00M,-41.00M,-22.00M
Ending Cash,3.089B,5.351B,4.213B,4.586B,3.042B,5.669B,3.43B,4.125B,3.177B,4.266B,4.042B,4.897B,3.657B,5.093B,4.358B,4.846B,3.705B,4.296B,4.343B,5.184B,4.616B,4.962B,6.083B,5.601B,4.644B,5.31B,4.609B,6.214B,9.582B,13.06B,17.80B,18.67B,12.66B,11.02B,8.287B,12.83B,7.825B,12.24B,13.25B,13.74B,10.69B,12.47B,15.58B,24.97B,31.44B,36.67B,38.97B,40.91B,33.98B,31.42B,28.96B,29.99B,28.24B,32.73B,32.11B,31.94B,28.67B,29.24B,25.65B,25.16B,18.53B,16.11B,14.18B,15.89B,10.63B,11.02B,12.52B,12.33B,7.229B,6.937B,5.70B,6.622B,6.547B,9.026B,9.298B,10.91B,7.08B,6.644B,5.813B,2.928B,1.688B,2.315B,2.175B,2.331B,2.386B,2.10B,2.688B,3.84B,5.045B,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Issuance of Capital Stock,,,,,,,,,,,,,0.00,-1.00M,2.00M,5.00M,5.00M,,0.00,0.00,20.00M,1.00M,7.00M,2.00M,4.00M,37.00M,7.00M,2.00M,9.00M,98.00M,4.00M,82.00M,308.00M,164.00M,68.00M,384.00M,774.00M,158.00M,69.00M,42.00M,456.00M,111.00M,64.00M,121.00M,264.00M,51.00M,307.00M,131.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.00M,-195.00M,44.00M,151.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issuance of Debt,-452.00M,1.989B,4.393B,6.776B,-1.58B,-1.276B,952.00M,1.95B,2.181B,0.00,1.00M,1.794B,102.00M,0.00,1.00M,11.96B,1.759B,28.00M,0.00,8.00B,2.277B,3.00M,0.00,5.50B,2.298B,1.945B,6.538B,1.592B,1.356B,208.00M,260.00M,129.00M,2.869B,208.00M,151.00M,98.00M,2.076B,341.00M,6.00M,27.00M,1.369B,47.00M,123.00M,22.00M,1.112B,141.00M,-189.00M,225.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debt Repayment,-208.00M,-31.00M,-28.00M,-3.777B,-692.00M,-23.00M,-384.00M,-3.872B,-392.00M,-1.589B,-1.682B,-1.361B,-3.425B,1.875B,1.399B,-7.622B,2.498B,170.00M,923.00M,-4.123B,5.113B,309.00M,432.00M,-6.668B,-383.00M,-24.00M,-362.00M,,-1.34B,-3.296B,307.00M,-532.00M,-1.133B,-193.00M,-14.00M,-29.00M,-6.073B,-2.571B,-13.00M,-3.00M,-1.687B,343.00M,-156.00M,-214.00M,-1.664B,116.00M,-222.00M,-46.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Repurchase of Capital Stock,-173.00M,0.00,0.00,-421.00M,-196.00M,-1.00M,-2.00M,-427.00M,-232.00M,-1.00M,-13.00M,-501.00M,-250.00M,0.00,-1.00M,-726.00M,-754.00M,-501.00M,-1.003B,-1.781B,-3.318B,-3.002B,-3.003B,-3.86B,-3.302B,-3.044B,-4.031B,-5.621B,-5.254B,-5.098B,-5.012B,-5.704B,-5.422B,-5.468B,-5.512B,-5.653B,-5.758B,-3.272B,-1.568B,-2.495B,-2.372B,-4.233B,-5.246B,-7.852B,-8.845B,-8.663B,-8.761B,-9.465B,-8.829B,-7.572B,-7.633B,-7.788B,-9.179B,-7.985B,-6.63B,-5.764B,-6.236B,-5.289B,-3.609B,-3.087B,-3.716B,-2.76B,-1.73B,-1.745B,-2.093B,-1.577B,-1.101B,-1.11B,-4.798B,2.369B,-2.369B,,-5.721B,2.776B,-1.406B,-1.37B,-1.691B,-661.00M,42.00M,-42.00M,-326.00M,-52.00M,-208.00M,-84.00M,-1.311B,-583.00M,-1.653B,,-1.567B,-641.00M,-748.00M,-166.00M,-480.00M,-78.00M,-191.00M,-52.00M,-423.00M,-55.00M,-129.00M,-21.00M,-88.00M,-29.00M,-55.00M,-48.00M,-169.00M,-46.00M,-61.00M,-47.00M,-187.00M,-54.00M,-49.00M,-68.00M,-208.00M,-99.00M,-91.00M,-68.00M,-111.00M,-225.00M,93.00M,-93.00M
Income Tax Paid Supplemental Data,-5.259B,1.375B,2.091B,1.793B,-6.74B,2.314B,2.309B,2.117B,4.611B,-7.858B,1.277B,1.97B,3.049B,-905.00M,-1.395B,-749.00M,-5.594B,9.666B,-5.298B,1.226B,-14.34B,3.972B,6.221B,4.145B,-19.87B,34.53B,-7.44B,-7.22B,17.90B,-5.568B,-6.911B,-5.416B,-20.35B,6.802B,8.374B,5.173B,-13.95B,4.463B,5.591B,3.896B,-12.14B,3.602B,4.723B,3.817B,-25.19B,9.267B,11.08B,4.849B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Paid Supplemental Data,-1.055B,423.00M,632.00M,,-839.00M,362.00M,477.00M,,965.00M,-1.552B,219.00M,368.00M,709.00M,-375.00M,-111.00M,-223.00M,-459.00M,722.00M,-433.00M,170.00M,-295.00M,121.00M,87.00M,87.00M,-318.00M,537.00M,-114.00M,-105.00M,387.00M,-97.00M,-191.00M,-99.00M,-390.00M,128.00M,159.00M,103.00M,-460.00M,166.00M,164.00M,130.00M,-723.00M,528.00M,94.00M,101.00M,-488.00M,151.00M,153.00M,184.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
