Income (Quarterly),2020-02,2019-11,2019-08,2019-05,2019-02,2018-11,2018-08,2018-05,2018-02,2017-11,2017-08,2017-05,2017-02,2016-11,2016-08,2016-05,2016-02,2015-11,2015-08,2015-05,2015-02,2014-11,2014-08,2014-05,2014-02,2013-11,2013-08,2013-05,2013-02,2012-11,2012-08,2012-05,2012-02,2011-11,2011-08,2011-05,2011-02,2010-11,2010-08,2010-05,2010-02,2009-11,2009-08,2009-05,2009-02,2008-11,2008-08,2008-05,2008-02,2007-11,2007-08,2007-05,2007-02,2006-11,2006-08,2006-05,2006-02,2005-11,2005-08,2005-05,2005-02,2004-11,2004-08,2004-05,2004-02,2003-11,2003-08,2003-05,2003-02,2002-11,2002-08,2002-05,2002-02,2001-11,2001-08,2001-05,2001-02,2000-11,2000-08,2000-05,2000-02,1999-11,1999-08,1999-05,1999-02,1998-11,1998-08,1998-05,1998-02,1997-11,1997-08,1997-05,1997-02,1996-11,1996-08,1996-05,1996-02,1995-11,1995-08,1995-05,1995-02,1994-11,1994-08,1994-05,1994-02,1993-11,1993-08,1993-05,1993-02,1992-11,1992-08,1992-05,1992-02,1991-11,1991-08,1991-05,1991-02,1990-11,1990-08,1990-05,1990-02,1989-11,1989-08,1989-05,1989-02,1988-11,1988-08,1988-05,1988-02,1987-11,1987-08,1987-05,1987-02,1986-11,1986-08,1986-05,1986-02,1985-11,1985-08,1985-05,1985-02,1984-11,1984-08,1984-05,1984-02
Normalized Income,315.00M,624.61M,745.00M,-1.725B,742.18M,935.00M,835.00M,1.442B,2.074B,775.00M,596.00M,1.02B,562.00M,700.00M,715.00M,-70.00M,507.00M,691.00M,692.00M,-894.00M,628.00M,663.00M,653.00M,957.00M,378.00M,500.00M,489.00M,1.827B,391.08M,438.00M,459.00M,636.91M,521.00M,497.00M,1.323B,-1.995B,1.105B,1.230B,1.150B,1.225B,1.015B,1.115B,874.22M,687.90M,887.03M,1.347B,1.195B,1.199B,1.214B,1.321B,495.26M,3.533B,420.67M,510.38M,478.08M,566.75M,429.25M,471.00M,345.79M,448.63M,319.47M,359.11M,333.71M,417.13M,216.92M,268.64M,127.35M,286.83M,148.86M,247.48M,156.14M,245.54M,122.47M,174.29M,122.76M,114.89M,108.31M,190.70M,171.46M,240.15M,106.57M,168.17M,159.18M,218.47M,81.39M,182.62M,151.38M,170.35M,54.74M,149.86M,158.50M,91.24M,61.18M,92.00M,62.24M,207.56M,27.44M,84.98M,72.60M,85.34M,39.10M,82.98M,62.72M,87.24M,26.70M,61.26M,35.18M,50.06M,11.28M,38.98M,17.00M,28.00M,-23.36M,30.40M,19.60M,39.49M,-9.202M,41.60M,44.96M,41.46M,7.78M,39.04M,31.60M,41.00M,24.80M,52.50M,48.20M,54.80M,36.50M,44.00M,52.40M,43.70M,35.90M,34.50M,52.90M,38.90M,26.30M,34.90M,31.60M,41.90M,15.60M,10.20M,8.30M,28.70M,28.10M
EBITDA,1.319B,1.521B,1.856B,-1.045B,1.766B,1.996B,1.879B,2.769B,1.644B,1.871B,1.722B,2.389B,1.787B,1.907B,2.003B,598.00M,1.527B,1.79B,1.792B,-669.00M,1.69B,1.739B,1.713B,2.204B,1.293B,1.474B,1.434B,2.929B,1.235B,1.31B,1.315B,1.406B,1.356B,1.298B,2.584B,-2.661B,2.239B,962.00M,1.10B,1.187B,888.00M,1.049B,807.00M,-4.272B,1.969B,2.615B,2.425B,-3.587B,2.442B,2.615B,2.473B,1.551B,1.09B,1.269B,1.183B,4.982B,1.104B,1.176B,954.00M,1.111B,920.00M,-191.00M,1.422B,363.00M,180.00M,260.00M,856.00M,-2.407B,955.00M,-960.00M,-1.036B,3.244B,-1.075B,659.00M,-1.044B,3.245B,-1.141B,153.38M,-954.00M,2.231B,-1.033B,-969.40M,-903.60M,2.782B,-1.110B,-834.20M,534.10M,1.296B,417.50M,-847.70M,-733.70M,-818.20M,-786.40M,-757.70M,-739.00M,-464.10M,-797.60M,-658.40M,-631.50M,2.893B,-629.90M,-515.30M,-504.50M,-1.486B,-171.80M,-94.10M,-128.60M,273.80M,207.70M,259.70M,216.00M,250.50M,144.60M,239.20M,219.70M,256.80M,168.20M,255.20M,255.00M,240.60M,179.50M,245.90M,226.80M,-3.074B,1.284B,1.136B,1.078B,-2.451B,977.20M,943.60M,909.40M,-1.944B,798.90M,783.70M,726.00M,-1.671B,668.10M,625.50M,589.30M,-1.301B,513.70M,485.20M,439.10M,-857.90M,375.10M
Reconciled Depreciation,908.00M,901.00M,879.00M,866.00M,851.00M,828.00M,808.00M,802.00M,786.00M,756.00M,751.00M,754.00M,762.00M,740.00M,739.00M,667.00M,663.00M,653.00M,648.00M,657.00M,652.00M,651.00M,651.00M,649.00M,652.00M,647.00M,639.00M,622.00M,599.00M,592.00M,573.00M,543.00M,543.00M,518.00M,509.00M,499.00M,493.00M,502.00M,479.00M,488.00M,488.00M,487.00M,495.00M,496.00M,496.00M,491.00M,492.00M,499.00M,492.00M,482.00M,473.00M,464.00M,449.00M,430.00M,399.00M,403.00M,391.00M,386.00M,368.00M,371.00M,368.00M,363.00M,360.00M,365.00M,340.00M,336.00M,334.00M,340.00M,334.00M,338.00M,339.00M,345.00M,341.00M,342.00M,336.00M,338.00M,325.82M,309.18M,303.00M,298.70M,293.70M,285.30M,277.30M,269.02M,263.70M,252.20M,250.20M,246.73M,250.10M,236.80M,230.10M,248.30M,296.60M,191.00M,190.20M,316.90M,182.30M,178.70M,174.10M,168.70M,165.10M,161.60M,156.90M,154.30M,151.90M,148.00M,145.20M,148.70M,145.50M,143.20M,142.50M,156.20M,141.30M,140.30M,139.40M,142.50M,136.70M,129.50M,125.80M,125.20M,117.70M,118.00M,118.30M,,,,,,,,,,,,,,,,,,,,,,
EBIT,411.00M,620.00M,977.00M,-1.911B,915.00M,1.168B,1.071B,1.967B,858.00M,1.115B,971.00M,1.635B,1.025B,1.167B,1.264B,-69.00M,864.00M,1.137B,1.144B,-1.326B,1.038B,1.088B,1.062B,1.555B,641.00M,827.00M,795.00M,2.307B,636.00M,718.00M,742.00M,863.00M,813.00M,780.00M,2.075B,-3.16B,1.746B,460.00M,621.00M,699.00M,400.00M,562.00M,312.00M,-4.768B,1.473B,2.124B,1.933B,-4.086B,1.95B,2.133B,2.00B,1.087B,641.00M,839.00M,784.00M,4.579B,713.00M,790.00M,584.00M,740.00M,552.00M,-554.00M,1.062B,-2.00M,-160.00M,-76.00M,522.00M,-2.747B,621.00M,-1.298B,-1.375B,2.899B,-1.416B,317.00M,-1.38B,2.907B,-1.467B,-156.11M,-1.257B,1.932B,-1.327B,-1.255B,-1.181B,2.513B,-1.373B,-1.086B,283.90M,1.049B,167.40M,-1.084B,-963.80M,-1.066B,-1.083B,-948.70M,-929.20M,-781.00M,-979.90M,-837.10M,-805.60M,2.724B,-795.00M,-676.90M,-661.40M,-1.640B,-323.80M,-242.10M,-273.80M,125.10M,62.20M,116.50M,73.50M,94.30M,3.30M,98.90M,80.30M,114.30M,31.50M,125.70M,129.20M,115.40M,61.80M,127.90M,108.50M,-3.074B,1.284B,1.136B,1.078B,-2.451B,977.20M,943.60M,909.40M,-1.944B,798.90M,783.70M,726.00M,-1.671B,668.10M,625.50M,589.30M,-1.301B,513.70M,485.20M,439.10M,-857.90M,375.10M
EPS Basic from Continuing Operations,1.21,2.15,2.86,-7.550,2.83,3.56,3.15,4.238,7.74,2.89,2.22,3.802,2.11,2.63,2.69,-0.2636,1.86,2.47,2.45,-3.169,2.21,2.34,2.29,2.558,1.24,1.58,1.54,0.9571,1.14,1.39,1.46,1.75,1.66,1.57,1.46,1.760,0.73,0.90,1.21,1.34,0.76,1.10,0.58,-2.82,0.31,1.59,1.24,-0.78,1.27,1.55,1.60,1.98,1.37,1.67,1.55,1.86,1.41,1.55,1.12,1.48,1.05,1.18,1.10,1.37,0.69,0.31,0.43,0.94,0.49,0.82,0.53,0.79,0.40,0.82,0.42,0.37,0.38,0.68,0.59,0.85,0.39,0.58,0.53,0.74,0.27,0.62,0.51,0.58,0.05,0.46,0.61,-0.31,0.27,0.45,0.27,0.50,0.12,0.40,0.34,0.38,0.28,0.39,0.27,0.36,0.14,0.27,0.15,0.23,0.05,0.18,0.06,0.17,-0.90,0.13,0.08,0.15,-0.50,0.18,0.21,0.20,0.03,0.18,0.15,0.20,0.12,0.26,0.23,0.25,0.18,0.21,0.25,0.21,0.18,0.17,0.26,0.19,0.13,0.18,0.17,0.23,0.09,0.06,0.05,0.15,0.15
EPS Basic from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,0.00,-0.97,-0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EPS Basic from Extraordinaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalized Basic EPS,1.21,2.398,2.86,-6.630,2.842,3.56,3.15,5.433,7.74,2.89,2.22,3.802,2.11,2.63,2.69,-0.2636,1.86,2.47,2.45,-3.169,2.21,2.34,2.29,2.558,1.24,1.58,1.54,2.117,1.235,1.39,1.46,2.026,1.66,1.57,4.178,-6.267,3.504,3.915,3.662,3.922,3.247,3.568,2.802,2.209,2.850,4.334,3.849,3.881,3.927,4.275,1.604,11.44,1.372,1.668,1.560,1.856,1.414,1.55,1.142,1.482,1.058,1.197,1.112,1.387,0.7231,0.9151,0.4278,0.9629,0.4962,0.8283,0.5238,0.8219,0.4083,0.5827,0.4158,0.3763,0.3776,0.6691,0.5986,0.8341,0.3675,0.5697,0.5306,0.7304,0.2821,0.6194,0.5168,0.5786,0.2159,0.4602,0.5888,0.1405,0.2706,0.3992,0.2710,0.4989,0.1210,0.3785,0.3281,0.3715,0.1736,0.3762,0.2772,0.3880,0.1198,0.2771,0.1604,0.2345,0.0537,0.1851,0.0836,0.1342,-0.1087,0.1491,0.0912,0.2033,-0.0436,0.2002,0.2191,0.1921,0.0449,0.1899,0.1559,0.20,0.12,0.26,0.23,0.25,0.18,0.21,0.25,0.21,0.18,0.17,0.26,0.19,0.13,0.18,0.17,0.23,0.09,0.06,0.05,0.15,0.15
EPS Basic,1.21,2.15,2.86,-7.550,2.83,3.56,3.15,4.238,7.74,2.89,2.22,3.802,2.11,2.63,2.69,-0.2636,1.86,2.47,2.45,-3.169,2.21,2.34,2.29,2.558,1.24,1.58,1.54,0.9571,1.14,1.39,1.46,1.75,1.66,1.57,1.46,1.760,0.73,0.90,1.21,1.34,0.76,1.10,0.58,-2.82,0.31,1.59,1.24,-0.78,1.27,1.55,1.60,1.98,1.37,1.67,1.55,1.86,1.41,1.55,1.12,1.48,1.05,1.18,1.10,1.37,0.69,0.31,0.43,0.94,0.49,0.82,0.53,0.79,0.40,0.82,0.37,0.37,0.38,0.68,0.59,0.85,0.39,0.58,0.53,0.74,0.27,0.62,0.51,0.58,0.07,0.46,0.61,-0.31,0.27,0.45,0.27,0.50,0.12,0.40,0.34,0.38,0.28,0.39,0.27,0.36,0.14,0.27,0.15,-0.03,0.05,0.18,0.06,0.17,-0.90,0.13,0.08,0.15,-0.50,0.18,0.21,0.20,0.03,0.18,0.15,0.20,0.12,0.26,0.23,0.25,0.18,0.21,0.25,0.19,0.18,-0.80,0.12,0.19,0.13,0.18,0.17,0.23,0.09,0.06,0.05,0.15,0.15
EPS Diluted from Continuing Operations,1.20,2.13,2.84,-7.56,2.80,3.51,3.10,4.15,7.59,2.84,2.19,3.75,2.07,2.59,2.65,-0.2636,1.84,2.44,2.42,-3.169,2.18,2.31,2.26,2.46,1.23,1.57,1.53,0.95,1.13,1.39,1.45,1.74,1.65,1.57,1.46,1.75,0.73,0.89,1.20,1.33,0.76,1.10,0.58,-2.82,0.31,1.58,1.23,-0.78,1.26,1.54,1.58,1.96,1.35,1.64,1.53,1.82,1.38,1.53,1.10,1.46,1.03,1.15,1.08,1.36,0.68,0.30,0.42,0.92,0.49,0.81,0.52,0.78,0.39,0.81,0.41,0.37,0.37,0.67,0.58,0.83,0.39,0.57,0.52,0.73,0.26,0.62,0.50,0.57,0.05,0.46,0.61,-0.32,0.27,0.45,0.27,0.50,0.12,0.40,0.34,0.38,0.28,0.39,0.27,0.36,0.14,0.27,0.15,0.23,0.05,0.18,0.06,0.17,-0.90,0.13,0.08,0.15,-0.50,0.18,0.21,0.20,0.03,0.18,0.15,0.20,0.12,0.26,0.23,0.25,0.18,0.21,0.25,0.21,0.18,0.17,0.26,0.19,0.13,0.18,0.17,0.23,0.09,0.06,0.05,0.15,0.15
EPS Diluted from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,0.00,-0.97,-0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EPS Diluted from Extraordinaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,,,-0.0503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalized Diluted EPS,1.20,2.377,2.84,-6.641,2.812,3.51,3.10,5.309,7.59,2.84,2.19,3.75,2.07,2.59,2.65,-0.2636,1.84,2.44,2.42,-3.169,2.18,2.31,2.26,2.46,1.23,1.57,1.53,2.103,1.225,1.39,1.45,2.014,1.65,1.57,4.161,-6.227,3.487,3.886,3.645,3.912,3.231,3.553,2.802,2.192,2.842,4.316,3.839,3.837,3.892,4.239,1.584,11.36,1.352,1.638,1.540,1.816,1.384,1.53,1.122,1.462,1.038,1.167,1.092,1.377,0.7126,0.8856,0.4179,0.9424,0.4962,0.8182,0.5138,0.8113,0.3981,0.5759,0.4059,0.3763,0.3677,0.6593,0.5885,0.8145,0.3675,0.5599,0.5206,0.7206,0.2721,0.6194,0.5066,0.5687,0.2159,0.4602,0.5888,0.1242,0.2706,0.3992,0.2710,0.4990,0.1210,0.3785,0.3281,0.3718,0.1736,0.3762,0.2772,0.3880,0.1198,0.2771,0.1604,0.2345,0.0537,0.1851,0.0836,0.1342,-0.1087,0.1491,0.0912,0.2033,-0.0436,0.2002,0.2191,0.1921,0.0449,0.1899,0.1559,0.20,0.12,0.26,0.23,0.25,0.18,0.21,0.25,0.21,0.18,0.17,0.26,0.19,0.13,0.18,0.17,0.23,0.09,0.06,0.05,0.15,0.15
EPS Diluted,1.20,2.13,2.84,-7.56,2.80,3.51,3.10,4.15,7.59,2.84,2.19,3.75,2.07,2.59,2.65,-0.2636,1.84,2.44,2.42,-3.169,2.18,2.31,2.26,2.46,1.23,1.57,1.53,0.95,1.13,1.39,1.45,1.74,1.65,1.57,1.46,1.75,0.73,0.89,1.20,1.33,0.76,1.10,0.58,-2.82,0.31,1.58,1.23,-0.78,1.26,1.54,1.58,1.96,1.35,1.64,1.53,1.82,1.38,1.53,1.10,1.46,1.03,1.15,1.08,1.36,0.68,0.30,0.42,0.92,0.49,0.81,0.52,0.78,0.39,0.81,0.36,0.37,0.37,0.67,0.58,0.83,0.39,0.57,0.52,0.73,0.26,0.62,0.50,0.57,0.07,0.46,0.61,-0.32,0.27,0.45,0.27,0.50,0.12,0.40,0.34,0.38,0.28,0.39,0.27,0.36,0.14,0.27,0.15,-0.03,0.05,0.18,0.06,0.17,-0.90,0.13,0.08,0.15,-0.50,0.18,0.21,0.20,0.03,0.18,0.15,0.20,0.12,0.26,0.23,0.25,0.18,0.21,0.25,0.19,0.18,-0.80,0.12,0.19,0.13,0.18,0.17,0.23,0.09,0.06,0.05,0.15,0.15
Average Basic Shares Outstanding,261.00M,261.00M,260.00M,265.00M,261.00M,262.00M,265.00M,264.00M,268.00M,268.00M,268.00M,266.00M,266.00M,266.00M,265.00M,270.00M,272.00M,279.00M,282.00M,280.00M,283.00M,283.00M,285.00M,292.00M,303.00M,315.00M,316.00M,318.00M,315.00M,314.00M,315.00M,315.00M,314.00M,315.00M,316.00M,318.00M,315.00M,314.00M,314.00M,312.00M,312.00M,312.00M,312.00M,311.00M,311.00M,311.00M,311.00M,309.00M,309.00M,309.00M,312.00M,309.05M,306.57M,305.99M,306.45M,305.87M,303.55M,303.87M,302.68M,303.19M,301.90M,300.00M,300.00M,303.44M,300.00M,293.55M,297.67M,298.07M,300.00M,298.00M,298.00M,299.28M,298.00M,298.00M,298.00M,298.59M,288.04M,285.01M,284.72M,285.37M,290.00M,295.17M,298.17M,299.30M,296.33M,295.11M,292.94M,295.36M,252.86M,292.95M,297.42M,292.19M,291.46M,230.26M,229.87M,220.20M,229.03M,229.04M,226.75M,218.30M,225.50M,225.54M,226.46M,233.51M,222.86M,221.11M,219.33M,212.04M,210.00M,210.56M,203.33M,217.73M,214.89M,203.85M,215.00M,159.17M,211.20M,207.78M,205.24M,219.90M,173.33M,205.56M,202.67M,205.00M,206.67M,201.92M,209.57M,220.63M,202.78M,209.52M,209.60M,219.96M,199.44M,206.12M,206.67M,205.81M,202.31M,193.89M,185.88M,166.59M,173.33M,170.00M,166.00M,186.38M,187.33M
Average Diluted Shares Outstanding,262.00M,262.00M,262.00M,265.00M,263.00M,266.00M,269.00M,272.00M,273.00M,272.00M,272.00M,270.00M,271.00M,270.00M,269.00M,273.00M,275.00M,283.00M,286.00M,284.00M,287.00M,287.00M,289.00M,295.00M,307.00M,319.00M,319.00M,320.00M,317.00M,315.00M,316.00M,317.00M,316.00M,316.00M,318.00M,320.00M,317.00M,316.00M,315.00M,312.00M,314.00M,314.00M,312.00M,312.00M,312.00M,312.00M,311.00M,312.00M,312.00M,312.00M,314.70M,310.81M,311.11M,311.59M,310.46M,312.92M,310.14M,307.84M,308.18M,306.80M,307.77M,307.83M,305.56M,303.44M,304.41M,303.33M,304.76M,305.09M,300.00M,303.00M,302.00M,304.68M,304.00M,302.00M,302.00M,302.75M,292.57M,289.26M,288.72M,293.66M,290.00M,300.35M,303.84M,303.99M,296.33M,297.85M,298.80M,300.51M,252.86M,298.56M,297.42M,296.33M,298.10M,230.26M,229.87M,229.38M,229.03M,229.04M,226.75M,226.40M,225.50M,225.54M,226.46M,233.51M,222.86M,221.11M,219.33M,212.04M,210.00M,210.56M,203.33M,217.73M,214.89M,203.85M,215.00M,159.17M,211.20M,207.78M,205.24M,219.90M,173.33M,205.56M,202.67M,205.00M,206.67M,201.92M,209.57M,220.63M,202.78M,209.52M,209.60M,219.96M,199.44M,206.12M,206.67M,205.81M,202.31M,193.89M,185.88M,166.59M,173.33M,170.00M,166.00M,186.38M,187.33M
Dividend Per Share,0.65,0.65,1.30,0.65,0.00,0.65,1.30,0.50,0.50,0.50,0.50,0.40,0.40,0.40,0.40,0.25,0.25,0.25,0.25,0.20,0.20,0.20,0.20,0.15,0.15,0.15,0.15,0.00,0.14,0.14,0.28,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.10,0.10,0.00,0.10,0.19,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,AOR,,,,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,Restated,,,,Restated,,,,Restated,,,,Restated,,,,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
