Assets (Quarterly),2020-02,2019-11,2019-08,2019-05,2019-02,2018-11,2018-08,2018-05,2018-02,2017-11,2017-08,2017-05,2017-02,2016-11,2016-08,2016-05,2016-02,2015-11,2015-08,2015-05,2015-02,2014-11,2014-08,2014-05,2014-02,2013-11,2013-08,2013-05,2013-02,2012-11,2012-08,2012-05,2012-02,2011-11,2011-08,2011-05,2011-02,2010-11,2010-08,2010-05,2010-02,2009-11,2009-08,2009-05,2009-02,2008-11,2008-08,2008-05,2008-02,2007-11,2007-08,2007-05,2007-02,2006-11,2006-08,2006-05,2006-02,2005-11,2005-08,2005-05,2005-02,2004-11,2004-08,2004-05,2004-02,2003-11,2003-08,2003-05,2003-02,2002-11,2002-08,2002-05,2002-02,2001-11,2001-08,2001-05,2001-02,2000-11,2000-08,2000-05,2000-02,1999-11,1999-08,1999-05,1999-02,1998-11,1998-08,1998-05,1998-02,1997-11,1997-08,1997-05,1997-02,1996-11,1996-08,1996-05,1996-02,1995-11,1995-08,1995-05,1995-02,1994-11,1994-08,1994-05,1994-02,1993-11,1993-08,1993-05,1993-02,1992-11,1992-08,1992-05,1992-02,1991-11,1991-08,1991-05,1991-02,1990-11,1990-08,1990-05,1990-02,1989-11,1989-08,1989-05,1988-05,1987-05,1986-05,1985-05,1984-05
Accrued Expenses,4.895B,5.17B,4.825B,4.163B,4.902B,5.204B,4.837B,4.041B,4.838B,4.819B,4.833B,4.08B,4.698B,4.81B,4.576B,3.92B,3.904B,3.808B,3.781B,3.036B,3.193B,3.205B,3.179B,2.567B,3.115B,3.287B,3.39B,2.637B,3.118B,3.097B,1.892B,2.155B,1.602B,1.916B,1.872B,1.894B,1.823B,1.82B,1.786B,1.715B,1.641B,1.634B,1.533B,1.638B,1.607B,1.636B,2.468B,1.553B,2.43B,2.483B,2.543B,2.773B,2.623B,3.491B,3.333B,2.715B,3.098B,2.439B,2.525B,3.247B,2.522B,2.436B,2.347B,2.442B,2.125B,1.921B,1.825B,1.859B,1.842B,1.978B,1.836B,1.714B,1.743B,1.77B,1.697B,1.773B,1.630B,1.708B,1.712B,,1.607B,1.672B,,1.636B,,,,1.401B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payables and Accrued Expenses,8.088B,8.453B,8.004B,7.497B,8.058B,8.604B,7.903B,7.352B,7.94B,7.966B,7.771B,7.115B,7.405B,7.764B,7.427B,7.175B,5.928B,5.937B,5.83B,5.43B,5.243B,5.173B,5.152B,4.877B,5.018B,5.155B,5.269B,4.884B,4.848B,4.827B,3.535B,4.154B,3.289B,3.562B,3.435B,3.596B,3.413B,3.381B,3.209B,3.237B,3.13B,3.051B,2.844B,3.01B,2.999B,3.514B,4.518B,3.748B,4.594B,4.783B,4.561B,4.789B,4.511B,5.551B,5.208B,4.623B,4.945B,4.298B,4.23B,4.986B,4.207B,4.139B,3.828B,5.672B,3.589B,3.384B,2.961B,4.195B,2.966B,3.185B,2.925B,3.98B,2.816B,2.941B,2.844B,4.285B,2.823B,2.995B,2.814B,1.121B,2.672B,2.792B,1.034B,2.770B,996.70M,1.099B,1.032B,2.546B,1.319B,1.021B,1.083B,1.221B,953.30M,918.60M,879.70M,859.40M,831.90M,787.30M,734.10M,618.60M,728.30M,705.20M,677.40M,649.60M,624.90M,604.20M,552.40M,554.10M,440.20M,466.50M,428.80M,430.10M,453.40M,433.90M,410.80M,446.60M,460.00M,514.30M,455.60M,454.40M,428.00M,431.50M,420.70M,,,,,,
Other Current Borrowings,335.00M,150.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,335.00M,150.00M,,964.00M,1.198B,892.00M,1.703B,1.342B,1.563B,261.00M,19.00M,22.00M,45.00M,43.00M,47.00M,29.00M,11.00M,14.00M,14.00M,19.00M,,,1.00M,1.00M,1.00M,251.00M,254.00M,251.00M,251.00M,1.00M,,417.00M,419.00M,428.00M,301.00M,,18.00M,251.00M,251.00M,262.00M,283.00M,40.00M,158.00M,653.00M,1.089B,1.089B,1.001B,502.00M,18.00M,127.00M,134.00M,639.00M,1.259B,1.168B,1.13B,850.00M,241.00M,493.00M,295.00M,369.00M,973.00M,775.00M,830.00M,750.00M,2.077B,332.00M,280.00M,308.00M,481.00M,31.00M,127.00M,6.00M,288.00M,200.00M,205.00M,221.00M,42.78M,23.08M,23.07M,7.00M,251.23M,207.58M,2.60M,14.94M,216.50M,536.60M,265.50M,257.53M,273.50M,274.50M,148.40M,356.60M,11.00M,10.00M,7.90M,8.00M,181.00M,181.00M,256.50M,255.40M,80.50M,80.50M,193.20M,198.20M,198.20M,302.30M,130.70M,133.80M,132.70M,172.10M,166.00M,155.30M,179.00M,153.00M,201.20M,202.70M,197.40M,126.70M,55.60M,70.10M,69.30M,67.30M,76.40M,69.20M,69.10M,60.40M,73.00M,44.70M,22.00M
Current Capital Lease Obligation,1.902B,1.944B,1.931B,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.00M,,,,,18.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Debt & Capital Lease Obligation,2.237B,2.094B,1.931B,964.00M,1.198B,892.00M,1.703B,1.342B,1.563B,261.00M,19.00M,22.00M,45.00M,43.00M,47.00M,29.00M,11.00M,14.00M,14.00M,19.00M,,,1.00M,1.00M,1.00M,251.00M,254.00M,251.00M,251.00M,1.00M,117.00M,417.00M,419.00M,428.00M,301.00M,18.00M,18.00M,251.00M,251.00M,262.00M,283.00M,40.00M,158.00M,653.00M,1.089B,1.089B,1.001B,502.00M,18.00M,127.00M,134.00M,639.00M,1.259B,1.168B,1.13B,850.00M,241.00M,493.00M,295.00M,369.00M,973.00M,775.00M,830.00M,750.00M,2.077B,332.00M,280.00M,308.00M,481.00M,31.00M,127.00M,6.00M,288.00M,200.00M,205.00M,221.00M,42.78M,23.08M,23.07M,7.00M,251.23M,207.58M,2.60M,14.94M,216.50M,536.60M,265.50M,257.53M,273.50M,274.50M,148.40M,356.60M,11.00M,10.00M,7.90M,8.00M,181.00M,181.00M,256.50M,255.40M,80.50M,80.50M,193.20M,198.20M,198.20M,302.30M,130.70M,133.80M,132.70M,172.10M,166.00M,155.30M,179.00M,153.00M,201.20M,202.70M,197.40M,126.70M,55.60M,70.10M,69.30M,67.30M,76.40M,69.20M,69.10M,60.40M,73.00M,44.70M,22.00M
Current Deferred Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.402B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Tax Liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.402B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.402B,-745.00M,-715.00M,,-675.00M,,,-621.00M,,,,-1.615B,,,,-1.168B,,,,-1.133B,,,,-1.256B,,,,1.764B,,,1.641B,,1.502B,1.570B,1.494B,,923.40M,806.80M,804.10M,893.20M,701.90M,711.40M,715.30M,639.10M,677.20M,689.00M,669.10M,776.50M,608.40M,617.80M,623.90M,602.30M,563.30M,607.10M,627.30M,761.40M,757.00M,829.20M,825.70M,799.50M,780.00M,1.013B,876.50M,844.50M,798.00M,815.10M,783.70M,715.70M,652.10M,650.10M,633.10M,1.020B,502.90M,443.30M,358.90M,272.10M,233.90M
Total Current Liabilities,10.32B,10.55B,9.935B,9.013B,9.256B,9.496B,9.606B,9.627B,9.503B,8.227B,7.79B,7.918B,7.45B,7.807B,7.474B,8.008B,5.939B,5.951B,5.844B,5.956B,5.243B,5.173B,5.153B,5.312B,5.019B,5.406B,5.523B,5.75B,5.099B,4.828B,4.809B,5.374B,5.152B,5.38B,4.981B,4.882B,4.574B,4.863B,4.541B,4.645B,4.372B,4.119B,3.886B,4.524B,4.893B,5.523B,5.519B,5.368B,4.612B,4.91B,4.695B,5.428B,5.77B,5.974B,5.623B,5.473B,4.511B,4.791B,4.525B,4.734B,5.18B,4.914B,4.658B,4.807B,5.666B,3.716B,3.241B,3.335B,3.447B,3.216B,3.052B,2.853B,3.104B,3.141B,3.049B,3.25B,2.865B,3.018B,2.837B,2.892B,2.924B,2.999B,2.678B,2.785B,2.715B,3.206B,2.791B,2.804B,2.516B,2.102B,2.036B,2.471B,1.666B,1.64B,1.603B,1.506B,1.690B,1.657B,1.660B,1.650B,1.417B,1.404B,1.494B,1.450B,1.386B,1.514B,1.310B,1.449B,1.330B,1.468B,1.420B,1.385B,1.412B,1.600B,1.488B,1.494B,1.455B,1.456B,1.295B,1.240B,1.149B,1.149B,1.130B,1.089B,572.00M,503.70M,431.90M,316.80M,255.90M
Non-Current Portion of Long Term Debt,18.97B,18.60B,18.63B,16.62B,17.22B,16.40B,15.24B,15.24B,16.02B,15.18B,15.14B,14.91B,14.71B,13.55B,13.74B,13.73B,8.477B,8.481B,7.244B,7.249B,7.228B,4.735B,4.735B,4.736B,4.735B,2.739B,2.739B,2.739B,1.991B,2.241B,2.242B,1.25B,1.251B,1.251B,1.367B,1.667B,1.667B,1.667B,1.668B,1.668B,1.668B,1.918B,1.918B,1.93B,1.918B,918.00M,1.007B,1.506B,2.006B,2.007B,2.007B,2.007B,2.005B,2.047B,2.09B,1.592B,2.209B,2.203B,2.408B,2.427B,2.441B,2.74B,2.744B,2.837B,1.859B,1.893B,1.815B,1.709B,1.526B,1.775B,1.775B,1.80B,1.809B,1.896B,2.05B,1.90B,2.659B,2.230B,1.895B,1.776B,1.856B,1.850B,1.360B,1.360B,1.362B,1.362B,1.371B,1.385B,1.500B,1.287B,1.438B,1.598B,1.540B,1.331B,1.318B,1.325B,1.327B,1.336B,1.319B,1.325B,1.449B,1.470B,1.588B,1.632B,1.673B,1.670B,1.883B,1.882B,1.970B,1.968B,1.851B,1.798B,2.037B,1.802B,1.916B,1.827B,2.241B,2.237B,2.072B,2.148B,2.088B,1.905B,1.904B,2.139B,838.70M,744.90M,561.70M,607.50M,435.20M
Long Term Cap Lease Obligation,12.23B,12.52B,12.23B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of LTD and Capital Lease Obligation,31.20B,31.12B,30.86B,16.62B,17.22B,16.40B,15.24B,15.24B,16.02B,15.18B,15.14B,14.91B,14.71B,13.55B,13.74B,13.73B,8.477B,8.481B,7.244B,7.249B,7.228B,4.735B,4.735B,4.736B,4.735B,2.739B,2.739B,2.739B,1.991B,2.241B,2.242B,1.25B,1.251B,1.251B,1.367B,1.667B,1.667B,1.667B,1.668B,1.668B,1.668B,1.918B,1.918B,1.93B,1.918B,918.00M,1.007B,1.506B,2.006B,2.007B,2.007B,2.007B,2.005B,2.047B,2.09B,1.592B,2.209B,2.203B,2.408B,2.427B,2.441B,2.74B,2.744B,2.837B,1.859B,1.893B,1.815B,1.709B,1.526B,1.775B,1.775B,1.80B,1.809B,1.896B,2.05B,1.90B,2.659B,2.230B,1.895B,1.776B,1.856B,1.850B,1.360B,1.360B,1.362B,1.362B,1.371B,1.385B,1.500B,1.287B,1.438B,1.598B,1.540B,1.331B,1.318B,1.325B,1.327B,1.336B,1.319B,1.325B,1.449B,1.470B,1.588B,1.632B,1.673B,1.670B,1.883B,1.882B,1.970B,1.968B,1.851B,1.798B,2.037B,1.802B,1.916B,1.827B,2.241B,2.237B,2.072B,2.148B,2.088B,1.905B,1.904B,2.139B,838.70M,744.90M,561.70M,607.50M,435.20M
Long Term Deferred Tax Liabilities,3.101B,3.072B,2.953B,2.821B,3.211B,3.253B,2.948B,2.867B,2.401B,3.088B,2.73B,2.485B,2.299B,2.148B,1.762B,1.567B,2.046B,1.759B,1.781B,1.21B,2.497B,2.104B,2.107B,2.114B,2.083B,1.945B,1.82B,1.652B,1.139B,973.00M,879.00M,836.00M,2.03B,1.555B,1.441B,1.336B,1.328B,976.00M,902.00M,891.00M,1.384B,1.228B,1.132B,1.071B,1.522B,1.511B,1.484B,1.264B,1.022B,928.00M,918.00M,897.00M,1.402B,1.352B,1.369B,1.367B,1.272B,1.251B,1.149B,1.206B,1.216B,1.176B,1.198B,1.106B,901.00M,914.00M,917.00M,882.00M,826.00M,611.00M,559.00M,599.00M,561.00M,520.00M,509.00M,508.00M,439.35M,305.31M,306.00M,345.00M,327.22M,299.70M,287.60M,293.46M,283.90M,271.80M,268.90M,274.15M,227.60M,169.50M,170.20M,181.80M,127.10M,97.50M,64.70M,64.00M,36.00M,52.10M,55.50M,56.00M,5.40M,2.00M,7.10M,3.60M,913.60M,873.90M,853.80M,72.50M,724.40M,711.50M,711.10M,123.70M,143.20M,228.00M,222.90M,217.40M,754.10M,757.90M,727.50M,298.20M,521.70M,514.20M,547.20M,571.90M,,57.70M,22.80M,159.80M,112.40M
Non-Current Deferred Revenue,,,,99.00M,118.00M,137.00M,156.00M,121.00M,124.00M,122.00M,126.00M,137.00M,142.00M,145.00M,150.00M,155.00M,161.00M,167.00M,174.00M,181.00M,187.00M,193.00M,200.00M,206.00M,208.00M,215.00M,221.00M,227.00M,234.00M,239.00M,245.00M,251.00M,244.00M,234.00M,240.00M,246.00M,252.00M,257.00M,263.00M,267.00M,274.00M,276.00M,283.00M,289.00M,296.00M,302.00M,309.00M,315.00M,323.00M,330.00M,336.00M,343.00M,350.00M,357.00M,365.00M,373.00M,380.00M,387.00M,393.00M,400.00M,407.00M,414.00M,422.00M,426.00M,434.00M,440.00M,446.00M,455.00M,462.00M,,,484.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Deferred Liabilities,3.101B,3.072B,2.953B,3.451B,3.841B,3.995B,3.661B,3.539B,3.057B,3.843B,3.431B,3.153B,2.897B,2.84B,2.369B,2.122B,2.93B,2.766B,2.721B,2.102B,3.378B,3.129B,3.055B,3.078B,3.032B,3.042B,2.838B,2.657B,2.139B,2.122B,1.963B,1.871B,3.024B,2.686B,2.505B,2.361B,2.349B,2.146B,1.993B,1.962B,2.426B,2.394B,2.226B,2.162B,2.606B,2.473B,2.476B,2.25B,1.969B,1.889B,1.91B,1.895B,629.00M,2.344B,2.394B,2.398B,2.29B,2.248B,2.171B,2.138B,2.116B,2.092B,938.00M,2.035B,1.836B,1.841B,1.802B,1.803B,1.725B,611.00M,559.00M,1.50B,561.00M,520.00M,509.00M,508.00M,439.35M,305.31M,306.00M,345.00M,327.22M,299.70M,287.60M,293.46M,283.90M,271.80M,268.90M,274.15M,227.60M,169.50M,170.20M,181.80M,127.10M,97.50M,64.70M,64.00M,36.00M,52.10M,55.50M,56.00M,5.40M,2.00M,7.10M,3.60M,913.60M,873.90M,853.80M,72.50M,724.40M,711.50M,711.10M,123.70M,143.20M,228.00M,222.90M,217.40M,754.10M,757.90M,727.50M,298.20M,521.70M,514.20M,547.20M,571.90M,,57.70M,22.80M,159.80M,112.40M
Non-Current Accrued Expenses,1.933B,1.921B,1.924B,1.899B,1.861B,1.844B,1.809B,1.784B,1.715B,1.651B,1.603B,1.494B,1.376B,1.349B,1.338B,1.314B,1.282B,1.265B,1.186B,1.12B,1.092B,1.072B,1.047B,1.038B,1.028B,1.009B,996.00M,987.00M,989.00M,985.00M,987.00M,963.00M,960.00M,977.00M,964.00M,977.00M,976.00M,969.00M,960.00M,960.00M,949.00M,916.00M,932.00M,904.00M,869.00M,825.00M,813.00M,804.00M,785.00M,790.00M,,759.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pension Liability,4.165B,4.156B,4.132B,5.095B,1.847B,1.735B,1.963B,2.187B,2.181B,3.868B,4.313B,4.487B,4.67B,5.845B,6.063B,6.227B,4.628B,4.702B,4.806B,4.893B,2.962B,3.136B,3.313B,3.484B,3.586B,3.704B,3.813B,3.916B,5.361B,5.447B,5.519B,5.582B,1.654B,2.065B,2.123B,2.124B,1.598B,1.731B,1.693B,1.705B,931.00M,929.00M,955.00M,934.00M,998.00M,991.00M,997.00M,989.00M,850.00M,824.00M,1.119B,1.164B,971.00M,952.00M,953.00M,,863.00M,846.00M,841.00M,,820.00M,807.00M,786.00M,768.00M,749.00M,733.00M,681.00M,657.00M,620.00M,,,599.00M,,,,,,,,,,,,,,,,,92.70M,152.30M,104.50M,108.70M,62.50M,98.00M,67.10M,111.90M,86.20M,88.00M,77.30M,,97.60M,105.30M,54.40M,86.40M,43.40M,120.20M,82.40M,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Liabilities,454.00M,476.00M,479.00M,571.00M,547.00M,526.00M,448.00M,534.00M,484.00M,457.00M,458.00M,518.00M,491.00M,423.00M,454.00M,771.00M,236.00M,216.00M,161.00M,218.00M,193.00M,176.00M,163.00M,145.00M,102.00M,109.00M,109.00M,120.00M,139.00M,146.00M,147.00M,136.00M,142.00M,176.00M,184.00M,154.00M,158.00M,156.00M,152.00M,151.00M,150.00M,150.00M,154.00M,164.00M,171.00M,173.00M,191.00M,190.00M,182.00M,167.00M,954.00M,91.00M,2.588B,838.00M,797.00M,1.716B,742.00M,715.00M,712.00M,1.517B,696.00M,688.00M,1.864B,651.00M,638.00M,621.00M,599.00M,593.00M,500.00M,1.985B,1.96B,515.00M,1.896B,1.881B,1.856B,1.834B,1.778B,1.786B,1.758B,1.729B,1.770B,1.749B,1.652B,1.547B,1.430B,1.415B,1.325B,1.262B,1.238B,1.206B,1.167B,1.184B,1.150B,1.164B,1.136B,1.115B,1.101B,1.081B,1.057B,1.157B,1.022B,989.40M,937.50M,895.50M,,0.10M,,717.60M,,,,577.10M,593.90M,448.80M,465.50M,465.90M,,-0.10M,,339.40M,,,,0.10M,267.10M,114.30M,168.30M,3.10M,4.60M
Total Long Term Liabilities,40.86B,40.75B,40.35B,27.63B,25.31B,24.50B,23.12B,23.29B,23.45B,25.00B,24.94B,24.56B,24.15B,24.01B,23.96B,24.17B,17.55B,17.43B,16.12B,15.58B,14.85B,12.25B,12.31B,12.48B,12.48B,10.60B,10.50B,10.42B,10.62B,10.94B,10.86B,9.802B,7.031B,7.155B,7.143B,7.283B,6.748B,6.669B,6.466B,6.446B,6.124B,6.307B,6.185B,6.094B,6.562B,5.38B,5.484B,5.739B,5.792B,5.677B,5.99B,5.916B,6.193B,6.181B,6.234B,5.706B,6.104B,6.012B,6.132B,6.082B,6.073B,6.327B,6.332B,6.291B,5.082B,5.088B,4.897B,4.762B,4.371B,4.371B,4.294B,4.414B,4.266B,4.297B,4.415B,4.242B,4.876B,4.322B,3.959B,3.85B,3.953B,3.899B,3.299B,3.200B,3.076B,3.048B,2.965B,2.921B,3.058B,2.814B,2.880B,3.072B,2.879B,2.691B,2.585B,2.616B,2.551B,2.557B,2.509B,2.537B,2.575B,2.567B,2.587B,2.618B,2.630B,2.664B,2.819B,2.672B,2.695B,2.679B,2.562B,2.499B,2.774B,2.479B,2.604B,2.510B,2.995B,2.995B,2.800B,2.786B,2.610B,2.420B,2.451B,2.711B,1.106B,916.90M,752.80M,770.40M,552.20M
Total Liabilities,51.18B,51.30B,50.29B,36.65B,34.57B,34.00B,32.73B,32.91B,32.96B,33.23B,32.73B,32.48B,31.60B,31.82B,31.43B,32.18B,23.49B,23.38B,21.96B,21.54B,20.10B,17.42B,17.47B,17.79B,17.50B,16.01B,16.02B,16.17B,15.72B,15.77B,15.67B,15.18B,12.18B,12.54B,12.12B,12.16B,11.32B,11.53B,11.01B,11.09B,10.50B,10.43B,10.07B,10.62B,11.46B,10.90B,11.00B,11.11B,10.40B,10.59B,10.68B,11.34B,11.96B,12.16B,11.86B,11.18B,10.62B,10.80B,10.66B,10.82B,11.25B,11.24B,10.99B,11.10B,10.75B,8.804B,8.138B,8.097B,7.818B,7.587B,7.346B,7.267B,7.37B,7.438B,7.464B,7.492B,7.741B,7.340B,6.796B,6.742B,6.877B,6.898B,5.977B,5.985B,5.791B,6.254B,5.756B,5.725B,5.574B,4.916B,4.916B,5.543B,4.545B,4.331B,4.188B,4.123B,4.241B,4.214B,4.168B,4.188B,3.992B,3.971B,4.082B,4.068B,4.017B,4.178B,4.129B,4.122B,4.025B,4.147B,3.982B,3.884B,4.186B,4.079B,4.093B,4.004B,4.451B,4.451B,4.095B,4.026B,3.760B,3.568B,3.581B,3.800B,1.678B,1.421B,1.185B,1.087B,808.10M
Total Capital Stock,32.00M,32.00M,32.00M,32.00M,32.00M,32.00M,32.00M,32.00M,32.00M,32.00M,32.00M,32.00M,32.00M,32.00M,32.00M,32.00M,32.00M,32.00M,32.00M,32.00M,32.00M,32.00M,32.00M,32.00M,32.00M,32.00M,32.00M,32.00M,32.00M,32.00M,32.00M,32.00M,32.00M,32.00M,32.00M,32.00M,31.00M,31.00M,31.00M,31.00M,31.00M,31.00M,31.00M,31.00M,31.00M,31.00M,31.00M,31.00M,31.00M,31.00M,31.00M,31.00M,31.00M,31.00M,31.00M,31.00M,31.00M,30.00M,30.00M,30.00M,30.00M,30.00M,30.00M,30.00M,30.00M,30.00M,30.00M,30.00M,30.00M,30.00M,30.00M,30.00M,30.00M,30.00M,30.00M,30.00M,29.86M,29.86M,29.86M,30.00M,29.86M,29.86M,29.80M,29.80M,14.90M,14.80M,14.70M,14.74M,14.70M,11.50M,11.50M,14.80M,11.40M,11.40M,5.70M,5.70M,5.70M,5.70M,5.60M,5.60M,5.60M,5.60M,5.60M,5.60M,5.60M,5.50M,5.50M,,,,,,,,,,,,,,,,,,,,,,
Retained Earnings,25.57B,25.43B,25.05B,24.65B,26.65B,26.08B,25.32B,24.82B,23.71B,21.78B,21.16B,20.83B,19.83B,19.41B,18.86B,18.37B,18.48B,18.05B,17.43B,16.90B,21.88B,21.48B,20.92B,16.23B,19.70B,19.37B,18.91B,18.52B,18.22B,17.90B,17.50B,17.13B,16.58B,16.10B,15.65B,15.27B,14.71B,14.52B,14.27B,13.97B,13.55B,13.34B,13.03B,12.92B,13.80B,13.73B,13.27B,13.00B,13.24B,12.88B,12.43B,11.97B,11.39B,11.00B,10.52B,10.07B,9.528B,9.125B,8.678B,8.363B,7.939B,7.643B,7.31B,7.001B,6.61B,6.439B,6.349B,6.25B,5.971B,5.853B,5.608B,5.465B,5.277B,5.204B,4.979B,4.88B,4.771B,4.649B,4.461B,4.295B,4.054B,3.945B,3.775B,3.616B,3.409B,3.332B,3.149B,2.999B,,,,2.622B,,,,1.767B,,,,1.466B,,,,1.162B,,,,969.50M,967.30M,956.80M,918.80M,906.60M,872.20M,1.074B,1.040B,1.015B,969.10M,1.071B,1.046B,1.010B,967.00M,964.80M,930.00M,901.40M,726.00M,536.40M,598.20M,466.80M,391.30M
Additional Paid In Capital,3.324B,3.287B,3.257B,3.231B,3.209B,3.185B,3.154B,3.117B,3.085B,3.055B,3.03B,3.005B,2.976B,2.946B,2.918B,2.892B,2.869B,2.839B,2.814B,2.786B,2.739B,2.618B,2.629B,2.643B,2.259B,2.666B,2.696B,2.668B,2.623B,2.635B,2.612B,2.595B,2.574B,2.557B,2.547B,2.484B,2.408B,2.343B,2.302B,2.261B,2.168B,2.132B,2.091B,2.053B,2.001B,1.979B,1.954B,1.922B,1.848B,1.796B,1.761B,1.689B,1.621B,1.554B,1.50B,1.438B,1.406B,1.309B,1.277B,1.241B,1.193B,1.164B,1.129B,1.079B,1.01B,1.015B,1.055B,1.088B,1.106B,1.117B,1.133B,1.144B,1.123B,1.121B,1.121B,1.12B,1.117B,1.079B,1.079B,1.079B,1.059B,1.065B,1.068B,1.061B,1.029B,999.00M,994.50M,992.82M,,,,938.00M,,,,815.10M,,,,775.30M,,,,759.20M,,,,,,,,,,,,,,,,,,,,,,,,,
Treasury Stock,9.207B,9.225B,9.253B,9.289B,9.26B,9.186B,8.565B,7.978B,7.576B,7.383B,7.275B,7.382B,7.32B,7.432B,7.494B,7.342B,6.896B,5.888B,5.007B,4.897B,4.73B,4.78B,4.767B,4.133B,3.009B,762.00M,129.00M,1.00M,49.00M,253.00M,278.00M,81.00M,138.00M,194.00M,12.00M,12.00M,12.00M,12.00M,12.00M,7.00M,3.00M,3.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,3.00M,4.00M,4.00M,4.00M,3.00M,4.00M,2.00M,2.00M,36.00M,40.00M,44.00M,29.00M,34.00M,38.00M,42.00M,28.00M,32.00M,54.00M,67.00M,50.00M,41.00M,53.00M,63.00M,41.00M,37.00M,37.00M,52.00M,74.00M,91.14M,559.18M,572.62M,583.00M,464.74M,352.73M,,18.53M,,,,18.41M,,,,73.10M,,,,11.30M,,,,1.70M,,,,2.30M,,,,,,,,,,,,,,,,,,,,,,,,,
Adjustments for Foreign Currency Translation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.90M,-23.40M,-40.70M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accrued Comprehensive Inc,-887.00M,-866.00M,-918.00M,-865.00M,-737.00M,-817.00M,-763.00M,-578.00M,-357.00M,-434.00M,-325.00M,-415.00M,-334.00M,-425.00M,-176.00M,-169.00M,-159.00M,-41.00M,10.00M,172.00M,-3.909B,-3.787B,-3.694B,506.00M,-3.754B,-3.769B,-3.857B,-3.82B,-4.71B,-4.77B,-4.847B,-4.953B,-2.483B,-2.581B,-2.501B,-2.55B,-2.256B,-2.316B,-2.386B,-2.44B,-1.362B,-1.334B,-1.363B,-1.373B,-272.00M,-258.00M,-115.00M,-425.00M,-928.00M,-945.00M,-1.00B,-1.03B,-30.00M,-22.00M,-24.00M,-24.00M,-5.00M,-16.00M,-12.00M,-17.00M,-6.00M,-3.00M,-38.00M,-46.00M,-17.00M,-20.00M,-40.00M,-30.00M,-38.00M,-51.00M,-51.00M,-53.00M,-66.00M,-65.00M,-57.00M,-56.00M,-48.00M,-51.53M,-35.11M,,-18.02M,-23.05M,,-24.69M,-27.90M,-23.40M,-40.70M,-27.28M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
