Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Notes Payable,,,,,,,,,,2.425M,0.55M,0.00,21.80M,5.40M,23.90M,23.30M,20.00M,3.60M,27.00M,43.40M,31.30M,31.80M,37.20M,47.30M,54.75M,53.00M,61.90M,83.75M,69.70M,51.40M,64.70M,63.00M,54.20M,51.50M,66.40M,74.10M,66.90M,4.00M,17.50M,26.10M,53.75M,36.78M,79.10M,150.70M,151.25M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Borrowings,,,,,,,,,,,,,1.064M,1.064M,1.064M,101.06M,1.064M,1.064M,1.064M,121.06M,1.064M,1.064M,1.064M,1.064M,1.064M,71.06M,71.06M,1.064M,71.06M,1.064M,1.064M,1.064M,101.06M,1.667M,1.667M,1.667M,122.57M,126.62M,129.80M,131.95M,9.34M,84.06M,83.50M,81.50M,86.53M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,100.00M,,,,,,,130.00M,,2.425M,0.55M,0.00,22.86M,6.464M,24.96M,124.36M,21.06M,4.664M,28.06M,164.46M,32.36M,32.86M,38.26M,48.36M,55.81M,124.06M,132.96M,84.81M,140.76M,52.46M,65.76M,64.06M,155.26M,53.17M,68.07M,75.77M,189.47M,130.62M,147.30M,158.05M,63.09M,120.84M,162.60M,232.20M,237.78M,211.73M,288.06M,254.84M,197.90M,237.18M,178.21M,250.64M,224.12M,48.05M,61.15M,76.59M,76.41M,73.45M,130.44M,131.51M,114.87M,159.64M,95.34M,111.02M,161.57M,95.23M,181.84M,246.96M,265.79M,532.00M,525.00M,422.00M,399.00M,334.61M,193.39M,255.57M,160.00M,107.07M,33.61M,20.05M,109.00M,99.66M,134.34M,113.06M,44.55M,28.72M,87.69M,82.82M,91.51M,88.09M,61.59M,41.66M,54.09M,33.08M,65.63M,55.53M,73.54M,71.52M,82.62M,48.02M,55.52M,32.12M,20.47M,2.466M
Current Debt & Capital Lease Obligation,100.00M,,,,,,,130.00M,,2.425M,0.55M,0.00,22.86M,6.464M,24.96M,124.36M,21.06M,4.664M,28.06M,164.46M,32.36M,32.86M,38.26M,48.36M,55.81M,124.06M,132.96M,84.81M,140.76M,52.46M,65.76M,64.06M,155.26M,53.17M,68.07M,75.77M,189.47M,130.62M,147.30M,158.05M,63.09M,120.84M,162.60M,232.20M,237.78M,211.73M,288.06M,254.84M,197.90M,237.18M,178.21M,250.64M,224.12M,48.05M,61.15M,76.59M,76.41M,73.45M,130.44M,131.51M,114.87M,159.64M,95.34M,111.02M,161.57M,95.23M,181.84M,246.96M,265.79M,532.00M,525.00M,422.00M,399.00M,334.61M,193.39M,255.57M,160.00M,107.07M,33.61M,20.05M,109.00M,99.66M,134.34M,113.06M,44.55M,28.72M,87.69M,82.82M,91.51M,88.09M,61.59M,41.66M,54.09M,33.08M,65.63M,55.53M,73.54M,71.52M,82.62M,48.02M,55.52M,32.12M,20.47M,2.466M
Current Deferred Revenue,28.45M,31.34M,37.40M,26.35M,20.04M,23.05M,28.41M,23.54M,18.41M,20.61M,24.22M,22.74M,21.44M,26.62M,34.55M,31.83M,31.21M,,,,17.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Liabilities,28.45M,31.34M,37.40M,26.35M,20.04M,23.05M,28.41M,23.54M,18.41M,20.61M,24.22M,22.74M,21.44M,26.62M,34.55M,31.83M,31.21M,,,,17.20M,,,,,,,,,,,,,0.00,56.90M,73.70M,74.44M,75.14M,,,1.138M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Tax Liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,56.90M,73.70M,74.44M,75.14M,,,1.138M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Liability,50.61M,57.88M,83.18M,85.35M,36.98M,34.42M,42.83M,34.10M,11.59M,11.40M,13.90M,28.24M,19.71M,13.28M,15.49M,21.12M,18.49M,35.52M,43.90M,44.92M,26.12M,32.72M,32.15M,35.60M,28.46M,46.27M,39.32M,54.23M,44.01M,97.55M,111.24M,122.33M,69.19M,79.03M,82.53M,89.35M,58.11M,69.56M,70.32M,51.32M,46.62M,37.76M,44.07M,51.53M,44.38M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.00M,,,,,,,,,,,,,,,,0.001M,,0.001M,,,,,
Total Current Liabilities,374.86M,291.08M,295.58M,273.47M,258.59M,250.41M,238.00M,331.84M,200.75M,225.79M,190.67M,180.78M,249.72M,205.29M,224.55M,311.82M,242.31M,205.33M,233.77M,347.26M,241.78M,239.70M,236.26M,246.84M,250.37M,335.26M,313.62M,255.41M,351.30M,268.26M,296.64M,283.94M,368.25M,254.46M,339.70M,331.34M,449.06M,382.45M,338.98M,328.22M,218.23M,294.95M,290.63M,360.79M,395.67M,386.47M,451.96M,413.92M,375.32M,384.51M,348.36M,392.96M,410.33M,253.21M,284.86M,288.33M,293.58M,284.26M,304.85M,298.58M,285.46M,310.76M,253.58M,250.55M,311.70M,304.97M,423.35M,525.43M,573.16M,835.00M,834.00M,787.00M,904.00M,1.183B,1.190B,1.320B,1.562B,834.67M,683.84M,330.38M,346.00M,363.72M,371.63M,287.36M,204.92M,243.12M,234.20M,244.28M,262.53M,233.33M,172.60M,155.80M,140.48M,134.58M,152.78M,167.46M,162.86M,168.72M,148.01M,139.66M,131.30M,132.14M,90.49M,91.36M
Non-Current Portion of Long Term Debt,1.737B,1.836B,1.836B,1.835B,1.835B,1.834B,1.834B,1.834B,1.746B,1.746B,1.745B,1.745B,1.745B,1.746B,1.745B,1.744B,1.725B,1.742B,1.742B,1.742B,1.599B,1.614B,1.614B,1.614B,1.615B,1.615B,1.615B,1.536B,1.467B,1.537B,1.537B,1.487B,1.388B,1.487B,1.487B,1.487B,1.488B,1.488B,1.289B,1.290B,1.410B,1.283B,1.284B,1.280B,1.183B,1.273B,1.153B,1.155B,1.157B,1.061B,1.065B,926.93M,928.65M,1.014B,1.016B,1.021B,1.024B,1.029B,972.11M,977.56M,979.55M,985.49M,995.21M,1.019B,945.83M,951.96M,923.72M,868.92M,898.68M,702.00M,706.00M,791.00M,843.00M,870.14M,899.62M,905.02M,864.00M,783.48M,821.07M,824.14M,822.00M,741.85M,738.55M,734.76M,815.94M,816.04M,749.88M,750.12M,746.14M,706.33M,738.56M,738.55M,738.55M,710.24M,681.63M,682.62M,672.62M,672.61M,673.06M,693.21M,693.21M,693.20M,693.64M,693.79M
Non-Current Portion of LTD and Capital Lease Obligation,1.737B,1.836B,1.836B,1.835B,1.835B,1.834B,1.834B,1.834B,1.746B,1.746B,1.745B,1.745B,1.745B,1.746B,1.745B,1.744B,1.725B,1.742B,1.742B,1.742B,1.599B,1.614B,1.614B,1.614B,1.615B,1.615B,1.615B,1.536B,1.467B,1.537B,1.537B,1.487B,1.388B,1.487B,1.487B,1.487B,1.488B,1.488B,1.289B,1.290B,1.410B,1.283B,1.284B,1.280B,1.183B,1.273B,1.153B,1.155B,1.157B,1.061B,1.065B,926.93M,928.65M,1.014B,1.016B,1.021B,1.024B,1.029B,972.11M,977.56M,979.55M,985.49M,995.21M,1.019B,945.83M,951.96M,923.72M,868.92M,898.68M,702.00M,706.00M,791.00M,843.00M,870.14M,899.62M,905.02M,864.00M,783.48M,821.07M,824.14M,822.00M,741.85M,738.55M,734.76M,815.94M,816.04M,749.88M,750.12M,746.14M,706.33M,738.56M,738.55M,738.55M,710.24M,681.63M,682.62M,672.62M,672.61M,673.06M,693.21M,693.21M,693.20M,693.64M,693.79M
Long Term Deferred Tax Liabilities,746.23M,678.77M,689.90M,694.05M,699.88M,630.46M,642.01M,647.44M,660.94M,1.241B,1.251B,1.248B,1.244B,1.170B,1.149B,1.144B,1.137B,1.092B,1.065B,1.066B,1.065B,1.030B,980.14M,957.78M,969.59M,938.16M,904.31M,892.36M,883.38M,877.21M,832.65M,806.50M,772.05M,750.00M,586.86M,577.59M,566.47M,582.81M,559.86M,565.99M,574.45M,528.95M,512.98M,511.28M,515.72M,473.84M,468.87M,479.59M,466.18M,486.01M,475.12M,463.47M,498.51M,497.66M,483.02M,494.64M,519.56M,540.53M,551.17M,557.32M,555.77M,532.28M,534.99M,553.10M,554.72M,538.98M,536.12M,566.00M,595.82M,628.00M,557.00M,584.00M,590.00M,633.59M,602.75M,585.01M,526.00M,526.11M,502.19M,490.76M,497.00M,490.32M,489.70M,491.23M,491.59M,502.08M,499.49M,503.55M,493.93M,494.28M,487.24M,488.63M,483.17M,481.59M,476.48M,477.17M,478.90M,477.26M,452.78M,454.92M,452.52M,440.50M,439.63M,435.12M
Non-Current Deferred Liabilities,746.23M,678.77M,689.90M,694.05M,699.88M,630.46M,642.01M,647.44M,660.94M,1.241B,1.251B,1.248B,1.244B,1.170B,1.149B,1.144B,1.137B,1.092B,1.065B,1.066B,1.065B,1.030B,980.14M,957.78M,969.59M,938.16M,904.31M,892.36M,883.38M,877.21M,832.65M,806.50M,772.05M,750.00M,586.86M,577.59M,566.47M,582.81M,559.86M,565.99M,574.45M,528.95M,512.98M,511.28M,515.72M,473.84M,468.87M,479.59M,466.18M,486.01M,475.12M,463.47M,498.51M,497.66M,483.02M,494.64M,519.56M,540.53M,551.17M,557.32M,555.77M,532.28M,534.99M,553.10M,554.72M,538.98M,536.12M,566.00M,595.82M,628.00M,557.00M,584.00M,590.00M,65.86M,65.63M,66.41M,66.00M,66.40M,66.74M,67.09M,67.00M,67.96M,68.42M,68.86M,69.40M,69.71M,70.01M,70.32M,70.20M,70.08M,70.48M,70.88M,71.28M,71.14M,69.80M,70.15M,70.51M,71.41M,71.51M,71.53M,71.59M,71.16M,71.54M,71.84M
Pension Liability,519.57M,410.80M,433.72M,427.76M,431.48M,415.62M,429.51M,434.53M,438.87M,391.58M,424.33M,417.78M,411.52M,375.81M,397.62M,401.16M,394.03M,385.89M,407.36M,410.09M,403.33M,230.38M,247.78M,249.54M,244.63M,416.27M,427.95M,430.62M,423.41M,339.32M,341.91M,335.46M,363.21M,,,,263.69M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minority Interest Ownership,5.925M,5.988M,5.646M,5.402M,5.451M,5.362M,5.003M,4.698M,4.729M,4.57M,4.128M,3.864M,3.96M,4.019M,4.101M,3.961M,4.16M,4.319M,4.388M,4.278M,4.364M,4.373M,4.028M,3.871M,4.09M,4.182M,4.197M,4.06M,4.213M,4.26M,4.065M,3.928M,4.04M,4.041M,3.695M,3.619M,3.871M,4.021M,4.031M,4.003M,4.209M,4.311M,4.082M,3.987M,4.434M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Liabilities,45.13M,45.13M,45.86M,43.84M,43.22M,43.32M,43.75M,44.34M,44.57M,44.65M,44.52M,43.69M,45.08M,45.41M,45.27M,44.92M,45.87M,49.11M,47.67M,50.77M,44.24M,45.29M,48.66M,49.80M,54.10M,52.72M,59.57M,59.00M,65.23M,63.82M,65.12M,71.51M,75.80M,341.44M,353.87M,343.67M,74.47M,302.80M,357.74M,346.63M,346.99M,340.00M,332.63M,322.99M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Long Term Liabilities,3.796B,3.741B,3.756B,3.729B,3.748B,3.665B,3.670B,3.668B,3.589B,3.889B,3.900B,3.886B,3.882B,3.771B,3.763B,3.757B,3.719B,3.679B,3.661B,3.666B,3.502B,3.305B,3.268B,3.253B,3.259B,3.392B,3.367B,3.281B,3.194B,3.165B,3.110B,3.032B,2.931B,2.912B,2.736B,2.705B,2.691B,2.671B,2.508B,2.487B,2.619B,2.438B,2.422B,2.396B,1.699B,1.747B,1.622B,1.635B,1.623B,1.547B,1.540B,1.390B,1.427B,1.511B,1.499B,1.516B,1.543B,1.569B,1.523B,1.535B,1.535B,1.518B,1.530B,1.573B,1.501B,1.491B,1.460B,1.435B,1.494B,1.33B,1.263B,1.375B,1.433B,936.00M,965.25M,971.43M,930.00M,849.87M,887.82M,891.23M,889.00M,809.81M,806.97M,803.62M,885.33M,885.74M,819.89M,820.44M,816.34M,776.42M,809.04M,809.44M,809.83M,781.39M,751.42M,752.78M,743.12M,744.02M,744.56M,764.74M,764.80M,764.36M,765.19M,765.62M
Total Liabilities,4.171B,4.032B,4.051B,4.002B,4.007B,3.915B,3.908B,4.000B,3.789B,4.115B,4.090B,4.067B,4.132B,3.976B,3.988B,4.069B,3.961B,3.884B,3.895B,4.013B,3.743B,3.545B,3.504B,3.500B,3.510B,3.727B,3.681B,3.536B,3.545B,3.433B,3.407B,3.316B,3.299B,3.166B,3.076B,3.037B,3.140B,3.053B,2.847B,2.815B,2.837B,2.733B,2.712B,2.757B,2.716B,2.581B,2.524B,2.492B,2.446B,2.405B,2.363B,2.255B,2.321B,2.225B,2.300B,2.322B,2.339B,2.285B,2.247B,2.247B,2.226B,2.239B,2.181B,2.210B,2.189B,2.026B,2.143B,2.217B,2.459B,2.465B,2.405B,2.413B,2.664B,2.980B,2.982B,3.068B,3.114B,2.256B,2.113B,1.757B,1.781B,1.700B,1.702B,1.618B,1.615B,1.664B,1.607B,1.619B,1.633B,1.560B,1.520B,1.506B,1.494B,1.459B,1.425B,1.439B,1.427B,1.430B,1.385B,1.396B,1.386B,1.381B,1.326B,1.318B
Total Capital Stock,868.31M,866.13M,864.27M,863.42M,863.59M,861.52M,859.65M,857.53M,857.21M,855.04M,853.60M,852.66M,851.83M,850.70M,849.61M,848.36M,849.11M,848.00M,846.91M,845.71M,845.40M,843.16M,841.72M,840.47M,839.75M,838.58M,836.56M,835.42M,834.92M,0.00,0.00,0.00,828.39M,0.00,0.00,809.97M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,594.42M,0.00,596.68M,594.11M,592.42M,589.44M,474.67M,526.72M,526.62M,526.27M,526.37M,526.83M,526.94M,523.75M,520.00M,566.00M,562.00M,558.00M,556.05M,556.78M,556.89M,558.00M,557.46M,555.38M,556.79M,557.00M,556.97M,557.00M,557.14M,557.53M,200.24M,200.59M,200.66M,559.22M,200.82M,200.90M,200.96M,201.01M,226.05M,226.14M,226.18M,226.21M,226.24M,226.36M,226.41M,226.49M,226.52M,226.58M,225.96M
Retained Earnings,1.635B,1.621B,1.563B,1.542B,1.532B,1.537B,1.465B,1.433B,1.427B,1.413B,1.351B,1.328B,1.323B,1.318B,1.260B,1.230B,1.230B,1.224B,1.174B,1.132B,1.132B,1.121B,1.056B,1.033B,1.027B,1.034B,981.82M,955.41M,923.98M,943.58M,868.07M,849.33M,840.92M,846.87M,754.77M,748.76M,733.88M,728.27M,675.60M,650.83M,649.18M,640.03M,599.74M,586.41M,581.60M,588.00M,549.85M,545.92M,537.70M,540.82M,525.27M,520.00M,493.36M,488.16M,457.08M,449.99M,437.28M,429.69M,431.50M,434.71M,424.31M,421.50M,406.89M,405.36M,397.17M,404.88M,375.88M,394.54M,415.32M,436.00M,417.00M,432.00M,424.00M,422.56M,406.07M,387.44M,370.00M,363.87M,339.77M,324.72M,300.00M,298.97M,294.42M,290.64M,278.61M,277.61M,272.72M,269.86M,259.30M,240.28M,255.50M,236.13M,242.09M,226.46M,244.23M,223.12M,229.83M,206.98M,220.15M,204.57M,220.84M,199.42M,219.97M,204.76M
Additional Paid In Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835.74M,834.55M,831.30M,,820.27M,816.89M,,807.84M,796.52M,762.90M,759.79M,756.48M,747.40M,734.88M,731.76M,729.58M,691.16M,682.15M,678.72M,675.77M,672.90M,650.15M,639.51M,638.80M,604.82M,599.06M,,598.71M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.13M,362.06M,361.85M,,361.76M,361.73M,361.71M,362.30M,362.82M,362.78M,362.77M,363.04M,362.94M,362.90M,362.87M,363.06M,363.05M,363.02M,357.06M
Treasury Stock,1.92M,1.972M,1.992M,3.008M,1.932M,1.932M,1.936M,2.706M,1.386M,1.368M,1.357M,1.592M,0.243M,0.201M,0.189M,0.029M,0.057M,0.057M,0.037M,0.005M,0.28M,0.28M,0.286M,0.021M,0.008M,0.013M,0.013M,0.016M,0.021M,0.021M,0.021M,0.06M,0.029M,0.029M,0.029M,0.00,0.04M,0.017M,0.017M,0.00,0.053M,0.053M,0.021M,0.02M,0.037M,0.039M,0.015M,0.003M,0.002M,0.002M,0.008M,,2.242M,2.242M,1.985M,,0.998M,7.321M,7.384M,7.385M,4.578M,4.578M,4.578M,4.627M,4.16M,4.538M,4.538M,4.538M,3.74M,4.00M,4.00M,4.00M,3.00M,5.546M,8.044M,8.044M,1.00M,8.014M,,,,,,,,3.828M,3.836M,3.838M,,3.84M,3.842M,3.841M,3.842M,4.147M,4.149M,4.126M,4.127M,4.127M,4.129M,4.13M,4.132M,4.132M,4.129M,4.128M
Preferred Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.30M,52.33M,52.37M,52.48M,52.56M,52.80M,53.39M,54.00M,104.00M,104.00M,104.00M,104.52M,104.69M,104.77M,105.00M,105.44M,105.58M,105.67M,106.00M,105.86M,105.92M,105.96M,105.97M,106.21M,106.56M,106.63M,106.70M,106.79M,106.87M,106.92M,106.98M,132.02M,132.11M,132.15M,132.18M,132.21M,132.32M,132.38M,132.46M,132.49M,132.54M,132.63M
Accrued Comprehensive Inc,-36.28M,-21.38M,-21.87M,-22.36M,-22.84M,-28.80M,-29.52M,-30.24M,-30.96M,-19.47M,-19.94M,-20.41M,-20.88M,-19.59M,-20.15M,-20.71M,-21.28M,-22.16M,-22.82M,-23.49M,-24.16M,-15.26M,-15.69M,-16.12M,-16.55M,-13.44M,-14.75M,-15.47M,-17.12M,-9.319M,-10.27M,-9.995M,-11.62M,-10.27M,-8.541M,-8.781M,-9.568M,-7.517M,-8.678M,-7.674M,-8.267M,-6.90M,-8.179M,-9.458M,-8.707M,-8.461M,-7.333M,-7.155M,-6.156M,-5.617M,-5.913M,-6.687M,-5.737M,-4.178M,-4.811M,-3.091M,-9.741M,-2.928M,-2.642M,-1.776M,-0.888M,-4.45M,-3.769M,-3.34M,-2.63M,-4.734M,-5.083M,-8.114M,-7.109M,-6.00M,-5.00M,-4.00M,-4.00M,-3.536M,-2.528M,-2.768M,-1.00M,2.526M,2.277M,1.671M,2.00M,-0.686M,0.226M,0.226M,0.226M,0.109M,,0.109M,,,,,,,,,,,,,,,,
Shareholders Equity,2.465B,2.464B,2.404B,2.380B,2.370B,2.368B,2.293B,2.257B,2.251B,2.248B,2.183B,2.159B,2.154B,2.149B,2.090B,2.058B,2.058B,2.050B,1.998B,1.954B,1.953B,1.949B,1.882B,1.858B,1.851B,1.860B,1.804B,1.775B,1.742B,1.770B,1.692B,1.671B,1.658B,1.657B,1.563B,1.550B,1.532B,1.517B,1.430B,1.403B,1.397B,1.380B,1.326B,1.309B,1.302B,1.271B,1.225B,1.217B,1.207B,1.208B,1.169B,1.153B,1.124B,1.087B,1.049B,1.041B,1.025B,1.016B,1.016B,1.018B,1.008B,887.14M,925.27M,924.02M,916.65M,921.97M,893.09M,908.83M,928.22M,946.00M,974.00M,986.00M,975.00M,969.54M,952.28M,933.52M,926.00M,915.85M,897.43M,883.18M,859.00M,855.26M,851.64M,848.01M,836.36M,836.25M,831.53M,828.64M,818.52M,799.02M,814.29M,794.95M,801.55M,811.19M,829.01M,807.95M,814.96M,792.03M,805.27M,789.72M,806.26M,784.85M,805.44M,783.66M
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
