Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1988-12,1987-12,1986-12,1985-12,1984-12
Total Assets,70.51B,70.34B,71.26B,71.50B,69.98B,70.56B,68.94B,70.73B,73.36B,74.86B,78.00B,87.97B,89.77B,94.28B,96.05B,99.83B,97.48B,105.95B,112.00B,110.04B,116.54B,118.99B,121.65B,120.02B,118.06B,119.76B,116.95B,117.78B,117.14B,115.37B,114.01B,162.88B,153.23B,154.69B,160.07B,159.64B,156.31B,155.33B,151.46B,154.81B,152.14B,152.43B,150.07B,143.25B,142.86B,184.61B,190.16B,183.28B,177.76B,173.43B,170.87B,173.21B,164.78B,163.72B,161.92B,159.65B,107.00B,104.37B,97.47B,96.89B,92.86B,88.82B,85.53B,84.43B,82.46B,81.95B,80.73B,80.12B,76.84B,77.48B,36.82B,35.67B,35.22B,35.35B,20.75B,20.66B,20.51B,20.58B,20.26B,15.06B,15.20B,15.19B,14.76B,14.46B,14.22B,14.46B,13.95B,13.96B,13.86B,14.22B,13.82B,13.66B,13.55B,12.93B,12.77B,12.24B,11.98B,11.74B,11.74B,11.56B,11.44B,11.04B,11.11B,10.94B,11.04B,11.28B,11.39B,11.41B,11.47B,11.66B,11.66B,11.47B,11.47B,12.07B,11.94B,12.04B,12.13B,12.36B,11.84B,11.64B,11.26B,11.68B,11.97B,12.11B,12.40B,14.04B,16.96B
Accounts Payable,3.20B,3.171B,3.635B,3.846B,3.895B,3.918B,3.666B,3.886B,4.03B,3.416B,3.434B,3.531B,3.653B,3.751B,3.818B,4.165B,4.933B,5.211B,5.869B,6.75B,8.026B,8.692B,9.254B,9.604B,9.314B,10.33B,10.44B,10.42B,10.01B,9.982B,9.096B,19.64B,19.65B,20.84B,18.81B,20.20B,18.40B,16.06B,15.38B,15.94B,15.48B,14.86B,14.97B,13.32B,13.99B,19.24B,23.36B,20.69B,17.86B,16.26B,16.13B,16.76B,14.63B,14.05B,14.52B,14.00B,12.27B,11.90B,10.50B,11.03B,9.131B,8.277B,7.90B,7.536B,6.598B,6.794B,6.513B,7.305B,5.949B,6.316B,3.214B,3.00B,2.531B,3.417B,1.624B,1.783B,1.914B,1.754B,1.847B,1.681B,1.668B,1.697B,1.379B,1.349B,1.34B,1.553B,1.475B,1.436B,1.546B,1.59B,1.50B,1.547B,1.793B,1.481B,1.521B,1.463B,1.494B,1.319B,1.375B,1.253B,1.371B,1.152B,1.199B,1.151B,1.349B,1.124B,1.205B,1.223B,1.289B,1.256B,1.149B,998.00M,1.103B,1.248B,1.161B,1.174B,1.372B,1.354B,1.029B,1.173B,1.23B,1.049B,,,,,
Current Tax Payable,1.03B,1.077B,1.213B,1.539B,1.32B,1.582B,1.301B,1.341B,1.038B,1.005B,791.00M,756.00M,484.00M,394.00M,554.00M,701.00M,499.00M,659.00M,880.00M,864.00M,1.051B,1.655B,2.77B,3.485B,2.713B,2.911B,2.813B,3.658B,3.366B,2.837B,2.819B,4.751B,4.22B,4.573B,4.836B,5.445B,4.874B,5.186B,4.508B,4.105B,3.402B,3.844B,3.816B,4.143B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Payables,4.23B,4.248B,4.848B,5.385B,5.215B,5.50B,4.967B,5.227B,5.068B,4.421B,4.225B,4.287B,4.137B,4.145B,4.372B,4.866B,5.432B,5.87B,6.749B,7.614B,9.077B,10.35B,12.02B,13.09B,12.03B,13.24B,13.25B,14.08B,13.38B,12.82B,11.92B,26.30B,23.87B,25.41B,25.85B,25.65B,23.27B,21.25B,19.88B,20.04B,18.89B,18.71B,18.79B,17.46B,13.99B,19.24B,23.36B,20.69B,17.86B,16.26B,16.13B,16.76B,14.63B,14.05B,14.52B,14.00B,12.27B,11.90B,10.50B,11.03B,9.131B,8.277B,7.90B,7.536B,6.598B,6.794B,6.513B,7.305B,5.949B,6.316B,3.214B,3.00B,2.531B,3.417B,1.624B,1.783B,1.914B,1.754B,1.847B,1.681B,1.668B,1.697B,1.379B,1.349B,1.34B,1.553B,1.475B,1.436B,1.546B,1.59B,1.50B,1.547B,1.793B,1.481B,1.521B,1.463B,1.494B,1.319B,1.375B,1.253B,1.371B,1.152B,1.199B,1.151B,1.349B,1.124B,1.205B,1.223B,1.289B,1.256B,1.149B,998.00M,1.103B,1.248B,1.161B,1.174B,1.372B,1.354B,1.029B,1.173B,1.23B,1.049B,,,,,
Accrued Expenses,2.045B,1.03B,3.505B,1.402B,1.259B,1.18B,1.071B,1.137B,1.029B,851.00M,1.394B,1.679B,994.00M,1.299B,1.107B,1.379B,1.51B,1.381B,1.227B,1.204B,1.40B,1.393B,1.905B,1.821B,1.671B,1.841B,2.375B,2.453B,2.367B,1.551B,1.672B,2.427B,2.071B,2.018B,2.112B,2.333B,2.129B,3.027B,2.035B,3.80B,2.234B,3.154B,2.861B,2.784B,6.481B,9.128B,10.42B,9.45B,6.703B,6.676B,6.006B,7.932B,6.859B,8.089B,6.809B,7.785B,6.122B,4.176B,4.252B,5.824B,4.505B,5.649B,5.198B,5.543B,5.493B,5.22B,5.941B,6.398B,5.066B,4.81B,1.632B,1.777B,1.617B,2.245B,1.152B,1.46B,1.316B,1.353B,1.137B,840.00M,821.00M,847.00M,692.00M,589.00M,625.00M,749.00M,612.00M,729.00M,665.00M,875.00M,716.00M,844.00M,770.00M,988.00M,800.00M,990.00M,1.302B,1.431B,1.274B,1.25B,1.052B,1.103B,1.018B,1.092B,1.054B,,,,,,,,,,,,,,,,,,,,,,
Payables and Accrued Expenses,6.275B,5.278B,8.353B,6.787B,6.474B,6.68B,6.038B,6.364B,6.097B,5.272B,5.619B,5.966B,5.131B,5.444B,5.479B,6.245B,6.942B,7.251B,7.976B,8.818B,10.48B,11.74B,13.93B,14.91B,13.70B,15.08B,15.62B,16.53B,15.75B,14.37B,13.59B,28.73B,25.94B,27.43B,27.97B,27.98B,25.40B,24.28B,21.92B,23.84B,21.12B,21.86B,21.65B,20.25B,20.47B,28.36B,33.78B,30.14B,24.56B,22.93B,22.14B,24.69B,21.49B,22.14B,21.33B,21.78B,18.39B,16.07B,14.75B,16.86B,13.64B,13.93B,13.10B,13.08B,12.09B,12.01B,12.45B,13.70B,11.02B,11.13B,4.846B,4.777B,4.148B,5.662B,2.776B,3.243B,3.23B,3.107B,2.984B,2.521B,2.489B,2.544B,2.071B,1.938B,1.965B,2.302B,2.087B,2.165B,2.211B,2.465B,2.216B,2.391B,2.563B,2.469B,2.321B,2.453B,2.796B,2.75B,2.649B,2.503B,2.423B,2.255B,2.217B,2.243B,2.403B,1.124B,1.205B,1.223B,1.289B,1.256B,1.149B,998.00M,1.103B,1.248B,1.161B,1.174B,1.372B,1.354B,1.029B,1.173B,1.23B,1.049B,,,,,
Notes Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.00M,1.109B,1.707B,4.043B,4.03B,4.571B,6.127B,1.758B,1.125B,354.00M,114.00M,632.00M,1.079B,1.241B,1.441B,1.44B,2.404B,1.544B,844.00M,849.00M,2.603B,1.059B,481.00M,44.00M,43.00M,4.00M,262.00M,262.00M,410.00M,808.00M,80.00M,31.00M,46.00M,76.00M,117.00M,167.00M,124.00M,106.00M,99.00M,234.00M,352.00M,362.00M,341.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,105.00M,121.00M,114.00M,113.00M,112.00M,95.00M,89.00M,337.00M,2.575B,1.331B,3.798B,1.095B,1.089B,1.336B,1.331B,2.079B,1.427B,175.00M,138.00M,193.00M,182.00M,1.688B,1.664B,1.712B,589.00M,572.00M,554.00M,1.351B,955.00M,2.335B,4.179B,7.002B,1.013B,616.00M,606.00M,605.00M,936.00M,376.00M,3.082B,2.763B,1.728B,2.796B,1.438B,82.00M,370.00M,387.00M,385.00M,384.00M,1.398B,405.00M,1.109B,1.707B,4.043B,4.03B,4.571B,6.127B,1.758B,1.125B,354.00M,114.00M,632.00M,1.079B,1.241B,1.441B,1.44B,2.404B,1.544B,844.00M,849.00M,2.603B,1.059B,481.00M,44.00M,43.00M,4.00M,262.00M,262.00M,410.00M,808.00M,80.00M,31.00M,46.00M,76.00M,117.00M,167.00M,124.00M,106.00M,99.00M,234.00M,352.00M,362.00M,341.00M,574.00M,30.00M,29.00M,19.00M,19.00M,28.00M,28.00M,18.00M,18.00M,26.00M,26.00M,18.00M,18.00M,25.00M,37.00M,30.00M,104.00M,84.00M,69.00M,119.00M,123.00M,22.00M,35.00M,21.00M,59.00M,41.00M,50.00M,60.00M,86.00M,263.00M,133.00M,178.00M,188.00M,237.00M,1.972B
Current Debt & Capital Lease Obligation,105.00M,121.00M,114.00M,113.00M,112.00M,95.00M,89.00M,337.00M,2.575B,1.331B,3.798B,1.095B,1.089B,1.336B,1.331B,2.079B,1.427B,175.00M,138.00M,193.00M,182.00M,1.688B,1.664B,1.712B,589.00M,572.00M,554.00M,1.351B,955.00M,2.335B,4.179B,7.002B,1.013B,616.00M,606.00M,605.00M,936.00M,376.00M,3.082B,2.763B,1.728B,2.796B,1.438B,82.00M,370.00M,387.00M,385.00M,384.00M,1.398B,405.00M,1.109B,1.707B,4.043B,4.03B,4.571B,6.127B,1.758B,1.125B,354.00M,114.00M,632.00M,1.079B,1.241B,1.441B,1.44B,2.404B,1.544B,844.00M,849.00M,2.603B,1.059B,481.00M,44.00M,43.00M,4.00M,262.00M,262.00M,410.00M,808.00M,80.00M,31.00M,46.00M,76.00M,117.00M,167.00M,124.00M,106.00M,99.00M,234.00M,352.00M,362.00M,341.00M,574.00M,30.00M,29.00M,19.00M,19.00M,28.00M,28.00M,18.00M,18.00M,26.00M,26.00M,18.00M,18.00M,25.00M,37.00M,30.00M,104.00M,84.00M,69.00M,119.00M,123.00M,22.00M,35.00M,21.00M,59.00M,41.00M,50.00M,60.00M,86.00M,263.00M,133.00M,178.00M,188.00M,237.00M,1.972B
Other Current Liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939.00M,758.00M,681.00M,597.00M,920.00M,740.00M,669.00M,628.00M,895.00M,1.184B,1.123B,1.114B,1.212B,4.20B,1.224B,999.00M,1.318B,163.00M,183.00M,182.00M,480.00M,358.00M,610.00M,518.00M,952.00M,227.00M,,,629.00M,,,,,,,,,,,,,,,,,6.00M,13.00M,,,,2.00M,,,,,,,,,,,1.283B,1.156B,1.107B,1.124B,1.356B,1.379B,1.386B,1.377B,1.502B,1.45B,1.47B,1.479B,1.923B,1.826B,1.785B,1.39B,1.486B,2.335B,2.224B,2.043B,2.873B,3.38B
Total Current Liabilities,7.043B,5.942B,8.996B,7.37B,7.395B,7.401B,6.638B,7.109B,9.397B,7.131B,9.926B,7.526B,6.909B,7.537B,7.348B,8.825B,9.256B,8.287B,8.734B,9.563B,11.54B,14.14B,16.19B,17.12B,15.13B,16.34B,16.72B,18.32B,17.44B,17.38B,18.36B,36.43B,28.07B,28.94B,29.34B,29.22B,27.42B,25.42B,25.67B,26.60B,23.70B,24.66B,23.09B,20.33B,21.78B,29.51B,34.85B,31.12B,26.88B,24.08B,23.92B,27.02B,26.43B,27.35B,27.02B,29.02B,21.36B,21.40B,16.33B,17.97B,15.59B,15.17B,14.52B,14.70B,14.01B,14.78B,14.61B,15.06B,12.82B,13.96B,5.905B,5.258B,4.821B,5.705B,2.78B,3.505B,3.492B,3.517B,3.792B,2.601B,2.52B,2.59B,2.147B,2.055B,2.132B,2.426B,2.193B,2.264B,2.445B,2.823B,2.591B,2.732B,3.137B,2.499B,2.352B,2.472B,2.815B,2.778B,2.677B,2.521B,2.441B,2.281B,2.243B,2.261B,2.421B,2.432B,2.398B,2.36B,2.517B,2.696B,2.597B,2.503B,2.603B,2.772B,2.646B,2.665B,2.91B,3.318B,2.905B,3.018B,2.706B,2.798B,2.468B,2.402B,2.231B,3.11B,5.352B
Long Term Provisions - Legal & Other,5.352B,6.087B,5.996B,7.73B,7.688B,7.554B,7.665B,7.789B,7.631B,7.763B,7.631B,7.884B,8.425B,9.82B,9.82B,9.877B,9.58B,10.28B,10.57B,10.30B,10.65B,9.803B,10.10B,9.908B,9.883B,9.159B,8.761B,8.65B,8.947B,8.421B,8.224B,,9.329B,,,,9.199B,8.518B,8.389B,,8.713B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of Long Term Debt,14.79B,14.80B,14.81B,14.83B,14.86B,14.90B,14.88B,16.71B,17.13B,19.67B,19.67B,25.34B,26.19B,27.35B,27.35B,27.38B,23.45B,24.72B,24.79B,22.32B,22.38B,19.50B,19.57B,19.49B,21.07B,21.10B,21.17B,20.32B,20.77B,18.78B,18.83B,21.36B,21.61B,22.53B,22.59B,22.60B,22.66B,23.22B,23.20B,26.22B,26.92B,27.66B,28.93B,29.30B,27.08B,21.71B,21.54B,21.11B,20.29B,21.47B,21.70B,21.96B,23.09B,23.78B,24.94B,26.07B,10.76B,12.37B,13.66B,13.90B,14.37B,14.41B,14.38B,15.67B,16.34B,16.34B,16.02B,17.40B,18.92B,17.85B,8.576B,8.421B,8.61B,7.838B,6.268B,6.143B,6.622B,7.509B,7.319B,3.889B,4.271B,4.443B,4.628B,4.49B,4.106B,3.495B,3.024B,2.929B,2.775B,2.507B,2.507B,2.555B,2.555B,2.855B,2.954B,2.91B,3.097B,2.876B,2.977B,3.076B,3.106B,3.213B,3.387B,3.238B,3.208B,3.477B,3.605B,3.796B,3.718B,4.119B,4.243B,4.187B,3.876B,3.855B,3.843B,3.877B,3.839B,3.937B,3.93B,3.948B,3.939B,3.869B,4.761B,5.419B,5.757B,6.547B,2.84B
Long Term Cap Lease Obligation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.177B,5.343B,5.507B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of LTD and Capital Lease Obligation,14.79B,14.80B,14.81B,14.83B,14.86B,14.90B,14.88B,16.71B,17.13B,19.67B,19.67B,25.34B,26.19B,27.35B,27.35B,27.38B,23.45B,24.72B,24.79B,22.32B,22.38B,19.50B,19.57B,19.49B,21.07B,21.10B,21.17B,20.32B,20.77B,18.78B,18.83B,21.36B,21.61B,22.53B,22.59B,22.60B,22.66B,23.22B,23.20B,26.22B,26.92B,32.84B,34.27B,34.80B,27.08B,21.71B,21.54B,21.11B,20.29B,21.47B,21.70B,21.96B,23.09B,23.78B,24.94B,26.07B,10.76B,12.37B,13.66B,13.90B,14.37B,14.41B,14.38B,15.67B,16.34B,16.34B,16.02B,17.40B,18.92B,17.85B,8.576B,8.421B,8.61B,7.838B,6.268B,6.143B,6.622B,7.509B,7.319B,3.889B,4.271B,4.443B,4.628B,4.49B,4.106B,3.495B,3.024B,2.929B,2.775B,2.507B,2.507B,2.555B,2.555B,2.855B,2.954B,2.91B,3.097B,2.876B,2.977B,3.076B,3.106B,3.213B,3.387B,3.238B,3.208B,3.477B,3.605B,3.796B,3.718B,4.119B,4.243B,4.187B,3.876B,3.855B,3.843B,3.877B,3.839B,3.937B,3.93B,3.948B,3.939B,3.869B,4.761B,5.419B,5.757B,6.547B,2.84B
Long Term Deferred Tax Liabilities,4.634B,4.693B,4.825B,5.043B,5.021B,5.535B,5.534B,5.409B,5.282B,6.262B,6.335B,7.568B,8.949B,9.034B,9.655B,10.33B,11.00B,13.32B,14.37B,14.04B,15.07B,16.08B,16.01B,15.54B,15.22B,14.74B,13.99B,13.61B,13.18B,14.16B,13.60B,18.71B,18.04B,17.98B,18.06B,17.53B,17.34B,17.29B,17.01B,17.89B,17.96B,18.29B,18.14B,17.98B,18.17B,20.41B,21.04B,21.00B,21.02B,20.92B,20.58B,20.05B,20.07B,20.50B,20.42B,20.42B,11.44B,10.93B,10.61B,10.28B,10.38B,9.805B,9.226B,8.911B,8.565B,8.624B,8.778B,8.55B,8.361B,8.252B,4.205B,3.92B,4.015B,4.027B,2.144B,2.013B,1.894B,1.677B,1.549B,1.474B,1.48B,1.448B,1.324B,1.301B,1.317B,1.403B,1.351B,1.296B,1.257B,1.186B,1.122B,1.106B,1.047B,1.014B,966.00M,953.00M,948.00M,1.00B,985.00M,1.021B,944.00M,941.00M,950.00M,927.00M,901.00M,981.00M,988.00M,1.012B,1.022B,1.059B,1.105B,1.15B,1.195B,1.283B,1.306B,1.317B,1.283B,1.408B,1.506B,1.498B,1.721B,1.797B,1.874B,1.705B,1.685B,1.673B,1.433B
Non-Current Deferred Liabilities,6.498B,6.487B,6.697B,6.881B,6.213B,6.865B,6.752B,6.57B,6.551B,7.679B,7.779B,9.088B,10.47B,10.65B,11.18B,11.86B,12.83B,15.25B,16.10B,15.87B,16.74B,17.66B,17.76B,17.49B,17.02B,16.58B,15.76B,15.38B,15.40B,14.16B,13.60B,18.71B,20.82B,17.98B,18.06B,17.53B,17.34B,20.03B,19.76B,20.92B,21.05B,21.34B,20.95B,20.66B,18.17B,20.41B,21.04B,21.00B,21.02B,20.92B,20.58B,20.05B,20.07B,20.50B,20.42B,20.42B,11.44B,10.93B,10.61B,10.28B,10.38B,9.805B,9.226B,8.911B,8.565B,8.624B,8.778B,8.55B,8.361B,8.252B,4.205B,3.92B,4.015B,4.027B,2.144B,2.013B,1.894B,1.677B,1.549B,1.474B,1.48B,1.448B,1.324B,1.301B,1.317B,1.403B,1.351B,1.296B,1.257B,1.186B,1.122B,1.106B,1.047B,1.014B,966.00M,953.00M,948.00M,1.00B,985.00M,1.021B,944.00M,941.00M,950.00M,927.00M,901.00M,981.00M,988.00M,1.012B,1.022B,1.059B,1.105B,1.15B,1.195B,1.283B,1.306B,1.317B,1.283B,1.408B,1.506B,1.498B,1.721B,1.797B,1.874B,1.705B,1.685B,1.673B,1.433B
Non-Current Accrued Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.073B,,9.286B,9.492B,9.455B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pension Liability,1.781B,1.786B,1.689B,1.704B,1.764B,1.755B,1.774B,1.832B,1.854B,1.903B,2.499B,2.534B,2.552B,2.471B,2.533B,2.493B,2.286B,2.864B,2.849B,2.979B,2.964B,2.219B,2.345B,2.394B,2.459B,2.847B,3.203B,3.271B,3.346B,3.222B,2.873B,4.033B,4.068B,3.078B,3.432B,3.59B,3.683B,3.732B,3.836B,4.138B,4.13B,3.662B,4.178B,4.085B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minority Interest Ownership,69.00M,93.00M,98.00M,122.00M,125.00M,129.00M,180.00M,172.00M,194.00M,212.00M,213.00M,248.00M,252.00M,286.00M,287.00M,318.00M,320.00M,345.00M,349.00M,356.00M,362.00M,387.00M,371.00M,399.00M,402.00M,424.00M,424.00M,437.00M,440.00M,471.00M,472.00M,509.00M,510.00M,520.00M,519.00M,549.00M,547.00M,556.00M,574.00M,580.00M,590.00M,587.00M,1.078B,1.098B,1.10B,1.127B,1.144B,1.151B,1.173B,1.18B,1.18B,1.201B,1.202B,1.221B,1.246B,1.237B,1.209B,1.232B,1.212B,1.174B,1.105B,1.036B,1.048B,946.00M,842.00M,801.00M,723.00M,648.00M,651.00M,651.00M,,,5.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.00M,363.00M,362.00M,359.00M,,,,,,,,,,,,,,,,,,
Preferred Securities out of Shareholders Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.00M,350.00M,350.00M,350.00M,350.00M,650.00M,650.00M,650.00M,650.00M,650.00M,650.00M,650.00M,650.00M,650.00M,650.00M,650.00M,650.00M,650.00M,650.00M,650.00M,650.00M,650.00M,650.00M,1.00B,1.00B,1.00B,650.00M,650.00M,650.00M,351.00M,351.00M,350.00M,350.00M,351.00M,351.00M,350.00M,351.00M,347.00M,362.00M,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.523B,2.48B,2.842B,,2.781B,2.617B,2.59B,2.599B,,,13.50B,,7.836B,7.58B,7.177B,19.57B,18.97B,19.18B,19.31B,19.41B,18.84B,18.56B,18.19B,11.34B,10.40B,10.91B,10.71B,9.503B,8.598B,8.356B,8.533B,8.692B,8.635B,8.534B,8.382B,8.331B,8.443B,8.213B,7.184B,6.224B,6.434B,3.331B,3.311B,2.776B,2.708B,1.86B,1.853B,1.758B,1.791B,1.873B,1.743B,1.731B,1.675B,1.793B,1.759B,1.792B,1.849B,1.894B,1.937B,1.919B,1.979B,2.017B,1.874B,1.908B,1.809B,1.862B,1.727B,1.579B,1.581B,1.654B,1.564B,1.641B,1.403B,1.389B,1.42B,1.455B,1.281B,1.272B,1.186B,1.154B,1.127B,1.10B,1.063B,1.042B,1.38B,1.374B,1.377B,1.379B,1.127B,1.069B,848.00M,758.00M,776.00M,752.00M,968.00M,1.002B,1.071B,716.00M
Total Long Term Liabilities,28.42B,29.16B,29.19B,31.15B,30.52B,31.08B,31.08B,32.90B,33.16B,37.02B,37.58B,44.85B,47.64B,50.29B,50.88B,51.60B,48.15B,53.11B,54.30B,51.47B,52.73B,49.18B,49.77B,49.29B,50.44B,51.89B,51.30B,50.22B,51.27B,50.11B,49.20B,59.41B,59.41B,59.43B,60.15B,59.90B,59.79B,60.00B,59.84B,64.79B,65.83B,65.67B,66.98B,66.73B,64.82B,61.09B,61.77B,61.43B,60.72B,61.24B,60.84B,60.20B,54.50B,54.67B,56.27B,57.20B,31.70B,31.90B,32.63B,32.72B,33.45B,32.85B,32.14B,32.96B,33.24B,33.41B,33.37B,33.48B,33.85B,32.89B,16.46B,16.30B,16.05B,15.22B,10.92B,10.66B,10.92B,11.63B,11.39B,7.756B,8.132B,8.216B,8.395B,8.20B,7.865B,7.397B,6.919B,6.812B,6.601B,6.672B,6.646B,6.535B,6.16B,6.328B,6.432B,5.941B,5.975B,5.807B,5.966B,6.012B,6.042B,5.907B,6.077B,5.932B,5.926B,5.739B,5.865B,5.994B,5.894B,6.305B,6.448B,6.40B,6.113B,6.518B,6.523B,6.571B,6.501B,6.472B,6.505B,6.294B,6.418B,6.442B,7.387B,8.092B,8.444B,9.291B,4.989B
Total Liabilities,35.46B,35.10B,38.19B,38.52B,37.92B,38.48B,37.71B,40.01B,42.56B,44.15B,47.50B,52.37B,54.55B,57.83B,58.22B,60.43B,57.40B,61.39B,63.03B,61.03B,64.27B,63.32B,65.96B,66.40B,65.56B,68.22B,68.02B,68.54B,68.72B,67.49B,67.56B,95.84B,87.48B,88.36B,89.49B,89.12B,87.20B,85.42B,85.51B,91.39B,89.52B,90.33B,90.07B,87.06B,86.60B,90.60B,96.61B,92.55B,87.60B,85.31B,84.76B,87.23B,80.93B,82.03B,83.29B,86.22B,53.06B,53.30B,48.96B,50.68B,49.03B,48.02B,46.66B,47.66B,47.25B,48.19B,47.97B,48.54B,46.67B,46.84B,22.37B,21.56B,20.87B,20.93B,13.70B,14.16B,14.42B,15.14B,15.18B,10.36B,10.65B,10.81B,10.54B,10.26B,9.997B,9.823B,9.112B,9.076B,9.046B,9.495B,9.237B,9.267B,9.297B,8.827B,8.784B,8.413B,8.79B,8.585B,8.643B,8.533B,8.483B,8.188B,8.32B,8.193B,8.347B,8.171B,8.263B,8.354B,8.411B,9.001B,9.045B,8.903B,8.716B,9.29B,9.169B,9.236B,9.411B,9.79B,9.41B,9.312B,9.124B,9.24B,9.855B,10.49B,10.68B,12.40B,10.34B
Total Capital Stock,18.00M,18.00M,18.00M,18.00M,18.00M,18.00M,18.00M,18.00M,18.00M,18.00M,18.00M,18.00M,18.00M,18.00M,18.00M,18.00M,18.00M,18.00M,18.00M,18.00M,18.00M,18.00M,18.00M,18.00M,18.00M,18.00M,18.00M,18.00M,18.00M,18.00M,18.00M,18.00M,17.00M,17.00M,17.00M,17.00M,17.00M,17.00M,17.00M,17.00M,17.00M,17.00M,17.00M,17.00M,17.00M,17.00M,17.00M,17.00M,17.00M,17.00M,17.00M,17.00M,17.00M,17.00M,17.00M,17.00M,14.00M,14.00M,14.00M,7.00M,14.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,7.00M,538.00M,538.00M,538.00M,538.00M,383.00M,383.00M,383.00M,383.00M,383.00M,384.00M,383.00M,383.00M,383.00M,383.00M,383.00M,383.00M,383.00M,383.00M,383.00M,383.00M,383.00M,383.00M,383.00M,383.00M,383.00M,383.00M,383.00M,346.00M,346.00M,346.00M,346.00M,346.00M,346.00M,346.00M,346.00M,,,,,,,,,,,,,,,,,,,,,,
Retained Earnings,39.74B,39.48B,36.77B,35.53B,34.01B,32.50B,30.97B,29.66B,29.39B,28.13B,28.03B,31.80B,31.55B,31.90B,33.25B,34.63B,36.41B,40.79B,42.78B,43.87B,44.50B,45.45B,43.65B,42.43B,41.16B,39.53B,37.90B,36.66B,35.34B,34.76B,33.76B,51.29B,49.05B,46.68B,44.96B,42.48B,40.40B,39.16B,36.92B,32.75B,32.21B,32.18B,31.39B,30.79B,30.64B,63.10B,58.62B,53.91B,50.51B,46.79B,43.78B,44.15B,41.29B,38.68B,35.40B,30.81B,28.02B,24.34B,21.40B,18.69B,16.13B,14.05B,12.34B,10.56B,9.234B,8.504B,7.67B,6.824B,5.621B,6.319B,7.138B,6.931B,7.197B,7.21B,6.928B,6.407B,6.019B,5.368B,5.058B,4.717B,4.563B,4.403B,4.274B,4.319B,4.343B,4.646B,4.69B,4.625B,4.491B,4.375B,4.282B,4.068B,3.939B,3.832B,3.736B,3.613B,3.03B,3.006B,2.95B,2.936B,2.905B,2.825B,2.79B,2.804B,2.751B,2.81B,2.853B,2.841B,2.866B,2.852B,2.845B,2.828B,3.024B,3.081B,3.104B,3.199B,3.123B,2.961B,2.857B,2.905B,2.719B,3.034B,2.786B,2.351B,2.479B,2.507B,6.057B
