Net Change in Long Term Debt,0.00,0.00,0.00,-7.00M,-60.00M,-237.00M,0.00,0.00,0.00,0.00,,,0.00,-20.00M,-64.00M,-413.00M,-12.00M,42.00M,118.00M,125.00M,140.00M,419.00M,-29.00M,75.00M,-15.00M,20.00M,15.00M,40.00M,25.00M,90.00M,-40.00M,62.00M,-255.00M,110.00M,40.00M,80.00M,-120.00M,80.00M,100.00M,110.00M,5.409M,-15.41M,-62.00M,10.00M,517.00M,85.00M,-85.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Debt Issuance,0.00,0.00,0.00,-7.00M,-60.00M,-237.00M,0.00,0.00,0.00,0.00,,,0.00,-20.00M,-64.00M,-413.00M,-12.00M,42.00M,118.00M,125.00M,140.00M,419.00M,-29.00M,75.00M,-15.00M,20.00M,15.00M,40.00M,25.00M,90.00M,-40.00M,62.00M,-255.00M,110.00M,40.00M,80.00M,-120.00M,80.00M,100.00M,110.00M,5.409M,-15.41M,-62.00M,10.00M,47.00M,555.00M,-105.00M,20.00M,35.00M,60.00M,25.00M,-10.00M,-160.00M,50.00M,55.00M,-45.00M,60.00M,10.00M,,,,,,,-12.34M,-19.00M,-34.00M,-27.00M,-27.75M,-2.00M,-15.00M,19.00M,26.00M,180.00M,-12.00M,-70.00M,-7.00M,11.00M,-13.00M,-15.00M,-42.00M,-15.00M,-13.00M,20.00M,94.00M,19.00M,23.00M,8.00M,-34.00M,10.00M,1.00M,-26.00M,4.00M,1.00M,-5.00M,-1.00M,8.60M,-10.00M,-12.10M,-5.90M,5.20M,33.60M,71.00M,-11.00M,8.50M,54.00M,-7.80M,-7.00M,12.20M,11.60M,3.50M,-10.50M,6.70M,9.80M,-9.20M,99.60M,11.50M
Common Stock Issuance,,,,,,,,,,,,,0.00,0.00,0.001M,995.28M,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.001M,0.122M,313.87M,2.24M,2.785M,0.007M,1.163M,1.144M,2.615M,1.056M,1.502M,1.062M,0.498M,0.508M,0.849M,2.731M,1.351M,-2.345M,6.812M,6.656M,0.877M,3.393M,1.96M,0.498M,0.311M,0.014M,3.031M,0.105M,0.001M,0.372M,3.182M,4.194M,3.507M,1.549M,78.82M,1.231M,0.30M,0.50M,0.70M,0.20M,0.70M,0.80M,1.20M,0.90M,0.90M,0.90M,0.20M,0.20M,0.20M,0.20M,0.00,0.20M,0.00,0.00,0.10M,0.20M,0.40M,0.20M,0.10M,,0.60M,0.50M,0.60M,,,,,,,,,,
Common Stock Payments,-172.42M,-190.81M,-125.26M,-31.38M,-291.04M,-162.07M,-212.52M,-207.13M,-55.49M,0.00,-68.26M,0.00,0.00,0.00,0.00,,,,,,-19.08M,-119.77M,,,-164.63M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,-19.30M,-27.19M,,-18.61M,0.00,-0.571M,,-6.899M,-3.39M,-5.342M,,,,,,,,,,,,,,0.00,0.00,-51.60M,,,,,,1.10M,-5.50M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Common Equity Issued (Purchased),-172.42M,-190.81M,-125.26M,-31.38M,-291.04M,-162.07M,-212.52M,-207.13M,-55.49M,0.00,-68.26M,0.00,0.00,0.00,0.001M,995.28M,0.00,0.00,0.00,0.00,-19.08M,-119.77M,,,-164.63M,0.00,,,,,,,,,,,,,,,,,,,0.001M,0.122M,313.87M,2.24M,-7.885M,0.007M,1.163M,1.144M,2.615M,-18.25M,-25.68M,1.062M,-18.11M,0.508M,0.278M,2.731M,-5.548M,-5.735M,1.47M,6.656M,0.877M,3.393M,1.96M,0.498M,0.311M,0.014M,3.031M,0.105M,0.001M,0.372M,3.182M,4.194M,3.507M,1.549M,27.22M,1.231M,0.30M,0.50M,0.70M,0.20M,1.80M,-4.70M,1.20M,0.90M,0.90M,0.90M,0.20M,0.20M,0.20M,0.20M,0.00,0.20M,0.00,0.00,0.10M,0.20M,0.40M,0.20M,0.10M,,0.60M,0.50M,0.60M,,,,,,,,,,
Total Common Dividends Paid,-40.79M,-37.02M,-38.09M,-29.60M,-30.18M,-26.47M,-27.07M,-27.65M,-23.13M,-23.12M,-23.28M,-9.306M,-9.302M,-9.303M,-9.30M,-8.282M,-8.278M,-8.275M,-8.274M,-8.263M,-8.26M,-8.339M,-8.347M,-8.332M,-8.402M,-8.423M,-4.206M,-4.201M,-4.196M,-4.193M,-4.191M,-4.177M,-12.51M,6.25M,-6.25M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Dividends Paid,-40.79M,-37.02M,-38.09M,-29.60M,-30.18M,-26.47M,-27.07M,-27.65M,-23.13M,-23.12M,-23.28M,-9.306M,-9.302M,-9.303M,-9.30M,-8.282M,-8.278M,-8.275M,-8.274M,-8.263M,-8.26M,-8.339M,-8.347M,-8.332M,-8.402M,-8.423M,-4.206M,-4.201M,-4.196M,-4.193M,-4.191M,-4.177M,-3.129M,-3.129M,-3.128M,-3.122M,-3.119M,-3.12M,-3.116M,-3.112M,-3.109M,-3.11M,-3.11M,-3.103M,-3.10M,-3.10M,-2.943M,-2.93M,7.753M,-2.913M,-2.907M,-1.933M,-1.919M,-1.93M,-1.956M,-1.946M,-1.959M,-1.958M,-1.957M,-1.339M,-1.30M,-1.304M,-1.306M,-1.296M,-1.288M,-1.287M,-1.195M,-1.273M,-1.271M,-1.272M,-1.272M,-1.264M,-1.265M,-1.183M,-1.182M,-1.172M,-1.161M,-1.16M,-2.377M,-1.854M,-1.90M,-1.80M,-1.90M,-1.80M,-3.10M,-0.60M,-1.90M,-1.80M,-2.50M,-2.30M,-2.30M,-2.30M,-2.30M,-2.30M,-2.30M,-2.30M,-2.10M,-2.30M,-2.50M,-2.30M,-2.30M,-2.00M,-1.50M,-1.30M,-1.40M,-1.20M,-0.80M,-0.80M,-0.80M,-0.90M,-0.80M,-0.80M,-0.80M,-0.90M,0.00,-95.00M,-0.80M
Cash from Other Financing Activities,-0.004M,-0.03M,-8.398M,-9.57M,-0.082M,-0.035M,-0.065M,-7.968M,-2.036M,-0.254M,-0.256M,-5.377M,-0.008M,-0.01M,-0.024M,-8.245M,-8.86M,-5.481M,-8.388M,6.115M,-7.377M,-19.98M,4.312M,16.13M,6.883M,1.947M,5.211M,2.17M,0.018M,-0.671M,-5.425M,0.081M,-0.619M,-0.922M,-0.19M,-1.018M,0.712M,-11.60M,-1.984M,-0.038M,-9.787M,23.43M,-10.41M,0.149M,-2.557M,8.845M,-4.642M,4.642M,-6.857M,0.811M,1.911M,4.135M,3.729M,0.859M,1.945M,2.952M,-25.69M,25.69M,,,,,,,,,,,,,,,,,,,,,,,0.10M,-0.10M,,,-0.50M,-0.10M,0.10M,,,,,,,,,,0.00,0.10M,,,,-0.10M,0.10M,,0.20M,-0.10M,,,-0.10M,0.10M,0.10M,-0.10M,-0.50M,0.10M,,,
Cash from Financing,-213.21M,-227.86M,-171.75M,-77.55M,-381.30M,-425.57M,-239.66M,-242.75M,-80.65M,-23.38M,-91.79M,-14.68M,-9.31M,-29.31M,-73.32M,565.75M,-29.14M,28.24M,101.34M,122.85M,105.28M,270.92M,-33.04M,82.80M,-181.15M,13.52M,16.00M,37.97M,20.82M,85.14M,-49.62M,57.90M,-258.75M,105.95M,36.68M,75.86M,-122.41M,65.28M,94.90M,106.85M,-7.404M,4.908M,-75.52M,7.046M,41.34M,560.87M,201.28M,23.95M,28.01M,57.90M,25.17M,-6.654M,-155.58M,30.68M,29.30M,-42.93M,14.24M,34.24M,-1.679M,1.392M,-6.848M,-7.039M,0.164M,5.36M,-12.76M,-16.89M,-33.24M,-27.78M,-28.71M,-3.258M,-13.24M,17.84M,24.74M,179.19M,-10.00M,-66.98M,-4.654M,11.39M,11.84M,-15.62M,-43.50M,-16.40M,-14.20M,18.40M,92.20M,13.60M,22.40M,7.10M,-35.60M,8.60M,-1.10M,-28.10M,1.90M,-1.10M,-7.30M,-3.10M,6.50M,-12.20M,-14.50M,-8.00M,3.30M,31.70M,69.70M,-12.30M,7.90M,53.20M,-8.00M,-7.80M,11.30M,10.80M,2.80M,-11.40M,5.40M,9.00M,-9.20M,4.60M,10.70M
Beginning Cash,82.32M,241.39M,314.89M,2.287M,316.08M,740.99M,964.93M,480.05M,510.26M,516.53M,537.48M,498.54M,501.19M,517.49M,579.32M,0.514M,8.773M,15.23M,13.95M,20.95M,309.99M,45.61M,25.43M,23.40M,27.93M,47.28M,20.46M,30.74M,37.50M,48.64M,32.33M,29.91M,62.93M,39.31M,24.90M,55.95M,37.59M,47.68M,28.50M,40.16M,35.67M,29.85M,25.25M,28.10M,47.37M,136.33M,41.99M,18.50M,14.45M,23.59M,57.44M,41.85M,322.12M,16.06M,8.514M,10.63M,3.187M,51.95M,59.58M,10.03M,24.89M,21.43M,51.80M,0.724M,4.346M,3.262M,1.223M,2.561M,4.668M,7.71M,4.976M,5.706M,13.93M,9.361M,5.111M,7.574M,2.022M,1.429M,0.836M,1.679M,1.50M,1.90M,1.70M,2.20M,0.00,0.00,0.00,1.80M,0.00,0.00,0.00,1.40M,0.00,0.00,0.00,3.00M,0.00,0.00,0.00,3.80M,0.00,0.00,0.00,2.90M,0.00,0.00,0.00,1.10M,0.00,0.00,0.00,2.20M,0.00,0.00,0.00,2.00M,2.00M
Change in Cash,131.47M,-159.08M,-73.50M,312.60M,-313.79M,-424.92M,-223.93M,484.88M,-30.21M,-6.278M,-20.95M,38.94M,-2.651M,-16.30M,-61.83M,578.80M,-8.259M,-6.458M,1.283M,-7.006M,-289.03M,264.38M,20.18M,2.031M,-4.532M,-19.34M,26.82M,-10.28M,-6.765M,-11.14M,16.31M,2.417M,-33.02M,23.61M,14.42M,-31.05M,18.36M,-10.10M,19.18M,-11.65M,4.488M,5.822M,4.599M,-2.852M,-19.27M,-88.96M,94.34M,23.49M,4.047M,-9.14M,-33.85M,15.59M,-280.27M,306.06M,7.545M,-2.112M,7.439M,-48.76M,-7.638M,49.56M,-14.86M,3.457M,-30.37M,51.08M,-2.663M,1.084M,2.039M,-1.338M,-0.812M,-3.042M,2.734M,-0.73M,-8.226M,4.571M,4.25M,-2.463M,5.552M,0.593M,0.593M,-0.843M,0.20M,-0.50M,0.10M,-0.40M,0.10M,-1.90M,0.40M,1.80M,0.00,1.30M,-5.30M,4.40M,-0.10M,-1.80M,-0.60M,0.80M,1.00M,-0.30M,-1.00M,-0.40M,-0.50M,1.20M,-0.20M,0.40M,0.00,1.90M,0.30M,-0.30M,0.60M,-0.70M,0.40M,-1.40M,-3.10M,1.60M,-1.50M,0.20M,-0.60M
Ending Cash,213.78M,82.32M,241.39M,314.89M,2.287M,316.08M,740.99M,964.93M,480.05M,510.26M,516.53M,537.48M,498.54M,501.19M,517.49M,579.32M,0.514M,8.773M,15.23M,13.95M,20.95M,309.99M,45.61M,25.43M,23.40M,27.93M,47.28M,20.46M,30.74M,37.50M,48.64M,32.33M,29.91M,62.93M,39.31M,24.90M,55.95M,37.59M,47.68M,28.50M,40.16M,35.67M,29.85M,25.25M,28.10M,47.37M,136.33M,41.99M,18.50M,14.45M,23.59M,57.44M,41.85M,322.12M,16.06M,8.514M,10.63M,3.187M,51.95M,59.58M,10.03M,24.89M,21.43M,51.80M,0.724M,4.346M,3.262M,1.223M,1.602M,4.668M,7.71M,4.976M,5.706M,13.93M,9.361M,5.111M,7.574M,2.022M,1.429M,0.836M,1.70M,1.50M,1.90M,1.70M,2.20M,0.00,0.00,0.00,1.80M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Issuance of Capital Stock,,,,,,,,,,,,,0.00,0.00,0.001M,995.28M,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.001M,0.122M,313.87M,2.24M,2.785M,0.007M,1.163M,1.144M,2.615M,1.056M,1.502M,1.062M,0.498M,0.508M,0.849M,2.731M,1.351M,-2.345M,6.812M,6.656M,0.877M,3.393M,1.96M,0.498M,0.311M,0.014M,3.031M,0.105M,0.001M,0.372M,3.182M,4.194M,3.507M,1.549M,78.82M,1.231M,0.30M,0.50M,0.70M,0.20M,0.70M,0.80M,1.20M,0.90M,0.90M,0.90M,0.20M,0.20M,0.20M,0.20M,0.00,0.20M,0.00,0.00,0.10M,0.20M,0.40M,0.20M,0.10M,,0.60M,0.50M,0.60M,,,,,,,,,,
Issuance of Debt,0.00,0.00,0.00,95.00M,158.00M,0.00,0.00,0.00,,,,,0.00,0.00,0.00,90.00M,87.00M,148.00M,260.00M,382.00M,230.00M,1.191B,245.00M,366.00M,370.00M,260.00M,190.00M,135.00M,120.00M,110.00M,80.00M,90.00M,0.00,110.00M,110.00M,110.00M,225.00M,90.00M,100.00M,110.00M,15.00M,20.00M,20.00M,50.00M,892.00M,-180.00M,180.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debt Repayment,0.00,0.00,0.00,-102.00M,-218.00M,-237.00M,0.00,0.00,0.00,0.00,,,0.00,-20.00M,-64.00M,-503.00M,-99.00M,-106.00M,-142.00M,-257.00M,-90.00M,-772.00M,-274.00M,-291.00M,-385.00M,-240.00M,-175.00M,-95.00M,-95.00M,-20.00M,-120.00M,-28.00M,-255.00M,0.00,-70.00M,-30.00M,-345.00M,-10.00M,0.00,0.00,-9.591M,-35.41M,-82.00M,-40.00M,-375.00M,265.00M,-265.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Repurchase of Capital Stock,-172.42M,-190.81M,-125.26M,-31.38M,-291.04M,-162.07M,-212.52M,-207.13M,-55.49M,0.00,-68.26M,0.00,0.00,0.00,0.00,,,,,,-19.08M,-119.77M,,,-164.63M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,-19.30M,-27.19M,,-18.61M,0.00,-0.571M,,-6.899M,-3.39M,-5.342M,,,,,,,,,,,,,,0.00,0.00,-51.60M,,,,,,1.10M,-5.50M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
