Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12
EBITDA,259.34M,236.77M,343.30M,443.03M,469.28M,271.58M,162.40M,301.22M,213.15M,199.54M,273.01M,326.73M,137.54M,146.06M,72.14M,106.30M,98.25M,143.30M,133.55M,262.79M,-315.53M,344.36M,368.22M,341.90M,349.72M,300.79M,316.42M,235.67M,221.65M,186.22M,192.70M,157.02M,191.11M,155.53M,189.84M,113.51M,223.01M,107.63M,124.41M,134.09M,125.70M,152.80M,109.35M,145.68M,120.46M,172.12M,136.57M,122.34M,111.18M,103.72M,110.83M,116.57M,90.57M,340.66M,114.56M,127.14M,130.87M,89.69M,87.83M,64.70M,82.38M,68.52M,61.06M,60.32M,61.12M,75.48M,58.61M,-23.18M,47.55M,42.87M,33.30M,28.21M,20.98M,44.32M,43.17M,84.41M,64.58M,29.02M,22.05M,27.44M,40.60M,23.40M,21.24M,14.80M,19.10M,12.70M,20.30M,19.20M,29.90M,21.60M,20.60M,33.80M,28.80M,18.10M,19.60M,24.90M,129.00M,-100.40M,12.50M,15.50M,19.00M,14.70M,16.10M,21.40M,14.00M,19.00M,11.60M,15.40M,16.00M,9.30M,9.50M,13.00M,12.10M,5.70M,4.60M,24.60M,20.60M,2.10M,8.10M,16.00M,36.20M,-97.90M,37.40M,37.30M,37.30M
Reconciled Depreciation,106.44M,110.89M,96.15M,92.26M,129.27M,121.17M,84.91M,82.13M,143.13M,146.27M,144.32M,135.10M,141.22M,139.49M,147.53M,161.89M,149.88M,144.33M,152.51M,175.50M,173.76M,154.01M,157.56M,147.42M,182.03M,168.98M,151.39M,148.65M,115.98M,110.45M,114.62M,110.36M,92.50M,90.29M,83.22M,77.12M,91.50M,85.36M,76.73M,73.50M,62.29M,78.07M,55.11M,55.78M,52.51M,48.90M,42.48M,41.52M,38.55M,37.74M,34.26M,33.40M,32.16M,32.09M,32.79M,31.94M,29.11M,26.58M,26.11M,26.66M,26.76M,27.73M,24.62M,24.23M,23.98M,23.65M,23.76M,23.51M,24.43M,25.42M,23.45M,23.21M,25.81M,22.72M,16.20M,15.89M,15.11M,13.22M,12.46M,12.65M,11.80M,13.80M,14.80M,13.00M,10.00M,11.10M,10.30M,9.80M,9.30M,10.70M,10.10M,10.50M,12.20M,10.50M,10.20M,9.80M,9.00M,11.40M,13.10M,13.70M,16.70M,13.40M,14.60M,9.90M,9.70M,8.70M,8.40M,7.70M,7.80M,7.70M,7.70M,8.30M,5.80M,6.50M,-0.30M,15.20M,7.60M,4.20M,6.50M,6.20M,,,,,
EBIT,152.90M,125.88M,247.16M,350.78M,340.01M,150.41M,77.49M,219.09M,70.02M,53.28M,128.68M,191.63M,-3.682M,6.57M,-75.39M,-55.59M,-51.63M,-1.024M,-18.96M,87.30M,-489.29M,190.34M,210.65M,194.49M,167.69M,131.81M,165.03M,87.01M,105.67M,75.78M,78.08M,46.66M,98.61M,65.23M,106.62M,36.39M,131.51M,22.27M,47.68M,60.59M,63.41M,74.72M,54.24M,89.90M,67.96M,123.23M,94.09M,80.82M,72.63M,65.98M,76.57M,83.17M,58.41M,308.57M,81.76M,95.21M,101.76M,63.12M,61.72M,38.04M,55.63M,40.79M,36.44M,36.09M,37.14M,51.84M,34.85M,-46.69M,23.12M,17.45M,9.85M,4.996M,-4.837M,21.60M,26.98M,68.52M,49.47M,15.80M,9.589M,14.79M,28.80M,9.60M,6.437M,1.80M,9.10M,1.60M,10.00M,9.40M,20.60M,10.90M,10.50M,23.30M,16.60M,7.60M,9.30M,15.10M,120.00M,-111.80M,-0.60M,1.80M,2.30M,-0.40M,1.50M,11.50M,4.30M,2.60M,3.20M,7.70M,8.20M,1.60M,1.80M,4.70M,6.30M,-0.80M,-1.60M,9.40M,13.00M,-2.10M,1.60M,9.80M,36.20M,-97.90M,37.40M,37.30M,37.30M
EPS Basic from Continuing Operations,0.36,0.22,0.43,0.62,0.64,0.28,0.09,0.26,-0.10,0.04,0.05,0.23,-0.63,-0.02,-0.14,-0.12,-0.27,-0.04,-0.07,0.10,-0.54,0.24,0.28,0.26,0.19,0.17,0.21,0.10,0.095,0.09,0.085,0.045,0.065,0.07,0.13,0.03,0.12,0.01,0.0525,0.07,0.0875,0.095,0.0625,0.115,0.105,0.1625,0.1375,0.1175,0.11,0.0925,0.1075,0.0625,0.0845,0.245,0.06,0.1375,0.15,0.0862,0.09,0.0358,0.055,0.0308,0.0333,0.0492,0.0508,0.0583,0.0467,-0.085,0.0092,0.0158,0.0058,-0.0025,-0.045,0.0275,0.0383,0.0370,0.0487,0.0058,-0.0014,0.0050,0.0155,0.0042,0.0001,-0.0036,-0.0027,-0.0028,0.0025,0.0033,0.0314,0.0028,0.0025,0.0117,0.0222,0.0036,0.0011,0.0064,-0.0198,-0.0895,-0.0064,-0.0100,-0.0114,-0.0056,-0.0031,0.0064,0.0032,-0.0044,0.0011,0.0053,0.0069,0.0003,-0.0033,0.0039,-0.0012,-0.0025,-0.0025,0.0058,0.0097,-0.0020,0.0006,0.0097,0.0083,,0.0086,0.0086,0.0086
EPS Basic from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,-0.0012,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0008,0.00,0.00,-0.0175,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00
EPS Basic from Extraordinaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalized Basic EPS,0.3600,0.2199,0.43,0.6227,0.6429,0.2360,0.0891,0.3267,0.4351,0.0583,0.1403,0.2303,-0.0377,-0.0184,-0.1322,-0.1220,-0.1009,-0.0455,-0.0699,0.0998,0.6422,0.2399,0.2822,0.2619,0.1640,0.1637,0.2096,0.1001,0.1204,0.0902,-0.0124,0.0458,0.0230,0.0644,0.0796,0.0325,-0.0297,0.0704,0.0462,0.0689,0.1194,0.0941,0.0991,0.1484,0.0850,0.1886,0.1468,0.1334,0.1178,0.1296,0.1207,0.0625,0.0929,0.0623,0.0665,0.1487,0.1559,0.0994,0.0899,0.0358,0.0592,0.0445,0.0335,0.0491,0.0510,0.0734,0.0467,-0.0859,0.0234,0.0248,0.0052,-0.0025,0.0081,0.0279,0.0384,0.0370,0.1031,0.0058,0.0105,0.0050,0.0707,0.0011,-0.0011,-0.0044,0.0143,-0.0030,0.0025,0.0009,0.0319,0.0028,0.0036,0.0130,0.0218,0.0036,0.0026,0.0046,0.2256,-0.0895,-0.0064,0.0220,-0.0114,-0.0056,-0.0031,0.0064,0.0018,-0.0044,-0.0018,0.0033,0.0121,-0.0026,-0.0065,-0.0008,-0.0007,-0.0025,-0.0025,0.0009,0.0046,-0.0179,-0.0015,0.0034,0.0083,,0.0086,0.0086,0.0086
EPS Basic,0.36,0.22,0.43,0.62,0.64,0.28,0.09,0.26,-0.10,0.04,0.05,0.23,-0.63,-0.02,-0.14,-0.12,-0.27,-0.04,-0.07,0.10,-0.54,0.24,0.28,0.26,0.19,0.17,0.21,0.10,0.095,0.09,0.085,0.045,0.065,0.07,0.13,0.03,0.12,0.01,0.0525,0.07,0.0875,0.095,0.0625,0.115,0.105,0.1625,0.1375,0.1175,0.11,0.0925,0.1075,0.0625,0.0845,0.245,0.06,0.1362,0.15,0.0862,0.09,0.0358,0.055,0.0308,0.0333,0.0492,0.0517,0.0583,0.0467,-0.1025,0.0092,0.0158,0.0058,-0.0025,-0.045,0.0275,0.0383,0.0370,0.0487,0.0058,-0.0014,0.0050,0.0155,0.0042,0.0001,-0.0036,-0.0027,-0.0028,0.0025,0.0033,0.0314,0.0028,0.0025,0.0117,0.0222,0.0036,0.0011,0.0064,-0.0198,-0.0895,-0.0064,-0.0100,-0.0114,-0.0056,-0.0031,0.0064,0.0032,-0.0044,0.0011,0.0053,0.0069,0.0003,-0.0033,0.0039,-0.0012,-0.0025,-0.0025,0.0058,0.0097,-0.0020,0.0006,0.0097,0.0083,,0.0086,0.0086,0.0086
EPS Diluted from Continuing Operations,0.36,0.22,0.43,0.62,0.64,0.28,0.09,0.25,-0.10,0.04,0.05,0.23,-0.63,-0.02,-0.14,-0.12,-0.27,-0.04,-0.07,0.10,-0.54,0.24,0.28,0.26,0.19,0.17,0.21,0.10,0.095,0.09,0.085,0.045,0.065,0.07,0.13,0.03,0.115,0.01,0.0525,0.0675,0.0875,0.0925,0.06,0.115,0.105,0.16,0.1375,0.115,0.1075,0.09,0.105,0.0625,0.0845,0.24,0.0588,0.1362,0.1475,0.085,0.0888,0.035,0.0542,0.03,0.0325,0.0483,0.0508,0.0583,0.0458,-0.085,0.0092,0.0158,0.0058,-0.0025,-0.045,0.0267,0.0375,0.0367,0.0487,0.0058,-0.0014,0.0050,0.0155,0.0042,0.0001,-0.0036,-0.0027,-0.0028,0.0025,0.0033,0.0314,0.0028,0.0025,0.0117,0.0222,0.0036,0.0011,0.0064,-0.0198,-0.0895,-0.0064,-0.0100,-0.0114,-0.0056,-0.0031,0.0064,0.0032,-0.0044,0.0011,0.0053,0.0069,0.0003,-0.0033,0.0039,-0.0012,-0.0025,-0.0025,0.0058,0.0097,-0.0020,0.0006,0.0097,0.0083,,0.0086,0.0086,0.0086
EPS Diluted from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,-0.0012,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.0175,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00
EPS Diluted from Extraordinaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0010,,,,,,,,,0.0000,,,-0.0179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalized Diluted EPS,0.3600,0.2199,0.43,0.6227,0.6429,0.2362,0.0891,0.3164,0.4330,0.0582,0.1399,0.2303,-0.0377,-0.0184,-0.1322,-0.1220,-0.1009,-0.0455,-0.0699,0.0998,0.6366,0.2399,0.2822,0.2618,0.1641,0.1637,0.2096,0.1001,0.1203,0.0902,-0.0117,0.0458,0.0235,0.0644,0.0801,0.0324,-0.0327,0.0697,0.0462,0.0664,0.1190,0.0916,0.0961,0.1482,0.0851,0.1859,0.1467,0.1308,0.1152,0.1266,0.1180,0.0625,0.0929,0.0608,0.0651,0.1473,0.1532,0.0979,0.0887,0.035,0.0583,0.0435,0.0327,0.0482,0.0510,0.0733,0.0459,-0.0859,0.0234,0.0248,0.0052,-0.0025,0.0070,0.0270,0.0376,0.0367,0.1031,0.0058,0.0105,0.0050,0.0707,0.0011,-0.0011,-0.0044,0.0143,-0.0030,0.0025,0.0009,0.0319,0.0028,0.0036,0.0130,0.0218,0.0036,0.0026,0.0046,0.2256,-0.0895,-0.0064,0.0220,-0.0114,-0.0056,-0.0031,0.0064,0.0018,-0.0044,-0.0018,0.0033,0.0121,-0.0026,-0.0065,-0.0008,-0.0007,-0.0025,-0.0025,0.0009,0.0046,-0.0179,-0.0015,0.0034,0.0083,,0.0086,0.0086,0.0086
EPS Diluted,0.36,0.22,0.43,0.62,0.64,0.28,0.09,0.25,-0.10,0.04,0.05,0.23,-0.63,-0.02,-0.14,-0.12,-0.27,-0.04,-0.07,0.10,-0.54,0.24,0.28,0.26,0.19,0.17,0.21,0.10,0.095,0.09,0.085,0.045,0.065,0.07,0.13,0.03,0.115,0.01,0.0525,0.0675,0.0875,0.0925,0.06,0.115,0.105,0.16,0.1375,0.115,0.1075,0.09,0.105,0.0625,0.0845,0.24,0.0588,0.135,0.1475,0.085,0.0888,0.035,0.0542,0.03,0.0325,0.0483,0.0508,0.0583,0.0458,-0.1025,0.0092,0.0158,0.0058,-0.0025,-0.045,0.0267,0.0375,0.0367,0.0487,0.0058,-0.0014,0.0050,0.0155,0.0042,0.0001,-0.0036,-0.0027,-0.0028,0.0025,0.0033,0.0314,0.0028,0.0025,0.0117,0.0222,0.0036,0.0011,0.0064,-0.0198,-0.0895,-0.0064,-0.0100,-0.0114,-0.0056,-0.0031,0.0064,0.0032,-0.0044,0.0011,0.0053,0.0069,0.0003,-0.0033,0.0039,-0.0012,-0.0025,-0.0025,0.0058,0.0097,-0.0020,0.0006,0.0097,0.0083,,0.0086,0.0086,0.0086
Average Basic Shares Outstanding,404.46M,412.46M,422.14M,423.12M,430.82M,440.77M,451.06M,459.72M,462.36M,462.50M,464.77M,465.35M,465.21M,465.15M,465.07M,431.84M,413.88M,413.85M,413.71M,413.34M,413.00M,416.17M,417.29M,416.90M,418.76M,420.99M,420.70M,420.30M,419.70M,419.31M,419.02M,418.26M,417.21M,417.14M,417.06M,416.58M,415.92M,415.82M,415.66M,415.18M,414.62M,414.59M,414.56M,414.08M,413.50M,413.40M,393.87M,390.86M,388.86M,388.27M,387.72M,773.56M,384.85M,771.67M,779.86M,389.44M,390.63M,391.61M,391.34M,584.69M,584.69M,585.86M,585.47M,388.78M,386.40M,386.15M,383.76M,382.04M,380.54M,381.52M,380.84M,379.25M,379.40M,367.73M,354.11M,1.055B,350.30M,1.043B,960.50M,892.28M,300.89M,890.81M,888.83M,887.53M,295.88M,299.09M,298.48M,296.71M,296.00M,275.48M,274.52M,274.38M,274.16M,273.73M,273.58M,273.56M,273.40M,273.35M,273.31M,273.29M,272.95M,272.68M,272.53M,246.90M,246.87M,246.32M,245.93M,245.46M,245.46M,245.46M,245.46M,245.46M,245.46M,245.46M,245.46M,245.46M,245.46M,245.46M,245.46M,245.46M,245.46M,245.58M,245.58M,245.58M,245.58M
Average Diluted Shares Outstanding,406.50M,414.46M,424.35M,425.19M,433.33M,443.11M,453.11M,461.55M,464.17M,464.78M,466.74M,466.89M,465.21M,465.15M,465.07M,431.84M,413.88M,413.85M,413.71M,414.77M,415.00M,418.09M,419.09M,418.51M,421.03M,423.45M,423.49M,422.75M,421.97M,422.45M,422.32M,421.63M,422.30M,421.84M,421.35M,421.28M,421.39M,420.90M,419.86M,419.91M,419.93M,419.67M,419.26M,416.44M,416.80M,417.98M,397.92M,395.70M,392.62M,393.76M,393.62M,784.38M,384.85M,786.59M,793.61M,394.98M,400.49M,397.32M,396.62M,591.67M,592.43M,593.03M,592.72M,394.39M,389.35M,389.22M,390.63M,382.04M,380.54M,381.52M,380.84M,379.25M,386.97M,376.16M,362.48M,1.055B,350.30M,1.043B,960.50M,892.28M,300.89M,890.81M,888.83M,887.53M,295.88M,299.09M,298.48M,296.71M,296.00M,275.48M,274.52M,274.38M,274.16M,273.73M,273.58M,273.56M,273.40M,273.35M,273.31M,273.29M,272.95M,272.68M,272.53M,246.90M,246.87M,246.32M,245.93M,245.46M,245.46M,245.46M,245.46M,245.46M,245.46M,245.46M,245.46M,245.46M,245.46M,245.46M,245.46M,245.46M,245.46M,245.58M,245.58M,245.58M,245.58M
Dividend Per Share,0.10,0.09,0.09,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.005,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0067,0.0033,0.0033,0.0033,0.0033,0.0033,0.0034,0.0034,0.0034,0.0034,0.0034,0.0034,0.0034,0.0034,0.0034,0.0034,0.0034,0.0034,0.0034,0.0034,0.0034,0.0034,0.0034,0.0034,,,,,,
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
