Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1988-12,1987-12,1986-12,1985-12,1984-12
Total Long Term Assets,102.22B,101.19B,101.93B,101.98B,98.71B,74.74B,65.01B,66.04B,64.06B,63.39B,61.96B,61.07B,61.16B,61.51B,61.51B,61.04B,60.78B,59.78B,62.10B,61.37B,59.72B,62.36B,62.50B,61.41B,61.15B,60.98B,59.95B,59.35B,59.80B,60.26B,35.51B,33.88B,35.69B,35.52B,35.72B,35.66B,34.98B,35.31B,33.94B,34.07B,32.57B,33.85B,32.91B,31.58B,32.37B,32.63B,33.71B,33.14B,32.50B,30.94B,28.84B,28.40B,28.30B,29.69B,29.54B,28.91B,28.72B,28.56B,27.50B,24.79B,24.77B,22.95B,22.53B,22.56B,22.28B,21.92B,18.20B,17.79B,17.36B,16.26B,16.07B,15.65B,15.71B,14.86B,14.93B,14.72B,14.70B,13.94B,13.90B,13.83B,13.74B,12.76B,12.04B,7.854B,7.94B,8.586B,7.845B,7.741B,7.422B,7.039B,6.97B,6.932B,7.134B,7.096B,6.969B,6.857B,7.006B,7.105B,7.226B,7.294B,7.396B,7.793B,7.619B,7.777B,7.912B,8.12B,7.898B,7.865B,7.827B,7.167B,7.125B,7.063B,7.054B,7.098B,6.974B,6.953B,6.906B,6.462B,6.273B,6.283B,6.091B,5.035B,4.760B,4.523B,4.152B,3.635B,4.084B
Total Assets,139.72B,139.01B,138.99B,137.38B,134.21B,114.94B,101.57B,98.78B,96.92B,96.35B,94.79B,90.37B,89.71B,90.06B,89.48B,88.57B,87.48B,92.14B,92.77B,91.33B,91.21B,91.77B,92.14B,91.23B,90.59B,90.33B,88.74B,88.51B,89.41B,91.95B,74.65B,61.72B,61.45B,61.95B,62.15B,60.66B,58.49B,60.65B,58.34B,58.39B,55.76B,57.58B,56.54B,54.80B,56.84B,56.81B,58.49B,57.05B,54.58B,53.50B,50.56B,48.58B,47.14B,49.60B,49.17B,47.03B,45.92B,46.07B,44.79B,40.54B,40.44B,37.63B,36.69B,35.93B,35.27B,34.06B,30.91B,29.72B,29.19B,28.49B,28.38B,27.01B,27.01B,26.61B,26.02B,25.69B,25.36B,24.16B,24.32B,24.20B,24.37B,23.08B,22.03B,17.91B,17.77B,18.29B,17.46B,17.34B,16.44B,16.92B,17.03B,16.69B,16.74B,16.41B,16.18B,16.03B,15.96B,15.74B,15.83B,15.70B,15.62B,15.70B,15.85B,15.65B,15.62B,15.46B,15.88B,16.15B,15.93B,16.11B,16.21B,15.94B,15.98B,16.16B,16.13B,16.07B,15.92B,15.44B,15.36B,14.91B,14.60B,13.41B,12.75B,11.93B,11.09B,10.53B,9.904B
Accounts Payable,10.81B,10.84B,11.11B,10.36B,11.08B,10.51B,9.623B,8.875B,9.579B,8.999B,8.542B,7.52B,7.483B,7.432B,7.242B,6.579B,6.875B,6.333B,7.153B,6.929B,6.25B,7.046B,7.297B,6.949B,6.965B,6.628B,6.645B,6.192B,6.431B,6.156B,5.752B,5.281B,5.57B,5.597B,5.686B,5.635B,5.206B,4.964B,5.057B,4.801B,4.634B,4.43B,4.599B,4.813B,5.594B,5.104B,5.577B,5.503B,5.059B,4.977B,5.10B,4.786B,4.263B,4.245B,4.34B,4.017B,3.82B,3.68B,3.975B,3.603B,3.49B,3.10B,3.269B,2.991B,2.612B,2.695B,2.40B,2.291B,2.095B,2.155B,2.498B,2.232B,2.156B,2.319B,2.444B,2.333B,2.261B,2.078B,2.13B,2.08B,1.957B,1.788B,1.827B,1.648B,1.86B,2.026B,2.043B,1.984B,1.889B,1.896B,2.032B,2.022B,2.186B,1.991B,1.986B,1.951B,2.084B,1.851B,1.858B,1.823B,1.924B,1.613B,1.599B,1.525B,1.815B,1.152B,1.62B,1.74B,2.097B,1.757B,1.81B,1.677B,1.839B,1.631B,1.617B,1.617B,1.948B,1.589B,1.510B,1.457B,1.869B,1.346B,,,,,
Current Tax Payable,1.248B,,,,737.00M,,,,543.00M,,,,671.00M,,,,2.79B,,,,585.00M,,,,820.00M,,,,1.434B,,,,744.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Payables,12.06B,10.84B,11.11B,10.36B,11.82B,10.51B,9.623B,8.875B,10.12B,8.999B,8.542B,7.52B,8.154B,7.432B,7.242B,6.579B,9.665B,6.333B,7.153B,6.929B,6.835B,7.046B,7.297B,6.949B,7.785B,6.628B,6.645B,6.192B,7.865B,6.156B,5.752B,5.281B,6.314B,5.597B,5.686B,5.635B,5.206B,4.964B,5.057B,4.801B,4.634B,4.43B,4.599B,4.813B,5.594B,5.104B,5.577B,5.503B,5.059B,4.977B,5.10B,4.786B,4.263B,4.245B,4.34B,4.017B,3.82B,3.68B,3.975B,3.603B,3.49B,3.10B,3.269B,2.991B,2.612B,2.695B,2.40B,2.291B,2.095B,2.155B,2.498B,2.232B,2.156B,2.319B,2.444B,2.333B,2.261B,2.078B,2.13B,2.08B,1.957B,1.788B,1.827B,1.648B,1.86B,2.026B,2.043B,1.984B,1.889B,1.896B,2.032B,2.022B,2.186B,1.991B,1.986B,1.951B,2.084B,1.851B,1.858B,1.823B,1.924B,1.613B,1.599B,1.525B,1.815B,1.152B,1.62B,1.74B,2.097B,1.757B,1.81B,1.677B,1.839B,1.631B,1.617B,1.617B,1.948B,1.589B,1.510B,1.457B,1.869B,1.346B,,,,,
Accrued Expenses,9.788B,11.67B,10.75B,10.75B,9.304B,8.867B,8.73B,7.951B,7.022B,13.05B,12.63B,12.52B,7.123B,12.63B,12.53B,12.58B,7.684B,11.88B,13.62B,14.62B,7.486B,14.72B,14.80B,15.68B,7.853B,15.49B,15.24B,14.85B,7.707B,14.60B,12.85B,11.98B,6.30B,12.60B,12.62B,12.78B,12.25B,12.42B,11.68B,11.92B,11.79B,12.07B,11.88B,11.61B,12.07B,12.49B,12.30B,12.10B,11.28B,11.39B,10.32B,10.09B,10.05B,9.953B,9.699B,9.657B,9.22B,9.701B,9.614B,8.528B,8.245B,7.765B,7.414B,7.481B,7.265B,6.458B,5.721B,5.679B,5.449B,5.782B,5.855B,5.605B,5.534B,5.715B,5.669B,5.905B,5.748B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payables and Accrued Expenses,21.84B,22.51B,21.86B,21.11B,21.12B,19.38B,18.35B,16.83B,17.14B,22.05B,21.18B,20.04B,15.28B,20.07B,19.78B,19.16B,17.35B,18.21B,20.78B,21.54B,14.32B,21.77B,22.10B,22.63B,15.64B,22.12B,21.88B,21.05B,15.57B,20.76B,18.60B,17.26B,12.61B,18.20B,18.31B,18.42B,17.45B,17.39B,16.74B,16.72B,16.43B,16.50B,16.48B,16.43B,17.66B,17.60B,17.88B,17.60B,16.34B,16.37B,15.42B,14.88B,14.31B,14.20B,14.04B,13.67B,13.04B,13.38B,13.59B,12.13B,11.74B,10.86B,10.68B,10.47B,9.877B,9.153B,8.121B,7.97B,7.544B,7.937B,8.353B,7.837B,7.69B,8.034B,8.113B,8.238B,8.009B,2.078B,2.13B,2.08B,1.957B,1.788B,1.827B,1.648B,1.86B,2.026B,2.043B,1.984B,1.889B,1.896B,2.032B,2.022B,2.186B,1.991B,1.986B,1.951B,2.084B,1.851B,1.858B,1.823B,1.924B,1.613B,1.599B,1.525B,1.815B,1.152B,1.62B,1.74B,2.097B,1.757B,1.81B,1.677B,1.839B,1.631B,1.617B,1.617B,1.948B,1.589B,1.510B,1.457B,1.869B,1.346B,,,,,
Commercial Paper Liability,0.00,984.00M,855.00M,849.00M,1.257B,1.38B,876.00M,930.00M,300.00M,943.00M,559.00M,1.074B,522.00M,780.00M,615.00M,1.073B,727.00M,2.86B,2.50B,2.18B,0.00,135.00M,230.00M,0.00,200.00M,100.00M,50.00M,0.00,320.00M,,,,455.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Borrowings,5.86B,5.838B,6.486B,3.333B,3.088B,288.00M,187.00M,1.264B,2.196B,2.254B,2.184B,2.61B,1.682B,1.695B,1.792B,290.00M,378.00M,379.00M,454.00M,2.004B,1.917B,2.006B,2.005B,304.00M,300.00M,1.303B,1.231B,1.252B,1.304B,,,,304.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,5.86B,6.822B,7.341B,4.182B,4.345B,1.668B,1.063B,2.194B,2.496B,3.197B,2.743B,3.684B,2.204B,2.475B,2.407B,1.363B,1.105B,3.239B,2.954B,4.184B,1.917B,2.141B,2.235B,304.00M,500.00M,1.403B,1.281B,1.252B,1.624B,5.291B,271.00M,300.00M,759.00M,1.863B,1.906B,501.00M,279.00M,2.231B,2.026B,1.948B,1.487B,1.703B,2.095B,1.512B,2.139B,2.259B,2.624B,2.003B,1.133B,2.268B,1.548B,1.229B,894.00M,1.224B,1.698B,2.319B,2.305B,1.446B,598.00M,622.00M,1.36B,805.00M,718.00M,744.00M,1.044B,806.00M,262.00M,272.00M,241.00M,350.00M,337.00M,473.00M,722.00M,1.367B,1.066B,914.00M,1.335B,1.01B,1.18B,1.019B,1.235B,678.00M,399.00M,641.00M,603.00M,500.00M,321.00M,308.00M,312.00M,318.00M,352.00M,347.00M,348.00M,374.00M,247.00M,411.00M,392.00M,357.00M,486.00M,664.00M,558.00M,914.00M,1.236B,1.149B,1.02B,,1.418B,1.536B,788.00M,1.059B,1.031B,669.00M,490.00M,912.10M,1.034B,1.051B,660.10M,987.00M,1.578B,1.451B,292.60M,1.241B,585.50M,545.90M,760.20M,433.80M,491.40M
Current Capital Lease Obligation,544.00M,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Debt & Capital Lease Obligation,6.404B,6.822B,7.341B,4.182B,4.345B,1.668B,1.063B,2.194B,2.496B,3.197B,2.743B,3.684B,2.204B,2.475B,2.407B,1.363B,1.105B,3.239B,2.954B,4.184B,1.917B,2.141B,2.235B,304.00M,500.00M,1.403B,1.281B,1.252B,1.624B,5.291B,271.00M,300.00M,759.00M,1.863B,1.906B,501.00M,279.00M,2.231B,2.026B,1.948B,1.487B,1.703B,2.095B,1.512B,2.139B,2.259B,2.624B,2.003B,1.133B,2.268B,1.548B,1.229B,894.00M,1.224B,1.698B,2.319B,2.305B,1.446B,598.00M,622.00M,1.36B,805.00M,718.00M,744.00M,1.044B,806.00M,262.00M,272.00M,241.00M,350.00M,337.00M,473.00M,722.00M,1.367B,1.066B,914.00M,1.335B,1.01B,1.18B,1.019B,1.235B,678.00M,399.00M,641.00M,603.00M,500.00M,321.00M,308.00M,312.00M,318.00M,352.00M,347.00M,348.00M,374.00M,247.00M,411.00M,392.00M,357.00M,486.00M,664.00M,558.00M,914.00M,1.236B,1.149B,1.02B,,1.418B,1.536B,788.00M,1.059B,1.031B,669.00M,490.00M,912.10M,1.034B,1.051B,660.10M,987.00M,1.578B,1.451B,292.60M,1.241B,585.50M,545.90M,760.20M,433.80M,491.40M
Current Deferred Revenue,6.18B,6.233B,6.219B,6.107B,5.72B,5.46B,5.652B,5.727B,4.547B,,,,4.217B,,,,3.952B,,,,4.241B,,,,6.444B,,,,5.936B,,,,5.028B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Liabilities,6.18B,6.233B,6.219B,6.107B,5.72B,5.46B,5.652B,5.727B,4.547B,,,,4.217B,,,,3.952B,,,,4.241B,,,,6.444B,,,,5.936B,,,,5.028B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Liability,,,,,40.00M,,,,,,,,,,,,,2.242B,,,2.781B,,,,,,,261.00M,421.00M,405.00M,917.00M,771.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.432B,5.65B,5.859B,6.023B,5.675B,5.472B,5.092B,4.719B,5.563B,5.318B,5.40B,4.912B,5.257B,5.26B,5.096B,4.856B,4.639B,4.543B,4.231B,4.183B,4.15B,4.096B,3.966B,4.071B,4.117B,3.991B,4.125B,4.085B,5.554B,4.119B,4.002B,4.152B,4.04B,4.175B,4.249B,4.248B,3.607B,3.642B,3.456B,3.343B,3.270B,3.103B,3.073B,4.214B,2.826B,4.363B,4.130B,3.866B,3.686B,3.262B
Total Current Liabilities,34.59B,35.57B,35.42B,31.40B,31.37B,26.50B,25.07B,24.75B,24.39B,25.25B,23.92B,23.73B,21.91B,22.54B,22.18B,20.52B,22.62B,23.69B,23.73B,25.73B,23.48B,23.91B,24.33B,22.93B,22.80B,23.52B,23.16B,22.56B,23.79B,26.45B,19.79B,18.33B,18.62B,20.06B,20.21B,18.92B,17.73B,19.62B,18.76B,18.67B,17.91B,18.20B,18.57B,17.94B,19.80B,19.86B,20.50B,19.60B,17.47B,18.63B,16.97B,16.11B,15.21B,15.42B,15.74B,15.99B,15.34B,14.83B,14.19B,12.75B,13.10B,11.67B,11.40B,11.22B,10.92B,9.959B,8.383B,8.242B,7.785B,8.287B,8.69B,8.31B,8.412B,9.401B,9.179B,9.152B,9.344B,8.52B,8.96B,8.958B,9.215B,8.141B,7.698B,7.381B,7.182B,8.089B,7.682B,7.692B,7.113B,7.471B,7.644B,7.465B,7.39B,7.004B,6.776B,6.593B,6.659B,6.358B,6.44B,6.453B,6.553B,6.644B,6.826B,6.799B,6.92B,6.706B,7.157B,7.278B,7.037B,6.856B,7.016B,6.595B,6.577B,6.150B,6.293B,6.125B,5.951B,5.846B,6.192B,5.980B,6.376B,5.412B,4.948B,4.676B,4.626B,4.120B,3.753B
Non-Current Portion of Long Term Debt,37.79B,37.78B,37.91B,41.00B,41.19B,38.28B,27.25B,25.15B,24.99B,24.06B,23.88B,20.90B,21.70B,20.19B,20.13B,21.69B,19.32B,19.43B,19.49B,17.81B,17.78B,17.86B,17.84B,19.74B,19.74B,19.78B,20.38B,21.57B,21.60B,23.41B,20.45B,9.491B,9.501B,9.501B,9.492B,9.986B,10.01B,10.07B,10.04B,10.00B,8.257B,8.729B,8.721B,9.315B,9.337B,8.113B,8.106B,8.014B,8.015B,7.059B,7.045B,7.035B,7.037B,7.067B,7.061B,5.954B,5.935B,6.366B,6.615B,4.223B,4.231B,4.254B,4.247B,4.261B,4.257B,4.65B,4.63B,4.632B,4.632B,4.667B,4.651B,4.144B,4.237B,3.874B,5.51B,3.96B,3.476B,3.232B,3.242B,3.246B,3.086B,2.844B,2.11B,1.553B,1.57B,1.605B,1.221B,1.255B,1.275B,1.363B,1.381B,1.398B,1.437B,1.469B,1.543B,1.641B,1.649B,1.707B,1.753B,1.885B,1.885B,1.894B,1.954B,1.937B,1.939B,2.03B,2.044B,2.252B,2.358B,2.395B,2.467B,2.821B,2.903B,3.000B,2.972B,2.960B,2.902B,2.638B,2.644B,2.61B,1.960B,1.700B,1.643B,1.856B,1.723B,1.289B,1.178B
Long Term Cap Lease Obligation,2.144B,2.105B,2.258B,2.02B,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of LTD and Capital Lease Obligation,39.93B,39.89B,40.17B,43.02B,41.19B,38.28B,27.25B,25.15B,24.99B,24.06B,23.88B,20.90B,21.70B,20.19B,20.13B,21.69B,19.32B,19.43B,19.49B,17.81B,17.78B,17.86B,17.84B,19.74B,19.74B,19.78B,20.38B,21.57B,21.60B,23.41B,20.45B,9.491B,9.501B,9.501B,9.492B,9.986B,10.01B,10.07B,10.04B,10.00B,8.257B,8.729B,8.721B,9.315B,9.337B,8.113B,8.106B,8.014B,8.015B,7.059B,7.045B,7.035B,7.037B,7.067B,7.061B,5.954B,5.935B,6.366B,6.615B,4.223B,4.231B,4.254B,4.247B,4.261B,4.257B,4.65B,4.63B,4.632B,4.632B,4.667B,4.651B,4.144B,4.237B,3.874B,5.51B,3.96B,3.476B,3.232B,3.242B,3.246B,3.086B,2.844B,2.11B,1.553B,1.57B,1.605B,1.221B,1.255B,1.275B,1.363B,1.381B,1.398B,1.437B,1.469B,1.543B,1.641B,1.649B,1.707B,1.753B,1.885B,1.885B,1.894B,1.954B,1.937B,1.939B,2.03B,2.044B,2.252B,2.358B,2.395B,2.467B,2.821B,2.903B,3.000B,2.972B,2.960B,2.902B,2.638B,2.644B,2.61B,1.960B,1.700B,1.643B,1.856B,1.723B,1.289B,1.178B
Long Term Deferred Tax Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.00M,,,,155.00M,,,,130.00M,,,,196.00M,195.00M,198.00M,173.00M,177.00M,165.00M,185.00M,172.00M,186.00M,102.00M,212.00M,168.00M,230.00M,369.30M,347.00M,367.10M,352.80M,379.70M,377.70M,392.00M,404.40M,399.10M,371.00M,302.20M,227.10M,243.90M,314.50M
Non-Current Deferred Revenue,5.732B,,,,5.069B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Deferred Liabilities,5.732B,,,,5.069B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.00M,,,,155.00M,,,,130.00M,,,,196.00M,195.00M,198.00M,173.00M,177.00M,165.00M,185.00M,172.00M,186.00M,102.00M,212.00M,168.00M,230.00M,369.30M,347.00M,367.10M,352.80M,379.70M,377.70M,392.00M,404.40M,399.10M,371.00M,302.20M,227.10M,243.90M,314.50M
Pension Liability,3.502B,3.855B,3.663B,3.846B,4.018B,2.412B,2.589B,2.847B,3.036B,3.227B,5.249B,5.433B,5.612B,5.552B,5.713B,5.869B,6.022B,6.235B,6.373B,6.494B,6.681B,3.033B,3.207B,3.32B,3.444B,7.175B,7.231B,7.358B,7.52B,6.632B,5.087B,5.177B,5.007B,3.409B,3.528B,3.583B,3.592B,3.927B,3.996B,4.099B,4.15B,6.663B,6.589B,6.525B,6.574B,2.392B,,,2.562B,,,,2.926B,,,,2.813B,,,,4.595B,,,,4.752B,,,,5.088B,,,,2.703B,,,,1.636B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minority Interest Ownership,2.457B,2.351B,2.223B,2.208B,2.164B,2.144B,1.982B,1.958B,1.811B,1.81B,1.713B,1.678B,1.59B,1.577B,1.558B,1.55B,1.486B,1.526B,1.561B,1.517B,1.351B,1.34B,1.408B,1.378B,1.353B,1.342B,1.382B,1.369B,1.155B,1.369B,1.121B,1.057B,940.00M,1.325B,1.364B,1.319B,1.264B,999.00M,982.00M,960.00M,1.322B,1.157B,1.027B,973.00M,918.00M,962.00M,957.00M,984.00M,912.00M,864.00M,885.00M,854.00M,836.00M,850.00M,829.00M,801.00M,778.00M,912.00M,922.00M,927.00M,910.00M,837.00M,812.00M,798.00M,709.00M,660.00M,637.00M,594.00M,589.00M,,,,550.00M,,,,497.00M,,,,527.00M,,,,421.00M,,,,351.00M,,,,478.00M,,,,469.00M,,,,400.00M,,,,369.00M,,,,346.00M,,,,335.00M,,,,323.40M,,,,276.40M,,,,,,
Preferred Securities out of Shareholders Equity,95.00M,107.00M,109.00M,109.00M,109.00M,125.00M,130.00M,135.00M,131.00M,429.00M,406.00M,307.00M,296.00M,315.00M,314.00M,127.00M,122.00M,132.00M,134.00M,135.00M,140.00M,141.00M,146.00M,137.00M,111.00M,124.00M,174.00M,255.00M,238.00M,,,,358.00M,,,,,318.00M,311.00M,377.00M,,,,,245.00M,,,,,,,,,,,,,,,,,,,,,426.00M,431.00M,426.00M,718.00M,426.00M,426.00M,428.00M,429.00M,425.00M,424.00M,427.00M,432.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Liabilities,11.64B,16.77B,16.65B,17.05B,11.84B,13.37B,13.19B,13.40B,12.95B,11.69B,11.18B,10.74B,11.03B,10.70B,10.49B,10.46B,10.56B,10.60B,11.11B,10.99B,10.56B,11.45B,11.43B,11.41B,11.28B,9.804B,9.431B,9.206B,9.199B,9.129B,5.598B,5.177B,5.15B,5.059B,4.826B,4.734B,4.51B,4.46B,4.32B,4.314B,4.054B,4.339B,4.258B,4.233B,4.198B,4.403B,7.006B,6.864B,4.262B,6.662B,6.461B,6.48B,3.837B,7.323B,7.091B,6.926B,4.063B,8.219B,7.793B,7.932B,3.344B,7.832B,7.752B,7.568B,2.928B,8.248B,7.30B,7.145B,2.027B,5.436B,5.452B,5.479B,2.31B,4.478B,2.761B,4.41B,2.317B,4.545B,4.544B,4.518B,3.972B,4.544B,4.451B,4.025B,3.761B,3.762B,3.812B,3.705B,3.045B,2.923B,3.232B,3.148B,2.545B,3.255B,3.304B,3.311B,2.632B,3.338B,3.334B,3.196B,2.499B,2.965B,2.977B,2.931B,2.439B,2.922B,2.901B,2.961B,2.48B,2.365B,2.261B,2.189B,1.853B,1.291B,1.231B,1.228B,964.50M,1.367B,1.165B,1.134B,841.40M,993.00M,963.90M,802.90M,713.60M,1.030B,1.016B
Total Long Term Liabilities,60.90B,60.62B,60.59B,64.03B,62.23B,54.18B,43.16B,41.54B,41.11B,39.41B,40.72B,37.38B,38.63B,36.76B,36.65B,38.14B,36.02B,36.40B,37.11B,35.43B,35.17B,32.48B,32.62B,34.60B,34.58B,36.89B,37.21B,38.39B,38.55B,39.17B,31.14B,19.84B,20.02B,17.97B,17.85B,18.30B,18.11B,18.78B,18.67B,18.79B,16.46B,19.73B,19.57B,20.07B,20.35B,14.91B,15.11B,14.88B,14.84B,13.72B,13.51B,13.52B,13.80B,14.39B,14.15B,12.88B,12.81B,14.58B,14.41B,12.16B,12.17B,12.09B,12.00B,11.83B,11.94B,13.32B,12.36B,12.20B,12.46B,10.53B,10.53B,10.05B,9.679B,8.777B,8.695B,8.797B,7.861B,7.777B,7.786B,7.764B,7.058B,7.388B,6.561B,5.578B,5.331B,5.367B,5.033B,4.96B,4.453B,4.286B,4.613B,4.546B,4.137B,4.724B,4.847B,4.952B,4.411B,5.045B,5.087B,5.081B,4.58B,5.054B,5.129B,5.041B,4.555B,5.117B,5.13B,5.385B,5.024B,4.862B,4.94B,5.178B,4.986B,4.661B,4.551B,4.554B,4.219B,4.384B,4.187B,4.136B,3.205B,3.092B,2.978B,2.961B,2.664B,2.563B,2.509B
Total Liabilities,95.48B,96.19B,96.01B,95.43B,93.60B,80.69B,68.22B,66.29B,65.50B,64.66B,64.64B,61.10B,60.54B,59.30B,58.83B,58.67B,58.64B,60.08B,60.84B,61.16B,58.64B,56.38B,56.95B,57.53B,57.38B,60.41B,60.38B,60.95B,62.34B,65.62B,50.93B,38.18B,38.63B,38.03B,38.06B,37.22B,35.84B,38.40B,37.43B,37.46B,34.37B,37.93B,38.14B,38.01B,40.16B,34.76B,35.62B,34.48B,32.31B,32.36B,30.48B,29.62B,29.01B,29.81B,29.89B,28.87B,28.16B,29.41B,28.60B,24.91B,25.26B,23.76B,23.40B,23.04B,22.86B,23.28B,20.74B,20.44B,20.25B,18.82B,19.22B,18.36B,18.09B,18.18B,17.87B,17.95B,17.20B,16.30B,16.75B,16.72B,16.27B,15.53B,14.26B,12.96B,12.51B,13.46B,12.72B,12.65B,11.57B,11.76B,12.26B,12.01B,11.53B,11.73B,11.62B,11.54B,11.07B,11.40B,11.53B,11.53B,11.13B,11.70B,11.96B,11.84B,11.48B,11.82B,12.29B,12.66B,12.06B,11.72B,11.96B,11.77B,11.56B,10.81B,10.84B,10.68B,10.17B,10.23B,10.38B,10.12B,9.582B,8.505B,7.926B,7.638B,7.290B,6.683B,6.262B
Total Capital Stock,23.02B,22.87B,22.72B,22.56B,22.51B,17.87B,17.75B,17.64B,17.57B,17.49B,17.37B,17.36B,17.28B,17.21B,16.34B,16.26B,16.03B,16.73B,15.14B,15.03B,15.30B,15.19B,15.06B,14.94B,14.76B,14.66B,14.40B,14.22B,13.98B,13.80B,13.54B,13.65B,13.44B,13.33B,13.04B,12.79B,12.60B,12.32B,12.20B,11.94B,11.75B,11.52B,11.37B,11.22B,11.18B,10.97B,10.86B,10.71B,10.57B,10.42B,10.20B,9.959B,9.622B,9.416B,9.297B,8.974B,8.793B,8.639B,8.53B,8.283B,8.106B,6.928B,6.80B,6.748B,6.587B,5.756B,5.621B,5.512B,5.447B,5.38B,5.233B,5.196B,5.09B,4.937B,4.911B,4.799B,4.665B,4.918B,4.804B,4.744B,4.676B,4.633B,451.00M,454.00M,3.164B,455.00M,452.00M,452.00M,450.00M,866.00M,441.00M,439.00M,434.00M,426.00M,417.00M,408.00M,398.00M,386.00M,371.00M,357.00M,339.00M,228.00M,184.00M,179.00M,176.00M,149.00M,149.00M,149.00M,151.00M,126.00M,126.00M,126.00M,126.00M,81.40M,81.40M,81.40M,81.40M,,,0.90M,0.90M,0.90M,,,,,
