Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
"Extraordinary Items, Income Statement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.00M,,,,,,,,,,,,,,,,,0.00,,,114.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred Stock Dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,2.00M,3.00M,4.00M,6.00M,5.00M,5.00M,5.00M,5.00M,4.00M,5.00M,4.00M,4.00M,4.00M,-26.00M,4.00M,3.00M,4.00M,4.00M,3.00M,4.00M,3.00M,3.00M,4.00M,3.00M,3.00M,3.00M,3.00M,2.00M,3.00M,3.00M,3.00M,2.00M,3.00M,3.00M,3.00M,2.00M,2.00M,2.00M,16.00M,22.00M,22.00M,22.00M,22.00M,22.00M,22.00M,22.00M,28.00M,27.00M,28.00M,27.60M,36.10M,24.80M,24.80M,24.80M,4.70M,4.60M,4.60M,4.60M,4.70M,4.60M,4.70M,4.70M,1.80M,7.50M,4.60M,6.80M,,,,,,,,,,,,,,,,,,,,,,
Net Income,1.098B,1.495B,1.443B,730.00M,1.019B,1.322B,1.036B,557.00M,298.00M,1.159B,1.186B,561.00M,444.00M,1.259B,1.546B,946.00M,980.00M,1.315B,1.485B,746.00M,-712.00M,357.00M,801.00M,213.00M,8.479B,1.369B,685.00M,7.00M,6.00M,1.047B,-168.00M,124.00M,425.00M,549.00M,198.00M,-318.00M,19.00M,363.00M,467.00M,-256.00M,-25.00M,-161.00M,-257.00M,-794.00M,-1.438B,-50.00M,-1.044B,-6.39B,-70.00M,220.00M,1.592B,-130.00M,-1.981B,52.00M,-2.205B,-2.069B,-1.235B,-1.13B,-382.00M,-1.071B,-2.206B,-646.00M,-1.963B,-383.00M,-327.00M,-164.00M,184.00M,-466.00M,-363.00M,-326.00M,-186.00M,-397.00M,-734.00M,-259.00M,-90.00M,-133.00M,217.00M,281.00M,223.00M,352.00M,278.00M,364.00M,216.00M,194.00M,327.00M,362.00M,195.00M,190.00M,254.00M,302.00M,189.00M,125.00M,238.00M,162.00M,-276.00M,70.00M,201.00M,251.00M,-11.00M,-18.00M,186.00M,-250.00M,-78.00M,-141.00M,60.40M,-634.80M,-133.90M,-126.30M,-106.70M,-180.10M,-151.60M,-187.60M,13.10M,19.20M,-84.10M,-207.80M,-51.60M,74.10M,31.30M,64.20M,133.10M,190.80M,85.00M,85.20M,100.00M,103.30M,56.10M,88.30M,59.10M,58.80M,26.40M,125.50M,53.00M,22.20M,-6.40M,1.90M,29.50M,84.20M,41.20M,73.90M,60.20M,71.70M,52.80M
Normalized Income,991.18M,1.522B,1.505B,652.83M,860.66M,1.283B,1.214B,543.30M,298.00M,1.159B,1.186B,561.00M,444.00M,1.259B,1.546B,946.00M,980.00M,1.315B,1.485B,746.00M,-670.15M,708.45M,819.51M,255.60M,8.583B,1.438B,718.95M,73.30M,154.20M,1.207B,-42.55M,112.28M,387.30M,605.55M,326.05M,-250.15M,-62.70M,952.13M,677.55M,-176.70M,1.100B,107.93M,-258.95M,-682.00M,734.00M,36.00M,87.07M,-265.00M,-877.33M,220.00M,1.585B,-159.00M,-1.976B,70.60M,-2.216B,-2.069B,-1.235B,-1.13B,-384.86M,-1.067B,-2.346B,-621.23M,-1.964B,-364.43M,-353.82M,-169.81M,7.336M,-451.20M,-538.31M,-195.48M,-167.85M,-353.48M,-891.15M,-182.82M,-131.82M,-120.40M,250.60M,368.86M,169.00M,580.80M,273.27M,361.00M,198.50M,182.48M,325.18M,330.97M,193.79M,191.82M,247.32M,302.00M,219.00M,121.34M,245.80M,327.08M,84.78M,72.40M,203.40M,251.00M,-5.00M,-17.18M,63.60M,28.21M,-78.00M,-75.83M,40.96M,-0.96M,-147.66M,-151.48M,-130.47M,-201.78M,-157.01M,-170.34M,-1.84M,11.10M,-93.57M,-210.85M,-61.02M,63.13M,26.04M,45.03M,119.72M,190.80M,85.00M,85.20M,100.00M,103.30M,56.10M,88.30M,59.10M,58.80M,26.40M,125.50M,53.00M,22.20M,-6.40M,1.90M,29.50M,84.20M,41.20M,73.90M,60.20M,71.70M,52.80M
EBITDA,1.59B,2.017B,1.982B,1.029B,1.214B,1.761B,1.465B,824.00M,1.212B,1.876B,1.934B,943.00M,762.00M,1.995B,2.443B,1.541B,1.635B,2.193B,2.493B,1.317B,-1.003B,733.00M,1.471B,521.00M,681.00M,1.576B,899.00M,223.00M,245.00M,1.295B,92.00M,399.00M,828.00M,1.16B,809.00M,208.00M,455.00M,990.00M,1.102B,385.00M,290.00M,423.00M,454.00M,-102.00M,-807.00M,383.00M,-720.00M,-5.946B,321.00M,792.00M,2.161B,361.00M,370.00M,461.00M,687.00M,-184.00M,-358.00M,77.00M,197.00M,-644.00M,-2.256B,-112.00M,70.00M,-81.00M,-365.00M,224.00M,502.00M,-232.00M,-8.662B,2.761B,2.901B,2.552B,-9.181B,2.691B,3.08B,3.091B,3.29B,3.415B,3.20B,3.009B,3.257B,-5.956B,2.881B,2.773B,770.00M,-5.836B,2.765B,2.745B,2.879B,2.994B,2.725B,2.494B,2.725B,2.756B,2.357B,2.402B,2.632B,2.735B,2.399B,2.387B,2.628B,2.612B,2.405B,2.404B,272.30M,135.40M,53.90M,-19.80M,12.80M,-101.00M,-50.40M,-99.10M,152.20M,174.60M,0.80M,-199.20M,39.70M,229.70M,162.60M,184.10M,302.40M,-5.100B,2.038B,1.858B,1.882B,-4.450B,1.679B,1.664B,1.603B,-3.347B,1.453B,1.198B,1.102B,-3.406B,1.110B,1.120B,1.123B,-3.041B,1.170B,1.127B,1.110B,-2.909B,1.079B
Reconciled Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.00M,381.00M,376.00M,,375.00M,379.00M,385.00M,384.00M,385.00M,383.00M,384.00M,374.00M,293.00M,302.00M,297.00M,288.00M,297.00M,288.00M,291.00M,364.00M,293.00M,318.00M,301.00M,317.00M,317.00M,326.00M,313.00M,,311.00M,311.00M,307.00M,,305.00M,306.00M,303.00M,,289.00M,291.00M,281.00M,310.00M,318.00M,331.00M,324.00M,297.00M,212.00M,297.00M,285.00M,263.00M,269.00M,241.00M,233.00M,218.00M,235.00M,216.00M,211.00M,198.00M,190.00M,180.00M,174.00M,166.00M,158.00M,156.00M,174.00M,146.00M,199.00M,133.00M,140.00M,150.00M,154.00M,154.00M,157.20M,150.80M,92.40M,232.50M,175.10M,175.30M,164.50M,148.90M,137.70M,125.50M,124.00M,115.90M,112.70M,113.30M,119.40M,114.50M,113.50M,111.80M,,,,,,,,,,,,,,,,,,,,,,
EBIT,1.59B,2.017B,1.982B,1.029B,1.214B,1.761B,1.465B,824.00M,1.212B,1.876B,1.934B,943.00M,762.00M,1.995B,2.443B,1.541B,1.635B,2.193B,2.493B,1.317B,-1.003B,733.00M,1.471B,521.00M,681.00M,1.576B,899.00M,223.00M,245.00M,1.295B,92.00M,399.00M,828.00M,776.00M,428.00M,-168.00M,455.00M,615.00M,723.00M,0.00,-94.00M,38.00M,71.00M,-486.00M,-1.181B,90.00M,-1.022B,-6.243B,33.00M,495.00M,1.873B,70.00M,6.00M,168.00M,369.00M,-485.00M,-675.00M,-240.00M,-129.00M,-957.00M,-2.256B,-423.00M,-241.00M,-388.00M,-365.00M,-81.00M,196.00M,-535.00M,-8.662B,2.472B,2.61B,2.271B,-9.491B,2.373B,2.749B,2.767B,2.993B,3.203B,2.903B,2.724B,2.994B,-6.225B,2.64B,2.54B,552.00M,-6.071B,2.549B,2.534B,2.681B,2.804B,2.545B,2.32B,2.559B,2.598B,2.201B,2.228B,2.486B,2.536B,2.266B,2.247B,2.478B,2.458B,2.251B,2.232B,121.50M,43.00M,-178.60M,-194.90M,-162.50M,-265.50M,-199.30M,-236.80M,26.70M,50.60M,-115.10M,-311.90M,-73.60M,110.30M,48.10M,70.60M,190.60M,-5.100B,2.038B,1.858B,1.882B,-4.450B,1.679B,1.664B,1.603B,-3.347B,1.453B,1.198B,1.102B,-3.406B,1.110B,1.120B,1.123B,-3.041B,1.170B,1.127B,1.110B,-2.909B,1.079B
EPS Basic from Continuing Operations,1.71,2.32,2.22,1.10,1.50,1.93,1.49,0.79,0.4228,1.62,1.63,0.77,0.85,1.70,2.04,1.22,1.26,1.67,1.85,0.91,-0.86,0.43,0.95,0.25,10.02,1.61,0.81,0.01,0.01,1.24,-0.20,0.15,0.51,0.66,0.24,-0.38,0.02,0.43,0.56,-0.31,-0.03,-0.19,-0.31,-0.96,-0.17,-0.13,-2.64,-16.15,1.00,0.56,7.66,-0.66,-10.05,0.26,-11.18,-10.68,-6.68,-6.73,-2.64,-7.64,-17.01,-5.16,-15.79,-3.12,-2.69,-1.36,1.46,-3.81,-2.98,-2.67,-1.54,-3.25,-5.99,-2.13,-0.76,-1.11,1.86,2.13,1.74,2.62,2.47,2.57,1.51,1.34,2.19,2.39,1.29,1.26,1.71,2.04,1.28,0.83,1.55,1.42,-2.89,0.47,1.74,2.27,-0.33,-0.40,0.50,-2.75,-1.05,-1.68,0.33,-0.83,-1.59,-1.52,-1.32,-1.86,-1.58,-1.95,0.09,0.28,-1.05,-2.51,-0.64,0.82,0.24,0.57,1.27,1.94,0.87,0.87,1.02,1.06,0.58,0.91,0.61,0.59,0.27,1.51,0.66,0.27,-0.08,0.03,0.37,1.05,0.52,0.93,0.76,0.90,0.67
EPS Basic from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.81,-0.39,0.00,0.00,-0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.13,0.00,0.00,0.00,0.00,-5.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EPS Basic from Extraordinaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,0.0000,,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalized Basic EPS,1.544,2.362,2.315,0.9840,1.267,1.873,1.746,0.7705,0.4228,1.62,1.63,0.77,0.85,1.70,2.04,1.22,1.26,1.67,1.85,0.91,-0.8092,0.8514,0.9720,0.3005,10.14,1.691,0.8499,0.0882,0.1854,1.429,-0.0515,0.1361,0.4650,0.7275,0.3928,-0.2989,-0.0780,1.136,0.8125,-0.2147,1.326,0.1348,-0.3124,-0.8242,3.005,0.0872,0.2162,-0.6699,-1.112,0.56,7.640,-0.8070,-10.02,0.353,-11.24,-10.68,-6.68,-6.73,-2.659,-7.615,-18.06,-4.964,-15.79,-2.970,-2.907,-1.407,0.0279,-3.690,-4.401,-1.611,-1.393,-2.897,-7.265,-1.511,-1.100,-1.008,2.133,2.350,1.314,4.338,1.959,2.548,1.387,1.259,2.165,2.181,1.282,1.272,1.619,2.04,1.485,0.8053,1.651,3.025,0.6088,0.4935,1.787,2.27,-0.27,-0.3918,0.3340,-0.0312,-1.05,-1.032,0.1344,-0.3648,-1.728,-1.773,-1.559,-2.078,-1.635,-1.775,-0.0682,0.1957,-1.162,-2.546,-0.7471,0.6935,0.1870,0.3866,1.135,1.94,0.87,0.87,1.02,1.06,0.58,0.91,0.61,0.59,0.27,1.51,0.66,0.27,-0.08,0.03,0.37,1.05,0.52,0.93,0.76,0.90,0.67
EPS Basic,1.71,2.32,2.22,1.10,1.50,1.93,1.49,0.79,0.4228,1.62,1.63,0.77,0.85,1.70,2.04,1.22,1.26,1.67,1.85,0.91,-0.86,0.43,0.95,0.25,10.02,1.61,0.81,0.01,0.01,1.24,-0.20,0.15,0.51,0.66,0.24,-0.38,0.02,0.43,0.56,-0.31,-0.03,-0.19,-0.31,-0.96,-0.17,-0.13,-2.64,-16.15,1.00,0.56,7.66,-0.66,-10.05,0.26,-11.18,-10.68,-6.68,-6.73,-2.64,-7.64,-17.01,-5.16,-15.79,-3.12,-2.69,-1.36,1.46,-3.81,-2.98,-2.67,-1.54,-3.25,-5.99,-2.13,-0.76,-1.11,1.05,1.74,1.74,2.62,1.99,2.57,1.51,1.34,2.19,2.39,1.29,1.26,1.71,2.04,1.28,0.83,1.55,1.42,-2.89,0.47,1.74,2.27,-0.33,-0.40,1.63,-2.75,-1.05,-1.68,0.33,-6.72,-1.59,-1.52,-1.32,-1.86,-1.58,-1.95,0.09,0.28,-1.05,-2.51,-0.64,0.82,0.24,0.57,1.27,1.94,0.87,0.87,1.02,1.06,0.58,0.91,0.61,0.59,0.27,1.51,0.66,0.27,-0.08,0.03,0.37,1.05,0.52,0.93,0.76,0.90,0.67
EPS Diluted from Continuing Operations,1.71,2.31,2.21,1.09,1.49,1.92,1.49,0.79,0.42,1.61,1.62,0.77,0.84,1.69,2.03,1.21,1.25,1.65,1.83,0.90,-0.86,0.42,0.94,0.25,9.89,1.59,0.80,0.01,0.01,1.23,-0.20,0.15,0.50,0.65,0.23,-0.38,0.02,0.43,0.55,-0.31,-0.03,-0.19,-0.31,-0.96,-0.17,-0.13,-2.64,-16.15,0.39,0.56,5.61,-0.66,-10.05,0.22,-11.18,-10.68,-6.68,-6.73,-2.64,-7.64,-17.01,-5.16,-15.79,-3.12,-2.69,-1.36,1.40,-3.81,-2.98,-2.67,-1.54,-3.25,-5.99,-2.13,-0.76,-1.11,1.77,1.93,1.67,2.50,2.33,2.40,1.42,1.29,2.08,2.28,1.23,1.20,1.63,1.98,1.24,0.82,1.49,1.42,-2.89,0.47,1.29,2.24,-0.33,-0.40,0.50,-2.75,-1.05,-1.68,0.33,-0.83,-1.59,-1.52,-1.32,-1.86,-1.58,-1.95,0.09,0.28,-1.05,-2.51,-0.64,0.66,0.24,0.54,1.19,1.94,0.87,0.87,1.02,1.06,0.58,0.91,0.61,0.59,0.27,1.51,0.66,0.27,-0.08,0.03,0.37,1.05,0.52,0.93,0.76,0.90,0.67
EPS Diluted from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.81,-0.39,0.00,0.00,-0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.72,0.00,0.00,0.00,0.00,-5.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EPS Diluted from Extraordinaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4772,,,,,,,,,,,,,,,,,1.125,,,2.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalized Diluted EPS,1.544,2.351,2.305,0.9743,1.259,1.863,1.745,0.7706,0.42,1.61,1.62,0.77,0.84,1.69,2.03,1.21,1.25,1.65,1.83,0.90,-0.8098,0.8369,0.9618,0.2999,10.01,1.670,0.8395,0.0875,0.1837,1.419,-0.0515,0.1362,0.4553,0.7170,0.3817,-0.2989,-0.0766,1.130,0.8001,-0.2147,1.326,0.1348,-0.3124,-0.8242,3.005,0.0872,0.2162,-0.6699,-1.645,0.56,5.591,-0.8070,-10.02,0.2987,-11.24,-10.68,-6.68,-6.73,-2.659,-7.615,-18.05,-4.964,-15.79,-2.970,-2.907,-1.407,0.0464,-3.690,-4.400,-1.611,-1.393,-2.897,-7.265,-1.511,-1.100,-1.008,2.027,2.150,1.266,4.139,1.850,2.380,1.304,1.212,2.055,2.080,1.222,1.212,1.539,1.98,1.439,0.7956,1.591,3.025,0.6088,0.4935,1.337,2.24,-0.27,-0.3918,0.3340,-0.0312,-1.05,-1.032,0.1344,-0.3648,-1.728,-1.773,-1.559,-2.078,-1.635,-1.775,-0.0682,0.1957,-1.162,-2.546,-0.7471,0.5599,0.1870,0.3663,1.064,1.94,0.87,0.87,1.02,1.06,0.58,0.91,0.61,0.59,0.27,1.51,0.66,0.27,-0.08,0.03,0.37,1.05,0.52,0.93,0.76,0.90,0.67
EPS Diluted,1.71,2.31,2.21,1.09,1.49,1.92,1.49,0.79,0.42,1.61,1.62,0.77,0.84,1.69,2.03,1.21,1.25,1.65,1.83,0.90,-0.86,0.42,0.94,0.25,9.89,1.59,0.80,0.01,0.01,1.23,-0.20,0.15,0.50,0.65,0.23,-0.38,0.02,0.43,0.55,-0.31,-0.03,-0.19,-0.31,-0.96,-0.17,-0.13,-2.64,-16.15,0.39,0.56,5.61,-0.66,-10.05,0.22,-11.18,-10.68,-6.68,-6.73,-2.64,-7.64,-17.01,-5.16,-15.79,-3.12,-2.69,-1.36,1.40,-3.81,-2.98,-2.67,-1.54,-3.25,-5.99,-2.13,-0.76,-1.11,1.01,1.56,1.67,2.50,1.88,2.40,1.42,1.29,2.08,2.28,1.23,1.20,1.63,1.98,1.24,0.82,1.49,1.42,-2.89,0.47,1.29,2.24,-0.33,-0.40,1.22,-2.75,-1.05,-1.68,0.33,-6.72,-1.59,-1.52,-1.32,-1.86,-1.58,-1.95,0.09,0.28,-1.05,-2.51,-0.64,0.66,0.24,0.54,1.19,1.94,0.87,0.87,1.02,1.06,0.58,0.91,0.61,0.59,0.27,1.51,0.66,0.27,-0.08,0.03,0.37,1.05,0.52,0.93,0.76,0.90,0.67
Average Basic Shares Outstanding,642.00M,646.00M,650.00M,665.00M,679.00M,686.00M,695.00M,704.00M,708.00M,716.00M,728.00M,728.00M,730.00M,740.00M,758.00M,774.00M,779.00M,788.00M,803.00M,818.00M,824.00M,834.00M,841.00M,844.00M,846.00M,851.00M,850.00M,848.00M,845.00M,846.00M,845.00M,843.00M,838.00M,838.00M,838.00M,837.00M,834.00M,835.00M,834.00M,832.00M,830.00M,828.00M,827.00M,825.00M,684.00M,396.00M,396.00M,395.67M,382.30M,393.50M,330.00M,197.30M,197.37M,200.00M,197.23M,193.91M,189.47M,168.50M,146.97M,140.84M,133.37M,126.15M,124.69M,123.88M,123.64M,123.39M,123.36M,123.36M,123.33M,123.29M,123.24M,123.24M,123.26M,123.14M,123.05M,123.03M,122.93M,153.88M,126.88M,133.21M,138.30M,139.22M,141.72M,142.54M,73.48M,148.47M,149.61M,148.41M,73.72M,149.18M,146.09M,148.19M,77.05M,102.86M,103.11M,102.13M,51.14M,101.11M,100.00M,100.00M,50.60M,102.33M,100.00M,100.60M,99.39M,100.46M,99.81M,99.41M,99.62M,99.55M,98.86M,98.56M,94.44M,96.09M,84.48M,84.66M,87.97M,86.69M,99.17M,104.56M,99.45M,98.44M,97.70M,97.93M,98.04M,97.48M,96.72M,97.03M,96.89M,97.09M,97.78M,83.11M,80.30M,85.37M,80.00M,63.33M,79.73M,80.34M,79.23M,79.46M,79.21M,79.89M,78.81M
Average Diluted Shares Outstanding,644.00M,648.00M,652.00M,667.00M,685.00M,688.00M,697.00M,706.00M,711.00M,719.00M,731.00M,731.00M,734.00M,744.00M,763.00M,780.00M,783.00M,795.00M,811.00M,826.00M,833.00M,843.00M,850.00M,853.00M,858.00M,861.00M,859.00M,855.00M,853.00M,850.00M,845.00M,847.00M,844.00M,844.00M,844.00M,837.00M,846.00M,842.00M,842.00M,832.00M,830.00M,828.00M,827.00M,825.00M,684.00M,396.00M,396.00M,395.67M,396.80M,395.10M,340.40M,197.30M,197.37M,236.36M,197.23M,193.91M,189.47M,168.50M,146.97M,140.84M,135.25M,126.15M,124.69M,123.88M,123.67M,123.39M,130.52M,123.36M,123.42M,123.29M,123.24M,123.24M,123.26M,123.14M,123.05M,123.03M,130.53M,153.88M,133.59M,139.60M,147.36M,149.93M,150.70M,148.06M,73.48M,155.42M,156.91M,155.83M,73.72M,154.24M,150.81M,150.00M,77.05M,102.86M,103.11M,102.13M,51.14M,185.71M,100.00M,100.00M,50.60M,102.33M,100.00M,100.60M,99.39M,100.46M,99.81M,99.41M,99.62M,99.55M,98.86M,98.56M,94.44M,96.09M,84.48M,84.66M,87.97M,109.55M,99.17M,110.37M,106.13M,98.44M,97.70M,97.93M,98.04M,97.48M,96.72M,97.03M,96.89M,97.09M,97.78M,83.11M,80.30M,85.37M,80.00M,63.33M,79.73M,80.34M,79.23M,79.46M,79.21M,79.89M,78.81M
Dividend Per Share,0.4025,0.4025,0.35,0.35,0.35,0.35,0.305,0.305,0.305,0.305,0.2025,0.2025,0.2025,0.2025,0.135,0.135,0.135,0.135,0.09,0.09,0.09,0.09,0.06,0.06,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,Restated,,,,,,,,,Restated,,,,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
