Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1988-06,1987-06,1986-06,1985-06,1984-06
Current Tax Payable,,,,,,,,,,,,,,,,,,,,,,687.00M,790.00M,810.00M,,697.00M,789.00M,735.00M,585.00M,638.00M,722.00M,704.00M,594.00M,597.00M,766.00M,759.00M,579.00M,592.00M,721.00M,705.00M,525.00M,540.00M,673.00M,591.00M,565.00M,345.00M,422.00M,422.00M,323.00M,332.00M,438.00M,473.00M,500.00M,537.00M,641.00M,626.00M,,540.00M,591.00M,594.00M,,452.00M,551.00M,965.00M,,873.00M,899.00M,890.00M,,879.00M,,,1.049B,,,,,,,,,,,,,,,,,,,,,,38.00M,1.00M,55.00M,,24.00M,7.00M,18.00M,108.00M,6.50M,14.80M,,,,,,,,,,,,,,,,,,,,,,,
Total Payables,3.266B,3.47B,3.359B,3.214B,2.976B,3.265B,3.749B,3.351B,3.634B,3.059B,2.726B,2.353B,2.572B,2.567B,2.956B,2.732B,2.743B,2.688B,2.803B,2.492B,2.622B,3.264B,3.326B,3.151B,2.30B,3.289B,3.36B,3.14B,2.878B,2.963B,2.897B,2.702B,2.194B,2.238B,2.666B,2.666B,2.292B,2.253B,2.351B,2.21B,1.774B,2.023B,2.253B,2.239B,2.169B,692.00M,769.00M,744.00M,1.162B,1.307B,1.726B,1.357B,1.436B,1.348B,2.211B,2.264B,,1.64B,2.269B,2.292B,,2.168B,2.277B,2.754B,,2.608B,2.624B,2.752B,,2.619B,,,2.666B,,,,,2.318B,,,2.212B,,2.094B,2.017B,2.094B,,2.102B,1.879B,2.307B,1.691B,1.757B,1.809B,1.66B,1.54B,1.78B,1.752B,1.797B,1.473B,1.643B,1.543B,1.714B,1.66B,1.516B,1.291B,1.486B,1.202B,1.434B,1.247B,1.215B,956.70M,1.163B,1.085B,981.90M,698.30M,1.071B,993.90M,1.067B,940.90M,888.60M,908.30M,945.80M,,,,,,
Accrued Expenses,4.779B,4.30B,3.952B,3.434B,4.404B,4.181B,3.957B,4.319B,4.89B,4.926B,4.716B,4.454B,4.831B,3.994B,3.74B,3.622B,4.501B,4.169B,3.58B,3.613B,4.393B,3.201B,2.57B,2.292B,4.176B,2.34B,2.168B,2.096B,2.808B,985.00M,1.641B,1.041B,2.916B,861.00M,727.00M,613.00M,654.00M,608.00M,699.00M,1.755B,765.00M,1.484B,1.49B,1.543B,1.507B,1.694B,1.434B,1.382B,1.097B,873.00M,780.00M,607.00M,670.00M,408.00M,390.00M,401.00M,,435.00M,1.151B,1.195B,,1.233B,1.232B,1.273B,,1.429B,1.184B,1.452B,,1.421B,1.377B,1.358B,1.121B,1.41B,1.574B,1.306B,944.00M,,196.00M,267.00M,,470.00M,,,,202.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payables and Accrued Expenses,8.045B,7.77B,7.311B,6.648B,7.38B,7.446B,7.706B,7.67B,8.524B,7.985B,7.442B,6.807B,7.403B,6.561B,6.696B,6.354B,7.244B,6.857B,6.383B,6.105B,7.015B,6.465B,5.896B,5.443B,6.476B,5.629B,5.528B,5.236B,5.686B,3.948B,4.538B,3.743B,5.11B,3.099B,3.393B,3.279B,2.946B,2.861B,3.05B,3.965B,2.539B,3.507B,3.743B,3.782B,3.676B,2.386B,2.203B,2.126B,2.259B,2.18B,2.506B,1.964B,2.106B,1.756B,2.601B,2.665B,,2.075B,3.42B,3.487B,,3.401B,3.509B,4.027B,,4.037B,3.808B,4.204B,,4.04B,1.377B,1.358B,3.787B,1.41B,1.574B,1.306B,944.00M,2.318B,196.00M,267.00M,2.212B,470.00M,2.094B,2.017B,2.094B,202.00M,2.102B,1.879B,2.307B,1.691B,1.757B,1.809B,1.66B,1.54B,1.78B,1.752B,1.797B,1.473B,1.643B,1.543B,1.714B,1.66B,1.516B,1.291B,1.486B,1.202B,1.434B,1.247B,1.215B,956.70M,1.163B,1.085B,981.90M,698.30M,1.071B,993.90M,1.067B,940.90M,888.60M,908.30M,945.80M,,,,,,
Notes Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,295.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Borrowings,2.287B,2.196B,2.281B,3.055B,1.518B,,,,2.242B,,,,,1.092B,1.115B,1.531B,1.563B,1.705B,1.659B,1.261B,1.184B,,,,1.547B,,,,,,,,,,,,,,,,,,,,,865.00M,796.00M,732.00M,2.996B,,,,,,,,,,,,,,,,,1.005B,845.00M,1.093B,,978.00M,341.00M,189.00M,1.025B,1.506B,851.00M,63.00M,526.00M,,669.00M,670.00M,,660.00M,,,,67.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,2.287B,2.196B,2.281B,3.055B,1.518B,1.176B,1.342B,2.289B,2.242B,1.224B,1.098B,1.04B,1.131B,1.092B,1.115B,1.531B,1.563B,1.705B,1.659B,1.261B,1.184B,1.169B,1.233B,1.578B,1.547B,1.823B,1.695B,1.593B,1.627B,1.546B,1.779B,1.855B,1.944B,1.937B,1.635B,1.723B,2.073B,2.302B,1.555B,5.657B,1.533B,4.552B,5.826B,6.14B,5.792B,865.00M,796.00M,732.00M,3.291B,904.00M,1.386B,3.219B,1.503B,1.359B,1.399B,1.302B,,935.00M,1.125B,1.03B,,552.00M,499.00M,784.00M,,1.005B,845.00M,1.093B,,978.00M,341.00M,189.00M,1.025B,1.506B,851.00M,63.00M,526.00M,569.00M,669.00M,670.00M,701.00M,660.00M,723.00M,323.00M,138.00M,67.00M,152.00M,353.00M,286.00M,298.00M,114.00M,111.00M,107.00M,98.00M,216.00M,208.00M,206.00M,212.00M,54.00M,57.00M,37.00M,238.00M,46.40M,209.70M,69.80M,47.20M,33.40M,652.30M,374.30M,822.50M,802.80M,394.60M,31.50M,79.00M,677.10M,596.50M,261.80M,105.40M,122.50M,58.80M,24.00M,16.90M,36.40M,47.20M,61.00M,171.30M,171.20M
Current Capital Lease Obligation,801.00M,844.00M,841.00M,941.00M,955.00M,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00M,26.00M,29.00M,,24.00M,33.00M,32.00M,31.00M,42.00M,40.00M,40.00M,44.00M,,42.00M,42.00M,,39.00M,,,,63.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Debt & Capital Lease Obligation,3.088B,3.04B,3.122B,3.996B,2.473B,1.176B,1.342B,2.289B,2.242B,1.224B,1.098B,1.04B,1.131B,1.092B,1.115B,1.531B,1.563B,1.705B,1.659B,1.261B,1.184B,1.169B,1.233B,1.578B,1.547B,1.823B,1.695B,1.593B,1.627B,1.546B,1.779B,1.855B,1.944B,1.937B,1.635B,1.723B,2.073B,2.302B,1.555B,5.657B,1.533B,4.552B,5.826B,6.14B,5.792B,865.00M,796.00M,732.00M,3.291B,904.00M,1.386B,3.219B,1.503B,1.359B,1.399B,1.302B,,935.00M,1.125B,1.03B,,552.00M,499.00M,784.00M,,1.029B,871.00M,1.122B,,1.002B,374.00M,221.00M,1.056B,1.548B,891.00M,103.00M,570.00M,569.00M,711.00M,712.00M,701.00M,699.00M,723.00M,323.00M,138.00M,130.00M,152.00M,353.00M,286.00M,298.00M,114.00M,111.00M,107.00M,98.00M,216.00M,208.00M,206.00M,212.00M,54.00M,57.00M,37.00M,238.00M,46.40M,209.70M,69.80M,47.20M,33.40M,652.30M,374.30M,822.50M,802.80M,394.60M,31.50M,79.00M,677.10M,596.50M,261.80M,105.40M,122.50M,58.80M,24.00M,16.90M,36.40M,47.20M,61.00M,171.30M,171.20M
Current Deferred Revenue,8.335B,8.962B,9.664B,9.613B,7.65B,8.47B,9.159B,8.991B,7.126B,7.287B,8.091B,8.106B,6.274B,6.77B,7.544B,7.593B,6.138B,6.852B,7.60B,7.441B,5.876B,6.576B,7.477B,7.385B,5.983B,6.137B,6.948B,6.635B,5.502B,5.848B,6.671B,6.488B,5.329B,5.773B,6.688B,6.262B,4.996B,5.377B,6.176B,1.602B,4.688B,1.535B,1.58B,1.605B,1.624B,,,,1.055B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Liabilities,8.335B,8.962B,9.664B,9.613B,7.65B,8.47B,9.159B,8.991B,7.126B,7.287B,8.091B,8.106B,6.274B,6.77B,7.544B,7.593B,6.138B,6.852B,7.60B,7.441B,5.876B,6.576B,7.477B,7.385B,5.983B,6.137B,6.948B,6.635B,5.502B,5.848B,6.671B,6.488B,5.329B,5.773B,6.688B,6.262B,4.996B,5.377B,6.176B,1.602B,4.688B,1.535B,1.58B,1.605B,1.624B,,,,1.055B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Liability,736.00M,439.00M,1.067B,1.066B,1.075B,1.066B,1.062B,1.062B,1.067B,,,,431.00M,724.00M,895.00M,2.63B,2.581B,2.194B,1.44B,2.512B,2.772B,603.00M,603.00M,604.00M,146.00M,545.00M,604.00M,604.00M,455.00M,391.00M,476.00M,489.00M,318.00M,,,,,,,,,,,,,3.537B,5.133B,3.813B,,3.62B,3.839B,2.816B,2.16B,2.998B,2.47B,2.347B,,1.95B,2.376B,2.292B,,1.975B,2.081B,2.006B,,1.539B,1.694B,1.404B,,1.544B,4.167B,4.098B,1.56B,4.271B,3.956B,4.145B,4.62B,3.053B,4.897B,4.469B,2.46B,4.223B,2.419B,2.116B,2.233B,4.245B,2.223B,1.873B,2.008B,2.094B,2.095B,1.778B,1.936B,2.00B,1.74B,1.373B,1.572B,1.756B,1.514B,1.345B,1.558B,1.638B,1.467B,1.359B,1.482B,1.724B,1.237B,1.166B,1.419B,1.764B,1.238B,1.045B,1.126B,1.378B,885.70M,755.50M,802.50M,786.30M,786.10M,573.00M,767.30M,1.746B,1.356B,1.134B,685.00M,769.20M,
Total Current Liabilities,20.20B,20.21B,21.16B,21.32B,18.58B,18.16B,19.27B,20.01B,18.96B,16.50B,16.63B,15.95B,15.24B,15.15B,16.25B,18.11B,17.53B,17.61B,17.08B,17.32B,16.85B,14.81B,15.21B,15.01B,14.15B,14.13B,14.78B,14.07B,13.27B,13.22B,14.69B,13.65B,12.70B,12.01B,12.80B,12.26B,11.38B,11.82B,11.89B,11.22B,9.797B,9.594B,11.15B,11.53B,11.09B,6.788B,8.132B,6.671B,6.605B,6.704B,7.731B,7.999B,5.769B,6.113B,6.47B,6.314B,,4.96B,6.921B,6.809B,,5.928B,6.089B,6.817B,,6.605B,6.373B,6.73B,,6.586B,5.918B,5.677B,6.403B,7.229B,6.421B,5.554B,6.134B,5.94B,5.804B,5.448B,5.373B,5.392B,5.236B,4.456B,4.465B,4.577B,4.477B,4.105B,4.601B,4.083B,3.966B,3.698B,3.703B,3.638B,3.736B,3.333B,3.575B,3.441B,3.211B,2.945B,3.309B,3.536B,3.029B,2.859B,3.037B,2.973B,2.705B,3.066B,3.008B,3.543B,3.204B,2.524B,2.140B,2.156B,2.634B,2.346B,2.131B,1.833B,1.797B,1.540B,1.737B,1.763B,1.392B,1.181B,746.00M,940.50M,171.20M
Non-Current Portion of Long Term Debt,8.873B,7.923B,7.71B,7.71B,8.253B,8.115B,8.562B,6.36B,6.592B,7.584B,7.916B,8.187B,6.201B,6.473B,6.689B,6.92B,6.766B,7.096B,7.598B,8.305B,8.477B,8.97B,9.089B,9.466B,9.795B,10.08B,10.53B,10.72B,11.08B,11.11B,11.22B,11.52B,11.85B,12.56B,13.03B,13.45B,13.18B,13.06B,14.23B,15.25B,15.66B,16.66B,14.77B,14.74B,15.41B,9.274B,8.338B,8.387B,7.986B,7.43B,6.913B,4.792B,6.509B,6.422B,6.508B,6.654B,6.557B,6.657B,12.96B,13.04B,13.00B,12.21B,12.05B,11.79B,11.54B,11.44B,11.34B,10.20B,10.17B,9.163B,9.598B,9.147B,8.279B,7.447B,5.86B,5.896B,4.448B,4.525B,4.141B,4.144B,2.276B,1.756B,1.876B,1.524B,1.524B,1.533B,1.408B,1.408B,1.473B,1.475B,1.70B,1.70B,1.701B,1.799B,2.462B,2.577B,2.624B,2.683B,2.827B,2.974B,3.135B,3.142B,3.351B,3.344B,3.465B,3.717B,2.989B,2.491B,2.321B,2.833B,2.538B,2.494B,2.048B,2.059B,1.717B,1.494B,1.308B,1.315B,1.146B,692.40M,702.10M,703.00M,729.50M,1.018B,868.60M,535.20M,690.20M
Long Term Cap Lease Obligation,5.294B,5.441B,5.539B,5.805B,5.801B,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.00M,83.00M,92.00M,,51.00M,58.00M,63.00M,68.00M,74.00M,90.00M,94.00M,154.00M,,153.00M,159.00M,,196.00M,,,,249.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of LTD and Capital Lease Obligation,14.17B,13.36B,13.25B,13.52B,14.05B,8.115B,8.562B,6.36B,6.592B,7.584B,7.916B,8.187B,6.201B,6.473B,6.689B,6.92B,6.766B,7.096B,7.598B,8.305B,8.477B,8.97B,9.089B,9.466B,9.795B,10.08B,10.53B,10.72B,11.08B,11.11B,11.22B,11.52B,11.85B,12.56B,13.03B,13.45B,13.18B,13.06B,14.23B,15.25B,15.66B,16.66B,14.77B,14.74B,15.41B,9.274B,8.338B,8.387B,7.986B,7.43B,6.913B,4.792B,6.509B,6.422B,6.508B,6.654B,6.557B,6.657B,12.96B,13.04B,13.00B,12.21B,12.05B,11.79B,11.54B,11.51B,11.43B,10.29B,10.17B,9.214B,9.656B,9.21B,8.347B,7.521B,5.95B,5.99B,4.602B,4.525B,4.294B,4.303B,2.276B,1.952B,1.876B,1.524B,1.524B,1.782B,1.408B,1.408B,1.473B,1.475B,1.70B,1.70B,1.701B,1.799B,2.462B,2.577B,2.624B,2.683B,2.827B,2.974B,3.135B,3.142B,3.351B,3.344B,3.465B,3.717B,2.989B,2.491B,2.321B,2.833B,2.538B,2.494B,2.048B,2.059B,1.717B,1.494B,1.308B,1.315B,1.146B,692.40M,702.10M,703.00M,729.50M,1.018B,868.60M,535.20M,690.20M
Long Term Deferred Tax Liabilities,1.456B,1.245B,,,163.00M,,,,,,,,,,,,,,,,,,,,,1.993B,2.037B,2.047B,2.047B,2.049B,2.071B,1.959B,2.028B,1.967B,1.913B,1.851B,1.924B,1.734B,1.803B,1.731B,1.917B,1.861B,1.886B,1.901B,1.981B,714.00M,811.00M,881.00M,855.00M,1.524B,1.502B,385.00M,406.00M,,,,,,,,,232.00M,278.00M,,,,,,,827.00M,641.00M,788.00M,465.00M,746.00M,1.235B,1.226B,1.236B,869.00M,1.089B,953.00M,986.00M,755.00M,520.00M,427.00M,339.00M,262.00M,121.00M,,,,,,,,,,,,,,,,,,,,70.30M,127.60M,177.60M,244.90M,326.60M,288.20M,353.70M,378.20M,245.80M,311.50M,438.30M,506.00M,513.70M,552.00M,538.10M,519.10M,539.90M,590.90M,427.30M,447.90M,672.70M
Non-Current Deferred Revenue,3.509B,3.496B,3.606B,3.611B,3.652B,3.607B,3.692B,3.636B,3.559B,2.281B,2.281B,2.261B,2.278B,2.275B,2.294B,2.276B,2.246B,2.265B,2.347B,2.455B,2.602B,2.386B,2.432B,2.527B,2.559B,2.568B,2.582B,2.616B,2.628B,2.617B,2.651B,2.68B,2.70B,2.604B,2.662B,2.693B,2.777B,2.916B,3.014B,3.128B,3.198B,3.365B,3.367B,3.428B,3.489B,2.058B,2.123B,2.211B,2.276B,2.566B,2.599B,,346.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Deferred Liabilities,4.965B,4.741B,3.606B,3.611B,3.815B,3.607B,3.692B,3.636B,3.559B,2.281B,2.281B,2.261B,2.278B,2.275B,2.294B,2.276B,2.246B,2.265B,2.347B,2.455B,2.602B,2.386B,2.432B,2.527B,2.559B,4.561B,4.619B,4.663B,4.675B,4.666B,4.722B,4.639B,4.728B,4.571B,4.575B,4.544B,4.701B,4.65B,4.817B,4.859B,5.115B,5.226B,5.253B,5.329B,5.47B,2.772B,2.934B,3.092B,3.131B,4.09B,4.101B,385.00M,752.00M,,,307.00M,,,,,,232.00M,278.00M,,,,,,,827.00M,641.00M,788.00M,465.00M,746.00M,1.235B,1.226B,1.236B,869.00M,1.089B,953.00M,986.00M,755.00M,520.00M,427.00M,339.00M,262.00M,121.00M,,,,,,,,,,,,,,,,,,,,70.30M,127.60M,177.60M,244.90M,326.60M,288.20M,353.70M,378.20M,245.80M,311.50M,438.30M,506.00M,513.70M,552.00M,538.10M,519.10M,539.90M,590.90M,427.30M,447.90M,672.70M
Non-Current Accrued Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.038B,1.042B,,0.00,,,,,0.00,2.39B,2.393B,,2.907B,2.951B,2.947B,,3.00B,3.007B,2.986B,,3.083B,3.089B,3.07B,3.073B,2.847B,2.854B,2.767B,2.751B,,2.664B,2.631B,,2.614B,,,,2.524B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pension Liability,8.452B,8.457B,8.516B,9.086B,9.163B,8.902B,9.052B,9.193B,9.81B,9.565B,9.623B,10.29B,13.38B,12.59B,12.58B,12.70B,13.86B,13.87B,13.87B,14.17B,15.14B,11.53B,11.52B,11.81B,12.39B,15.38B,15.36B,15.86B,16.00B,13.69B,13.61B,13.90B,14.20B,11.25B,11.31B,11.49B,11.49B,11.38B,11.32B,11.61B,11.74B,11.22B,11.10B,11.00B,10.90B,3.836B,3.851B,3.861B,3.867B,4.252B,4.277B,,,,,,,,,,,,,,,,,,,,,,,,,,,2.008B,,,1.902B,,1.907B,1.895B,1.884B,,1.875B,1.862B,1.851B,1.839B,1.827B,1.815B,1.804B,1.796B,1.777B,1.747B,1.731B,1.714B,1.696B,1.681B,1.661B,1.641B,1.521B,1.515B,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Liabilities,1.386B,1.378B,2.025B,1.395B,969.00M,2.517B,2.365B,2.32B,2.221B,2.001B,1.885B,1.822B,1.878B,1.956B,2.015B,2.091B,1.891B,2.465B,2.322B,2.457B,2.128B,1.946B,1.735B,1.712B,1.711B,1.709B,1.68B,1.694B,1.649B,1.711B,1.606B,1.489B,1.419B,1.424B,1.383B,1.386B,1.533B,1.522B,1.353B,1.319B,1.222B,1.261B,1.223B,1.272B,1.342B,537.00M,675.00M,793.00M,721.00M,-489.00M,198.00M,20.31B,20.18B,22.02B,21.62B,18.95B,,17.06B,6.278B,6.121B,,5.822B,5.756B,5.648B,,4.145B,4.072B,3.955B,,1.482B,1.582B,1.549B,1.548B,1.399B,1.391B,977.00M,1.607B,,1.529B,1.551B,,1.589B,,,,1.435B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Long Term Liabilities,28.97B,27.94B,27.40B,27.61B,28.00B,23.14B,23.67B,21.51B,22.18B,21.43B,21.70B,22.56B,23.74B,23.29B,23.57B,23.98B,24.76B,25.69B,26.14B,27.39B,28.34B,24.83B,24.78B,25.52B,26.46B,31.73B,32.18B,32.94B,33.41B,31.18B,31.16B,31.55B,32.19B,29.80B,30.29B,30.86B,30.91B,30.62B,31.72B,33.04B,33.75B,34.36B,32.35B,32.35B,33.12B,16.42B,15.80B,16.13B,15.70B,16.32B,16.53B,25.49B,27.45B,28.44B,28.13B,25.91B,6.557B,23.72B,21.62B,21.56B,13.00B,21.18B,21.04B,20.38B,11.54B,18.66B,18.50B,17.23B,10.17B,14.61B,14.97B,14.62B,13.43B,12.51B,11.43B,10.96B,10.20B,7.402B,9.576B,9.438B,5.164B,6.91B,4.303B,3.846B,3.747B,6.003B,3.404B,3.27B,3.324B,3.314B,3.527B,3.515B,3.505B,3.595B,4.239B,4.324B,4.355B,4.397B,4.523B,4.655B,4.796B,4.783B,4.872B,4.859B,3.465B,3.717B,3.059B,2.618B,2.499B,3.078B,2.864B,2.782B,2.402B,2.437B,1.963B,1.805B,1.746B,1.821B,1.660B,1.244B,1.240B,1.222B,1.269B,1.609B,1.296B,983.10M,1.363B
Total Liabilities,49.17B,48.15B,48.56B,48.93B,46.58B,41.30B,42.94B,41.52B,41.14B,37.93B,38.34B,38.51B,38.97B,38.44B,39.82B,42.09B,42.28B,43.30B,43.22B,44.71B,45.19B,39.64B,39.99B,40.53B,40.61B,45.86B,46.96B,47.01B,46.68B,44.40B,45.86B,45.20B,44.90B,41.81B,43.09B,43.12B,42.29B,42.44B,43.61B,44.27B,43.54B,43.95B,43.50B,43.88B,44.21B,23.21B,23.93B,22.80B,22.31B,23.02B,24.26B,33.49B,33.22B,34.55B,34.60B,32.22B,29.93B,28.68B,28.55B,28.37B,27.60B,27.10B,27.13B,27.20B,26.60B,25.26B,24.88B,23.96B,23.83B,21.19B,20.89B,20.29B,19.84B,19.74B,17.85B,16.51B,16.33B,15.48B,15.38B,14.89B,12.74B,12.30B,11.74B,10.45B,10.34B,10.58B,10.01B,9.553B,10.13B,9.578B,9.686B,9.397B,9.473B,9.548B,10.14B,9.776B,10.13B,10.20B,9.779B,9.648B,10.15B,10.33B,9.922B,9.712B,9.680B,9.876B,7.497B,7.374B,7.177B,8.196B,7.568B,6.755B,5.949B,5.905B,5.764B,5.246B,4.940B,4.609B,4.312B,3.652B,3.844B,3.864B,3.540B,3.404B,2.484B,2.340B,2.220B
Total Capital Stock,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00M,2.00M,2.00M,2.00M,2.00M,,338.00M,370.00M,664.00M,,671.00M,680.00M,685.00M,,695.00M,699.00M,703.00M,,710.00M,712.00M,715.00M,723.00M,725.00M,727.00M,729.00M,272.00M,271.00M,736.00M,738.00M,270.00M,741.00M,268.00M,266.00M,266.00M,740.00M,263.00M,259.00M,251.00M,251.00M,250.00M,249.00M,249.00M,217.00M,165.00M,164.00M,164.00M,164.00M,163.00M,164.00M,163.00M,163.00M,163.40M,163.40M,,,,,,,,,,,,,,,,,,,,,,,
Retained Earnings,12.45B,11.77B,10.69B,9.656B,10.04B,9.696B,8.851B,8.465B,8.256B,9.502B,8.905B,8.226B,7.903B,11.11B,10.00B,8.462B,5.562B,6.748B,5.54B,4.127B,3.456B,4.244B,3.962B,3.211B,3.049B,-5.379B,-6.748B,-7.382B,-7.389B,-7.395B,-8.442B,-8.274B,-8.398B,-8.823B,-9.372B,-9.57B,-9.252B,-9.271B,-9.634B,-10.10B,-9.845B,-9.82B,-9.659B,-9.402B,-8.608B,-7.17B,-7.12B,-6.076B,314.00M,384.00M,164.00M,-14.57B,-14.41B,-12.43B,-12.48B,-10.28B,,-6.971B,-5.837B,-5.449B,,-2.162B,-1.512B,457.00M,,1.175B,1.343B,1.166B,,2.002B,2.335B,2.527B,2.93B,3.676B,3.941B,4.037B,4.168B,4.043B,3.666B,3.454B,3.104B,2.756B,2.40B,2.196B,2.007B,1.687B,1.327B,1.141B,958.00M,711.00M,416.00M,232.00M,113.00M,-119.00M,-263.00M,38.00M,-8.00M,-184.00M,-410.00M,-374.00M,-332.00M,-490.00M,-209.30M,-102.60M,66.30M,35.90M,701.40M,864.40M,1.030B,1.177B,1.376B,1.548B,1.755B,1.761B,1.761B,1.863B,2.088B,2.158B,2.103B,2.091B,2.044B,1.958B,1.556B,1.308B,1.088B,1.081B,849.50M
Additional Paid In Capital,11.13B,11.18B,11.20B,11.25B,11.67B,11.74B,11.81B,11.97B,12.05B,12.13B,12.28B,12.44B,12.29B,8.887B,9.361B,10.34B,12.94B,11.28B,11.68B,12.58B,12.98B,13.46B,13.69B,13.88B,13.98B,14.10B,14.15B,14.12B,14.07B,14.04B,14.03B,14.02B,14.00B,13.98B,13.96B,13.94B,13.93B,13.90B,13.88B,13.86B,13.83B,13.79B,13.76B,13.74B,13.71B,9.561B,9.541B,9.528B,9.512B,9.479B,9.428B,1.561B,1.561B,1.561B,1.561B,1.56B,,1.636B,3.119B,2.944B,,3.105B,3.205B,3.242B,,3.258B,3.264B,3.26B,,3.258B,3.266B,3.267B,3.267B,3.26B,3.267B,3.264B,3.26B,3.245B,3.229B,3.222B,3.219B,3.208B,3.165B,3.09B,3.077B,3.034B,2.945B,2.851B,2.648B,2.645B,2.614B,2.598B,2.596B,2.627B,2.043B,2.034B,2.033B,2.016B,2.013B,2.013B,2.013B,2.013B,2.013B,2.012B,,,,,,,,,,,,,,,,,,,,,,,
Treasury Stock,236.00M,236.00M,235.00M,233.00M,198.00M,197.00M,196.00M,194.00M,158.00M,158.00M,156.00M,153.00M,274.00M,274.00M,272.00M,270.00M,373.00M,372.00M,370.00M,365.00M,313.00M,312.00M,309.00M,307.00M,258.00M,256.00M,255.00M,255.00M,234.00M,234.00M,234.00M,234.00M,231.00M,214.00M,214.00M,214.00M,199.00M,198.00M,198.00M,181.00M,174.00M,164.00M,163.00M,154.00M,152.00M,152.00M,151.00M,151.00M,148.00M,130.00M,128.00M,224.00M,224.00M,224.00M,224.00M,224.00M,,601.00M,2.121B,2.284B,,2.521B,2.629B,2.672B,,2.713B,2.718B,2.718B,,2.718B,2.724B,2.725B,2.724B,2.721B,2.728B,2.728B,2.728B,2.726B,2.727B,2.227B,2.227B,1.935B,1.718B,1.60B,1.493B,1.052B,956.00M,911.00M,701.00M,701.00M,697.00M,694.00M,549.00M,311.00M,243.00M,249.00M,249.00M,252.00M,259.00M,262.00M,261.00M,272.00M,283.60M,288.10M,,,,,,,,,,,,,,,,,,,,,,,
