Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Other Current Borrowings,370.62M,896.28M,822.50M,848.73M,889.65M,439.64M,418.02M,1.097B,549.63M,957.70M,1.484B,773.88M,773.88M,373.88M,178.88M,378.88M,228.88M,228.88M,278.88M,245.58M,245.58M,245.58M,395.58M,530.53M,533.35M,608.35M,888.35M,947.33M,763.34M,879.75M,683.21M,267.29M,331.58M,334.33M,336.99M,66.29M,66.29M,66.29M,66.29M,66.29M,66.29M,66.29M,66.29M,54.29M,54.29M,,,,154.29M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,1.260B,1.609B,1.551B,2.327B,1.800B,1.507B,1.609B,2.147B,1.638B,975.94M,2.421B,1.749B,1.922B,1.108B,945.88M,1.148B,1.390B,1.244B,1.233B,1.249B,1.202B,1.293B,1.301B,1.102B,1.626B,1.951B,1.683B,2.234B,1.884B,2.239B,1.932B,927.29M,648.58M,364.33M,473.99M,255.29M,333.29M,222.29M,223.60M,166.60M,166.60M,391.52M,560.28M,548.27M,673.18M,558.47M,141.29M,512.29M,233.29M,154.29M,154.29M,4.435M,4.877M,304.31M,157.73M,297.00M,54.67M,348.39M,222.24M,351.16M,270.76M,90.01M,94.92M,77.68M,169.94M,99.33M,121.34M,150.75M,112.91M,368.17M,342.06M,543.54M,340.96M,461.78M,480.70M,1.500B,1.763B,1.780B,1.695B,1.445B,899.80M,780.90M,581.50M,630.60M,548.00M,457.70M,436.50M,639.20M,502.10M,465.20M,466.50M,587.90M,377.50M,315.20M,439.80M,338.10M,401.70M,448.00M,570.10M,367.20M,438.00M,,658.90M,607.60M
Current Debt & Capital Lease Obligation,1.260B,1.609B,1.551B,2.327B,1.800B,1.507B,1.609B,2.147B,1.638B,975.94M,2.421B,1.749B,1.922B,1.108B,945.88M,1.148B,1.390B,1.244B,1.233B,1.249B,1.202B,1.293B,1.301B,1.102B,1.626B,1.951B,1.683B,2.234B,1.884B,2.239B,1.932B,927.29M,648.58M,364.33M,473.99M,255.29M,333.29M,222.29M,223.60M,166.60M,166.60M,391.52M,560.28M,548.27M,673.18M,558.47M,141.29M,512.29M,233.29M,154.29M,154.29M,4.435M,4.877M,304.31M,157.73M,297.00M,54.67M,348.39M,222.24M,351.16M,270.76M,90.01M,94.92M,77.68M,169.94M,99.33M,121.34M,150.75M,112.91M,368.17M,342.06M,543.54M,340.96M,461.78M,480.70M,1.500B,1.763B,1.780B,1.695B,1.445B,899.80M,780.90M,581.50M,630.60M,548.00M,457.70M,436.50M,639.20M,502.10M,465.20M,466.50M,587.90M,377.50M,315.20M,439.80M,338.10M,401.70M,448.00M,570.10M,367.20M,438.00M,,658.90M,607.60M
Current Deferred Liabilities,,,,,,,,,,,,,,,,,,169.27M,203.38M,218.58M,160.29M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Tax Liability,,,,,,,,,,,,,,,,,,169.27M,203.38M,218.58M,160.29M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Liability,1.198B,1.248B,1.057B,1.226B,1.193B,961.37M,910.33M,965.08M,866.29M,700.51M,777.15M,838.53M,831.70M,687.30M,592.38M,663.11M,786.31M,789.49M,804.31M,747.65M,903.45M,1.028B,940.53M,976.87M,907.05M,873.07M,866.63M,971.85M,995.81M,1.019B,957.76M,627.51M,665.82M,502.16M,454.53M,406.22M,412.77M,277.98M,209.12M,210.35M,221.22M,229.98M,221.81M,240.60M,269.32M,,,,317.73M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20M,,,0.10M,0.10M,0.10M,0.10M,0.10M,0.10M,,,0.10M,0.10M,0.10M,0.20M,0.20M,0.20M,,,0.20M,,,
Total Current Liabilities,3.606B,3.749B,3.512B,4.559B,4.113B,3.630B,3.530B,4.096B,3.589B,2.620B,3.786B,3.334B,3.639B,2.642B,2.304B,2.594B,2.990B,2.972B,2.839B,3.112B,3.134B,2.930B,2.803B,2.790B,3.276B,3.378B,3.082B,3.840B,3.644B,3.801B,3.490B,1.968B,1.948B,1.535B,1.476B,1.207B,1.345B,1.057B,965.62M,919.24M,979.41M,1.195B,1.319B,1.381B,1.703B,1.336B,1.113B,1.421B,1.206B,1.048B,1.066B,809.09M,1.364B,1.616B,1.615B,2.065B,1.975B,2.692B,1.712B,1.952B,1.563B,1.339B,1.551B,1.509B,1.302B,1.284B,1.183B,1.310B,1.344B,1.312B,1.285B,1.336B,1.326B,1.446B,1.426B,2.810B,2.542B,2.574B,2.532B,2.197B,1.570B,1.444B,1.271B,1.209B,1.128B,972.50M,985.00M,1.256B,1.220B,1.180B,1.155B,1.229B,1.205B,963.10M,1.146B,984.20M,1.046B,1.070B,1.108B,934.10M,1.036B,0.00,1.154B,1.158B
Long Term Provisions - Legal & Other,488.51M,,,,466.24M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of Long Term Debt,14.31B,13.98B,13.60B,12.85B,12.83B,12.73B,12.61B,12.02B,11.78B,10.47B,8.899B,9.268B,8.829B,9.235B,9.436B,9.145B,8.806B,8.757B,8.690B,8.602B,8.568B,8.167B,8.147B,8.318B,7.777B,7.444B,7.651B,7.031B,7.282B,6.834B,7.097B,5.071B,4.727B,4.745B,4.503B,4.631B,4.814B,4.883B,4.950B,4.965B,4.935B,4.848B,4.343B,624.06M,4.103B,4.031B,4.090B,3.494B,4.401B,3.474B,3.153B,3.264B,2.960B,2.957B,2.945B,2.700B,3.027B,2.998B,2.994B,2.783B,2.790B,2.840B,2.511B,2.565B,2.481B,2.505B,2.465B,2.324B,2.287B,2.272B,2.274B,2.023B,2.293B,1.931B,1.930B,2.148B,2.030B,2.043B,2.211B,2.444B,2.372B,2.947B,3.151B,3.218B,3.282B,3.292B,3.365B,3.462B,3.646B,3.654B,3.592B,3.574B,3.614B,3.688B,3.686B,3.701B,3.705B,3.696B,3.693B,3.914B,3.942B,,3.911B,3.970B
Long Term Cap Lease Obligation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.353B,,,,,,,,,,,,,,,,,,,,,,,,,,,198.35M,206.70M,,16.99M,17.18M,17.36M,47.23M,50.62M,60.22M,53.13M,62.80M,71.30M,79.60M,78.10M,88.40M,170.40M,159.90M,29.10M,30.40M,172.20M,188.70M,189.10M,186.90M,187.10M,138.10M,138.40M,147.40M,148.70M,176.20M,175.40M,166.00M,,179.20M,187.50M
Non-Current Portion of LTD and Capital Lease Obligation,14.31B,13.98B,13.60B,12.85B,12.83B,12.73B,12.61B,12.02B,11.78B,10.47B,8.899B,9.268B,8.829B,9.235B,9.436B,9.145B,8.806B,8.757B,8.690B,8.602B,8.568B,8.167B,8.147B,8.318B,7.777B,7.444B,7.651B,7.031B,7.282B,6.834B,7.097B,5.071B,4.727B,4.745B,4.503B,4.631B,4.814B,4.883B,4.950B,4.965B,4.935B,4.848B,4.343B,4.977B,4.103B,4.031B,4.090B,3.494B,4.401B,3.474B,3.153B,3.264B,2.960B,2.957B,2.945B,2.700B,3.027B,2.998B,2.994B,2.783B,2.790B,2.840B,2.511B,2.565B,2.481B,2.505B,2.465B,2.324B,2.287B,2.272B,2.472B,2.230B,2.293B,1.948B,1.947B,2.166B,2.077B,2.094B,2.271B,2.497B,2.435B,3.018B,3.231B,3.296B,3.370B,3.463B,3.524B,3.491B,3.676B,3.826B,3.780B,3.763B,3.801B,3.876B,3.824B,3.840B,3.853B,3.844B,3.870B,4.090B,4.108B,,4.090B,4.158B
Long Term Deferred Tax Liabilities,3.756B,3.605B,3.550B,3.543B,3.506B,3.386B,3.474B,3.390B,3.298B,6.002B,5.900B,5.759B,5.607B,5.443B,5.399B,5.284B,5.148B,4.613B,4.606B,4.575B,4.467B,4.258B,4.270B,4.210B,4.029B,3.954B,3.745B,3.614B,3.463B,3.430B,3.249B,1.923B,1.868B,1.815B,1.777B,1.709B,1.637B,1.546B,1.477B,1.472B,1.380B,1.362B,1.335B,1.283B,1.249B,1.202B,1.137B,1.119B,1.096B,1.060B,1.082B,1.141B,1.132B,1.523B,1.494B,1.517B,1.402B,1.455B,1.466B,1.446B,1.534B,1.504B,1.448B,1.415B,1.380B,1.466B,1.512B,1.521B,1.543B,1.600B,1.597B,1.596B,1.611B,1.533B,1.574B,1.490B,1.739B,1.831B,1.842B,1.866B,1.828B,1.903B,1.951B,1.964B,1.992B,2.108B,2.096B,2.133B,2.113B,2.120B,2.161B,2.191B,2.212B,2.255B,2.289B,2.323B,2.314B,2.209B,2.216B,2.191B,2.156B,,2.136B,2.126B
Non-Current Deferred Liabilities,3.756B,3.605B,3.550B,3.543B,3.506B,3.386B,3.474B,3.390B,3.298B,6.002B,5.900B,5.759B,5.607B,5.443B,5.399B,5.284B,5.148B,4.613B,4.606B,4.575B,4.467B,4.258B,4.270B,4.210B,4.029B,3.954B,3.745B,3.614B,3.463B,3.430B,3.249B,1.923B,1.868B,1.815B,1.777B,1.709B,1.637B,1.546B,1.477B,1.472B,1.380B,1.535B,1.514B,1.468B,1.249B,26.24M,27.11M,27.98M,1.319B,29.74M,30.64M,31.34M,32.43M,33.35M,93.61M,94.53M,95.44M,96.36M,97.28M,98.20M,99.12M,100.06M,101.00M,101.71M,102.65M,103.61M,104.56M,105.52M,106.47M,110.58M,113.75M,116.31M,120.07M,123.25M,126.42M,131.76M,153.16M,156.00M,142.36M,144.88M,140.40M,135.80M,138.90M,140.90M,143.40M,151.30M,153.10M,156.40M,158.80M,161.20M,163.60M,166.80M,168.40M,170.80M,173.30M,175.70M,178.10M,180.40M,182.90M,185.30M,188.00M,,197.00M,199.30M
Pension Liability,1.370B,821.17M,955.09M,939.79M,962.51M,1.013B,1.044B,1.026B,1.228B,946.63M,1.074B,1.078B,1.142B,1.116B,1.295B,1.355B,1.407B,1.498B,1.637B,1.605B,1.639B,787.55M,825.00M,890.02M,896.84M,1.809B,1.957B,2.098B,2.130B,2.016B,2.064B,1.241B,1.326B,701.99M,798.47M,810.26M,1.051B,759.26M,799.76M,786.20M,781.43M,964.46M,966.72M,979.33M,740.93M,,,,181.51M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derivative Contract Liabilities,338.71M,357.87M,363.85M,372.96M,379.56M,385.86M,394.46M,415.40M,377.26M,391.91M,402.14M,415.80M,413.68M,427.38M,381.57M,344.46M,337.10M,365.69M,380.97M,396.62M,409.63M,420.93M,449.44M,546.39M,624.05M,766.80M,788.93M,840.04M,882.65M,912.35M,946.62M,924.31M,959.88M,909.25M,884.28M,885.68M,909.67M,996.21M,1.010B,972.04M,955.65M,858.31M,838.89M,897.94M,912.43M,,,,208.46M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minority Interest Ownership,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,3.359M,2.956M,2.453M,1.847M,1.497M,1.457M,1.435M,1.065M,116.20M,0.00,116.20M,116.20M,116.20M,116.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00M,100.00M,100.00M,100.00M,100.00M,100.00M,100.00M,100.00M,100.00M,100.00M,100.00M,100.00M,100.00M,100.00M,99.90M,99.90M,99.90M,99.90M,99.90M,99.90M,99.90M,99.90M,100.00M,100.00M,100.10M,,,,
Preferred Securities out of Shareholders Equity,155.57M,155.57M,155.57M,155.57M,155.57M,155.57M,155.57M,155.57M,155.57M,155.57M,155.57M,155.57M,155.57M,155.57M,155.57M,155.57M,155.57M,155.57M,155.57M,155.57M,155.57M,155.57M,155.57M,155.57M,155.57M,155.57M,155.57M,155.57M,155.57M,155.57M,155.57M,116.20M,116.20M,116.20M,116.20M,,116.20M,116.20M,,,116.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Liabilities,810.55M,1.291B,1.264B,1.259B,730.10M,1.094B,1.069B,1.054B,1.074B,881.06M,860.58M,848.78M,853.26M,875.59M,875.27M,869.22M,871.50M,872.38M,875.98M,870.42M,874.39M,863.16M,882.69M,871.05M,923.05M,898.00M,899.27M,873.64M,967.56M,1.433B,1.436B,662.32M,420.01M,947.27M,969.95M,1.173B,787.15M,1.216B,1.368B,1.249B,1.332B,955.65M,1.527B,997.33M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Long Term Liabilities,24.89B,23.85B,23.53B,22.74B,22.64B,22.48B,22.44B,21.76B,21.55B,19.55B,17.99B,18.22B,17.70B,17.80B,18.07B,17.68B,17.24B,16.78B,16.86B,16.73B,16.63B,15.16B,15.23B,15.58B,14.91B,15.55B,15.71B,15.14B,15.42B,14.78B,14.95B,9.939B,9.684B,9.235B,9.049B,9.208B,9.315B,9.516B,9.604B,9.445B,9.500B,9.162B,9.190B,9.320B,7.005B,4.058B,4.117B,3.522B,6.110B,3.503B,3.183B,3.295B,2.993B,2.990B,3.039B,2.795B,3.123B,3.095B,3.092B,2.881B,2.889B,2.940B,2.612B,2.666B,2.584B,2.609B,2.570B,2.430B,2.394B,2.383B,2.586B,2.346B,2.413B,2.071B,2.074B,2.297B,2.230B,2.250B,2.414B,2.642B,2.576B,3.154B,3.370B,3.437B,3.514B,3.614B,3.678B,3.648B,3.835B,3.987B,3.944B,3.93B,3.969B,4.046B,3.998B,4.015B,4.031B,4.025B,4.052B,4.275B,4.296B,,4.287B,4.357B
Total Liabilities,28.49B,27.60B,27.04B,27.30B,26.75B,26.11B,25.97B,25.86B,25.13B,22.17B,21.77B,21.55B,21.34B,20.44B,20.37B,20.27B,20.23B,19.75B,19.69B,19.84B,19.76B,18.09B,18.04B,18.37B,18.18B,18.93B,18.79B,18.98B,19.07B,18.58B,18.44B,11.91B,11.63B,10.77B,10.53B,10.42B,10.66B,10.57B,10.57B,10.36B,10.48B,10.36B,10.51B,10.70B,10.85B,9.532B,9.654B,9.301B,8.552B,8.349B,8.186B,8.103B,8.389B,8.903B,8.989B,9.640B,10.02B,10.78B,9.732B,9.791B,9.243B,9.106B,9.074B,9.089B,8.836B,8.228B,8.089B,7.927B,8.438B,8.011B,8.055B,7.895B,8.098B,8.043B,7.922B,8.711B,7.747B,7.900B,8.145B,8.021B,7.247B,7.797B,7.898B,7.914B,7.936B,7.947B,7.358B,7.655B,7.805B,7.969B,7.759B,7.893B,7.952B,7.468B,7.590B,7.479B,7.564B,7.535B,7.591B,7.621B,7.666B,10.51B,7.679B,7.760B
Total Capital Stock,1.729B,1.699B,1.699B,1.669B,1.669B,1.669B,1.669B,1.669B,1.669B,1.669B,1.669B,1.669B,1.669B,1.669B,1.669B,1.669B,1.669B,1.669B,1.669B,1.668B,1.667B,1.667B,1.667B,1.667B,1.665B,1.665B,1.665B,1.665B,1.663B,1.662B,1.662B,981.59M,980.26M,980.05M,979.88M,1.096B,978.91M,978.68M,978.43M,978.38M,977.28M,977.00M,976.73M,976.72M,881.06M,997.10M,997.00M,996.84M,995.82M,995.80M,995.68M,994.47M,993.30M,992.46M,991.84M,991.59M,990.69M,875.46M,874.49M,873.52M,872.36M,869.62M,869.09M,869.01M,868.19M,866.69M,865.78M,865.62M,863.08M,863.08M,862.56M,861.78M,860.65M,860.65M,860.64M,860.24M,844.54M,894.68M,894.60M,998.72M,893.90M,959.70M,963.40M,987.80M,989.00M,1.018B,1.018B,1.043B,1.066B,1.066B,1.069B,1.091B,1.092B,1.126B,1.126B,1.151B,1.150B,1.148B,1.150B,1.147B,1.281B,,1.290B,1.290B
Retained Earnings,4.177B,4.100B,3.954B,4.093B,3.954B,3.883B,3.753B,3.671B,3.561B,3.474B,3.364B,3.284B,3.175B,3.087B,2.963B,2.900B,2.797B,2.748B,2.644B,2.569B,2.449B,2.351B,2.241B,2.238B,2.126B,2.064B,1.970B,1.914B,1.803B,1.736B,1.636B,1.699B,1.652B,1.588B,1.546B,1.518B,1.453B,1.369B,1.314B,1.287B,1.247B,1.204B,1.181B,1.139B,1.079B,1.040B,967.33M,973.97M,946.79M,914.62M,864.60M,876.21M,862.66M,544.70M,433.27M,466.95M,504.30M,540.64M,635.22M,706.62M,845.34M,879.15M,840.08M,857.20M,808.93M,837.96M,798.80M,808.35M,765.61M,727.20M,678.59M,680.93M,678.46M,644.89M,610.25M,593.65M,495.87M,691.16M,639.97M,642.09M,581.80M,597.50M,579.40M,579.20M,560.80M,700.80M,695.80M,689.60M,664.70M,701.70M,753.50M,817.90M,832.50M,941.30M,972.30M,1.017B,1.007B,999.10M,965.10M,978.00M,946.90M,,927.00M,920.70M
Additional Paid In Capital,7.088B,6.676B,6.659B,6.242B,6.241B,6.234B,6.229B,6.225B,6.240B,6.236B,6.233B,6.231B,6.250B,6.257B,6.253B,6.244B,6.262B,6.261B,6.253B,6.241B,6.236B,6.220B,6.202B,6.185B,6.193B,6.186B,6.176B,6.174B,6.183B,6.184B,6.179B,1.802B,1.798B,1.793B,1.786B,1.781B,1.778B,1.773B,1.768B,1.764B,1.762B,1.758B,1.754B,1.751B,1.475B,1.473B,1.470B,1.466B,1.466B,1.464B,1.461B,1.454B,1.450B,1.445B,1.441B,1.439B,1.438B,1.124B,1.122B,1.119B,1.116B,1.111B,1.110B,1.110B,1.109B,1.106B,1.105B,1.105B,1.108B,1.110B,1.110B,1.111B,1.108B,882.82M,902.56M,1.087B,927.06M,1.095B,1.102B,1.102B,776.30M,940.40M,940.40M,939.70M,940.70M,933.90M,934.30M,934.80M,932.50M,933.10M,935.30M,935.80M,940.40M,941.20M,943.30M,944.90M,,927.10M,918.10M,907.20M,904.40M,,903.10M,903.20M
Treasury Stock,299.06M,301.77M,304.56M,309.14M,317.77M,317.77M,317.77M,317.77M,317.77M,317.77M,317.77M,317.77M,317.77M,309.98M,309.98M,309.98M,309.98M,309.98M,309.98M,296.12M,300.47M,306.98M,313.90M,321.06M,326.54M,330.46M,334.87M,336.80M,338.62M,340.69M,342.63M,344.77M,346.67M,348.76M,351.39M,352.79M,354.73M,356.95M,359.39M,361.54M,361.60M,361.60M,361.60M,361.60M,361.60M,361.60M,361.60M,361.60M,361.53M,361.53M,361.53M,361.53M,360.90M,360.84M,360.78M,360.74M,360.21M,360.17M,360.11M,360.08M,359.13M,359.06M,359.02M,358.94M,358.02M,360.80M,360.74M,360.70M,337.49M,308.74M,296.85M,296.85M,278.60M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.20M,,,,,,,,,,116.20M,116.20M,116.20M,116.20M,116.20M,116.20M,116.20M,116.20M,116.20M,116.20M,116.20M,116.20M,116.20M,116.20M,116.20M,116.20M,116.20M,116.20M,116.20M,116.20M,116.20M,116.20M,116.20M,116.20M,116.20M,116.20M,116.20M,116.20M,116.20M,116.20M,116.20M,151.20M,151.20M,151.20M,255.99M,257.50M,273.50M,277.20M,302.20M,303.80M,333.30M,333.30M,358.30M,382.00M,381.90M,385.70M,410.70M,412.20M,445.70M,445.70M,470.70M,472.20M,472.20M,476.00M,476.00M,610.00M,,618.70M,618.70M
Adjustments for Foreign Currency Translation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936.30M,,,,,,,
Other Equity Adjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-198.20M,,,,,,,
Accrued Comprehensive Inc,-65.06M,-52.02M,-53.64M,-57.80M,-60.00M,-59.58M,-60.99M,-63.13M,-66.40M,-63.62M,-62.94M,-62.14M,-65.28M,-65.62M,-65.36M,-65.18M,-66.84M,-73.55M,-72.03M,-72.41M,-74.01M,-40.17M,-41.51M,-44.32M,-46.03M,-67.39M,-69.47M,-70.90M,-72.85M,-64.21M,-66.39M,-68.82M,-70.69M,-55.21M,-45.79M,-41.27M,-43.37M,-40.98M,-41.80M,-42.74M,-43.47M,-37.77M,-38.96M,-37.10M,-37.26M,-15.85M,-16.66M,-32.67M,9.359M,-22.20M,-20.30M,-29.30M,-30.27M,-31.61M,-35.56M,-42.66M,-26.90M,-32.19M,-52.66M,-51.42M,-61.77M,-65.75M,-20.63M,-27.81M,-47.70M,-79.83M,-78.38M,-72.90M,-72.82M,-85.89M,-94.12M,-102.26M,-134.28M,-138.31M,-134.59M,-105.52M,102.31M,-115.86M,-119.86M,-123.10M,88.80M,-129.70M,-132.40M,-135.80M,-139.20M,-144.20M,-147.20M,-150.60M,-154.10M,-157.50M,-162.80M,-167.90M,-176.10M,-181.70M,-187.70M,-193.80M,738.10M,-201.70M,-205.50M,-209.20M,-213.30M,,-221.10M,-225.50M
Shareholders Equity,12.63B,12.12B,11.95B,11.64B,11.49B,11.41B,11.27B,11.18B,11.09B,11.00B,10.89B,10.80B,10.71B,10.64B,10.51B,10.44B,10.35B,10.29B,10.19B,10.11B,9.977B,9.891B,9.754B,9.724B,9.612B,9.517B,9.407B,9.345B,9.237B,9.177B,9.068B,4.068B,4.013B,3.956B,3.915B,4.002B,3.811B,3.723B,3.659B,3.625B,3.578B,3.533B,3.502B,3.456B,3.020B,3.132B,3.056B,3.043B,3.030B,2.990B,2.939B,2.933B,2.914B,2.589B,2.470B,2.494B,2.545B,2.148B,2.219B,2.288B,2.413B,2.435B,2.440B,2.450B,2.380B,2.370B,2.331B,2.346B,2.327B,2.305B,2.260B,2.255B,2.234B,2.250B,2.239B,2.435B,2.370B,2.565B,2.517B,2.620B,2.341B,2.368B,2.351B,2.371B,2.351B,2.508B,2.501B,2.516B,2.509B,2.543B,2.595B,2.677B,2.689B,2.827B,2.854B,2.919B,2.896B,2.872B,2.827B,2.823B,2.919B,0.00,2.899B,2.888B
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
