Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Net Income,292.00M,527.00M,238.00M,315.00M,214.00M,491.00M,265.00M,291.00M,189.00M,492.00M,227.00M,239.00M,227.10M,457.80M,196.80M,241.31M,208.54M,426.46M,196.93M,152.07M,196.34M,368.58M,195.16M,261.22M,150.06M,364.75M,196.86M,236.57M,140.17M,398.11M,183.06M,183.89M,140.51M,338.33M,158.76M,203.57M,136.63M,312.31M,139.78M,167.12M,168.88M,220.83M,117.11M,174.07M,164.08M,222.79M,105.57M,153.11M,129.92M,251.71M,67.70M,119.71M,97.72M,224.46M,98.28M,151.30M,112.07M,196.02M,83.41M,121.48M,73.02M,46.72M,86.31M,149.91M,477.45M,287.50M,-282.56M,140.01M,-204.76M,-2.204B,87.30M,103.50M,144.90M,272.90M,167.86M,209.31M,137.80M,92.61M,143.08M,48.00M,395.83M,111.30M,11.49M,52.32M,430.53M,101.70M,35.00M,57.10M,65.40M,87.90M,18.30M,65.80M,79.70M,84.20M,43.40M,67.20M,59.00M,88.80M,59.80M,68.20M,48.80M,76.10M,52.80M,65.80M,61.50M,59.90M,35.90M,54.50M,29.80M,55.70M,31.10M,89.80M,37.00M,89.40M,24.60M,72.90M,-3.80M,84.80M,48.50M,65.90M,40.80M,73.30M,36.90M,71.00M,22.30M,84.60M,44.00M,63.90M,28.80M,78.00M,35.10M,63.00M,40.20M,63.10M,30.20M,73.40M,43.40M,49.10M,39.60M,65.80M,31.10M,51.70M,43.10M,66.20M
Normalized Income,270.52M,513.80M,219.84M,296.48M,192.83M,464.87M,243.39M,271.89M,176.07M,475.06M,215.96M,229.61M,217.01M,446.48M,187.18M,232.76M,198.56M,416.57M,188.82M,143.90M,181.90M,353.34M,179.77M,246.81M,133.57M,350.85M,182.44M,223.57M,128.01M,387.79M,173.31M,174.23M,132.74M,330.39M,145.01M,190.13M,137.29M,283.53M,127.03M,164.43M,95.52M,232.74M,119.32M,157.18M,148.00M,212.22M,89.36M,152.64M,85.71M,246.27M,121.34M,117.33M,96.76M,224.18M,97.46M,148.99M,94.48M,198.04M,70.10M,124.29M,116.58M,164.35M,74.24M,139.33M,166.31M,173.13M,53.38M,128.61M,1.999B,-1.627B,85.62M,103.50M,-55.89M,258.82M,167.50M,182.78M,4.231M,100.93M,120.00M,14.11M,347.41M,80.40M,-0.2424M,61.25M,360.07M,106.08M,34.28M,54.04M,65.40M,87.90M,19.26M,68.02M,82.88M,84.38M,46.40M,69.24M,70.04M,90.12M,65.12M,66.23M,54.92M,72.92M,54.00M,63.88M,61.50M,59.90M,35.90M,54.50M,29.80M,55.70M,31.10M,44.30M,37.00M,89.40M,24.60M,55.90M,-6.30M,84.80M,48.50M,65.90M,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,960.00M,1.267B,905.00M,982.00M,841.00M,1.196B,890.00M,922.00M,864.00M,1.253B,875.00M,909.00M,849.43M,1.212B,809.95M,863.59M,784.49M,1.123B,739.03M,674.60M,703.49M,983.69M,714.27M,799.95M,633.58M,947.17M,696.68M,760.59M,597.37M,1.011B,677.86M,657.52M,565.72M,951.79M,641.52M,714.59M,557.34M,878.40M,582.28M,669.53M,626.28M,711.68M,529.52M,637.14M,593.46M,716.66M,502.97M,567.83M,510.16M,708.61M,522.14M,509.99M,-5.973B,2.643B,446.97M,531.67M,460.49M,566.77M,400.53M,480.53M,418.03M,533.84M,385.07M,508.40M,477.47M,585.16M,368.73M,499.23M,2.731B,-1.877B,595.63M,593.06M,-98.84M,899.15M,677.03M,702.10M,416.15M,620.56M,658.86M,244.40M,1.260B,243.64M,165.89M,235.58M,1.141B,243.50M,170.10M,182.90M,-1.557B,697.40M,135.30M,185.30M,361.10M,202.60M,164.90M,180.50M,319.90M,206.70M,158.80M,180.10M,285.70M,178.20M,151.70M,172.00M,630.00M,588.00M,545.30M,640.80M,572.00M,523.40M,500.30M,563.80M,533.50M,589.20M,501.50M,577.00M,431.20M,554.90M,494.80M,583.60M,499.60M,483.00M,446.50M,560.60M,484.00M,530.30M,442.80M,549.40M,428.80M,470.30M,398.70M,472.50M,421.10M,432.70M,387.20M,540.60M,465.80M,389.90M,386.90M,546.20M,444.10M,413.30M,393.30M,524.90M
Reconciled Depreciation,483.00M,482.00M,470.00M,469.00M,476.00M,474.00M,413.00M,418.00M,408.00M,405.00M,396.00M,400.00M,363.84M,363.55M,359.09M,349.51M,325.01M,318.11M,300.02M,305.85M,289.07M,291.60M,291.18M,279.20M,282.86M,259.93M,276.62M,280.53M,259.55M,272.92M,254.78M,259.10M,224.53M,278.48M,251.98M,254.77M,251.32M,254.87M,234.91M,236.46M,233.62M,224.53M,225.16M,232.39M,184.21M,242.61M,243.14M,237.71M,224.38M,212.84M,231.59M,231.86M,223.33M,231.34M,221.26M,218.92M,209.94M,202.04M,198.30M,205.51M,200.68M,196.00M,186.29M,187.16M,199.59M,219.27M,191.66M,206.91M,27.71M,254.26M,281.25M,265.14M,236.96M,261.57M,243.78M,232.31M,237.02M,215.28M,288.40M,132.67M,408.38M,121.14M,112.42M,111.64M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,477.00M,785.00M,435.00M,513.00M,365.00M,722.00M,477.00M,504.00M,456.00M,848.00M,479.00M,509.00M,485.59M,848.47M,450.86M,514.08M,459.48M,804.77M,439.01M,368.74M,414.42M,692.08M,423.10M,520.75M,350.72M,687.25M,420.06M,480.07M,337.82M,738.26M,423.08M,398.43M,341.19M,673.31M,389.54M,459.82M,306.02M,623.54M,347.37M,433.07M,392.66M,487.15M,304.36M,404.75M,387.59M,474.05M,259.84M,330.12M,285.79M,495.77M,290.55M,278.13M,-6.197B,2.412B,225.70M,312.75M,250.56M,364.72M,202.24M,275.02M,217.35M,337.83M,198.78M,321.24M,277.88M,365.89M,162.53M,292.32M,2.703B,-2.141B,314.39M,327.92M,-335.80M,637.59M,433.25M,469.79M,179.13M,405.28M,370.46M,111.73M,852.00M,122.50M,53.47M,123.94M,830.53M,134.90M,65.20M,79.10M,-1.557B,697.40M,36.50M,88.50M,262.00M,105.50M,70.90M,89.30M,225.70M,111.70M,68.20M,87.80M,197.20M,89.00M,65.70M,85.70M,630.00M,588.00M,545.30M,640.80M,572.00M,523.40M,500.30M,563.80M,533.50M,589.20M,501.50M,577.00M,431.20M,554.90M,494.80M,583.60M,499.60M,483.00M,446.50M,560.60M,484.00M,530.30M,442.80M,549.40M,428.80M,470.30M,398.70M,472.50M,421.10M,432.70M,387.20M,540.60M,465.80M,389.90M,386.90M,546.20M,444.10M,413.30M,393.30M,524.90M
EPS Basic from Continuing Operations,0.56,1.02,0.46,0.61,0.42,0.96,0.52,0.57,0.37,0.97,0.45,0.47,0.45,0.90,0.39,0.47,0.41,0.84,0.39,0.30,0.39,0.73,0.39,0.52,0.30,0.73,0.40,0.48,0.2871,0.8157,0.3754,0.3771,0.29,0.69,0.33,0.42,0.29,0.68,0.29,0.36,0.37,0.48,0.25,0.38,0.36,0.51,0.24,0.35,0.22,0.58,0.16,0.29,0.27,0.52,0.24,0.37,0.24,0.49,0.19,0.31,0.31,0.41,0.21,0.37,0.37,0.46,0.14,0.31,5.28,-4.10,0.23,0.29,-0.12,0.75,0.49,0.61,-0.29,0.29,0.46,0.30,2.557,0.72,0.06,0.34,2.813,0.67,0.23,0.37,0.43,0.62,0.12,0.45,0.55,0.59,0.30,0.47,0.41,0.64,0.42,0.49,0.34,0.55,0.37,0.47,0.44,0.42,0.25,0.41,0.21,0.42,0.22,0.32,0.26,0.68,0.16,0.41,-0.09,0.64,0.35,0.49,,0.55,0.26,0.53,,0.64,0.32,0.48,,0.59,0.25,0.48,,0.48,0.22,0.56,,0.37,0.30,0.51,,0.39,0.33,0.52
EPS Basic from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0001,-0.0001,-0.0000,0.0003,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.02,0.00,0.00,-0.03,0.03,0.00,0.00,0.03,-0.01,0.01,-0.01,-0.13,-0.30,0.00,0.00,0.82,0.26,-0.85,0.04,-5.75,-1.45,0.00,0.00,0.54,0.04,0.00,0.00,0.69,-0.02,-0.04,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.00,0.00,0.14,0.02,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00
EPS Basic from Extraordinaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS Basic from Tax Loss Carryforward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalized Basic EPS,0.5191,0.9946,0.4248,0.5740,0.3788,0.9088,0.4776,0.5324,0.3447,0.9367,0.4283,0.4515,0.4302,0.8778,0.3711,0.4532,0.3904,0.8205,0.3740,0.2839,0.3615,0.6999,0.3594,0.4911,0.2669,0.7021,0.3710,0.4535,0.2620,0.7945,0.3553,0.3575,0.2735,0.6737,0.3018,0.3924,0.2917,0.6171,0.2713,0.3537,0.2053,0.5040,0.2550,0.3390,0.3257,0.4859,0.2026,0.3469,0.2069,0.5798,0.1734,0.2871,0.27,0.52,0.2385,0.3680,0.2289,0.4905,0.1712,0.3096,0.2959,0.4066,0.1818,0.3454,0.4111,0.4311,0.1368,0.3166,5.28,-4.10,0.23,0.29,-0.12,0.75,0.49,0.5322,-0.6835,0.2989,0.3511,0.0826,2.244,0.5181,-0.0167,0.3986,2.351,0.6992,0.2251,0.3493,0.43,0.62,0.1272,0.4662,0.5727,0.5913,0.3223,0.4850,0.4911,0.6499,0.4594,0.4751,0.3857,0.5260,0.3789,0.4556,0.44,0.42,0.25,0.41,0.21,0.42,0.22,0.32,0.26,0.68,0.16,0.41,-0.09,0.64,0.35,0.49,,0.55,0.26,0.53,,0.64,0.32,0.48,,0.59,0.25,0.48,,0.48,0.22,0.56,,0.37,0.30,0.51,,0.39,0.33,0.52
EPS Basic,0.56,1.02,0.46,0.61,0.42,0.96,0.52,0.57,0.37,0.97,0.45,0.47,0.45,0.90,0.39,0.47,0.41,0.84,0.39,0.30,0.39,0.73,0.39,0.52,0.30,0.73,0.40,0.48,0.29,0.82,0.38,0.38,0.29,0.69,0.33,0.42,0.29,0.68,0.30,0.36,0.36,0.48,0.25,0.38,0.36,0.51,0.24,0.35,0.31,0.60,0.16,0.29,0.24,0.55,0.24,0.37,0.27,0.48,0.20,0.30,0.18,0.11,0.21,0.37,1.19,0.72,-0.71,0.35,-0.47,-5.55,0.23,0.29,0.42,0.79,0.49,0.61,0.40,0.27,0.42,0.30,2.557,0.72,0.06,0.34,2.813,0.67,0.23,0.37,0.43,0.62,0.12,0.45,0.55,0.59,0.30,0.47,0.41,0.64,0.42,0.49,0.34,0.55,0.37,0.47,0.44,0.42,0.25,0.41,0.21,0.42,0.22,0.69,0.26,0.68,0.16,0.55,-0.07,0.64,0.35,0.49,,0.55,0.26,0.53,,0.64,0.32,0.48,,0.59,0.25,0.48,,0.48,0.22,0.56,,0.37,0.30,0.51,,0.39,0.33,0.52
EPS Diluted from Continuing Operations,0.56,1.01,0.46,0.61,0.42,0.96,0.52,0.57,0.37,0.97,0.45,0.47,0.45,0.90,0.39,0.47,0.41,0.84,0.39,0.30,0.39,0.73,0.39,0.52,0.30,0.73,0.40,0.48,0.2866,0.8149,0.3751,0.3766,0.29,0.69,0.33,0.42,0.28,0.67,0.29,0.36,0.37,0.48,0.25,0.38,0.36,0.51,0.24,0.35,0.22,0.57,0.16,0.28,0.27,0.50,0.24,0.36,0.24,0.47,0.19,0.30,0.29,0.40,0.21,0.36,0.35,0.44,0.13,0.31,5.28,-4.10,0.23,0.29,-0.12,0.75,0.49,0.6099,-0.29,0.2858,0.46,0.30,2.557,0.72,0.06,0.34,2.813,0.67,0.23,0.37,0.43,0.62,0.12,0.45,0.55,0.59,0.30,0.47,0.41,0.64,0.42,0.49,0.34,0.55,0.37,0.47,0.43,0.42,0.25,0.41,0.21,0.42,0.22,0.32,0.26,0.68,0.16,0.41,-0.09,0.64,0.35,0.49,,0.55,0.26,0.53,,0.64,0.32,0.48,,0.59,0.25,0.48,,0.48,0.22,0.56,,0.37,0.30,0.51,,0.39,0.33,0.52
EPS Diluted from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0001,-0.0001,-0.0000,0.0003,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.00,0.00,-0.03,0.03,0.00,0.00,0.03,-0.01,0.01,-0.01,-0.13,-0.30,0.00,0.00,0.81,0.25,-0.85,0.03,-5.75,-1.45,0.00,0.00,-0.04,0.04,0.00,0.00,0.06,-0.02,-0.04,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.00,0.00,0.14,0.02,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00
EPS Diluted from Extraordinaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002,,,0.3676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS Diluted from Tax Loss Carryforward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalized Diluted EPS,0.5192,0.9847,0.4249,0.5741,0.3788,0.9089,0.4776,0.5324,0.3447,0.9367,0.4283,0.4515,0.4302,0.8778,0.3711,0.4532,0.3904,0.8206,0.3740,0.2839,0.3615,0.6999,0.3594,0.4912,0.2670,0.7021,0.3711,0.4535,0.2616,0.7937,0.3551,0.3570,0.2736,0.6737,0.3018,0.3925,0.2817,0.6073,0.2713,0.3537,0.2056,0.5039,0.2549,0.3391,0.3260,0.4862,0.2030,0.3469,0.2072,0.5698,0.1728,0.2773,0.27,0.50,0.2385,0.3581,0.2295,0.4705,0.1722,0.2996,0.2768,0.3968,0.1833,0.3368,0.3888,0.4125,0.1268,0.3163,5.28,-4.10,0.23,0.29,-0.12,0.75,0.49,0.5322,-0.6835,0.2947,0.3512,0.0826,2.244,0.5181,-0.0166,0.3985,2.351,0.6992,0.2251,0.3493,0.43,0.62,0.1272,0.4662,0.5727,0.5913,0.3223,0.4850,0.4911,0.6499,0.4594,0.4751,0.3857,0.5260,0.3789,0.4556,0.43,0.42,0.25,0.41,0.21,0.42,0.22,0.32,0.26,0.68,0.16,0.41,-0.09,0.64,0.35,0.49,,0.55,0.26,0.53,,0.64,0.32,0.48,,0.59,0.25,0.48,,0.48,0.22,0.56,,0.37,0.30,0.51,,0.39,0.33,0.52
EPS Diluted,0.56,1.01,0.46,0.61,0.42,0.96,0.52,0.57,0.37,0.97,0.45,0.47,0.45,0.90,0.39,0.47,0.41,0.84,0.39,0.30,0.39,0.73,0.39,0.52,0.30,0.73,0.40,0.48,0.29,0.81,0.38,0.38,0.29,0.69,0.33,0.42,0.28,0.67,0.30,0.36,0.36,0.48,0.25,0.38,0.36,0.51,0.24,0.35,0.30,0.58,0.16,0.28,0.24,0.53,0.24,0.36,0.27,0.47,0.20,0.29,0.18,0.11,0.21,0.36,1.14,0.69,-0.71,0.34,-0.47,-5.55,0.23,0.29,0.41,0.79,0.49,0.6099,0.40,0.27,0.42,0.30,2.557,0.72,0.06,0.34,2.813,0.67,0.23,0.37,0.43,0.62,0.12,0.45,0.55,0.59,0.30,0.47,0.41,0.64,0.42,0.49,0.34,0.55,0.37,0.47,0.43,0.42,0.25,0.41,0.21,0.42,0.22,0.69,0.26,0.68,0.16,0.55,-0.07,0.64,0.35,0.49,,0.55,0.26,0.53,,0.64,0.32,0.48,,0.59,0.25,0.48,,0.48,0.22,0.56,,0.37,0.30,0.51,,0.39,0.33,0.52
Average Basic Shares Outstanding,525.00M,519.00M,516.00M,515.00M,514.00M,510.00M,510.00M,509.00M,512.00M,509.00M,509.00M,508.00M,509.48M,508.94M,508.93M,508.67M,509.24M,508.03M,507.71M,506.98M,506.44M,506.08M,503.27M,499.52M,498.52M,498.15M,497.75M,489.78M,488.43M,488.08M,487.72M,487.36M,486.24M,485.34M,484.92M,483.64M,468.76M,460.47M,460.04M,458.92M,457.45M,456.77M,456.31M,455.19M,453.68M,434.13M,430.81M,429.56M,423.89M,419.82M,412.71M,408.00M,407.05M,406.12M,405.43M,404.12M,403.24M,402.74M,402.21M,401.12M,400.27M,399.75M,399.22M,398.58M,398.88M,398.75M,398.72M,398.71M,397.61M,397.40M,377.98M,353.83M,344.67M,343.77M,342.55M,340.78M,339.47M,338.50M,337.47M,155.89M,154.36M,153.06M,153.01M,152.39M,152.70M,150.15M,147.39M,147.84M,147.07M,137.90M,132.50M,137.33M,140.02M,137.46M,134.33M,136.38M,136.13M,133.91M,135.00M,132.65M,133.98M,132.73M,134.32M,133.40M,132.85M,133.81M,128.80M,123.66M,124.07M,123.33M,122.73M,123.77M,124.93M,124.85M,125.62M,124.36M,125.54M,125.47M,125.43M,125.51M,125.08M,125.08M,125.08M,125.08M,125.08M,125.08M,125.08M,125.08M,125.08M,125.08M,125.08M,125.08M,124.64M,125.08M,125.08M,125.08M,125.08M,124.78M,124.20M,123.90M,123.90M,123.62M,123.62M,123.62M
Average Diluted Shares Outstanding,526.00M,521.00M,518.00M,516.00M,514.00M,511.00M,510.00M,509.00M,512.00M,509.00M,509.00M,509.00M,509.48M,509.57M,509.49M,509.15M,509.24M,508.43M,508.07M,507.39M,506.83M,506.36M,503.46M,499.75M,498.83M,498.64M,498.04M,490.53M,489.14M,488.58M,488.02M,488.00M,487.00M,485.89M,485.24M,484.30M,471.40M,462.02M,460.43M,459.70M,458.37M,457.45M,456.77M,455.95M,457.10M,439.40M,435.87M,434.85M,434.09M,433.39M,432.86M,432.05M,431.14M,430.00M,429.10M,427.46M,426.58M,426.08M,425.55M,424.45M,425.78M,423.08M,422.54M,421.92M,422.25M,418.13M,399.41M,417.37M,410.85M,397.40M,378.13M,354.17M,345.40M,344.38M,343.69M,341.47M,339.47M,338.88M,337.63M,155.91M,154.36M,153.06M,153.12M,152.55M,152.70M,150.15M,147.39M,147.84M,147.07M,137.90M,132.50M,137.33M,140.02M,137.46M,134.33M,136.38M,136.13M,133.91M,135.00M,132.65M,133.98M,132.73M,134.32M,133.40M,136.29M,133.81M,128.80M,123.66M,124.07M,123.33M,122.73M,123.77M,124.93M,124.85M,125.62M,124.36M,125.54M,125.47M,125.43M,125.51M,125.08M,125.08M,125.08M,125.08M,125.08M,125.08M,125.08M,125.08M,125.08M,125.08M,125.08M,125.08M,124.64M,125.08M,125.08M,125.08M,125.08M,124.78M,124.20M,123.90M,123.90M,123.62M,123.62M,123.62M
Dividend Per Share,0.405,0.405,0.405,0.405,0.38,0.38,0.38,0.38,0.36,0.36,0.36,0.36,0.34,0.34,0.34,0.34,0.32,0.32,0.32,0.32,0.30,0.30,0.30,0.30,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.2525,0.2525,0.2525,0.2525,0.245,0.245,0.245,0.245,0.2375,0.2375,0.2375,0.2375,0.23,0.23,0.23,0.23,0.2225,0.2225,0.2225,0.2225,0.215,0.215,0.215,0.215,0.2075,0.2075,0.2075,0.2075,0.1875,0.375,0.1875,0.1875,0.00,0.1875,0.1875,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.5853,0.3625,0.00,0.3625,0.3625,0.3625,0.3575,0.3575,0.3575,0.3575,0.3525,0.3525,0.3525,0.3525,0.345,0.345,0.69,0.3375,0.00,0.3375,0.3375,0.3375,0.33,0.33,0.33,0.33,0.3225,0.3225,0.3225,0.3225,0.315,0.315,0.315,0.315,0.3025,0.3025,0.3025,0.3025,0.29,0.29,0.29,0.29,0.2775,0.2775,0.2775,0.2775,0.265,0.265,0.265,0.265,0.2525,0.2525,0.2525,0.2525,0.2375,0.2375,0.2375,0.2375,0.22,0.22,,,,,,,
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
