Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Other Current Borrowings,1.297B,1.786B,2.15B,1.254B,1.444B,993.00M,1.538B,1.482B,1.271B,819.42M,1.289B,1.360B,647.00M,1.076B,1.157B,839.52M,1.503B,521.47M,1.158B,1.226B,1.277B,954.51M,785.32M,1.047B,1.040B,582.54M,636.04M,431.93M,860.16M,1.163B,1.793B,1.649B,1.279B,512.41M,709.93M,586.26M,521.82M,,,,1.003B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,1.297B,1.786B,2.15B,1.254B,1.444B,993.00M,1.538B,1.482B,1.271B,819.42M,1.289B,1.360B,647.00M,1.076B,1.157B,839.52M,1.503B,521.47M,1.158B,1.226B,1.277B,954.51M,785.32M,1.047B,1.040B,582.54M,636.04M,431.93M,860.16M,1.163B,1.793B,1.649B,1.279B,512.41M,709.93M,586.26M,521.82M,454.44M,674.64M,1.010B,1.003B,678.53M,828.75M,897.27M,1.014B,1.259B,1.414B,1.119B,1.726B,727.22M,915.74M,970.79M,962.71M,510.96M,948.92M,1.585B,1.582B,848.72M,635.53M,424.57M,535.96M,92.63M,134.61M,101.32M,218.52M,389.97M,985.70M,9.028B,1.062B,9.526B,7.797B,2.855B,2.644B,3.062B,2.980B,2.674B,2.079B,2.433B,1.113B,1.302B,1.864B,1.206B,1.434B,538.40M,609.00M,595.30M,422.00M,289.00M,424.80M,365.20M,563.00M,415.10M,629.60M,382.40M,532.50M,325.80M,383.60M,307.40M,478.20M,318.30M,396.10M,408.30M,458.70M,320.30M
Current Debt & Capital Lease Obligation,1.297B,1.786B,2.15B,1.254B,1.444B,993.00M,1.538B,1.482B,1.271B,819.42M,1.289B,1.360B,647.00M,1.076B,1.157B,839.52M,1.503B,521.47M,1.158B,1.226B,1.277B,954.51M,785.32M,1.047B,1.040B,582.54M,636.04M,431.93M,860.16M,1.163B,1.793B,1.649B,1.279B,512.41M,709.93M,586.26M,521.82M,454.44M,674.64M,1.010B,1.003B,678.53M,828.75M,897.27M,1.014B,1.259B,1.414B,1.119B,1.726B,727.22M,915.74M,970.79M,962.71M,510.96M,948.92M,1.585B,1.582B,848.72M,635.53M,424.57M,535.96M,92.63M,134.61M,101.32M,218.52M,389.97M,985.70M,9.028B,1.062B,9.526B,7.797B,2.855B,2.644B,3.062B,2.980B,2.674B,2.079B,2.433B,1.113B,1.302B,1.864B,1.206B,1.434B,538.40M,609.00M,595.30M,422.00M,289.00M,424.80M,365.20M,563.00M,415.10M,629.60M,382.40M,532.50M,325.80M,383.60M,307.40M,478.20M,318.30M,396.10M,408.30M,458.70M,320.30M
Other Current Liability,1.107B,1.156B,1.122B,1.094B,960.00M,876.00M,863.00M,729.00M,769.00M,770.56M,729.11M,607.12M,753.00M,711.72M,754.85M,692.65M,826.87M,954.74M,945.41M,876.11M,907.48M,799.31M,728.58M,614.38M,675.93M,681.16M,523.83M,478.19M,489.14M,554.91M,643.98M,625.58M,814.33M,763.50M,489.39M,455.72M,493.89M,447.39M,383.46M,337.80M,473.04M,414.12M,475.66M,392.94M,413.89M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10M,0.10M,0.10M,,,,,-0.10M,,-0.10M,,,,0.10M,,-0.10M,,0.10M,-0.10M,,-0.10M,-0.10M,-0.10M
Total Current Liabilities,4.568B,5.021B,5.06B,4.424B,4.46B,3.838B,4.178B,4.122B,4.088B,3.340B,3.691B,3.708B,3.247B,3.454B,3.506B,3.189B,4.058B,3.085B,3.537B,3.775B,4.065B,3.471B,3.060B,3.468B,3.654B,2.839B,2.697B,2.527B,2.937B,3.161B,3.831B,3.708B,3.589B,2.653B,2.639B,2.485B,2.537B,2.199B,2.346B,2.760B,3.090B,2.386B,2.551B,2.682B,3.046B,3.023B,3.211B,2.931B,3.641B,2.481B,2.673B,2.756B,2.865B,2.279B,2.570B,3.256B,3.673B,2.811B,2.188B,2.003B,2.336B,1.802B,1.694B,1.936B,2.671B,2.794B,3.274B,11.85B,12.35B,12.45B,10.18B,5.445B,5.433B,5.717B,5.430B,5.244B,4.672B,4.436B,1.953B,2.059B,3.483B,1.919B,2.060B,1.188B,1.232B,1.216B,941.50M,906.40M,1.034B,919.30M,1.042B,1.028B,1.236B,946.00M,1.014B,998.50M,991.40M,858.70M,942.10M,893.40M,963.60M,947.00M,930.60M,906.10M
Long Term Provisions - Legal & Other,2.701B,2.679B,2.647B,2.599B,2.568B,2.572B,2.534B,2.504B,2.475B,2.884B,2.850B,2.816B,2.782B,2.703B,2.671B,2.640B,2.609B,2.551B,2.518B,2.476B,2.447B,1.922B,1.898B,1.839B,1.815B,1.785B,1.763B,1.742B,1.720B,1.717B,1.696B,1.662B,1.652B,1.293B,1.278B,985.47M,969.31M,,,,881.48M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of Long Term Debt,17.41B,16.82B,16.00B,16.12B,15.80B,15.51B,15.31B,14.52B,14.52B,14.57B,14.09B,13.70B,14.20B,13.40B,13.10B,13.15B,12.40B,12.69B,11.90B,11.50B,11.50B,11.50B,11.75B,11.21B,10.91B,10.91B,10.82B,10.64B,10.14B,10.11B,8.706B,8.598B,8.849B,9.450B,9.264B,9.264B,9.263B,8.865B,8.410B,7.863B,7.889B,7.945B,8.056B,7.666B,7.732B,7.486B,7.140B,7.140B,6.342B,7.253B,6.615B,6.452B,6.450B,6.688B,6.237B,5.545B,5.898B,6.159B,6.377B,6.477B,6.493B,6.698B,6.563B,6.577B,6.494B,6.412B,5.472B,6.607B,5.319B,6.889B,8.336B,12.21B,11.89B,10.96B,10.09B,8.169B,7.583B,7.132B,4.839B,4.984B,5.827B,2.393B,2.153B,1.844B,1.851B,1.848B,2.049B,2.123B,1.879B,1.856B,1.840B,1.589B,1.593B,1.673B,1.666B,1.668B,1.542B,1.545B,1.466B,1.456B,1.463B,1.312B,1.314B,1.308B
Long Term Cap Lease Obligation,1.549B,1.598B,1.647B,1.529B,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of LTD and Capital Lease Obligation,18.96B,18.42B,17.64B,17.65B,15.80B,15.51B,15.31B,14.52B,14.52B,14.57B,14.09B,13.70B,14.20B,13.40B,13.10B,13.15B,12.40B,12.69B,11.90B,11.50B,11.50B,11.50B,11.75B,11.21B,10.91B,10.91B,10.82B,10.64B,10.14B,10.11B,8.706B,8.598B,8.849B,9.450B,9.264B,9.264B,9.263B,8.865B,8.410B,7.863B,7.889B,7.945B,8.056B,7.666B,7.732B,7.486B,7.140B,7.140B,6.342B,7.253B,6.615B,6.452B,6.450B,6.688B,6.237B,5.545B,5.898B,6.159B,6.377B,6.477B,6.493B,6.698B,6.563B,6.577B,6.494B,6.412B,5.472B,6.607B,5.319B,6.889B,8.336B,12.21B,11.89B,10.96B,10.09B,8.169B,7.583B,7.132B,4.839B,4.984B,5.827B,2.393B,2.153B,1.844B,1.851B,1.848B,2.049B,2.123B,1.879B,1.856B,1.840B,1.589B,1.593B,1.673B,1.666B,1.668B,1.542B,1.545B,1.466B,1.456B,1.463B,1.312B,1.314B,1.308B
Long Term Deferred Tax Liabilities,4.558B,4.477B,4.37B,4.307B,4.219B,4.173B,4.029B,3.962B,3.903B,7.422B,7.191B,7.061B,6.847B,6.916B,6.685B,6.561B,6.222B,6.460B,6.320B,6.158B,5.927B,5.826B,5.628B,5.490B,5.410B,5.267B,4.901B,4.725B,4.518B,4.635B,4.405B,4.299B,4.107B,3.898B,3.755B,3.658B,3.483B,3.711B,3.544B,3.484B,3.256B,3.278B,3.066B,2.906B,2.898B,2.854B,2.732B,2.672B,2.666B,2.572B,2.503B,2.415B,2.378B,2.246B,2.395B,2.366B,2.323B,2.279B,2.228B,2.239B,2.209B,2.175B,2.186B,2.202B,2.147B,1.820B,1.382B,1.532B,2.064B,1.581B,2.461B,2.448B,2.455B,2.277B,2.311B,2.072B,1.992B,1.996B,1.009B,935.75M,1.993B,903.20M,914.20M,940.40M,943.40M,906.60M,914.80M,918.30M,931.10M,949.80M,947.50M,949.70M,953.90M,987.40M,970.80M,977.40M,1.003B,1.026B,1.025B,1.022B,1.019B,993.30M,996.80M,971.20M
Non-Current Deferred Revenue,203.00M,203.00M,198.00M,200.00M,199.00M,200.00M,202.00M,200.00M,193.00M,191.00M,190.64M,189.98M,195.00M,216.98M,212.56M,221.68M,229.00M,228.48M,241.55M,253.90M,256.94M,262.73M,268.69M,272.58M,275.56M,266.68M,261.68M,259.20M,252.89M,252.88M,244.92M,247.22M,248.34M,256.76M,258.16M,265.21M,269.09M,,,,295.47M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Deferred Liabilities,4.761B,4.68B,4.568B,4.507B,4.418B,4.373B,4.231B,4.162B,4.096B,7.613B,7.382B,7.251B,7.042B,7.133B,6.898B,6.782B,6.451B,6.688B,6.562B,6.412B,6.184B,6.089B,5.897B,5.763B,5.686B,5.533B,5.163B,4.984B,4.771B,4.888B,4.650B,4.546B,4.355B,4.155B,4.013B,3.924B,3.752B,3.711B,3.544B,3.484B,3.551B,3.278B,3.066B,2.906B,2.898B,107.09M,109.02M,110.97M,112.91M,114.31M,116.74M,119.17M,121.59M,124.05M,126.50M,128.95M,131.40M,134.31M,137.21M,140.12M,143.03M,146.15M,149.31M,152.47M,155.63M,159.92M,163.18M,166.44M,169.59M,172.82M,176.92M,180.60M,184.15M,187.90M,191.26M,194.68M,198.11M,202.98M,113.61M,116.09M,214.01M,121.10M,123.50M,126.00M,128.40M,131.20M,133.60M,136.00M,138.50M,141.50M,144.20M,146.90M,149.60M,152.80M,155.70M,159.20M,161.50M,166.10M,168.60M,171.50M,173.80M,177.30M,181.50M,184.00M
Non-Current Accrued Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.169B,1.152B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pension Liability,785.00M,856.00M,850.00M,838.00M,994.00M,909.00M,884.00M,884.00M,1.042B,984.79M,975.61M,964.40M,1.112B,843.74M,825.61M,813.00M,941.00M,863.64M,858.45M,850.83M,936.91M,653.60M,650.60M,642.13M,769.22M,998.21M,988.77M,979.52M,1.163B,810.06M,826.41M,813.79M,1.002B,829.36M,828.50M,824.50M,962.77M,830.29M,830.91M,832.78M,839.05M,902.21M,913.66M,1.021B,1.031B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derivative Contract Liabilities,175.00M,178.00M,121.00M,122.00M,129.00M,107.00M,113.00M,120.00M,126.00M,131.06M,136.26M,143.68M,148.00M,154.65M,156.36M,167.30M,168.31M,173.59M,171.69M,178.96M,183.94M,187.44M,194.55M,199.58M,209.22M,217.03M,222.58M,230.27M,242.87M,248.32M,253.36M,260.15M,263.91M,265.48M,272.48M,279.46M,285.99M,299.28M,293.86M,306.03M,307.77M,327.69M,328.21M,344.39M,340.80M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minority Interest Ownership,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307M,0.736M,1.214M,,2.288M,2.973M,3.362M,3.547M,4.43M,4.662M,3.334M,3.22M,3.63M,4.192M,0.689M,0.281M,5.433M,6.457M,35.62M,0.296M,38.84M,77.63M,652.23M,636.85M,651.12M,573.69M,534.93M,277.34M,267.81M,257.48M,,14.70M,,,,,,,,,,,,,,,,,,,,,,,
Preferred Securities out of Shareholders Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00M,300.00M,494.00M,494.00M,494.00M,494.00M,494.00M,494.00M,494.00M,494.00M,494.00M,494.00M,494.00M,200.00M,200.00M,494.00M,200.00M,200.00M,200.00M,200.00M,200.00M,200.00M,200.00M,200.00M,200.00M,200.00M,200.00M,,,,,,,,,,,,
Other Long Term Liabilities,186.00M,186.00M,190.00M,212.00M,206.00M,202.00M,226.00M,143.00M,145.00M,144.53M,225.22M,235.33M,225.00M,277.56M,280.65M,285.74M,261.76M,263.45M,279.77M,286.49M,264.65M,243.92M,237.24M,244.54M,237.22M,239.52M,245.44M,250.68M,229.21M,224.40M,217.05M,219.27M,203.31M,221.62M,225.76M,226.78M,249.64M,2.686B,2.642B,2.628B,211.67M,2.945B,1.725B,1.703B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Long Term Liabilities,32.64B,32.08B,31.16B,31.10B,29.30B,28.83B,28.41B,27.48B,27.49B,27.69B,27.05B,26.51B,26.89B,25.88B,25.28B,25.21B,24.16B,24.40B,23.46B,22.89B,22.68B,21.74B,21.74B,20.98B,20.69B,20.74B,20.27B,19.91B,19.33B,19.05B,17.42B,17.21B,17.43B,17.35B,17.02B,16.70B,16.66B,16.39B,15.72B,15.11B,14.83B,15.40B,15.26B,14.79B,12.00B,7.593B,7.249B,7.251B,6.455B,7.367B,6.732B,6.571B,6.571B,6.813B,6.364B,5.674B,6.029B,6.293B,6.514B,6.617B,6.636B,6.844B,6.713B,6.730B,6.649B,6.672B,5.935B,7.267B,5.983B,7.556B,9.007B,12.88B,12.57B,11.64B,10.77B,8.857B,8.276B,7.829B,5.153B,5.300B,6.535B,2.714B,2.476B,2.170B,2.180B,2.179B,2.383B,2.459B,2.217B,2.198B,2.184B,1.936B,1.742B,1.826B,1.822B,1.827B,1.704B,1.711B,1.634B,1.628B,1.637B,1.489B,1.496B,1.492B
Total Liabilities,37.21B,37.10B,36.22B,35.52B,33.76B,32.67B,32.59B,31.60B,31.58B,31.03B,30.74B,30.22B,30.13B,29.34B,28.79B,28.40B,28.22B,27.48B,27.00B,26.66B,26.74B,25.21B,24.80B,24.45B,24.34B,23.58B,22.97B,22.43B,22.27B,22.21B,21.25B,20.92B,21.02B,20.00B,19.66B,19.18B,19.20B,18.59B,18.07B,17.87B,17.92B,17.79B,17.81B,17.47B,17.89B,17.55B,17.24B,16.90B,16.78B,16.56B,16.19B,16.01B,16.04B,15.43B,15.60B,15.51B,16.00B,16.05B,15.12B,14.93B,14.99B,14.74B,14.37B,14.49B,14.93B,13.44B,12.60B,22.87B,24.67B,23.01B,22.85B,21.88B,21.78B,20.78B,19.68B,17.11B,15.82B,15.21B,8.803B,8.954B,12.66B,6.032B,5.946B,4.778B,4.810B,4.731B,4.660B,4.697B,4.572B,4.486B,4.564B,4.251B,4.260B,4.049B,4.087B,4.074B,3.961B,3.830B,3.820B,3.754B,3.812B,3.65B,3.634B,3.579B
Total Capital Stock,1.311B,1.311B,1.287B,1.287B,1.285B,1.283B,1.272B,1.272B,1.269B,1.269B,1.269B,1.269B,1.268B,1.270B,1.270B,1.270B,1.269B,1.268B,1.267B,1.267B,1.264B,1.264B,1.263B,1.253B,1.245B,1.244B,1.243B,1.237B,1.220B,1.219B,1.218B,1.217B,1.216B,1.317B,1.316B,1.315B,1.311B,1.255B,1.254B,1.253B,1.249B,1.246B,1.244B,1.243B,1.239B,1.227B,1.182B,1.181B,1.177B,1.155B,1.154B,1.127B,1.123B,1.121B,1.119B,1.118B,1.113B,1.112B,1.111B,1.110B,1.106B,1.105B,1.103B,1.102B,1.102B,1.101B,1.101B,1.102B,1.102B,1.102B,1.098B,1.031B,969.82M,967.61M,965.53M,961.38M,957.40M,3.546B,1.562B,1.333B,943.53M,1.302B,1.289B,1.274B,487.00M,1.248B,1.232B,1.202B,573.40M,1.262B,1.012B,1.011B,413.20M,1.052B,1.041B,1.027B,410.90M,997.40M,980.00M,969.10M,407.80M,953.10M,952.70M,952.60M
Retained Earnings,5.413B,5.336B,5.024B,4.996B,4.893B,4.876B,4.58B,4.51B,4.413B,4.386B,4.079B,4.036B,3.982B,3.924B,3.644B,3.620B,3.553B,3.507B,3.244B,3.210B,3.221B,3.177B,2.961B,2.918B,2.808B,2.797B,2.573B,2.516B,2.414B,2.406B,2.141B,2.089B,2.033B,2.019B,1.813B,1.781B,1.702B,1.688B,1.494B,1.472B,1.419B,1.364B,1.256B,1.252B,1.188B,1.133B,1.017B,1.015B,963.92M,933.68M,779.60M,801.15M,771.25M,765.21M,632.26M,625.28M,562.14M,537.86M,429.52M,433.68M,396.64M,407.78M,445.10M,442.51M,368.66M,42.94M,-244.55M,38.01M,-100.94M,309.63M,2.459B,2.522B,2.558B,2.544B,2.402B,2.364B,2.284B,2.275B,1.428B,1.425B,2.254B,1.438B,1.383B,1.429B,1.433B,1.400B,1.347B,1.367B,1.365B,1.356B,1.322B,1.355B,1.341B,1.311B,1.277B,1.284B,1.266B,1.256B,1.216B,1.204B,1.183B,1.182B,1.153B,1.147B
Additional Paid In Capital,6.656B,6.636B,6.19B,6.173B,6.168B,6.125B,5.92B,5.903B,5.898B,5.889B,5.881B,5.873B,5.881B,5.899B,5.896B,5.890B,5.889B,5.873B,5.863B,5.845B,5.837B,5.816B,5.800B,5.681B,5.619B,5.616B,5.596B,5.516B,5.353B,5.335B,5.317B,5.299B,5.327B,5.280B,5.262B,5.242B,5.229B,4.818B,4.801B,4.784B,4.770B,4.741B,4.727B,4.711B,4.695B,4.623B,4.306B,4.293B,4.287B,4.189B,4.176B,4.062B,4.044B,4.025B,4.013B,3.995B,3.957B,3.949B,3.940B,3.933B,3.911B,3.903B,3.895B,3.888B,3.891B,3.889B,3.889B,4.038B,4.038B,4.035B,4.020B,3.443B,2.970B,2.947B,2.924B,2.885B,2.607B,,,,2.288B,,,,774.30M,,,,707.20M,,,,638.70M,,,,599.10M,,,,545.90M,,,
Preferred Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.98M,104.98M,104.98M,104.98M,104.98M,104.98M,104.98M,104.98M,104.98M,104.98M,104.98M,104.98M,104.98M,104.98M,104.98M,104.98M,104.98M,104.98M,104.98M,104.98M,104.98M,104.98M,104.98M,104.98M,104.98M,104.98M,104.98M,104.98M,104.98M,104.98M,104.98M,104.98M,104.26M,104.26M,105.32M,105.32M,105.32M,105.32M,105.32M,105.32M,105.32M,105.32M,105.32M,105.32M,105.34M,105.34M,105.34M,105.34M,105.30M,105.30M,105.30M,105.30M,105.30M,105.30M,105.30M,200.30M,200.30M,200.30M,200.30M,240.50M,240.50M,240.50M,240.50M,240.50M,240.50M,240.50M,240.50M,240.50M,240.50M,240.50M,240.50M
Adjustments for Foreign Currency Translation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-115.80M,-115.62M,-78.42M,,-64.40M,-85.50M,-89.00M,-92.70M,-86.00M,-66.00M,-62.90M,-30.80M,-13.80M,-0.70M,2.80M,3.40M,3.30M,4.70M,2.50M,2.70M,2.50M,3.50M,3.60M,1.90M,0.70M,
Other Equity Adjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.248M,,-11.61M,,-15.10M,-16.70M,-18.50M,-20.20M,-21.90M,-8.80M,-10.50M,-13.90M,-15.60M,-17.30M,-19.10M,-20.70M,-7.40M,-9.00M,-10.70M,-12.30M,-13.80M,-16.00M,-3.00M,-5.00M,-6.90M,
Accrued Comprehensive Inc,-141.00M,-142.00M,-135.00M,-127.00M,-124.00M,-119.00M,-122.00M,-124.00M,-125.00M,-104.81M,-106.80M,-108.58M,-110.00M,-104.96M,-106.80M,-108.61M,-109.75M,-103.64M,-105.19M,-106.69M,-108.14M,-102.00M,-103.37M,-104.82M,-106.28M,-109.98M,-111.84M,-113.62M,-112.65M,-109.60M,-102.01M,-67.52M,-94.04M,-80.97M,-50.98M,-51.85M,-53.09M,-50.74M,-52.08M,-48.63M,-49.71M,-54.46M,-49.35M,-52.20M,-53.67M,-28.92M,-26.55M,-27.60M,-21.79M,-11.08M,-9.294M,-16.64M,-16.33M,-119.68M,-103.71M,-114.04M,-132.06M,-116.00M,-128.23M,-103.91M,-105.93M,-97.03M,-81.20M,-90.12M,-90.14M,-214.86M,-257.06M,-308.47M,-269.01M,-93.75M,-99.01M,-195.59M,-198.02M,-148.70M,-162.50M,-247.63M,-181.55M,-215.42M,-124.05M,-115.62M,-90.03M,-86.90M,-79.50M,-102.20M,-107.50M,-112.90M,-107.90M,-74.80M,-73.40M,-44.70M,-29.40M,-18.00M,-16.30M,-17.30M,-4.10M,-4.30M,-8.20M,-9.60M,-11.30M,-12.50M,0.60M,-3.10M,-6.20M,-8.80M
Shareholders Equity,13.24B,13.14B,12.37B,12.33B,12.22B,12.16B,11.65B,11.56B,11.46B,11.44B,11.12B,11.07B,11.02B,10.99B,10.70B,10.67B,10.60B,10.54B,10.27B,10.21B,10.21B,10.15B,9.921B,9.747B,9.566B,9.547B,9.300B,9.155B,8.874B,8.850B,8.574B,8.538B,8.482B,8.536B,8.340B,8.286B,8.188B,7.711B,7.497B,7.461B,7.388B,7.296B,7.179B,7.154B,7.069B,6.953B,6.479B,6.462B,6.406B,6.266B,6.100B,5.973B,5.922B,5.792B,5.660B,5.624B,5.500B,5.483B,5.352B,5.372B,5.308B,5.318B,5.363B,5.342B,5.271B,4.819B,4.488B,4.870B,4.770B,5.353B,7.478B,6.800B,6.300B,6.310B,6.129B,5.963B,5.667B,5.606B,2.866B,2.642B,5.396B,2.653B,2.593B,2.602B,2.586B,2.535B,2.471B,2.494B,2.572B,2.573B,2.305B,2.348B,2.376B,2.346B,2.314B,2.307B,2.268B,2.244B,2.184B,2.161B,2.138B,2.132B,2.099B,2.091B
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
